,https://roic.ai/company/OPCH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,61085000,- -,- -,- -,114991000,114824000,24498000,24498000,324141000,324141000,350810000,605121000,573323000,308729000,365947000,367198000,367198000,1425542000,1428610000,1477564000
40,Intangible Assets,- -,- -,19400000,19961000,39023000,39009000,17321000,76639000,92457000,118981000,8675000,5777000,- -,- -,30096000,25226000,17446000,32224000,10269000,5128000,31043000,19114000,10470000,385910000,351052000,366020000
41,Intangible Assets,- -,- -,19400000,19961000,39023000,39009000,78406000,76639000,92457000,118981000,123666000,120601000,24498000,24498000,354237000,349367000,368256000,637345000,583592000,313857000,396990000,386312000,377668000,1811452000,1779662000,1843584000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10042000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,3046000,7789000,2383000,- -,- -,- -,- -,26793000,- -,- -,- -,- -,- -,- -,- -,- -,1032000,- -,- -,27033000
44,Other Non-Current Assets,9700000,5800000,2900000,4398000,4175000,3782000,704000,514000,6429000,10171000,11090000,12220000,15817000,16648000,32822000,35266000,28651000,62557000,52906000,45677000,34698000,29089000,30533000,219441000,20821000,23733000
45,Total Non-Current Assets,12100000,9300000,27100000,30301000,54011000,52078000,89544000,90189000,101269000,129152000,134756000,132821000,40315000,67939000,387059000,384633000,406949000,699902000,636498000,359534000,431688000,415401000,409233000,2030893000,1990427000,2080662000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,61800000,62700000,110100000,115683000,116402000,139819000,182231000,171191000,186472000,288587000,305456000,296822000,246957000,287220000,663986000,677102000,642376000,936858000,824713000,546505000,607740000,603092000,583938000,2589547000,2647439000,2790918000
48,Accounts Payable,1600000,900000,6900000,5039000,2964000,4468000,17302000,16857000,20012000,39969000,51724000,57342000,76936000,74535000,80814000,79155000,34438000,64342000,90032000,65077000,59134000,65963000,67025000,221060000,282913000,279246000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,7338000,7427000,52895000,33778000,50411000,30389000,81352000,66161000,953000,60257000,5395000,27665000,18521000,1722000,3179000,9250000,9250000,25089000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3339000,- -
52,Other Current Liabilities,28600000,43100000,56300000,71348000,70611000,73966000,70284000,47097000,43439000,44551000,29058000,23668000,20451000,23279000,64624000,75458000,72878000,49707000,66886000,63307000,52695000,37445000,37112000,99694000,138521000,155360000
53,Total Current Liabilities,30200000,44000000,63200000,76387000,73575000,78434000,87586000,63954000,70789000,91947000,133677000,114788000,147798000,128203000,226790000,220774000,108269000,174306000,162313000,156049000,130350000,105130000,107316000,330004000,434023000,459695000
54,Long-Term Debt,400000,800000,6800000,2997000,1621000,- -,- -,- -,- -,- -,- -,- -,- -,2437000,225117000,227298000,225426000,375322000,418408000,406319000,433413000,478866000,501495000,1277246000,1115103000,1134392000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,875000,9946000,12754000,533000,- -,9140000,10295000,10291000,15107000,19058000,236000,2281000,- -,- -,2143000,3339000,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,589000,1089000,437000,35000,14946000,- -,- -,3077000,3089000,787000,2838000,3456000,4981000,17540000,8129000,64779000,73259000,103848000,119131000,73327000,79250000,20945000
58,Total Non-Current Liabilities,400000,800000,6700000,2997000,2210000,1089000,437000,35000,14946000,875000,9946000,15831000,3622000,3224000,237095000,241049000,240698000,407969000,445595000,471334000,508953000,582714000,620626000,1352716000,1197692000,1155337000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,437000,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78633000,89662000,93581000
