,https://roic.ai/company/OPCH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -
94,Other Financing Activites,-300000,-200000,3500000,-4319000,-3121000,-753000,4048000,-5239000,6437000,89000,46749000,-19131000,16633000,1331120000,306417000,1773433000,1252487000,830199000,439204000,260616000,104098000,317209000,9945000,949837000,-4533000,842307000
95,Cash Used/Provided by Financing Activities,46500000,-100000,3500000,-4652000,-2788000,3925000,5728000,-9685000,7313000,1865000,46749000,-18661000,16209000,-17006000,129966000,-17062000,-58663000,295823000,-13102000,66558000,109742000,44281000,8072000,719024000,-68849000,-76870000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,46500000,-100000,3500000,10811000,-14016000,11197000,-6736000,3677000,-6471000,-1436000,46749000,-18661000,16209000,-17006000,129966000,-17062000,-58663000,-61100000,-261000,14837000,-6008000,29888000,-25547000,30665000,32209000,20158000
98,Cash at the End of Period,- -,- -,- -,15306000,1290000,12487000,5751000,9428000,2957000,1521000,- -,- -,- -,- -,- -,- -,62101000,1001000,740000,15577000,9569000,39457000,18860000,67056000,99265000,119423000
99,Cash at the Beginning of Period,1800000,1800000,9600000,4495000,15306000,1290000,12487000,5751000,9428000,2957000,1521000,- -,- -,- -,- -,- -,- -,62101000,1001000,740000,15577000,9569000,44407000,36391000,67056000,99265000
100,Free Cash Flow,-8500000,-4700000,-18600000,10716000,4700000,8294000,18700000,13382000,2236000,-11551000,-35298000,18661000,-16209000,17006000,-32533000,17525000,15898000,-80179000,-45245000,-76286000,-52411000,-9443000,-33979000,11175000,100517000,182937000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1014739/000101473904000021/0001014739-04-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000095012305002632/0000950123-05-002632-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000095012306004027/0000950123-06-004027-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000095012307004008/0000950123-07-004008-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000095012308002707/0000950123-08-002707-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473909000010/0001014739-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473910000004/0001014739-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473911000006/0001014739-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473912000004/0001014739-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473913000002/0001014739-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473914000003/0001014739-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473915000004/0001014739-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473916000021/0001014739-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000162828017002304/0001628280-17-002304-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000162828018003541/0001628280-18-003541-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473919000012/0001014739-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473920000013/0001014739-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1014739/000101473921000011/0001014739-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1014739/000101473922000009/0001014739-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
