,https://roic.ai/company/HUM,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1715,0.1548,0.1337,0.0628,0.0909,0.0785,0.0187,0.0495,0.0386,-0.0244,0.0276,0.0372,0.0309,0.0400,0.0425,0.0409,0.0455,0.0610,0.0447,0.0632,0.0625,0.0719,0.0602,0.0602,0.0580,0.0564,0.0406,0.0883,0.0497,0.0661,0.0722,0.0537
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3148000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0379
19,Total Other Income Expenses (Gains),4852000000,5865000000,4043000000,3137000000,16000000,10000000,10000000,- -,- -,- -,- -,137090000,244396000,271676000,272796000,259437000,346144000,464127000,209434000,241211000,318309000,1360000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000000
20,Income Before Tax,- -,- -,- -,- -,257000000,288000000,18000000,270000000,203000000,-404000000,114000000,183080000,209934000,344716000,415850000,421714000,762085000,1289300000,992848000,1601760000,1749562000,2235000000,1911000000,1921000000,2170000000,2431000000,1552000000,4020000000,2063000000,3456000000,4600000000,3354000000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0703,0.0613,0.0027,0.0336,0.0208,-0.0399,0.0108,0.0180,0.0186,0.0282,0.0317,0.0292,0.0356,0.0510,0.0343,0.0517,0.0517,0.0607,0.0488,0.0465,0.0447,0.0448,0.0285,0.0748,0.0362,0.0533,0.0596,0.0404
22,Income Tax expense (Gain),180500000,200000000,109000000,54000000,81000000,98000000,6000000,97000000,74000000,-22000000,24000000,65909000,67179000,115782000,135838000,113231000,274662000,455616000,345694000,562085000,650172000,816000000,689000000,690000000,1023000000,1155000000,938000000,1572000000,391000000,763000000,1307000000,485000000
23,Net Income,309600000,355000000,122700000,89000000,176000000,190000000,12000000,173000000,129000000,-382000000,90000000,117171000,142755000,228934000,280012000,308483000,487423000,833684000,647154000,1039675000,1099390000,1419000000,1222000000,1231000000,1147000000,1276000000,614000000,2448000000,1683000000,2707000000,3367000000,2933000000
24,Net Income ratio,0.0638,0.0605,0.0303,0.0284,0.0482,0.0404,0.0018,0.0215,0.0132,-0.0378,0.0086,0.0115,0.0127,0.0187,0.0214,0.0214,0.0228,0.0330,0.0224,0.0336,0.0325,0.0385,0.0312,0.0298,0.0236,0.0235,0.0113,0.0455,0.0296,0.0417,0.0436,0.0353
25,EPS,3.00,2.26,0.77,0.56,1.10,1.17,0.07,1.06,0.77,-2.28,0.54,0.71,0.87,1.44,1.75,1.91,2.97,5.00,3.87,6.21,6.55,8.58,7.56,7.81,7.44,8.54,4.11,16.94,12.24,20.20,25.47,22.79
26,EPS Diluted,3.00,2.26,0.77,0.55,1.10,1.17,0.07,1.05,0.77,-2.28,0.54,0.70,0.85,1.41,1.72,1.87,2.90,4.91,3.83,6.15,6.47,8.46,7.47,7.73,7.36,8.44,4.07,16.81,12.16,20.10,25.31,22.67
27,Weighted Average Shares Outstanding,101126126,157079646,159350649,158928571,160000000,162393162,171428571,163207547,167532468,167543860,166666667,165029577,164086207,158981944,160006857,161509424,164115488,166736800,167172000,167364000,167782000,165413000,161484000,157503000,154187000,149455000,149375000,144493000,137486000,134055000,132199000,128688000
28,Weighted Average Shares Outstanding Diluted,101126126,157079646,159350649,161818182,160790000,162393162,171428571,164761905,167532468,167543860,166666667,167387143,167947059,162364539,162797674,164964171,168076897,169793075,169187000,169071000,169798000,167827000,163457000,159151000,155874000,151142000,150917000,145585000,138403000,134727000,133012000,129396000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49071/000095013197002198/0000950131-97-002198-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49071/000095013101500403/d10k405.htm,https://www.sec.gov/Archives/edgar/data/49071/000095013102001193/d10k405.htm,https://www.sec.gov/Archives/edgar/data/49071/000093066103001145/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312504035443/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312505040063/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312506045135/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312507038330/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312508037394/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312509034123/0001193125-09-034123-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312510035019/0001193125-10-035019-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312511039288/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312512076885/0001193125-12-076885-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312513069911/0001193125-13-069911-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312514058508/d637615d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907115000019/hum-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907116000117/0000049071-16-000117-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907117000019/0000049071-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907118000014/0000049071-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907119000023/0000049071-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907120000032/0000049071-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907121000039/0000049071-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907122000017/0000049071-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,272000000,182000000,322000000,627000000,913000000,978000000,658000000,651420000,721357000,931404000,580079000,732016000,1740304000,2040453000,1970423000,1613588000,1673137000,1377000000,1306000000,1138000000,1935000000,2571000000,3877000000,4042000000,2343000000,4054000000,4673000000,3394000000
32,Short-Term Investments,- -,- -,- -,- -,609000000,1156000000,1262000000,1507000000,1594000000,1507000000,1409000000,1389596000,1405833000,1676642000,2145645000,2354904000,3192273000,3635317000,4203538000,6190062000,6872767000,7743000000,8001000000,8090000000,7598000000,7267000000,7595000000,9557000000,10026000000,10972000000,12554000000,13192000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,881000000,1338000000,1584000000,2134000000,2507000000,2485000000,2067000000,2041016000,2127190000,2608046000,2725724000,3086920000,4932577000,5675770000,6173961000,7803650000,8545904000,9120000000,9307000000,9228000000,9533000000,9838000000,11472000000,13599000000,12369000000,15026000000,17227000000,16586000000
34,Net Receivables,- -,- -,- -,- -,74000000,131000000,211000000,351000000,276000000,225000000,205000000,322064000,416878000,465987000,579615000,738652000,680941000,605541000,789682000,823620000,959018000,1034000000,733000000,950000000,1168000000,1161000000,1280000000,854000000,1015000000,1056000000,1138000000,1814000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,530000000,491000000,499000000,1289000000,1092000000,966000000,1674000000,1015925000,1006208000,1161248000,1174183000,1295055000,2796002000,4296583000,3403514000,2854158000,632777000,1027000000,1670000000,2122000000,4011000000,4712000000,3438000000,2949000000,3564000000,3806000000,-5479000000,-4959000000
37,Total Current Assets,- -,- -,- -,- -,1485000000,1960000000,2294000000,3774000000,3875000000,3676000000,3946000000,3379005000,3550276000,4235281000,4479522000,5120627000,8409520000,10577894000,10367157000,11481428000,10137699000,11181000000,11710000000,12300000000,14712000000,15711000000,16190000000,17402000000,16948000000,19888000000,12886000000,13441000000
38,PP&E,- -,- -,- -,- -,317000000,382000000,371000000,420000000,433000000,418000000,435000000,461761000,459842000,416472000,399506000,484412000,545004000,637241000,711492000,679142000,815337000,912000000,1098000000,1218000000,1419000000,1384000000,1505000000,1584000000,1735000000,1955000000,2371000000,3073000000
39,Goodwill,- -,- -,- -,- -,155000000,536000000,488000000,1224000000,1188000000,806000000,790000000,776874000,776874000,776874000,885572000,1264575000,1310631000,1663939000,1963111000,1992924000,2567809000,2740000000,3640000000,3733000000,3711000000,3265000000,3272000000,3281000000,3897000000,3928000000,4447000000,11092000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,731000000,693000000,572000000,357000000,280000000,226000000,245000000,177000000,329000000,2639000000
41,Intangible Assets,- -,- -,- -,- -,155000000,536000000,488000000,1224000000,1188000000,806000000,790000000,776874000,776874000,776874000,885572000,1264575000,1310631000,1663939000,1963111000,1992924000,2567809000,2740000000,4371000000,4426000000,4283000000,3622000000,3552000000,3507000000,4142000000,4105000000,4776000000,13731000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1405833000,1676642000,2145645000,2354904000,3192273000,3635317000,4203538000,6190062000,6872767000,7743000000,9847000000,9800000000,9547000000,9110000000,9798000000,12302000000,11484000000,12441000000,14936000000,14113000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1004000000,-214002000,-1592795000,-1811946000,-2252628000,-2354904000,-3329932000,-3635317000,-4203538000,-6190062000,-4290359000,-4868000000,-7047000000,-7009000000,-6495000000,-5122000000,-5649000000,-7617000000,-8896000000,-9315000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,472000000,918000000,859000000,1644000000,1621000000,1224000000,221000000,1024633000,1049754000,1058042000,1178095000,1748987000,1717976000,2301180000,2674603000,2672066000,5965554000,6527000000,8269000000,8435000000,8754000000,8994000000,9206000000,9776000000,8465000000,9186000000,22083000000,30917000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57052000000,75275000000
47,Total Assets,- -,- -,- -,- -,1957000000,2878000000,3153000000,5418000000,5496000000,4900000000,4167000000,4403638000,4600030000,5293323000,5657617000,6869614000,10127496000,12879074000,13041760000,14153494000,16103253000,17708000000,19979000000,20735000000,23466000000,24705000000,25396000000,27178000000,25413000000,29074000000,34969000000,44358000000
48,Accounts Payable,- -,- -,- -,- -,760000000,1157000000,1468000000,471000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1077027000,1307710000,1624832000,1783000000,7679000000,7921000000,9009000000,9339000000,9864000000,11660000000,8148000000,9964000000,12156000000,12798000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,484000000,215000000,749000000,415757000,359882000,219054000,192060000,581259000,293605000,269226000,224542000,374464000,409385000,306000000,324000000,403000000,334000000,600000000,512000000,291000000,1865000000,924000000,920000000,2279000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,139000000,184000000,168000000,2557000000,2751000000,3417000000,- -,2164243000,2294118000,2594946000,2737940000,3300741000,5511395000,6892774000,5346431000,5016826000,5475783000,5897000000,518000000,495000000,652000000,599000000,543000000,615000000,864000000,1182000000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,899000000,1341000000,1636000000,3028000000,3235000000,3632000000,749000000,2580000000,2654000000,2814000000,2930000000,3882000000,5805000000,7162000000,6648000000,6699000000,7510000000,7986000000,8521000000,8819000000,9995000000,10538000000,10919000000,12566000000,10877000000,12070000000,13076000000,15077000000
54,Long-Term Debt,- -,- -,- -,- -,83000000,250000000,225000000,1486000000,1011000000,324000000,324000000,315489000,339913000,642638000,636696000,513790000,1269100000,1687823000,1937032000,1678166000,1668849000,1659000000,2611000000,2600000000,3825000000,3821000000,3792000000,4770000000,4375000000,4967000000,6060000000,10541000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-597000000,-438000000,- -,78000000,-489000,87000,362000,304000,210000,-100000,177000,-32000,-166000,151000,- -,- -,- -,- -,-27000000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,83000000,250000000,225000000,889000000,573000000,324000000,402000000,315000000,340000000,643000000,637000000,514000000,1269000000,1688000000,1937000000,1678000000,1669000000,1659000000,2611000000,2600000000,3825000000,3794000000,3792000000,4770000000,4375000000,4967000000,6060000000,10541000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2460000000,630689000,- -,1286374000,1274493000,- -,- -,3376137000,- -,3356491000,3338197000,- -,- -,- -,- -,7615000000,- -,- -,- -,- -,14225000000,23719000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,899000000,1591000000,1861000000,3917000000,3808000000,3632000000,2807000000,2895689000,2993556000,3457374000,3567493000,4395509000,7073610000,8850137000,8584570000,8377491000,9179197000,9645000000,11132000000,11419000000,13820000000,14359000000,14711000000,17336000000,15252000000,17037000000,21241000000,28255000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,27000000,27000000,27000000,27000000,28000000,28000000,28000000,28449000,28556000,28984000,29340000,29843000,30491000,31123000,31309000,31634000,31707000,32000000,32000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000
64,Retained Earnings,- -,- -,- -,- -,249000000,439000000,451000000,624000000,753000000,371000000,461000000,578122000,720877000,949811000,1229823000,1538306000,1909098000,2742782000,3389936000,4429611000,5529001000,6825000000,7881000000,8942000000,9916000000,11017000000,11454000000,13670000000,15072000000,17483000000,20517000000,23086000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22455000,16909000,16526000,24832000,-13205000,14021000,-175243000,42135000,120584000,303000000,386000000,158000000,223000000,58000000,-66000000,19000000,-159000000,156000000,391000000,42000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,782000000,821000000,814000000,850000000,907000000,869000000,871000000,901378000,834586000,840245000,814435000,881124000,1127502000,1241011000,1211188000,1272623000,1242764000,903000000,548000000,183000000,-526000000,-762000000,-736000000,-3880000000,-4785000000,-5635000000,-7213000000,-7081000000
67,Total Stockholders Equity,- -,- -,- -,- -,1058000000,1287000000,1292000000,1501000000,1688000000,1268000000,1360000000,1507949000,1606474000,1835949000,2090124000,2474105000,3053886000,4028937000,4457190000,5776003000,6924056000,8063000000,8847000000,9316000000,9646000000,10346000000,10685000000,9842000000,10161000000,12037000000,13728000000,16080000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,1957000000,2878000000,3153000000,5418000000,5496000000,4900000000,4167000000,4403638000,4600030000,5293323000,5657617000,6869614000,10127496000,12879074000,13041760000,14153494000,16103253000,17708000000,19979000000,20735000000,23466000000,24705000000,25396000000,27178000000,25413000000,29074000000,34969000000,44335000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000
70,Total Liabilities & Equity,- -,- -,- -,- -,1957000000,2878000000,3153000000,5418000000,5496000000,4900000000,4167000000,4403638000,4600030000,5293323000,5657617000,6869614000,10127496000,12879074000,13041760000,14153494000,16103253000,17708000000,19979000000,20735000000,23466000000,24705000000,25396000000,27178000000,25413000000,29074000000,34969000000,44358000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/49071/000095013197002198/0000950131-97-002198-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49071/000095013101500403/d10k405.htm,https://www.sec.gov/Archives/edgar/data/49071/000095013102001193/d10k405.htm,https://www.sec.gov/Archives/edgar/data/49071/000093066103001145/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312504035443/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312505040063/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312506045135/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312507038330/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312508037394/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312509034123/0001193125-09-034123-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312510035019/0001193125-10-035019-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312511039288/d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000119312512076885/0001193125-12-076885-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312513069911/0001193125-13-069911-index.html,https://www.sec.gov/Archives/edgar/data/49071/000119312514058508/d637615d10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907115000019/hum-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907116000117/0000049071-16-000117-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907117000019/0000049071-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907118000014/0000049071-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907119000023/0000049071-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907120000032/0000049071-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/49071/000004907121000039/0000049071-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907122000017/0000049071-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,309600000,355000000,122700000,89000000,176000000,190000000,12000000,173000000,129000000,-382000000,90000000,117171000,142755000,228934000,280012000,308483000,487423000,833684000,647154000,1039675000,1099390000,1419000000,1222000000,1231000000,1147000000,1276000000,614000000,2448000000,1683000000,2707000000,3367000000,2933000000
74,Depreciation and Amortization,230900000,256000000,238000000,47000000,50000000,70000000,98000000,108000000,128000000,124000000,147000000,171023000,120730000,126779000,117792000,128858000,148598000,184812000,220350000,250274000,262910000,303000000,338000000,426000000,449000000,447000000,465000000,485000000,534000000,575000000,616000000,713000000
75,Deferred Income Tax,200000,21000000,-52000000,-13000000,58000000,13000000,-25000000,40000000,26000000,5000000,19000000,56104000,49561000,32251000,53608000,-38362000,70062000,-32736000,-22005000,-26792000,-198978000,22000000,-80000000,42000000,-64000000,-2000000,-71000000,132000000,194000000,162000000,195000000,15000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55369000,65870000,62947000,67000000,82000000,92000000,98000000,109000000,115000000,157000000,137000000,163000000,181000000,180000000
77,Change in Working Capital,231100000,- -,- -,- -,586000000,33000000,39000000,88000000,-106000000,-596000000,3902000000,-3146995000,97271000,525005000,128241000,-310895000,1365893000,811374000,303263000,1063271000,-2154729000,567301000,-6000000,292000000,1236000000,456000000,98000000,-435000000,1235000000,1747000000,-7818000000,-556000000
78,Accounts Receivable,-59500000,-71000000,146000000,16000000,- -,-31000000,-112000000,-149000000,77000000,93000000,-10000000,-14652000,-185535000,2474000,-47067000,-225276000,-327801000,166434000,- -,- -,- -,- -,326000000,-251000000,-264000000,-180000000,-158000000,406000000,-200000000,-32000000,-85000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-6000000,- -,-27000000,-7000000,-92000000,296000000,111000000,-301000000,-72000000,-202000000,-165480000,150809000,19907000,-46236000,452285000,1321969000,-7976000,- -,- -,- -,- -,-41000000,109000000,582000000,501000000,-413000000,105000000,252000000,1142000000,2139000000,104000000
81,Other Working Capital,- -,- -,- -,- -,586000000,619000000,658000000,746000000,640000000,44000000,3946000000,799005000,896276000,1421281000,1549522000,1238627000,2604520000,3415894000,3719157000,4782428000,2627699000,3195000000,3189000000,3481000000,4717000000,5173000000,5271000000,4836000000,6071000000,7818000000,- -,- -
82,Other Non-Cash Items,-13500000,-28000000,365300000,62000000,-572000000,-156000000,217000000,-120000000,-101000000,1066000000,-4118000000,2951655000,-88909000,-499829000,-231844000,537543000,-385264000,-572872000,-221821000,-970716000,3170254000,-299301000,367000000,-367000000,-1248000000,-1418000000,715000000,1264000000,-1610000000,-70000000,9098000000,-1023000000
83,Cash Provided by Operating Activities,758300000,604000000,674000000,185000000,298000000,150000000,341000000,289000000,76000000,217000000,40000000,148958000,321408000,413140000,347809000,625627000,1686712000,1224262000,982310000,1421582000,2241794000,2079000000,1923000000,1716000000,1618000000,868000000,1936000000,4051000000,2173000000,5284000000,5639000000,2262000000
84,CAPEX,-344200000,-497000000,-304000000,-28000000,-39000000,-54000000,-72000000,-73000000,-104000000,-89000000,-135000000,-114971000,-112136000,-101268000,-114096000,-165846000,-193151000,-239244000,-261572000,-185450000,-222302000,-346000000,-410000000,-441000000,-528000000,-523000000,-527000000,-526000000,-612000000,-736000000,-964000000,-1316000000
85,Acquisitions Net,- -,- -,- -,- -,-162000000,-697000000,-6000000,-669000000,- -,-14000000,16000000,-27889000,- -,- -,-141810000,-402844000,-28062000,-493493000,-422915000,-12436000,-832450000,-226000000,-1235000000,-153000000,54000000,1023000000,-7000000,-31000000,-2254000000,- -,-709000000,-4187000000
86,Purchases of Investments,- -,- -,- -,- -,-523000000,-402000000,-440000000,-608000000,-1037000000,-781000000,-1205000000,-1874482000,-2569078000,-4572577000,-4106210000,-3717916000,-4269221000,-3488631000,-5681103000,-7197007000,-4589332000,-3678000000,-3221000000,-3261000000,-2883000000,-6739000000,-6566000000,-6265000000,-4687000000,-6361000000,-9125000000,-7197000000
