,https://roic.ai/company/RYN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2150000,1810000,1315000,851000,606000,2372000,-9199000,-3003000,-698000,1840000,4564000,5307000,1173000,200000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45292000,52441000,50463000,50775000,44981000,43760000,53447000,34702000,32943000,34071000,32066000,31716000,38768000,44900000
14,Depreciation and Amortization,78300000,90200000,96000000,96900000,99300000,101100000,105400000,176913000,177124000,165715000,157909000,153787000,147388000,136495000,154686000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164996000,155700000
15,EBITDA,161200000,198200000,304000000,-14800000,219900000,191200000,203600000,285558000,259686000,234767000,213687000,277235000,313279000,331968000,352714000,217640000,411318000,283266000,357137000,412057000,465317000,143183000,80008000,249979000,204594000,159518000,103761000,247857000,367800000
16,EBITDA ratio,0.1722,0.1853,0.2412,-0.0126,0.1991,0.1896,0.1965,0.2328,0.2229,0.2101,0.1941,0.2297,0.2653,0.2699,0.2880,0.1766,0.3520,0.2154,0.2399,0.2623,0.2725,0.2372,0.1468,0.3171,0.2496,0.1955,0.1458,0.2885,0.3315
17,Operating Income,127200000,164400000,228500000,32700000,159100000,120600000,129200000,203848000,149774000,130158000,102583000,169760000,183192000,229596000,246595000,223088000,409508000,268551000,356286000,411451000,422814000,98289000,77784000,255777000,215491000,170068000,107027000,74388000,269775000
18,Operating Income ratio,0.1359,0.1537,0.1813,0.0278,0.1441,0.1196,0.1247,0.1662,0.1286,0.1165,0.0932,0.1406,0.1552,0.1867,0.2014,0.1811,0.3504,0.2042,0.2393,0.2619,0.2476,0.1629,0.1428,0.3245,0.2629,0.2084,0.1504,0.0866,0.2431
19,Total Other Income Expenses (Gains),-44300000,-56400000,-20500000,-46200000,-38500000,-30500000,-31000000,-95203000,-67212000,-60361000,-46805000,-46312000,7655000,-39458000,-48567000,-43142000,-50631000,-35748000,-49924000,-44375000,-41388000,-53447000,-34702000,-32943000,-32231000,-27502000,-26409000,-37595000,-44675000
20,Income Before Tax,82900000,108000000,208000000,-13500000,120600000,90100000,98200000,108645000,82562000,69797000,55778000,123448000,190847000,190138000,198028000,179946000,358877000,232803000,306362000,367076000,381426000,44842000,43082000,222834000,183260000,142566000,80618000,36793000,225100000
21,Income Before Tax Ratio,0.0885,0.1010,0.1650,-0.0115,0.1092,0.0893,0.0948,0.0886,0.0709,0.0625,0.0507,0.1023,0.1616,0.1546,0.1617,0.1460,0.3071,0.1770,0.2058,0.2337,0.2233,0.0743,0.0791,0.2827,0.2236,0.1747,0.1133,0.0428,0.2029
22,Income Tax expense (Gain),30400000,38000000,65700000,-13300000,33300000,26500000,29500000,30458000,24964000,14880000,5806000,-33453000,-16948000,19055000,23759000,20312000,46336000,15217000,30357000,88391000,49661000,-9601000,-859000,5064000,21681000,25236000,12940000,7009000,14600000
23,Net Income,52500000,70000000,142300000,-98400000,87300000,63600000,68700000,78187000,57598000,54172000,49972000,156901000,182839000,176418000,174269000,152036000,312541000,217586000,276005000,278685000,371896000,99337000,46165000,211972000,148842000,102216000,59105000,37084000,152600000
24,Net Income ratio,0.0561,0.0655,0.1129,-0.0835,0.0791,0.0631,0.0663,0.0637,0.0494,0.0485,0.0454,0.1300,0.1549,0.1435,0.1423,0.1234,0.2675,0.1654,0.1854,0.1774,0.2178,0.1646,0.0847,0.2689,0.1816,0.1252,0.0831,0.0432,0.1375
25,EPS,0.52,0.59,1.19,-0.82,0.76,0.56,0.62,0.72,0.53,0.49,0.52,1.40,1.61,1.53,1.50,1.29,2.63,1.81,2.27,2.27,2.96,0.78,0.37,1.73,1.17,0.79,0.46,0.28,1.43
26,EPS Diluted,0.52,0.59,1.19,-0.82,0.74,0.55,0.61,0.70,0.52,0.48,0.52,1.37,1.57,1.51,1.47,1.27,2.61,1.79,2.20,2.17,2.86,0.76,0.37,1.73,1.16,0.79,0.46,0.27,1.43
27,Weighted Average Shares Outstanding,100005842,118825742,120015071,120183750,115423998,112738739,110976124,109138291,108841881,110724390,95285593,111717484,113490719,115055217,116179333,117714952,118578718,120240274,121662985,122711802,125717311,126458710,125385085,122585200,127367608,129043627,129257202,133865867,106371428
28,Weighted Average Shares Outstanding Diluted,100005842,118825742,120015071,120183750,117755795,114770068,112795405,111073367,110404205,113031148,96928448,114619237,116275767,117091593,118282127,119143849,120030450,121868361,125394291,128702423,130105101,131038263,125900189,122812323,127809949,129690231,129598388,136942902,106371428
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/52827/000095012396001360/0000950123-96-001360-index.html,https://www.sec.gov/Archives/edgar/data/52827/000095012397002685/0000950123-97-002685-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/52827/000114544303000407/0001145443-03-000407-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312504036458/0001193125-04-036458-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000114544305000423/0001145443-05-000423-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312506044102/0001193125-06-044102-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312507041073/0001193125-07-041073-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312508041209/0001193125-08-041209-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312509040421/0001193125-09-040421-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312510038889/0001193125-10-038889-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312511043344/0001193125-11-043344-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282712000009/0000052827-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282713000006/0000052827-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282714000007/0000052827-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282715000006/0000052827-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282716000059/0000052827-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282717000004/0000052827-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282718000009/0000052827-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282719000006/0000052827-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282720000011/0000052827-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282721000035/0000052827-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282722000018/0000052827-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9200000,10900000,3400000,10700000,6600000,12300000,9824000,14123000,18924000,21397000,84117000,146227000,40171000,181081000,61685000,74964000,349463000,78603000,280596000,199644000,161558000,51777000,85909000,112653000,148374000,68735000,84507000,362200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108518000,- -
33,Cash and Short-Term Investments,- -,9200000,10900000,3400000,10700000,6600000,12300000,9824000,14123000,18924000,21397000,84117000,146227000,40171000,181081000,61685000,74964000,349463000,78603000,280596000,199644000,161558000,51777000,85909000,112653000,148374000,68735000,193025000,362200000
34,Net Receivables,- -,103900000,128500000,123400000,115700000,118800000,103500000,117114000,101480000,97927000,91412000,91476000,88378000,100309000,81068000,72549000,103740000,104374000,96953000,100359000,94956000,24018000,20222000,20664000,27693000,26151000,27127000,49082000,- -
35,Inventory,- -,119700000,170100000,154900000,114100000,98900000,105100000,97106000,91010000,85071000,94861000,90942000,85545000,75593000,84291000,96678000,88504000,110035000,121998000,127966000,138818000,9042000,15351000,21379000,24141000,15703000,14518000,10594000,- -
36,Other Current Assets,- -,64400000,80100000,67900000,70000000,57500000,50700000,46554000,28447000,26923000,36894000,34163000,33948000,82481000,49780000,96064000,242488000,45314000,46948000,57353000,85676000,19745000,18335000,36852000,19040000,17625000,15595000,-82136000,89300000
37,Total Current Assets,- -,297200000,389600000,349600000,310500000,281800000,271600000,270598000,235060000,228845000,244564000,300698000,354098000,298554000,396220000,326976000,509696000,609186000,344502000,566274000,519094000,214363000,105685000,164804000,183527000,207853000,125975000,170565000,451500000
38,PP&E,- -,671600000,705300000,1174800000,1201000000,1232200000,1923700000,1822212000,1712504000,541038000,502232000,463316000,1288329000,1481293000,1462974000,1605685000,1533498000,385304000,461552000,707038000,860821000,6706000,6742000,14034000,23378000,22751000,122193000,139393000,131400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8776000,8307000,8611000,8943000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8776000,8307000,8611000,8943000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50999000,68483000,69219000,72419000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,542400000,553000000,73300000,84100000,86900000,84900000,69464000,72328000,1117313000,1091884000,1169872000,196637000,183035000,219847000,157870000,158738000,1300680000,1694075000,1777220000,2305586000,2232046000,2206836000,2506922000,2642800000,2541755000,2604217000,3409832000,3053500000
45,Total Non-Current Assets,- -,1214000000,1258300000,1248100000,1285100000,1319100000,2008600000,1891676000,1789952000,1658351000,1594116000,1633188000,1484966000,1664328000,1682821000,1763555000,1743235000,1754467000,2224846000,2556677000,3166407000,2238752000,2213578000,2520956000,2674954000,2572813000,2735021000,3558168000,3184900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1511200000,1647900000,1597700000,1595600000,1600900000,2280200000,2162274000,2025012000,1887196000,1838680000,1933886000,1839064000,1962882000,2079041000,2090531000,2252931000,2363653000,2569348000,3122951000,3685501000,2453115000,2319263000,2685760000,2858481000,2780666000,2860996000,3728733000,3636400000
48,Accounts Payable,- -,83700000,102900000,87600000,74300000,65800000,74000000,87401000,65247000,66770000,65312000,76262000,66362000,73758000,66224000,70011000,58584000,57985000,72873000,70381000,69293000,20211000,21479000,22337000,25148000,18019000,18160000,24790000,- -
49,Short-Term Debt,- -,300000,3000000,2200000,- -,4100000,3200000,2565000,7600000,3520000,3545000,48575000,3310000,3550000,55585000,620000,4650000,93057000,28110000,150000000,112500000,129706000,- -,31676000,3375000,- -,82000000,82000000,125000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9721000,10447000,11440000,11112000,- -
52,Other Current Liabilities,- -,94900000,97800000,131000000,132200000,102900000,116700000,105801000,80073000,101464000,78429000,117689000,100398000,116029000,96604000,92320000,111877000,93906000,77268000,87442000,94319000,52085000,37978000,37953000,30304000,35075000,39586000,-26767000,106700000
53,Total Current Liabilities,- -,178900000,203700000,220800000,206500000,172800000,193900000,195767000,152920000,171754000,147286000,242526000,170070000,193337000,218413000,162951000,175111000,244948000,178251000,307823000,276112000,202002000,59457000,91966000,68548000,63541000,151186000,91135000,231700000
54,Long-Term Debt,- -,482900000,446700000,430700000,421300000,485900000,1132900000,970415000,842205000,649628000,614935000,610290000,555213000,655447000,694259000,770339000,694999000,675103000,819229000,1120052000,1461724000,621849000,833879000,1030205000,1022004000,972567000,973129000,1360515000,1336200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,127600000,160600000,89500000,113400000,115400000,123500000,130333000,131723000,110160000,121814000,50646000,32236000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,44100000,48700000,214400000,204700000,187800000,177000000,185658000,189370000,245942000,243539000,234036000,196693000,197836000,185272000,233384000,236615000,192020000,248795000,257072000,192422000,54113000,64187000,66837000,74989000,90008000,199039000,414438000,119100000
58,Total Non-Current Liabilities,- -,654600000,656000000,734600000,739400000,789100000,1433400000,1286406000,1163298000,1005730000,980288000,894972000,784142000,853283000,879531000,1003723000,931614000,867123000,1068024000,1377124000,1654146000,675962000,898066000,1097042000,1096993000,1062575000,1172168000,1774953000,1455300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90481000,100251000,93400000
61,Total Liabilities,- -,833500000,859700000,955400000,945900000,961900000,1627300000,1482173000,1316218000,1177484000,1127574000,1137498000,954212000,1046620000,1097944000,1166674000,1106725000,1112071000,1246275000,1684947000,1930258000,877964000,957523000,1189008000,1165541000,1126116000,1323354000,1866088000,1687000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,60500000,48717000,59721000,76613000,364810000,393513000,422364000,450636000,487407000,508059000,561962000,602882000,630286000,670749000,692100000,702598000,708827000,709867000,872228000,884263000,888177000,1101675000,- -
64,Retained Earnings,- -,497600000,610300000,477700000,530500000,559400000,592400000,631384000,649775000,664037000,355956000,401479000,454884000,494272000,519328000,514094000,663986000,717058000,806235000,876634000,1015209000,790697000,612760000,700887000,707378000,672371000,583006000,446267000,- -
65,Other Comprehensive Income/Loss,- -,-530900000,-586800000,-506300000,-562500000,-616200000,-657600000,-730472000,-790769000,-846289000,-912292000,-984070000,8000000,-29000000,-26000000,-98000000,-80000000,-68000000,-113000000,-109000000,-46000000,-5000000,-34000000,1000000,13000000,-7984000,-31000000,-74000000,- -
66,Other Total Stockholders Equity,- -,688500000,745900000,652000000,664700000,695800000,657600000,730472000,790067000,815351000,902632000,985466000,-396000,354000,362000,-296000,258000,-358000,-448000,-379000,-139000,175000,497000,-144000,417000,8223000,-202000,115000,- -
67,Total Stockholders Equity,- -,655200000,769400000,623400000,632700000,639000000,652900000,680101000,708794000,709712000,711106000,796388000,884852000,916262000,981097000,923857000,1146206000,1251582000,1323073000,1438004000,1661170000,1488470000,1288084000,1411610000,1593023000,1556873000,1439981000,1474057000,1771800000
68,Total Liabilities And Stockholders Equity,- -,1488700000,1629100000,1578800000,1578600000,1600900000,2280200000,2162274000,2025012000,1887196000,1838680000,1933886000,1839064000,1962882000,2079041000,2090531000,2252931000,2363653000,2569348000,3122951000,3591428000,2366434000,2245607000,2600618000,2758564000,2682989000,2763335000,3340145000,3458800000
69,Minority Interest,- -,22500000,18800000,18900000,17000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94073000,86681000,73656000,85142000,99917000,97677000,97661000,388588000,177600000
70,Total Liabilities & Equity,- -,1511200000,1647900000,1597700000,1595600000,1600900000,2280200000,2162274000,2025012000,1887196000,1838680000,1933886000,1839064000,1962882000,2079041000,2090531000,2252931000,2363653000,2569348000,3122951000,3685501000,2453115000,2319263000,2685760000,2858481000,2780666000,2860996000,3728733000,3636400000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/52827/000095012396001360/0000950123-96-001360-index.html,https://www.sec.gov/Archives/edgar/data/52827/000095012397002685/0000950123-97-002685-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/52827/000114544303000407/0001145443-03-000407-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312504036458/0001193125-04-036458-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000114544305000423/0001145443-05-000423-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312506044102/0001193125-06-044102-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312507041073/0001193125-07-041073-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312508041209/0001193125-08-041209-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312509040421/0001193125-09-040421-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312510038889/0001193125-10-038889-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000119312511043344/0001193125-11-043344-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282712000009/0000052827-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282713000006/0000052827-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282714000007/0000052827-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282715000006/0000052827-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282716000059/0000052827-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282717000004/0000052827-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282718000009/0000052827-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282719000006/0000052827-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282720000011/0000052827-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282721000035/0000052827-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/52827/000005282722000018/0000052827-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,52500000,70000000,142300000,-98400000,87300000,63600000,68700000,78187000,57598000,54172000,49972000,156901000,182839000,176418000,174269000,152036000,312541000,217586000,276005000,278685000,371896000,99337000,46165000,211972000,148842000,102216000,59105000,37084000,152600000
74,Depreciation and Amortization,78300000,90200000,96000000,96900000,99300000,101100000,105400000,176913000,177124000,165715000,157909000,153787000,147388000,136495000,154686000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164996000,- -
75,Deferred Income Tax,47600000,3000000,16600000,-80200000,14000000,11700000,2800000,12674000,-1227000,5005000,2144000,-51776000,-47592000,-19300000,-8457000,13560000,-6260000,14936000,2498000,3505000,-8937000,-4769000,-1340000,5170000,21980000,22832000,11314000,7541000,8500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13344000,15754000,15223000,16181000,15116000,11683000,7869000,4484000,5136000,5396000,6428000,6904000,8026000,9300000
77,Change in Working Capital,- -,118300000,67600000,-57100000,-24800000,5000000,-31300000,-2869000,7309000,-25049000,40187000,-39106000,125856000,-78811000,72590000,-13782000,170560000,29653000,-197987000,92200000,-15469000,-230621000,33867000,26610000,42141000,29333000,-169523000,104641000,9300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15378000,- -
79,Inventory,- -,8500000,- -,- -,- -,- -,- -,- -,- -,-8711000,-460000,1059000,-9624000,2742000,-7370000,-15946000,9202000,-27693000,-3868000,-10649000,-19986000,3926000,-9749000,-1175000,-1384000,1773000,1224000,-1448000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6128000,-12552000,-4606000,6347000,-7967000,-1655000,29929000,1863000,-559000,3435000,-4626000,-1554000,5668000,- -
81,Other Working Capital,- -,118300000,185900000,128800000,104000000,109000000,77700000,74831000,82140000,57091000,97278000,58172000,184028000,105217000,177807000,164025000,334585000,364238000,166251000,258451000,242982000,12361000,46228000,72838000,114979000,144312000,-25211000,79430000,- -
82,Other Non-Cash Items,-49800000,-91800000,-109900000,374300000,77100000,-24300000,71700000,14034000,458000,123614000,-42001000,75622000,-146584000,92126000,-69068000,175030000,-185296000,217992000,335573000,56408000,186000000,444731000,93988000,-45087000,37925000,149287000,306453000,-118114000,145400000
83,Cash Provided by Operating Activities,128600000,189700000,212600000,235500000,252900000,157100000,217300000,278939000,241262000,323457000,208211000,295428000,261907000,306928000,324020000,340188000,307299000,495390000,432270000,445914000,545173000,316547000,177164000,203801000,256284000,310096000,214253000,204174000,325100000
84,CAPEX,-71600000,-99000000,-139400000,-175200000,-147700000,-148300000,-323300000,-88387000,-76964000,-76674000,-90632000,-178573000,-108788000,-404341000,-119876000,-338843000,-91700000,-143809000,-144522000,-264098000,-179299000,-254585000,-2676000,-8746000,-15784000,-9501000,-6803000,-91195000,-255100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000000,-256000000,-23000000,-230000000,- -,-5000000,-364000000,-305000000,-98000000,-131000000,-98000000,-367000000,-243000000,- -,- -,- -,- -
86,Purchases of Investments,-6200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21770000,- -,- -,- -,- -,- -,- -,- -,- -,2804000,- -,- -,- -,- -,- -,185700000
88,Other Investing Activites,-27700000,-37400000,-6100000,-3500000,-10700000,-2900000,5100000,24382000,-7147000,- -,- -,-2212000,-77955000,253378000,16891000,133609000,-92744000,-132256000,196286000,-167901000,-370920000,-61807000,-71113000,90152000,25836000,-132855000,-219390000,-213643000,-212000000
89,Cash Used for Investing Activites,-105500000,-136400000,-145500000,-178700000,-158400000,-151200000,-318200000,-64005000,-84111000,-76674000,-90632000,-180785000,-23743000,-385193000,-125985000,-330391000,-92744000,-142656000,-488614000,-472901000,-468920000,-192807000,-166309000,-283155000,-223248000,-132855000,-219390000,-213643000,-26300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-152685000,-307643000,-97211000,-501084000,-813610000,-549485000,-1289637000,-364402000,-458415000,-100157000,-54416000,- -,-152000000,- -
91,Common Stock Issued,- -,- -,1500000,3200000,4900000,3900000,4700000,2632000,11561000,14312000,23699000,17743000,15121000,10771000,39561000,8265000,11115000,26314000,13451000,25495000,10101000,5579000,2117000,1576000,157141000,- -,- -,32574000,230800000
92,Common Stock Repurchased,-121800000,200000,- -,-16500000,-48400000,-26500000,-23800000,-17624000,-2031000,-3144000,- -,- -,- -,-560000,-3150000,-3979000,-1388000,-6028000,-7909000,-7783000,-11326000,-1858000,-100000000,-690000,-176000,-2984000,-12680000,-4757000,- -
93,Dividends Paid,-800000,-21300000,-29600000,-34200000,-34500000,-34700000,-35700000,-39185000,-39207000,-39910000,-105350000,-111197000,-129249000,-143883000,-150626000,-156978000,-158218000,-163673000,-185272000,-206583000,-237016000,-257517000,-124936000,-122845000,-127069000,-136772000,-141071000,-146348000,-153500000
94,Other Financing Activites,94700000,-29100000,-37300000,-16900000,-9300000,47400000,161300000,-163198000,-123175000,-213240000,-33693000,41455000,-101437000,103833000,56444000,177048000,254588000,162411000,465681000,1231500000,630585000,1381984000,470758000,694797000,63389000,458000,74102000,297533000,-93600000
95,Cash Used/Provided by Financing Activities,-27900000,-50200000,-65400000,-64400000,-87300000,-9900000,106500000,-217375000,-152852000,-241982000,-115344000,-51999000,-215565000,-29839000,-57771000,-128329000,-201546000,-78187000,-215133000,229019000,-157141000,-161449000,-116463000,114423000,-6872000,-193714000,-79649000,27002000,-16300000
