,https://roic.ai/company/AGX,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0441,0.0759,0.1019,0.1230,-0.3500,- -,- -,0.0993,0.0790,0.0350,0.0330,-0.1039,0.0607,0.0450,0.0257,-0.0460,-0.2496,-0.3666,-0.0003,-0.0078,0.0758,0.0459,0.0933,0.0843,0.1283,0.3048,0.1680,0.1827,0.1697,0.1261,0.0979,-0.1999,0.0634
22,Income Tax expense (Gain),100000,100000,200000,600000,-100000,- -,- -,- -,5600,-191431,-464807,75696,185000,130000,30702,-289000,-1045000,-922000,89000,1593000,6726000,3620000,7037000,4556000,13640000,25991000,20912000,25302000,37106000,40279000,-4651000,- -,- -
23,Net Income,300000,600000,900000,900000,-2700000,-600000,- -,898119,662985,491961,729249,-848377,-22126,-518888,317621,-597000,-2579000,-9508000,-113000,-3205000,10019000,7040000,7774000,9272000,23265000,40125000,30445000,36345000,70328000,72011000,52036000,-42689000,23851000
24,Net Income ratio,0.0441,0.0759,0.0833,0.0738,-0.3375,-0.0612,- -,0.1019,0.0784,0.0572,0.0909,-0.1141,-0.0029,-0.0717,0.0465,-0.0881,-0.1776,-0.3342,-0.0016,-0.0155,0.0454,0.0303,0.0426,0.0654,0.0835,0.1764,0.0795,0.0879,0.1042,0.0807,0.1079,-0.1786,0.0608
25,EPS,0.98,1.96,2.95,2.95,-8.84,-1.96,- -,2.85,1.65,1.05,1.50,-1.50,-0.04,-1.05,0.64,-0.41,-1.20,-2.76,-0.02,-0.29,0.80,0.52,0.57,0.68,1.69,2.85,2.11,2.46,4.67,4.64,3.34,-2.73,1.52
26,EPS Diluted,0.98,1.96,2.95,2.95,-8.84,-1.96,- -,2.85,1.65,1.05,1.50,-1.50,-0.04,-1.05,0.64,-0.41,-1.20,-2.76,-0.02,-0.29,0.78,0.51,0.57,0.67,1.65,2.78,2.05,2.42,4.50,4.56,3.32,-2.73,1.51
27,Weighted Average Shares Outstanding,305387,305387,305387,305387,305387,305387,- -,315287,407391,474158,499851,541519,501645,493273,494306,1480000,2149000,3439000,5338000,11097000,12465000,13525000,13593000,13612000,13784000,14072000,14433000,14757000,15066000,15522000,15569000,15621000,15668000
28,Weighted Average Shares Outstanding Diluted,305387,305387,305387,305387,305387,305387,- -,315287,407391,483459,506777,541519,502615,494306,494306,1480000,2149000,3439000,5338000,11097000,12779000,13766000,13709000,13792000,14116000,14427000,14823000,15024000,15625000,15780000,15693000,15621000,15825000
29,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100591/000100329704000212/argan10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/100591/000114420407020694/v072491_10ksb.htm,https://www.sec.gov/Archives/edgar/data/100591/000114420408024108/0001144204-08-024108-index.html,https://www.sec.gov/Archives/edgar/data/100591/000136231009005314/0001362310-09-005314-index.html,https://www.sec.gov/Archives/edgar/data/100591/000095012310034829/0000950123-10-034829-index.html,https://www.sec.gov/Archives/edgar/data/100591/000095012311035642/0000950123-11-035642-index.html,https://www.sec.gov/Archives/edgar/data/100591/000119312512161077/d281985d10k.htm,https://www.sec.gov/Archives/edgar/data/100591/000119312513153301/0001193125-13-153301-index.html,https://www.sec.gov/Archives/edgar/data/100591/000119312514142947/0001193125-14-142947-index.html,https://www.sec.gov/Archives/edgar/data/100591/000119312515131832/0001193125-15-131832-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465916111566/0001104659-16-111566-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465917022713/0001104659-17-022713-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465918023493/0001104659-18-023493-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465919020681/0001104659-19-020681-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465920046386/0001104659-20-046386-index.html,https://www.sec.gov/Archives/edgar/data/100591/000155837021004282/0001558370-21-004282-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,900000,800000,500000,200000,- -,- -,- -,164415,361523,828809,56829,8250,123330,265080,5212000,167000,5000,25393000,66827000,74666000,66009000,83292000,156524000,175142000,272209000,333691000,160909000,167198000,122107000,164318000,167363000,366671000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,2283000,- -,- -,- -,- -,- -,- -,- -,- -,114098000,355796000,311908000,132213000,160499000,90055000
33,Cash and Short-Term Investments,500000,900000,800000,500000,200000,- -,- -,- -,164415,361523,828809,56829,8250,123330,265080,8212000,167000,5000,27676000,66827000,74666000,66009000,83292000,156524000,175142000,272209000,333691000,275007000,522994000,434015000,296531000,327862000,456726000
34,Net Receivables,1500000,1500000,2600000,2900000,1800000,1600000,- -,- -,1503059,1602267,1749017,1589322,1701442,1088187,1159812,1523000,3063000,4183000,35188000,30481000,19311000,17910000,14542000,18834000,26057000,24214000,29571000,70237000,58028000,99327000,94531000,70571000,55348000
35,Inventory,1400000,1800000,2400000,3100000,3500000,4000000,- -,- -,1398561,1566865,1562939,1741088,2016792,2159755,1654797,- -,3465000,3410000,2387000,2808000,1347000,2010000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,- -,300000,400000,700000,100000,- -,- -,57595,76331,139931,156911,253721,269221,267572,1265000,1549000,758000,15674000,16134000,12428000,9302000,8208000,5219000,2909000,2136000,1092000,6479000,6927000,12409000,25286000,23322000,34146000
37,Total Current Assets,3500000,4200000,6100000,6900000,6200000,5700000,- -,- -,3123630,3606986,4280696,3544150,3980205,3640493,3347261,11000000,8244000,8356000,80925000,116250000,107752000,95231000,106042000,180577000,204108000,298559000,364354000,351723000,587949000,545751000,416348000,421755000,546220000
38,PP&E,300000,400000,1000000,1400000,1600000,1600000,- -,- -,954565,1118568,1110846,848034,695241,690536,668457,1913000,2703000,3324000,3250000,2892000,1214000,1540000,1478000,2761000,9468000,4183000,6518000,12308000,13112000,15299000,19778000,22539000,24121000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7505000,23981000,20337000,18476000,18476000,18476000,18476000,18476000,18476000,18476000,37405000,34913000,34329000,32838000,27943000,27943000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2360000,13392000,4134000,12661000,5296000,3655000,3258000,2908000,2574000,2331000,2088000,1845000,9344000,8181000,7149000,6137000,5001000,4097000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2360000,13392000,11639000,36642000,25633000,22131000,21734000,21384000,21050000,20807000,20564000,20321000,46749000,43094000,41478000,38975000,32944000,32040000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,590165,589985,589985,- -,- -,- -,- -,828000,1743000,1628000,999000,864000,341000,- -,- -,- -,- -,439000,1257000,7894000,249000
44,Other Non-Current Assets,400000,200000,100000,100000,100000,- -,- -,- -,16750,320750,1088403,1071207,339762,29722,29722,1476000,599000,303000,313000,260000,2324000,140000,639000,- -,- -,- -,- -,122000,92000,426000,290000,2408000,- -
45,Total Non-Current Assets,700000,600000,1100000,1500000,1700000,1600000,- -,- -,971315,1439318,2199249,1919241,1625168,1310243,1288164,5749000,16694000,15266000,40205000,29613000,27412000,25042000,24500000,24675000,30616000,24747000,26839000,59179000,56298000,57642000,60300000,65785000,56410000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4200000,4800000,7200000,8400000,7900000,7300000,- -,- -,4094945,5046304,6479945,5463391,5605373,4950736,4635425,16749000,24938000,23622000,121130000,145863000,135164000,120273000,130542000,205252000,234724000,323306000,391193000,410902000,644247000,603393000,476648000,487540000,602630000
48,Accounts Payable,- -,- -,- -,1400000,1600000,1500000,- -,- -,212397,467131,465678,428554,506207,402773,326894,918000,1803000,3205000,59953000,87796000,36910000,17906000,8555000,29524000,32699000,22589000,37691000,46395000,101944000,100238000,44427000,35442000,53295000
49,Short-Term Debt,1600000,400000,1000000,1300000,4200000,3200000,- -,- -,- -,168034,97200,597200,626698,533432,188948,1092000,2321000,1664000,2586000,2581000,2301000,1833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73359000,134736000,161564000,105863000,209241000,108388000,8349000,72685000,172042000
52,Other Current Liabilities,800000,1500000,2200000,800000,200000,200000,- -,- -,393482,430112,925210,325029,429986,516664,176663,696000,1378000,1971000,5880000,9370000,14929000,12128000,24313000,74755000,9488000,7911000,16177000,35454000,39539000,35360000,29500000,35907000,50750000
53,Total Current Liabilities,2400000,1900000,3200000,3500000,6000000,4900000,- -,- -,605879,1065277,1488088,1350783,1562891,1452869,692505,2706000,5502000,6840000,68419000,99747000,54140000,31867000,32868000,104279000,115546000,165236000,215432000,187712000,350724000,243986000,82276000,144034000,276087000
54,Long-Term Debt,400000,1000000,1200000,1100000,100000,100000,- -,- -,- -,- -,139400,92200,44200,18473,145905,- -,- -,3468000,6715000,4134000,1833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1064000,2520000,1618000,1471000,- -,- -,- -,- -,- -,- -,293000,809000,1335000,954000,1279000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000,481000,10000,14000,116000,85000,38000,29000,10000,10000,- -,- -,- -,- -,- -,- -,2476000,4135000
58,Total Non-Current Liabilities,500000,1100000,1300000,1200000,100000,100000,- -,- -,- -,- -,139400,92200,44200,18473,145905,1173000,3001000,5096000,8200000,4250000,1918000,38000,29000,10000,10000,293000,809000,1335000,954000,1279000,- -,2476000,4135000
59,Other Liabilities,1100000,1100000,1300000,1200000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3000000,3000000,4500000,4700000,6100000,5000000,- -,- -,605879,1065277,1627488,1442983,1607091,1471342,838410,3879000,8503000,11936000,76619000,103997000,56058000,31905000,32897000,104289000,115556000,165529000,216241000,189047000,351678000,245265000,82276000,146510000,280222000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,430579,430579,440979,441277,433967,433967,433967,270000,414000,572000,1664000,1667000,2015000,2038000,2040000,2049000,2096000,2143000,2195000,2226000,2319000,2336000,2337000,2346000,2356000
64,Retained Earnings,-200000,400000,1300000,2200000,-500000,-1100000,- -,- -,-1889240,-1397279,-668030,-1516407,-1538533,-2057421,-1739800,-2337000,-4916000,-15038000,-15151000,-18356000,-8337000,-1297000,6476000,8944000,23850000,53335000,73614000,99581000,154649000,211112000,247616000,189306000,166110000
65,Other Comprehensive Income/Loss,-700000,-800000,-900000,-1100000,-1300000,-1700000,- -,- -,-2452888,-2750092,-3082386,-34145251,-3366441,-3546793,-6000,849000,849000,849000,841000,727000,675000,-1000,-2979000,-3433000,-3762000,-4207000,-4396000,-565000,-762000,1422000,-346000,-1116000,-1081000
66,Other Total Stockholders Equity,2100000,2200000,2300000,2600000,3600000,5100000,- -,- -,7400615,7697819,8161894,39240789,8469289,8649641,5108848,14088000,20088000,25303000,57157000,57828000,84753000,87628000,92108000,93704000,98733000,105037000,114059000,117274000,135426000,143215000,144961000,148713000,153282000
67,Total Stockholders Equity,1200000,1800000,2700000,3700000,1800000,2300000,- -,- -,3489066,3981027,4852457,4020408,3998282,3479394,3797015,12870000,16435000,11686000,44511000,41866000,79106000,88368000,97645000,101264000,120917000,156308000,185472000,218516000,291632000,358085000,394568000,339249000,320667000
68,Total Liabilities And Stockholders Equity,4200000,4800000,7200000,8400000,7900000,7300000,- -,- -,4094945,5046304,6479945,5463391,5605373,4950736,4635425,16749000,24938000,23622000,121130000,145863000,135164000,120273000,130542000,205553000,236473000,321837000,401713000,407563000,643310000,603350000,476844000,485759000,600889000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-301000,-1749000,1469000,-10520000,3339000,937000,43000,-196000,1781000,1741000
70,Total Liabilities & Equity,4200000,4800000,7200000,8400000,7900000,7300000,- -,- -,4094945,5046304,6479945,5463391,5605373,4950736,4635425,16749000,24938000,23622000,121130000,145863000,135164000,120273000,130542000,205252000,234724000,323306000,391193000,410902000,644247000,603393000,476648000,487540000,602630000
71,SEC Link,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100591/000100329704000212/argan10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/100591/000114420407020694/v072491_10ksb.htm,https://www.sec.gov/Archives/edgar/data/100591/000114420408024108/0001144204-08-024108-index.html,https://www.sec.gov/Archives/edgar/data/100591/000136231009005314/0001362310-09-005314-index.html,https://www.sec.gov/Archives/edgar/data/100591/000095012310034829/0000950123-10-034829-index.html,https://www.sec.gov/Archives/edgar/data/100591/000095012311035642/0000950123-11-035642-index.html,https://www.sec.gov/Archives/edgar/data/100591/000119312512161077/d281985d10k.htm,https://www.sec.gov/Archives/edgar/data/100591/000119312513153301/0001193125-13-153301-index.html,https://www.sec.gov/Archives/edgar/data/100591/000119312514142947/0001193125-14-142947-index.html,https://www.sec.gov/Archives/edgar/data/100591/000119312515131832/0001193125-15-131832-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465916111566/0001104659-16-111566-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465917022713/0001104659-17-022713-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465918023493/0001104659-18-023493-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465919020681/0001104659-19-020681-index.html,https://www.sec.gov/Archives/edgar/data/100591/000110465920046386/0001104659-20-046386-index.html,https://www.sec.gov/Archives/edgar/data/100591/000155837021004282/0001558370-21-004282-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,900000,-2700000,-600000,- -,898119,662985,491961,729249,-848377,-22126,-518888,317621,-597000,-2579000,-9508000,-113000,-3205000,10019000,7040000,7774000,9272000,23265000,40125000,30445000,36345000,70328000,72011000,52036000,-42689000,23851000
74,Depreciation and Amortization,- -,- -,- -,-200000,-300000,-400000,- -,340103,318052,297204,332294,341173,273655,490392,182943,309000,1377000,2679000,3693000,7461000,2396000,971000,992000,789000,765000,792000,794000,1310000,3206000,3811000,4434000,4649000,4619000
75,Deferred Income Tax,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,-2366,-8527,- -,-320000,-1108000,-997000,-1029000,-2705000,-2169000,13000,410000,-51000,-139000,1701000,896000,3421000,1237000,-64000,-2139000,-6640000,7645000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1502000,652000,1316000,1536000,2017000,2374000,2344000,4651000,1645000,2131000,2938000
77,Change in Working Capital,- -,- -,- -,-1000000,-3200000,600000,- -,-246018,2531024,23958,250899,-599241,223947,-229690,467132,5639244,-5552000,-1226000,10990000,3997000,37109000,9752000,9810000,3124000,12264000,44761000,15599000,15089000,73214000,64540000,32307000,-56351000,-7588000
78,Accounts Receivable,- -,- -,- -,-300000,700000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7713000,-10359000,-2976000,-8826000,1294000,-3879000,-12194000,9217000,-39587000,-10200000,-1038000,8463000
79,Inventory,- -,- -,- -,-700000,-1100000,-600000,- -,73073,-194244,-168304,30968,-178149,-275704,-142963,254958,- -,-218000,319000,1023000,-976000,-176000,-1074000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,700000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,3400000,200000,800000,- -,- -,2517751,2541709,2792608,2193367,2417314,2187624,2654756,8294000,2742000,1516000,12506000,16503000,53612000,63364000,73174000,76298000,88562000,133323000,148922000,164011000,237225000,301765000,334072000,277721000,270133000
82,Other Non-Cash Items,- -,- -,- -,500000,4000000,300000,- -,320262,-3173243,-156644,-444057,118319,-434790,676433,-448030,-5309244,5649000,11374000,-26839000,36952000,-58823000,-30730000,-1151000,64929000,-5907000,10068000,43578000,-92136000,108715000,-217742000,-200605000,152465000,143215000
83,Cash Provided by Operating Activities,- -,- -,- -,200000,-2100000,-100000,- -,1312466,338818,656479,868385,-988126,38320,409720,519666,-278000,-2213000,2322000,-13298000,42500000,-11468000,-12954000,19337000,78715000,31564000,98983000,93329000,-33597000,259044000,-72793000,-112322000,53565000,174680000
84,CAPEX,- -,- -,- -,-600000,-800000,-300000,- -,-131336,- -,-461207,-264572,-252982,-68397,-144953,-160864,-424000,-242000,-1480000,-935000,-873000,-370000,-199000,-487000,-1738000,-7263000,-1136000,-2936000,-3118000,-2811000,-4826000,-8599000,-7058000,-1697000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-515308,- -,- -,- -,- -,- -,-6650000,-426000,24895000,- -,- -,5981000,- -,- -,- -,- -,- -,-17379000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33751000,-9000000,- -,- -,-19997000,- -,- -,- -,- -,- -,- -,- -,-252000000,-595000000,-542500000,-191000000,-195000000,-100000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,23906,63218,40889,- -,- -,- -,- -,- -,27000000,12000000,- -,- -,22268000,-1600000,- -,- -,- -,- -,- -,- -,138000000,354000000,587500000,370000000,166000000,170000000
88,Other Investing Activites,- -,- -,- -,- -,600000,100000,- -,326700,-253189,- -,- -,- -,- -,- -,- -,3112000,- -,80000,-1985000,45000,-1941000,79000,4000,2528000,-7263000,-1136000,-2936000,3960000,- -,-1500000,225000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-600000,-200000,-200000,- -,219270,-189971,-420318,-779880,-252982,-68397,-144953,-160864,-4063000,-3892000,-1826000,21975000,1443000,-3911000,5861000,-483000,790000,-7263000,-1136000,-2936000,-130537000,-243811000,38674000,170626000,-36058000,68303000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-1095262,-1432112,-39053,-49400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2301000,-1833000,- -,- -,-2450000,-614000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,1742900,- -,175100,16328,- -,- -,- -,24000,1012000,- -,12542000,77000,25799000,- -,- -,531000,2676000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32919,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6804000,-8359000,-10640000,-10166000,-10378000,-15260000,-15548000,-15570000,-15621000,-47047000
94,Other Financing Activites,- -,- -,- -,100000,2000000,200000,- -,-510915,-295220,- -,286000,452800,-18502,-149687,-217052,9529000,48000,-658000,4169000,-2586000,-2581000,737000,118000,- -,- -,12310000,-18131000,1730000,6401000,1926000,30000,1630000,1641000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,100000,2000000,200000,- -,-1606177,15568,-39053,378781,469128,-18502,-149687,-217052,9553000,1060000,-658000,16711000,-2509000,23218000,-1564000,-1715000,-6273000,-5683000,-780000,-28911000,-8648000,-8859000,-13622000,-15540000,-13991000,-45406000
