,https://roic.ai/company/HAE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,742000,6000,- -,- -,10926000,9375000,9474000,8095000,4525000,9912000,16199000,16834000
14,Depreciation and Amortization,- -,7000000,8500000,10700000,13700000,13100000,12300000,22900000,24600000,24906000,24499000,25616000,28431000,30149000,27576000,25150000,27504000,31197000,36462000,43236000,48145000,49966000,65481000,81740000,86053000,89911000,89733000,89247000,109418000,110289000,84287000
15,EBITDA,157300000,34700000,48500000,61500000,66200000,68300000,63000000,2000000,57100000,52406000,41825000,66416000,67031000,75949000,87376000,132056000,99840000,108519000,121524000,125278000,158252000,139464000,115378000,129019000,126593000,45969000,70352000,153404000,192963000,213640000,174034000
16,EBITDA ratio,1.0000,0.1967,0.2242,0.2476,0.2523,0.2455,0.2034,0.0070,0.2024,0.1886,0.1423,0.2076,0.1989,0.2085,0.2278,0.3146,0.2221,0.2101,0.2033,0.1941,0.2339,0.1916,0.1293,0.1375,0.1391,0.0506,0.0794,0.1697,0.1994,0.2161,0.1999
17,Operating Income,157300000,29900000,41800000,51800000,52400000,54300000,48400000,31000000,31700000,33633000,13420000,36448000,37479000,45877000,59943000,99018000,62745000,70287000,85567000,83281000,110548000,88758000,56437000,47327000,40540000,-43942000,-19381000,56157000,83545000,103351000,89747000
18,Operating Income ratio,1.0000,0.1695,0.1933,0.2085,0.1997,0.1952,0.1562,0.1085,0.1124,0.1210,0.0457,0.1139,0.1112,0.1260,0.1563,0.2359,0.1396,0.1361,0.1431,0.1290,0.1634,0.1219,0.0633,0.0504,0.0445,-0.0483,-0.0219,0.0621,0.0863,0.1046,0.1031
19,Total Other Income Expenses (Gains),- -,-2200000,-1800000,-1000000,100000,900000,2300000,-26500000,900000,-6333000,3906000,2052000,1121000,-77000,-143000,7882000,9591000,7013000,-567000,-1981000,-448000,740000,-6537000,-10927000,-9375000,-9474000,-8095000,3475000,-9912000,-16199000,-16834000
20,Income Before Tax,- -,27700000,40000000,50800000,52500000,55200000,50700000,4500000,32600000,27300000,17326000,38500000,38600000,45800000,59800000,106900000,72336000,77300000,85000000,81300000,110100000,89498000,49900000,36400000,31165000,-53416000,-27476000,59632000,73633000,87152000,72913000
21,Income Before Tax Ratio,- -,0.1570,0.1849,0.2045,0.2001,0.1984,0.1637,0.0157,0.1156,0.0982,0.0590,0.1203,0.1145,0.1258,0.1559,0.2547,0.1609,0.1497,0.1422,0.1260,0.1627,0.1230,0.0559,0.0388,0.0342,-0.0588,-0.0310,0.0660,0.0761,0.0882,0.0838
22,Income Tax expense (Gain),- -,9700000,15200000,19300000,18900000,19300000,17700000,3900000,11400000,8500000,10090000,10800000,10200000,16500000,20200000,37806000,23227000,25322000,25698000,22900000,30101000,22612000,11097000,1253000,14268000,2163000,-1208000,14060000,18614000,10626000,-6556000
23,Net Income,- -,18000000,24800000,31500000,33600000,35900000,33000000,-24800000,21100000,19000000,7236000,30000000,28400000,29300000,39600000,69100000,49109000,52000000,59300000,58400000,80000000,66886000,38800000,35100000,16897000,-55579000,-26268000,45572000,55019000,76526000,79469000
24,Net Income ratio,- -,0.1020,0.1147,0.1268,0.1280,0.1290,0.1065,-0.0868,0.0748,0.0684,0.0246,0.0938,0.0843,0.0805,0.1032,0.1646,0.1092,0.1007,0.0992,0.0905,0.1182,0.0919,0.0435,0.0374,0.0186,-0.0612,-0.0296,0.0504,0.0569,0.0774,0.0913
25,EPS,0.26,0.33,0.45,0.56,0.60,0.66,0.60,-0.47,0.40,0.35,0.14,0.57,0.57,0.60,0.78,1.30,0.92,1.00,1.17,1.15,1.59,1.29,0.76,0.68,0.33,-1.09,-0.51,0.86,1.07,1.51,1.57
26,EPS Diluted,0.25,0.32,0.43,0.55,0.59,0.65,0.60,-0.47,0.40,0.35,0.14,0.56,0.56,0.59,0.76,1.25,0.89,0.97,1.14,1.12,1.56,1.29,0.74,0.67,0.32,-1.09,-0.51,0.85,1.04,1.48,1.55
27,Weighted Average Shares Outstanding,55600000,55384615,55730337,55752212,55537190,54393939,54545455,52765957,53417722,52174000,50598000,52428000,49182000,48870000,51046000,52956000,53492000,51648000,50778000,50902000,50154000,50728000,51349000,51611000,51533000,50910000,51524000,52755000,51533000,50692000,50688000
28,Weighted Average Shares Outstanding Diluted,55600000,57142857,57011494,57798165,56949153,55230769,55000000,53333333,53417722,53002000,52010000,54310000,50096000,49390000,52290000,54948000,55298000,53492000,52346000,52126000,51192000,51590000,52259000,52377000,52089000,50910000,51524000,53501000,52942000,51815000,51292000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313143/000091064797000149/0000910647-97-000149-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064798000186/0000910647-98-000186-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064799000173/0000910647-99-000173-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064700000161/0000910647-00-000161-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064701500151/0000910647-01-500151-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064702000106/0000910647-02-000106-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313143/000110465906040688/a06-13357_110k.htm,https://www.sec.gov/Archives/edgar/data/313143/000110465907043148/0001104659-07-043148-index.html,https://www.sec.gov/Archives/edgar/data/313143/000104746908006945/0001047469-08-006945-index.html,https://www.sec.gov/Archives/edgar/data/313143/000095013509004179/0000950135-09-004179-index.html,https://www.sec.gov/Archives/edgar/data/313143/000095012310054652/0000950123-10-054652-index.html,https://www.sec.gov/Archives/edgar/data/313143/000095012311054481/0000950123-11-054481-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314312000071/hae201233110k.htm,https://www.sec.gov/Archives/edgar/data/313143/000031314313000085/0000313143-13-000085-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314314000055/0000313143-14-000055-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314315000033/0000313143-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314316000128/0000313143-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314317000017/0000313143-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314318000020/0000313143-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314319000022/0000313143-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314320000028/0000313143-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/313143/000031314321000023/0000313143-21-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2900000,10300000,16200000,4200000,13400000,8300000,21800000,56300000,61300000,41441000,34900000,49900000,118100000,185800000,250700000,229227000,133600000,156700000,141600000,196700000,228861000,179100000,192500000,160662000,115123000,139564000,180169000,169351000,137311000,192305000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,13600000,11900000,12300000,8000000,33042000,35400000,2700000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2900000,10300000,16200000,4200000,13400000,21900000,33700000,68600000,69300000,74483000,70300000,52600000,120000000,185800000,250700000,229227000,133600000,156700000,141600000,196700000,228861000,179100000,192500000,160662000,115123000,139564000,180169000,169351000,137311000,192305000
34,Net Receivables,- -,33400000,38800000,47500000,63300000,60300000,72200000,58900000,63000000,59100000,59842000,63700000,77900000,82600000,80700000,86900000,91832000,120300000,113600000,118700000,127200000,135464000,170100000,164600000,145827000,157093000,152683000,151226000,185027000,165207000,127555000
35,Inventory,- -,30600000,30300000,41300000,60000000,56700000,55100000,61700000,59800000,59800000,54007000,67200000,65800000,52200000,53100000,54600000,61797000,65400000,76500000,80000000,84400000,117163000,183800000,197700000,211077000,187028000,176929000,160799000,194337000,270276000,322614000
36,Other Current Assets,- -,11600000,16100000,25100000,30100000,28500000,18500000,36900000,39900000,21700000,30832000,31600000,27000000,26600000,24000000,26200000,20815000,40100000,35600000,45800000,40500000,45641000,64000000,68200000,40103000,28842000,40853000,28983000,27406000,30845000,51072000
37,Total Current Assets,- -,78500000,95500000,130100000,157600000,158900000,167700000,191200000,231300000,209900000,219164000,232800000,223300000,281400000,343600000,418400000,403671000,359400000,382400000,386100000,448800000,527129000,597000000,623000000,557669000,488086000,510029000,521177000,576121000,603639000,693546000
38,PP&E,- -,46800000,56000000,68300000,82100000,86400000,103600000,84200000,83000000,81600000,83251000,84900000,84000000,78000000,69300000,75300000,90775000,116500000,137800000,153300000,155500000,161657000,257000000,271400000,321948000,337634000,323862000,332156000,343979000,305635000,217559000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,14426000,14200000,16000000,17200000,18200000,18500000,34958000,54200000,56400000,120500000,115400000,115058000,330500000,336800000,334310000,267840000,210841000,211395000,210819000,210652000,466444000
40,Intangible Assets,- -,6900000,7600000,9300000,- -,- -,10300000,10700000,10500000,11400000,15842000,24200000,26300000,24800000,25800000,22900000,33857000,64300000,65300000,86100000,101800000,96549000,264400000,271200000,244588000,204458000,177540000,156589000,127693000,133106000,365483000
41,Intangible Assets,- -,6900000,7600000,9300000,- -,- -,10300000,10700000,10500000,13200000,30268000,38400000,42300000,42000000,44000000,41400000,68815000,118500000,121700000,206600000,217200000,211607000,594900000,608000000,578898000,472298000,388381000,367984000,338512000,343758000,831927000
42,Investments,- -,- -,- -,- -,- -,- -,31000000,38600000,24700000,10800000,- -,3200000,3000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,12800000,9900000,11700000,10700000,1737000,- -,- -,1700000,- -,- -,4513000,3300000,3100000,13500000,18700000,23000,29600000,29700000,32505000,21377000,12114000,3961000,19906000,10562000,6009000
44,Other Non-Current Assets,- -,12600000,21200000,23000000,40800000,42500000,-1900000,2100000,-4800000,22900000,10894000,5600000,6600000,2300000,10900000,11400000,4961000,11300000,4700000,1200000,-6900000,10719000,-16600000,-17900000,-5603000,-267000,4323000,12061000,-3751000,3516000,70882000
45,Total Non-Current Assets,- -,66300000,84800000,100600000,122900000,128900000,155800000,145500000,125100000,139200000,126150000,132100000,135900000,126000000,124200000,128100000,169064000,249600000,267300000,374600000,384500000,384006000,864900000,891200000,927748000,831042000,728680000,716162000,698646000,663471000,1126377000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,144800000,180300000,230700000,280500000,287800000,323500000,336700000,356400000,349100000,345314000,364900000,359200000,407400000,467800000,546500000,572735000,609000000,649700000,760700000,833300000,911135000,1461900000,1514200000,1485417000,1319128000,1238709000,1237339000,1274767000,1267110000,1819923000
48,Accounts Payable,- -,9100000,13200000,14700000,15600000,16900000,27900000,21700000,10700000,17200000,13350000,12500000,13700000,14200000,11100000,14200000,17187000,19700000,20700000,25600000,28300000,35425000,49900000,53600000,48425000,39674000,42973000,55265000,63361000,50730000,50293000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22438000,- -,- -,- -,- -,- -,22201000,- -,- -,- -,- -,894000,- -,- -,- -,- -,- -,194259000,- -,- -,24724000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6033000,- -,4053000,3113000,3819000,3876000,4407000,- -,8451000,- -,23657000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23737000,24777000,22362000,27053000,26485000,25814000,27279000,- -,26272000
52,Other Current Liabilities,- -,28400000,25300000,33900000,33500000,29500000,45700000,56700000,58400000,71300000,43659000,71600000,86700000,81600000,76800000,73900000,42629000,78000000,72200000,110900000,80400000,94425000,106463000,138523000,117897000,118824000,141721000,109365000,145119000,224092000,152206000
53,Total Current Liabilities,- -,37500000,38500000,48600000,49100000,46400000,73600000,78400000,69100000,88500000,79447000,84100000,100400000,95800000,87900000,88100000,82017000,97700000,92900000,136500000,108700000,130744000,180100000,216900000,188684000,185551000,211179000,384703000,235759000,274822000,253495000
54,Long-Term Debt,- -,15700000,10600000,9800000,25100000,15200000,10000000,53600000,52500000,41300000,47281000,40800000,31600000,25400000,19200000,13000000,6675000,6000000,5300000,4600000,4000000,2877000,456900000,392100000,406369000,364529000,253625000,59423000,322454000,305513000,753552000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1100000,4600000,11500000,13100000,9300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1237000,- -,9244000,3007000,4910000,18669000,23332000,29552000,29664000,32097000,21377000,12114000,9376000,19906000,10562000,47450000
57,Other Non-Current Liabilities,- -,-100000,-100000,- -,- -,-100000,14700000,10000000,12900000,12900000,3070000,3200000,4000000,6400000,5500000,2563000,4395000,1856000,8593000,21490000,15731000,21551000,26148000,37636000,32145000,26106000,22181000,31408000,28780000,89104000,33756000
58,Total Non-Current Liabilities,- -,16700000,15100000,21300000,38200000,24400000,24700000,63600000,65400000,54200000,50351000,44000000,35600000,31800000,24700000,16800000,11070000,17100000,16900000,31000000,38400000,47760000,512600000,459400000,470611000,412012000,287920000,100207000,371140000,405179000,834758000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59320000,70668000
61,Total Liabilities,- -,54200000,53600000,69900000,87300000,70800000,98300000,142000000,134500000,142700000,129798000,128100000,136000000,127600000,112600000,104900000,93087000,114800000,109800000,167500000,147100000,178504000,692700000,676300000,659295000,597563000,499099000,484910000,606899000,680001000,1088253000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,300000,300000,300000,300000,307000,300000,300000,300000,300000,300000,265000,300000,300000,300000,300000,253000,500000,500000,517000,509000,523000,523000,510000,503000,509000
64,Retained Earnings,- -,57000000,81700000,113200000,146800000,182700000,215700000,190800000,211800000,230700000,234325000,264600000,293000000,322300000,233800000,302800000,315767000,302200000,309500000,334600000,373600000,400783000,398200000,433300000,420365000,316184000,289916000,266942000,161418000,78512000,157981000
65,Other Comprehensive Income/Loss,- -,-25300000,-34200000,-45100000,-60900000,-74400000,-12400000,-19200000,-19600000,-26200000,-120632000,-32800000,-27000000,-13000000,-1000000,-3000000,-220079000,5000000,3000000,6000000,10000000,9000000,5000000,1000000,-22000000,-35000000,-33000000,-19000000,-30000000,-45000000,-29547000
66,Other Total Stockholders Equity,- -,58900000,79200000,92700000,107300000,108700000,21700000,22800000,29400000,1600000,101516000,4700000,-43063000,-29851000,122035000,141550000,383695000,186688000,227084000,252224000,302236000,322595000,365482000,403088000,427240000,439872000,482171000,503964000,535940000,553094000,602727000
67,Total Stockholders Equity,- -,90600000,126700000,160800000,193200000,217000000,225300000,194700000,221900000,206400000,215516000,236800000,223237000,279749000,355135000,441650000,479648000,494188000,539884000,593124000,686136000,732631000,769182000,837888000,826122000,721565000,739610000,752429000,667868000,587109000,731670000
68,Total Liabilities And Stockholders Equity,- -,144800000,180300000,230700000,280500000,287800000,323600000,336700000,356400000,349100000,345314000,364900000,359237000,407349000,467735000,546550000,572735000,608988000,649684000,760624000,833236000,911135000,1461882000,1514188000,1485417000,1319128000,1238709000,1237339000,1274767000,1267110000,1819923000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,-37000,51000,65000,-50000,- -,12000,16000,76000,64000,- -,18000,12000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,144800000,180300000,230700000,280500000,287800000,323500000,336700000,356400000,349100000,345314000,364900000,359200000,407400000,467800000,546500000,572735000,609000000,649700000,760700000,833300000,911135000,1461900000,1514200000,1485417000,1319128000,1238709000,1237339000,1274767000,1267110000,1819923000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313143/000091064797000149/0000910647-97-000149-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064798000186/0000910647-98-000186-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064799000173/0000910647-99-000173-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064700000161/0000910647-00-000161-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064701500151/0000910647-01-500151-index.html,https://www.sec.gov/Archives/edgar/data/313143/000091064702000106/0000910647-02-000106-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313143/000110465906040688/a06-13357_110k.htm,https://www.sec.gov/Archives/edgar/data/313143/000110465907043148/0001104659-07-043148-index.html,https://www.sec.gov/Archives/edgar/data/313143/000104746908006945/0001047469-08-006945-index.html,https://www.sec.gov/Archives/edgar/data/313143/000095013509004179/0000950135-09-004179-index.html,https://www.sec.gov/Archives/edgar/data/313143/000095012310054652/0000950123-10-054652-index.html,https://www.sec.gov/Archives/edgar/data/313143/000095012311054481/0000950123-11-054481-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314312000071/hae201233110k.htm,https://www.sec.gov/Archives/edgar/data/313143/000031314313000085/0000313143-13-000085-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314314000055/0000313143-14-000055-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314315000033/0000313143-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314316000128/0000313143-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314317000017/0000313143-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314318000020/0000313143-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314319000022/0000313143-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/313143/000031314320000028/0000313143-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/313143/000031314321000023/0000313143-21-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,18000000,24800000,31500000,33600000,35900000,33000000,-24800000,21100000,19000000,7236000,30000000,28400000,29300000,39600000,69100000,49109000,52000000,59300000,58400000,80000000,66886000,38800000,35100000,16897000,-55579000,-26268000,45572000,55019000,76526000,79469000
74,Depreciation and Amortization,- -,7000000,8500000,10700000,13700000,13100000,12300000,22900000,24600000,24906000,24499000,25616000,28431000,30149000,27576000,25150000,27504000,31197000,36462000,43236000,48145000,49966000,65481000,81740000,86053000,89911000,89733000,89247000,109418000,110289000,84287000
75,Deferred Income Tax,- -,400000,3400000,- -,900000,-3200000,3600000,-300000,-7300000,-1697000,2112000,-747000,4030000,1338000,3965000,-290000,- -,-882000,1645000,2592000,5782000,5878000,589000,-202000,4230000,-1038000,-6800000,-5828000,13351000,-6958000,-19866000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10181000,10267000,10810000,9286000,10969000,13081000,14095000,6949000,9150000,13025000,17188000,20454000,25516000
77,Change in Working Capital,- -,-6400000,16000000,24500000,27000000,4000000,-18400000,18700000,49400000,-40800000,18317000,8983000,-25800000,62700000,70100000,74600000,-8646000,-59954000,27800000,-39900000,90500000,56285000,20515000,-10800000,-37115000,-66450000,-3685000,-162376000,203888000,-11545000,111234000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,4364000,-3920000,-10539000,-38080000,6154000,8835000,-10328000,3155000,5087000,-38064000,18863000,44121000
79,Inventory,- -,-6700000,1100000,-10600000,-13500000,-200000,-900000,-14700000,2500000,-1843000,6417000,-18344000,-5486000,9267000,-4730000,-5501000,-8520000,-2874000,-11236000,-1665000,-2560000,-32528000,-18685000,-12684000,-16932000,11896000,-1552000,14385000,-39322000,-84721000,-38909000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,41000000,57000000,81500000,108500000,112500000,94100000,112800000,162200000,121400000,139717000,148700000,122900000,185600000,255700000,330300000,321654000,261700000,289500000,249600000,340100000,396385000,416900000,406100000,368985000,302535000,298850000,136474000,340362000,328817000,440051000
82,Other Non-Cash Items,- -,-200000,-16800000,-39700000,-59600000,5000000,-3800000,3900000,-54100000,52056000,8846000,-31614000,8606000,-48877000,-70034000,-82944000,15596000,55308000,-19024000,56073000,-111782000,-72983000,-51280000,20605000,43018000,148072000,97608000,240710000,-239583000,-30549000,-171835000
83,Cash Provided by Operating Activities,- -,18800000,35900000,27000000,15600000,54800000,26700000,20400000,33700000,53465000,61010000,32238000,43667000,74610000,71207000,85616000,83563000,77669000,116364000,130668000,123455000,115318000,85074000,139524000,127178000,121865000,159738000,220350000,159281000,158217000,108805000
84,CAPEX,- -,-11400000,-17600000,-22900000,-24900000,-19700000,-32000000,-20400000,-22500000,-23315000,-30540000,-21602000,-13535000,-13862000,-17530000,-36774000,-41458000,-57790000,-56379000,-56304000,-46669000,-53198000,-62188000,-73648000,-122220000,-102405000,-76135000,-74799000,-118961000,-48758000,-37040000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26572000,-10461000,- -,- -,-5039000,- -,-32501000,-46891000,-6004000,-77816000,-6357000,- -,-535175000,-32670000,- -,-3000000,- -,9000000,- -,-25192000,-390217000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47351000,-69852000,-11670000,- -,-49800000,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49726000,66525000,44306000,- -,88450000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-7000000,- -,-1300000,-5200000,-6200000,- -,-26600000,29200000,-6824000,4597000,2153000,384000,5991000,3347000,4669000,2843000,1834000,2383000,1785000,1468000,1002000,-60220000,-73160000,-121768000,-101768000,-73313000,-72041000,-116148000,-31984000,-35225000
89,Cash Used for Investing Activites,- -,-18400000,-17600000,-24200000,-30100000,-25900000,-32000000,-47000000,6700000,-30139000,-50140000,-33237000,19485000,-7871000,19428000,-32105000,-71116000,-102847000,-60000000,-132335000,-51558000,-52196000,-596395000,-105830000,-121768000,-104768000,-73313000,-63041000,-116148000,-57176000,-425442000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6274000,-754000,- -,-815000,-886000,-38027000,-9579000,-22285000,-42683000,-61654000,-266853000,-13125000,-21875000
91,Common Stock Issued,- -,7600000,1200000,2400000,1800000,2900000,4700000,3100000,6400000,8540000,14734000,13543000,4752000,18050000,26182000,15114000,14876000,17245000,- -,- -,- -,3723000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-2000000,- -,-100000,-15700000,-8900000,-15800000,-5600000,- -,-39703000,-4729000,-26914000,-50166000,- -,- -,- -,-40000000,-74996000,-59998000,-40000000,-50000000,-49998000,-50000000,- -,-39033000,-60984000,- -,-100000000,-160000000,-175000000,- -
