,https://roic.ai/company/CHKP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,15200000,39500000,69900000,95800000,221200000,321900000,255100000,243900000,248400000,319700000,278000000,281100000,324000000,357500000,452800000,544000000,620000000,652800000,659600000,685866000,724847000,802923000,821305000,825700000,846600000,815600000
24,Net Income ratio,0.4765,0.4572,0.4926,0.4362,0.5201,0.6101,0.5974,0.5638,0.4820,0.5518,0.4834,0.3846,0.4007,0.3867,0.4124,0.4362,0.4618,0.4683,0.4410,0.4208,0.4163,0.4329,0.4285,0.4139,0.4100,0.3764
25,EPS,0.01,0.02,0.04,0.14,0.42,1.34,1.04,0.98,0.99,1.30,1.18,1.26,1.51,1.71,2.18,2.63,3.04,3.40,3.50,3.83,4.26,4.93,5.24,5.48,6.03,5.80
26,EPS Diluted,0.01,0.02,0.03,0.13,0.37,1.25,1.00,0.96,0.95,1.27,1.17,1.25,1.50,1.68,2.13,2.54,2.96,3.27,3.43,3.74,4.18,4.82,5.15,5.43,5.96,5.80
27,Weighted Average Shares Outstanding,196347826,205061469,217559220,668790000,523374750,222930000,244097000,247691000,250902020,245910769,235616102,223066667,214361000,209371000,208106000,206917000,203918000,192263000,188487000,179218000,170155000,162720000,156632000,150600000,140500000,140500000
28,Weighted Average Shares Outstanding Diluted,196347826,205061469,217559220,739368000,590658750,246456000,254772000,255083000,261466316,251719685,237629915,224851200,216668000,212208000,212933000,213922000,209170000,199487000,192300000,183619000,173296000,166662000,159447000,152100000,142000000,140500000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015922/000095012302002761/0000950123-02-002761-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000117891303000149/0001178913-03-000149-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000117891304000390/0001178913-04-000390-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015922/000117891309000543/0001178913-09-000543-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000117891310000926/0001178913-10-000926-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000119312511086946/0001193125-11-086946-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000119312512155119/d229899d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312513115148/0001193125-13-115148-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000119312514121617/d657661d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312515146312/d859873d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312516564301/d121681d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312517148090/d343190d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312518138808/d528783d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312519114952/d693071d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312520095941/d880905d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13000000,5400000,13500000,202087000,367177000,219068000,444449000,327188000,157655000,298531000,519443000,509664000,543190000,414085000,551777000,493546000,574802000,408432000,261970000,192312000,187428000,245014000,303687000,279200000,255700000,271900000
32,Short-Term Investments,- -,- -,- -,40403000,71213000,267889000,341448000,809158000,796588000,1044312000,571621000,332355000,344895000,469913000,537718000,865994000,928535000,758382000,1050492000,1091915000,1185499000,1165716000,1448092000,1300100000,1432000000,1421800000
33,Cash and Short-Term Investments,13000000,5400000,13500000,242490000,438390000,486957000,785897000,1136346000,954243000,1342843000,1091064000,842019000,888085000,883998000,1089495000,1359540000,1503337000,1166814000,1312462000,1284227000,1372927000,1410730000,1751779000,1579300000,1687700000,1693700000
34,Net Receivables,9500000,19200000,33700000,56926000,102018000,93459000,90210000,92421000,116523000,127129000,141881000,201515000,251771000,283668000,283192000,357418000,373755000,379648000,366700000,410763000,478507000,472223000,495390000,495800000,540800000,597800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,41500000,59800000,69100000,- -,- -,- -,- -,- -,- -,24006000,22408000,21595000,54674000,34544000,44247000,53045000,47827000,53856000,68673000,40844000,41021000,81478000,74738000,59100000,50100000,46400000
37,Total Current Assets,64000000,84400000,116300000,299416000,540408000,580416000,876107000,1228767000,1070766000,1493978000,1255353000,1065129000,1194530000,1202210000,1416934000,1770003000,1924919000,1600318000,1747835000,1735834000,1892455000,1964431000,2321907000,2134200000,2278600000,2337900000
38,PP&E,1200000,2800000,7200000,9694000,11638000,13248000,10453000,7394000,8144000,7665000,47192000,56947000,56435000,38936000,37065000,36639000,36973000,37991000,41549000,48692000,61859000,77767000,78514000,87700000,88100000,83400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182115000,664910000,664602000,708458000,717052000,727875000,727875000,727875000,727875000,812012000,812012000,812012000,950572000,981900000,1002200000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,201393000,194510000,23117000,160133000,123151000,114192000,66765000,26239000,19211000,16191000,14085000,26008000,22155000,18395000,40967000,42800000,38500000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,201393000,194510000,205232000,825043000,787753000,822650000,783817000,754114000,747086000,744066000,741960000,838020000,834167000,830407000,991539000,1024700000,1040700000,1257200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,388000000,559000000,344000000,529000000,963001000,1325451000,1519865000,1792027000,2463110000,2370471000,2331187000,2296097000,2437315000,2287345000,2368800000,2311900000,2089700000
43,Tax Assets,- -,- -,- -,- -,5519000,- -,- -,- -,8439000,7323000,6977000,14920000,19003000,16307000,18122000,25296000,25553000,13557000,14368000,65711000,94608000,119431000,84688000,55300000,34400000,51700000
44,Other Non-Current Assets,200000,36700000,88700000,85236000,220074000,549244000,539051000,477504000,629149000,1019000,7039000,65428000,6895000,26490000,23913000,22146000,25835000,27395000,32635000,50436000,38450000,33575000,64220000,94200000,85500000,80300000
45,Total Non-Current Assets,1400000,39500000,95900000,94930000,237231000,562492000,549504000,484898000,847125000,598517000,825440000,1306338000,1399086000,1867384000,2188368000,2358060000,2627474000,3286119000,3200983000,3334046000,3325181000,3498495000,3506306000,3630700000,3560600000,3562300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,65400000,123900000,212200000,394346000,777639000,1142908000,1425611000,1713665000,1917891000,2092495000,2080793000,2371467000,2593616000,3069594000,3605302000,4128063000,4552393000,4886437000,4948818000,5069880000,5217636000,5462926000,5828213000,5764900000,5839200000,5900200000
48,Accounts Payable,1000000,3100000,3100000,4972000,3644000,4945000,4921000,4556000,6046000,5726000,7931000,6343000,7087000,8860000,9927000,3975000,9420000,10707000,12586000,17833000,20017000,12222000,20763000,15900000,17500000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24851000,24851000,72673000,111558000,129305000,6559000,17388000,5464000,- -,- -,- -,11900000,- -
51,Deferred Revenue,- -,- -,- -,- -,121202000,95703000,99227000,105889000,141114000,168998000,204149000,273693000,289998000,384255000,424158000,490655000,524627000,590752000,651281000,717528000,814418000,878287000,980175000,1011900000,1108600000,1257400000
52,Other Current Liabilities,6400000,19900000,32400000,96240000,102344000,124736000,128641000,134789000,131886000,133135000,145969000,110063000,105469000,160151000,229177000,267840000,337148000,385395000,268968000,321492000,331423000,316416000,330932000,368900000,417700000,454700000
53,Total Current Liabilities,7400000,23000000,35500000,101212000,227190000,225384000,232789000,245234000,279046000,307859000,358049000,390099000,402554000,553266000,663262000,762470000,871195000,986854000,932835000,1056853000,1165858000,1206925000,1331870000,1396700000,1543800000,1712100000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41005000,40394000,61523000,65063000,80871000,132732000,188255000,251166000,308286000,357779000,374800000,373300000,449700000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31465000,22225000,11636000,1721000,1274000,- -,308000,504000,240000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,400000,700000,1000000,626000,1166000,1796000,5780000,6886000,8021000,8915000,11211000,92948000,152972000,143969000,180594000,229705000,269826000,216307000,245188000,292666000,309489000,347592000,366175000,424600000,455900000,481300000
58,Total Non-Current Liabilities,400000,700000,1000000,626000,1166000,1796000,5780000,6886000,8021000,8915000,11211000,124413000,175197000,196610000,222709000,292502000,334889000,297486000,378424000,481161000,560655000,655878000,723954000,799400000,829200000,931000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7800000,23700000,36500000,101838000,228356000,227180000,238569000,252120000,287067000,316774000,369260000,514512000,577751000,749876000,885971000,1054972000,1206084000,1284340000,1311259000,1538014000,1726513000,1862803000,2055824000,2196100000,2373000000,2643100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,234000,723000,735000,740000,747000,771000,774000,774000,774000,774000,774000,774000,774000,774000,774000,774000,774000,774000,774000,774000,800000,800000,800000
64,Retained Earnings,19900000,60100000,129300000,225044000,446257000,768177000,1023257000,1267136000,1515529000,1781035000,2023580000,2297640000,2621606000,2978267000,3429079000,3973045000,4593045000,5245845000,5905416000,6591282000,7316129000,8203035000,9043014000,9868700000,10715300000,11530900000
65,Other Comprehensive Income/Loss,-400000,-1300000,-3800000,-7324000,-14431000,-19856000,-190000,158000,-10136000,-11783000,-6293000,1233000,-4673000,12555000,15584000,12650000,14606000,1839000,-1070000,-4250000,-9250000,-15634000,-24497000,21700000,40700000,-600000
66,Other Total Stockholders Equity,38100000,41400000,50200000,74554000,116734000,166672000,163235000,193504000,124660000,5695000,-306528000,-442692000,-601842000,-671878000,-726106000,-913378000,-1262116000,-1646361000,-2267561000,-3055940000,-3816530000,-4588052000,-5246902000,-6322400000,-7290600000,- -
67,Total Stockholders Equity,57600000,100200000,175700000,292508000,549283000,915728000,1187042000,1461545000,1630824000,1775721000,1711533000,1856955000,2015865000,2319718000,2719331000,3073091000,3346309000,3602097000,3637559000,3531866000,3491123000,3600123000,3772389000,3568800000,3466200000,3257100000
68,Total Liabilities And Stockholders Equity,65400000,123900000,212200000,394346000,777639000,1142908000,1425611000,1713665000,1917891000,2092495000,2080793000,2371467000,2593616000,3069594000,3605302000,4128063000,4552393000,4886437000,4948818000,5069880000,5217636000,5462926000,5828213000,5764900000,5839200000,5900200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,65400000,123900000,212200000,394346000,777639000,1142908000,1425611000,1713665000,1917891000,2092495000,2080793000,2371467000,2593616000,3069594000,3605302000,4128063000,4552393000,4886437000,4948818000,5069880000,5217636000,5462926000,5828213000,5764900000,5839200000,5900200000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015922/000095012302002761/0000950123-02-002761-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000117891303000149/0001178913-03-000149-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000117891304000390/0001178913-04-000390-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015922/000117891309000543/0001178913-09-000543-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000117891310000926/0001178913-10-000926-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000119312511086946/0001193125-11-086946-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000119312512155119/d229899d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312513115148/0001193125-13-115148-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000119312514121617/d657661d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312515146312/d859873d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312516564301/d121681d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312517148090/d343190d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312518138808/d528783d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312519114952/d693071d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312520095941/d880905d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,15200000,39500000,69900000,95800000,221200000,321900000,255100000,243900000,248400000,319700000,278000000,281100000,324000000,357500000,452800000,544000000,620000000,652800000,659600000,685866000,724847000,802923000,821305000,825700000,846600000,815600000
74,Depreciation and Amortization,600000,1200000,4500000,3603000,7107000,10354000,14955000,23682000,27279000,22060000,15686000,48278000,48894000,59538000,58766000,51545000,14889000,11565000,11284000,13970000,14736000,16636000,20788000,24000000,27100000,30700000
75,Deferred Income Tax,- -,- -,-100000,-1103000,-4312000,-240000,796000,-556000,257000,2789000,-3150000,-19323000,-14034000,-11386000,-11674000,-11552000,-1453000,28000,-12292000,-15847000,-32594000,64630000,16263000,9500000,10500000,1200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30907000,35180000,39835000,45287000,51112000,63169000,76302000,82732000,87459000,89327000,106700000,112500000,120300000
77,Change in Working Capital,-900000,6300000,-2400000,46259000,91653000,15141000,13096000,23880000,-1607000,9714000,41530000,19779000,43643000,116440000,144002000,101723000,149598000,111048000,43086000,176221000,153501000,117772000,180035000,133400000,154200000,216600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11256000,536000,-73674000,-16337000,-5893000,12948000,-43384000,-67744000,6284000,-21826000,-400000,-45000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2405000,789000,-5999000,5445000,1287000,1879000,5183000,2184000,-7795000,6636000,-4800000,1600000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-54000,105000,84000,9000,- -,1309000,521000,57129000,46006000,37594000,86941000,37569000,82091000,111983000,120756000,159948000,121700000,144801000,48700000,95200000,266000000
82,Other Non-Cash Items,-100000,1400000,-2400000,-211000,13000,20000,-20000,-21000,27711000,3729000,35456000,45171000,31526000,4108000,9502000,17413000,21220000,-15267000,21035000,10219000,3015000,20188000,15363000,5000000,10100000,-1400000
83,Cash Provided by Operating Activities,14800000,48400000,69500000,144348000,315661000,347175000,283927000,290885000,302040000,357992000,367522000,375005000,434029000,557107000,688576000,742964000,849541000,811286000,785882000,946731000,946237000,1109608000,1143081000,1104300000,1161000000,1183000000
84,CAPEX,-1200000,-2500000,-6100000,-6083000,-9051000,-9678000,-4596000,-2971000,-4500000,-4873000,-44890000,-16727000,-8301000,-4283000,-4910000,-7195000,-8195000,-9563000,-12736000,-17348000,-24050000,-28784000,-17149000,-25900000,-19300000,-15900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-95343000,- -,-14371000,-597638000,-8579000,-58787000,-13957000,-15060000,- -,- -,- -,-96544000,- -,- -,-154902000,-37600000,-23100000,-219700000
86,Purchases of Investments,-41900000,-18300000,-28600000,-26170000,-249073000,-706868000,-976085000,-1183323000,-1082890000,-809928000,-603133000,-187720000,-763083000,-1002305000,-1090416000,-1395853000,-1599717000,-1916832000,-1543143000,-1628287000,-1846931000,-1686445000,-1772549000,-2188900000,-2674100000,- -
87,Sales/Maturities of Investments,- -,- -,26800000,20854000,40523000,403600000,929787000,760438000,921265000,774883000,898883000,595590000,570937000,480968000,649821000,844020000,1233652000,1380463000,1309776000,1589297000,1761181000,1536408000,1614619000,2312400000,2618300000,- -
88,Other Investing Activites,100000,-37100000,-59500000,-136306000,7476000,-8635000,-22388000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-43000000,-57900000,-67400000,-147705000,-210125000,-321581000,-73282000,-425856000,-261468000,-39918000,236489000,-206495000,-209026000,-584407000,-459462000,-574088000,-374260000,-545932000,-246103000,-152882000,-109800000,-178821000,-329981000,60000000,-98200000,-235600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,37600000,1900000,6300000,15665000,25832000,37736000,14736000,17710000,34481000,54942000,51934000,24640000,35046000,92978000,103815000,71493000,61011000,67127000,70266000,102852000,129196000,127518000,353501000,95300000,216800000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-244586000,-236929000,-435491000,-209757000,-239542000,-202285000,-200000000,-300000000,-466164000,-534196000,-768176000,-985735000,-987897000,-995322000,-1103865000,-1278000000,-1297700000,-1306400000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-300000,- -,- -,-1465000,- -,- -,- -,- -,458000,6828000,13019000,7502000,4763000,1400000,11128000,35345000,11669000,19376000,17380000,-5397000,-4624000,-6000000,-5400000,194000000
95,Cash Used/Provided by Financing Activities,37600000,1900000,6000000,15665000,25832000,36271000,14736000,17710000,-210105000,-181987000,-383099000,-178289000,-191477000,-101805000,-91422000,-227107000,-394025000,-431724000,-686241000,-863507000,-841321000,-873201000,-754988000,-1188700000,-1086300000,-1112400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,37600000,1900000,6000000,12308000,131368000,61865000,225381000,-117261000,-169533000,136087000,220912000,-9779000,33526000,-129105000,137692000,-58231000,81256000,-166370000,-146462000,-69658000,-4884000,57586000,58673000,-24400000,-23500000,-216200000
98,Cash at the End of Period,- -,- -,- -,25835000,157203000,219068000,444449000,327188000,157655000,298531000,519443000,509664000,543190000,414085000,551777000,493546000,574802000,408432000,261970000,192312000,187428000,245014000,303687000,279200000,255700000,3783400000
99,Cash at the Beginning of Period,3600000,13000000,5400000,13527000,25835000,157203000,219068000,444449000,327188000,162444000,298531000,519443000,509664000,543190000,414085000,551777000,493546000,574802000,408432000,261970000,192312000,187428000,245014000,303600000,279200000,3999600000
100,Free Cash Flow,13600000,45900000,63400000,138265000,306610000,337497000,279331000,287914000,297540000,353119000,322632000,358278000,425728000,552824000,683666000,735769000,841346000,801723000,773146000,929383000,922187000,1080824000,1125932000,1078400000,1141700000,1167100000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015922/000095012302002761/0000950123-02-002761-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000117891303000149/0001178913-03-000149-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000117891304000390/0001178913-04-000390-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015922/000117891309000543/0001178913-09-000543-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000117891310000926/0001178913-10-000926-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000119312511086946/0001193125-11-086946-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000119312512155119/d229899d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312513115148/0001193125-13-115148-index.html,https://www.sec.gov/Archives/edgar/data/1015922/000119312514121617/d657661d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312515146312/d859873d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312516564301/d121681d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312517148090/d343190d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312518138808/d528783d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312519114952/d693071d20f.htm,https://www.sec.gov/Archives/edgar/data/1015922/000119312520095941/d880905d20f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
