,https://roic.ai/company/BUKS,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1560000,1590000,650000,1090000,1160000,1160000,1680000,1160000,1240000,1290000,1300000,1900000,2800000,1759339,3381825,1648178,1421764,1661584,2337888,2447519,2437095,2910775,4161755,3517125,3795772,5343755,4759470,11779348,23106774,17071000,16785000,14378000,14273000,14127000,13446000,14085000,12295000,14048000,14531000
11,COGS and Expenses,4470000,5470000,1610000,3340000,3610000,4110000,6670000,4030000,5580000,12430000,11000000,17500000,13900000,17518749,20776493,4805834,6529698,5708937,6346477,7752834,6139252,9214377,20595553,14370248,13429712,15444005,16261206,27973869,43506801,48928000,49326000,45350000,45743000,44172000,47119000,46137000,51437000,57565000,55580000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-230000,-180000,-130000,-100000,-120000,-140000,-230000,-400000,-150000,-60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301545,- -,- -,639732,504829,455827,364159,736000,1521000,1417000,1141000,471000,403000,331000,248000,4368000,3138000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,200000,220000,150000,150000,-100000,-100000,-200000,115703,134838,555335,381755,303514,260171,231192,178121,206375,422417,288526,390588,419089,576724,1040256,1516139,2200000,3528000,4481000,4032000,3761000,3409000,3347000,3376000,6357000,5856000
15,EBITDA,460000,360000,290000,-120000,-840000,760000,-3190000,-1170000,20000,430000,200000,200000,-1100000,392909,420887,797446,-1080917,-832558,-225306,1356248,204639,951363,3220095,726387,1107813,2693821,2416013,4395502,4311020,5659000,4085000,6043000,5338000,4349000,6114000,4559000,8852000,16293000,10738000
16,EBITDA ratio,0.0920,0.0596,0.1289,-0.0296,-0.2044,0.1587,-0.6170,-0.3391,0.0036,0.0344,0.0180,0.0113,-0.0833,0.0222,0.0195,0.1462,-0.1630,-0.1807,-0.0375,0.1502,0.0326,0.0940,0.1377,0.0475,0.0755,0.1527,0.1335,0.1349,0.0930,0.1040,0.0804,0.1278,0.1134,0.0971,0.1208,0.0945,0.1508,0.2473,0.1747
17,Operating Income,520000,570000,650000,720000,500000,690000,-1500000,-590000,-90000,70000,- -,- -,- -,194349,763822,650272,101657,-1102128,-337514,1275928,145576,907571,2794034,936879,1251330,2202560,1831882,3343748,2828527,5486000,1503000,1921000,1319000,622000,3500000,2123000,5278000,8306000,5900000
18,Operating Income ratio,0.1040,0.0944,0.2889,0.1773,0.1217,0.1441,-0.2901,-0.1710,-0.0164,0.0056,- -,- -,- -,0.0110,0.0355,0.1192,0.0153,-0.2392,-0.0562,0.1413,0.0232,0.0897,0.1195,0.0612,0.0852,0.1248,0.1012,0.1026,0.0610,0.1008,0.0296,0.0406,0.0280,0.0139,0.0691,0.0440,0.0899,0.1261,0.0960
19,Total Other Income Expenses (Gains),-60000,-170000,-100000,-70000,-80000,- -,-440000,-400000,-80000,270000,100000,100000,-200000,82857,-477773,-235880,-151927,-33944,-147963,-150872,-119058,-162583,-297901,-499018,-534105,-567560,-497422,-443455,-399075,-747000,-1510000,-1374000,-352000,286000,-418000,-327000,1747000,-3726000,-3131000
20,Income Before Tax,460000,400000,550000,650000,420000,690000,-1940000,-990000,-170000,340000,200000,- -,- -,277206,286049,414392,-50270,-1136072,-485477,1125056,26518,744988,2496133,437861,717225,1635000,1334460,2900293,2429452,4739000,-7000,547000,967000,908000,3082000,1796000,7025000,4580000,2769000
21,Income Before Tax Ratio,0.0920,0.0662,0.2444,0.1601,0.1022,0.1441,-0.3752,-0.2870,-0.0310,0.0272,0.0180,- -,- -,0.0156,0.0133,0.0760,-0.0076,-0.2466,-0.0808,0.1246,0.0042,0.0736,0.1067,0.0286,0.0489,0.0927,0.0738,0.0890,0.0524,0.0871,-0.0001,0.0116,0.0205,0.0203,0.0609,0.0372,0.1197,0.0695,0.0450
22,Income Tax expense (Gain),230000,140000,260000,330000,190000,260000,- -,- -,- -,- -,100000,- -,- -,6000,120357,164380,- -,- -,- -,- -,- -,10000,50500,72316,111680,360522,505146,9293,1171063,823000,-816000,33000,138000,93000,768000,540000,1375000,1334000,311000
23,Net Income,460000,400000,160000,-350000,-910000,640000,-3160000,-990000,20000,340000,200000,300000,-900000,271206,165692,77731,-1462672,-1136072,-485477,1125056,26518,734988,2445633,365545,605545,1274478,829314,2890126,1259659,1900000,-148000,112000,27000,24000,1534000,341000,3853000,4234000,1433000
24,Net Income ratio,0.0920,0.0662,0.0711,-0.0862,-0.2214,0.1336,-0.6112,-0.2870,0.0036,0.0272,0.0180,0.0169,-0.0682,0.0153,0.0077,0.0142,-0.2206,-0.2466,-0.0808,0.1246,0.0042,0.0726,0.1046,0.0239,0.0412,0.0722,0.0458,0.0887,0.0272,0.0349,-0.0029,0.0024,0.0006,0.0005,0.0303,0.0071,0.0656,0.0643,0.0233
25,EPS,0.17,0.14,0.05,-0.10,-0.25,0.17,-0.86,-0.27,0.01,0.07,0.04,0.04,-0.10,0.04,0.02,0.01,-0.12,-0.06,-0.02,0.03,0.00,0.02,0.06,0.01,0.01,0.02,0.02,0.05,0.02,0.03,-0.00,0.00,0.00,0.00,0.02,0.01,0.06,0.06,0.02
26,EPS Diluted,0.17,0.14,0.05,-0.10,-0.25,0.17,-0.86,-0.27,0.01,0.07,0.04,0.04,-0.10,0.04,0.02,0.01,-0.12,-0.06,-0.02,0.03,0.00,0.02,0.06,0.01,0.01,0.02,0.02,0.05,0.02,0.03,-0.00,0.00,0.00,0.00,0.02,0.01,0.06,0.06,0.02
27,Weighted Average Shares Outstanding,2740000,2900000,3020000,3530000,3650000,3670000,3680000,3700000,3800000,5060000,5000000,7500000,9000000,7466589,9411168,9418330,11845875,18634447,28487816,37284671,37921582,38944358,40215187,52577348,53055224,53815092,54864138,55398581,56108812,56596214,59014594,60893092,62260098,63466873,63455883,64387694,64511608,68622527,74144957
28,Weighted Average Shares Outstanding Diluted,2740000,2900000,3020000,3530000,3650000,3670000,3680000,3700000,3800000,5060000,5000000,7500000,9000000,10000000,10000000,10436549,17217875,18634447,28487816,43007671,46426744,48382404,40361199,52693673,53179990,53928434,54934092,55502899,56108812,56596214,59014594,60893092,62260098,63466873,63455883,64387694,64511608,68622527,74144957
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584796000005/0000015847-96-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584798000029/0000015847-98-000029-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584702000014/0000015847-02-000014-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584703000009/kfy03.htm,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584705000016/fye510kb.htm,https://www.sec.gov/Archives/edgar/data/15847/000001584706000005/fy0610k.htm,https://www.sec.gov/Archives/edgar/data/15847/000001584707000010/0000015847-07-000010-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584708000018/0000015847-08-000018-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584709000010/0000015847-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584710000018/0000015847-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584711000027/0000015847-11-000027-index.html,https://www.sec.gov/Archives/edgar/data/15847/000114036112034252/0001140361-12-034252-index.html,https://www.sec.gov/Archives/edgar/data/15847/000114036113029113/0001140361-13-029113-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584714000018/0000015847-14-000018-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584715000028/0000015847-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584716000069/0000015847-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/15847/000143774917012924/0001437749-17-012924-index.html,https://www.sec.gov/Archives/edgar/data/15847/000143774918013553/0001437749-18-013553-index.html,https://www.sec.gov/Archives/edgar/data/15847/000143774919014273/buks20190331_10k.htm,https://www.sec.gov/Archives/edgar/data/15847/000143774920015329/0001437749-20-015329-index.htm,https://www.sec.gov/Archives/edgar/data/15847/000143774921017053/0001437749-21-017053-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,30000,50000,20000,30000,20000,20000,80000,40000,10000,100000,1400000,200000,212799,256449,160598,164923,160090,108071,357149,378255,1160914,1066955,925577,1789169,2969715,1978038,8706546,8475525,7431000,5148000,6261000,6195000,7381000,6389000,7353000,9014000,16793000,22022000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,30000,50000,20000,30000,20000,20000,80000,40000,10000,100000,1400000,200000,212799,256449,160598,164923,160090,108071,357149,378255,1160914,1066955,925577,1789169,2969715,1978038,8706546,8475525,7431000,5148000,6261000,6195000,7381000,6389000,7353000,9014000,16793000,22022000
34,Net Receivables,1630000,1440000,1070000,1010000,1110000,830000,700000,280000,540000,440000,800000,1200000,1100000,161,1289571,974621,1098619,892484,1289849,378714,399576,646762,1330283,679086,961504,1289898,544025,2139835,2127865,3589000,4092000,3109000,1724000,1574000,4095000,3326000,3292000,2784000,2382000
35,Inventory,1650000,1760000,3040000,2470000,450000,470000,410000,660000,700000,600000,600000,700000,1000000,913011,2553280,1722946,2023744,3584684,3385807,3232137,3795940,6477208,9212610,694289,11918786,12408109,13163169,6885321,7014683,7711000,7504000,6336000,7037000,7963000,6857000,7119000,8885000,8615000,8568000
36,Other Current Assets,90000,170000,150000,220000,2270000,1300000,50000,40000,40000,50000,- -,400000,100000,1043644,122409,37880,72634,6184,9730,783308,368160,126667,31489,10371831,112333,207419,262026,452609,964117,1493000,829000,825000,862000,873000,994000,978000,2093000,1620000,1496000
37,Total Current Assets,3370000,3400000,4310000,3720000,3860000,2620000,1180000,1060000,1320000,1100000,1500000,3700000,2400000,2169615,4221709,2896045,3359920,4643442,4793457,4751308,4941931,8411551,11641337,12670783,14781792,16875141,15947258,18184311,18582190,20224000,17573000,16531000,15818000,17791000,18335000,18776000,23284000,29812000,34468000
38,PP&E,390000,1170000,1060000,810000,690000,1060000,1080000,1150000,1020000,900000,800000,500000,300000,284629,866705,1218504,1217201,1317306,1131246,1029666,974133,974000,2257352,2355960,2278559,4706923,4618991,6539516,8878802,10477000,15447000,12669000,11180000,9874000,10682000,10276000,14811000,54746000,56370000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1221435,1495175,2057019,1872121,1774057,1696202,1677000,2014000,3744000,5863000,6481000,6354000,6597000,6407000,6483000,8211000
41,Intangible Assets,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1221435,1495175,2057019,1872121,1774057,1696202,1677000,2014000,3744000,5863000,6481000,6354000,6597000,6407000,6483000,8211000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1806551,1806551,547460,2000000,2000000,4000000,4000000,6000000,6000000,6000000,7000000,6000000,6000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1226000,1226000,1167000,1303000,1335000,1197000,1104000,925000,193000,295000,331000,- -
44,Other Non-Current Assets,110000,340000,440000,640000,840000,650000,990000,90000,60000,70000,- -,1000000,1500000,1739285,6035594,6685107,6837630,4311238,4681911,3757560,3330470,3280217,2380116,889951,889951,1658224,1553236,1294603,-225500,5017000,3523000,3399000,1540000,1447000,482000,-1411000,-1895000,-2454000,2872000
45,Total Non-Current Assets,660000,1510000,1500000,1450000,1530000,1710000,2070000,1240000,1080000,970000,800000,1500000,1800000,2023914,6902299,7903611,8054831,5628544,5813157,4787226,4304603,4254217,5637468,5467346,5663685,10228717,9850899,11381636,13575504,20338000,26287000,25147000,25780000,24906000,24443000,22655000,25618000,65106000,67453000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4030000,4910000,5810000,5170000,5390000,4330000,3250000,2300000,2400000,2070000,2300000,5200000,4200000,4193529,11124008,10799656,11414751,10271986,10606614,9538534,9246534,12665768,17278805,18138129,20445477,27103858,25798157,29565947,32157694,40562000,43860000,41678000,41598000,42697000,42778000,41431000,48902000,94918000,101921000
48,Accounts Payable,590000,460000,630000,430000,670000,360000,970000,750000,570000,550000,300000,700000,600000,638741,904559,477098,715840,735237,807114,430636,407581,448204,1046651,549482,487551,558085,517483,712643,2093992,1169000,1509000,1375000,1874000,2018000,1919000,2215000,1774000,962000,1893000
49,Short-Term Debt,- -,- -,- -,- -,- -,20000,100000,30000,70000,20000,400000,700000,500000,37506,1570718,17968,1153659,996153,-181060,891129,457423,440254,485011,2375848,4450341,5498672,3561021,1815995,1899289,4219000,5928000,5665000,3922000,6452000,4901000,3999000,1907000,3391000,6079000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000,- -,- -,- -,- -,589000,- -,- -,206000,212000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1015000,- -,982000,837000,258000,892000,1396000,2758000,1994000,5798000
52,Other Current Liabilities,540000,280000,280000,310000,850000,1200000,1010000,3280000,1500000,1230000,900000,600000,400000,863654,1063759,1781437,890558,920385,2407210,1028229,1027504,3592307,4338993,3539379,2338574,2440789,2155875,6424581,5198548,2877000,2694000,2482000,2693000,2653000,3423000,2820000,3410000,4580000,3797000
53,Total Current Liabilities,1130000,740000,910000,740000,1520000,1580000,2080000,4060000,2140000,1800000,1600000,2000000,1500000,1539901,3539036,2276503,2760057,2651775,3033264,2349994,1892508,4480765,5870655,6464709,7276466,8497546,6234379,8953219,9191829,9280000,10131000,10504000,9326000,11381000,11135000,10430000,9849000,10927000,17567000
54,Long-Term Debt,1520000,1950000,2490000,2290000,2570000,800000,2400000,460000,470000,400000,400000,400000,100000,81347,1100000,2622293,2755596,3212821,3331612,- -,1659743,1528267,2088932,- -,- -,6416184,6345033,4304999,4940402,8678000,10155000,6820000,6870000,5218000,3347000,1735000,2076000,3211000,42575000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,944000,765000,400000
57,Other Non-Current Liabilities,- -,-10000,- -,- -,-10000,- -,- -,- -,- -,-10000,-50000,-300000,-20000,20000,1612718,39000,769319,- -,- -,1635234,- -,- -,- -,1844312,2521380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1689000,42211000,- -
58,Total Non-Current Liabilities,1520000,1940000,2490000,2290000,2560000,800000,2400000,460000,470000,390000,350000,100000,80000,101347,2712718,2661293,3524915,3212821,3331612,1635234,1659743,1528267,2088932,1844312,2521380,6416184,6345033,4304999,4940402,8678000,10155000,6820000,6870000,5218000,3347000,1735000,4709000,46187000,42975000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000,500000,180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2088932,1844312,2521380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1697000,43374000,2866000
61,Total Liabilities,2650000,2680000,3400000,3030000,4080000,2380000,4480000,4520000,2610000,2190000,2000000,2400000,1600000,1641248,6251754,4937796,6284972,5864596,6364876,3985228,3552251,6009032,7959587,8309021,9797846,14913730,12579412,13258218,14132231,17958000,20286000,17324000,16196000,16599000,14482000,12165000,14558000,57114000,60542000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,280000,310000,310000,300000,370000,370000,9490000,370000,40000,50000,- -,- -,- -,82310,95242,116730,153871,271818,369041,385216,386360,403059,531761,493810,538247,553697,562756,568413,571943,582000,596000,614000,628000,640000,652000,662000,710000,777000,790000
64,Retained Earnings,-7940000,-7540000,-7380000,-7670000,- -,- -,- -,-12040000,-12040000,-12040000,100000,200000,-700000,-677649,-274973,-140956,-1657617,-4803113,-5285571,-4160515,-4133997,-3399010,-953377,-587830,17715,1292193,2121507,5011633,6271292,8170000,8022000,8134000,8161000,8185000,9719000,10060000,13913000,18147000,19580000
65,Other Comprehensive Income/Loss,-420000,-490000,-330000,-410000,-110000,-680000,-960000,-690000,-780000,-920000,-1100000,-1100000,-800000,-804952,-938058,-1060705,-1275145,-1401922,-1590048,-1758222,-1861119,-1947111,120602,42708,-2324637,-2385105,-2635360,-3483811,-4769307,-6688000,-9435000,-12140000,-13473000,-13218000,-14506000,-15725000,-16714000,-20577000,- -
66,Other Total Stockholders Equity,9450000,9950000,9810000,9910000,1050000,2270000,- -,10140000,12570000,12790000,1300000,3700000,4100000,3952572,5990043,6946791,7908670,10340607,10748316,11086827,11303039,11599798,9620232,9880420,12416306,12729343,13169842,14210620,15951535,18524000,21737000,24690000,26228000,26202000,27722000,29005000,30094000,34464000,14991000
67,Total Stockholders Equity,1370000,2230000,2410000,2130000,1310000,1960000,-1230000,-2220000,-210000,-120000,300000,2800000,2600000,2552281,4872254,5861860,5129779,4407390,4241738,5553306,5694283,6656736,9319218,9829108,10647631,12190128,13218745,16306855,18025463,20588000,20920000,21298000,21544000,21809000,23587000,24002000,28003000,32811000,35361000
68,Total Liabilities And Stockholders Equity,4020000,4910000,5810000,5160000,5390000,4340000,3250000,2300000,2400000,2070000,2300000,5200000,4200000,4193529,11124008,10799656,11414751,10271986,10606614,9538534,9246534,12665768,17278805,18138129,20445477,27103858,25798157,29565073,32157694,38546000,41206000,38622000,37740000,38408000,38069000,36167000,42561000,89925000,95903000
69,Minority Interest,10000,- -,- -,10000,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,874,- -,2016000,2654000,3056000,3858000,4289000,4709000,5264000,6341000,4993000,6018000
70,Total Liabilities & Equity,4030000,4910000,5810000,5170000,5390000,4330000,3250000,2300000,2400000,2070000,2300000,5200000,4200000,4193529,11124008,10799656,11414751,10271986,10606614,9538534,9246534,12665768,17278805,18138129,20445477,27103858,25798157,29565947,32157694,40562000,43860000,41678000,41598000,42697000,42778000,41431000,48902000,94918000,101921000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584796000005/0000015847-96-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584798000029/0000015847-98-000029-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584702000014/0000015847-02-000014-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584703000009/kfy03.htm,- -,https://www.sec.gov/Archives/edgar/data/15847/000001584705000016/fye510kb.htm,https://www.sec.gov/Archives/edgar/data/15847/000001584706000005/fy0610k.htm,https://www.sec.gov/Archives/edgar/data/15847/000001584707000010/0000015847-07-000010-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584708000018/0000015847-08-000018-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584709000010/0000015847-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584710000018/0000015847-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584711000027/0000015847-11-000027-index.html,https://www.sec.gov/Archives/edgar/data/15847/000114036112034252/0001140361-12-034252-index.html,https://www.sec.gov/Archives/edgar/data/15847/000114036113029113/0001140361-13-029113-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584714000018/0000015847-14-000018-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584715000028/0000015847-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/15847/000001584716000069/0000015847-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/15847/000143774917012924/0001437749-17-012924-index.html,https://www.sec.gov/Archives/edgar/data/15847/000143774918013553/0001437749-18-013553-index.html,https://www.sec.gov/Archives/edgar/data/15847/000143774919014273/buks20190331_10k.htm,https://www.sec.gov/Archives/edgar/data/15847/000143774920015329/0001437749-20-015329-index.htm,https://www.sec.gov/Archives/edgar/data/15847/000143774921017053/0001437749-21-017053-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-3160000,-990000,20000,340000,200000,300000,-900000,271206,165692,77731,-1462672,-1136072,-485477,1125056,26518,734988,2445633,365545,605545,1274478,829314,2890126,1259659,1900000,-148000,112000,27000,24000,1534000,341000,3853000,4234000,1433000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,200000,220000,150000,150000,-100000,-100000,-200000,115703,134838,555335,381755,303514,260171,231192,178121,206375,422417,288526,390588,419089,576724,1040256,1516139,2200000,3528000,4481000,4032000,3761000,3409000,3347000,3376000,6357000,5856000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,92582,56287,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1226000,- -,59000,-136000,-33000,138000,93000,179000,732000,1078000,-260000,-225000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,662000,481000,266000,- -,- -,- -,- -,- -,224000,592000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,1060000,-2100000,2180000,120000,600000,1800000,-800000,-270286,52959,-63131,-19679,1391804,-231474,641121,648109,881363,1839896,435392,1299252,872269,1335284,-481787,159269,1553639,-3502000,-1415000,465000,-82000,790000,1146000,5089000,5450000,-1984000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,130000,420000,-260000,100000,-300000,-200000,- -,- -,- -,- -,177226,-89439,-405546,263850,-20862,-247185,-683521,651197,-282418,-328394,745872,-1595810,11970,-1461000,892000,-273000,1385000,-630000,-2521000,988000,-158000,481000,823000
79,Inventory,- -,- -,- -,- -,- -,- -,60000,-250000,-40000,100000,- -,100000,-300000,289321,-774379,-237621,-300798,-1004443,198877,232115,-575639,-2758645,-2784114,-1821242,-941398,-811991,-1472780,1327898,-718515,-697000,207000,-772000,-701000,-926000,1106000,-262000,-1766000,270000,47000
