,https://roic.ai/company/ULBI,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1492000,1171000,559000,440000,238000,218000,248000,263000,183000,63000,539000,436000,- -
14,Depreciation and Amortization,200000,200000,300000,600000,800000,800000,1400000,2200000,2038000,3811000,4265000,3133000,3309000,3181000,4866000,6178000,5970000,5727000,5350000,4319000,497000,402000,305000,235000,2726000,2427000,2369000,2745000,2935000,- -
15,EBITDA,-1500000,-600000,-2800000,-2800000,-2400000,-6400000,-5600000,-4900000,-8204000,-13451000,-20917000,9686000,4537000,-675000,1113000,11838000,23512000,-1631000,-328000,3326000,-107000,-47000,-1325000,3662000,6596000,8889000,8976000,9946000,10295000,-155000
16,EBITDA ratio,-1.0000,-0.1538,-0.5283,-0.1918,-0.1589,-0.4025,-0.3415,-0.2322,-0.3347,-0.5567,-0.6433,0.1219,0.0462,-0.0096,0.0119,0.0860,0.0923,-0.0095,-0.0018,0.0239,-0.0011,-0.0006,-0.0199,0.0479,0.0800,0.1039,0.1029,0.0931,0.0956,-0.0016
17,Operating Income,-2100000,-1400000,-4000000,-5200000,-6900000,-7800000,-10600000,-10000000,-13689000,-14966000,-25211000,5981000,5095000,-2902000,-2957000,-199000,17305000,-7362000,-5881000,2475000,-114000,-624000,-1443000,3330000,3763000,6476000,6555000,7368000,5701000,35000
18,Operating Income ratio,-1.4000,-0.3590,-0.7547,-0.3562,-0.4570,-0.4906,-0.6463,-0.4739,-0.5584,-0.6194,-0.7754,0.0753,0.0519,-0.0412,-0.0316,-0.0014,0.0679,-0.0428,-0.0329,0.0178,-0.0011,-0.0079,-0.0217,0.0436,0.0456,0.0757,0.0752,0.0690,0.0529,0.0004
19,Total Other Income Expenses (Gains),400000,600000,800000,1700000,3500000,700000,3500000,1600000,2538000,-2296000,29000,572000,-3867000,-954000,-796000,5859000,237000,-1478000,-998000,-383000,-460000,-225000,-359000,-180000,-183000,-181000,58000,-597000,1322000,-186000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17262000,-25182000,6553000,1228000,-3856000,-3753000,5660000,17542000,-8840000,-6879000,2092000,-574000,-849000,-1802000,3150000,3580000,6295000,6613000,6771000,7023000,-151000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.7144,-0.7745,0.0825,0.0125,-0.0547,-0.0401,0.0411,0.0689,-0.0514,-0.0385,0.0150,-0.0056,-0.0108,-0.0271,0.0412,0.0434,0.0736,0.0758,0.0634,0.0652,-0.0015
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000,-21104000,489000,23735000,77000,3879000,391000,-670000,528000,554000,239000,268000,310000,98000,-1369000,-18386000,1457000,1692000,79000
23,Net Income,-1700000,-800000,-3100000,-3400000,-3200000,-7200000,-7000000,-7100000,-10242000,-17262000,-25182000,6447000,22332000,-4345000,-27488000,5583000,13663000,-9241000,-6179000,-2080000,-1598000,-926000,-2116000,2869000,3509000,7648000,24930000,5205000,5232000,-234000
24,Net Income ratio,-1.1333,-0.2051,-0.5849,-0.2329,-0.2119,-0.4528,-0.4268,-0.3365,-0.4178,-0.7144,-0.7745,0.0811,0.2275,-0.0616,-0.2938,0.0406,0.0536,-0.0537,-0.0346,-0.0149,-0.0157,-0.0117,-0.0318,0.0375,0.0426,0.0894,0.2859,0.0487,0.0486,-0.0024
25,EPS,-0.63,-0.20,-0.57,-0.50,-0.41,-0.91,-0.84,-0.68,-0.94,-1.55,-2.03,0.49,1.59,-0.30,-1.84,0.36,0.79,-0.54,-0.36,-0.12,-0.09,-0.05,-0.12,0.18,0.23,0.49,1.57,0.33,0.33,-0.01
26,EPS Diluted,-0.63,-0.20,-0.57,-0.50,-0.41,-0.91,-0.84,-0.68,-0.94,-1.55,-2.03,0.46,1.48,-0.30,-1.84,0.36,0.78,-0.54,-0.36,-0.12,-0.09,-0.05,-0.12,0.17,0.23,0.48,1.53,0.32,0.33,-0.01
27,Weighted Average Shares Outstanding,2698413,4000000,5438596,6800000,7814302,7923022,8338374,10485000,10904000,11141000,12407000,13132000,14087000,14551000,14906000,15316000,17230000,16989000,17157000,17304000,17403000,17465000,17475000,16182000,15261000,15528000,15882000,15783000,15902000,15902000
28,Weighted Average Shares Outstanding Diluted,2698413,4000000,5438596,6800000,8000000,7923022,8338374,10485000,10904000,11141000,12407000,13917000,15074000,14551000,14906000,15557000,17705000,16989000,17157000,17336000,17403000,17465000,17475000,16419000,15405000,15858000,16347000,16179000,16096000,16096000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875657/0000891092-96-000234-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875657/000089109200000858/0000891092-00-000858-index.html,https://www.sec.gov/Archives/edgar/data/875657/000089109201500677/0000891092-01-500677-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/875657/000095015205002352/l12090ae10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000095015206002427/l17878ae10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000095015207002362/l24294ae10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000095015208002100/l30016ae10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000095015209002617/0000950152-09-002617-index.html,https://www.sec.gov/Archives/edgar/data/875657/000095012310025297/0000950123-10-025297-index.html,https://www.sec.gov/Archives/edgar/data/875657/000095012311025549/c14158e10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000119312512112219/0001193125-12-112219-index.html,https://www.sec.gov/Archives/edgar/data/875657/000117184313001017/0001171843-13-001017-index.html,https://www.sec.gov/Archives/edgar/data/875657/000117184314001248/f10k_031414.htm,https://www.sec.gov/Archives/edgar/data/875657/000087565715000010/ulbik2014.htm,https://www.sec.gov/Archives/edgar/data/875657/000087565716000069/0000875657-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774917002050/0001437749-17-002050-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774918001990/0001437749-18-001990-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774919001995/0001437749-19-001995-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774920001842/0001437749-20-001842-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774921001946/0001437749-21-001946-index.htm,https://www.sec.gov/Archives/edgar/data/875657/000143774922005572/0001437749-22-005572-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,2200000,1000000,1700000,1200000,2300000,900000,800000,5712000,494000,- -,830000,10529000,3214000,720000,2245000,1878000,6094000,4641000,5320000,9656000,16066000,17711000,14393000,10629000,18241000,25583000,7405000,10562000,8413000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,22800000,12927000,3113000,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1100000,2200000,1000000,1700000,1200000,2300000,900000,23600000,18639000,3607000,- -,830000,11529000,3214000,720000,2245000,1878000,6094000,4641000,5320000,9656000,16066000,17711000,14393000,10629000,18241000,25583000,7405000,10562000,8413000
34,Net Receivables,500000,800000,1400000,4200000,4900000,2700000,3000000,3600000,3456000,4115000,- -,20153000,8585000,10965000,24197000,26540000,30588000,32449000,34270000,21853000,21664000,14668000,11479000,11607000,13179000,14657000,16015000,30106000,21054000,20025000
35,Inventory,600000,1200000,1700000,5200000,8400000,5300000,3900000,5000000,5682000,5289000,- -,10209000,13938000,19446000,27360000,35098000,40465000,35503000,33122000,34967000,30370000,26053000,26086000,23814000,23456000,26326000,22843000,29759000,28193000,33189000
36,Other Current Assets,3300000,21400000,21400000,26200000,22300000,21500000,37000000,2000000,1176000,912000,- -,1364000,6131000,5737000,3603000,4410000,2242000,1912000,3621000,2093000,2132000,1871000,1574000,2132000,2250000,2692000,2780000,3103000,4687000,4098000
37,Total Current Assets,5500000,25600000,25500000,37300000,36800000,31800000,44800000,34200000,28953000,13923000,- -,32556000,40183000,39362000,55880000,68293000,75173000,75958000,75654000,64233000,63822000,58658000,56850000,51946000,49514000,61916000,67221000,70373000,64496000,65725000
38,PP&E,1800000,1800000,3300000,4700000,10700000,18900000,30100000,31800000,32785000,32997000,- -,18213000,20202000,19931000,19396000,19365000,18465000,16648000,14485000,12588000,12415000,10202000,9812000,9038000,7999000,7570000,10744000,22525000,22850000,23979000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13344000,21180000,22943000,25436000,18276000,18356000,16344000,16419000,16407000,16283000,19965000,20458000,20109000,26753000,27018000,38161000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,383000,283000,- -,- -,- -,- -,9072000,13113000,12925000,13064000,6150000,5533000,5039000,4646000,4338000,3946000,7194000,7085000,6504000,9721000,9209000,17060000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,383000,283000,- -,- -,- -,- -,22416000,34293000,35868000,38500000,24426000,23889000,21383000,21065000,20745000,20229000,27159000,27543000,26613000,36474000,36227000,55221000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,15444000,13222000,11836000,11408000
44,Other Non-Current Assets,100000,2800000,1300000,20600000,13100000,700000,900000,500000,2339000,- -,- -,1583000,20749000,21464000,66000,97000,81000,60000,270000,105000,98000,269000,235000,309000,72000,125000,82000,1963000,2292000,2717000
45,Total Non-Current Assets,1900000,4600000,4600000,25300000,23800000,19600000,31000000,32300000,35507000,33280000,- -,19796000,40951000,41395000,41878000,53755000,54414000,55208000,39181000,36582000,33896000,31536000,30792000,29576000,35230000,35270000,52883000,74184000,73205000,93325000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7400000,30200000,30100000,62600000,60600000,51400000,75800000,66500000,64460000,47203000,- -,52352000,81134000,80757000,97758000,122048000,129587000,131166000,114835000,100815000,97718000,90194000,87642000,81522000,84744000,97186000,120104000,144557000,137701000,159050000
48,Accounts Payable,700000,1100000,1600000,3600000,3400000,2700000,4800000,3800000,2886000,3755000,- -,6385000,3545000,5218000,15925000,18326000,20255000,19177000,16409000,13766000,11357000,7053000,6996000,6494000,7292000,8787000,9919000,9388000,10839000,9466000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,100000,100000,1087000,1065000,- -,8295000,2390000,7715000,12246000,13423000,1425000,19082000,8717000,- -,- -,- -,- -,- -,- -,- -,- -,1372000,1361000,2000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,54000,11000,2000,94000,69000,227000,172000,168000,121000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4534000,3343000,2887000,1786000,1851000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,100000,200000,900000,1000000,800000,1900000,2100000,1900000,2442000,2282000,- -,3174000,3603000,5450000,9639000,10083000,6022000,6532000,8332000,7606000,6684000,4971000,4215000,4353000,4036000,5452000,5028000,6430000,6506000,6894000
53,Total Current Liabilities,800000,1300000,2500000,4600000,4200000,4600000,7000000,5800000,6415000,7102000,- -,17854000,9538000,18383000,37810000,41832000,32236000,48134000,36345000,23158000,19892000,12024000,11211000,10847000,11328000,14239000,14947000,17190000,18706000,18360000
54,Long-Term Debt,1800000,1800000,- -,- -,- -,- -,200000,200000,3567000,2648000,- -,68000,7215000,25000,20043000,16224000,4670000,267000,251000,- -,- -,- -,- -,- -,- -,- -,- -,15780000,- -,18857000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3894000,4100000,3906000,4170000,4160000,4242000,4462000,4631000,5538000,3867000,591000,559000,515000,2330000
57,Other Non-Current Liabilities,100000,- -,- -,- -,- -,- -,100000,100000,1000,- -,- -,- -,756000,242000,316000,985000,634000,551000,538000,261000,210000,283000,56000,28000,18000,31000,32000,1278000,1557000,1760000
58,Total Non-Current Liabilities,1900000,1800000,- -,- -,- -,- -,300000,300000,3568000,2648000,- -,68000,7971000,267000,20359000,17209000,9198000,4918000,4695000,4431000,4370000,4525000,4518000,4659000,5556000,3898000,623000,17617000,2072000,22947000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2700000,3100000,2500000,4600000,4200000,4600000,7300000,6100000,9983000,9750000,- -,17922000,17509000,18650000,58169000,59041000,41434000,53052000,41040000,27589000,24262000,16549000,15729000,15506000,16884000,18137000,15570000,34807000,20778000,41307000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1100000,1141000,1149000,- -,1430000,1502000,1547000,1578000,1712000,1815000,1831000,1865000,1874000,1886000,1888000,1894000,1918000,1932000,1966000,2005000,2026000,2037000,2052000
64,Retained Earnings,-2300000,-3100000,-6200000,-9600000,-12900000,-20100000,-27100000,-34200000,-44462000,-61724000,- -,-84525000,-62193000,-66538000,-94026000,-88443000,-74780000,-84021000,-90200000,-92280000,-93878000,-94804000,-96920000,-94051000,-90542000,-82894000,-57964000,-52830000,-47598000,-47832000
65,Other Comprehensive Income/Loss,-200000,-500000,-700000,-1200000,-1900000,-2600000,-3800000,-5600000,-7564000,-11275000,- -,-723000,-605000,-1054000,-321000,69000,-1930000,-1256000,-1262000,-985000,-620000,-614000,-467000,-907000,-3080000,-1611000,-2786000,-2531000,-1782000,-1653000
66,Other Total Stockholders Equity,7200000,30700000,34500000,68800000,71200000,69500000,99400000,99100000,105362000,109303000,- -,118248000,124921000,128152000,132358000,149669000,163027000,161506000,163368000,164651000,166133000,167274000,167520000,159199000,159720000,161742000,163364000,163061000,164143000,- -
67,Total Stockholders Equity,4700000,27100000,27600000,58000000,56400000,46800000,68500000,60400000,54477000,37453000,- -,34430000,63625000,62107000,39589000,63007000,88132000,78060000,73771000,73260000,73521000,73744000,72027000,66159000,68030000,79203000,104619000,109726000,116800000,117616000
68,Total Liabilities And Stockholders Equity,7400000,30200000,30100000,62600000,60600000,51400000,75800000,66500000,64460000,47203000,- -,52352000,81134000,80757000,97758000,122048000,129566000,131112000,114811000,100849000,97783000,90293000,87756000,81665000,84914000,97340000,120189000,144533000,137578000,158923000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000,54000,24000,-34000,-65000,-99000,-114000,-143000,-170000,-154000,-85000,24000,123000,127000
70,Total Liabilities & Equity,7400000,30200000,30100000,62600000,60600000,51400000,75800000,66500000,64460000,47203000,- -,52352000,81134000,80757000,97758000,122048000,129587000,131166000,114835000,100815000,97718000,90194000,87642000,81522000,84744000,97186000,120104000,144557000,137701000,159050000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875657/0000891092-96-000234-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875657/000089109200000858/0000891092-00-000858-index.html,https://www.sec.gov/Archives/edgar/data/875657/000089109201500677/0000891092-01-500677-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/875657/000095015205002352/l12090ae10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000095015206002427/l17878ae10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000095015207002362/l24294ae10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000095015208002100/l30016ae10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000095015209002617/0000950152-09-002617-index.html,https://www.sec.gov/Archives/edgar/data/875657/000095012310025297/0000950123-10-025297-index.html,https://www.sec.gov/Archives/edgar/data/875657/000095012311025549/c14158e10vk.htm,https://www.sec.gov/Archives/edgar/data/875657/000119312512112219/0001193125-12-112219-index.html,https://www.sec.gov/Archives/edgar/data/875657/000117184313001017/0001171843-13-001017-index.html,https://www.sec.gov/Archives/edgar/data/875657/000117184314001248/f10k_031414.htm,https://www.sec.gov/Archives/edgar/data/875657/000087565715000010/ulbik2014.htm,https://www.sec.gov/Archives/edgar/data/875657/000087565716000069/0000875657-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774917002050/0001437749-17-002050-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774918001990/0001437749-18-001990-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774919001995/0001437749-19-001995-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774920001842/0001437749-20-001842-index.html,https://www.sec.gov/Archives/edgar/data/875657/000143774921001946/0001437749-21-001946-index.htm,https://www.sec.gov/Archives/edgar/data/875657/000143774922005572/0001437749-22-005572-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1700000,-800000,-3100000,-3400000,-3200000,-7200000,-7000000,-7100000,-10242000,-17262000,-25182000,6447000,22332000,-4345000,-27488000,5583000,13663000,-9241000,-6179000,-2080000,-1598000,-926000,-2116000,2869000,3509000,7648000,24930000,5205000,5232000,-234000
74,Depreciation and Amortization,200000,200000,300000,600000,800000,800000,1400000,2200000,2038000,3811000,4265000,3133000,3309000,3181000,4866000,6178000,5970000,5727000,5350000,4319000,497000,402000,305000,235000,2726000,2427000,2369000,2745000,2935000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23735000,77000,3297000,360000,-115000,496000,15000,113000,196000,183000,135000,-1669000,-18643000,1211000,1386000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1330000,1077000,1225000,1379000,1131000,1003000,571000,710000,653000,890000,753000,943000,- -
77,Change in Working Capital,-300000,4700000,19600000,-1300000,9700000,-100000,-5400000,10600000,-9400000,-5862000,-15717000,7881000,15943000,-9666000,-2909000,8391000,16476000,-15113000,11485000,1766000,2855000,2704000,-995000,-4540000,-2913000,9491000,4597000,909000,-7393000,1575000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1721000,-1588000,14081000,1183000,6694000,2878000,-217000,-667000,-1295000,-1511000,-10416000,9211000,- -
79,Inventory,-500000,-700000,- -,-4000000,-2800000,3000000,2100000,-1200000,-1074000,381000,660000,-4784000,-4640000,-6115000,-2366000,-7348000,-9170000,6596000,1980000,-5453000,4122000,4399000,-46000,2101000,1981000,-2537000,3186000,-2196000,1799000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1775000,- -,-5611000,-6714000,-2003000,723000,-1362000,2661000,-822000,1125000,1652000,- -
81,Other Working Capital,- -,4700000,24300000,23000000,32700000,32600000,27200000,37800000,28400000,22538000,6821000,14702000,30645000,20979000,18070000,26461000,42937000,27824000,39309000,41075000,43930000,46634000,45639000,41099000,38186000,47677000,52274000,53183000,45790000,47365000
82,Other Non-Cash Items,300000,-5700000,-19000000,-2900000,-14000000,4900000,8300000,-13700000,7072000,9643000,28435000,-22028000,-30709000,5243000,1947000,-18660000,-20348000,18969000,-709000,5236000,1620000,3473000,5272000,9233000,3486000,-11280000,-3257000,-13793000,18617000,-1341000
83,Cash Provided by Operating Activities,-1500000,-1600000,-2200000,-7000000,-6700000,-1600000,-2700000,-8000000,-10532000,-9670000,-8199000,-4567000,10875000,-5587000,151000,1569000,19058000,2032000,10909000,10962000,4768000,6897000,3665000,8551000,7653000,7270000,10886000,-2970000,21720000,- -
84,CAPEX,-200000,-200000,-800000,-1900000,-6700000,-8900000,-12200000,-3400000,-2946000,-4367000,-2330000,-5560000,-5437000,-3309000,-1455000,-2073000,-3787000,-2035000,-1815000,-2362000,-2685000,-766000,-1653000,-2910000,-1219000,-1392000,-4185000,-6281000,-3101000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7013000,-8678000,-3171000,-6766000,-137000,-50000,- -,- -,- -,- -,-9857000,- -,- -,-25248000,- -,- -
86,Purchases of Investments,-4800000,-79800000,-7300000,-122900000,-71200000,-139500000,-164400000,-94400000,-70934000,-26794000,-8424000,- -,-3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,4200000,62200000,13200000,99400000,82700000,151000000,149200000,106100000,83568000,36607000,11334000,- -,2500000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,100000,-2600000,-100000,- -,- -,-500000,- -,-3237000,- -,995000,-2300000,67000,25000,- -,- -,- -,- -,1000,413000,1873000,497000,268000,- -,65000,- -,- -,- -,120000,- -
89,Cash Used for Investing Activites,-800000,-17700000,2500000,-25500000,4800000,2600000,-27900000,8300000,6451000,5446000,1575000,-7860000,-6370000,-2284000,-8468000,-10751000,-6958000,-8801000,-1951000,-1999000,-812000,-269000,-1385000,-2910000,-11011000,-1392000,-4185000,-31529000,-2981000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2519000,-10684000,-8549000,- -,- -,- -,- -,-3030000,- -,- -,-866000,-19301000,- -
91,Common Stock Issued,2800000,20500000,300000,33200000,1400000,200000,29100000,- -,5275000,607000,8691000,4921000,4172000,2488000,1231000,13936000,2526000,349000,55000,73000,115000,12000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1815000,-3326000,- -,- -,- -,- -,-762000,-9388000,-607000,- -,-742000,-1957000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-1800000,- -,- -,- -,- -,100000,4332000,-941000,-462000,6810000,1006000,-1825000,4429000,-3509000,-13434000,16257000,- -,-128000,- -,- -,11000,520000,3462000,1403000,1910000,18947000,3607000,- -
95,Cash Used/Provided by Financing Activities,2800000,20500000,-1500000,33200000,1400000,-100000,29100000,100000,9607000,-334000,8229000,11731000,5178000,663000,5660000,10427000,-12723000,10761000,-10629000,-8604000,115000,12000,-751000,-8868000,-175000,1403000,1168000,16124000,-15694000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,100000,-500000,-590000,76000,-83000,204000,16000,-107000,163000,280000,256000,224000,218000,320000,265000,-230000,116000,-91000,-231000,331000,-265000,-154000,203000,- -
97,Net Change In Cash,2800000,20500000,-1500000,33200000,1400000,-100000,29100000,-100000,4936000,-4482000,1522000,-492000,9699000,-7315000,-2494000,1525000,-367000,4216000,-1453000,679000,4336000,6410000,1645000,-3318000,-3764000,7612000,7604000,-18529000,3248000,- -
