,https://roic.ai/company/EVRI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.58,0.71,0.82,3.56,0.30,0.32,0.29,0.31,0.45,0.26,0.14,0.38,0.36,0.18,-1.59,-3.78,-0.78,0.17,0.21,-0.96,1.51
27,Weighted Average Shares Outstanding,32175000,32175000,32175000,32175000,45643000,81641000,81108000,76787000,74232000,65903000,64673000,65933000,66014000,65780000,65854000,66050000,66816000,69464000,72376000,85379000,90332000
28,Weighted Average Shares Outstanding Diluted,71500000,71500000,71500000,71566000,74486000,81921000,81377000,76796000,75356000,67272000,64859000,67337000,67205000,66863000,65854000,66050000,66816000,73796000,79235000,85379000,101359000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318568/000136231007000366/0001362310-07-000366-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000136231008001487/0001362310-08-001487-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000136231009003458/0001362310-09-003458-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000095012310024786/0000950123-10-024786-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000095012311025240/0000950123-11-025240-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000104746912002471/0001047469-12-002471-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000104746913002599/0001047469-13-002599-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000104746914002144/0001047469-14-002144-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000104746915002295/a2223630z10-k.htm,https://www.sec.gov/Archives/edgar/data/1318568/000155837016004171/0001558370-16-004171-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000155837017001764/0001558370-17-001764-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000156459018005916/0001564590-18-005916-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000131856819000020/0001318568-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000131856820000017/0001318568-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000131856821000035/0001318568-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000131856822000035/0001318568-22-000035-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,37500000,57584000,23423000,49577000,35123000,40919000,71063000,77148000,84768000,60636000,55535000,153020000,114254000,89095000,102030000,119051000,128586000,297532000,289870000,251706000,302009000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,37500000,57584000,23423000,49577000,35123000,40919000,71063000,77148000,84768000,60636000,55535000,153020000,114254000,89095000,102030000,119051000,128586000,297532000,289870000,251706000,302009000
34,Net Receivables,- -,- -,26817000,34998000,67519000,149939000,87808000,68363000,35524000,25585000,97131000,41055000,55227000,101538000,102243000,185472000,275185000,146746000,158192000,134843000,194097000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,3845000,7087000,7126000,9413000,27163000,28738000,19068000,23967000,24403000,26574000,27742000,29233000
36,Other Current Assets,- -,- -,- -,13725000,10959000,10838000,8872000,12255000,10784000,8655000,15861000,18454000,27060000,28579000,20772000,18048000,20670000,20259000,27896000,17348000,27299000
37,Total Current Assets,- -,- -,- -,98300000,113601000,201696000,167743000,157766000,131076000,98721000,175614000,219655000,205954000,246375000,253783000,341639000,448408000,488940000,502532000,431639000,552638000
