,https://roic.ai/company/TBI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,2851423,7800000,10300000,20300000,30700000,43402000,36894000,31217000,- -,25174000,26600000,32200000,44900000,61500000,60300000,53958000,56200000,58200000,54500000,61400000,57530000,- -,60163000,57671000,107232000,137674000,143287000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37400000,37400000,71100000,37000000,37000000,36960000,48100000,48100000,82200000,241900000,268495000,- -,226694000,237287000,237498000,94873000,94538000
40,Intangible Assets,- -,3100000,3100000,2600000,- -,398000,- -,- -,- -,- -,16900000,14400000,40700000,26400000,23300000,20526000,19400000,16600000,31500000,136600000,153859000,- -,104615000,91408000,73673000,28929000,22211000
41,Intangible Assets,962632,3100000,3100000,2600000,- -,398000,- -,- -,- -,- -,54300000,51800000,111800000,63400000,60300000,57486000,67500000,64700000,113700000,378500000,422354000,- -,331309000,328695000,311171000,123802000,116749000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152247000,135419000
43,Tax Assets,530396,- -,- -,- -,- -,- -,9189000,9425000,- -,6890000,- -,- -,- -,- -,- -,2400000,- -,- -,- -,19800000,19499000,- -,3783000,- -,- -,30019000,29330000
44,Other Non-Current Assets,1621558,4700000,1400000,1900000,8900000,11217000,34419000,99268000,- -,150985000,172500000,168500000,159000000,152000000,149400000,139122000,156500000,161600000,194800000,191200000,217094000,- -,285497000,298651000,296019000,157950000,163368000
45,Total Non-Current Assets,5966009,15600000,14800000,24800000,39600000,55017000,80502000,139910000,- -,183049000,253400000,252500000,315700000,276900000,270000000,252966000,280200000,284500000,363000000,650900000,716477000,- -,680752000,685017000,714422000,601692000,588153000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26181635,64300000,80400000,130700000,174500000,205423000,214030000,317200000,- -,444107000,572100000,592300000,545200000,519700000,518100000,546466000,560800000,601700000,719500000,1066700000,1259442000,- -,1109031000,1114844000,1136155000,980577000,1033226000
48,Accounts Payable,1118081,2200000,3700000,6900000,11800000,18683000,13967000,10456000,- -,14743000,25759000,22653000,25026000,21852000,18029000000,- -,25862000000,27292000000,29850000000,50256000,69727000,- -,55091000,69814000,68406000,62199000,77172000
49,Short-Term Debt,1630323,- -,- -,800000,1200000,7911000,1845000,2343000,- -,1554000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14358000,13938000,12097000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2470000,2251000,7487000,4841000,7962000000,- -,6300000000,5447000000,7640000000,5444000,7393000,- -,- -,4388000,3228000,- -,- -
