,https://roic.ai/company/SLMBP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-113614000,-868404000,-237919000,-339836000,- -,-37868000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16922000,- -
86,Purchases of Investments,- -,- -,- -,- -,-10411400000,-9557500000,-43304400000,-96666100000,-93282800000,-98938700000,-55469000000,-15966500000,-16639900000,-9853800000,-12972300000,-66608536000,-45450862000,-50380011000,-275717328000,-293235655000,-67221395000,-86255390000,-90417954000,-101640842000,-128479087000,-38444964000,-419000000,-308000000,-448000000,-72049000,-64112000,-55767000,-78327000,-15876000,-356414000,-2083261000,-1257129000
87,Sales/Maturities of Investments,- -,- -,- -,- -,10992700000,7859000000,41188200000,92284600000,97947700000,94340500000,58037600000,16113700000,19027700000,20516200000,15785500000,64830302000,45553861000,50836714000,274564244000,294142868000,68223713000,86320183000,89861788000,103172622000,128131106000,39601218000,458000000,277000000,419000000,10653000,33735000,38721000,40044000,77897000,50915000,654515000,865766000
88,Other Investing Activites,- -,- -,- -,- -,-3452400000,-4148700000,-3039800000,-1032800000,-5498800000,- -,100000,1495200000,5456400000,-7891400000,-6984500000,2630051000,-3259976000,-561854000,-5888473000,-8814080000,-16433222000,-14190881000,-30700206000,-12161199000,659032000,6257856000,9435000000,11876000000,9239000000,-1326975000,-1817132000,-3313995000,-3174233000,-3316884000,-2001215000,2359154000,2996036000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2871100000,-5847200000,-5156000000,-5414300000,-833900000,-4598200000,2568700000,1642400000,7844200000,2771000000,-4171300000,851817000,-3156977000,-105151000,-7155171000,-8775271000,-15668823000,-14465924000,-31256372000,-10667287000,311051000,7414110000,9474000000,11845000000,9210000000,-1388371000,-1847509000,-3331041000,-3212516000,-3254863000,-2306714000,947330000,2604673000
90,Debt Repayment,- -,- -,- -,- -,-3030900000,-5588700000,-5152100000,-68358700000,-66708100000,-129250400000,-178960700000,-15744400000,-15994000000,-12490100000,-9809600000,-17924421000,-9095001000,-19430003000,-18658436000,-17794337000,-7181022000,-26947786000,-18199009000,-18979456000,-18452867000,-22154734000,-23116000000,-32077000000,-27220000000,- -,-751981000,-1064186000,-834905000,-1188640000,-1051462000,-1292557000,-1346522000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192520000,2125111000,5979000,664000,195000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-482855000,-2222394000,- -,- -,- -,-300000000,-900000000,-600000000,- -,- -,- -,-165000000,- -,-167201000,-626222000,-1530683000
93,Dividends Paid,- -,- -,- -,- -,-48400000,-67600000,-90300000,-105900000,-118900000,-123600000,-110900000,-101700000,-93600000,-95300000,-99100000,-116149000,-126408000,-142260000,-278383000,-332814000,-376904000,-433334000,-139155000,-110556000,-115775000,-71849000,-172000000,-257000000,-284000000,-12933000,-19595000,-21204000,-15714000,-15640000,-67951000,-56085000,-65198000
94,Other Financing Activites,- -,- -,- -,- -,9663100000,10866500000,9049100000,69442400000,66560400000,134653900000,175308400000,12648100000,7971400000,9752300000,14215600000,16588824000,11519531000,18958074000,26583323000,28767540000,23028744000,41451525000,54703925000,31937641000,36170647000,19777086000,9484000000,19859000000,18184000000,2014992000,2766727000,4119937000,4010593000,5607604000,6647834000,99152000,322887000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,6583800000,5210200000,3806700000,977800000,-266600000,5279900000,-3763200000,-3198000000,-8116200000,-2833100000,4306900000,-1451746000,2298122000,-614189000,7646504000,10640389000,15470818000,13780070000,36268478000,12853608000,17602669000,-2449302000,-14104000000,-13375000000,-9920000000,2002059000,1995151000,3034547000,2994974000,4403324000,5361220000,-1875712000,-2619516000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,6583800000,5210200000,3806700000,977800000,-266600000,5279900000,-3763200000,-3198000000,-8116200000,-2833100000,473900000,144718000,-19467000,43301000,1165778000,1547902000,-896832000,122567000,4960809000,-3512029000,2000011000,-1727686000,-1549000000,1106000000,1290000000,176915000,56439000,-497426000,-384454000,1045720000,3038865000,-1111051000,-64365000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,589800000,734468000,715001000,758302000,1652470000,3395487000,2498655000,2621222000,7582031000,4070002000,6070013000,4342327000,2794000000,3900000000,5190000000,2359780000,2416219000,1918793000,1534339000,2681895000,5720760000,4609709000,4545344000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3463800000,7317200000,7030300000,6039500000,1973800000,1112600000,2261500000,1252900000,270900000,54000000,115900000,589750000,734468000,715001000,486692000,1847585000,3395487000,2498655000,2621222000,7582031000,4070002000,6070013000,4343000000,2794000000,3900000000,2182865000,2359780000,2416219000,1918793000,1636175000,2681895000,5720760000,4609709000
100,Free Cash Flow,- -,- -,- -,- -,140800000,350100000,358400000,370800000,239300000,467200000,185900000,573600000,55100000,124000000,20500000,295893000,839388000,712730000,674445000,-317216000,-698827000,808421000,-51297000,-5698350000,-15913709000,-6692494000,3081000000,2636000000,2000000000,-436773000,-91203000,-200932000,-166912000,-102741000,-15641000,-182669000,-49522000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032033/000095013305001066/0000950133-05-001066-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000110465906015405/0001104659-06-015405-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000095013307000881/0000950133-07-000881-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000095013308000892/0000950133-08-000892-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1032033/000095012310018176/0000950123-10-018176-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000095012311019779/0000950123-11-019779-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000119312512081658/0001193125-12-081658-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000119312513076990/0001193125-13-076990-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000119312514058942/0001193125-14-058942-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828015001094/0001628280-15-001094-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828016011844/0001628280-16-011844-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828017001725/0001628280-17-001725-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828018002138/0001628280-18-002138-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828019002283/0001628280-19-002283-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828020002579/0001628280-20-002579-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828021003299/0001628280-21-003299-index.htm,https://www.sec.gov/Archives/edgar/data/1032033/000162828022003839/0001628280-22-003839-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
