,https://roic.ai/company/FCFS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,100000,4700000,5300000,7700000,9600000,12500000,14100000,- -,4487000,1884000,1226000,1161000,2577000,2245000,5430000,5901000,10612000,15905000,10314000,6144000,10783000,5373000,8413000,12092000,9897000,25264000,20236000,17317000,11367000,9388000,156232000
37,Total Current Assets,1100000,4400000,9400000,10900000,15300000,18900000,23800000,27100000,- -,63689000,50466000,51966000,58141000,71726000,89527000,108136000,115414000,142798000,130857000,136586000,204998000,210478000,241430000,290222000,307875000,325434000,892135000,842197000,789892000,740989000,624565000,1135078000
38,PP&E,1400000,1600000,3300000,3900000,4200000,4600000,5600000,6600000,- -,10954000,10378000,10034000,11750000,14418000,17376000,23565000,30643000,43762000,40111000,47980000,58425000,73451000,93304000,108137000,113750000,112447000,236057000,230341000,251645000,640716000,672624000,768587000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72544000,72340000,75191000,- -,76355000,70395000,166429000,251241000,276882000,295609000,831151000,831145000,917419000,948643000,977381000,1528233000
40,Intangible Assets,- -,400000,9400000,12300000,16600000,19300000,21500000,22300000,- -,54600000,53508000,53194000,53194000,53237000,53237000,53237000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104474000,93819000,88140000,85875000,83651000,388184000
41,Intangible Assets,- -,400000,9400000,12300000,16600000,19300000,21500000,22300000,- -,54600000,53508000,53194000,53194000,53237000,53237000,53237000,72544000,72340000,75191000,70252000,76355000,70395000,166429000,251241000,276882000,295609000,935625000,924964000,1005559000,1034518000,1061032000,1916417000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9321000,9707000,11237000,11640000,11711000,4158000,5614000
44,Other Non-Current Assets,100000,- -,100000,-100000,1700000,1000000,1000000,700000,- -,2196000,4766000,7612000,7914000,683000,799000,1016000,15241000,32648000,19184000,1467000,2668000,2772000,6529000,9373000,16168000,14210000,71679000,54045000,49238000,11506000,9818000,8531000
45,Total Non-Current Assets,1500000,2000000,12800000,16100000,22500000,24900000,28100000,29600000,- -,67750000,68652000,70840000,72858000,68338000,71412000,77818000,118428000,148750000,134486000,119699000,137448000,146618000,266262000,368751000,406800000,431587000,1253068000,1220587000,1318082000,1698451000,1747632000,2699149000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2600000,6400000,22200000,27000000,37800000,43800000,51900000,56700000,- -,131439000,119118000,122806000,130999000,140064000,160939000,185954000,233842000,291548000,265343000,256285000,342446000,357096000,507692000,658973000,714675000,757021000,2145203000,2062784000,2107974000,2439440000,2372197000,3834227000
48,Accounts Payable,- -,- -,500000,100000,300000,1200000,1700000,2400000,- -,4892000,6460000,10041000,10054000,1054000,856000,908000,1535000,1732000,2280000,1801000,2679000,3325000,2511000,3342000,2148000,1823000,11664000,4791000,6886000,5871000,7187000,239519000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,600000,900000,- -,1689000,1643000,33385000,900000,- -,- -,- -,2250000,2250000,7048000,4111000,465000,- -,3212000,3326000,- -,- -,- -,- -,- -,86466000,88622000,90570000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10958000,5436000,9776000,4790000,12985000,6045000,10396000,14284000,19033000,13312000,19539000,1148000,3387000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6583000,9260000,11090000,13573000,13747000,33536000,32019000,35368000,39736000,34719000,57310000
52,Other Current Liabilities,500000,600000,13800000,7000000,800000,600000,400000,200000,- -,183000,528000,- -,- -,9832000,8686000,13722000,17976000,17066000,23490000,29379000,31478000,25497000,16167000,31003000,26838000,30605000,98428000,83761000,90791000,70829000,75878000,3387000
53,Total Current Liabilities,500000,600000,14300000,7100000,1100000,1800000,2700000,3500000,- -,6764000,8631000,43426000,10954000,10886000,9542000,14630000,21761000,21048000,32818000,35291000,34622000,35405000,31150000,48761000,42559000,46175000,143628000,120571000,133045000,202902000,206406000,390786000
54,Long-Term Debt,700000,800000,200000,200000,17900000,21700000,27000000,24800000,- -,52020000,42019000,1608000,28602000,6000000,- -,- -,15188000,58938000,77889000,5265000,1386000,- -,110851000,187026000,222400000,258000000,456545000,402243000,590887000,631568000,810803000,1496070000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,700000,1200000,1600000,2100000,- -,3540000,2814000,3669000,4923000,5955000,7351000,8616000,8297000,- -,186000,3290000,8434000,6319000,13275000,8827000,1165000,21464000,61275000,47037000,54854000,61431000,71173000,125294000
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10353000,- -,- -,- -,- -,- -,- -,- -,- -,33769000,17600000,11084000,193504000,- -,13950000
58,Total Non-Current Liabilities,700000,800000,200000,200000,18700000,23100000,28600000,26900000,- -,55560000,44833000,5277000,33525000,11955000,7351000,8616000,23485000,69291000,78075000,8555000,9820000,6319000,124126000,195853000,223565000,279464000,551589000,466880000,656825000,886503000,881976000,1635314000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279970000,283509000,293736000
61,Total Liabilities,1200000,1400000,14500000,7300000,19800000,24900000,31300000,30400000,- -,62324000,53464000,48703000,44479000,22841000,16893000,23246000,45246000,90339000,110893000,43846000,44442000,41724000,155276000,244614000,266124000,325639000,695217000,587451000,789870000,1089405000,1088382000,2026100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000,93000,95000,96000,109000,166000,170000,353000,359000,361000,367000,380000,383000,388000,394000,397000,403000,493000,493000,493000,493000,493000,573000
64,Retained Earnings,-100000,-100000,600000,1600000,2700000,3800000,5200000,7500000,- -,20334000,22949000,30819000,41759000,56734000,77440000,102823000,134567000,169855000,148319000,198083000,255741000,333523000,413882000,497728000,582894000,643604000,387401000,494457000,606810000,727476000,789303000,866679000
65,Other Comprehensive Income/Loss,-500000,-500000,-500000,-500000,-100000,-1500000,-2100000,-2800000,- -,- -,-8512000,-9666000,-4228000,-15453000,-19508000,-24979000,-33685000,-43583000,-9568000,-6491000,-3049000,-13463000,-6940000,-7751000,-26168000,-78410000,-119806000,-111877000,-113117000,-96969000,-118432000,-131299000
66,Other Total Stockholders Equity,2000000,5600000,7600000,18600000,15400000,16600000,17500000,21600000,- -,48688000,51124000,52855000,48893000,75833000,85948000,84694000,87361000,74578000,15338000,20480000,44932000,-5071000,-54914000,-76012000,-108572000,-134215000,1181898000,1092260000,823918000,719035000,612451000,- -
67,Total Stockholders Equity,1400000,5000000,7700000,19700000,18000000,18900000,20600000,26300000,- -,69115000,65654000,74103000,86520000,117223000,144046000,162708000,188596000,201209000,154450000,212439000,298004000,315372000,352416000,414359000,448551000,431382000,1449986000,1475333000,1318104000,1350035000,1283815000,1808127000
68,Total Liabilities And Stockholders Equity,2600000,6400000,22200000,27000000,37800000,43800000,51900000,56700000,- -,131439000,119118000,122806000,130999000,140064000,160939000,185954000,233842000,291548000,265343000,256285000,342446000,357096000,507692000,658973000,714675000,757021000,2145203000,2062784000,2107974000,2439440000,2372197000,3834227000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2600000,6400000,22200000,27000000,37800000,43800000,51900000,56700000,- -,131439000,119118000,122806000,130999000,140064000,160939000,185954000,233842000,291548000,265343000,256285000,342446000,357096000,507692000,658973000,714675000,757021000,2145203000,2062784000,2107974000,2439440000,2372197000,3834227000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/840489/000084048996000006/0000840489-96-000006-index.html,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/840489/000092623608000022/0000926236-08-000022-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000092623609000014/0000926236-09-000014-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000092623610000010/0000926236-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000092623611000015/0000926236-11-000015-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000092623612000020/0000926236-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048913000005/0000840489-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048914000010/0000840489-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048915000012/0000840489-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048916000076/0000840489-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048917000032/0000840489-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048918000030/0000840489-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048919000005/0000840489-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048920000020/0000840489-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048921000028/0000840489-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/840489/000084048922000035/0000840489-22-000035-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,700000,1000000,1100000,1100000,1400000,2300000,3800000,6478000,2615000,7870000,10940000,14975000,20706000,25383000,31744000,35288000,-21536000,49764000,57658000,77782000,80359000,83846000,85166000,60710000,60127000,143892000,153206000,164618000,106579000,124909000
74,Depreciation and Amortization,- -,100000,200000,600000,700000,1000000,1100000,1400000,1700000,3090000,4483000,3813000,2548000,3019000,4173000,5804000,8041000,11074000,12122000,11112000,10513000,11026000,12975000,15361000,17476000,17939000,31865000,55233000,42961000,41904000,42105000,45906000
75,Deferred Income Tax,- -,- -,- -,- -,- -,700000,500000,100000,1200000,- -,- -,-107000,1579000,-472000,2142000,695000,-1868000,4115000,9825000,16076000,1845000,1200000,3242000,-7928000,1128000,-430000,11912000,-14497000,7427000,7008000,14476000,10722000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,346000,1006000,742000,1300000,553000,1979000,429000,4174000,3069000,5786000,8680000,2914000,5150000
77,Change in Working Capital,- -,-500000,3200000,-8700000,8700000,10400000,2900000,4000000,2500000,33325000,-15090000,-33295000,38647000,13653000,19145000,13521000,147000,28097000,-23711000,3256000,69081000,4697000,35207000,31181000,23855000,13943000,469248000,-26881000,-64779000,-118760000,-119928000,318992000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3245000,-1371000,-116000,-100000,1776000,-1411000,-432000,110000,5474000,-2492000
79,Inventory,- -,-300000,-1000000,-1400000,-1600000,-1300000,-900000,-1200000,-1600000,-3354000,1568000,4687000,-967000,-1940000,-720000,-1563000,-1936000,-2736000,4603000,-7144000,-3875000,445000,-2777000,-1200000,-1364000,-1404000,-4619000,16193000,3321000,5842000,29174000,-27006000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1135000,5586000,1272000,4350000,-16335000,-35135000,3077000,-3383000,- -,26180000
81,Other Working Capital,- -,600000,3800000,-4900000,3800000,14200000,17100000,21100000,23600000,56925000,41835000,8540000,47187000,60840000,79985000,93506000,93653000,121750000,98039000,101295000,170376000,175073000,210280000,241461000,265316000,279259000,748507000,721626000,656847000,538087000,418159000,737151000
82,Other Non-Cash Items,- -,200000,-3600000,7700000,-13500000,-10800000,-3900000,-5000000,-6700000,-38579000,22620000,41490000,-39917000,-15077000,-2038000,-3308000,-1511000,-62851000,80849000,-568000,-66458000,-15072000,-44291000,-16295000,-31925000,158000,-480472000,59541000,98828000,128146000,176118000,-282375000
83,Cash Provided by Operating Activities,- -,-200000,500000,600000,-3000000,2400000,2000000,2800000,2500000,4314000,14628000,19771000,13797000,16098000,44128000,42095000,36553000,15723000,57549000,79986000,73645000,80375000,88792000,106718000,97679000,92749000,96854000,220357000,243429000,231596000,222264000,223304000
84,CAPEX,- -,-1000000,-900000,-700000,-2900000,-1100000,-1300000,-1200000,-13000000,-3282000,-2055000,-1891000,-4264000,-5202000,-7131000,-11993000,-14716000,-23989000,-20200000,-15376000,-18385000,-28974000,-21841000,-26672000,-23954000,-21073000,-33863000,-37135000,-55673000,-118972000,-83045000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2060000,-1200000,-1394000,- -,- -,- -,- -,-23652000,- -,-4476000,-1307000,-5663000,-7779000,-120738000,-113643000,-58942000,-46887000,-38116000,-2203000,-113699000,-52487000,-44315000,-462102000
86,Purchases of Investments,- -,-200000,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62084000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-4900000,-800000,-1200000,-2500000,-6000000,-3200000,-1000000,-3587000,-1743000,-3755000,-4036000,-10000,-17993000,-4806000,-11900000,-13999000,-10414000,4277000,-23648000,14649000,-17325000,-411000,-2470000,-3716000,-16072000,40735000,10125000,34406000,107008000,-282535000
89,Cash Used for Investing Activites,- -,-1200000,-5800000,-2600000,-4100000,-3600000,-7300000,-4400000,-14000000,-8929000,-4998000,-7040000,-8300000,-5212000,-25124000,-16799000,-50268000,-37988000,-35090000,-12406000,-47696000,-22104000,-159904000,-140726000,-85366000,-71676000,-25967000,1397000,-159247000,-137053000,-20352000,-744637000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10490000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76199000,-9810000,-1851000,-1837000,-76211000,-217952000,-84400000,-436532000,-569895000,-228000000,-217000000,-878714000,- -
91,Common Stock Issued,- -,3700000,- -,8800000,- -,- -,200000,200000,4800000,- -,- -,304000,654000,11500000,10844000,2617000,13570000,6816000,899000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-100000,- -,-2100000,-1000000,- -,-300000,- -,- -,-250000,-500000,- -,- -,-13463000,-11404000,-24753000,-32142000,-16997000,- -,- -,-55308000,-61275000,-38692000,-43947000,-39974000,- -,-91740000,-273660000,-116105000,-106970000,- -
93,Dividends Paid,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19808000,-36836000,-40853000,-43952000,-44752000,- -
94,Other Financing Activites,- -,100000,3200000,-6400000,9200000,2200000,5500000,2100000,7200000,21364000,-13486000,-7894000,-4668000,-19274000,-6000000,- -,-2308000,46231000,9062000,4877000,23459000,4566000,112637000,169547000,252801000,133501000,397627000,500965000,415452000,256251000,843934000,- -
