,https://roic.ai/company/GPI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1031203/000095012998001348/0000950129-98-001348-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012999001283/0000950129-99-001283-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012900001532/0000950129-00-001532-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012901001528/0000950129-01-001528-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012902001378/0000950129-02-001378-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012903001562/0000950129-03-001562-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012904001195/0000950129-04-001195-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012905002506/0000950129-05-002506-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012906002147/h32915e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031203/000095012907000934/h43400e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031203/000095013408003648/h53960e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031203/000095012909000557/0000950129-09-000557-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012310012350/0000950123-10-012350-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012311012850/h79467e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031203/000119312512052522/0001193125-12-052522-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120313000004/0001031203-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120314000010/a2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/1031203/000103120315000009/a2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1031203/000103120316000045/0001031203-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120317000007/0001031203-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120318000013/0001031203-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120319000007/0001031203-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120320000006/0001031203-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120321000007/0001031203-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1031203/000103120322000007/0001031203-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,35100000,66400000,118800000,140878000,147212000,24333000,25441000,37750000,37695000,39313000,33749000,23144000,13221000,19843000,14895000,4650000,20215000,40975000,13037000,20992000,28787000,15932000,23800000,87300000,14900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,35100000,66400000,118800000,140878000,147212000,24333000,25441000,37750000,37695000,39313000,33749000,23144000,13221000,19843000,14895000,4650000,20215000,40975000,13037000,20992000,28787000,15932000,23800000,87300000,14900000
34,Net Receivables,9700000,21400000,35300000,39709000,43684000,236817000,206864000,249089000,269232000,265797000,277088000,170184000,148996000,189469000,260282000,315624000,360214000,388778000,410206000,442872000,495044000,459641000,478900000,411100000,396800000
35,Inventory,105400000,219200000,386300000,527101000,454961000,622205000,671279000,877575000,756838000,830628000,899792000,845944000,596743000,777771000,867470000,1194288000,1542318000,1556705000,1737751000,1651815000,1763293000,1844059000,1901700000,1468000000,1073100000
36,Other Current Assets,11500000,19900000,13000000,12851000,16075000,19683000,27339000,40801000,42063000,42274000,49455000,57352000,63078000,32151000,32937000,51619000,45191000,48761000,41961000,34908000,42062000,82734000,111900000,37800000,181400000
37,Total Current Assets,161700000,326900000,553400000,720539000,661932000,903038000,930923000,1205215000,1105828000,1178012000,1260084000,1096624000,822038000,1019234000,1175584000,1566181000,1967938000,2035219000,2202955000,2150587000,2329186000,2402366000,2516300000,2004200000,1666200000
38,PP&E,21600000,22000000,46700000,70901000,83011000,116270000,131647000,160297000,161317000,230385000,429238000,514891000,475828000,506288000,585633000,667768000,796356000,950388000,1033981000,1125883000,1318959000,1347835000,1767200000,1818100000,2225700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,426439000,486775000,501187000,500426000,507962000,531458000,582384000,737303000,830377000,854915000,876763000,913034000,963925000,1008300000,997100000,1420200000
40,Intangible Assets,27100000,123600000,235300000,285892000,282527000,368786000,390867000,553808000,537054000,249886000,300470000,154597000,157855000,158694000,170687000,196058000,301505000,303947000,307588000,284876000,285632000,259630000,253500000,232800000,392300000
41,Intangible Assets,27100000,123600000,235300000,285892000,282527000,368786000,390867000,553808000,537054000,676325000,787245000,655784000,658281000,666656000,702145000,778442000,1038808000,1134324000,1162503000,1161639000,1198666000,1223555000,1261800000,1229900000,1812500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2700000,5200000,7500000,22221000,26955000,35671000,34728000,27900000,29419000,29233000,28730000,42786000,13267000,9786000,12981000,10624000,16376000,21561000,15490000,23794000,24254000,27319000,24800000,37200000,45000000
45,Total Non-Current Assets,51400000,150800000,289500000,379014000,392493000,520727000,557242000,742005000,727790000,935943000,1245213000,1213461000,1147376000,1182730000,1300759000,1456834000,1851540000,2106273000,2211974000,2311316000,2541879000,2598709000,3053800000,3085200000,4083200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,213100000,477700000,842900000,1099553000,1054425000,1423765000,1488165000,1947220000,1833618000,2113955000,2505297000,2310085000,1969414000,2201964000,2476343000,3023015000,3819478000,4141492000,4414929000,4461903000,4871065000,5001075000,5570100000,5089400000,5749400000
48,Accounts Payable,58500000,82300000,108700000,57872000,73089000,90809000,87675000,108920000,124857000,117536000,113589000,74235000,72276000,92799000,148048000,167439000,254930000,288320000,280423000,356099000,412981000,419350000,527500000,442600000,457800000
49,Short-Term Debt,2300000,196400000,364600000,538213000,366641000,653535000,494478000,849314000,724371000,726120000,853991000,835866000,560266000,717374000,780381000,1100021000,1469703000,1461416000,1573724000,1516608000,1606440000,1769606000,1688000000,1173300000,777300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,50700000,- -,- -,69685000,67489000,64939000,72240000,91528000,119404000,97302000,101951000,94395000,86271000,84761000,116518000,128118000,140543000,172463000,185323000,180410000,179066000,197609000,206800000,226800000,308500000
53,Total Current Liabilities,111500000,278700000,473300000,665770000,507219000,809283000,654393000,1049762000,968632000,940958000,1069531000,1004496000,718813000,894934000,1044947000,1395578000,1865176000,1922199000,2039470000,2053117000,2198487000,2386565000,2422300000,1842700000,1543600000
54,Long-Term Debt,10800000,42800000,113200000,140393000,95499000,83222000,230178000,156747000,158074000,428639000,674838000,562598000,464292000,412950000,482601000,555016000,663689000,1008837000,1203436000,1212809000,1318184000,1281489000,1432100000,1502300000,2071900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10220000,5588000,3280000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,3200000,8668000,9982000,7651000,19506000,33197000,28862000,2787000,14711000,227000,33932000,58970000,78459000,94130000,152291000,141239000,150753000,161502000,124404000,134683000,145700000,141000000,180900000
57,Other Non-Current Liabilities,1400000,20000000,21200000,37306000,49482000,80192000,65979000,140340000,51257000,48731000,61736000,111191000,26633000,47462000,63236000,118007000,103147000,91207000,103018000,104275000,105708000,102644000,314400000,153700000,127600000
58,Total Non-Current Liabilities,12200000,62800000,137600000,186367000,154963000,171065000,315663000,330284000,238193000,480157000,751285000,684236000,530445000,522662000,624296000,767153000,919127000,1241283000,1457207000,1478586000,1548296000,1518816000,1892200000,1797000000,2380400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39401000,37686000,38819000,37105000,- -,43821000,51941000,48155000,- -,47032000,42459000,235300000,229100000,282500000
61,Total Liabilities,123700000,341500000,610900000,852137000,662182000,980348000,970056000,1380046000,1206825000,1421115000,1820816000,1688732000,1249258000,1417596000,1669243000,2162731000,2784303000,3163482000,3496677000,3531703000,3746783000,3905381000,4314500000,3639700000,3924000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,213000,230000,232000,235000,239000,246000,252000,255000,261000,262000,261000,260000,258000,257000,257000,257000,257000,255000,255000,300000,300000,300000
64,Retained Earnings,-2500000,18200000,51700000,92517000,147959000,215024000,291150000,318931000,373162000,448115000,502783000,460335000,471932000,519843000,591037000,677864000,776101000,852057000,926169000,1053301000,1246323000,1394817000,1542400000,1817900000,2345900000
65,Other Comprehensive Income/Loss,-3400000,-6000000,-10600000,-17838000,-25335000,-3359000,-1285000,-173000,-6119000,591000,-9560000,-38109000,-26256000,-18755000,-29236000,-33057000,-51677000,-81984000,-137984000,-146944000,-123226000,-137772000,-147000000,-184000000,-156200000
66,Other Total Stockholders Equity,95300000,124000000,190700000,172524000,269389000,231520000,228009000,248177000,259504000,243882000,191003000,198866000,274218000,283019000,245039000,215219000,310494000,207680000,129810000,23586000,930000,-161606000,-140000000,-184500000,-364600000
67,Total Stockholders Equity,89400000,136200000,232000000,247416000,392243000,443417000,518109000,567174000,626793000,692840000,684481000,621353000,720156000,784368000,807100000,860284000,1035175000,978010000,918252000,930200000,1124282000,1095694000,1255700000,1449700000,1825400000
68,Total Liabilities And Stockholders Equity,213100000,477700000,842900000,1099553000,1054425000,1423765000,1488165000,1947220000,1833618000,2113955000,2505297000,2310085000,1969414000,2201964000,2476343000,3023015000,3819478000,4141492000,4414929000,4461903000,4871065000,5001075000,5570200000,5089400000,5749400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -
70,Total Liabilities & Equity,213100000,477700000,842900000,1099553000,1054425000,1423765000,1488165000,1947220000,1833618000,2113955000,2505297000,2310085000,1969414000,2201964000,2476343000,3023015000,3819478000,4141492000,4414929000,4461903000,4871065000,5001075000,5570100000,5089400000,5749400000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1031203/000095012998001348/0000950129-98-001348-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012999001283/0000950129-99-001283-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012900001532/0000950129-00-001532-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012901001528/0000950129-01-001528-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012902001378/0000950129-02-001378-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012903001562/0000950129-03-001562-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012904001195/0000950129-04-001195-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012905002506/0000950129-05-002506-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012906002147/h32915e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031203/000095012907000934/h43400e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031203/000095013408003648/h53960e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031203/000095012909000557/0000950129-09-000557-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012310012350/0000950123-10-012350-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000095012311012850/h79467e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031203/000119312512052522/0001193125-12-052522-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120313000004/0001031203-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120314000010/a2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/1031203/000103120315000009/a2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1031203/000103120316000045/0001031203-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120317000007/0001031203-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120318000013/0001031203-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120319000007/0001031203-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120320000006/0001031203-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1031203/000103120321000007/0001031203-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1031203/000103120322000007/0001031203-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11400000,20700000,33500000,40812000,55442000,67065000,76126000,27781000,54231000,88390000,67952000,-31493000,34845000,50304000,82394000,100209000,113992000,93004000,93999000,147065000,213442000,157772000,174000000,286500000,552100000
74,Depreciation and Amortization,1000000,6400000,10600000,16038000,17358000,11940000,14381000,17670000,22452000,19739000,23175000,25652000,25828000,26455000,27063000,31534000,35826000,42344000,47239000,51234000,57936000,67070000,71600000,75800000,78900000
75,Deferred Income Tax,- -,-4200000,4000000,6370000,-1225000,6883000,11951000,-4701000,3872000,20073000,18142000,-18509000,29646000,23274000,24824000,13282000,22412000,12319000,11884000,14162000,-46063000,3474000,16200000,-900000,31000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6523000,8869000,9942000,10919000,11931000,13899000,16012000,18851000,21073000,18900000,18714000,18800000,32300000,28300000
77,Change in Working Capital,-36200000,-2000000,31900000,-25331000,99944000,-60958000,182775000,-121077000,-18257000,99858000,-46501000,-98425000,11097000,21075000,6337000,39966000,-67841000,10258000,50465000,-66015000,33229000,-114898000,78199000,67500000,462500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10106000,10851000,-13844000,- -,-6777000,-9489000,-20179000,-17887000,-18663000,-10674000,2940000,-32500000,21200000,11200000
79,Inventory,5700000,- -,-49100000,-78480000,68472000,-107487000,4709000,-64294000,130584000,-33128000,14269000,57374000,242996000,-174249000,-7410000,-278232000,-241871000,27339000,-186634000,79319000,-44021000,-80612000,-28800000,416100000,529800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29874000,41144000,37344000,25108000,76126000,35576000,18447000,123100000,-45900000,- -
81,Other Working Capital,50200000,48200000,80100000,54769000,154713000,93755000,276530000,155453000,137196000,237054000,190553000,92128000,103225000,124300000,130637000,170603000,102762000,113020000,163485000,97470000,130699000,15801000,94000000,161500000,-1500000
82,Other Non-Cash Items,-2800000,3400000,-6800000,57703000,-84531000,48609000,-204888000,162668000,303081000,-174616000,-58996000,286625000,244389000,-199516000,47779000,-272244000,-65916000,24351000,-81391000,217338000,-78519000,137846000,12101000,344200000,106800000
83,Cash Provided by Operating Activities,-26600000,24300000,73200000,95592000,86988000,73539000,80345000,82341000,365379000,53444000,3772000,170373000,354674000,-68466000,199316000,-75322000,52372000,198288000,141047000,384857000,198925000,269978000,370900000,805400000,1259600000
84,CAPEX,-2200000,-77800000,-137300000,-17252000,-20857000,-43498000,-34627000,-47412000,-58556000,-71550000,-146697000,-142834000,-21560000,-69116000,-60558000,-88491000,-102858000,-150392000,-120252000,-156521000,-215832000,-141033000,-191800000,-103200000,-143600000
85,Acquisitions Net,- -,- -,- -,-65067000,-11035000,-81422000,-35418000,-221721000,-35778000,-246322000,-281834000,-42080000,-16332000,-34693000,-159597000,-177956000,-269860000,-336551000,-212252000,-57327000,-109081000,-135343000,-143200000,-1300000,-1099600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-2074000,-2166000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,8489000,1342000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,12900000,19600000,10400000,9551000,4663000,2625000,17442000,12329000,45196000,48614000,35366000,20202000,33895000,49022000,7382000,41989000,104064000,139892000,48002000,39808000,12315000,108375000,43400000,29800000,-8500000
89,Cash Used for Investing Activites,10700000,-58200000,-126900000,-72768000,-27229000,-122295000,-52603000,-250389000,-49962000,-269258000,-393165000,-164712000,-3997000,-54787000,-212773000,-224458000,-268654000,-347051000,-284502000,-174040000,-312598000,-168001000,-291600000,-74700000,-1251700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5388301000,-4350363000,-4966310000,-4789801000,-5475535000,-6270422000,-8771085000,-8198060000,-6967572000,-7150734000,-7238797000,-8018600000,-11675400000,-9055700000
91,Common Stock Issued,51800000,2100000,47100000,3684000,103523000,10240000,10896000,11794000,19158000,23692000,5038000,3201000,3492000,4369000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-100000,-2800000,-5800000,-20894000,-28410000,- -,-14404000,-7019000,-19256000,-65791000,-63039000,-776000,- -,-72704000,-51486000,-11317000,-3553000,-36802000,-97473000,-127606000,-40094000,-183918000,-1400000,-80200000,-210600000
93,Dividends Paid,-12000000,- -,- -,- -,- -,- -,- -,- -,- -,-13437000,-13284000,-10955000,- -,-2393000,-11211000,-13433000,-15805000,-17097000,-19942000,-19987000,-20466000,-20872000,-20300000,-11000000,-23900000
94,Other Financing Activites,-300000,66000000,64800000,16440000,-128538000,45988000,-23126000,174540000,-315374000,272968000,455147000,5362841000,3985441000,5166748000,4861147000,5791108000,6525773000,8996634000,8436484000,6910158000,7332770000,7334044000,7973300000,11098500000,9216200000
95,Cash Used/Provided by Financing Activities,39400000,65300000,106100000,-770000,-53425000,56228000,-26634000,179315000,-315472000,217432000,383862000,-33990000,-361430000,129710000,8649000,290823000,235993000,171650000,121009000,-205007000,121476000,-109543000,-67000000,-668100000,-74000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33000,-5826000,830000,165000,-140000,-1288000,-4146000,-2127000,-5492000,2145000,-8000,-3345000,-2900000,-3400000,-2500000
97,Net Change In Cash,- -,- -,52400000,22054000,6334000,7472000,1108000,11267000,-55000,1618000,-5564000,-11104000,-9923000,6622000,-4948000,-10245000,15565000,20760000,-27938000,7955000,7795000,-10911000,9400000,59200000,-68600000
98,Cash at the End of Period,- -,- -,118800000,140878000,147212000,24333000,25441000,37750000,37695000,39313000,33749000,23144000,13221000,19843000,14895000,4650000,20215000,40975000,13037000,20992000,28787000,18720000,28100000,87300000,18700000
99,Cash at the Beginning of Period,11700000,35100000,66400000,118824000,140878000,16861000,24333000,26483000,37750000,37695000,39313000,34248000,23144000,13221000,19843000,14895000,4650000,20215000,40975000,13037000,20992000,29631000,18700000,28100000,87300000
100,Free Cash Flow,-28800000,-53500000,-64100000,78340000,66131000,30041000,45718000,34929000,306823000,-18106000,-142925000,27539000,333114000,-137582000,138758000,-163813000,-50486000,47896000,20795000,228336000,-16907000,128945000,179100000,702200000,1116000000
