,https://roic.ai/company/OC,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,456000000,472000000,579000000,686000000,1357000000,528000000,536000000,500000000,530000000,1464000000,677000000,2131000000,646000000,1501000000,595000000,2898000000,472000000,545000000,4856000000,133000000,598000000,680000000,623000000,721000000,567000000,649000000,581000000,584000000,605000000,682000000,835000000,825000000,822000000,804000000,779000000
11,COGS and Expenses,2464000000,2354000000,2570000000,2818000000,3411000000,2665000000,2708000000,3036000000,3200000000,4298000000,4123000000,6075000000,4470000000,5515000000,4533000000,7028000000,4642000000,5194000000,10021000000,932000000,4799000000,5643000000,4577000000,4762000000,4874000000,5024000000,4910000000,4884000000,4802000000,4978000000,5647000000,6250000000,6373000000,6249000000,7060000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000000,111000000,110000000,108000000,114000000,112000000,114000000,100000000,108000000,107000000,117000000,131000000,132000000,126000000
14,Depreciation and Amortization,121000000,117000000,-170000000,-172000000,-132000000,-124000000,-121000000,- -,- -,132000000,173000000,197000000,210000000,203000000,237000000,205000000,206000000,228000000,231000000,69000000,343000000,331000000,325000000,320000000,318000000,349000000,332000000,304000000,300000000,343000000,371000000,433000000,457000000,493000000,502000000
15,EBITDA,477000000,441000000,105000000,-39000000,-885000000,-18000000,57000000,217000000,337000000,-440000000,229000000,-814000000,629000000,-587000000,333000000,-2573000000,466000000,659000000,-4255000000,-24000000,431000000,527000000,514000000,523000000,776000000,416000000,716000000,649000000,850000000,1032000000,1036000000,1251000000,1179000000,371000000,1942000000
16,EBITDA ratio,0.1650,0.1558,0.0350,-0.0125,-0.3180,-0.0063,0.0194,0.0648,0.0933,-0.1148,0.0524,-0.1625,0.1246,-0.1188,0.0699,-0.5281,0.0933,0.1161,-0.6729,-0.0264,0.0866,0.0901,0.1070,0.1047,0.1455,0.0804,0.1352,0.1230,0.1589,0.1818,0.1623,0.1773,0.1647,0.0526,0.2285
17,Operating Income,427000000,477000000,430000000,293000000,-628000000,213000000,236000000,315000000,412000000,-466000000,250000000,-1066000000,578000000,-575000000,229000000,-2156000000,354000000,481000000,-3698000000,-23000000,179000000,204000000,226000000,235000000,461000000,148000000,385000000,392000000,548000000,699000000,737000000,807000000,787000000,-138000000,1438000000
18,Operating Income ratio,0.1477,0.1685,0.1433,0.0942,-0.2257,0.0740,0.0802,0.0940,0.1141,-0.1216,0.0572,-0.2128,0.1145,-0.1164,0.0481,-0.4425,0.0709,0.0848,-0.5848,-0.0253,0.0360,0.0349,0.0471,0.0470,0.0864,0.0286,0.0727,0.0743,0.1024,0.1231,0.1154,0.1144,0.1099,-0.0196,0.1692
19,Total Other Income Expenses (Gains),-71000000,-153000000,-155000000,-160000000,-125000000,-108000000,-84000000,-183000000,-87000000,-115000000,-179000000,102000000,-152000000,-216000000,-127000000,-173000000,-95000000,-42000000,-784000000,-66000000,-156000000,-124000000,-145000000,-139000000,-108000000,-188000000,-112000000,-160000000,-95000000,-109000000,-178000000,-103000000,-197000000,-118000000,-125000000
20,Income Before Tax,356000000,324000000,275000000,133000000,-753000000,105000000,152000000,132000000,325000000,-581000000,71000000,-964000000,426000000,-791000000,102000000,-2329000000,259000000,439000000,-4482000000,-89000000,23000000,80000000,81000000,96000000,353000000,-40000000,273000000,232000000,453000000,590000000,559000000,704000000,590000000,-256000000,1313000000
21,Income Before Tax Ratio,0.1231,0.1144,0.0917,0.0428,-0.2706,0.0365,0.0516,0.0394,0.0900,-0.1516,0.0162,-0.1925,0.0844,-0.1601,0.0214,-0.4780,0.0518,0.0774,-0.7088,-0.0979,0.0046,0.0137,0.0169,0.0192,0.0662,-0.0077,0.0516,0.0440,0.0847,0.1039,0.0876,0.0998,0.0824,-0.0363,0.1545
22,Income Tax expense (Gain),136000000,127000000,103000000,58000000,-238000000,33000000,47000000,58000000,106000000,-288000000,9000000,-306000000,149000000,-312000000,57000000,31000000,145000000,227000000,-387000000,-28000000,-8000000,919000000,14000000,-840000000,74000000,-28000000,68000000,5000000,120000000,188000000,269000000,156000000,186000000,129000000,319000000
23,Net Income,220000000,197000000,172000000,75000000,-515000000,73000000,131000000,159000000,231000000,-284000000,47000000,-705000000,270000000,-478000000,39000000,-2809000000,115000000,204000000,-4099000000,-65000000,96000000,-839000000,64000000,933000000,276000000,-19000000,204000000,226000000,330000000,393000000,289000000,545000000,405000000,-383000000,995000000
24,Net Income ratio,0.0761,0.0696,0.0573,0.0241,-0.1851,0.0254,0.0445,0.0474,0.0640,-0.0741,0.0107,-0.1407,0.0535,-0.0968,0.0082,-0.5766,0.0230,0.0359,-0.6483,-0.0715,0.0193,-0.1435,0.0133,0.1867,0.0517,-0.0037,0.0385,0.0428,0.0617,0.0692,0.0453,0.0772,0.0566,-0.0543,0.1171
25,EPS,5.30,4.71,4.08,1.78,-12.58,1.70,3.00,3.61,4.64,-5.50,0.89,-13.16,4.98,-8.71,0.72,-51.02,2.08,3.68,-74.08,119.81,0.75,-6.56,0.51,7.43,2.25,-0.16,1.73,1.92,2.82,3.44,2.59,4.94,3.71,-3.53,9.61
26,EPS Diluted,5.30,4.71,4.08,1.78,-12.58,1.70,2.81,3.35,4.40,-5.50,0.88,-13.16,4.67,-8.71,0.66,-51.02,1.92,3.40,-74.08,113.25,0.75,-6.56,0.50,7.37,2.23,-0.16,1.71,1.91,2.79,3.41,2.55,4.89,3.68,-3.53,9.54
27,Weighted Average Shares Outstanding,41509434,41825902,42156863,42134831,40937997,42941176,43666667,44200000,49700000,51700000,52900000,53600000,54100000,54800000,55100000,55100000,55200000,55300000,55300000,67400000,128100000,127800000,124800000,125600000,122500000,119400000,118200000,117500000,117200000,114400000,111500000,110400000,109200000,108600000,103500000
28,Weighted Average Shares Outstanding Diluted,41509434,41825902,42156863,42134831,40937997,42941176,46619217,50000000,54100000,51700000,53500000,53600000,59500000,54800000,59900000,55100000,59900000,59900000,55300000,71300000,128800000,127800000,127100000,126600000,123500000,119400000,119100000,118300000,118200000,115400000,113200000,111400000,110100000,108600000,104300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370946/000119312508040193/0001193125-08-040193-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312509031783/0001193125-09-031783-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312510032821/0001193125-10-032821-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312511037296/0001193125-11-037296-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312512062185/0001193125-12-062185-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312513066200/0001193125-13-066200-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312514046910/0001193125-14-046910-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094615000061/0001370946-15-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094616000272/0001370946-16-000272-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094617000006/0001370946-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094618000010/0001370946-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094619000012/0001370946-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094620000015/0001370946-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094621000011/0001370946-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094622000010/0001370946-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,875000000,1005000000,1125000000,1559000000,1089000000,135000000,236000000,564000000,52000000,52000000,55000000,57000000,67000000,96000000,112000000,246000000,78000000,172000000,717000000,959000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,875000000,1005000000,1125000000,1559000000,1089000000,135000000,236000000,564000000,52000000,52000000,55000000,57000000,67000000,96000000,112000000,246000000,78000000,172000000,717000000,959000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,434000000,464000000,527000000,608000000,573000000,721000000,576000000,552000000,546000000,610000000,600000000,683000000,674000000,709000000,678000000,806000000,794000000,770000000,919000000,939000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,446000000,390000000,445000000,477000000,749000000,821000000,894000000,615000000,620000000,795000000,786000000,810000000,817000000,644000000,710000000,841000000,1072000000,1033000000,855000000,1078000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,29000000,31000000,61000000,141000000,175000000,146000000,123000000,190000000,179000000,171000000,298000000,249000000,89000000,86000000,92000000,76000000,86000000,115000000,121000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1774000000,1888000000,2128000000,2705000000,2552000000,1852000000,1852000000,1854000000,1408000000,1636000000,1612000000,1848000000,1807000000,1538000000,1586000000,1985000000,2020000000,2061000000,2606000000,3097000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1887000000,1950000000,2010000000,2012000000,2521000000,2772000000,2819000000,2806000000,2754000000,2904000000,2903000000,2932000000,2899000000,2956000000,3112000000,3425000000,3811000000,4058000000,3963000000,4031000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000000,138000000,198000000,215000000,1313000000,1174000000,1124000000,1124000000,1088000000,1144000000,1143000000,1166000000,1168000000,1167000000,1336000000,1507000000,1949000000,1932000000,989000000,990000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1298000000,1210000000,1190000000,1169000000,1090000000,1073000000,1045000000,1040000000,1017000000,999000000,1138000000,1360000000,1779000000,1721000000,1667000000,1617000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000000,138000000,198000000,215000000,2611000000,2384000000,2314000000,2293000000,2178000000,2217000000,2188000000,2206000000,2185000000,2166000000,2474000000,2867000000,3728000000,3653000000,2656000000,2607000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,81000000,82000000,77000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1354000000,1310000000,999000000,1432000000,549000000,487000000,42000000,31000000,529000000,538000000,604000000,436000000,444000000,492000000,375000000,144000000,43000000,46000000,28000000,31000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1732000000,1991000000,2222000000,2294000000,237000000,377000000,190000000,183000000,289000000,232000000,261000000,225000000,220000000,228000000,194000000,211000000,169000000,188000000,228000000,249000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5146000000,5470000000,5511000000,6030000000,5918000000,6020000000,5365000000,5313000000,5750000000,5891000000,5956000000,5799000000,5748000000,5842000000,6155000000,6647000000,7751000000,7945000000,6875000000,6918000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6920000000,7358000000,7639000000,8735000000,8470000000,7872000000,7217000000,7167000000,7158000000,7527000000,7568000000,7647000000,7555000000,7380000000,7741000000,8632000000,9771000000,10006000000,9481000000,10015000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1081000000,1137000000,584000000,418000000,474000000,488000000,498000000,547000000,542000000,535000000,615000000,834000000,851000000,- -,875000000,1095000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,46000000,20000000,6000000,32000000,9000000,4000000,34000000,169000000,3000000,5000000,- -,- -,55000000,49000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,9000000,11000000,10000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,861000000,864000000,951000000,1786000000,1479000000,52000000,627000000,505000000,475000000,388000000,399000000,436000000,407000000,404000000,334000000,433000000,427000000,1329000000,510000000,553000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,861000000,864000000,951000000,1786000000,2560000000,1246000000,1257000000,943000000,955000000,908000000,906000000,992000000,983000000,1117000000,963000000,1282000000,1278000000,1329000000,1440000000,1697000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,73000000,38000000,36000000,1296000000,1993000000,2172000000,2177000000,1629000000,1930000000,2076000000,2024000000,1991000000,1702000000,2099000000,2405000000,3362000000,2986000000,3225000000,3069000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318000000,386000000,75000000,51000000,38000000,23000000,22000000,8000000,36000000,37000000,141000000,272000000,332000000,376000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10407000000,10698000000,10681000000,15013000000,884000000,608000000,695000000,808000000,813000000,897000000,973000000,778000000,829000000,774000000,754000000,704000000,666000000,748000000,543000000,538000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10478000000,10771000000,10719000000,15049000000,2180000000,2601000000,3185000000,3371000000,2517000000,2878000000,3087000000,2825000000,2842000000,2484000000,2889000000,3146000000,4169000000,4006000000,4100000000,3983000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000000,154000000,158000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11339000000,11635000000,11670000000,16835000000,4740000000,3847000000,4442000000,4314000000,3472000000,3786000000,3993000000,3817000000,3825000000,3601000000,3852000000,4428000000,5447000000,5335000000,5540000000,5680000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,6000000,6000000,6000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4766000000,-4651000000,-4447000000,-8546000000,-65000000,31000000,-808000000,-924000000,- -,155000000,451000000,655000000,805000000,1055000000,1377000000,1575000000,2013000000,2319000000,1829000000,2706000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2239000000,-2237000000,-2294000000,-2392000000,-40000000,173000000,-183000000,-185000000,-194000000,-315000000,-364000000,-297000000,-550000000,-670000000,-710000000,-514000000,-656000000,-610000000,-588000000,-581000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2531000000,2554000000,2655000000,2785000000,3790000000,3783000000,3723000000,3928000000,3841000000,3860000000,3450000000,3434000000,3436000000,3353000000,3181000000,3100000000,2925000000,2921000000,2659000000,2170000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4468000000,-4328000000,-4080000000,-8147000000,3686000000,3988000000,2733000000,2820000000,3648000000,3701000000,3538000000,3793000000,3692000000,3739000000,3849000000,4162000000,4283000000,4631000000,3901000000,4296000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6871000000,7307000000,7590000000,8688000000,8426000000,7835000000,7175000000,7134000000,7120000000,7487000000,7531000000,7610000000,7517000000,7340000000,7701000000,8590000000,9730000000,9966000000,9441000000,9976000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,51000000,49000000,47000000,44000000,37000000,42000000,33000000,38000000,40000000,37000000,37000000,38000000,40000000,40000000,42000000,41000000,40000000,40000000,39000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6920000000,7358000000,7639000000,8735000000,8470000000,7872000000,7217000000,7167000000,7158000000,7527000000,7568000000,7647000000,7555000000,7380000000,7741000000,8632000000,9771000000,10006000000,9481000000,10015000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370946/000119312508040193/0001193125-08-040193-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312509031783/0001193125-09-031783-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312510032821/0001193125-10-032821-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312511037296/0001193125-11-037296-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312512062185/0001193125-12-062185-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312513066200/0001193125-13-066200-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000119312514046910/0001193125-14-046910-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094615000061/0001370946-15-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094616000272/0001370946-16-000272-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094617000006/0001370946-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094618000010/0001370946-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094619000012/0001370946-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094620000015/0001370946-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094621000011/0001370946-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1370946/000137094622000010/0001370946-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,172000000,75000000,-515000000,73000000,131000000,159000000,231000000,-284000000,47000000,-705000000,270000000,-478000000,39000000,-2809000000,115000000,204000000,-4099000000,-65000000,96000000,-839000000,64000000,933000000,276000000,-19000000,204000000,226000000,330000000,393000000,289000000,545000000,405000000,-383000000,995000000
74,Depreciation and Amortization,- -,- -,-170000000,-172000000,-132000000,-124000000,-121000000,- -,- -,132000000,173000000,197000000,210000000,203000000,237000000,205000000,206000000,228000000,231000000,69000000,343000000,331000000,325000000,320000000,318000000,349000000,332000000,304000000,300000000,343000000,371000000,433000000,457000000,493000000,502000000
75,Deferred Income Tax,- -,- -,-4000000,- -,-308000000,-21000000,10000000,59000000,142000000,-258000000,110000000,-416000000,163000000,-361000000,47000000,-21000000,51000000,133000000,-467000000,-48000000,- -,881000000,17000000,-867000000,55000000,-59000000,54000000,-15000000,64000000,136000000,183000000,141000000,118000000,86000000,44000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,52000000,23000000,21000000,24000000,28000000,29000000,30000000,41000000,44000000,47000000,39000000,41000000,50000000
77,Change in Working Capital,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,913000000,111000000,153000000,-258000000,-927000000,614000000,-11000000,316000000,-458000000,275000000,-22000000,150000000,-32000000,-403000000,202000000,80000000,39000000,-10000000,434000000,291000000,-18000000
78,Accounts Receivable,- -,- -,-15000000,106000000,59000000,-8000000,-22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,1000000,15000000,14000000,-17000000,4000000,17000000,-15000000,-71000000,60000000,16000000,-25000000,-78000000,19000000,-4000000,11000000,-42000000,-42000000,97000000,3000000,-100000000,- -,- -,- -,- -,-27000000,-29000000,150000000,5000000,-57000000,-216000000,35000000,189000000,-227000000
80,Accounts Payable,- -,- -,-15000000,106000000,59000000,-8000000,-22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,913000000,1024000000,1177000000,919000000,-8000000,606000000,595000000,911000000,453000000,728000000,706000000,856000000,824000000,421000000,623000000,703000000,742000000,732000000,1166000000,1457000000,-65000000
82,Other Non-Cash Items,- -,- -,400000000,458000000,1208000000,264000000,233000000,143000000,-31000000,745000000,-199000000,1048000000,-671000000,446000000,-758000000,2871000000,-199000000,142000000,6008000000,-555000000,-246000000,-513000000,541000000,-196000000,-359000000,-115000000,-168000000,300000000,-184000000,-50000000,90000000,-353000000,-416000000,607000000,-70000000
83,Cash Provided by Operating Activities,- -,- -,395000000,361000000,253000000,192000000,253000000,361000000,342000000,335000000,131000000,124000000,-28000000,-190000000,478000000,357000000,326000000,449000000,746000000,15000000,182000000,193000000,541000000,488000000,289000000,330000000,418000000,441000000,742000000,943000000,1016000000,803000000,1037000000,1135000000,1503000000
84,CAPEX,- -,- -,-125000000,-121000000,-96000000,-130000000,-164000000,-258000000,-276000000,-325000000,-227000000,-253000000,-244000000,-476000000,-270000000,-248000000,-208000000,-232000000,-288000000,-77000000,-247000000,-434000000,-243000000,-314000000,-442000000,-332000000,-353000000,-363000000,-393000000,-373000000,-337000000,-537000000,-447000000,-307000000,-416000000
