,https://roic.ai/company/EBS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,16205000,- -,40440000,51174000,90102000,109513000,114546000,148374000,165500000,199114000,196244000,207816000,273670000,302455000,251976000,240881000,370300000,558400000,597600000,640900000
11,COGS and Expenses,- -,40774000,- -,70542000,82777000,114227000,149822000,148627000,194636000,212614000,241285000,242321000,269943000,392082000,426750000,383260000,436588000,692600000,991900000,1121600000,1398400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,1418000,832000,105000,134000,139000,320000,572000,1053000,1753000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,7000,- -,- -,6000,- -,8240000,6523000,7617000,6590000,9900000,38400000,31300000,34500000
14,Depreciation and Amortization,- -,- -,- -,1867000,3549000,4715000,4817000,4964000,4999000,5990000,9355000,11197000,18958000,32453000,35335000,38229000,42572000,62200000,110700000,114500000,123800000
15,EBITDA,-554000,37125000,4454000,18468000,24658000,42730000,40804000,37701000,51116000,83870000,48204000,48649000,63201000,93755000,131627000,134319000,167795000,153600000,226500000,553000000,472700000
16,EBITDA ratio,-0.0122,0.4727,0.0799,0.2212,0.1887,0.2798,0.2231,0.2111,0.2177,0.2931,0.1763,0.1726,0.2021,0.2083,0.2518,0.2748,0.2992,0.1963,0.2048,0.3555,0.2637
17,Operating Income,-364000,37767000,- -,16771000,21336000,38028000,33093000,29927000,40150000,73557000,32099000,29967000,42802000,58056000,96039000,105522000,124285000,89800000,114100000,433800000,352600000
18,Operating Income ratio,-0.0080,0.4809,- -,0.2009,0.1633,0.2490,0.1809,0.1676,0.1710,0.2570,0.1174,0.1063,0.1369,0.1290,0.1837,0.2159,0.2216,0.1148,0.1032,0.2789,0.1967
19,Total Other Income Expenses (Gains),-190000,-642000,- -,-170000,-227000,-13000,2894000,2810000,1361000,-191000,-156000,2098000,565000,-4994000,-6270000,-6301000,-5652000,-8300000,-36700000,-26600000,-38200000
20,Income Before Tax,-554000,37125000,- -,16601000,21109000,38015000,35987000,32737000,41511000,73366000,31943000,32065000,43367000,53062000,89769000,99221000,118633000,81500000,77400000,407200000,314400000
21,Income Before Tax Ratio,-0.0122,0.4727,- -,0.1988,0.1615,0.2489,0.1967,0.1833,0.1768,0.2564,0.1168,0.1138,0.1387,0.1179,0.1717,0.2030,0.2115,0.1042,0.0700,0.2618,0.1754
22,Income Tax expense (Gain),- -,733000,- -,5129000,5325000,15222000,13051000,12055000,14966000,26182000,15830000,13922000,13108000,16321000,26899000,36697000,36039000,18800000,22900000,102100000,83500000
23,Net Income,-554000,36392000,4454000,11472000,15784000,22793000,22936000,20682000,31144000,51698000,23019000,23524000,31135000,36741000,62870000,51776000,82594000,62700000,54500000,305100000,230900000
24,Net Income ratio,-0.0122,0.4634,0.0799,0.1374,0.1208,0.1492,0.1254,0.1158,0.1326,0.1807,0.0842,0.0835,0.0996,0.0816,0.1203,0.1059,0.1473,0.0801,0.0493,0.1962,0.1288
25,EPS,-0.03,1.97,0.24,0.61,0.77,0.99,0.79,0.69,1.02,1.63,0.65,0.65,0.86,0.98,1.63,1.29,1.98,1.25,1.06,5.79,4.32
26,EPS Diluted,-0.03,1.75,0.22,0.56,0.69,0.93,0.77,0.68,0.99,1.59,0.64,0.65,0.85,0.88,1.41,1.13,1.71,1.22,1.04,5.67,4.27
27,Weighted Average Shares Outstanding,18466667,18473096,18904992,18919850,20533471,23039794,28995667,29835134,30444485,31782000,35658907,36080495,36201283,37344891,38595435,40184159,41816431,50100000,51500000,52700000,53500000
28,Weighted Average Shares Outstanding Diluted,18466667,20795429,20316752,20439252,22751733,24567302,29663127,30458098,31375305,32540000,36206052,36420662,36747556,45802807,47255842,49335112,50327937,51400000,52400000,53800000,54100000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1367644/000116923208001274/form10k.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764409000009/0001367644-09-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764410000008/0001367644-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764411000017/0001367644-11-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/1367644/000136764413000016/0001367644-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764414000016/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764415000016/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764416000059/0001367644-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764417000014/0001367644-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764418000014/0001367644-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764419000016/0001367644-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764420000010/0001367644-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764421000033/0001367644-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764422000024/0001367644-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5854000,4891000,- -,6821000,36294000,76418000,105730000,91473000,102924000,169019000,143901000,141666000,179338000,280499000,312795000,271513000,178292000,112200000,167800000,621300000,576100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2029000,1966000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5854000,4891000,- -,6821000,36294000,76418000,105730000,91473000,102924000,171048000,145867000,141666000,179338000,280499000,312795000,271513000,178292000,112200000,167800000,621300000,576100000
34,Net Receivables,- -,- -,- -,18637000,3293000,44200000,18817000,34855000,67446000,48054000,83659000,96043000,66238000,60191000,127340000,148474000,146085000,271100000,275300000,230900000,274700000
35,Inventory,- -,- -,- -,13253000,16441000,24721000,16897000,19728000,13521000,12722000,14661000,15161000,14643000,65674000,76936000,74002000,142812000,205800000,222500000,307000000,350800000
36,Other Current Assets,- -,- -,- -,2984000,3088000,1998000,2866000,6623000,9923000,11669000,10231000,10477000,12896000,25811000,21541000,16229000,18200000,31700000,20600000,36700000,70500000
37,Total Current Assets,- -,- -,- -,41695000,59116000,147337000,144310000,152679000,193814000,243493000,254418000,263347000,273115000,432175000,538612000,510218000,485389000,620800000,686200000,1195900000,1272100000
38,PP&E,- -,- -,- -,27269000,30645000,78174000,110218000,124656000,131834000,152701000,208973000,241764000,264240000,313979000,331856000,376448000,407210000,510200000,542300000,644100000,800100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,5029000,5502000,5502000,13954000,41984000,54902000,41001000,49130000,259700000,266600000,266700000,224900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,51400000,51400000,41800000,71948000,136144000,99876000,33865000,119597000,811600000,741900000,663100000,604600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,56429000,56902000,47302000,85902000,178128000,154778000,74866000,168727000,1071300000,1008500000,929800000,829500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,24000,9981000,11477000,12397000,12073000,3894000,33757000,13999000,11087000,- -,12764000,11286000,6096000,2834000,13400000,13400000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,68000,590000,1267000,6583000,1380000,15147000,13939000,12572000,730000,3373000,8216000,7060000,2483000,6046000,13700000,76900000,113400000,57300000
45,Total Non-Current Assets,- -,- -,- -,27361000,41216000,90918000,129198000,138109000,150875000,256826000,292446000,300883000,353515000,513087000,504980000,459893000,584817000,1608600000,1641100000,1687300000,1686900000
46,Other Assets,25423000,22790000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25423000,22790000,- -,69056000,100332000,238255000,273508000,290788000,344689000,500319000,546864000,564230000,626630000,945262000,1043592000,970111000,1070206000,2229400000,2327300000,2883200000,2959000000
48,Accounts Payable,- -,- -,- -,5520000,10425000,27366000,17979000,18254000,17159000,25409000,40530000,31297000,27521000,40930000,45966000,34649000,41751000,80700000,94800000,136100000,128900000
49,Short-Term Debt,- -,- -,- -,1046000,1408000,11403000,15346000,21248000,20791000,17187000,5360000,4470000,- -,- -,- -,20000000,- -,10100000,12900000,33800000,31600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000,- -,- -,- -,- -,- -,4500000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,18256000,7340000,1432000,902000,232000,255000,7839000,1362000,1811000,1834000,5345000,7942000,7036000,13232000,10600000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,9364000,10920000,24146000,21434000,14287000,16496000,25284000,23802000,24329000,27296000,46661000,45703000,44171000,45085000,99000000,108600000,214600000,213300000
53,Total Current Liabilities,- -,- -,- -,34186000,30093000,64347000,55661000,54021000,54701000,75719000,71054000,61907000,56651000,92936000,99611000,105856000,100068000,200400000,216300000,384500000,373800000
54,Long-Term Debt,- -,- -,- -,11821000,10502000,31368000,42588000,35935000,44927000,30239000,54094000,58304000,62000000,251000000,253000000,248094000,13457000,784500000,798400000,841000000,809400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,4386000,- -,- -,- -,5713000,6590000,8433000,17259000,62500000,85600000,55500000,4700000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1419000,- -,- -,- -,- -,67500000,63900000,53200000,94900000
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,4068000,4100000,1483000,1246000,16414000,4989000,1891000,17395000,42412000,24374000,11523000,27077000,103600000,74600000,102000000,57200000
58,Total Non-Current Liabilities,- -,- -,- -,11921000,10502000,35436000,46688000,37418000,46173000,51039000,59083000,60195000,80814000,299125000,283964000,268050000,57793000,1018100000,1022500000,1051700000,966200000
59,Other Liabilities,57718000,18635000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,57718000,18635000,- -,46107000,40595000,99783000,102349000,91439000,100874000,126758000,130137000,122102000,137465000,392061000,383575000,373906000,157861000,1218500000,1238800000,1436200000,1340000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,19000,22000,28000,30000,30000,31000,35000,36000,36000,37000,38000,40000,41000,50000,100000,100000,100000,100000
64,Retained Earnings,- -,- -,- -,15320000,25396000,47997000,70326000,91008000,122152000,173850000,196869000,220393000,251528000,288269000,351139000,254480000,337074000,367300000,421800000,726900000,957800000
65,Other Comprehensive Income/Loss,- -,- -,- -,-5657000,-276000,-473000,-1130000,-859000,-1476000,-2110000,-3313000,-4129000,-3465000,-3008000,-2713000,-4331000,-3698000,-5500000,-9900000,-25300000,-16100000
66,Other Total Stockholders Equity,- -,4155000,- -,13267000,34595000,90920000,101933000,109170000,120492000,197689000,220654000,225058000,241518000,267902000,311551000,346015000,578919000,649000000,676500000,745300000,677200000
67,Total Stockholders Equity,-32295000,4155000,- -,22949000,59737000,138472000,171159000,199349000,241199000,369464000,414246000,441358000,489618000,553201000,660017000,596205000,912345000,1010900000,1088500000,1447000000,1619000000
68,Total Liabilities And Stockholders Equity,25423000,22790000,- -,69056000,100332000,238255000,273508000,290788000,342073000,496222000,544383000,563460000,627083000,945262000,1043592000,970111000,1070206000,2229400000,2327300000,2883200000,2959000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,2616000,4097000,2481000,770000,-453000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25423000,22790000,- -,69056000,100332000,238255000,273508000,290788000,344689000,500319000,546864000,564230000,626630000,945262000,1043592000,970111000,1070206000,2229400000,2327300000,2883200000,2959000000
71,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1367644/000116923208001274/form10k.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764409000009/0001367644-09-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764410000008/0001367644-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764411000017/0001367644-11-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/1367644/000136764413000016/0001367644-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764414000016/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764415000016/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764416000059/0001367644-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764417000014/0001367644-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764418000014/0001367644-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764419000016/0001367644-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764420000010/0001367644-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764421000033/0001367644-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764422000024/0001367644-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,11472000,15784000,22793000,22936000,20682000,31144000,51698000,23019000,23524000,31135000,36741000,62870000,51776000,82594000,62700000,54500000,305100000,230900000
74,Depreciation and Amortization,- -,- -,- -,1867000,3549000,4715000,4817000,4964000,4999000,5990000,9355000,11197000,18958000,32453000,35335000,38229000,42572000,62200000,110700000,114500000,123800000
75,Deferred Income Tax,- -,- -,- -,-418000,-10968000,987000,5589000,2006000,7604000,10929000,20188000,3383000,13858000,16493000,3464000,5190000,3259000,8600000,-1100000,-2400000,46900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,5007000,7063000,10739000,11115000,11238000,12829000,15848000,18477000,15213000,23200000,26700000,51000000,42400000
77,Change in Working Capital,- -,- -,- -,-4459000,53967000,5659000,10009000,40455000,28661000,15590000,18076000,15024000,122775000,99762000,-34639000,-19041000,35079000,49500000,341500000,-65400000,-156400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-30017000,19094000,-34873000,-21890000,35456000,21405000,-64351000,-22446000,-4810000,-94200000,-8200000,49000000,-48200000
79,Inventory,- -,- -,- -,-1609000,-3189000,-8280000,7825000,-2831000,6207000,799000,-1939000,-500000,518000,4229000,-11262000,-9026000,6066000,-1900000,-16700000,-83200000,-44000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-1334000,3623000,2510000,274000,-551000,-9279000,4749000,-14791000,16134000,-7000000,16500000,19800000,-2500000
81,Other Working Capital,- -,- -,- -,29023000,82990000,88649000,98658000,139113000,167774000,183364000,201440000,216464000,339239000,439001000,404362000,385321000,420400000,469900000,811400000,746000000,-27800000
82,Other Non-Cash Items,- -,- -,- -,734000,-20082000,-38215000,12096000,-60790000,-46904000,8273000,-66784000,-24600000,-100996000,-85960000,-38419000,-41144000,29422000,-164400000,-344300000,133200000,33500000
83,Cash Provided by Operating Activities,- -,- -,- -,9196000,42250000,-4061000,55447000,7317000,30511000,99543000,14593000,39643000,96968000,112318000,44459000,53487000,208139000,41800000,188000000,536000000,321100000
84,CAPEX,- -,- -,- -,-17072000,-6532000,-41228000,-43969000,-20813000,-33287000,-22101000,-54026000,-53845000,-42021000,-30673000,-44812000,-76257000,-54828000,-72100000,-86900000,-141000000,-225000000
85,Acquisitions Net,- -,- -,- -,- -,-559000,-218000,- -,- -,- -,-17873000,- -,- -,-25873000,-179379000,-650000,- -,- -,-827700000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4187000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,147000,- -,- -,- -,- -,- -,16518000,4250000,1966000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1250000,1250000,-192000,- -,-10000000,- -,- -,- -,11765000,- -,- -,- -,- -,-195104000,2600000,-10000000,-10000000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-18175000,-5841000,-41638000,-43969000,-30813000,-33287000,-23456000,-53963000,-40114000,-67894000,-210052000,-45462000,-76257000,-249932000,-897200000,-96900000,-151000000,-225000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-48648000,-33291000,-15494000,-10227000,-62774000,-62000000,- -,- -,-20000000,-2800000,-116300000,-387100000,-35900000
91,Common Stock Issued,- -,- -,- -,12000,33000,54819000,2471000,3391000,4464000,7235000,10026000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-665000,-337000,-192000,- -,- -,- -,- -,- -,-5906000,-213000,-200000,-100000,- -,-33077000,-100000,- -,- -,-106000000
93,Dividends Paid,- -,- -,- -,- -,-5400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,9334000,-956000,31393000,16020000,5577000,59028000,16698000,19719000,14368000,71599000,261074000,33549000,-18641000,1676000,791600000,80400000,456600000,900000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,8681000,-6660000,86020000,18491000,8968000,14844000,-9358000,14251000,-1765000,8612000,198874000,33449000,-18641000,-51401000,788700000,-35900000,69500000,-141000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-276000,-197000,-657000,271000,-617000,-634000,1000,1000,-14000,21000,-150000,129000,-27000,-200000,400000,-1000000,-300000
97,Net Change In Cash,- -,- -,- -,-298000,29473000,40124000,29312000,-14257000,11451000,66095000,-25118000,-2235000,37672000,101161000,32296000,-41282000,-93221000,-66900000,55600000,453500000,-45200000
98,Cash at the End of Period,- -,- -,- -,6821000,36294000,76418000,105730000,91473000,102924000,169019000,143901000,141666000,179338000,280499000,312795000,271513000,178292000,112400000,168000000,621500000,576300000
99,Cash at the Beginning of Period,- -,- -,- -,7119000,6821000,36294000,76418000,105730000,91473000,102924000,169019000,143901000,141666000,179338000,280499000,312795000,271513000,179300000,112400000,168000000,621500000
100,Free Cash Flow,- -,- -,- -,-7876000,35718000,-45289000,11478000,-13496000,-2776000,77442000,-39433000,-14202000,54947000,81645000,-353000,-22770000,153311000,-30300000,101100000,395000000,96100000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1367644/000116923208001274/form10k.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764409000009/0001367644-09-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764410000008/0001367644-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764411000017/0001367644-11-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/1367644/000136764413000016/0001367644-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764414000016/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764415000016/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764416000059/0001367644-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764417000014/0001367644-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764418000014/0001367644-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764419000016/0001367644-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764420000010/0001367644-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1367644/000136764421000033/0001367644-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1367644/000136764422000024/0001367644-22-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
