,https://roic.ai/company/ITT,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,125000000,118000000,120400000,121000000,113100000,92000000,90000000,90600000,93600000,94100000,94400000,94250000,93700000,92000000,91700000,91950000,92650000,92800000,94100000,92300000,92800000,90700000,89900000,89000000,88700000,88600000,87300000,86000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/216228/000095012399002646/0000950123-99-002646-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/216228/000095012307002916/y29844e10vk.htm,https://www.sec.gov/Archives/edgar/data/216228/000095012308002275/y48545e10vk.htm,https://www.sec.gov/Archives/edgar/data/216228/000095012309003408/0000950123-09-003408-index.html,https://www.sec.gov/Archives/edgar/data/216228/000095012310018519/0000950123-10-018519-index.html,https://www.sec.gov/Archives/edgar/data/216228/000095012311017908/y87861e10vk.htm,https://www.sec.gov/Archives/edgar/data/216228/000119312512089618/0001193125-12-089618-index.html,https://www.sec.gov/Archives/edgar/data/216228/000119312513080241/0001193125-13-080241-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622814000008/itt10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/216228/000021622815000007/itt10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/216228/000021622816000077/0000216228-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622817000006/0000216228-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622818000007/0000216228-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622819000006/0000216228-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622820000005/0000216228-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622821000005/0000216228-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/216228/000021622822000006/0000216228-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,568000000,94000000,121900000,192200000,880900000,181700000,88700000,121300000,202200000,414200000,262900000,451000000,937100000,1840000000,964900000,1215600000,1032000000,690000000,544500000,507300000,584000000,415700000,460700000,389800000,561200000,612100000,859800000,647500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38200000,112900000,5400000,64900000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,568000000,94000000,121900000,192200000,880900000,181700000,88700000,121300000,202200000,414200000,262900000,451000000,937100000,1840000000,964900000,1215600000,1032000000,690000000,582700000,620200000,589400000,480600000,460700000,389800000,561200000,612100000,859800000,647500000
34,Net Receivables,16999000000,1257000000,1189800000,1252400000,842600000,834700000,814900000,741700000,868300000,974600000,1174300000,1273700000,1288900000,1935000000,1961100000,1796700000,1944000000,396000000,440300000,496700000,500100000,584900000,523900000,629600000,561800000,596400000,526600000,575700000
35,Inventory,1049000000,908000000,856900000,812800000,578900000,545800000,531300000,528900000,552900000,578500000,708400000,666900000,755900000,887600000,803800000,802300000,856000000,254000000,304200000,315900000,302300000,292700000,295200000,311900000,380500000,392900000,360500000,430900000
36,Other Current Assets,58233000000,243000000,120500000,120000000,80000000,66100000,71400000,66900000,77100000,138200000,183600000,380400000,365800000,267200000,334400000,441200000,562000000,422000000,213200000,232700000,244400000,139500000,122000000,147400000,141600000,135400000,170400000,68000000
37,Total Current Assets,76849000000,2502000000,2289100000,2377400000,2382400000,1628300000,1506300000,1458800000,1700500000,2105500000,2329200000,2772000000,3347700000,4929800000,4064200000,4255800000,4394000000,1762000000,1540400000,1665500000,1636200000,1497700000,1401800000,1478700000,1645100000,1736800000,1917300000,1722100000
38,PP&E,5346000000,2235000000,2166700000,2024300000,991600000,847000000,865400000,791000000,841200000,893300000,980900000,841000000,833000000,980300000,993900000,1051000000,1205000000,324000000,373100000,426200000,443900000,443500000,464500000,521700000,518800000,623200000,612400000,587100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2336800000,3829700000,3831300000,3864000000,4277000000,510000000,651400000,659800000,632100000,778300000,774700000,886800000,875900000,927200000,944800000,924300000
40,Intangible Assets,- -,363000000,349800000,1116500000,865300000,1206000000,1373000000,1410000000,1624900000,1703900000,2754400000,2469000000,213200000,760000000,616500000,518900000,766000000,88000000,136700000,121500000,118200000,215400000,198400000,198100000,171400000,168100000,130300000,102400000
41,Intangible Assets,- -,363000000,349800000,1116500000,865300000,1206000000,1373000000,1410000000,1624900000,1703900000,2754400000,2469000000,2550000000,4589700000,4447800000,4382900000,5043000000,598000000,788100000,781300000,750300000,993700000,973100000,1084900000,1047300000,1095300000,1075100000,1026700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8600000,4700000,3900000,5600000,5600000,6700000,7700000,9800000,11700000,14500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,310900000,546300000,373300000,212100000,87500000,136100000,29700000,608500000,583200000,554000000,45000000,21400000,303600000,304100000,326100000,297400000,149900000,164500000,138100000,158300000,63400000
44,Other Non-Current Assets,18659000000,779000000,685600000,702300000,809500000,848500000,866700000,537700000,676700000,861600000,1000100000,893900000,563200000,1023200000,365800000,856200000,1242000000,942000000,654500000,558900000,493100000,457000000,459300000,458300000,463400000,504500000,502800000,151600000
45,Total Non-Current Assets,24005000000,3377000000,3202100000,3843100000,2666400000,2901500000,3105100000,3049600000,3689100000,3832100000,4947500000,4291400000,4082300000,6622900000,6416000000,6873300000,8044000000,1909000000,1845700000,2074700000,1995300000,2225900000,2199900000,2221500000,2201700000,2370900000,2360300000,1843300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,100854000000,5879000000,5491200000,6220500000,5048800000,4529800000,4611400000,4508400000,5389600000,5937600000,7276700000,7063400000,7430000000,11552700000,10480200000,11129100000,12438000000,3671000000,3386100000,3740200000,3631500000,3723600000,3601700000,3700200000,3846800000,4107700000,4277600000,3565400000
48,Accounts Payable,- -,781000000,731800000,848300000,396200000,383100000,386000000,400500000,484000000,635300000,719800000,799600000,929400000,1296800000,1234600000,1291300000,1472000000,364000000,347000000,332700000,309600000,314700000,301700000,351400000,339200000,332400000,306800000,373400000
49,Short-Term Debt,- -,646000000,835600000,1650800000,251600000,609300000,629900000,517000000,299600000,141500000,729200000,751400000,597000000,3083000000,1679000000,75000000,11000000,2000000,- -,39800000,1500000,245700000,214300000,163600000,116200000,106400000,126600000,217700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32400000,29800000,28000000,30900000,31000000,36100000,33700000,27000000,36900000,33600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54600000,- -,- -,- -,- -,- -,82200000,74600000,73700000,69100000
52,Other Current Liabilities,5021000000,1234000000,971000000,1045800000,1503000000,1118000000,1216800000,979100000,946600000,909800000,996800000,1009400000,1233000000,1076500000,1116900000,1249300000,1262000000,468000000,403700000,460100000,464300000,392700000,350200000,384400000,334500000,336300000,363900000,268100000
53,Total Current Liabilities,5021000000,2661000000,2538400000,3544900000,2150800000,2110400000,2232700000,1896600000,1730200000,1686600000,2445800000,2560400000,2759400000,5456300000,4030500000,2615600000,2745000000,834000000,805300000,832600000,775400000,953100000,866200000,899400000,872100000,849700000,871000000,928300000
54,Long-Term Debt,- -,961000000,583200000,532200000,515500000,478800000,408400000,456400000,492200000,460900000,542800000,516300000,500400000,483000000,467900000,1430800000,1354000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,13000000,73900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,121000000,109500000,31600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,310100000,- -,- -,- -,- -,135100000,116200000,112200000,44500000,24900000,19300000,25000000,24000000,11900000,29000000
57,Other Non-Current Liabilities,90374000000,1509000000,1460900000,1289500000,1082500000,841500000,759100000,779600000,2029900000,1942400000,1945100000,1263300000,1305400000,1358500000,2921900000,3204400000,3834000000,2139000000,1742500000,1584500000,1523600000,1360600000,1282200000,1183700000,1124800000,1156200000,1253800000,303500000
58,Total Non-Current Liabilities,90374000000,2591000000,2153600000,1853300000,1598000000,1320300000,1167500000,1236000000,2522100000,2403300000,2487900000,1779600000,1805800000,2151600000,3389800000,4635200000,5188000000,2143000000,1877600000,1700700000,1635800000,1405100000,1307100000,1203000000,1149800000,1180200000,1278700000,406400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,400000,500000,200000,300000,100000,95900000,92200000,84100000
61,Total Liabilities,95395000000,5252000000,4692000000,5398200000,3748800000,3430700000,3400200000,3132600000,4252300000,4089900000,4933700000,4340000000,4565200000,7607900000,7420300000,7250800000,7933000000,2977000000,2682900000,2533300000,2411200000,2358200000,2173300000,2102400000,2021900000,2029900000,2149700000,1334700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,106000000,- -,- -,- -,- -,87900000,87900000,88800000,91800000,92300000,92300000,184600000,182600000,180700000,180600000,181600000,183000000,93000000,91900000,91000000,91000000,89500000,88400000,88200000,87600000,87800000,86500000,85500000
64,Retained Earnings,6749000000,- -,151400000,188500000,1271500000,1113800000,1306900000,1514000000,1939100000,2277100000,2589100000,2666000000,3024900000,3528800000,4203000000,4736800000,5409000000,852000000,898800000,1320300000,1445100000,1696700000,1789200000,1856100000,2110300000,2372400000,2319300000,2461600000
65,Other Comprehensive Income/Loss,- -,-2820000000,-2925100000,-2506100000,-1315000000,-1203700000,-1260200000,-1310500000,-893600000,-521700000,-338400000,-127200000,-342700000,235300000,-1323700000,-1040100000,-1087000000,-251000000,-287500000,-210300000,-321200000,-424100000,-451200000,-348200000,-375500000,-385300000,-279400000,-321300000
66,Other Total Stockholders Equity,- -,3447000000,3572900000,3139900000,1343500000,1101100000,1076600000,1083500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,5459000000,627000000,799200000,822300000,1300000000,1099100000,1211200000,1375800000,1137300000,1847700000,2343000000,2723400000,2864800000,3944800000,3059900000,3878300000,4505000000,694000000,703200000,1201000000,1214900000,1362100000,1426400000,1596100000,1822400000,2074900000,2126400000,2225800000
68,Total Liabilities And Stockholders Equity,100854000000,5879000000,5491200000,6220500000,5048800000,4529800000,4611400000,4508400000,5389600000,5937600000,7276700000,7063400000,7430000000,11552700000,10480200000,11129100000,12438000000,3671000000,3386100000,3734300000,3626100000,3720300000,3599700000,3698500000,3844300000,4104800000,4276100000,3560500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,5400000,3300000,2000000,1700000,2500000,2900000,1500000,4900000
70,Total Liabilities & Equity,100854000000,5879000000,5491200000,6220500000,5048800000,4529800000,4611400000,4508400000,5389600000,5937600000,7276700000,7063400000,7430000000,11552700000,10480200000,11129100000,12438000000,3671000000,3386100000,3740200000,3631500000,3723600000,3601700000,3700200000,3846800000,4107700000,4277600000,3565400000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/216228/000095012399002646/0000950123-99-002646-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/216228/000095012307002916/y29844e10vk.htm,https://www.sec.gov/Archives/edgar/data/216228/000095012308002275/y48545e10vk.htm,https://www.sec.gov/Archives/edgar/data/216228/000095012309003408/0000950123-09-003408-index.html,https://www.sec.gov/Archives/edgar/data/216228/000095012310018519/0000950123-10-018519-index.html,https://www.sec.gov/Archives/edgar/data/216228/000095012311017908/y87861e10vk.htm,https://www.sec.gov/Archives/edgar/data/216228/000119312512089618/0001193125-12-089618-index.html,https://www.sec.gov/Archives/edgar/data/216228/000119312513080241/0001193125-13-080241-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622814000008/itt10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/216228/000021622815000007/itt10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/216228/000021622816000077/0000216228-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622817000006/0000216228-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622818000007/0000216228-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622819000006/0000216228-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622820000005/0000216228-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/216228/000021622821000005/0000216228-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/216228/000021622822000006/0000216228-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1022000000,658000000,222600000,108100000,1532500000,232900000,264500000,276700000,379900000,403900000,432300000,359500000,581100000,742100000,794700000,643700000,798000000,-130000000,125400000,488500000,184500000,351800000,186100000,113500000,333700000,325100000,72500000,316300000
74,Depreciation and Amortization,597000000,423000000,433000000,436400000,195600000,181100000,201800000,212900000,171400000,188000000,198600000,196600000,194500000,185400000,278300000,292600000,297000000,74000000,71100000,86900000,88300000,90000000,102000000,105300000,109400000,113400000,112200000,113100000
75,Deferred Income Tax,-195000000,30000000,- -,-69400000,-136400000,43400000,44200000,27300000,125200000,- -,- -,- -,- -,- -,- -,- -,-115000000,303000000,34100000,-364000000,-200000,25600000,20900000,147000000,-14700000,30900000,-43900000,115700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30800000,31300000,30000000,12000000,12400000,13100000,14000000,15700000,12600000,18100000,21600000,15700000,13400000,16500000
77,Change in Working Capital,-484000000,-90300000,-918200000,1399100000,-713700000,-244300000,288600000,408100000,448600000,-535500000,328200000,376700000,-1114800000,560200000,1606500000,8800000,-721000000,-192900000,97800000,27900000,-316200000,-9000000,43700000,193700000,114100000,159200000,-304300000,-92000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17700000,-60700000,-45100000,-72000000,22500000,-59300000,-2700000,-40600000,83300000,-62200000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111800000,70400000,20900000,50000000,-38000000,-8700000,-10700000,-3100000,31500000,-7200000,14200000,-13300000,-600000,36500000,-82700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29900000,174000000,4000000,-4300000,4500000,-5800000,11000000,700000,16800000,-4200000,-1900000,-34700000,77600000
81,Other Working Capital,-159000000,-249300000,-1167500000,231600000,-482100000,-726400000,-437800000,-29700000,418900000,-116600000,211600000,588300000,-526500000,33700000,1640200000,1649000000,928000000,735100000,832900000,860800000,544600000,535600000,579300000,773000000,887100000,1046300000,742000000,-46200000
82,Other Non-Cash Items,597000000,-812700000,735500000,-1091100000,-1314200000,-154300000,-384500000,-466800000,-513800000,530400000,-430500000,-251100000,1200100000,-705800000,-1599800000,291300000,945000000,110900000,-93700000,-25800000,274300000,-244400000,-124600000,-330200000,-192300000,-286600000,586000000,-477200000
83,Cash Provided by Operating Activities,1537000000,208000000,472900000,783100000,-436200000,58800000,414600000,458200000,611300000,586800000,528600000,681700000,860900000,781900000,1110500000,1267700000,1234000000,177000000,247100000,226600000,244700000,229700000,240700000,247400000,371800000,357700000,435900000,-7600000
84,CAPEX,-727000000,-450000000,-406300000,-459700000,-292500000,-772700000,-180600000,-174000000,-153200000,-153600000,-165100000,-179200000,-177100000,-239300000,-248700000,-271600000,-328000000,-103000000,-83800000,-122900000,-118800000,-86700000,-111400000,-113300000,-95500000,-91400000,-63700000,-88400000
85,Acquisitions Net,-1667000000,- -,- -,- -,- -,- -,-192000000,-90900000,-159200000,-46200000,-1010000000,-69000000,-89500000,-2009200000,-254100000,-13700000,-784000000,-5000000,-193200000,700000,-2800000,-341500000,-5800000,-109900000,43200000,-113100000,-4700000,- -
86,Purchases of Investments,-18962000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38200000,-240200000,-165400000,-140100000,-60600000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,15702000000,- -,- -,- -,- -,- -,- -,- -,- -,43500000,24900000,- -,- -,- -,- -,- -,- -,- -,- -,168200000,269000000,78500000,123500000,- -,- -,- -,- -,- -
88,Other Investing Activites,879000000,12658000000,183700000,-939600000,3749000000,112200000,46300000,44900000,8400000,15000000,7600000,19500000,211000000,286400000,-2000000,-271400000,-333000000,-569000000,-43300000,-117500000,-115300000,-82400000,-111500000,-113300000,-95500000,-90300000,-61100000,-82300000
89,Cash Used for Investing Activites,-4775000000,12208000000,-222600000,-1399300000,3456500000,-660500000,-326300000,-220000000,-304000000,-141300000,-1142600000,-228700000,-55600000,-1962100000,-504800000,-285100000,-1117000000,-574000000,-274700000,-188800000,-14500000,-485500000,-54400000,-223200000,-52300000,-203400000,-65800000,-82300000
90,Debt Repayment,-547000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1252300000,-1632300000,-142000000,-1319000000,-25800000,-6400000,-39700000,-53600000,-79400000,-178600000,-236500000,-30400000,-527200000,-2400000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,104300000,93300000,45300000,76800000,151900000,69000000,65400000,34400000,14700000,28000000,53000000,58000000,34800000,15100000,6200000,12300000,11200000,5800000,14900000,4300000,1200000
92,Common Stock Repurchased,-1194000000,-35000000,-11400000,-67800000,-830800000,-402600000,-54000000,-150900000,-32300000,-69700000,-159600000,-334400000,-210000000,-299000000,-75000000,- -,- -,- -,-116800000,-87900000,-60200000,-84000000,-77800000,-32900000,-56100000,-41400000,-84200000,-116500000
93,Dividends Paid,-280000000,-193000000,-53400000,-71100000,-70500000,-55500000,-52900000,-52900000,-54300000,-58000000,-61800000,-65600000,-77600000,-96600000,-120900000,-147900000,-176000000,-193000000,-34200000,-36400000,-40700000,-42800000,-44600000,-45400000,-47300000,-52100000,-59000000,-75800000
94,Other Financing Activites,4668000000,-12439000000,-145700000,836300000,-1432700000,375100000,-37100000,-102300000,-238400000,-186500000,605600000,8300000,-151200000,2310300000,6400000,993600000,- -,2342000000,10800000,37600000,8900000,294600000,47600000,133200000,205300000,7500000,507500000,93700000
95,Cash Used/Provided by Financing Activities,2647000000,-12667000000,-210500000,697400000,-2334000000,-83000000,-144000000,-201800000,-231700000,-268900000,461000000,-239800000,-369800000,1980100000,-1407400000,-771900000,-290000000,883000000,-108000000,-58300000,-116600000,120400000,-141900000,-112500000,-128800000,-101500000,-158600000,-99800000
96,Effect of Forex Changes on Cash,24000000,23000000,-12100000,-10900000,2400000,-14500000,-28000000,-3800000,5300000,35400000,17600000,-25100000,50600000,103000000,-73400000,40000000,-18000000,-2000000,-4000000,-400000,-31200000,-31600000,-11400000,19800000,-15300000,-3000000,35200000,-22600000
97,Net Change In Cash,-567000000,-12667000000,-210500000,697400000,-2334000000,-699200000,-83700000,32600000,80900000,212000000,-135400000,188100000,486100000,902900000,-875100000,250700000,-184000000,484000000,-145300000,-37200000,76700000,-168300000,45000000,-70900000,171200000,50700000,247700000,-212300000
