,https://roic.ai/company/MRVL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058057/000089161802002079/0000891618-02-002079-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000089161803002249/0000891618-03-002249-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058057/000119312513134707/0001193125-13-134707-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000119312514118715/d658295d10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058057/000105805718000009/0001058057-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000105805719000010/0001058057-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000105805720000014/0001058057-20-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/1835632/000183563222000016/0001835632-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16600000,184128000,114483000,125316000,224399000,166471000,348431000,568008000,615648000,927409000,1105428000,1847074000,784902000,752000000,1019087000,1210977000,1278180000,814092000,704527000,582410000,647604000,748467000,613533000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39935000,135761000,139912000,161872000,493543000,572591000,28372000,15254000,- -,691289000,1082956000,1461596000,1167000000,1340577000,1318578000,1004569000,854268000,1136745000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16600000,224063000,250244000,265228000,386271000,660014000,921022000,596380000,630902000,927409000,1796717000,2930030000,2246498000,1919000000,2359664000,2529555000,2282749000,1668360000,1841272000,582410000,647604000,748467000,613533000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14701000,37543000,42150000,86175000,136513000,200954000,245164000,328283000,342260000,222101000,356796000,459406000,407263000,330000000,420955000,420955000,323300000,335384000,280395000,493122000,492346000,536668000,1048583000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4830000,30924000,23600000,39712000,91785000,128889000,211374000,247403000,419493000,310654000,241541000,245448000,354119000,250000000,308162000,308162000,210017000,171969000,170039000,276005000,322980000,268228000,720331000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2651000,11479000,23422000,19979000,18713000,27937000,122314000,175969000,111086000,100151000,70491000,77763000,71081000,86000000,255259000,85368000,102560000,104617000,72249000,43721000,74567000,63782000,111003000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38782000,304009000,339416000,411094000,633282000,1017794000,1499874000,1348035000,1503741000,1560315000,2465545000,3712647000,3078961000,2585000000,3344040000,3344040000,2918626000,2280330000,2363955000,1395258000,1537497000,1617145000,2493450000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7413000,- -,52924000,69246000,149705000,161770000,260921000,440943000,416241000,390853000,342497000,358440000,383801000,373000000,340639000,340639000,299540000,243397000,202222000,318978000,467999000,427536000,604802000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1338768000,- -,- -,1558209000,1977805000,1994068000,1997630000,1997662000,2004833000,2031991000,2032000000,2029945000,2029945000,2029945000,2003413000,- -,5494505000,5337405000,5336961000,11511129000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100839000,- -,231875000,1615084000,1560636000,111973000,580558000,433809000,286534000,179101000,124631000,191717000,171000000,132556000,105347000,79903000,69635000,2080846000,2685960000,3042234000,2512944000,6643600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100839000,1680740000,1570643000,1615084000,1560636000,1670182000,2558363000,2427877000,2284164000,2176763000,2129464000,2223708000,2203000000,2162501000,2135292000,2109848000,2073048000,2080846000,8180465000,8379639000,7849905000,18154729000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40541000,131342000,26226000,29524000,31255000,30844000,19493000,17100000,10402000,2200000,- -,- -,- -,30679000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22975000,- -,34638000,- -,31064000,- -,- -,22273000,34505000,26608000,52204000,246252000,31233000,672424000,493508000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305000,42638000,- -,- -,37394000,48762000,82312000,180359000,179760000,138327000,20155000,111380000,20561000,69745000,6363000,22650000,62508000,14865000,6860000,-124201000,716867000,197914000,331429000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7718000,2143477000,1733664000,1639889000,1802183000,1771168000,2013415000,3179665000,3046853000,2853885000,2705395000,2625510000,2688658000,2677000000,2540347000,2540347000,2523501000,2368320000,2344332000,8621494000,9595738000,9147779000,19615147000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5291000,16563000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5291000,16563000,46500000,2447486000,2073080000,2050983000,2435465000,2788962000,3513289000,4527700000,4550594000,4414200000,5170940000,6338157000,5767619000,5262000000,5884387000,5884387000,5442127000,4648650000,4708287000,10016752000,11133235000,10764924000,22108597000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5698000,24818000,30990000,47672000,121190000,129728000,196606000,244959000,231135000,139028000,277405000,332007000,304695000,287000000,282899000,282899000,180372000,143484000,145236000,185362000,213747000,252419000,461509000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000,37000,1039000,5019000,10747000,13204000,16563000,17408000,2463000,1787000,1940000,511000,- -,- -,- -,- -,- -,- -,- -,- -,- -,232102000,101317000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17744000,2247000,- -,- -,- -,- -,- -,35803000,19992000,- -,- -,79031000,51682000,- -,- -,- -,23252000,47079000,6133000,- -,23348000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6516000,9287000,8178000,12996000,15938000,29773000,50874000,69420000,57895000,59396000,76161000,59959000,60150000,61747000,68120000,55722000,68124000,61237000,142378000,111486000,197141000,38962000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10399000,56851000,43202000,33505000,38978000,55935000,89806000,397945000,280194000,210938000,227869000,232007000,224900000,260850000,292730000,286357000,989691000,284808000,214669000,309056000,384933000,395435000,786754000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16171000,88222000,84518000,94374000,183911000,214805000,332748000,711186000,583212000,409648000,566610000,640686000,589554000,608000000,637376000,637376000,1225785000,496416000,421142000,636796000,710166000,1077097000,1388542000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19944000,11590000,24447000,411846000,394988000,125830000,511000,- -,- -,- -,- -,- -,- -,- -,- -,1732699000,1439024000,1097587000,4625160000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112871000,81325000,- -,- -,38777000,56976000,246252000,31233000,22359000,34508000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22389000,2598000,6793000,42029000,40769000,65137000,109997000,177484000,160875000,49655000,185840000,175602000,164047000,56129000,19597000,100922000,76219000,85806000,88756000,94595000,274232000,132077000,358290000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22389000,2598000,6793000,42029000,60713000,76727000,134444000,589330000,555863000,175485000,186351000,175602000,164047000,169000000,100922000,100922000,76219000,124583000,145732000,2073546000,1744489000,1252023000,5017958000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14869000,25913000,- -,- -,23603000,97813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13755000,19944000,11590000,24447000,17096000,4238000,4238000,2451000,511000,- -,- -,- -,- -,- -,- -,- -,- -,144440000,136878000,178500000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14869000,25913000,38560000,90820000,101328000,150158000,244624000,291532000,467192000,1300516000,1139075000,585133000,752961000,816288000,753601000,777000000,738298000,738298000,1302004000,620999000,566874000,2710342000,2454655000,2329120000,6406500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000,231000,238000,243000,263000,555000,583000,1175000,1200000,1233000,1277000,1317000,1162000,1000000,1030000,1030000,1015000,1012000,991000,1317000,1328000,1350000,1692000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2159000,-232961000,- -,- -,-674779000,-533118000,-201755000,-576528000,-690955000,-543713000,-190257000,713872000,1328963000,1537000000,2045203000,2045203000,1110982000,1009841000,1409452000,1116495000,2541313000,2103441000,1491358000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2776000,-17753000,946000,1988000,-7188000,-5207000,-2900000,28000,615000,-718000,-885000,1092000,776000,1000000,1000000,308000,-795000,23000,-2000000,-712861000,-739538000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8459000,2607149000,1988543000,1947907000,2872545000,3035200000,3250169000,3802509000,4100659000,4372265000,4607844000,4805588000,3683117000,2945595000,2628677000,3099548000,3028921000,3016775000,2732970000,6901459000,6875477000,6331013000,14209047000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9578000,-9350000,7940000,2356666000,1989727000,1950138000,2190841000,2497430000,3046097000,3227184000,3411519000,3829067000,4417979000,5521869000,5014018000,4484595000,4675910000,5146089000,4140123000,4027651000,4141413000,7306410000,8678580000,8435804000,15702097000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5291000,16563000,46500000,2447486000,2091055000,2100296000,2435465000,2788962000,3513289000,4527700000,4550594000,4414200000,5170940000,6338157000,5767619000,5261595000,5414208000,5884387000,5442127000,4648650000,4708287000,10016752000,11133235000,10764924000,22108597000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17975000,-49313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,405000,470179000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5291000,16563000,46500000,2447486000,2073080000,2050983000,2435465000,2788962000,3513289000,4527700000,4550594000,4414200000,5170940000,6338157000,5767619000,5262000000,5884387000,5884387000,5442127000,4648650000,4708287000,10016752000,11133235000,10764924000,22108597000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058057/000089161802002079/0000891618-02-002079-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000089161803002249/0000891618-03-002249-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058057/000119312513134707/0001193125-13-134707-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000119312514118715/d658295d10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058057/000105805718000009/0001058057-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000105805719000010/0001058057-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1058057/000105805720000014/0001058057-20-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/1835632/000183563222000016/0001835632-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13070000,-235120000,-415154000,-72174000,45510000,141661000,331363000,-12095000,-114427000,147242000,353456000,904129000,615091000,306600000,315300000,435346000,-811400000,21151000,520831000,-179094000,1584391000,-277298000,-421034000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3827000,21003000,449715000,138478000,119015000,127334000,150654000,187147000,261546000,266147000,206748000,172728000,137811000,143728000,146758000,124585000,112864000,118492000,87057000,307301000,524740000,641528000,1245311000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-614000,-1691000,-5477000,-3732000,- -,-4422000,-996000,-2224000,-13783000,-17468000,13356000,4113000,-3245000,7026000,3919000,-12913000,6096000,44637000,19825000,118647000,-785158000,-39491000,-93894000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177132000,126599000,118405000,119863000,127280000,155873000,137246000,133779000,113970000,86689000,184064000,242207000,241539000,460679000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3641000,-7587000,- -,- -,-15936000,-51821000,-83314000,-104549000,-59366000,123356000,126825000,-11258000,-113299000,-512000000,729664000,55446000,734196000,-709236000,148795000,-1184351000,68869000,67873000,-662887000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109919000,-134695000,-102610000,54550000,77025000,-123258000,34165000,97655000,-12084000,54989000,-99044000,11244000,-44322000,-409079000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2515000,-8720000,7324000,-14258000,-52073000,-37104000,-60439000,-9224000,-202275000,126938000,82659000,-1264000,-101109000,103102000,-97188000,39454000,90586000,29325000,-12160000,4348000,12759000,29913000,-291886000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88795000,136045000,42464000,-47095000,-24304000,39791000,-43871000,-105898000,-28153000,-16613000,-6493000,1658000,39663000,93157000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254898000,316720000,- -,- -,- -,-8846000,- -,- -,24500000,16765000,-28767000,1977000000,2706664000,49934000,-45736000,32088000,1942813000,758462000,827331000,39641000,29579000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235587000,20933000,-21754000,1224000,8778000,4590000,269032000,103382000,-15724000,-15471000,5431000,15026000,656403000,-903475000,-10774000,29817000,52551000,-292084000,1350177000,-1274752000,183136000,291193000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12642000,12192000,50017000,40818000,149813000,221530000,402297000,337311000,177352000,680685000,811513000,1193548000,771247000,729037000,448039000,728936000,205352000,-358435000,571113000,596744000,360297000,817287000,819368000
