,https://roic.ai/company/PTE,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2994000,1476000,- -
61,Total Liabilities,6521287,314411,101587,393070,33341000,30167000,25320000,13262000,13722000,16433000,16808000,18021000,29142000,19961000,17596000,5905000,2004000,1354000,15441000,6180000,14683000,18172000,11934000
62,Preferred Stock,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10694000,10153000,114536000,- -,- -,- -,- -
63,Common Stock,18082,21532,21807,11077,15000,15000,22000,22000,29000,30000,38000,39000,41000,42000,46000,7000,11000,3000,7000,21000,27000,55000,6926000
64,Retained Earnings,-6935467,-13315188,-19071965,-19944532,-16012000,-15388000,-87388000,-92754000,-97524000,-94172000,-101361000,-102333000,-95501000,-90888000,-103530000,-119727000,-123536000,-128176000,-259005000,-324446000,-435357000,-478211000,-508398000
65,Other Comprehensive Income/Loss,- -,-2921,- -,- -,-1236000,-1356000,-1356000,-1356000,-1356000,- -,- -,-1000000,-1000000,-1000000,-1000000,-1593000,-94000,-121000,-486000,-1834000,72000,- -,- -
66,Other Total Stockholders Equity,12988887,18743038,19038432,19558628,1502000,30514000,93483000,95837000,101442000,101279000,113042000,115302000,119695000,121183000,124537000,126864000,128582000,123538000,149659000,407921000,474174000,505494000,520716000
67,Total Stockholders Equity,6071502,5446461,-11726,-374827,-15730000,13785000,4761000,1749000,2591000,7137000,11719000,12008000,23235000,29337000,20053000,5551000,15657000,5397000,4711000,81662000,38916000,27338000,19244000
68,Total Liabilities And Stockholders Equity,12592789,5760872,89861,18243,17611000,43952000,30081000,15011000,16313000,23570000,28527000,30029000,52377000,49298000,37649000,11456000,17661000,6751000,20152000,87842000,53599000,45510000,31178000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12592789,5760872,89861,18243,17611000,43952000,30081000,15011000,16313000,23570000,28527000,30029000,52377000,49298000,37649000,11456000,17661000,6751000,20152000,87842000,53599000,45510000,31178000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1076682/000095013605000489/0000950136-05-000489-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095013606000658/0000950136-06-000658-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095013607000467/0000950136-07-000467-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095013608000389/0000950136-08-000389-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095012309001565/0000950123-09-001565-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095012310006656/0000950123-10-006656-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095012311007246/0000950123-11-007246-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000119312512013940/0001193125-12-013940-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000114420413002186/0001144204-13-002186-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000114420414002141/0001144204-14-002141-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000114420415004622/0001144204-15-004622-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000114420416077792/0001144204-16-077792-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000165495416005166/0001654954-16-005166-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000149315218001228/0001493152-18-001228-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000149315219000547/0001493152-19-000547-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1076682/000149315221007159/0001493152-21-007159-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000149315222008097/0001493152-22-008097-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3063878,-6379721,-5756777,-872567,-10841000,-11186000,-70900000,-5366000,-4770000,3352000,-7189000,-972000,6832000,4613000,-12642000,-16197000,-3809000,-4640000,-130829000,-65441000,-92493000,-42854000,-30187000
74,Depreciation and Amortization,130772,995458,1002700,- -,356000,439000,23610000,11481000,3412000,6437000,13681000,6726000,6602000,17928000,6841000,11440000,493000,177000,432000,1394000,2992000,3263000,2842000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1730000,1301000,1468000,1686000,1416000,1117000,1436000,3142000,16627000,38821000,31402000,7258000,5381000
77,Change in Working Capital,- -,1281520,-1558727,-363101,-10552173,19842000,-5158000,-2780000,1857000,3868000,5113000,-252000,12228000,3955000,-12079000,-10314000,10259000,-10233000,-2856000,65461000,-45556000,307000,-5055000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-830000,2767000,-428000,1273000,170000,- -,-940000,-1019000,-2236000,2766000
79,Inventory,- -,- -,- -,- -,-8286000,-1760000,4696000,5620000,-1412000,-1769000,-412000,-2243000,-4981000,2328000,2228000,2830000,1227000,- -,- -,-238000,84000,-631000,747000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1257000,-230000,- -,- -,-6417000,-1993000,-2194000,-402000,1411000,2136000,- -,- -,-1047000
81,Other Working Capital,265481,1547001,-11726,-374827,-10927000,8915000,3757000,977000,2834000,6702000,11815000,11563000,23791000,27746000,15667000,5353000,15612000,5379000,2523000,67984000,22428000,22735000,17680000
82,Other Non-Cash Items,2800124,1826844,4584033,831550,18163173,-27962000,-2578000,-3113000,-1265000,-16355000,-19913000,-9838000,-17713000,-22090000,11877000,10445000,-9993000,9788000,109043000,-68781000,47007000,-5728000,4389000
83,Cash Provided by Operating Activities,-132982,-2275899,-1728771,-404118,-2874000,-18867000,-55026000,222000,-766000,-2698000,-6578000,-3035000,9417000,6092000,-4587000,-3509000,-1614000,-1766000,-7583000,-28546000,-56648000,-37754000,-22630000
84,CAPEX,-12102,-5054,- -,- -,-152000,-319000,-451000,-207000,-163000,-314000,-146000,-283000,-465000,-338000,-274000,-347000,- -,- -,-2544000,-9221000,-2773000,-1339000,-123000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-779000,- -,-3500000,-530000,- -,- -,- -,-2258000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40072000,-14144000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27228000,33116000,- -
88,Other Investing Activites,20946,-95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540000,- -,25000,60000,- -,- -,27000
89,Cash Used for Investing Activites,8844,-100054,- -,- -,-152000,-319000,-451000,-207000,-163000,-314000,-146000,-283000,-1244000,-338000,-3774000,-877000,540000,- -,-2519000,-11419000,-15617000,17633000,-96000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1238000,- -,-1765000,- -,- -,- -,-74000,-987000,-2183000,-1110000
91,Common Stock Issued,1000000,- -,- -,307500,- -,21179000,60469000,- -,5868000,- -,8628000,- -,- -,- -,2000000,- -,10946000,1406000,2278000,92676000,28073000,32020000,9884000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,- -,- -,- -,- -,- -
94,Other Financing Activites,-319063,3637785,- -,25000,2692000,1881000,-6750000,1390000,-1390000,1500000,4513000,-496000,-2489000,-152000,1745000,-33000,-15000,-170000,18968000,657000,-276000,5588000,7805000
95,Cash Used/Provided by Financing Activities,680937,3637785,- -,332500,2692000,23060000,53719000,1390000,4478000,1428000,13141000,-496000,-2489000,-1390000,3745000,-1798000,10931000,-8764000,21246000,93259000,26810000,35425000,16579000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-44000,-18000,-5000,-18000,-66000,-188000,-83000,-21000,1000,-15000,-37000,-5000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,680937,1261832,-1728771,-71618,-378000,3856000,-1763000,1387000,3483000,-1772000,6334000,-3835000,5685000,4349000,-4653000,-6189000,9857000,-10530000,11144000,53294000,-45455000,15304000,-6147000
98,Cash at the End of Period,556799,1818631,89860,18243,314000,4170000,2407000,3794000,7277000,5505000,11839000,8004000,13689000,18038000,13385000,7196000,17053000,6523000,17667000,70961000,10218000,25522000,19375000
99,Cash at the Beginning of Period,- -,556799,1818631,89861,692000,314000,4170000,2407000,3794000,7277000,5505000,11839000,8004000,13689000,18038000,13385000,7196000,17053000,6523000,17667000,55673000,10218000,25522000
100,Free Cash Flow,-145084,-2280953,-1728771,-404118,-3026000,-19186000,-55477000,15000,-929000,-3012000,-6724000,-3318000,8952000,5754000,-4861000,-3856000,-1614000,-1766000,-10127000,-37767000,-59421000,-39093000,-22753000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1076682/000095013605000489/0000950136-05-000489-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095013606000658/0000950136-06-000658-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095013607000467/0000950136-07-000467-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095013608000389/0000950136-08-000389-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095012309001565/0000950123-09-001565-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095012310006656/0000950123-10-006656-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000095012311007246/0000950123-11-007246-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000119312512013940/0001193125-12-013940-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000114420413002186/0001144204-13-002186-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000114420414002141/0001144204-14-002141-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000114420415004622/0001144204-15-004622-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000114420416077792/0001144204-16-077792-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000165495416005166/0001654954-16-005166-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000149315218001228/0001493152-18-001228-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000149315219000547/0001493152-19-000547-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1076682/000149315221007159/0001493152-21-007159-index.htm,https://www.sec.gov/Archives/edgar/data/1076682/000149315222008097/0001493152-22-008097-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
