,https://roic.ai/company/CPK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10500000,-11700000,-14000000,-12400000,-12000000,-25100000,-21821006,-29185807,-14705244,-11790364,-17806950,-33008235,-48845828,-31277390,-30755845,-27021000,-45701000,-47682000,-72007000,-97120000,-97164000,-144618000,-169861000,-175329000,-269767000,-184727000,-165511000,-186924000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20201000,- -,-20930000,- -,-11945000,-16654000,-1117000,-22031000,-36371000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,- -,- -,- -,- -,178812,- -,- -,- -,- -,3519000,- -,- -,- -,2300000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,644177,5925967,779795,240336,-15549,-23097,-479799,-59000,-3398000,-799000,2178000,240000,10578000,-10000,-176000,379000,157000,-743000,5911000,-186652000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10400000,-11700000,-14100000,-12400000,-12500000,-22900000,-21821006,-29185807,-14061067,-5864397,-16848343,-32767899,-48861377,-31300487,-31235644,-23143000,-48809000,-47836000,-69829000,-114781000,-86586000,-165558000,-170037000,-186895000,-286264000,-186587000,-181631000,-223023000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14719000,-36860000,-9375000,-8202000,-16857000,-27403000,-10820000,-9146000,-12100000,-40331000,-89023000,-126062000,-13811000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,400000,600000,600000,1000000,1113956,1215684,1278153,2331233,268341,458756,20020374,299436,28541,392000,568000,- -,- -,- -,- -,813000,58171000,79000,- -,- -,83607000,15851000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-192652,- -,-434782,- -,- -,- -,- -,- -,-1273000,-1342000,-165000,- -,- -,- -,-706000,-721000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,-2800000,-3000000,-3800000,-4300000,-4800000,-5022313,-5216044,-5322195,-6147264,-5560535,-5789179,-5982531,-7029821,-7956843,-7957000,-11013000,-11663000,-12335000,-13081000,-13887000,-15924000,-17482000,-19928000,-22043000,-24693000,-27161000,-31537000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,1700000,6300000,1700000,3000000,9900000,19611875,14317588,-5014051,-11649796,-2624567,25685656,7142026,10453423,9639951,835000,33934000,-1253000,26491000,73125000,49975000,84628000,36446000,110191000,203041000,198956000,88845000,103493000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4700000,-800000,3700000,-1500000,-700000,6100000,15703518,10317228,-9058093,-15465827,-8109413,20355233,20745087,3723038,1711649,-21449000,-13371000,-22291000,4681000,41845000,8520000,58697000,67989000,78242000,139961000,84519000,19229000,73996000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,600000,1000000,-1600000,-2200000,-200000,2249143,-3417981,1269941,650225,-1496740,875897,2000708,-1895565,-981606,1217000,-1175000,994000,724000,-5000,1218000,-1719000,1323000,1436000,475000,896000,-3486000,1477000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,1000000,2000000,600000,2600000,2400000,4606316,1188335,2458276,3108501,1611761,2487658,4488366,2592801,1611195,2828000,1643000,2637000,3361000,3356000,4574000,2855000,4178000,5614000,6089000,6985000,3499000,4976000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,400000,1000000,2200000,4800000,2600000,2357173,4606316,1188335,2458276,3108501,1611761,2487658,4488366,2592801,1611000,2818000,1643000,2637000,3361000,3356000,4574000,2855000,4178000,5614000,6089000,6985000,3499000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,1300000,-2700000,-100000,-1000000,-8500000,-13454375,-13735209,9683857,10190085,5654066,-19719672,-18728830,-5595506,-2213456,18788000,15304000,23439000,-6135000,-24189000,-17880000,-39476000,-66490000,-65240000,-122989000,-81763000,-6595000,-36420000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/19745/000095010996001767/0000950109-96-001767-index.html,https://www.sec.gov/Archives/edgar/data/19745/000095010997002305/0000950109-97-002305-index.html,https://www.sec.gov/Archives/edgar/data/19745/000001974598000004/0000019745-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/19745/000001974599000002/0000019745-99-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19745/000001974506000005/0000019745-06-000005-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000001974507000004/0000019745-07-000004-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/19745/000095012310022158/0000950123-10-022158-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000095012311023151/0000950123-11-023151-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000119312512099980/0001193125-12-099980-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000119312513097201/0001193125-13-097201-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000144530514000904/0001445305-14-000904-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828015001482/0001628280-15-001482-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828016011868/0001628280-16-011868-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828017001844/0001628280-17-001844-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828018002594/0001628280-18-002594-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828019002015/0001628280-19-002015-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828020002321/0001628280-20-002321-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828021003104/0001628280-21-003104-index.htm,https://www.sec.gov/Archives/edgar/data/19745/000162828022003530/0001628280-22-003530-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
