,https://roic.ai/company/WETF,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12497000,57133000,29407000,30993000,14406000,10546000,433000,6874000
23,Net Income,-4960335,-8591870,-4192703,-3405789,-5333356,1063933,- -,-1000000,-4100000,-19300000,-25100000,-27000000,-21200000,-7549000,3092000,11030000,51537000,61051000,80052000,26155000,27199000,36633000,-10425000,-35655000,49797000
24,Net Income ratio,-0.3211,-0.5598,-0.2395,-0.1722,-0.8994,Infinity,- -,-Infinity,-Infinity,-11.3529,-1.3791,-1.2217,-0.9593,-0.1814,0.0475,0.1301,0.3448,0.3322,0.2678,0.1192,0.1146,0.1336,-0.0388,-0.1405,0.1636
25,EPS,-0.77,-1.09,-0.47,-0.34,-0.62,0.11,- -,-0.05,-0.05,-0.25,-0.25,-0.27,-0.21,-0.07,0.03,0.09,0.41,0.46,0.59,0.19,0.20,0.23,0.12,-0.25,0.33
26,EPS Diluted,-0.77,-1.09,-0.47,-0.34,-0.62,0.11,- -,-0.05,-0.05,-0.25,-0.25,-0.27,-0.21,-0.07,0.02,0.08,0.37,0.44,0.58,0.19,0.20,0.23,0.12,-0.25,0.33
27,Weighted Average Shares Outstanding,6466168,7876509,9336679,10439887,8887631,7897988,- -,20900000,75300000,78500000,98500000,100200000,103400000,111981000,114132000,122138000,126651000,131770000,135841000,134401000,134614000,146645000,151823000,148682000,148682000
28,Weighted Average Shares Outstanding Diluted,6466168,7876509,9336679,11167873,8957109,8634202,- -,20900000,75300000,78500000,98500000,100200000,103400000,111981000,135539000,137968000,139797000,138551000,137934000,135539000,136003000,158415000,166977000,148682000,148682000
29,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880631/000119312512138743/0001193125-12-138743-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312513109598/0001193125-13-109598-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312514079689/0001193125-14-079689-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312515073255/0001193125-15-073255-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312516485095/0001193125-16-485095-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312517065534/0001193125-17-065534-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312518066712/0001193125-18-066712-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312519060708/0001193125-19-060708-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312520055331/0001193125-20-055331-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312521049000/0001193125-21-049000-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312522053552/0001193125-22-053552-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3533622,4752587,6437542,4694476,1291444,460798,- -,7800000,300000,57700000,15100000,13300000,11500000,14200000,25630000,41246000,104316000,165284000,210070000,92722000,54193000,77784000,74972000,73425000,140709000
32,Short-Term Investments,- -,877231,- -,- -,- -,- -,- -,- -,9200000,- -,13000000,4600000,2600000,1300000,- -,- -,- -,- -,- -,62901000,67294000,8873000,17319000,8112000,127166000
33,Cash and Short-Term Investments,3533622,5629818,6437542,4694476,1291444,460798,- -,7800000,9500000,57700000,28100000,17900000,14100000,15500000,25630000,41246000,104316000,165284000,210070000,155623000,121487000,86657000,92291000,81537000,267875000
34,Net Receivables,2993299,2356126,3019710,1754200,254310,- -,- -,- -,- -,500000,2000000,1500000,2900000,4800000,5625000,9348000,18100000,18176000,27576000,17668000,28287000,27015000,26838000,29455000,31864000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,224801,795024,914153,1086298,154552,62218,- -,100000,100000,600000,1400000,900000,900000,700000,1601000,1273000,1320000,5580000,2899000,3901000,4557000,4604000,3931000,30869000,4228000
37,Total Current Assets,6751722,8780968,10371405,7534974,1700306,523016,- -,7900000,9600000,58800000,31500000,20300000,17900000,21000000,32856000,51867000,123736000,189040000,240545000,177192000,154331000,118276000,123060000,141861000,303967000
38,PP&E,556070,586007,1653659,1479105,153969,90961,- -,- -,- -,100000,900000,1300000,1000000,800000,597000,480000,6252000,10356000,11974000,11748000,10693000,9122000,26288000,7579000,1077000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1676000,1676000,1799000,1799000,85856000,85856000,85856000,85856000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9953000,12085000,603209000,603294000,601247000,601247000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1676000,1676000,11752000,13884000,689065000,689150000,687103000,687103000
42,Investments,- -,- -,- -,- -,- -,285942,- -,- -,3000000,- -,19400000,13200000,6700000,7300000,9056000,11036000,11748000,13990000,23689000,38502000,55486000,48260000,28055000,8563000,14546000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5618000,14071000,9826000,1050000,7042000,7398000,- -,8881000
44,Other Non-Current Assets,4849175,1420268,4232903,3692181,1213909,299292,- -,100000,- -,100000,500000,100000,100000,- -,58000,42000,55000,71000,738000,747000,19541000,65753000,61256000,-8563000,361000
45,Total Non-Current Assets,5405245,2006275,5886562,5171286,1367878,676195,- -,100000,3000000,200000,20800000,14600000,7800000,8100000,9711000,11558000,18055000,31711000,52148000,72575000,100654000,819242000,812147000,694682000,711968000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12156967,10787243,16257967,12706260,3068184,1199211,- -,8000000,12600000,59000000,52300000,34900000,25700000,29100000,42567000,63425000,141791000,220751000,292693000,249767000,254985000,937518000,935207000,836543000,1015935000
48,Accounts Payable,2093987,2191765,3024395,2534027,1140953,351647,- -,200000,700000,5200000,- -,1200000,1600000,2300000,2360000,3272000,4384000,5115000,8063000,5806000,8246000,8377000,8930000,10207000,29958000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3682000,3135000,209000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,- -,- -,3372000,916000,3979000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1146752,657984,2183880,2449867,1409400,473560,- -,600000,500000,400000,12400000,11000000,7600000,9300000,14203000,9080000,24672000,24316000,41031000,37721000,49102000,54424000,66429000,60657000,53500000
53,Total Current Liabilities,3240739,2849749,5208275,4983894,2550353,825207,- -,800000,1200000,5600000,12400000,12200000,9200000,11600000,16563000,12352000,29056000,29431000,49094000,43527000,57348000,62801000,79041000,73999000,83667000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194592000,175956000,- -,318952000
55,Deferred Revenue,2661129,2246422,2448591,2607407,1667549,624964,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,938164,532653,- -,- -,- -,100000,100000,- -,600000,600000,500000,300000,151000,13000,3706000,7035000,9097000,4896000,4686000,321790000,342798000,27016000,343892000
58,Total Non-Current Liabilities,2661129,2246422,3386755,3140060,1667549,624964,- -,100000,- -,- -,600000,600000,500000,300000,151000,13000,3706000,7035000,9097000,4896000,4686000,516382000,518754000,27016000,662844000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450875000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22739000,20569000,537000
61,Total Liabilities,5901868,5096171,8595030,8123954,4217902,1450171,- -,900000,1200000,5600000,13000000,12800000,9700000,11900000,16714000,12365000,32762000,36466000,58191000,48423000,62034000,579183000,597795000,497858000,746511000
62,Preferred Stock,- -,- -,- -,- -,- -,79,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,71461,84909,103539,89729,79156,78946,- -,700000,800000,1000000,- -,1100000,1100000,1200000,1167000,1265000,1322000,1350000,1384000,1365000,1370000,1532000,1553000,1487000,1451000
64,Retained Earnings,-13330725,-21922595,-26332285,-29926783,-35417739,-34511406,- -,-36200000,-40400000,-59700000,- -,-113400000,-134600000,-142200000,-139061000,-128031000,-76494000,-26228000,-24716000,-24716000,-24716000,-7319000,-17744000,- -,-22445000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-800000,-14000000,- -,78600000,-500000,-800000,-1100000,-1369000,-1676000,-151000,-53000,-126000,-44000,291000,467000,945000,1102000,682000
66,Other Total Stockholders Equity,19514363,27528758,33891683,34419360,34188865,34181421,- -,43400000,65000000,112100000,- -,134900000,150300000,159300000,165116000,179502000,184352000,209216000,257960000,224739000,216006000,363655000,352658000,263676000,- -
67,Total Stockholders Equity,6255099,5691072,7662937,4582306,-1149718,-250960,- -,7100000,11400000,53400000,39300000,22100000,16000000,17200000,25853000,51060000,109029000,184285000,234502000,201344000,192951000,358335000,337412000,266265000,269424000
68,Total Liabilities And Stockholders Equity,12156967,10787243,16257967,12706260,3068184,1199211,- -,8000000,12600000,59000000,52300000,34900000,25700000,29100000,42567000,63425000,141791000,220751000,292693000,249767000,254985000,937518000,935207000,764123000,1015935000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72420000,- -
70,Total Liabilities & Equity,12156967,10787243,16257967,12706260,3068184,1199211,- -,8000000,12600000,59000000,52300000,34900000,25700000,29100000,42567000,63425000,141791000,220751000,292693000,249767000,254985000,937518000,935207000,836543000,1015935000
71,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880631/000119312512138743/0001193125-12-138743-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312513109598/0001193125-13-109598-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312514079689/0001193125-14-079689-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312515073255/0001193125-15-073255-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312516485095/0001193125-16-485095-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312517065534/0001193125-17-065534-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312518066712/0001193125-18-066712-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312519060708/0001193125-19-060708-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312520055331/0001193125-20-055331-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312521049000/0001193125-21-049000-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312522053552/0001193125-22-053552-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4960335,-8591870,-4192703,-3405789,-5333356,1063933,- -,-1000000,-4100000,-19300000,-25100000,-27000000,-21200000,-7549000,3092000,11030000,51537000,61051000,80052000,26155000,27199000,36633000,-10425000,-35655000,49797000
74,Depreciation and Amortization,343305,321280,523715,557802,468159,103545,- -,- -,- -,- -,100000,700000,600000,314000,267000,307000,439000,821000,1006000,1305000,1395000,1301000,4219000,3182000,2688000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12403000,53018000,12900000,8838000,-6083000,-349000,-2192000,316000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8755000,7141000,7437000,6459000,8137000,10900000,14892000,14717000,13255000,11590000,11706000,9998000
77,Change in Working Capital,1743172,2420236,-768089,-2612050,-3401127,547856,- -,7402191,1300000,44800000,-34100000,-11000000,600000,700000,6893000,23222000,55165000,64929000,31842000,-57786000,-36682000,-41508000,-11456000,23843000,51346000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-1500000,500000,-1400000,-1941000,-800000,-3723000,-5529000,-369000,-9321000,9778000,-3532000,3804000,-19000,-193000,-3506000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,200000,-500000,-4500000,- -,- -,-400000,627000,110000,915000,874000,-381000,2950000,-8034000,2354000,-4251000,677000,1328000,-1097000
81,Other Working Capital,3510983,5931219,5163130,2551080,-850047,-302191,- -,7100000,8400000,53200000,19100000,8100000,8700000,9400000,16293000,39515000,94680000,159609000,191451000,133665000,96983000,55475000,44019000,67862000,57417000
82,Other Non-Cash Items,-1869426,-2251180,-2704169,-2876255,4537909,-2766782,- -,-7202191,200000,-35500000,49400000,21700000,5000000,-92000,-3701000,-30762000,-43476000,-64711000,-21707000,57445000,33041000,33870000,53253000,28511000,-38827000
83,Cash Provided by Operating Activities,-4743284,-8101534,-7141246,-8336292,-3728415,-1051448,- -,-800000,-2600000,-10000000,-9700000,-15600000,-15000000,2128000,13692000,11234000,70124000,82630000,155111000,54911000,48508000,37468000,46832000,29395000,75318000
84,CAPEX,-178372,-353713,-1568403,-393850,-561001,-40543,- -,- -,- -,-200000,-800000,-700000,-300000,-93000,-108000,-190000,-6211000,-4894000,-2616000,-1070000,-2427000,-71000,-47000,-472000,-293000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1349000,- -,-11818000,- -,-239313000,- -,12366000,2360000
86,Purchases of Investments,- -,- -,-753076,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6935000,-8114000,-10004000,-3597000,-3225000,-14467000,-99121000,-111135000,- -,-8112000,-582000,-121276000
87,Sales/Maturities of Investments,- -,223556,5841196,- -,- -,151980,- -,- -,- -,- -,- -,- -,- -,7656000,7542000,7836000,2781000,939000,4764000,22744000,95289000,65605000,3244000,- -,19577000
88,Other Investing Activites,910067,2052503,233081,6585819,2575434,70871,- -,- -,-12200000,12300000,-32100000,14400000,8500000,- -,- -,- -,- -,- -,- -,- -,-20880000,-8000000,-2090000,17070000,- -
89,Cash Used for Investing Activites,731695,1922346,3752798,6191969,2014433,182308,- -,- -,-12200000,12100000,-32900000,13700000,8200000,628000,-680000,-2358000,-7027000,-5831000,-12319000,-89265000,-37021000,-181779000,-7005000,28382000,-99632000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21000000,-179000000,- -
91,Common Stock Issued,6000760,5398153,5290390,111616,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4329000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-160302,- -,- -,- -,8600000,7300000,55300000,- -,- -,5000000,- -,-2153000,-2261000,-1613000,-6531000,-24116000,-39379000,-7891000,-2885000,-2341000,- -,-34506000
93,Dividends Paid,- -,- -,-216987,-188709,-157600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10785000,-78540000,-43660000,-43777000,-19236000,-20385000,-20113000,-19459000
94,Other Financing Activites,- -,2000000,- -,638652,-638653,- -,- -,- -,- -,- -,- -,- -,- -,1000,538000,4672000,1586000,1544000,4520000,195000,532000,191320000,160000,138934000,146518000
95,Cash Used/Provided by Financing Activities,6000760,7398153,5073403,401257,-796253,- -,- -,8600000,7300000,55300000,- -,- -,5000000,1000,-1615000,6740000,-27000,-15772000,-98136000,-82844000,-51136000,169199000,-43566000,-60179000,92553000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59000,130000,-150000,1120000,-1297000,927000,855000,-955000
97,Net Change In Cash,1989171,1218965,1684955,-1743066,-3403032,-830646,- -,7700000,-7500000,57400000,-42600000,-1900000,-1800000,2757000,11397000,15616000,63070000,60968000,44786000,-117348000,-38529000,23591000,-2812000,-1547000,67284000
98,Cash at the End of Period,3533622,4752587,6437542,4694476,1291444,460798,- -,8200000,300000,57700000,15100000,13200000,11500000,14233000,25630000,41246000,104316000,165284000,210070000,92722000,54193000,77784000,74972000,73425000,140709000
99,Cash at the Beginning of Period,1544451,3533622,4752587,6437542,4694476,1291444,- -,500000,7800000,300000,57700000,15100000,13300000,11476000,14233000,25630000,41246000,104316000,165284000,210070000,92722000,54193000,77784000,74972000,73425000
100,Free Cash Flow,-4921656,-8455247,-8709649,-8730142,-4289416,-1091991,- -,-800000,-2600000,-10200000,-10500000,-16300000,-15300000,2035000,13584000,11044000,63913000,77736000,152495000,53841000,46081000,37397000,46785000,28923000,75025000
101,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880631/000119312512138743/0001193125-12-138743-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312513109598/0001193125-13-109598-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312514079689/0001193125-14-079689-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312515073255/0001193125-15-073255-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312516485095/0001193125-16-485095-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312517065534/0001193125-17-065534-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312518066712/0001193125-18-066712-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312519060708/0001193125-19-060708-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312520055331/0001193125-20-055331-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312521049000/0001193125-21-049000-index.htm,https://www.sec.gov/Archives/edgar/data/880631/000119312522053552/0001193125-22-053552-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
