,https://roic.ai/company/AIV,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,37000000,71000000,102000000,157000000,80000000,100000000,98000000,105000000,162000000,230000000,210000000,300000000,81000000,111000000,91000000,84000000,56000000,28971000,- -,61244000,76786000,36858000,142902000,289582000,233374000
34,Net Receivables,29000000,- -,- -,- -,116000000,133000000,124000000,114000000,101000000,107000000,106000000,123000000,84000000,58000000,42000000,34000000,- -,- -,- -,13042000,11417000,55630000,20949000,44038000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27106000,- -,- -,17959000,42393000,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,8025662000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68930000,60891000,73794000,- -,87858000,82941000,4336000,114602000,19646000,11208000
37,Total Current Assets,- -,- -,- -,- -,8221662000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186930000,116891000,129871000,- -,162144000,189103000,139217000,278453000,353266000,244582000
38,PP&E,1510000000,2601000000,4096000000,6099000000,6796000000,8924000000,8753000000,8785000000,8752000000,9081000000,9349000000,8102000000,6962000000,6533000000,6029000000,5513000000,5391000000,5472779000,- -,5755408000,5630268000,5723475000,6106968000,98280000,429768000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37800000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,4341000,- -,23448000,20949000,23933000,19105000,7264000,- -
41,Intangible Assets,- -,- -,- -,- -,101338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,4341000,- -,23448000,20949000,23933000,56905000,7264000,- -
42,Investments,319000000,1235000000,936000000,784000000,602000000,368000000,238000000,188000000,168000000,39000000,117000000,109000000,105000000,59000000,48000000,- -,75000000,77089000,- -,76063000,82794000,96237000,292999000,332691000,337797000
43,Tax Assets,- -,- -,- -,- -,36000000,37000000,26000000,20000000,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,37000000,56000000,85000000,127000000,-7434000000,363000000,409000000,395000000,417000000,421000000,438000000,413000000,349000000,308000000,305000000,701070000,495109000,412948000,- -,215755000,155926000,207142000,93414000,1048991000,1421954000
45,Total Non-Current Assets,- -,- -,- -,- -,101338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6214070000,5962109000,5967157000,- -,6070674000,5889937000,6050787000,6550286000,1487226000,2189519000
46,Other Assets,2101000000,4268000000,5685000000,7700000000,- -,10317000000,10113000000,10072000000,10017000000,10290000000,10607000000,9403000000,7906000000,7379000000,6872000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2101000000,4268000000,5685000000,7700000000,8323000000,10317000000,10113000000,10072000000,10017000000,10290000000,10607000000,9403000000,7906000000,7379000000,6872000000,6401000000,6079000000,6097028000,- -,6232818000,6079040000,6190004000,6828739000,1840492000,2434101000
48,Accounts Payable,- -,- -,- -,- -,11000000,12000000,18000000,35000000,34000000,55000000,57000000,64000000,30000000,27000000,33000000,31000000,43000000,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,53000000,418000000,209000000,329000000,214000000,291000000,81000000,69000000,217000000,140000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249501000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,36348000,36680000,26065000,- -,- -,- -,- -,- -,- -,- -,- -,3536000,2871000,2286000,- -,2286000,2476000,2618000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,9075000,15445000,26024000,47203000,9835000,165684000,14426000,28326000,182485000,58736000,51933000,128577000,107775000,81882000,- -,49366000,12487000,- -,- -,- -,- -
52,Other Current Liabilities,247000000,556000000,688000000,805000000,803925000,876555000,1010976000,992797000,973165000,856316000,1253574000,1115674000,734515000,722264000,707067000,638423000,573225000,652272000,- -,504917000,314498000,414920000,542500000,62988000,97400000
53,Total Current Liabilities,300000000,974000000,897000000,1134000000,1038000000,1195000000,1136000000,1144000000,1234000000,1217000000,1325000000,1208000000,947000000,808000000,792000000,798000000,724000000,734154000,- -,554283000,576486000,414920000,542500000,62988000,97400000
54,Long-Term Debt,755000000,1392000000,2525000000,4064000000,4568000000,5958000000,6117000000,5920000000,6067000000,6733000000,7532000000,6777000000,5690000000,5505000000,5172000000,4688000000,4388000000,4135139000,- -,3884632000,3839410000,4075665000,4505590000,982094000,1615927000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69041000,87359000,38231000,- -,5076000,32227000,67060000,63595000,131560000,124747000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69041000,-87359000,-38231000,- -,-5076000,-32227000,-67060000,-63595000,104759000,33794000
58,Total Non-Current Liabilities,755000000,1392000000,2525000000,4064000000,4568000000,5958000000,6117000000,5920000000,6067000000,6733000000,7532000000,6777000000,5690000000,5505000000,5172000000,4688000000,4388000000,4135139000,- -,3884632000,3839410000,4075665000,4505590000,1218413000,1774468000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100496000,435093000
61,Total Liabilities,1055000000,2366000000,3422000000,5198000000,5606000000,7153000000,7253000000,7064000000,7301000000,7950000000,8857000000,7985000000,6637000000,6313000000,5964000000,5486000000,5112000000,4869293000,- -,4438915000,4415896000,4490585000,5048090000,1281401000,1871868000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1464000,- -,1569000,1572000,1491000,1489000,1490000,1498000
64,Retained Earnings,-31000000,-88000000,-213000000,-365000000,-572000000,-777000000,-998000000,-1048000000,-1351000000,-1575000000,-2019000000,-2332000000,-2492000000,-2681000000,-2841000000,-2863000000,-2799000000,-2649542000,- -,-2385399000,-2367073000,-1947507000,-1722402000,-16839000,-22775000
65,Other Comprehensive Income/Loss,-153000000,-229000000,-416000000,-913000000,-1620000000,-14000000,-22000000,-40000000,-48000000,-2901000000,-3035000000,-2000000,-1000000,-2000000,-7000000,-4000000,-5000000,-6000000,- -,1000000,4000000,5000000,4000000,- -,- -
66,Other Total Stockholders Equity,1229000000,2220000000,2891000000,3779000000,4907000000,3953000000,3880000000,4095000000,4114000000,6815000000,6803000000,3751000000,3762000000,3748000000,3755000000,3781000000,3770000000,3881813000,- -,4176733000,4024645000,3640435000,2230177000,515127000,- -
67,Total Stockholders Equity,1045000000,1903000000,2263000000,2502000000,2716000000,3163000000,2861000000,3008000000,2716000000,2340000000,1750000000,1418000000,1270000000,1066000000,908000000,915000000,967000000,1227735000,- -,1793903000,1663144000,1699419000,513264000,499778000,500565000
68,Total Liabilities And Stockholders Equity,2100000000,4269000000,5685000000,7700000000,8322000000,10316000000,10114000000,10072000000,10017000000,10290000000,10607000000,9403000000,7907000000,7379000000,6872000000,6401000000,6079000000,6097028000,- -,6232818000,6079040000,6190004000,5561354000,1781179000,2372433000
69,Minority Interest,1000000,-1000000,- -,- -,1000000,1000000,-1000000,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1267385000,59313000,61668000
70,Total Liabilities & Equity,2101000000,4268000000,5685000000,7700000000,8323000000,10317000000,10113000000,10072000000,10017000000,10290000000,10607000000,9403000000,7906000000,7379000000,6872000000,6401000000,6079000000,6097028000,- -,6232818000,6079040000,6190004000,6828739000,1840492000,2434101000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922864/000095013402002348/d94548e10-k405.htm,https://www.sec.gov/Archives/edgar/data/922864/000104746903008104/a2104430z10-k.htm,https://www.sec.gov/Archives/edgar/data/922864/000104746904007529/a2125839z10-k.htm,https://www.sec.gov/Archives/edgar/data/922864/000103570405000147/d23153e10vk.htm,https://www.sec.gov/Archives/edgar/data/922864/000103570406000156/d33637e10vk.htm,https://www.sec.gov/Archives/edgar/data/922864/000103570407000186/0001035704-07-000186-index.html,https://www.sec.gov/Archives/edgar/data/922864/000095013408003855/d53485e10vk.htm,https://www.sec.gov/Archives/edgar/data/922864/000095013409004049/0000950134-09-004049-index.html,https://www.sec.gov/Archives/edgar/data/922864/000095012310018394/0000950123-10-018394-index.html,https://www.sec.gov/Archives/edgar/data/922864/000095012311018075/d79886e10vk.htm,https://www.sec.gov/Archives/edgar/data/922864/000119312512074623/0001193125-12-074623-index.html,https://www.sec.gov/Archives/edgar/data/922864/000092286413000013/a201210-k.htm,https://www.sec.gov/Archives/edgar/data/922864/000092286414000008/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/922864/000092286415000011/a201410-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/922864/000092286417000006/0000922864-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/922864/000092286418000006/0000922864-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/922864/000092286419000007/0000922864-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/922864/000156459020006053/0001564590-20-006053-index.html,https://www.sec.gov/Archives/edgar/data/922864/000156459021012671/0001564590-21-012671-index.htm,https://www.sec.gov/Archives/edgar/data/922864/000156459022008111/0001564590-22-008111-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,28600000,64500000,81000000,99200000,107300000,169000000,158900000,263500000,71000000,176800000,29900000,415500000,-64300000,-71700000,-57100000,132500000,207300000,20613000,- -,430410000,315774000,3243000,60308000,-5041000,-5910000
74,Depreciation and Amortization,43500000,101600000,151200000,330000000,364400000,292600000,335100000,368800000,412100000,470600000,487800000,458600000,444400000,426100000,378000000,366800000,291900000,282608000,- -,333066000,366184000,49375000,64030000,77965000,84712000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000,-3301000,-10149000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,6506000,9975000,15874000,14921000,13833000,6666000,7331000,5381000,4871000,5645000,5781000,- -,7629000,7877000,- -,- -,- -,5271000
77,Change in Working Capital,-6000000,-674000000,77000000,-237000000,8317662000,-8378662000,59000000,-8000000,-90000000,17000000,-108000000,117000000,261000000,139000000,16000000,180930000,3961000,2826000,- -,212144000,4756000,732000,11656000,554325000,-253234000
78,Accounts Receivable,-25000000,- -,- -,- -,-114312000,-109475000,-71969000,-2067000,11450000,-3178000,7453000,4848000,27067000,25561000,388000,8968000,4592000,9039000,- -,-20680000,-13375000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-3795000,-57250000,28057000,14926000,-31721000,-74238000,-69806000,-26003000,-67138000,-28541000,-29895000,- -,-5555000,-15794000,305000,- -,- -,- -
81,Other Working Capital,-300000000,-974000000,-897000000,-1134000000,7183662000,-1195000000,-1136000000,-1144000000,-1234000000,-1217000000,-1325000000,-1208000000,-947000000,-808000000,-792000000,-611070000,-607109000,-604283000,- -,-392139000,-387383000,- -,-264047000,290278000,37044000
82,Other Non-Cash Items,6900000,656300000,-55900000,208200000,-8294862000,8414362000,-136600000,-265306000,-47575000,-147974000,40879000,-583433000,-413966000,-243231000,-83481000,-368301000,-183206000,9596000,- -,-606748000,-302519000,-125000,-74764000,-569254000,181747000
83,Cash Provided by Operating Activities,73000000,148400000,253300000,400400000,494500000,497300000,416400000,365500000,355500000,532300000,465500000,421500000,233800000,257500000,258800000,316800000,325600000,321424000,- -,376501000,392072000,53486000,57929000,47846000,12586000
84,CAPEX,-403000000,-232800000,-217400000,-334300000,-374400000,-841300000,-344600000,-581900000,-687900000,-666000000,-891200000,-777900000,-300300000,-178900000,-265300000,-359900000,-401600000,-659844000,- -,-644914000,-387375000,-37844000,-39334000,-23889000,-177809000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,4000000,23000000,- -,94000000,25000000,20000000,17000000,31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64976000,-89716000,-51291000,-284041000,- -,- -,- -,- -,-277627000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-314700000,-95500000,-63700000,-212700000,242400000,54900000,656500000,918800000,633900000,876000000,619600000,2028800000,905600000,245300000,353776000,530316000,518091000,957563000,- -,545767000,400394000,-37844000,-135229000,-129325000,-271410000
89,Cash Used for Investing Activites,-717700000,-328300000,-281100000,-547000000,-132000000,-786400000,311900000,336900000,-50000000,233000000,-271600000,1344900000,630300000,86400000,40500000,111700000,65200000,13678000,- -,-99147000,13019000,-37844000,-412856000,-129325000,-271410000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1083690000,-447792000,-472276000,-513599000,- -,-371947000,-659167000,-118009000,-57875000,-84193000,-24383000
91,Common Stock Issued,- -,- -,- -,- -,205076000,423013000,2738000,3164000,2454000,107603000,53719000,481000,- -,14350000,71942000,594379000,993000,768000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,644100000,342800000,285200000,248800000,175000000,423300000,5600000,59500000,-48300000,-191600000,-355700000,-526700000,-4200000,4300000,57400000,52200000,1000000,114803000,- -,-34799000,- -,- -,- -,- -,- -
93,Dividends Paid,-45500000,-121200000,-251500000,-247500000,-314800000,-373500000,-372700000,-309900000,-313400000,-306400000,-297900000,-267500000,-147600000,-100200000,-107300000,-141000000,-142900000,-159075000,- -,-216293000,-233971000,- -,- -,- -,- -
94,Other Financing Activites,69900000,-7500000,24400000,200800000,-504876000,-164213000,-362938000,-464264000,110046000,-306803000,386581000,-883381000,-930700000,-232250000,742048000,-492887000,193683000,195221000,- -,339090000,499438000,102086000,418117000,454287000,229054000
95,Cash Used/Provided by Financing Activities,668500000,214100000,58100000,202100000,-439600000,308600000,-727300000,-711500000,-249200000,-697200000,-213300000,-1677100000,-1082500000,-313800000,-319600000,-435100000,-419500000,-361882000,- -,-283949000,-393700000,-15923000,360242000,370094000,204671000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,23900000,34200000,30300000,55500000,-77100000,19600000,1000000,-9100000,56400000,68100000,-19400000,89200000,-218400000,30100000,-20300000,-6700000,-28700000,-26780000,- -,-6595000,11391000,-281000,5315000,288615000,-54153000
98,Cash at the End of Period,36900000,71200000,101300000,157500000,79900000,99600000,101000000,88900000,161400000,230100000,210600000,299200000,81600000,111100000,90700000,84300000,55300000,29220000,- -,44194000,72635000,4805000,10120000,298735000,244582000
99,Cash at the Beginning of Period,13000000,37000000,71000000,102000000,157000000,80000000,100000000,98000000,105000000,162000000,230000000,210000000,300000000,81000000,111000000,91000000,84000000,56000000,- -,50789000,61244000,5086000,4805000,10120000,298735000
100,Free Cash Flow,-330000000,-84400000,35900000,66100000,120100000,-344000000,71800000,-216400000,-332400000,-133700000,-425700000,-356400000,-66500000,78600000,-6500000,-43100000,-76000000,-338420000,- -,-268413000,4697000,15642000,18595000,23957000,-165223000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922864/000095013402002348/d94548e10-k405.htm,https://www.sec.gov/Archives/edgar/data/922864/000104746903008104/a2104430z10-k.htm,https://www.sec.gov/Archives/edgar/data/922864/000104746904007529/a2125839z10-k.htm,https://www.sec.gov/Archives/edgar/data/922864/000103570405000147/d23153e10vk.htm,https://www.sec.gov/Archives/edgar/data/922864/000103570406000156/d33637e10vk.htm,https://www.sec.gov/Archives/edgar/data/922864/000103570407000186/0001035704-07-000186-index.html,https://www.sec.gov/Archives/edgar/data/922864/000095013408003855/d53485e10vk.htm,https://www.sec.gov/Archives/edgar/data/922864/000095013409004049/0000950134-09-004049-index.html,https://www.sec.gov/Archives/edgar/data/922864/000095012310018394/0000950123-10-018394-index.html,https://www.sec.gov/Archives/edgar/data/922864/000095012311018075/d79886e10vk.htm,https://www.sec.gov/Archives/edgar/data/922864/000119312512074623/0001193125-12-074623-index.html,https://www.sec.gov/Archives/edgar/data/922864/000092286413000013/a201210-k.htm,https://www.sec.gov/Archives/edgar/data/922864/000092286414000008/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/922864/000092286415000011/a201410-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/922864/000092286417000006/0000922864-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/922864/000092286418000006/0000922864-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/922864/000092286419000007/0000922864-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/922864/000156459020006053/0001564590-20-006053-index.html,https://www.sec.gov/Archives/edgar/data/922864/000156459021012671/0001564590-21-012671-index.htm,https://www.sec.gov/Archives/edgar/data/922864/000156459022008111/0001564590-22-008111-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
