,https://roic.ai/company/TPX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,17349000,14501000,11948000,18800000,110800000,91900000,96100000,85200000,108000000,92300000,85700000,77000000,66300000
14,Depreciation and Amortization,- -,- -,- -,22023000,32007000,30035000,26696000,41045000,41857000,40905000,32361000,34295000,36300000,74600000,76300000,71400000,73300000,81300000,87100000,89700000,98000000,113200000
15,EBITDA,12578000,11857000,16694000,83225000,154194000,196507000,201461000,253919000,149279000,186291000,277727000,374634000,284300000,313100000,342000000,366400000,447400000,388400000,329500000,439600000,627000000,1002300000
16,EBITDA ratio,0.0777,0.0535,0.0560,0.1737,0.2251,0.2349,0.2132,0.2294,0.1609,0.2241,0.2512,0.2642,0.2027,0.1271,0.1144,0.1163,0.1431,0.1410,0.1219,0.1415,0.1706,0.2033
17,Operating Income,22438000,30371000,40575000,97074000,151035000,190854000,209305000,244114000,133864000,144945000,245902000,340531000,248300000,243800000,276300000,309100000,415500000,288400000,256300000,346700000,532100000,912300000
18,Operating Income ratio,0.1385,0.1371,0.1362,0.2026,0.2205,0.2281,0.2215,0.2206,0.1443,0.1744,0.2225,0.2402,0.1770,0.0989,0.0924,0.0981,0.1329,0.1047,0.0948,0.1116,0.1447,0.1850
19,Total Other Income Expenses (Gains),-3172000,-6871000,-10805000,-35872000,-28848000,-24382000,-34540000,-31240000,-26442000,-16908000,-15037000,-12140000,-19100000,-115800000,-101400000,-109000000,-132200000,-100000000,-91300000,-81200000,-80100000,-88300000
20,Income Before Tax,19266000,23500000,29770000,61202000,122187000,166472000,174765000,212874000,107422000,128037000,230865000,328391000,229200000,128000000,174900000,200100000,283300000,188400000,165000000,265500000,452000000,824000000
21,Income Before Tax Ratio,0.1189,0.1061,0.0999,0.1277,0.1784,0.1990,0.1849,0.1923,0.1158,0.1540,0.2088,0.2316,0.1634,0.0519,0.0585,0.0635,0.0906,0.0684,0.0610,0.0855,0.1230,0.1671
22,Income Tax expense (Gain),- -,- -,- -,23627000,47180000,67143000,62443000,71415000,48554000,43044000,73720000,108783000,122400000,49100000,64900000,125400000,86800000,47700000,49600000,74700000,-102000000,198300000
23,Net Income,12578000,11857000,16694000,37575000,75007000,99329000,112322000,141459000,58868000,84993000,157145000,219608000,106800000,78600000,108900000,73500000,202100000,151400000,100500000,189500000,554000000,624500000
24,Net Income ratio,0.0777,0.0535,0.0560,0.0784,0.1095,0.1187,0.1189,0.1278,0.0634,0.1023,0.1422,0.1549,0.0761,0.0319,0.0364,0.0233,0.0646,0.0550,0.0372,0.0610,0.1507,0.1267
25,EPS,0.40,0.38,0.53,0.83,0.19,0.25,0.33,0.44,0.20,0.28,0.56,0.82,0.43,0.31,0.45,0.30,0.86,0.71,0.46,0.87,1.68,3.00
26,EPS Diluted,0.03,0.03,-0.17,0.10,0.18,0.24,0.32,0.43,0.20,0.28,0.54,0.80,0.42,0.30,0.44,0.29,0.84,0.70,0.46,0.85,1.64,2.94
27,Weighted Average Shares Outstanding,31298780,31298780,31298780,31298780,389646753,392048000,339688000,319324000,298948000,299736000,281392000,268280000,246000000,241200000,243200000,246800000,236000000,216000000,217600000,218000000,207900000,207900000
28,Weighted Average Shares Outstanding Diluted,371285714,371285714,371285714,385384615,410997260,408576000,350120000,325024000,299636000,304192000,291168000,276596000,251600000,246400000,248400000,250400000,239200000,218800000,220400000,221600000,212300000,212300000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1206264/000119312505044732/0001193125-05-044732-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000119312506052513/0001193125-06-052513-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000119312507042805/0001193125-07-042805-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1206264/000120626411000004/0001206264-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626412000006/0001206264-12-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1206264/000120626414000012/0001206264-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626415000009/0001206264-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626416000106/0001206264-16-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626417000021/0001206264-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626418000033/0001206264-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626419000047/0001206264-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626420000079/0001206264-20-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626421000053/0001206264-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626422000057/0001206264-22-000057-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,19034000,14230000,28368000,17855000,15788000,33315000,15385000,14042000,53623000,111367000,179300000,81000000,62500000,153900000,65700000,41900000,45800000,64900000,65000000,300700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,19034000,14230000,28368000,17855000,15788000,33315000,15385000,14042000,53623000,111367000,179300000,81000000,62500000,153900000,65700000,41900000,45800000,64900000,65000000,300700000
34,Net Receivables,- -,- -,- -,60309000,93804000,111745000,142647000,163730000,99811000,105576000,115630000,142412000,504800000,349200000,385800000,379400000,345100000,317700000,321500000,372000000,383000000,419500000
35,Inventory,- -,- -,- -,58276000,66162000,81064000,61736000,106533000,60497000,57686000,69856000,91212000,93000000,199200000,217200000,199200000,196800000,183000000,222300000,260500000,312000000,463900000
36,Other Current Assets,- -,- -,- -,12629000,25512000,17604000,17385000,23057000,21121000,31679000,32371000,34479000,44000000,98100000,100900000,76600000,63900000,64800000,215800000,202800000,208000000,91500000
37,Total Current Assets,- -,- -,- -,145444000,213846000,228268000,237556000,326635000,196814000,208983000,271480000,379470000,821100000,727500000,766400000,809100000,671500000,607400000,805400000,900200000,968000000,1275600000
38,PP&E,- -,- -,- -,114741000,138457000,193224000,215428000,208370000,185843000,172497000,159807000,160502000,186000000,411600000,355600000,361700000,422200000,435100000,420800000,681200000,507000000,1064100000
39,Goodwill,- -,- -,- -,- -,- -,- -,198207000,198286000,192569000,193391000,212468000,213273000,216100000,759600000,736500000,709400000,722500000,733100000,723000000,732300000,766000000,1107400000
40,Intangible Assets,- -,- -,- -,288546000,276932000,273870000,70826000,68755000,66823000,64717000,68745000,66491000,63100000,750100000,727100000,695400000,678700000,667400000,649300000,641400000,630000000,750900000
41,Intangible Assets,- -,- -,- -,288546000,276932000,273870000,269033000,267041000,259392000,258108000,281213000,279764000,279200000,1509700000,1463600000,1404800000,1401200000,1400500000,1372300000,1373700000,1396000000,1858300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,10900000,8600000,12200000,22500000,23600000,22600000,14100000,- -,13600000
44,Other Non-Current Assets,- -,- -,- -,71618000,10388000,6949000,3649000,4386000,4482000,3791000,3503000,8904000,16300000,70200000,68400000,67700000,185200000,227400000,94300000,92600000,- -,111800000
45,Total Non-Current Assets,- -,- -,- -,474905000,425777000,474043000,488110000,479797000,449717000,434396000,444523000,449170000,491900000,2002400000,1896200000,1846400000,2031100000,2086600000,1910000000,2161600000,1903000000,3047800000
46,Other Assets,- -,- -,648234000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,648234000,620349000,639623000,702311000,725666000,806432000,646531000,643379000,716003000,828640000,1313000000,2729900000,2662600000,2655500000,2702600000,2694000000,2715400000,3061800000,2871000000,4323400000
48,Accounts Payable,- -,- -,- -,25886000,34771000,33639000,48297000,56206000,41355000,47761000,48288000,69936000,85800000,191200000,226400000,266300000,219300000,241200000,253000000,251700000,324000000,432000000
49,Short-Term Debt,- -,- -,- -,10496000,8758000,30770000,19497000,288000,- -,- -,- -,- -,- -,39600000,66400000,181500000,70300000,72400000,47100000,88200000,104900000,154700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7312000,12477000,20506000,22500000,3800000,12000000,11200000,5800000,29100000,146500000,147000000,172100000,24900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,- -
52,Other Current Liabilities,- -,- -,- -,54078000,55600000,56570000,63973000,70140000,73099000,88764000,97946000,113243000,126300000,210700000,245500000,265200000,255900000,263300000,368900000,433400000,532100000,466700000
53,Total Current Liabilities,- -,- -,- -,90460000,99129000,120979000,131767000,126634000,114454000,136525000,146234000,183179000,212100000,441500000,538300000,713000000,545500000,576900000,669000000,773300000,974000000,1053400000
54,Long-Term Debt,- -,- -,- -,366026000,280913000,313711000,341635000,601756000,419341000,297470000,407000000,585000000,1025000000,1796900000,1535900000,1273300000,1817800000,1680700000,1599100000,1502600000,43000000,2705500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,39049000,43771000,40386000,38536000,29645000,28371000,29865000,32315000,24227000,31400000,286100000,258800000,195400000,174600000,114300000,117500000,102100000,- -,129200000
57,Other Non-Current Liabilities,- -,- -,- -,2105000,2189000,906000,380000,259000,11922000,7226000,4421000,5443000,22200000,86800000,126900000,183600000,176900000,209600000,112300000,323400000,131000000,140300000
58,Total Non-Current Liabilities,- -,- -,- -,407180000,326873000,355003000,380551000,631660000,459634000,334561000,443736000,614670000,1078600000,2169800000,1921600000,1652300000,2169300000,2004600000,1828900000,1928100000,174000000,2975000000
59,Other Liabilities,- -,- -,456733000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1995000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256200000,336100000,528700000
61,Total Liabilities,- -,- -,456733000,497640000,426002000,475982000,512318000,758294000,574088000,471086000,589970000,797849000,1290700000,2611300000,2459900000,2365300000,2714800000,2581500000,2497900000,2701400000,2795000000,4028400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,973000,982000,992000,992000,992000,992000,992000,992000,992000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2800000
64,Retained Earnings,- -,- -,- -,-127630000,-52623000,46245000,140608000,241812000,281422000,365727000,522872000,742480000,849300000,927900000,1036800000,1110300000,1312400000,1416200000,1513800000,1703300000,2045000000,2604900000
65,Other Comprehensive Income/Loss,- -,- -,- -,-580000,12128000,-1059000,3992000,13550000,-12590000,-8004000,-6188000,-14686000,-7600000,-13700000,-55700000,-110100000,-121400000,-75500000,-95300000,-87700000,-65500000,-99200000
66,Other Total Stockholders Equity,- -,- -,191501000,249946000,253134000,180151000,67756000,-208216000,- -,- -,-391643000,-697995000,- -,-796600000,-779400000,-711000000,-1207200000,-1229200000,-1204900000,-1257100000,-1477900000,- -
67,Total Stockholders Equity,- -,- -,191501000,122709000,213621000,226329000,213348000,48138000,72443000,172293000,126033000,30791000,22300000,118600000,202700000,290200000,-15200000,112500000,214600000,359500000,503600000,285800000
68,Total Liabilities And Stockholders Equity,- -,- -,648234000,620349000,639623000,702311000,725666000,806432000,646531000,643379000,716003000,828640000,1313000000,2729900000,2662600000,2655500000,2699600000,2694000000,2712500000,3060900000,3298600000,4314200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,2900000,900000,-427600000,9200000
70,Total Liabilities & Equity,- -,- -,648234000,620349000,639623000,702311000,725666000,806432000,646531000,643379000,716003000,828640000,1313000000,2729900000,2662600000,2655500000,2702600000,2694000000,2715400000,3061800000,2871000000,4323400000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1206264/000119312505044732/0001193125-05-044732-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000119312506052513/0001193125-06-052513-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000119312507042805/0001193125-07-042805-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1206264/000120626411000004/0001206264-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626412000006/0001206264-12-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1206264/000120626414000012/0001206264-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626415000009/0001206264-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626416000106/0001206264-16-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626417000021/0001206264-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626418000033/0001206264-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626419000047/0001206264-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626420000079/0001206264-20-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626421000053/0001206264-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626422000057/0001206264-22-000057-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,12578000,11857000,16694000,37575000,75007000,99329000,112322000,141459000,58868000,84993000,157145000,219608000,106800000,78600000,108900000,73500000,202100000,151400000,100500000,189500000,554000000,624500000
74,Depreciation and Amortization,- -,- -,- -,22023000,32007000,30035000,26696000,41045000,41857000,40905000,32361000,34295000,36300000,74600000,76300000,71400000,73300000,81300000,87100000,89700000,98000000,113200000
75,Deferred Income Tax,- -,- -,- -,-4829000,4685000,4657000,-1304000,-8961000,2423000,-9810000,500000,-8528000,38400000,-49100000,-27200000,-21300000,-31100000,-60200000,6000000,-7100000,-8600000,11100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,16900000,13400000,22500000,16200000,13300000,24800000,26800000,104500000,61400000
77,Change in Working Capital,- -,- -,- -,54984000,59733000,-7428000,-1500000,94212000,-117641000,-9902000,52788000,71045000,412709000,-323000000,-57900000,-132000000,29900000,-95500000,105900000,-9500000,-132900000,-90600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10542000,-12752000,-30198000,11800000,-30100000,-58800000,-35300000,17300000,22300000,-46300000,-76000000,-55700000,-40400000
79,Inventory,- -,- -,- -,-16978000,-6292000,-18448000,21284000,-38216000,45758000,3738000,-6710000,-18473000,100000,-34500000,-34000000,10700000,1500000,17100000,-44600000,-28200000,-42500000,-106400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7808000,-1145000,21675000,14300000,28100000,47800000,46100000,-47800000,-1600000,28700000,-4800000,63000000,50500000
81,Other Working Capital,- -,- -,- -,54984000,114717000,107289000,105789000,200001000,82360000,72458000,125246000,196291000,609000000,286000000,228100000,96100000,126000000,30500000,136400000,126900000,-6000000,9200000
82,Other Non-Cash Items,-11453000,7859000,18397000,-62803000,-94466000,-24344000,29601000,-141394000,212887000,28800000,-58672000,-67714000,-410009000,300500000,111700000,220100000,-124900000,132600000,-141200000,23400000,40000000,3500000
83,Cash Provided by Operating Activities,1125000,19716000,35091000,46950000,76966000,102249000,165815000,126361000,198394000,134986000,184122000,248706000,189900000,98500000,225200000,234200000,165500000,222900000,183100000,312800000,655000000,723100000
84,CAPEX,- -,- -,-11136000,-32597000,-38419000,-84881000,-38147000,-17206000,-11364000,-14303000,-18825000,-31510000,-50500000,-40000000,-47500000,-65900000,-62400000,-67000000,-73600000,-88200000,-111300000,-123300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-5805000,-1529000,- -,-18692000,-4566000,-4500000,-1172900000,35000000,7200000,- -,- -,- -,-17100000,-41200000,-432800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-27014000,-34862000,-6505000,-38510000,68000,-1703000,286000,140000,7525000,- -,-684000,-2044000,- -,-100000,2100000,-1000000,- -,4900000,4500000,15100000,5900000,1300000
89,Cash Used for Investing Activites,-27014000,-34862000,-6505000,-71107000,-38351000,-86584000,-37861000,-22871000,-5368000,-14303000,-37517000,-36076000,-55000000,-1213000000,-10400000,-59700000,-62400000,-62100000,-69100000,-90200000,-146600000,-554800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-230036000,-197813000,-643500000,-287000000,-2354800000,-510900000,-988300000,-1891300000,-1471500000,-1195800000,-1354900000,-1372200000,-2698300000
91,Common Stock Issued,- -,- -,- -,83668000,1847000,2551000,4045000,8175000,695000,1623000,28551000,26256000,11400000,8700000,- -,5000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-76000000,-144000000,-319884000,- -,- -,-250000000,-365928000,-152600000,-7000000,-2200000,-1300000,-535000000,-44900000,-4600000,-105700000,-331800000,-816300000
93,Dividends Paid,- -,- -,- -,-160000000,- -,- -,- -,-23811000,-17933000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63100000
94,Other Financing Activites,34314000,12593000,-23923000,102906000,-30354000,53494000,7479000,247878000,-182912000,109692000,312886000,834302000,357400000,3366500000,275000000,893900000,2241200000,1341200000,1093400000,1257400000,1181400000,3654200000
95,Cash Used/Provided by Financing Activities,34314000,12593000,-23923000,26574000,-28507000,-19955000,-132476000,-87642000,-200150000,-118721000,-106376000,-148870000,-70800000,1013400000,-238100000,-90700000,-185100000,-175200000,-107000000,-203200000,-522600000,76500000
96,Effect of Forex Changes on Cash,- -,- -,- -,-841000,4030000,-6223000,2455000,1679000,-10806000,-3305000,-648000,-6016000,3800000,2800000,4800000,7600000,-6200000,-9400000,-3100000,-300000,14300000,-8200000
97,Net Change In Cash,34314000,12593000,-23923000,1576000,14138000,-10513000,-2067000,17527000,-17930000,-1343000,39581000,57744000,67900000,-98300000,-18500000,91400000,-88200000,-23800000,3900000,19100000,100000,235700000
98,Cash at the End of Period,- -,- -,- -,14230000,28368000,17855000,15788000,33315000,15385000,14042000,53623000,111367000,179300000,81000000,62500000,153900000,65700000,41900000,45800000,64900000,65000000,300700000
99,Cash at the Beginning of Period,- -,- -,- -,12654000,14230000,28368000,17855000,15788000,33315000,15385000,14042000,53623000,111400000,179300000,81000000,62500000,153900000,65700000,41900000,45800000,64900000,65000000
100,Free Cash Flow,1125000,19716000,23955000,14353000,38547000,17368000,127668000,109155000,187030000,120683000,165297000,217196000,139400000,58500000,177700000,168300000,103100000,155900000,109500000,224600000,543700000,599800000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1206264/000119312505044732/0001193125-05-044732-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000119312506052513/0001193125-06-052513-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000119312507042805/0001193125-07-042805-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1206264/000120626411000004/0001206264-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626412000006/0001206264-12-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1206264/000120626414000012/0001206264-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626415000009/0001206264-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626416000106/0001206264-16-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626417000021/0001206264-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626418000033/0001206264-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626419000047/0001206264-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626420000079/0001206264-20-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626421000053/0001206264-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1206264/000120626422000057/0001206264-22-000057-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
