,https://roic.ai/company/NATR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,21900000,23900000,27900000,31700000,36800000,43700000,53200000,75700000,93600000,119000000,153000000,181100000,202600000,212600000,217000000,239670000,237165000,233749000,237631000,246716000,272506000,285472000,292590000,303827000,263453000,269615000,278238000,240128000,259225000,255735000,225488000,240183000,249605000,263768000,252150000,262447000,293947000
11,COGS and Expenses,28700000,29700000,34800000,39700000,46200000,55100000,66100000,92600000,115700000,146700000,188000000,222600000,249900000,260000000,262100000,288192000,294824000,287066000,289558000,309409000,340099000,354217000,363586000,375701000,332256000,338655000,347648000,333452000,354039000,347319000,310833000,331120000,340642000,359459000,346090000,363723000,409414000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1935000,1666000,1090000,1518000,568000,821000,1319000,1409000,1830000,1409000,270000,1470000,1368000,573000,-72000,1486000,591000,144000,-67000,262000,171000,466000
13,Interest Expense (Gain),100000,100000,- -,100000,100000,- -,- -,100000,- -,- -,200000,100000,- -,- -,- -,20000,4000,39000,268000,104000,730000,609000,69000,52000,124000,- -,89000,178000,231000,187000,130000,16000,289000,387000,43000,102000,250000
14,Depreciation and Amortization,700000,700000,600000,700000,800000,1000000,1100000,1600000,2100000,3100000,3500000,3400000,4300000,4800000,6100000,6926000,6827000,8298000,6388000,5728000,-5959000,-6224000,-6409000,5437000,4501000,4254000,4362000,4078000,4466000,4409000,4525000,4808000,8634000,9806000,10599000,10743000,11162000
15,EBITDA,1500000,2200000,4300000,5900000,7300000,6800000,8300000,11600000,14400000,17600000,23900000,31300000,37500000,43200000,35100000,34866000,32164000,19033000,13888000,28793000,6194000,3014000,-1875000,11957000,18950000,8542000,26463000,39752000,30350000,13872000,21082000,15554000,13020000,13741000,26120000,32045000,41880000
16,EBITDA ratio,0.0510,0.0707,0.1126,0.1326,0.1401,0.1131,0.1143,0.1149,0.1132,0.1094,0.1162,0.1257,0.1335,0.1459,0.1214,0.1107,0.1009,0.0637,0.0467,0.0870,0.0176,0.0083,-0.0051,0.0314,0.0552,0.0244,0.0719,0.1082,0.0803,0.0379,0.0649,0.0456,0.0381,0.0377,0.0721,0.0832,0.0943
17,Operating Income,700000,1400000,3400000,4800000,5900000,5000000,6500000,8400000,11500000,14200000,17600000,26400000,31000000,36100000,27100000,26628000,23898000,11668000,7706000,21654000,11585000,8005000,3061000,5598000,10767000,11263000,20165000,34016000,24057000,19048000,13872000,10039000,1387000,5351000,16125000,21482000,34670000
18,Operating Income ratio,0.0238,0.0450,0.0890,0.1079,0.1132,0.0832,0.0895,0.0832,0.0904,0.0883,0.0856,0.1060,0.1104,0.1219,0.0937,0.0846,0.0750,0.0391,0.0259,0.0654,0.0329,0.0221,0.0083,0.0147,0.0314,0.0322,0.0548,0.0926,0.0636,0.0520,0.0427,0.0294,0.0041,0.0147,0.0445,0.0558,0.0781
19,Total Other Income Expenses (Gains),- -,- -,300000,300000,500000,800000,700000,1500000,800000,300000,2600000,1400000,2200000,2300000,1900000,1292000,1435000,-972000,-474000,1307000,-162000,624000,1404000,870000,3558000,2727000,1847000,1480000,1596000,-34000,-592000,-773000,1835000,-2151000,-483000,1339000,-2848000
20,Income Before Tax,700000,1400000,3700000,5100000,6400000,5800000,7200000,9900000,12300000,14500000,20200000,27800000,33200000,38400000,29000000,27920000,25333000,10696000,7232000,22961000,11423000,8629000,4465000,6468000,14325000,13990000,22012000,35496000,25653000,19014000,13280000,9266000,3222000,3200000,15642000,22821000,31822000
21,Income Before Tax Ratio,0.0238,0.0450,0.0969,0.1146,0.1228,0.0965,0.0992,0.0980,0.0967,0.0901,0.0982,0.1116,0.1182,0.1297,0.1003,0.0887,0.0795,0.0358,0.0243,0.0694,0.0325,0.0238,0.0122,0.0170,0.0418,0.0400,0.0598,0.0966,0.0678,0.0519,0.0409,0.0272,0.0094,0.0088,0.0432,0.0592,0.0717
22,Income Tax expense (Gain),400000,600000,1700000,1800000,2400000,2200000,2600000,4000000,4800000,6100000,8300000,11000000,13100000,15100000,11200000,10789000,8674000,3632000,2133000,5883000,7919000,12194000,12702000,8306000,8210000,5521000,4411000,10116000,8044000,-743000,1740000,8591000,17039000,4402000,8713000,-137000,1615000
23,Net Income,300000,800000,2000000,3300000,4000000,3600000,4600000,5900000,7500000,8400000,11900000,16800000,20100000,23300000,17800000,17131000,16659000,7064000,5099000,17078000,3504000,-3565000,-8237000,-1838000,6115000,-1233000,17601000,25380000,17609000,10019000,14687000,2139000,-12942000,-854000,6765000,21337000,28853000
24,Net Income ratio,0.0102,0.0257,0.0524,0.0742,0.0768,0.0599,0.0634,0.0584,0.0590,0.0522,0.0579,0.0675,0.0716,0.0787,0.0615,0.0544,0.0523,0.0236,0.0172,0.0516,0.0100,-0.0098,-0.0225,-0.0048,0.0178,-0.0035,0.0479,0.0691,0.0466,0.0273,0.0452,0.0063,-0.0378,-0.0023,0.0187,0.0554,0.0650
25,EPS,0.01,0.05,0.13,0.17,0.21,0.19,0.25,0.32,0.41,0.45,0.63,0.86,1.08,1.27,1.01,1.02,1.02,0.45,0.36,1.14,0.23,-0.23,-0.53,-0.12,0.39,-0.08,1.13,1.62,1.10,0.58,0.79,0.11,-0.69,-0.04,0.35,1.09,1.45
26,EPS Diluted,0.01,0.05,0.13,0.17,0.21,0.19,0.25,0.32,0.40,0.45,0.63,0.86,1.06,1.25,1.00,1.02,0.99,0.43,0.36,1.10,0.23,-0.23,-0.53,-0.12,0.39,-0.08,1.12,1.59,1.07,0.56,0.77,0.11,-0.69,-0.04,0.34,1.07,1.42
27,Weighted Average Shares Outstanding,18021000,16000000,15384615,19411765,19047619,18947368,18400000,18437500,18292683,18779229,18888000,19684000,18611111,18346457,17623762,16795098,16332353,15697778,14163889,14980702,15211000,15344000,15495000,15510000,15510000,15515000,15550000,15648000,15997000,17108000,18656000,18731000,18882000,19123000,19314000,19537000,19858000
28,Weighted Average Shares Outstanding Diluted,18021000,16000000,15384615,19411765,19047619,18947368,18400000,18437500,18750000,18779229,18888000,19684000,18962264,18640000,17800000,16795098,16827273,16427907,14163889,15525455,15515000,15344000,15495000,15510000,15512000,15605000,15695000,15987000,16390000,17641000,19177000,19056000,18882000,19123000,19663000,19968000,20327000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/275053/000091205702009975/0000912057-02-009975-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465903005152/0001104659-03-005152-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465904007425/0001104659-04-007425-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465905011412/0001104659-05-011412-index.htm,- -,https://www.sec.gov/Archives/edgar/data/275053/000110465908062460/0001104659-08-062460-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465908062462/0001104659-08-062462-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465909019160/0001104659-09-019160-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465910014614/0001104659-10-014614-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465911013837/0001104659-11-013837-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465912015681/0001104659-12-015681-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465913018014/0001104659-13-018014-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465914020306/0001104659-14-020306-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465915019269/0001104659-15-019269-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828016012675/0001628280-16-012675-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828017002548/0001628280-17-002548-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828018003302/0001628280-18-003302-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828019002700/0001628280-19-002700-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000027505320000009/0000275053-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000027505321000002/0000275053-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000027505322000002/0000275053-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,27900000,27800000,22100000,18400000,28803000,29788000,26175000,30665000,36206000,37875000,39061000,45299000,34853000,35538000,47604000,58969000,79241000,77247000,58699000,41420000,32284000,42910000,50638000,53629000,92069000,86184000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5577000,6054000,4755000,3858000,3167000,6470000,5677000,2071000,2006000,2546000,1772000,1776000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,27900000,27800000,22100000,18400000,28803000,29788000,26175000,30665000,36206000,43452000,45115000,50054000,38711000,38705000,54074000,64646000,81312000,79253000,61245000,43192000,34060000,42910000,50638000,53629000,92069000,86184000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,6700000,7500000,9900000,7100000,7326000,6327000,5247000,5567000,6540000,8313000,6409000,7450000,10786000,8294000,5947000,9868000,9614000,10206000,6732000,7700000,7738000,8888000,7751000,7319000,7375000,8871000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23100000,24500000,19600000,22500000,26700000,26043000,26834000,26460000,26528000,36713000,34988000,38639000,35249000,39558000,40623000,36235000,41611000,43280000,41910000,40438000,38495000,47597000,44047000,42048000,46666000,47683000,60852000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,8000000,11100000,8500000,11100000,10805000,10397000,11346000,13276000,13047000,10770000,11776000,16224000,19065000,13770000,10282000,8978000,11127000,17225000,12834000,12131000,10726000,6664000,6388000,5091000,6938000,8760000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47200000,67100000,66000000,63000000,63300000,72977000,73346000,69228000,76036000,92506000,97523000,101939000,108977000,108120000,101392000,106538000,125103000,145333000,148594000,121249000,101518000,100121000,102509000,106825000,112705000,154065000,164667000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13100000,20200000,23700000,25900000,25200000,25293000,35294000,34621000,32318000,34731000,34075000,30581000,28282000,30224000,28757000,27391000,25137000,27950000,32022000,51343000,68728000,73272000,69106000,64061000,83463000,74565000,69206000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,9462000,9815000,3050000,2094000,1757000,- -,755000,1656000,1538000,1421000,1303000,1151000,1002000,853000,704000,559000,976000,709000,618000,567000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,9462000,9815000,3050000,2094000,1757000,- -,755000,1656000,1538000,1421000,1303000,1151000,1002000,853000,704000,559000,976000,709000,618000,567000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1867000,1594000,1674000,1394000,1752000,1778000,1429000,1276000,971000,1038000,1044000,1391000,1980000,1308000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5734000,5417000,5732000,5828000,6412000,12228000,12916000,16576000,11516000,9928000,14495000,17339000,15970000,8283000,9056000,4899000,8693000,13590000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,4700000,6100000,14800000,12300000,10715000,12973000,15023000,15110000,10348000,8404000,7746000,18921000,16588000,19306000,9489000,6415000,6842000,7244000,7970000,11332000,13840000,12608000,11148000,11434000,12175000,11411000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,24900000,29800000,40700000,44100000,45470000,58082000,52694000,49522000,52570000,49763000,46408000,56361000,56156000,63464000,52877000,50708000,48586000,51018000,75550000,99002000,105449000,92686000,86191000,100363000,95433000,94207000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65200000,92000000,95800000,103700000,107400000,118447000,131428000,121922000,125558000,145076000,147286000,148347000,165338000,164276000,164856000,159415000,175811000,193919000,199612000,196799000,200520000,205570000,195195000,193016000,213068000,249498000,258874000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,4200000,5100000,4400000,5300000,4961000,4814000,2979000,4003000,4509000,6271000,6529000,7009000,8777000,4176000,4855000,5980000,6226000,5664000,5237000,6341000,5305000,4215000,5219000,4406000,6486000,9702000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2800000,2700000,1700000,1000000,385000,- -,5500000,5000000,7500000,7000000,- -,- -,- -,- -,- -,3296000,3350000,2267000,- -,2696000,9919000,506000,1530000,6459000,7498000,5896000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4222000,5643000,5816000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4677000,4814000,5207000,5167000,4513000,3385000,2603000,4311000,4173000,4717000,4160000,3672000,3348000,1197000,1266000,2092000,3694000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,20500000,19700000,21600000,21400000,24061000,27971000,26644000,36981000,39803000,51647000,66628000,64744000,63976000,59180000,56928000,55919000,47503000,56465000,47955000,39939000,44139000,45588000,58741000,45816000,53578000,57378000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22700000,27500000,27500000,27700000,27700000,29407000,32785000,35123000,45984000,51812000,69595000,77971000,76960000,77920000,67869000,65168000,67798000,61390000,68569000,57909000,53136000,63035000,53657000,66687000,57947000,69654000,76670000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5894000,2270000,10000000,- -,- -,- -,13181000,- -,20213000,18830000,17093000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1300000,1500000,2000000,1100000,2814000,1220000,1414000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,770000,1556000,1655000,1391000,1566000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,1100000,1342000,1625000,1485000,2232000,2045000,2284000,2190000,27986000,32679000,39892000,25865000,14681000,14623000,15784000,9933000,11119000,10137000,7855000,4205000,3817000,2389000,2141000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1300000,1400000,2000000,2200000,4156000,2845000,2899000,2232000,2045000,2284000,2190000,27986000,32679000,39892000,25865000,20575000,16893000,25784000,9933000,11119000,10137000,21806000,5761000,25685000,22610000,20800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25154000,21404000,20269000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23700000,28800000,28900000,29700000,29900000,33563000,35630000,38022000,48216000,53857000,71879000,80161000,104946000,110599000,107761000,91033000,88373000,78283000,94353000,67842000,64255000,73172000,75463000,72448000,83632000,92264000,97470000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37700000,37435000,36308000,31332000,25437000,21692000,64029000,64795000,66619000,- -,- -,- -,- -,77292000,83122000,125489000,126670000,129654000,131525000,133684000,135741000,139311000,133382000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19200000,33500000,51200000,72000000,87500000,102347000,116836000,121789000,124997000,139074000,27085000,20451000,9112000,4172000,9511000,8278000,25879000,48910000,36100000,10891000,18088000,12718000,-2072000,-2072000,4693000,26030000,35025000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11400000,-13100000,-16100000,-19000000,-22800000,-25864000,-29642000,-32031000,-33921000,-38019000,-16000000,-17000000,-15000000,-17000000,-20000000,-8000000,-10000000,-11000000,-14000000,-11000000,-11000000,-11000000,-10000000,-11000000,-11225000,-9955000,-10205000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33700000,42800000,31800000,21000000,- -,- -,- -,-37190000,-39171000,-31528000,293000,-60000,-339000,66505000,67584000,68104000,71559000,434000,37000,-204000,-243000,-260000,-132000,-107000,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41500000,63200000,66900000,74000000,77500000,84884000,95798000,83900000,77342000,91219000,75407000,68186000,60392000,53677000,57095000,68382000,87438000,115636000,105259000,125176000,133515000,131112000,119321000,120505000,129209000,155386000,158202000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65200000,92000000,95800000,103700000,107400000,118447000,131428000,121922000,125558000,145076000,147286000,148347000,165338000,164276000,164856000,159415000,175811000,193919000,199612000,193018000,197770000,204284000,194784000,192953000,212841000,247650000,255672000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3781000,2750000,1286000,411000,63000,227000,1848000,3202000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65200000,92000000,95800000,103700000,107400000,118447000,131428000,121922000,125558000,145076000,147286000,148347000,165338000,164276000,164856000,159415000,175811000,193919000,199612000,196799000,200520000,205570000,195195000,193016000,213068000,249498000,258874000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/275053/000091205702009975/0000912057-02-009975-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465903005152/0001104659-03-005152-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465904007425/0001104659-04-007425-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465905011412/0001104659-05-011412-index.htm,- -,https://www.sec.gov/Archives/edgar/data/275053/000110465908062460/0001104659-08-062460-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465908062462/0001104659-08-062462-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465909019160/0001104659-09-019160-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465910014614/0001104659-10-014614-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465911013837/0001104659-11-013837-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465912015681/0001104659-12-015681-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465913018014/0001104659-13-018014-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465914020306/0001104659-14-020306-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000110465915019269/0001104659-15-019269-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828016012675/0001628280-16-012675-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828017002548/0001628280-17-002548-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828018003302/0001628280-18-003302-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000162828019002700/0001628280-19-002700-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000027505320000009/0000275053-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000027505321000002/0000275053-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/275053/000027505322000002/0000275053-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,800000,- -,3300000,4000000,3600000,4600000,5900000,7500000,8400000,11900000,16800000,20100000,23300000,17800000,17131000,16659000,7064000,5099000,17078000,3504000,-3565000,-8237000,-1838000,6115000,-1233000,17601000,25380000,17609000,10019000,14687000,2139000,-12942000,-854000,6929000,22958000,30207000
74,Depreciation and Amortization,700000,700000,- -,700000,800000,1000000,1100000,1600000,2100000,3100000,3500000,3400000,4300000,4800000,6100000,6926000,6827000,8298000,6388000,5728000,-5959000,-6224000,-6409000,5437000,4501000,4254000,4362000,4078000,4466000,4409000,4525000,4808000,8634000,9806000,10599000,10743000,11162000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,- -,-200000,- -,-400000,700000,100000,- -,-400000,300000,-1000000,2089000,-608000,-3041000,-3265000,-1252000,1108000,-2685000,-1450000,-3091000,-3968000,2128000,-5073000,4270000,1092000,-3927000,-3373000,766000,14134000,-18000,4279000,-4357000,-4129000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326000,86000,478000,437000,3478000,2878000,3389000,3948000,4485000,3217000,2218000,2170000,2120000,3787000,3731000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24500000,15100000,-1100000,-3200000,300000,7970000,-3009000,-6456000,-4053000,10642000,-12766000,-3960000,8049000,-1817000,3323000,7847000,15935000,26638000,-3918000,-16685000,-14958000,-11296000,11766000,-8714000,-21688000,793000,-14740000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1281000,2720000,-857000,-4168000,2424000,2181000,-3742000,266000,-1358000,3457000,-1091000,-343000,-1241000,189000,375000,106000,-1681000
79,Inventory,- -,- -,- -,- -,-500000,-1100000,-1700000,-2800000,-2400000,-6100000,-5800000,-1300000,4900000,-2900000,-4200000,2291000,-791000,374000,165000,-9798000,84000,-3423000,3780000,-4825000,-617000,4732000,-5566000,-1466000,838000,748000,933000,-9569000,5177000,1066000,-4870000,-154000,-14456000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1840000,-4339000,588000,1316000,77000,-552000,-359000,593000,-935000,-1123000,1035000,-960000,2090000,3080000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24500000,39600000,38500000,35300000,35600000,43570000,40561000,34105000,30052000,40694000,27928000,23968000,32017000,30200000,33523000,41370000,57305000,83943000,80025000,63340000,48382000,37086000,48852000,40138000,-88000,602000,1597000
