,https://roic.ai/company/BECN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-18305000,-18064000,-16666000,-39898000,-5819000,-19461000,-27434000,-25904000,-22887000,-18210000,-13364000,-17173000,-8247000,-10095000,-11037000,-58452000,-52751000,-136544000,-158534000,-142800000,-158300000
20,Income Before Tax,- -,422000,11364000,14626000,-5226000,54900000,80840000,42374000,68806000,86322000,55307000,90378000,126499000,121474000,88768000,106044000,146532000,163345000,68082000,-10782000,-107700000,298500000
21,Income Before Tax Ratio,- -,0.0010,0.0207,0.0261,-0.0080,0.0645,0.0539,0.0257,0.0386,0.0498,0.0344,0.0497,0.0619,0.0542,0.0381,0.0422,0.0355,0.0373,0.0106,-0.0015,-0.0155,0.0449
22,Income Tax expense (Gain),- -,798000,6153000,7521000,10129000,22000000,31529000,17095000,28500000,33904000,20781000,31158000,50934000,48867000,34922000,43767000,56615000,62481000,-30544000,-170000,-26800000,77300000
23,Net Income,-942000,-376000,5211000,7105000,-15355000,32900000,49311000,25279000,40306000,52418000,34526000,59220000,75565000,72607000,53846000,62277000,89917000,100864000,98626000,-10612000,-80900000,-45500000
24,Net Income ratio,-0.0042,-0.0009,0.0095,0.0127,-0.0235,0.0387,0.0329,0.0154,0.0226,0.0302,0.0214,0.0326,0.0370,0.0324,0.0231,0.0248,0.0218,0.0230,0.0154,-0.0015,-0.0117,-0.0069
25,EPS,-0.07,-0.02,0.19,0.27,-0.57,0.83,1.15,0.57,0.91,1.16,0.76,1.29,1.62,1.50,1.09,1.26,1.51,1.67,1.07,-0.51,-1.52,-1.00
26,EPS Diluted,-0.07,-0.02,0.19,0.26,-0.57,0.80,1.12,0.56,0.90,1.15,0.75,1.27,1.58,1.47,1.08,1.24,1.49,1.64,1.05,-0.51,-1.52,-1.00
27,Weighted Average Shares Outstanding,13987779,22518415,26532960,26749589,26844382,39697084,42903279,44083915,44346293,45007313,45480922,45919198,46718948,48472240,49227466,49578130,59424372,60315648,68012879,68424288,68800000,69700000
28,Weighted Average Shares Outstanding Diluted,13987779,22518415,26824097,27332016,26844382,41098394,44044769,44971932,44959357,45493786,46031593,46753152,47840967,49385335,49947699,50173478,60418067,61344263,69191039,68424288,68800000,80500000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124941/000110465905059681/a05-21335_110k.htm,https://www.sec.gov/Archives/edgar/data/1124941/000110465906081396/a06-25415_110k.htm,https://www.sec.gov/Archives/edgar/data/1124941/000104746907009561/0001047469-07-009561-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000104746908012664/0001047469-08-012664-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000104746909010482/0001047469-09-010482-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420410063656/0001144204-10-063656-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420411067281/0001144204-11-067281-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420412065391/0001144204-12-065391-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420413064596/0001144204-13-064596-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420414070784/0001144204-14-070784-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420415067681/0001144204-15-067681-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420416135949/0001144204-16-135949-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459017024183/0001564590-17-024183-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459018029873/0001564590-18-029873-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459019044546/0001564590-19-044546-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459020054777/0001564590-20-054777-index.htm,https://www.sec.gov/Archives/edgar/data/1124941/000095017021004791/0000950170-21-004791-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1276000,- -,69000,64000,- -,- -,1847000,6469000,26038000,82742000,117136000,143027000,40205000,47027000,54472000,45661000,31386000,138250000,129927000,72287000,624600000,260000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1276000,- -,69000,64000,- -,- -,1847000,6469000,26038000,82742000,117136000,143027000,40205000,47027000,54472000,45661000,31386000,138250000,129927000,72287000,624600000,260000000
34,Net Receivables,- -,- -,78231000,86964000,93824000,123300000,210676000,267563000,283652000,227379000,241341000,280322000,303770000,332048000,360802000,399732000,626965000,704527000,1090533000,1108134000,1029300000,978300000
35,Inventory,- -,- -,48811000,55077000,68573000,82400000,164285000,165848000,209255000,195011000,158774000,202474000,222740000,251370000,301626000,320999000,480736000,551924000,936047000,1018183000,944600000,1084500000
36,Other Current Assets,- -,- -,11212000,12151000,18197000,24500000,48837000,47705000,63925000,72037000,60293000,53042000,64060000,74638000,81438000,100237000,163103000,209138000,244360000,315643000,378300000,345900000
37,Total Current Assets,- -,- -,138323000,154256000,180594000,230200000,425645000,487585000,582870000,577169000,577544000,678865000,630775000,705083000,798338000,866629000,1302190000,1603839000,2400867000,2514247000,2976800000,2668700000
38,PP&E,- -,- -,24146000,24955000,25101000,31800000,59291000,69753000,56712000,52965000,47751000,47427000,57376000,67659000,88565000,90405000,148569000,156129000,280407000,260376000,687000000,635800000
39,Goodwill,- -,- -,- -,- -,- -,108600000,289282000,355155000,354269000,354193000,365061000,380916000,443161000,469203000,466206000,496415000,1197565000,1251986000,2491779000,2490590000,2490400000,1760900000
40,Intangible Assets,- -,- -,91964000,93564000,94162000,11100000,63672000,85955000,69465000,- -,- -,- -,81773000,92406000,76550000,87055000,464024000,429069000,1334366000,1125540000,801200000,414800000
41,Intangible Assets,- -,- -,91964000,93564000,94162000,119700000,352954000,441110000,423734000,354193000,365061000,380916000,524934000,561609000,542756000,583470000,1661589000,1681055000,3826145000,3616130000,3291600000,2175700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,10900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64500000
44,Other Non-Current Assets,- -,- -,3499000,2933000,1641000,-8200000,2000000,8212000,4500000,56459000,51833000,49756000,3897000,4345000,4237000,5408000,1511000,8534000,1243000,2059000,2100000,9800000
45,Total Non-Current Assets,- -,- -,119609000,121452000,120904000,154200000,414245000,519075000,484946000,463617000,464645000,478099000,586207000,633613000,635558000,679283000,1811669000,1845718000,4107795000,3878565000,3980700000,2885800000
46,Other Assets,189322000,263655000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,189322000,263655000,257932000,275708000,301498000,384400000,839890000,1006660000,1067816000,1040786000,1042189000,1156964000,1216982000,1338696000,1433896000,1545912000,3113859000,3449557000,6508662000,6392812000,6957500000,5554500000
48,Accounts Payable,- -,- -,45661000,56151000,74043000,70200000,154878000,183257000,198429000,151683000,144064000,182523000,167390000,182914000,220834000,244891000,360915000,503697000,880872000,822931000,954600000,812900000
49,Short-Term Debt,- -,- -,78193000,69031000,54438000,9905000,6657000,34773000,19926000,15092000,15734000,15605000,56932000,62524000,35116000,27560000,14811000,14141000,19661000,18689000,112800000,103500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,4339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000000,- -
52,Other Current Liabilities,- -,- -,24666000,28816000,55859000,24756000,58719000,54020000,89755000,75536000,50132000,69906000,71627000,68298000,80285000,124794000,161113000,261297000,611539000,599155000,489800000,546700000
53,Total Current Liabilities,- -,- -,148520000,153998000,184340000,109200000,220254000,272050000,308110000,242311000,209930000,268034000,295949000,313736000,336235000,397245000,536839000,779135000,1512072000,1440775000,1631200000,1463100000
54,Long-Term Debt,- -,- -,64901000,62407000,69173000,85600000,299034000,343000000,332500000,322090000,311771000,301544000,220875000,209601000,216460000,196742000,1117711000,750233000,2600806000,2580193000,2745300000,1948700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,5862000,8797000,8764000,- -,18823000,36490000,35362000,36555000,39734000,38992000,48196000,61003000,64100000,68809000,135482000,138383000,106994000,103913000,74000000,700000
57,Other Non-Current Liabilities,- -,- -,6359000,8740000,976000,10900000,10610000,31270000,25143000,16257000,11910000,9967000,- -,- -,- -,- -,- -,- -,5290000,6383000,346900000,- -
58,Total Non-Current Liabilities,- -,- -,77122000,79944000,78913000,96500000,328467000,410760000,393005000,374902000,363415000,350503000,269071000,270604000,280560000,265551000,1253193000,888616000,2713090000,2690489000,3166200000,1949400000
59,Other Liabilities,182025000,237087000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,497000,976000,1668000,10610000,31270000,25143000,16257000,11910000,9967000,4382000,3848000,30835000,22367000,35121000,9641000,9961000,8989000,440900000,427700000
61,Total Liabilities,182025000,237087000,225642000,233942000,263253000,205700000,548721000,682810000,701115000,617213000,573345000,618537000,565020000,584340000,616795000,662796000,1790032000,1667751000,4225162000,4131264000,4797400000,3412500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399195000,399195000,399200000,399200000
63,Common Stock,- -,- -,180000,180000,266000,300000,439000,443000,448000,452000,457000,462000,477000,488000,493000,497000,598000,677000,681000,685000,700000,700000
64,Retained Earnings,- -,- -,7383000,14488000,-867000,32100000,81361000,106640000,146946000,199364000,233890000,293110000,368675000,441282000,495128000,557405000,647322000,748186000,833834000,799222000,694300000,620500000
65,Other Comprehensive Income/Loss,- -,- -,-10359000,1580000,-100706000,4768000,5936000,5200000,-362000,-3036000,-1639000,-3405000,2626000,-376000,-6579000,-20720000,-18657000,-14563000,-17250000,-20596000,-34700000,-23400000
66,Other Total Stockholders Equity,7297000,26568000,35086000,25518000,139552000,141577000,203433000,211567000,219669000,226793000,236136000,248260000,280184000,312962000,328059000,345934000,694564000,1047506000,1067040000,1083042000,1100600000,1145000000
67,Total Stockholders Equity,7297000,26568000,32290000,41766000,38245000,178745000,291169000,323850000,366701000,423573000,468844000,538427000,651962000,754356000,817101000,883116000,1323827000,1781806000,2283500000,2261548000,2160100000,2142000000
68,Total Liabilities And Stockholders Equity,189322000,263655000,257932000,275708000,301498000,384445000,839890000,1006660000,1067816000,1040786000,1042189000,1156964000,1216982000,1338696000,1433896000,1545912000,3113859000,3449557000,6508662000,6392812000,6957500000,5554500000
69,Minority Interest,- -,- -,- -,- -,- -,-45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,189322000,263655000,257932000,275708000,301498000,384400000,839890000,1006660000,1067816000,1040786000,1042189000,1156964000,1216982000,1338696000,1433896000,1545912000,3113859000,3449557000,6508662000,6392812000,6957500000,5554500000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124941/000110465905059681/a05-21335_110k.htm,https://www.sec.gov/Archives/edgar/data/1124941/000110465906081396/a06-25415_110k.htm,https://www.sec.gov/Archives/edgar/data/1124941/000104746907009561/0001047469-07-009561-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000104746908012664/0001047469-08-012664-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000104746909010482/0001047469-09-010482-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420410063656/0001144204-10-063656-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420411067281/0001144204-11-067281-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420412065391/0001144204-12-065391-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420413064596/0001144204-13-064596-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420414070784/0001144204-14-070784-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420415067681/0001144204-15-067681-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420416135949/0001144204-16-135949-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459017024183/0001564590-17-024183-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459018029873/0001564590-18-029873-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459019044546/0001564590-19-044546-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459020054777/0001564590-20-054777-index.htm,https://www.sec.gov/Archives/edgar/data/1124941/000095017021004791/0000950170-21-004791-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-942000,-376000,5211000,7105000,-15355000,32900000,49311000,25279000,40306000,52418000,34526000,59220000,75565000,72607000,53846000,62277000,89917000,100864000,98626000,-10612000,-80900000,-45500000
74,Depreciation and Amortization,2664000,6239000,5851000,6047000,6922000,8748000,23792000,32863000,34240000,30389000,27773000,25060000,24353000,30415000,30294000,34862000,100191000,116467000,201503000,277761000,391100000,175200000
75,Deferred Income Tax,- -,- -,2084000,2596000,-940000,896000,-1504000,2022000,-2838000,-599000,3060000,-465000,7700000,4416000,3078000,17634000,25200000,393000,-30118000,-2555000,-25600000,-139200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,4780000,5001000,6073000,7873000,9266000,7422000,9936000,17749000,15071000,16473000,16360000,17200000,22600000
77,Change in Working Capital,- -,- -,-10197000,10455000,-4004000,124746000,84391000,10144000,59225000,60098000,32756000,43217000,-76005000,56521000,70756000,7281000,295967000,59353000,64091000,184677000,272128000,-360800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,56143000,-6486000,-35314000,19804000,-22790000,-32984000,-33251000,-30408000,-60185000,-45093000,-18501000,78400000,-81300000
79,Inventory,- -,- -,2313000,-5265000,-13166000,-4828000,-9120000,13815000,-44050000,14168000,40952000,-35016000,13338000,-16033000,-50846000,-9203000,43489000,-51768000,-65069000,-82774000,73400000,-225000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-10197000,258000,-3746000,121000000,205391000,215535000,274760000,334858000,367614000,410831000,334826000,391347000,462103000,469384000,765351000,824704000,888795000,1073472000,1345600000,-8100000
82,Other Non-Cash Items,-1722000,-5863000,18579000,-4325000,36463000,-158621000,-73186000,-6493000,-81366000,-59510000,-28618000,-53815000,45875000,-94732000,-109899000,-22650000,-408376000,23052000,188806000,-252978000,-94628000,425700000
83,Cash Provided by Operating Activities,- -,- -,21528000,21878000,23086000,8669000,82804000,63815000,49567000,87576000,74498000,79290000,85361000,78493000,55497000,109340000,120648000,315200000,539381000,212653000,479300000,78000000
84,CAPEX,- -,- -,-4538000,-4978000,-5127000,-9583000,-19063000,-23132000,-5739000,-13656000,-10107000,-14433000,-17404000,-26120000,-37239000,-20802000,-26315000,-39828000,-46010000,-57031000,-48500000,-66500000
85,Acquisitions Net,- -,- -,-1103000,- -,- -,-37705000,-336274000,-120154000,- -,- -,-19328000,-34942000,-141049000,-64606000,-1514000,-85301000,-1018188000,-129390000,-2740480000,-163973000,5100000,836000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,1035000,314000,- -,- -,- -,- -,- -,- -,- -,1543000,1418000,1235000,1437000,1389000,1882000,2233000,2149000,9269000,4400000,4400000
89,Cash Used for Investing Activites,- -,- -,-4606000,-4664000,-5127000,-47288000,-355337000,-143286000,-5739000,-13656000,-29435000,-47832000,-157035000,-89491000,-37316000,-104714000,-1042621000,-166985000,-2784341000,-211735000,-39000000,773900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19924000,-15193000,-11053000,-316785000,-11806000,-16259000,-582810000,-1777174000,-2847764000,-3165184000,-2133683000,-2197900000,-2764100000
91,Common Stock Issued,- -,- -,- -,- -,250000,104874000,53127000,1115000,1302000,- -,- -,- -,- -,- -,- -,- -,24160000,356844000,7514000,3314000,- -,- -
92,Common Stock Repurchased,- -,- -,-64000,-115000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12978000,-24000000,-24000000,-24000000
94,Other Financing Activites,- -,- -,-19125000,-17135000,-22122000,-66225000,227506000,82624000,-25086000,2348000,4414000,6008000,284961000,29819000,6461000,570103000,2659881000,2450320000,5406699000,2095600000,2334100000,1572100000
95,Cash Used/Provided by Financing Activities,- -,- -,-19189000,-17250000,-21872000,38649000,280633000,83739000,-23784000,-17576000,-10779000,-5045000,-31824000,18013000,-9798000,-12707000,906867000,-40600000,2236051000,-58769000,112200000,-1216000000
96,Effect of Forex Changes on Cash,- -,- -,65000,31000,155000,107000,-146000,354000,-475000,360000,110000,-522000,676000,-193000,-938000,-730000,831000,-751000,586000,211000,-200000,-500000
97,Net Change In Cash,- -,- -,-2202000,-5000,-3758000,137000,7954000,4622000,19569000,56704000,34394000,25891000,-102822000,6822000,7445000,-8811000,-14275000,106864000,-8323000,-57640000,552300000,-364600000
98,Cash at the End of Period,- -,- -,69000,64000,-3694000,-3557000,1847000,6469000,26038000,82742000,117136000,143027000,40205000,47027000,54472000,45661000,31386000,138250000,129927000,72287000,624600000,260000000
99,Cash at the Beginning of Period,- -,- -,2271000,69000,64000,-3694000,-6107000,1847000,6469000,26038000,82742000,117136000,143027000,40205000,47027000,54472000,45661000,31386000,138250000,129927000,72300000,624600000
100,Free Cash Flow,- -,- -,16990000,16900000,17959000,-914000,63741000,40683000,43828000,73920000,64391000,64857000,67957000,52373000,18258000,88538000,94333000,275372000,493371000,155622000,430800000,11500000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124941/000110465905059681/a05-21335_110k.htm,https://www.sec.gov/Archives/edgar/data/1124941/000110465906081396/a06-25415_110k.htm,https://www.sec.gov/Archives/edgar/data/1124941/000104746907009561/0001047469-07-009561-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000104746908012664/0001047469-08-012664-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000104746909010482/0001047469-09-010482-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420410063656/0001144204-10-063656-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420411067281/0001144204-11-067281-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420412065391/0001144204-12-065391-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420413064596/0001144204-13-064596-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420414070784/0001144204-14-070784-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420415067681/0001144204-15-067681-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000114420416135949/0001144204-16-135949-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459017024183/0001564590-17-024183-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459018029873/0001564590-18-029873-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459019044546/0001564590-19-044546-index.html,https://www.sec.gov/Archives/edgar/data/1124941/000156459020054777/0001564590-20-054777-index.htm,https://www.sec.gov/Archives/edgar/data/1124941/000095017021004791/0000950170-21-004791-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
