,https://roic.ai/company/CULP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0591,0.0650,0.0312,0.0130,0.0295,0.0293,0.0288,0.0398,0.0600,0.0692,0.0668,0.0687,0.0640,0.0333,0.0507,-0.0000,0.0116,0.0134,0.0577,-0.0862,-0.0588,0.0026,0.0327,-0.0224,0.0792,0.0726,0.0578,0.0784,0.0705,0.0735,0.0906,0.0972,0.0848,0.0449,-0.0295,- -
19,Total Other Income Expenses (Gains),-1500000,-2100000,-900000,-3700000,-2000000,-1400000,-1500000,-1400000,-2700000,-5800000,-6200000,-5900000,-8700000,-11800000,-11036000,-12396000,-10530000,-6852000,-7550000,-4102000,-4518000,-3641000,-3500000,-2330000,-2042000,-643000,-508000,-796000,-1249000,167000,-440000,-382000,-844000,104000,-111000,-1196000
20,Income Before Tax,7400000,9600000,4500000,-1400000,3000000,3700000,4000000,6600000,12000000,15500000,17300000,21500000,21800000,4300000,13694000,-12400000,-6100000,-2300000,10800000,-28800000,-19877000,-3000000,4800000,-6900000,14300000,15100000,14198000,20289000,19000000,22956000,27898000,29696000,26617000,12722000,-7679000,10880000
21,Income Before Tax Ratio,0.0491,0.0533,0.0260,-0.0079,0.0177,0.0213,0.0209,0.0329,0.0490,0.0503,0.0492,0.0539,0.0457,0.0089,0.0281,-0.0303,-0.0160,-0.0068,0.0340,-0.1005,-0.0761,-0.0120,0.0189,-0.0338,0.0693,0.0696,0.0558,0.0755,0.0662,0.0740,0.0892,0.0959,0.0822,0.0452,-0.0300,0.0363
22,Income Tax expense (Gain),3100000,4400000,1800000,-500000,700000,800000,1000000,2100000,4300000,5700000,6300000,7700000,6300000,1200000,4314000,-4100000,-2700000,-1600000,3600000,-10900000,-8081000,-1700000,-500000,31959000,1128000,-1102000,902000,1972000,1596000,7885000,10963000,7339000,5740000,6424000,3354000,7693000
23,Net Income,4300000,5200000,2700000,-900000,2300000,2900000,3000000,4500000,7700000,9800000,11000000,13800000,15500000,3100000,9380000,-8300000,-3400000,-24900000,7200000,-17900000,-11796000,-1300000,5400000,-38800000,13200000,16200000,13296000,18317000,17400000,15071000,16935000,22334000,20877000,5458000,-28667000,3218000
24,Net Income ratio,0.0285,0.0289,0.0156,-0.0051,0.0136,0.0167,0.0157,0.0224,0.0314,0.0318,0.0313,0.0346,0.0325,0.0064,0.0192,-0.0203,-0.0089,-0.0733,0.0226,-0.0625,-0.0452,-0.0052,0.0213,-0.1903,0.0640,0.0747,0.0523,0.0681,0.0606,0.0486,0.0541,0.0722,0.0645,0.0194,-0.1119,0.0107
25,EPS,0.41,0.49,0.25,-0.08,0.21,0.27,0.27,0.41,0.69,0.87,0.98,1.18,1.22,0.24,0.81,-0.74,-0.31,-2.17,0.63,-1.55,-1.02,-0.11,0.43,-3.07,1.04,1.25,1.05,1.50,1.43,1.23,1.38,1.81,1.68,0.46,-2.32,0.26
26,EPS Diluted,0.41,0.49,0.25,-0.08,0.21,0.27,0.27,0.41,0.68,0.87,0.98,1.18,1.19,0.24,0.80,-0.74,-0.31,-2.17,0.61,-1.55,-1.02,-0.11,0.42,-3.07,1.01,1.22,1.03,1.47,1.41,1.21,1.36,1.78,1.65,0.45,-2.32,0.26
27,Weighted Average Shares Outstanding,10487805,10612245,10800000,11250000,10952381,10740741,11111111,10975610,11159420,11264368,11224490,11694915,12704918,12916667,11580247,11231081,11096774,11468664,11460317,11517419,11564706,11963636,12624000,12651000,12709000,12959000,12711000,12235000,12177000,12217000,12302000,12312000,12431000,12462000,12378000,12300000
28,Weighted Average Shares Outstanding Diluted,10487805,10612245,10800000,11250000,10952381,10740741,11111111,10975610,11323529,11264368,11224490,11694915,13025210,12916667,11725000,11231081,11096774,11468664,11836066,11517419,11564706,11963636,12765000,12651000,13057000,13218000,12866000,12450000,12414000,12422000,12475000,12518000,12633000,12548000,12378000,12322000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723603/000095016895000568/0000950168-95-000568-index.html,https://www.sec.gov/Archives/edgar/data/723603/000095016896001297/0000950168-96-001297-index.html,- -,https://www.sec.gov/Archives/edgar/data/723603/000095016898002447/0000950168-98-002447-index.html,https://www.sec.gov/Archives/edgar/data/723603/000095016899002018/0000950168-99-002018-index.html,https://www.sec.gov/Archives/edgar/data/723603/000072360300000013/0000723603-00-000013-index.html,https://www.sec.gov/Archives/edgar/data/723603/000072360301500028/0000723603-01-500028-index.html,https://www.sec.gov/Archives/edgar/data/723603/000072360302000013/0000723603-02-000013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723603/000115752307007015/0001157523-07-007015-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752308005426/0001157523-08-005426-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752309004901/0001157523-09-004901-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752310004033/0001157523-10-004033-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752311004013/0001157523-11-004013-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752312003608/0001157523-12-003608-index.html,- -,https://www.sec.gov/Archives/edgar/data/723603/000115752314002798/0001157523-14-002798-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752315002386/0001157523-15-002386-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752316006084/0001157523-16-006084-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752317001944/0001157523-17-001944-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752318001419/0001157523-18-001419-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752319001520/a52010021.htm,https://www.sec.gov/Archives/edgar/data/723603/000156459020032587/0001564590-20-032587-index.htm,https://www.sec.gov/Archives/edgar/data/723603/000156459021036807/0001564590-21-036807-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,8400000,8000000,4000000,7200000,2700000,1400000,500000,800000,2300000,500000,1007000,1200000,32000000,14400000,14600000,5100000,9714000,10200000,4900000,11800000,18300000,23200000,25023000,23530000,29300000,29725000,37787000,20795000,21228000,40008000,69790000,37009000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,3000000,7700000,5941000,5286000,6300000,10004000,4359000,2443000,28210000,5001000,5194000,8703000
33,Cash and Short-Term Investments,- -,- -,- -,- -,8400000,8000000,4000000,7200000,2700000,1400000,500000,800000,2300000,500000,1007000,1200000,32000000,24400000,14600000,5100000,9714000,10200000,4900000,11800000,21300000,30900000,30964000,28816000,35600000,39729000,42146000,23238000,49438000,45009000,74984000,45712000
34,Net Receivables,27400000,31800000,25200000,25900000,22800000,25100000,25000000,26400000,36700000,44300000,52000000,56700000,73800000,70500000,75223000,57800000,43400000,32300000,30700000,28800000,29049000,29300000,27500000,18300000,20600000,20300000,25055000,23710000,27500000,28978000,23636000,24577000,26307000,24149000,26678000,37726000
35,Inventory,27600000,31100000,34800000,26200000,22000000,18800000,22900000,26300000,36600000,45800000,47400000,53500000,78600000,67100000,74471000,60000000,57900000,49600000,49000000,50500000,36693000,40600000,35400000,24000000,26000000,28700000,36373000,38418000,40700000,42484000,46531000,51482000,53454000,47564000,47907000,55917000
36,Other Current Assets,1600000,1500000,4600000,2800000,800000,1400000,1200000,1500000,2300000,3100000,4200000,5400000,7800000,9600000,10349000,7900000,13400000,15400000,10900000,9800000,11518000,9700000,11300000,2500000,1900000,2700000,4471000,9802000,8600000,2440000,2477000,2894000,2870000,6523000,2116000,3852000
37,Total Current Assets,56600000,64400000,64600000,54900000,54000000,53300000,53100000,61400000,78300000,94600000,104100000,116400000,162500000,147700000,161050000,126900000,146700000,121700000,105200000,94200000,86974000,89800000,79100000,56600000,69800000,82600000,96863000,100746000,112400000,113631000,114790000,102191000,132069000,123245000,151685000,143207000
38,PP&E,21100000,26100000,32800000,30300000,29800000,34300000,39300000,44500000,64000000,75800000,77000000,91200000,128800000,123300000,126407000,112300000,89800000,85000000,77800000,66000000,44639000,37800000,32900000,24300000,28400000,30300000,31279000,30594000,31400000,36078000,39973000,51651000,51794000,46479000,47050000,55733000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22900000,22300000,55200000,51300000,- -,48500000,47100000,9200000,9200000,4100000,4114000,4100000,4100000,11600000,11500000,11500000,11462000,11462000,11500000,11462000,11462000,11462000,13569000,13569000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,22600000,- -,- -,- -,- -,49873000,- -,- -,- -,- -,- -,- -,- -,800000,1200000,800000,500000,- -,- -,1700000,1745000,1618000,1492000,4275000,3899000,3380000,3004000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,22600000,22900000,22300000,55200000,51300000,49873000,48500000,47100000,9200000,9200000,4100000,4114000,4100000,4900000,12800000,12300000,12000000,11462000,11462000,13200000,13207000,13080000,12954000,17844000,17468000,3380000,3004000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,765000,2415000,4025000,37517000,13862000,8589000,11512000,9556000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,10000000,11200000,14600000,- -,10300000,16900000,3900000,4100000,- -,20176000,- -,1500000,1000000,1000000,600000,- -,753000,1000000,982000,1483000,419000,2150000,3176000,1818000,545000
44,Other Non-Current Assets,5600000,7800000,6400000,4800000,5200000,1100000,800000,600000,22600000,2000000,-500000,4100000,-2900000,-6300000,5548000,-8400000,-12800000,-1600000,-2600000,11800000,1564000,28200000,29600000,600000,1100000,4600000,- -,1151000,2135000,4987000,1791000,902000,265000,21599000,-361000,2035000
45,Total Non-Current Assets,26700000,33900000,39200000,35100000,35000000,35400000,40100000,45100000,86600000,100400000,107500000,127600000,192300000,182900000,181828000,162700000,141000000,96500000,88500000,81900000,70493000,70100000,68900000,38700000,42800000,47500000,42741000,43960000,48500000,57669000,60352000,103443000,85915000,97311000,63399000,70873000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,83300000,98300000,103800000,90000000,89000000,88700000,93200000,106500000,164900000,195000000,211600000,244000000,354800000,330600000,342878000,289600000,287700000,218200000,193700000,176100000,157467000,159900000,148000000,95300000,112600000,130100000,139604000,144706000,160900000,171300000,175142000,205634000,217984000,220556000,215084000,214080000
48,Accounts Payable,- -,- -,- -,- -,20000000,12800000,18000000,16600000,28500000,32300000,27300000,29900000,37200000,25700000,37287000,27400000,24300000,19900000,15300000,22900000,20835000,23600000,22700000,18000000,22800000,25000000,30663000,22582000,27000000,29404000,24218000,33868000,29013000,22802000,23109000,42888000
49,Short-Term Debt,5100000,2800000,3700000,1600000,1600000,1600000,2700000,3400000,3100000,11600000,- -,- -,- -,- -,1678000,- -,- -,500000,528000,8110000,8060000,18639000,7375000,5390000,196000,2412000,3293000,2761000,2200000,2200000,- -,- -,- -,- -,10426000,2736000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000,224000,646000,642000,285000,442000,325000,180000,287000,1437000,1022000,395000,229000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000,150000,293000,2467000,- -,6230000,4790000,2319000,- -,809000,399000,502000,540000
52,Other Current Liabilities,16200000,18100000,16800000,15400000,- -,6400000,5700000,6400000,8700000,12100000,19900000,16800000,22600000,22700000,22108000,20900000,20400000,22100000,19872000,16890000,14387000,16561000,9825000,7356000,10054000,8095000,7705000,12114000,3370000,6664000,9783000,12234000,10762000,11991000,6082000,15068000
53,Total Current Liabilities,21300000,20900000,20500000,17000000,21600000,20800000,26400000,26400000,40300000,56000000,47200000,46700000,59800000,48400000,61073000,48300000,44700000,42500000,35700000,47900000,43282000,58800000,39900000,30800000,33200000,35800000,44128000,37457000,38800000,43058000,36320000,46102000,40584000,35192000,40119000,61232000
54,Long-Term Debt,22900000,32700000,36100000,26200000,18400000,16800000,14100000,23100000,58500000,62200000,74900000,76500000,152300000,140300000,135808000,109200000,107000000,76000000,50500000,42400000,39662000,22100000,14000000,11600000,11500000,9100000,2404000,4400000,2800000,- -,- -,- -,- -,- -,29750000,6821000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1100000,1600000,2000000,2700000,2800000,3100000,2100000,2500000,3500000,5400000,- -,- -,- -,- -,17459000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3075000,1013000,1050000,1483000,3593000,2150000,3176000,1818000,5330000
57,Other Non-Current Liabilities,500000,700000,300000,500000,600000,- -,-100000,- -,- -,- -,8100000,10000000,11200000,14600000,- -,10300000,16900000,3900000,4100000,100000,- -,- -,7800000,4900000,4900000,4800000,- -,4191000,6587000,7765000,8527000,7309000,11874000,22255000,13699000,11691000
58,Total Non-Current Liabilities,24500000,35000000,38400000,29400000,21800000,19900000,16100000,25600000,62000000,67600000,83000000,86500000,163500000,154900000,153267000,119500000,123900000,79900000,54600000,42500000,39662000,22100000,21800000,16500000,16400000,13900000,2404000,11666000,10400000,8815000,10010000,10902000,14024000,25431000,45267000,23842000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13992000,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,626000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3821000,9557000
61,Total Liabilities,45800000,55900000,58900000,46400000,43400000,40700000,42500000,52000000,102300000,123600000,130200000,133200000,223300000,203300000,214340000,167800000,168600000,122400000,90300000,90400000,82944000,80900000,61700000,47300000,49600000,49700000,55716000,49123000,49200000,51873000,46330000,57004000,54608000,60623000,85386000,85074000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,600000,700000,600000,560000,600000,600000,600000,600000,600000,584000,600000,600000,600000,700000,700000,- -,611000,600000,611000,614000,618000,623000,620000,615000,616000
64,Retained Earnings,22300000,27100000,29500000,28200000,30200000,32600000,35000000,38800000,45600000,54300000,64000000,76300000,90000000,88800000,92712000,84300000,80900000,56000000,63200000,45400000,33571000,32300000,38500000,-400000,12800000,29000000,- -,53017000,68300000,75752000,84547000,100601000,114635000,115579000,86511000,84437000
65,Other Comprehensive Income/Loss,-9200000,-13800000,-18200000,-23700000,-28100000,-31400000,-37500000,-41500000,-41500000,-58700000,-70200000,-82300000,-95700000,-112100000,-124542000,-136700000,-133600000,-559000,-349000,-139000,18000,-4000,-48000,20000,103000,- -,16000,54000,-60000,-95000,-144000,-4000,-85000,40000,-10000,146000
66,Other Total Stockholders Equity,24400000,29100000,33600000,39100000,43500000,46800000,53200000,57200000,58500000,75800000,87000000,116200000,136500000,150000000,159808000,173600000,171200000,39724000,39940000,39910000,40350000,46181000,47307000,47811000,49444000,50641000,88984000,41901000,42904000,43159000,43795000,47415000,48203000,43694000,42582000,43807000
67,Total Stockholders Equity,37500000,42400000,44900000,43600000,45600000,48000000,50700000,54500000,62600000,71400000,81400000,110800000,131500000,127300000,128538000,121800000,119100000,95765000,103391000,85771000,74523000,79077000,86359000,48031000,63047000,80341000,89000000,95583000,111744000,119427000,128812000,148630000,163376000,159933000,129698000,129006000
68,Total Liabilities And Stockholders Equity,83300000,98300000,103800000,90000000,89000000,88700000,93200000,106500000,164900000,195000000,211600000,244000000,354800000,330600000,342878000,289600000,287700000,218165000,193691000,176171000,157467000,159977000,148059000,95331000,112647000,130041000,144716000,144706000,160944000,171300000,175142000,205634000,217984000,220556000,215084000,214080000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,9000,-71000,- -,-77000,-59000,-31000,-47000,59000,-5112000,- -,-44000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,83300000,98300000,103800000,90000000,89000000,88700000,93200000,106500000,164900000,195000000,211600000,244000000,354800000,330600000,342878000,289600000,287700000,218200000,193700000,176100000,157467000,159900000,148000000,95300000,112600000,130100000,139604000,144706000,160900000,171300000,175142000,205634000,217984000,220556000,215084000,214080000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723603/000095016895000568/0000950168-95-000568-index.html,https://www.sec.gov/Archives/edgar/data/723603/000095016896001297/0000950168-96-001297-index.html,- -,https://www.sec.gov/Archives/edgar/data/723603/000095016898002447/0000950168-98-002447-index.html,https://www.sec.gov/Archives/edgar/data/723603/000095016899002018/0000950168-99-002018-index.html,https://www.sec.gov/Archives/edgar/data/723603/000072360300000013/0000723603-00-000013-index.html,https://www.sec.gov/Archives/edgar/data/723603/000072360301500028/0000723603-01-500028-index.html,https://www.sec.gov/Archives/edgar/data/723603/000072360302000013/0000723603-02-000013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723603/000115752307007015/0001157523-07-007015-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752308005426/0001157523-08-005426-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752309004901/0001157523-09-004901-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752310004033/0001157523-10-004033-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752311004013/0001157523-11-004013-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752312003608/0001157523-12-003608-index.html,- -,https://www.sec.gov/Archives/edgar/data/723603/000115752314002798/0001157523-14-002798-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752315002386/0001157523-15-002386-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752316006084/0001157523-16-006084-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752317001944/0001157523-17-001944-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752318001419/0001157523-18-001419-index.html,https://www.sec.gov/Archives/edgar/data/723603/000115752319001520/a52010021.htm,https://www.sec.gov/Archives/edgar/data/723603/000156459020032587/0001564590-20-032587-index.htm,https://www.sec.gov/Archives/edgar/data/723603/000156459021036807/0001564590-21-036807-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,5200000,- -,- -,2300000,2900000,3000000,4500000,7700000,9800000,11000000,13800000,15500000,3100000,9380000,-8300000,-3400000,-24900000,7200000,-17900000,-11796000,-1300000,5400000,-38800000,13200000,16200000,13296000,18317000,17400000,15071000,16935000,22334000,20877000,5458000,-28667000,3218000
74,Depreciation and Amortization,- -,4800000,- -,- -,5600000,6400000,7100000,7000000,8800000,11900000,13100000,13500000,16200000,20100000,21058000,21342000,18993000,14447000,13815000,19014000,14455000,7999000,5921000,7200000,4558000,4814000,5108000,5115000,5481000,5960000,6841000,7329000,8023000,8897000,8474000,7312000
75,Deferred Income Tax,- -,- -,- -,- -,100000,-300000,-800000,300000,1100000,1400000,2200000,1000000,1400000,1100000,2176000,-5394000,-1452000,-2507000,3334000,-12022000,-10156000,-3763000,-919000,33231000,-148000,-3390000,-1682000,-344000,-1727000,3179000,4192000,4667000,-2482000,2027000,-1694000,3760000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,425000,834000,360000,349000,562000,710000,786000,2742000,3358000,2212000,130000,614000,1251000
77,Change in Working Capital,- -,- -,- -,- -,-5500000,100000,-5800000,8300000,3000000,600000,18300000,12800000,33000000,-3400000,677000,-21377000,23400000,-22800000,-9700000,-23200000,-2608000,-12692000,8200000,-13400000,10800000,10200000,5935000,10554000,10311000,-3027000,7897000,-22381000,35396000,-3432000,23513000,-29591000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8957000,-1684000,-199000,-4792000,1667000,-3857000,-1636000,4476000,-1555000,-299000,2339000,-1994000,-12117000
79,Inventory,- -,- -,- -,- -,4200000,3200000,-4100000,-3400000,-4300000,-7300000,-1600000,-6100000,-17700000,12100000,-7401000,14474000,2098000,8347000,507000,-1454000,13806000,817000,5236000,12855000,-2020000,-2579000,-7497000,-1979000,-2200000,-1883000,-4407000,-5437000,-24000,3841000,-837000,-7225000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5365000,5157000,2110000,5426000,-8384000,4131000,1964000,-3785000,5828000,-4028000,-3427000,499000,17228000
81,Other Working Capital,- -,37900000,- -,- -,32400000,32500000,26700000,35000000,38000000,38600000,56900000,69700000,102700000,99300000,99977000,78600000,102000000,79200000,69500000,46300000,43692000,31000000,39200000,25800000,36600000,46800000,52735000,63289000,73600000,70573000,78470000,56089000,91485000,88053000,111566000,81975000
