,https://roic.ai/company/DY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,6500000,11300000,16000000,20000000,24900000,31100000,28500000,54700000,22900000,20000000,20300000,32500000,50200000,65100000,99600000,113700000,175700000,109100000,117422751,155300000,143600000,147800000,175900000,255600000,161747000,165500000,166800000,231300000,254630000,274744000,358349000,387137000,- -,448743000,442222000,435667000,262432
11,COGS and Expenses,42200000,60800000,108900000,110700000,153900000,149800000,139600000,169400000,128500000,137700000,136000000,224900000,335200000,412800000,700100000,728900000,654700000,592000000,790984265,940900000,979500000,1063100000,1187100000,1150500000,971811000,1002600000,1135700000,1531700000,1729675000,1867994000,2441928000,2791871000,- -,3011135000,3221952000,3077656000,2896309
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775179,- -,- -,- -,- -,261000,97000,106000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,4500000,2600000,1300000,963908,417000,11990000,14809000,1590000,1590000,14272000,3140000,-3049000,-23300000,26827000,-27025000,-34720000,-37364000,- -,44369000,-50859000,29671000,-33166
14,Depreciation and Amortization,1300000,2800000,4200000,4700000,4900000,7200000,7800000,8400000,7300000,5900000,5700000,8700000,13500000,20100000,31759084,40116865,38843698,39073959,42066398,46593000,48634000,59370000,68108000,65435000,63607000,62533000,62693000,85481000,92772000,96044000,124940000,147906000,- -,179603000,187556000,175897000,152652000
15,EBITDA,5000000,8700000,11600000,13900000,17700000,6800000,2400000,-26400000,-200000,13400000,14800000,27700000,49600000,80700000,144359084,149616865,-72056302,70873959,140210017,105610000,101124000,143379000,104598000,12425000,88609000,94173000,124244000,120381000,185918000,204603000,296547000,360967000,- -,312010000,214140000,264785000,152671610
16,EBITDA ratio,0.1096,0.1316,0.1000,0.1169,0.1070,0.0458,0.0179,-0.1947,-0.0016,0.0931,0.1028,0.1140,0.1335,0.1717,0.1790,0.1810,-0.1155,0.1146,0.1607,0.1070,0.0988,0.1260,0.0850,0.0112,0.0896,0.0909,0.1034,0.0748,0.1026,0.1012,0.1110,0.1177,- -,0.0998,0.0641,0.0828,57.9646
17,Operating Income,- -,- -,- -,8200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81731723,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,0.0690,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0937,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),300000,600000,300000,1000000,1300000,900000,200000,1300000,-400000,1300000,1200000,900000,-100000,3300000,3000000,7200000,4100000,4300000,15447988,12900000,-3700000,-5200000,-5200000,-10900000,-6082000,-4800000,-900000,-18700000,-15599000,-18734000,-24287000,-24584000,- -,-28527000,-39194000,-62292000,- -
20,Income Before Tax,3700000,5900000,7400000,9200000,12800000,-400000,-5400000,-32500000,-7500000,7500000,9100000,19000000,36100000,60600000,109200000,105000000,-26600000,30500000,97179711,58600000,40400000,69500000,37600000,-54500000,10730000,28500000,64600000,58200000,66319000,135584000,206327000,250425000,- -,88038000,78536000,59217000,52776
21,Income Before Tax Ratio,0.0811,0.0893,0.0638,0.0774,0.0774,-0.0027,-0.0403,-0.2397,-0.0618,0.0521,0.0632,0.0782,0.0972,0.1289,0.1354,0.1270,-0.0426,0.0493,0.1114,0.0594,0.0395,0.0611,0.0306,-0.0492,0.0109,0.0275,0.0538,0.0362,0.0366,0.0670,0.0772,0.0817,- -,0.0281,0.0235,0.0185,0.0200
22,Income Tax expense (Gain),1800000,2900000,2900000,3600000,3200000,1300000,-800000,-3300000,300000,3100000,2700000,7800000,13100000,24200000,44200000,43600000,9500000,13300000,38546825,34300000,22300000,27300000,13200000,-1400000,4881000,12400000,25200000,23000000,26341000,51260000,77587000,93208000,- -,25131000,20228000,24880000,4202
23,Net Income,1900000,3000000,4500000,5600000,9600000,-1700000,-4600000,-31500000,-7800000,4400000,6400000,11200000,23000000,36400000,65000000,61400000,-123000000,17200000,58632886,24300000,18200000,41900000,21700000,-53200000,5849000,16100000,39400000,35200000,39978000,84324000,128740000,157217000,- -,62907000,57215000,34337000,48574
24,Net Income ratio,0.0417,0.0454,0.0388,0.0471,0.0580,-0.0114,-0.0343,-0.2323,-0.0643,0.0306,0.0445,0.0461,0.0619,0.0774,0.0806,0.0743,-0.1971,0.0278,0.0672,0.0246,0.0178,0.0368,0.0176,-0.0481,0.0059,0.0155,0.0328,0.0219,0.0221,0.0417,0.0482,0.0513,- -,0.0201,0.0171,0.0107,0.0184
25,EPS,0.15,0.21,0.30,0.36,0.49,-0.09,-0.24,-1.63,-0.25,0.23,0.32,0.45,0.72,1.05,1.56,1.45,-2.73,0.36,1.21,0.50,0.43,1.04,0.54,-1.35,0.15,0.46,1.17,1.07,1.18,2.48,3.98,5.01,- -,2.01,1.82,1.08,1.60
26,EPS Diluted,0.15,0.21,0.30,0.36,0.49,-0.09,-0.24,-1.63,-0.25,0.23,0.32,0.45,0.72,1.03,1.54,1.44,-2.73,0.36,1.20,0.49,0.43,1.03,0.53,-1.35,0.15,0.45,1.14,1.04,1.15,2.41,3.89,4.92,- -,1.97,1.80,1.07,1.57
27,Weighted Average Shares Outstanding,12666667,14285714,15000000,15555556,13826000,18888889,19166667,19325153,18750000,19038462,19814798,24634550,27936846,34520595,41580557,42445242,45049452,47880673,48348509,48746745,41835966,40407641,40417945,39254813,38931029,35306900,33653055,33012595,33773158,34045481,32315636,31351367,- -,31250376,31498474,31665183,30337544
28,Weighted Average Shares Outstanding Diluted,12666667,14285714,15000000,15555556,13826000,18888889,19166667,19325153,18750000,19375000,19968844,24737625,28484592,35185036,42314746,42770042,45049452,47886567,48819766,49184570,42056597,40713895,40601739,39254813,38996866,35754168,34481895,33782187,34816381,35026688,33115755,31984731,- -,31990168,31821782,32090578,30844211
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67215/000095014497010566/0000950144-97-010566-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095012398008120/0000950123-98-008120-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095014499011693/0000950144-99-011693-index.html,- -,https://www.sec.gov/Archives/edgar/data/67215/000095014401507681/0000950144-01-507681-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095014402010610/g78449e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014403011246/g84734e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014404009678/g91228e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014405009429/g97261e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014406008646/g03267e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014407008441/0000950144-07-008441-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095014408006879/0000950144-08-006879-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095012309040918/0000950123-09-040918-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721510000020/0000067215-10-000020-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721511000027/0000067215-11-000027-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721512000041/0000067215-12-000041-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721513000046/0000067215-13-000046-index.html,- -,https://www.sec.gov/Archives/edgar/data/67215/000006721515000035/0000067215-15-000035-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721516000096/0000067215-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721517000033/0000067215-17-000033-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/67215/000006721520000012/0000067215-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721521000010/0000067215-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/67215/000006721522000011/0000067215-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3400000,9500000,1400000,5100000,4600000,6200000,6300000,4400000,2600000,4300000,3800000,6600000,35900000,98000000,105700000,130500000,116100000,129900000,51393109,83100000,27300000,18900000,22100000,104700000,103320000,44800000,52600000,18600000,20672000,21289000,33787000,38608000,84029000,128342000,54560000,11770000,310757
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3400000,9500000,1400000,5100000,4600000,6200000,6300000,4400000,2600000,4300000,3800000,6600000,35900000,98000000,105700000,130500000,116100000,129900000,51393109,83100000,27300000,18900000,22100000,104700000,103320000,44800000,52600000,18600000,20672000,21289000,33787000,38608000,84029000,128342000,54560000,11770000,310757
34,Net Receivables,10700000,20400000,29000000,23600000,38700000,27500000,24900000,15700000,14900000,16300000,20400000,44800000,76500000,128200000,144300000,122300000,86900000,122000000,197089948,161300000,146900000,146900000,152400000,124000000,113743000,147200000,146700000,254700000,503310000,315134000,328030000,377293000,702008000,844637000,1073637000,1056973000,895898
35,Inventory,300000,400000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,66900000,44500000,39000000,37500000,5352586,73700000,87500000,103700000,103300000,75400000,16058000,111400000,153600000,240300000,49095000,323380000,450578000,472490000,79039000,94385000,98324000,70849000,81291
36,Other Current Assets,- -,100000,100000,300000,2700000,3200000,4700000,8400000,5700000,7000000,2600000,3800000,5800000,4700000,7500000,12100000,14700000,16100000,22197700,23800000,22600000,22900000,27300000,23100000,89640000,26900000,24000000,27500000,32659000,36829000,38839000,50127000,39710000,29076000,31772000,29038000,68144
37,Total Current Assets,14400000,30400000,30700000,29000000,46000000,36900000,35900000,28500000,23200000,27600000,26800000,55200000,118200000,241100000,324400000,309400000,256700000,305500000,276033343,341900000,284300000,292400000,305100000,327200000,322761000,330300000,376900000,541100000,605736000,696632000,851234000,938518000,904786000,1096440000,1258293000,1168630000,1356090
38,PP&E,9300000,11200000,13600000,11600000,24700000,25700000,26400000,24700000,20000000,18800000,19600000,27500000,42900000,79400000,101100000,109600000,110500000,86900000,100352913,117100000,126600000,164500000,170500000,142100000,136028000,149400000,158200000,202700000,205413000,231564000,326670000,422107000,414768000,424751000,446206000,337139000,355899
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154200000,106600000,106600000,- -,194100000,216200000,250800000,240100000,157900000,157851000,174800000,174800000,267800000,269088000,271653000,310157000,321748000,- -,325749000,325749000,272485000,272485
40,Intangible Assets,- -,- -,- -,3600000,29400000,33900000,32200000,6900000,5100000,5000000,4800000,4700000,4500000,59300000,85800000,300000,1100000,700000,259319362,33300000,48900000,70100000,62900000,56100000,49625000,56300000,49800000,125300000,116116000,120926000,197879000,183561000,- -,161125000,139945000,119322000,101832
41,Intangible Assets,- -,- -,- -,3600000,29400000,33900000,32200000,6900000,5100000,5000000,4800000,4700000,4500000,59300000,85800000,154500000,107700000,107300000,259319362,227400000,265100000,320900000,303000000,214000000,207476000,231100000,224600000,393100000,385204000,392579000,508036000,505309000,493212000,486874000,465694000,391807000,374317
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5560872,1300000,6000000,19300000,19500000,22900000,- -,39900000,49500000,48600000,- -,47388000,76587000,103626000,- -,- -,75527000,- -,- -
44,Other Non-Current Assets,200000,500000,800000,300000,900000,200000,300000,100000,400000,400000,900000,800000,700000,4700000,2700000,2200000,39700000,36800000,10568343,9000000,8000000,-7300000,-9100000,-12700000,13291000,-25900000,-37000000,-31300000,16001000,-14240000,-42811000,-70253000,28190000,89438000,-28089000,46589000,31918
45,Total Non-Current Assets,9500000,11700000,14400000,15500000,55000000,59800000,58900000,31700000,25500000,24200000,25300000,33000000,48100000,143400000,189600000,266300000,257900000,231000000,375801490,354800000,405700000,497400000,483900000,366300000,356795000,394500000,395300000,613100000,606618000,657291000,868482000,960789000,936170000,1001063000,959338000,775535000,762134
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23900000,42100000,45100000,44500000,101000000,96700000,94800000,60200000,48700000,51800000,52100000,88200000,166300000,384500000,514000000,575700000,514600000,536500000,651834833,696700000,690000000,789800000,789000000,693500000,679556000,724800000,772200000,1154200000,1212354000,1353923000,1719716000,1899307000,1840956000,2097503000,2217631000,1944165000,2118224
48,Accounts Payable,- -,- -,- -,- -,- -,5100000,4300000,4600000,4700000,5600000,3500000,10300000,12200000,19900000,42900000,29300000,26600000,22700000,34347637,37200000,29100000,30400000,29800000,29000000,25881000,39400000,36800000,78000000,63318000,71834000,115492000,132974000,92361000,119485000,119612000,158966000,155896
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,2700000,13100000,4700000,2400000,- -,- -,- -,9537,4162978,2749000,5169000,3301000,2306000,926000,47000,232000,74000,7813000,10938000,3750000,13125000,21656000,26469000,5625000,49081000,106491000,-756469
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5223000,8916000,15307000,1112000,755000,721000,344000,6387000,12729
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1522000,66839000,13882000,54689000,42637000,40091000,6480000,15125000,16332000,14101000,- -
52,Other Current Liabilities,9600000,16700000,18200000,11300000,17300000,15900000,17600000,13000000,31900000,9500000,11600000,15600000,20100000,56300000,71900000,55600000,44000000,47990463,63967022,78751000,77531000,93599000,99394000,80074000,71275000,78868000,76204000,47148000,108394000,96437000,151373000,123817000,134302000,144756000,138000000,168932000,982369
53,Total Current Liabilities,9600000,16700000,18200000,11300000,17300000,21000000,21900000,17600000,36600000,20100000,17800000,39000000,37000000,78600000,114800000,84900000,70600000,70700000,102477637,118700000,111800000,127300000,131500000,110000000,97203000,118500000,114600000,199800000,196532000,226710000,322627000,318538000,259612000,284991000,323025000,448490000,381796
54,Long-Term Debt,5100000,5500000,2500000,2300000,25900000,25400000,23500000,23200000,- -,13900000,9500000,9000000,13400000,10000000,9100000,6800000,- -,- -,7094018,4200000,150000000,163500000,151000000,135400000,135350000,187600000,187500000,444200000,446863000,516900000,706202000,738265000,733843000,867574000,844401000,539921000,896289
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13042372000,7167117000000,- -,1299000,5997000,19316000,19514000,22910000,24159000,39923000,49537000,48612000,45361000,47388000,76587000,103626000,57428000,65963000,75527000,47650000,55674
57,Other Non-Current Liabilities,100000,100000,100000,- -,- -,100000,4100000,5200000,5400000,6600000,7000000,6400000,17500000,8600000,12100000,15100000,-13029672000,-7167101500000,23302221,22701000,32803000,34984000,42886000,34490000,28289000,26877000,27663000,33188000,38664000,55725000,57013000,67295000,65077000,74807000,106074000,96796000,25921
58,Total Non-Current Liabilities,5200000,5600000,2600000,2300000,25900000,25500000,27600000,28400000,5400000,20500000,16500000,15400000,30900000,18600000,21200000,21900000,12700000,15500000,30396239,28200000,188800000,217800000,213400000,192800000,187798000,254400000,264700000,526000000,530888000,620013000,839802000,909186000,856348000,1008344000,1026002000,684367000,977884
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70187000,63128000,- -
61,Total Liabilities,14800000,22300000,20800000,13600000,43200000,46500000,49500000,46000000,42000000,40600000,34300000,54400000,67900000,97200000,136000000,106800000,83300000,86200000,132873876,146900000,300600000,345100000,344900000,302800000,285001000,372900000,379300000,725800000,727420000,846723000,1162429000,1227724000,1115960000,1293335000,1349027000,1132857000,1359680
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,14000000,14300000,15900000,16000000,16198678,16300000,13500000,13700000,13100000,13000000,12885000,11200000,11200000,11100000,11330000,11127000,10473000,10362000,- -,10477000,10528000,10205000,9871
64,Retained Earnings,4300000,7300000,9900000,15600000,25200000,23500000,18900000,-12600000,-20400000,-16000000,-9600000,4700000,31000000,67400000,142400000,203800000,80800000,98000000,156582855,180900000,199100000,239100000,258600000,205400000,211292000,227400000,266800000,302000000,341943000,426267000,537880000,652287000,- -,772484000,829699000,800588000,748414
65,Other Comprehensive Income/Loss,-2700000,-5300000,-9000000,-13000000,-4900000,-15500000,-19800000,-26400000,-29500000,-29900000,-30800000,-39000000,-54900000,-68700000,-93600000,-115700000,-137100000,-156700000,-2390667,-2950000,-8000,75000,186000,69000,169000,299000,138000,103000,-158000,-1198000,-1274000,-1158000,- -,-1282000,-1781000,-1769000,-1769
66,Other Total Stockholders Equity,7500000,17800000,23400000,28300000,37500000,42200000,46200000,53200000,56600000,57100000,58200000,68100000,122300000,280100000,315200000,366500000,471700000,493039569,348570091,355560000,176863000,191756000,172207000,172154000,170209000,112952000,114793000,115158000,131819000,71004000,10208000,10092000,- -,22489000,30158000,2284000,2028
67,Total Stockholders Equity,9100000,19800000,24300000,30900000,57800000,50200000,45300000,14200000,6700000,11200000,17800000,33800000,98400000,287300000,378000000,468900000,431300000,450339569,518960957,549810000,389455000,444631000,444093000,390623000,394555000,351851000,392931000,428361000,484934000,507200000,557287000,671583000,724996000,804168000,868604000,811308000,758544
68,Total Liabilities And Stockholders Equity,23900000,42100000,45100000,44500000,101000000,96700000,94800000,60200000,48700000,51800000,52100000,88200000,166300000,384500000,514000000,575700000,514600000,536539569,651834833,696710000,690055000,789731000,788993000,693423000,679556000,724751000,772231000,1154161000,1212354000,1353923000,1719716000,1899307000,1840956000,2097503000,2217631000,1944165000,2118224
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39569,- -,-10000,-55000,69000,7000,77000,- -,49000,-31000,39000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,23900000,42100000,45100000,44500000,101000000,96700000,94800000,60200000,48700000,51800000,52100000,88200000,166300000,384500000,514000000,575700000,514600000,536500000,651834833,696700000,690000000,789800000,789000000,693500000,679556000,724800000,772200000,1154200000,1212354000,1353923000,1719716000,1899307000,1840956000,2097503000,2217631000,1944165000,2118224
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67215/000095014497010566/0000950144-97-010566-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095012398008120/0000950123-98-008120-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095014499011693/0000950144-99-011693-index.html,- -,https://www.sec.gov/Archives/edgar/data/67215/000095014401507681/0000950144-01-507681-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095014402010610/g78449e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014403011246/g84734e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014404009678/g91228e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014405009429/g97261e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014406008646/g03267e10vk.htm,https://www.sec.gov/Archives/edgar/data/67215/000095014407008441/0000950144-07-008441-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095014408006879/0000950144-08-006879-index.html,https://www.sec.gov/Archives/edgar/data/67215/000095012309040918/0000950123-09-040918-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721510000020/0000067215-10-000020-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721511000027/0000067215-11-000027-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721512000041/0000067215-12-000041-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721513000046/0000067215-13-000046-index.html,- -,https://www.sec.gov/Archives/edgar/data/67215/000006721515000035/0000067215-15-000035-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721516000096/0000067215-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721517000033/0000067215-17-000033-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/67215/000006721520000012/0000067215-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/67215/000006721521000010/0000067215-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/67215/000006721522000011/0000067215-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,5600000,- -,-1700000,-4600000,-31500000,-7800000,4400000,6400000,11200000,23000000,36400000,65000000,61400000,-123000000,17200000,58632886,24300000,18200000,41900000,21700000,-53200000,5849000,16100000,39400000,35200000,39978000,84324000,128740000,157217000,- -,62907000,57215000,34337000,48574
74,Depreciation and Amortization,- -,- -,- -,4700000,- -,7200000,7800000,8400000,7300000,5900000,5700000,8700000,13500000,20100000,31759084,40116865,38843698,39073959,42066398,46593000,48634000,59370000,68108000,65435000,63607000,62533000,62693000,85481000,92772000,96044000,124940000,147906000,- -,179603000,187556000,175897000,152652000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-2000000,- -,1800000,- -,-1500000,-200000,-100000,1100000,-927000,1663597,-7708281,5777329,3502968,6248000,-201000,2090000,-2342000,-5693000,1921000,14728000,9874000,-2270000,-6323000,1244000,26782000,18233000,- -,8523000,9261000,-28185000,8024000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3897000,3351000,4409000,6782000,9902000,12596000,13923000,16850000,20805000,- -,20187000,10034000,12771000,9866000
77,Change in Working Capital,- -,- -,- -,- -,- -,-1900000,-3100000,-24300000,20900000,1500000,7200000,65000000,81300000,47100000,14900000,-38400000,48700000,-61244294,49644294,-50700000,-7400000,8500000,43600000,8358000,-13758000,50500000,79000000,67904000,60718000,58685000,91373000,25194000,- -,166275000,123819000,-215128000,-719165706
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56305000,5393000,-21665000,-3421000,3625000,-16949000,-40444000,2729000,-33068000,- -,-30750000,-195796000,-41755000,-40687000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,658000,-6348000,-5014000,-6403000,-1083000,-12843000,-1138000,-13800000,-13232000,- -,-15842000,- -,- -,- -
