,https://roic.ai/company/GBX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,50800000,54700000,63900000,64500000,52900000,67600000,74558000,49547000,30003000,31354000,48288000,57425000,70918000,83414000,85133000,65743000,69931000,80326000,104596000,103175000,125270000,151791000,158681000,170607000,200439000,213308000,204706000,191813000
11,COGS and Expenses,274300000,330900000,470000000,384300000,484300000,555900000,567261000,563218000,291935000,412168000,685555000,956474000,867362000,1127809000,1212969000,990761000,724213000,1184085000,1697892000,1653220000,2007012000,2219716000,2286768000,1918472000,2310848000,2880413000,2643764000,1708187000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42081000,43134000,30155000,22474000,19203000,18306000,18975000,17268000,23519000,30946000,32260000,42386000,44655000
14,Depreciation and Amortization,23000000,23900000,24900000,27900000,14500000,16500000,20356000,22396000,17960000,18066000,20840000,22939000,25253000,32826000,35086000,37669000,37511000,38293000,42371000,41447000,40422000,45156000,63345000,65129000,74356000,83731000,109850000,100717000
15,EBITDA,41900000,53700000,56300000,27500000,50400000,57000000,50763000,30321000,-10206000,27083000,50737000,72672000,86549000,68493000,73178000,10273000,83963000,78478000,155946000,74662000,243048000,369123000,376148000,268729000,289976000,228655000,241387000,137626000
16,EBITDA ratio,0.1302,0.1385,0.1062,0.0638,0.0933,0.0922,0.0820,0.0510,-0.0334,0.0623,0.0696,0.0710,0.0907,0.0560,0.0567,0.0101,0.1098,0.0631,0.0863,0.0425,0.1103,0.1417,0.1404,0.1239,0.1151,0.0754,0.0865,0.0787
17,Operating Income,47400000,56800000,60000000,46600000,56100000,62600000,52168000,30780000,13694000,22823000,43896000,67748000,86461000,96019000,77110000,27364000,40237000,67574000,118788000,41651000,239520000,386892000,408552000,260432000,252985000,184116000,168429000,40970000
18,Operating Income ratio,0.1473,0.1465,0.1132,0.1081,0.1038,0.1012,0.0842,0.0518,0.0448,0.0525,0.0602,0.0661,0.0906,0.0785,0.0598,0.0269,0.0526,0.0544,0.0657,0.0237,0.1087,0.1485,0.1525,0.1201,0.1004,0.0607,0.0603,0.0234
19,Total Other Income Expenses (Gains),-28000000,-27000000,-28600000,-36800000,-20200000,-21200000,-21761000,-22855000,-17352000,-11859000,-14738000,-17748000,-25396000,-61814000,-43072000,-97748000,-31264000,-52649000,-24809000,-22158000,-18695000,-11179000,-13502000,-24192000,-29368000,-30912000,-43619000,-49550000
20,Income Before Tax,19400000,29800000,31400000,9800000,35900000,41400000,30407000,7925000,-3658000,10964000,29158000,50000000,61065000,34205000,34038000,-70384000,8973000,14925000,93979000,19493000,220825000,375713000,395050000,236240000,223617000,153204000,124810000,-8580000
21,Income Before Tax Ratio,0.0603,0.0769,0.0592,0.0227,0.0664,0.0669,0.0491,0.0133,-0.0120,0.0252,0.0400,0.0488,0.0640,0.0279,0.0264,-0.0691,0.0117,0.0120,0.0520,0.0111,0.1002,0.1442,0.1474,0.1089,0.0888,0.0505,0.0447,-0.0049
22,Income Tax expense (Gain),8200000,13100000,13100000,3800000,15600000,21000000,16053000,6806000,-2072000,4700000,9119000,19911000,21698000,13657000,18550000,-15417000,-959000,3564000,32393000,25060000,72401000,112160000,112322000,64014000,32893000,41588000,40184000,-40223000
23,Net Income,10700000,16700000,18300000,-4200000,20300000,19500000,14354000,1119000,-26094000,4317000,20778000,29822000,39598000,22010000,19542000,-54060000,4277000,6466000,58708000,-11048000,111919000,192832000,183213000,116067000,151781000,71076000,48967000,32477000
24,Net Income ratio,0.0333,0.0431,0.0345,-0.0097,0.0376,0.0315,0.0232,0.0019,-0.0854,0.0099,0.0285,0.0291,0.0415,0.0180,0.0151,-0.0531,0.0056,0.0052,0.0325,-0.0063,0.0508,0.0740,0.0684,0.0535,0.0602,0.0234,0.0175,0.0186
25,EPS,0.98,1.18,1.29,-0.29,1.43,1.37,1.01,0.08,-1.85,0.31,1.43,1.99,2.51,1.37,1.19,-3.21,0.23,0.27,2.21,-0.41,3.97,6.85,6.28,3.97,4.92,2.18,1.50,0.99
26,EPS Diluted,0.97,1.17,1.29,-0.29,1.42,1.36,1.01,0.08,-1.85,0.30,1.37,1.92,2.48,1.37,1.19,-3.21,0.21,0.24,1.91,-0.41,3.44,5.93,5.73,3.65,4.68,2.14,1.46,0.96
27,Weighted Average Shares Outstanding,10918367,14152542,14160000,14160000,14203000,14254000,14227000,14151000,14121000,14138000,14569000,15000000,15751000,16056000,16395000,16815000,18585000,24100000,26572000,26678000,28164000,28151000,29156000,29225000,30857000,32615000,32670000,32648000
28,Weighted Average Shares Outstanding Diluted,11030928,14273504,14160000,14160000,14346000,14294000,14241000,14170000,14121000,14325000,15199000,15560000,15937000,16094000,16417000,16815000,20213000,26501000,33718000,26678000,34209000,33328000,32468000,32562000,32835000,33165000,33441000,33665000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923120/000091205700051577/0000912057-00-051577-index.html,https://www.sec.gov/Archives/edgar/data/923120/000091205701541321/a2064448z10-k405.htm,https://www.sec.gov/Archives/edgar/data/923120/000089102002001881/v86118e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000089102003002804/v94760e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000095012404005540/v03221e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000089102005000292/v11935e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000089102006000309/v24489e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000095013407023341/0000950134-07-023341-index.html,https://www.sec.gov/Archives/edgar/data/923120/000095013408020098/0000950134-08-020098-index.html,https://www.sec.gov/Archives/edgar/data/923120/000095012309061810/0000950123-09-061810-index.html,https://www.sec.gov/Archives/edgar/data/923120/000095012310103894/0000950123-10-103894-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312511295556/0001193125-11-295556-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312512446993/0001193125-12-446993-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312513420836/0001193125-13-420836-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312514389003/0001193125-14-389003-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312515359814/0001193125-15-359814-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312516746547/0001193125-16-746547-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312517323043/0001193125-17-323043-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312518309099/0001193125-18-309099-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312519277713/0001193125-19-277713-index.html,https://www.sec.gov/Archives/edgar/data/923120/000156459020048326/0001564590-20-048326-index.htm,https://www.sec.gov/Archives/edgar/data/923120/000156459021052050/0001564590-21-052050-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,50200000,10400000,6100000,14400000,41900000,77200000,12819000,77299000,58777000,75700000,12110000,73204000,142894000,20808000,5957000,76187000,98864000,50222000,53571000,97435000,184916000,172930000,222679000,611466000,530655000,329684000,833745000,646769000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,50200000,10400000,6100000,14400000,41900000,77200000,12819000,77299000,58777000,75700000,12110000,73204000,142894000,20808000,5957000,76187000,98864000,50222000,53571000,97435000,184916000,172930000,222679000,611466000,530655000,329684000,833745000,646769000
34,Net Receivables,16500000,28000000,63000000,61000000,47500000,47500000,66150000,50555000,45135000,59669000,120007000,122957000,115565000,157038000,181857000,113371000,89252000,188443000,146326000,154848000,199679000,196029000,232517000,279964000,348406000,373383000,239597000,418542000
35,Inventory,31500000,86300000,76000000,87200000,73600000,92500000,127484000,94581000,56868000,91310000,113122000,121698000,163151000,194883000,252048000,142824000,185604000,323512000,316741000,316783000,305656000,445535000,365805000,400127000,432314000,664693000,529529000,573594000
36,Other Current Assets,1000000,1500000,1500000,7400000,16000000,600000,89000,- -,- -,- -,1085000,93000,2056000,2693000,1231000,32794000,34351000,2113000,6277000,8807000,20140000,8869000,24279000,8892000,8819000,8803000,34018000,56708000
37,Total Current Assets,99200000,126200000,146600000,170000000,179000000,217800000,206542000,222435000,160780000,226679000,246324000,317952000,423666000,375422000,441093000,365176000,408071000,564290000,522915000,577873000,710391000,823363000,845280000,1300449000,1320194000,1376563000,1636889000,1695613000
38,PP&E,26600000,33100000,35900000,44900000,49500000,69300000,77628000,76898000,58292000,56684000,56415000,73203000,80034000,407139000,136506000,441157000,435277000,513031000,643195000,575481000,628396000,771060000,781188000,835234000,910977000,1266930000,1232026000,1371499000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168987000,200148000,137066000,137066000,137066000,137066000,57416000,43265000,43265000,43265000,68590000,78211000,129947000,130308000,132110000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,23001000,26450000,- -,- -,- -,- -,- -,69258000,99061000,96902000,90679000,87268000,45869000,41041000,36196000,32408000,29015000,85177000,43960000,73445000,62890000,55298000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,23001000,26450000,- -,- -,- -,- -,- -,238245000,299209000,233968000,227745000,224334000,182935000,98457000,79461000,75673000,72280000,153767000,122171000,203392000,193198000,187408000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,7000000,9000000,8000000,7990000,1795000,- -,15033000,18426000,79582000,99085000,114546000,108255000,87713000,119785000,108098000,127551000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,346100000,373100000,433000000,365600000,277000000,263600000,276938000,280397000,308374000,255585000,206014000,270052000,366614000,42943000,372152000,- -,- -,- -,20466000,19504000,19338000,21331000,24596000,- -,24409000,23967000,3623000,8597000
45,Total Non-Current Assets,372700000,406200000,468900000,410500000,326500000,332900000,377567000,383745000,366666000,312269000,262429000,353255000,453648000,697327000,815867000,683115000,664817000,737365000,861629000,711868000,806777000,967149000,992610000,1097256000,1145270000,1614074000,1536945000,1695055000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,471900000,532400000,615500000,580500000,505500000,550700000,584109000,606180000,527446000,538948000,508753000,671207000,877314000,1072749000,1256960000,1048291000,1072888000,1301655000,1384544000,1289741000,1517168000,1790512000,1837890000,2397705000,2465464000,2990637000,3173834000,3390668000
48,Accounts Payable,32200000,45600000,118100000,105500000,132100000,131500000,147792000,135898000,108244000,114459000,178550000,129499000,204793000,164060000,207173000,- -,- -,- -,258316000,163490000,204744000,263665000,182334000,180592000,226405000,302009000,148971000,265124000
49,Short-Term Debt,- -,- -,14400000,57700000,- -,- -,- -,- -,- -,5267000,106460000,12453000,22429000,39568000,105808000,16041000,2630000,90339000,60755000,- -,- -,- -,- -,- -,- -,- -,64509000,372176000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9625000,13094000,19709000,22465000,3991000,- -,4771000,4065000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,39776000,2550000,- -,17481000,18052000,22035000,19250000,11377000,5900000,17194000,- -,- -,- -,- -,- -,- -,- -,42467000,- -
52,Other Current Liabilities,3000000,28300000,- -,41200000,45200000,50400000,54266000,56176000,52937000,- -,- -,65759000,48925000,141418000,156791000,248732000,262774000,400375000,166555000,152448000,178545000,191548000,187420000,234469000,223452000,266351000,143424000,262113000
53,Total Current Liabilities,35200000,73900000,132500000,204400000,177300000,181900000,202058000,192074000,161181000,159502000,287560000,207711000,293628000,363098000,491807000,284023000,276781000,496614000,502820000,315938000,383289000,455213000,369754000,415061000,449857000,568360000,399371000,899413000
54,Long-Term Debt,250400000,227600000,274300000,239900000,185800000,203000000,210130000,248052000,167217000,131636000,14942000,8617000,364405000,460915000,496008000,542180000,498700000,429140000,428079000,422098000,458172000,377317000,303969000,562552000,463930000,850000000,1220123000,869074000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8838000,20603000,33836000,95721000,129260000,105954000,85070000,42467000,42797000
56,Deferred Tax Liabilities,10700000,15700000,22100000,13900000,11700000,17600000,25238000,26920000,13823000,16127000,26109000,31629000,- -,- -,- -,- -,- -,- -,- -,86040000,81383000,60657000,51619000,75791000,31740000,13946000,7701000,73249000
57,Other Non-Current Liabilities,64000000,80400000,36700000,- -,100000,- -,- -,- -,77188000,115643000,37107000,243445000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36148000,29768000,31564000,31117000,29708000
58,Total Non-Current Liabilities,325100000,323700000,333100000,253800000,197600000,220600000,235368000,274972000,258228000,263406000,78158000,283691000,364405000,460915000,496008000,542180000,498700000,429140000,428079000,516976000,560158000,471810000,451309000,803751000,631392000,980580000,1301408000,1014828000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64509000,42568000
61,Total Liabilities,360300000,397600000,465600000,458200000,374900000,402500000,437426000,467046000,419409000,422908000,365718000,491402000,658033000,824013000,987815000,826203000,775481000,925754000,930899000,832914000,943447000,927023000,821063000,1218812000,1081249000,1548940000,1700779000,1914241000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,14000,14000,14000,14000,15000,15000,- -,- -,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,34100000,47400000,62300000,54700000,71600000,85500000,94756000,90789000,63848000,68165000,88054000,113987000,148542000,165408000,179553000,123492000,120716000,127182000,185890000,174842000,282559000,458599000,618178000,709103000,830898000,867602000,885460000,881740000
65,Other Comprehensive Income/Loss,-7800000,-7800000,-14400000,-23000000,-27200000,-35600000,-4675000,-58657000,-57508000,-8110000,-5945000,-711000,-401000,-166000,-1305000,-9790000,-7204000,-7895000,-6369000,-6504000,-6932000,-21205000,-26753000,-6279000,-23366000,-44815000,-52817000,-43713000
66,Other Total Stockholders Equity,85300000,95200000,102000000,90600000,86200000,98300000,56588000,106988000,101683000,51073000,57165000,62768000,198175000,246170000,82262000,108596000,183691000,256719000,273755000,288985000,298162000,425890000,425649000,475790000,576317000,619095000,- -,- -
67,Total Stockholders Equity,111600000,134800000,149900000,122300000,130600000,148200000,146683000,139134000,108037000,111142000,139289000,176059000,219281000,243590000,260527000,213364000,285938000,361573000,431777000,428202000,511390000,732838000,874311000,1018130000,1250101000,1276730000,1293043000,1307748000
68,Total Liabilities And Stockholders Equity,471900000,532400000,615500000,580500000,505500000,550700000,584109000,606180000,527446000,534050000,505007000,667461000,877314000,1067603000,1248342000,1039567000,1061419000,1287327000,1362676000,1261116000,1454837000,1659861000,1695374000,2236942000,2331350000,2825670000,2993822000,3221989000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,4898000,3746000,3746000,- -,5146000,8618000,8724000,11469000,14328000,21868000,28625000,62331000,130651000,142516000,160763000,134114000,164967000,180012000,168679000
70,Total Liabilities & Equity,471900000,532400000,615500000,580500000,505500000,550700000,584109000,606180000,527446000,538948000,508753000,671207000,877314000,1072749000,1256960000,1048291000,1072888000,1301655000,1384544000,1289741000,1517168000,1790512000,1837890000,2397705000,2465464000,2990637000,3173834000,3390668000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923120/000091205700051577/0000912057-00-051577-index.html,https://www.sec.gov/Archives/edgar/data/923120/000091205701541321/a2064448z10-k405.htm,https://www.sec.gov/Archives/edgar/data/923120/000089102002001881/v86118e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000089102003002804/v94760e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000095012404005540/v03221e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000089102005000292/v11935e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000089102006000309/v24489e10vk.htm,https://www.sec.gov/Archives/edgar/data/923120/000095013407023341/0000950134-07-023341-index.html,https://www.sec.gov/Archives/edgar/data/923120/000095013408020098/0000950134-08-020098-index.html,https://www.sec.gov/Archives/edgar/data/923120/000095012309061810/0000950123-09-061810-index.html,https://www.sec.gov/Archives/edgar/data/923120/000095012310103894/0000950123-10-103894-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312511295556/0001193125-11-295556-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312512446993/0001193125-12-446993-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312513420836/0001193125-13-420836-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312514389003/0001193125-14-389003-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312515359814/0001193125-15-359814-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312516746547/0001193125-16-746547-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312517323043/0001193125-17-323043-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312518309099/0001193125-18-309099-index.html,https://www.sec.gov/Archives/edgar/data/923120/000119312519277713/0001193125-19-277713-index.html,https://www.sec.gov/Archives/edgar/data/923120/000156459020048326/0001564590-20-048326-index.htm,https://www.sec.gov/Archives/edgar/data/923120/000156459021052050/0001564590-21-052050-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10700000,16700000,18300000,-4200000,20300000,19500000,14354000,1119000,-26094000,4317000,20778000,29822000,39598000,22010000,19542000,-54060000,4277000,6466000,58708000,-11048000,111919000,192832000,183213000,116067000,151781000,71076000,48967000,32477000
74,Depreciation and Amortization,23000000,23900000,24900000,27900000,14500000,16500000,20356000,22396000,17960000,18066000,20840000,22939000,25253000,32826000,35086000,37669000,37511000,38293000,42371000,41447000,40422000,45156000,63345000,65129000,74356000,83731000,109850000,100717000
75,Deferred Income Tax,1900000,3300000,6400000,-8200000,-2200000,6500000,7604000,1682000,-10291000,2304000,9472000,5807000,5893000,10643000,12919000,-11799000,15052000,2399000,11617000,-9662000,-4687000,-20151000,-8935000,4377000,-40496000,-20225000,-9489000,51100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6302000,11285000,19459000,24037000,26427000,29314000,11153000,8997000,14704000
77,Change in Working Capital,-7000000,-11700000,-38200000,-48500000,36100000,34200000,-31416000,25877000,-30762000,67578000,-108413000,151477000,19797000,-117714000,-63038000,131867000,50137000,-63614000,-47581000,241840000,65167000,41048000,107376000,409862000,-15051000,-62134000,429315000,-258988000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58521000,22430000,-96552000,37763000,-7323000,-23749000,13652000,-32051000,-25272000,-83551000,13022000,135326000,-82117000
79,Inventory,-1900000,-40800000,10300000,-11200000,10100000,-3600000,-39249000,13137000,-3600000,-37554000,-11089000,15403000,-37517000,14260000,-29692000,98751000,-44276000,-116866000,3709000,19045000,-9675000,-143849000,53711000,-2787000,-26592000,-143168000,166607000,-166488000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,64000000,52300000,14100000,-34400000,1700000,35900000,4484000,30361000,-401000,67177000,-41236000,110241000,130038000,12324000,-50714000,81153000,131290000,67676000,20095000,261935000,327102000,368150000,475526000,885388000,870337000,808203000,1237518000,438000
82,Other Non-Cash Items,4600000,-16700000,23500000,51600000,7200000,-38300000,-39187000,-9658000,76460000,-71149000,43268000,-231984000,-50999000,98562000,27609000,16788000,-64416000,-17796000,50941000,-164287000,-88199000,-86011000,-37366000,-341473000,-96563000,-104842000,-315379000,19465000
83,Cash Provided by Operating Activities,33200000,15500000,34900000,18600000,75900000,38400000,-28289000,41416000,27273000,21116000,-14055000,-21939000,39542000,46327000,32118000,120465000,42561000,-34252000,116056000,104592000,135907000,192333000,331670000,280389000,103341000,-21241000,272261000,-40525000
84,CAPEX,-36300000,-53500000,-94900000,-64400000,-50300000,-82200000,-93821000,-73336000,-21402000,-10094000,-42959000,-69123000,-140569000,-137294000,-77644000,-38847000,-38989000,-84302000,-117885000,-60827000,-70227000,-105989000,-139013000,-86065000,-176848000,-198233000,-66879000,-139011000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-4787000,-282000,- -,-3126000,- -,- -,- -,-268184000,-91166000,- -,- -,-2330000,- -,-2240000,-13753000,-34453000,-12855000,-67759000,-61329000,-373271000,-1815000,-26000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11570000,- -,- -,-849000,- -,- -,-927000,-2330000,-506000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000,550000,- -,- -,429000,390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1800000,-14300000,35600000,56500000,123500000,71500000,68478000,64276000,26027000,38248000,16217000,47703000,28953000,119752000,16660000,-23401000,-23633000,-64604000,-88441000,8399000,-16325000,-97078000,-42853000,-45979000,-18890000,-70710000,29298000,-117734000
89,Cash Used for Investing Activites,-38100000,-67800000,-59300000,-7900000,73200000,-10700000,-30130000,-9342000,4625000,25028000,-15172000,-21328000,-111066000,-286575000,-152150000,-22972000,-24170000,-69264000,-88947000,6159000,-30078000,-131531000,-55708000,-113738000,-80219000,-443981000,27483000,-117760000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97687000,-43965000,-321360000,-41004000,-93797000,-201744000,-63119000,-24187000,-8297000,-22269000,-182971000,-30179000,-624754000
91,Common Stock Issued,48300000,- -,- -,- -,1200000,- -,- -,- -,- -,1797000,6093000,130748000,5757000,3489000,4007000,- -,- -,63180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1200000,- -,- -,- -,- -,- -,-246000,-959000,- -,- -,-1277000,-127538000,-4636000,- -,- -,- -,- -,- -,- -,- -,-33583000,-69950000,-33498000,- -,- -,- -,- -,-20000000
93,Dividends Paid,- -,-3400000,-3400000,-3400000,-3400000,-5600000,-5132000,-5086000,-847000,- -,-889000,-3889000,-5042000,-5144000,-5261000,-2001000,- -,- -,- -,- -,-9199000,-36866000,-118395000,-53401000,-102947000,-50072000,-74142000,-60955000
94,Other Financing Activites,6000000,15800000,23500000,1000000,-119400000,13100000,-545000,38362000,-46821000,-31018000,-39888000,103498000,146415000,117438000,104732000,75141000,48541000,316171000,12210000,28065000,226965000,107111000,-45835000,271335000,35949000,509944000,320776000,682967000
95,Cash Used/Provided by Financing Activities,53100000,12400000,20100000,-2400000,-121600000,7500000,-5923000,32317000,-47668000,-29221000,-35961000,102819000,142494000,115783000,103478000,-24547000,4576000,57991000,-28794000,-65732000,-17561000,-62824000,-221915000,209637000,-89267000,276901000,216455000,-22742000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1542000,-1280000,2379000,1703000,-2716000,-290000,-3117000,5034000,-1155000,-787000,-9964000,-4298000,12499000,-14666000,-12666000,-12599000,10336000
97,Net Change In Cash,- -,- -,- -,- -,- -,35300000,-64342000,64391000,-15770000,16923000,-65188000,61094000,69690000,-122086000,-14851000,70230000,22677000,-48642000,3349000,43864000,87481000,-11986000,49749000,388787000,-80811000,-200987000,503600000,-170691000
98,Cash at the End of Period,- -,- -,- -,- -,- -,77200000,12819000,77299000,58777000,75700000,12110000,73204000,142894000,20808000,5957000,76187000,98864000,50222000,53571000,97435000,184916000,172930000,222679000,611466000,530655000,338487000,842087000,671396000
99,Cash at the Beginning of Period,2100000,50200000,10400000,6100000,14400000,41900000,77161000,12908000,74547000,58777000,77298000,12110000,73204000,142894000,20808000,5957000,76187000,98864000,50222000,53571000,97435000,184916000,172930000,222679000,611466000,539474000,338487000,842087000
