,https://roic.ai/company/NFG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,470000000,456100000,506900000,500200000,660700000,544700000,571431000,803743000,662147000,706774000,671849000,657518000,768022000,624987000,679079000,648429000,661620000,708948000,763215000,82431000,90711000,89564000,81714000,84995000,84393000,88886000,88400000,94713000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,967700000,807200000,984300000,1028800000,1140000000,1006400000,1129941000,1904516000,1175639000,1731370000,1687023000,1617345000,2035584000,1643068000,1914236000,1650211000,1320052000,1337680000,1178804000,1311713000,1543408000,1245709000,920627000,1027036000,1105582000,1181523000,1066995000,1077649000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5776000,3729000,2916000,3689000,4335000,4170000,3922000,4235000,4113000,6766000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86916000,93946000,78121000,86240000,94111000,94277000,99471000,121044000,119837000,114522000,106756000,117077000,146357000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335303000
15,EBITDA,46900000,43400000,35900000,42600000,52400000,52000000,49000000,60300000,75200000,133400000,119800000,171000000,183400000,47200000,179800000,204275000,102605000,189716000,307105000,259323000,282466000,214177000,469268000,436650000,238744000,457086000,500904000,456871000,526870000,583304000,-599092000,-402463000,564001000,498549000,496267000,12044000,959989000
16,EBITDA ratio,0.0483,0.0479,0.0487,0.0554,0.0612,0.0583,0.0566,0.0656,0.0737,0.1169,0.1228,0.1416,0.1449,0.0378,0.1423,0.1433,0.0489,0.1295,0.1509,0.1277,0.1468,0.0927,0.2301,0.1819,0.1160,0.2596,0.2816,0.2808,0.2880,0.2760,-0.3402,-0.2771,0.3570,0.3130,0.2931,0.0078,0.5509
17,Operating Income,970600000,905800000,737200000,768900000,855800000,892000000,865100000,919800000,1020400000,173600000,168300000,223700000,237000000,108000000,256900000,295336000,195836000,288857000,304101000,344370000,306204000,276075000,396498000,486125000,224830000,440451000,441162000,448049000,517838000,569673000,-611053000,-416518000,552845000,487086000,511809000,29858000,639924000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1521,0.1725,0.1852,0.1872,0.0865,0.2034,0.2072,0.0932,0.1972,0.1494,0.1695,0.1592,0.1194,0.1944,0.2025,0.1093,0.2502,0.2480,0.2754,0.2830,0.2696,-0.3470,-0.2868,0.3499,0.3058,0.3022,0.0193,0.3672
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-43400000,-48500000,-52700000,-53600000,-51700000,-77100000,-91061000,-93231000,-99141000,11896000,-85047000,-59711000,-61898000,-63010000,-49475000,-73002000,-84091000,-18379000,-77418000,-85079000,-80646000,-87510000,-106989000,-108681000,-103059000,-122298000,-134891000,-161595000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,130200000,119800000,171000000,183400000,56300000,179800000,204275000,102605000,189716000,315997000,259323000,246493000,214177000,333488000,436650000,151828000,356360000,422783000,370631000,432759000,489027000,-698563000,-523507000,444164000,384027000,389511000,-105033000,478329000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1141,0.1228,0.1416,0.1449,0.0451,0.1423,0.1433,0.0489,0.1295,0.1552,0.1277,0.1281,0.0927,0.1635,0.1819,0.0738,0.2024,0.2377,0.2278,0.2365,0.2314,-0.3967,-0.3604,0.2811,0.2411,0.2300,-0.0679,0.2745
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,47800000,43900000,66300000,68700000,24000000,64800000,77068000,37106000,72034000,128161000,92737000,92978000,76086000,131813000,167922000,51120000,137227000,164381000,150554000,172758000,189614000,-319136000,-232549000,160682000,-7494000,85221000,18739000,114682000
23,Net Income,46900000,43400000,35900000,42600000,52400000,52000000,49000000,60300000,75200000,85600000,75900000,104700000,114700000,23200000,115000000,127207000,65499000,117682000,178944000,166586000,189488000,138091000,337455000,268728000,100708000,225913000,258402000,220077000,260001000,299413000,-379427000,-290958000,283482000,391521000,304290000,-123772000,363647000
24,Net Income ratio,0.0483,0.0479,0.0487,0.0554,0.0612,0.0583,0.0566,0.0656,0.0737,0.0750,0.0778,0.0867,0.0906,0.0186,0.0910,0.0893,0.0312,0.0804,0.0879,0.0820,0.0985,0.0597,0.1655,0.1120,0.0489,0.1283,0.1453,0.1353,0.1421,0.1417,-0.2155,-0.2003,0.1794,0.2458,0.1797,-0.0800,0.2087
25,EPS,0.95,0.88,0.74,0.82,0.96,0.92,0.81,0.97,1.07,1.21,1.01,1.39,1.50,0.30,1.49,1.63,0.83,1.47,2.21,2.03,2.27,1.64,4.06,3.27,1.26,2.78,3.13,2.65,3.11,3.57,-4.50,-3.43,3.32,4.56,3.53,-1.41,3.99
26,EPS Diluted,0.95,0.88,0.74,0.82,0.96,0.92,0.81,0.97,1.07,1.20,1.01,1.39,1.50,0.30,1.48,1.60,0.82,1.46,2.20,2.01,2.23,1.61,3.96,3.18,1.25,2.73,3.09,2.63,3.08,3.52,-4.50,-3.43,3.30,4.53,3.51,-1.41,3.97
27,Weighted Average Shares Outstanding,47052632,47657143,48187919,51636364,54300518,56830601,60122699,62164948,69953488,71037344,74793750,75226610,76167028,76632794,77327962,78233842,79053444,79821430,80808794,82045535,83541627,84030118,83141640,82304335,79649965,81380434,82514015,83127844,83518857,83929989,84387755,84847993,85364929,85830597,86235550,87968895,91130941
28,Weighted Average Shares Outstanding Diluted,47052632,47657143,48187919,51636364,54300518,56830601,60122699,62164948,69953488,71333333,74793750,75226610,76167028,77407052,78083456,79166200,80361258,80534453,81357896,82900438,85029131,86028466,85301361,84474839,80628685,82660598,83670802,83739771,84341220,84952347,84387755,84847993,86021386,86439698,86773259,87968895,91684583
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70145/000007014594000086/0000070145-94-000086-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014595000086/0000070145-95-000086-index.html,- -,https://www.sec.gov/Archives/edgar/data/70145/000007014597000072/0000070145-97-000072-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014598000104/0000070145-98-000104-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014599000100/0000070145-99-000100-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014500000049/0000070145-00-000049-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014501500105/0000070145-01-500105-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70145/000095015205009904/0000950152-05-009904-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095015206009990/0000950152-06-009990-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095015207009346/0000950152-07-009346-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095015208009791/0000950152-08-009791-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095012309066226/0000950123-09-066226-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095012310108604/0000950123-10-108604-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000119312511321222/0001193125-11-321222-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000119312512478803/0001193125-12-478803-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000119312513451068/0001193125-13-451068-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014514000095/0000070145-14-000095-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014515000066/0000070145-15-000066-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014516000173/0000070145-16-000173-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014517000054/0000070145-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014518000022/0000070145-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014519000030/0000070145-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014520000032/0000070145-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014521000030/0000070145-21-000030-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,12800000,19300000,14000000,30400000,29200000,32125000,36227000,22216000,51421000,66153000,57607000,69611000,186770000,68239000,408053000,395171000,80428000,74494000,64858000,36886000,113596000,129972000,555530000,229606000,20428000,20541000,31528000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,12800000,19300000,14000000,30400000,29200000,32125000,36227000,22216000,51421000,66153000,57607000,69611000,186770000,68239000,408053000,395171000,80428000,74494000,64858000,36886000,113596000,129972000,555530000,229606000,20428000,20541000,31528000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,113300000,96700000,117500000,127800000,97700000,124000000,149232000,157101000,117428000,163975000,148399000,175529000,169792000,193062000,209761000,163350000,153056000,149169000,135470000,157062000,183609000,125750000,167302000,144955000,196959000,209681000,164713000,223796000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,58500000,50000000,56200000,49000000,56300000,64500000,80940000,116941000,108832000,121951000,112433000,97796000,96154000,101864000,118611000,80382000,73571000,82257000,78372000,93796000,67239000,64666000,70638000,74238000,77840000,79595000,85215000,120357000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,29700000,28000000,17900000,26100000,39600000,61974000,43633000,57592000,73615000,46315000,241844000,183896000,72442000,102867000,125185000,153579000,73458000,67240000,132961000,89598000,208989000,45119000,43557000,40186000,52919000,43729000,146768000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,220900000,189200000,221000000,208700000,210500000,257300000,324271000,353902000,306068000,410962000,373300000,572776000,519453000,554138000,499478000,776970000,775377000,385312000,355576000,448677000,377332000,513001000,413031000,818280000,544591000,362623000,314198000,522449000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1542700000,1649200000,1709600000,1819400000,2248100000,2353900000,2683391000,2780713000,2844745000,2999087000,3006764000,2839300000,2877726000,2878405000,3154100000,3132045000,3450229000,4000524000,4739803000,5151726000,5743091000,5331895000,4454482000,4674074000,4977143000,5509510000,5998067000,6384283000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21536000,1677000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8255000,55140000,51470000,47778000,36974000,34312000,31650000,27012000,7153000,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000,5476000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94760000,92667000,80671000,86774000,96308000,86788000,92990000,110664000,125265000,132545000,144917000,154502000,149632000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138435000,149712000,144377000,150941000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,218100000,199900000,219200000,239200000,225900000,231400000,229226000,310951000,242241000,262726000,280264000,262798000,300178000,421557000,444959000,599907000,630487000,668382000,596572000,516160000,526910000,758777000,652734000,480225000,376731000,439631000,492692000,402985000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1760800000,1849100000,1928800000,2058600000,2474000000,2585300000,2912617000,3091664000,3095241000,3316953000,3338498000,3149876000,3214878000,3334274000,3630709000,3992159000,4330248000,4899430000,5579566000,5769670000,6362265000,6189138000,5223356000,5285040000,5491895000,6099534000,6650737000,6942376000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1981700000,2038300000,2149800000,2267300000,2684500000,2842600000,3236888000,3445566000,3401309000,3727915000,3711798000,3722652000,3734331000,3888412000,4130187000,4769129000,5105625000,5284742000,5935142000,6218347000,6739597000,6702139000,5636387000,6103320000,6036486000,6462157000,6964935000,7464825000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,66700000,53800000,64600000,74100000,59900000,82700000,88970000,118505000,100886000,125779000,115979000,155485000,133034000,109757000,142520000,196501000,183332000,142228000,107949000,105283000,136674000,180388000,108056000,126443000,160031000,132208000,134126000,171655000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,208500000,236100000,199700000,195800000,543200000,463100000,630764000,599108000,425950000,359931000,171060000,9393000,22925000,200024000,100000000,2148000,200000000,190000000,421000000,- -,85600000,- -,- -,300000000,- -,55200000,30000000,158500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36964000,41997000,38142000,34766000,32726000,30781000,36073000,39312000,29254000,32518000,36515000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,103200000,87100000,94300000,86300000,93300000,94544000,145857000,152722000,71471000,189417000,295079000,134386000,129565000,132051000,119858000,140992000,159426000,163533000,158746000,233536000,233026000,164900000,183523000,240717000,205246000,262929000,869463000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,375200000,393100000,351400000,364200000,689400000,639100000,814278000,863470000,679558000,557181000,476456000,459957000,290345000,439346000,374571000,318507000,524324000,528618000,734479000,302171000,490576000,446140000,303737000,646039000,440060000,421908000,459573000,1236133000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,462500000,474000000,574000000,581600000,692700000,822700000,953622000,1046694000,1145341000,1147779000,1133317000,1119012000,1095675000,799000000,999000000,1249000000,1049000000,899000000,1149000000,1649000000,1649000000,2084009000,2086252000,2083681000,2131365000,2133718000,2629576000,2628687000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,287700000,302200000,293900000,300600000,269600000,286000000,336945000,350158000,365117000,431481000,465593000,496516000,550596000,580748000,639063000,667865000,804046000,957970000,1065757000,1347007000,1456283000,1275162000,823795000,891287000,512686000,653382000,696054000,660420000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,68400000,74500000,107200000,142700000,155500000,144633000,165448000,204442000,454040000,382690000,417572000,354229000,439252000,513937000,944521000,982284000,1007269000,1025811000,725440000,733055000,871388000,895599000,778578000,1015045000,1114124000,1207746000,1153379000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,826200000,844600000,942400000,989400000,1105000000,1264200000,1435200000,1562300000,1714900000,2033300000,1981600000,2033100000,2000500000,1819000000,2152000000,2861386000,2835330000,2864239000,3240568000,3721447000,3838338000,4230559000,3805646000,3753546000,3659096000,3901224000,4533376000,4442486000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4066212000,- -,- -,4304017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1201400000,1237700000,1293800000,1353600000,1768900000,1875700000,2226420000,2420587000,2365666000,2557244000,2421049000,2493069000,2290769000,2258293000,2526588000,3179893000,3359654000,3392857000,3975047000,4023618000,4328914000,4676699000,4109383000,4399585000,4099156000,4323132000,4992949000,5678619000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,37300000,37400000,37900000,38200000,38500000,38800000,39330000,79406000,80265000,81438000,82990000,84357000,83403000,83461000,79121000,80500000,82075000,82813000,83330000,83662000,84157000,84594000,85119000,85543000,85957000,86315000,90955000,91182000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,363900000,380100000,422900000,472600000,428100000,472500000,525847000,513488000,549397000,642690000,718926000,813020000,786013000,983776000,953799000,948293000,1063262000,1206022000,1306284000,1442617000,1614361000,1103200000,676361000,851669000,1098900000,1272601000,991630000,1191175000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-623500000,-673200000,-761500000,-849100000,-938700000,-1029600000,-1146246000,-1493003000,-1667906000,-1658256000,-1596015000,-198000000,30000000,-6000000,3000000,-42000000,-45000000,-48000000,-99000000,-19000000,-4000000,93000000,-6000000,-30000000,-68000000,-52000000,-115000000,-513597000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1002600000,1056300000,1156700000,1252000000,1362200000,1457600000,1568506000,1902764000,2045102000,2071518000,2047800000,530206000,544146000,568882000,567679000,602443000,645634000,651050000,669481000,687450000,716165000,744646000,771524000,796523000,820473000,832109000,1004401000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,780300000,800600000,856000000,913700000,890100000,939300000,987437000,1002655000,1006858000,1137390000,1253701000,1229583000,1443562000,1630119000,1603599000,1589236000,1745971000,1891885000,1960095000,2194729000,2410683000,2025440000,1527004000,1703735000,1937330000,2139025000,1971986000,1786206000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1981700000,2038300000,2149800000,2267300000,2659000000,2815000000,3213857000,3423242000,3372524000,3694634000,3674750000,3722652000,3734331000,3888412000,4130187000,4769129000,5105625000,5284742000,5935142000,6218347000,6739597000,6702139000,5636387000,6103320000,6036486000,6462157000,6964935000,7464825000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,27600000,23031000,22324000,28785000,33281000,37048000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1981700000,2038300000,2149800000,2267300000,2684500000,2842600000,3236888000,3445566000,3401309000,3727915000,3711798000,3722652000,3734331000,3888412000,4130187000,4769129000,5105625000,5284742000,5935142000,6218347000,6739597000,6702139000,5636387000,6103320000,6036486000,6462157000,6964935000,7464825000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/70145/000007014594000086/0000070145-94-000086-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014595000086/0000070145-95-000086-index.html,- -,https://www.sec.gov/Archives/edgar/data/70145/000007014597000072/0000070145-97-000072-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014598000104/0000070145-98-000104-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014599000100/0000070145-99-000100-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014500000049/0000070145-00-000049-index.html,https://www.sec.gov/Archives/edgar/data/70145/000007014501500105/0000070145-01-500105-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70145/000095015205009904/0000950152-05-009904-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095015206009990/0000950152-06-009990-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095015207009346/0000950152-07-009346-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095015208009791/0000950152-08-009791-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095012309066226/0000950123-09-066226-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000095012310108604/0000950123-10-108604-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000119312511321222/0001193125-11-321222-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000119312512478803/0001193125-12-478803-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000119312513451068/0001193125-13-451068-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014514000095/0000070145-14-000095-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014515000066/0000070145-15-000066-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014516000173/0000070145-16-000173-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014517000054/0000070145-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014518000022/0000070145-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014519000030/0000070145-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014520000032/0000070145-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/70145/000007014521000030/0000070145-21-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,85600000,75900000,104700000,114700000,23200000,115000000,127207000,65499000,117682000,178944000,166586000,189488000,138091000,337455000,268728000,100708000,225913000,258402000,220077000,260001000,299413000,-379427000,-290958000,283482000,391521000,304290000,-123772000,363647000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,8500000,3900000,3800000,-26200000,14000000,41858000,-55849000,62013000,78369000,40329000,40388000,-5230000,52847000,72496000,-2521000,134679000,164251000,144150000,167887000,142415000,-357587000,-246794000,117975000,-18153000,122265000,54313000,105993000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12446000,11763000,3208000,5755000,12262000,15762000,21186000,14931000,17065000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,31500000,-49600000,73500000,-25100000,-323400000,97100000,-108207000,-19561000,136078000,227271000,43063000,215975000,116289000,-114316000,10115000,333556000,-207410000,-394359000,-235597000,525409000,-259750000,180105000,42433000,62947000,-67710000,-163816000,-86090000,-82152000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
