,https://roic.ai/company/IOSP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.1514,0.0824,0.0433,0.0134,0.1181,0.1169,0.0125,-0.2190,0.0214,0.0490,0.0195,0.0107,0.1079,0.0631,0.0862,0.0950,0.0875,0.1180,0.0920,0.0473,0.0576,0.0741,0.0241,0.0628
25,EPS,2.42,1.54,0.73,0.23,2.21,2.17,0.25,-5.00,0.47,1.23,0.53,0.27,3.10,2.07,2.95,3.29,3.45,4.96,3.39,2.56,3.48,4.58,1.17,3.78
26,EPS Diluted,2.42,1.52,0.70,0.22,2.08,2.06,0.24,-5.00,0.45,1.19,0.51,0.26,2.97,1.99,2.86,3.22,3.38,4.86,3.33,2.52,3.45,4.54,1.16,3.75
27,Weighted Average Shares Outstanding,29028000,27654000,25162000,23528000,23634000,23850000,24690000,24736000,24142000,23920000,23595000,23642000,23756000,24520000,23187000,23651000,24391000,24107000,23998000,24148000,24401000,24482000,24563000,24647000
28,Weighted Average Shares Outstanding Diluted,29415042,27958000,26000000,25002000,25114000,25108000,25978000,24736000,25340000,24838000,24391000,24714000,24814000,24572864,23850000,24156000,24878000,24612000,24442000,24486000,24603000,24728000,24779000,24854000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1054905/000095010999001054/0000950109-99-001054-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000095010900001144/0000950109-00-001144-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000095010901000766/0000950109-01-000766-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000102140802004068/0001021408-02-004068-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000102140803005236/0001021408-03-005236-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312504041384/0001193125-04-041384-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312505066950/0001193125-05-066950-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312506056797/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312507056290/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312508037222/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312509033826/0001193125-09-033826-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312510034634/0001193125-10-034634-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312511039677/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312512067402/0001193125-12-067402-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312513055257/0001193125-13-055257-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312514050831/d637782d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000156459015000732/d832020d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312516466575/0001193125-16-466575-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312517045109/0001193125-17-045109-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312518047390/0001193125-18-047390-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312519044946/0001193125-19-044946-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312520041516/0001193125-20-041516-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312521046094/0001193125-21-046094-index.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312522044144/0001193125-22-044144-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26500000,37200000,37700000,43000000,26700000,46100000,33300000,68900000,101900000,24300000,13900000,68600000,107100000,76200000,22400000,80200000,41600000,136900000,101900000,90200000,123100000,75700000,105300000,141800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,4800000,5100000,6600000,4700000,4800000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26500000,37200000,37700000,43000000,26700000,46100000,33300000,68900000,101900000,24300000,13900000,68600000,111300000,81000000,27500000,86800000,46300000,141700000,101900000,90200000,123100000,75700000,105300000,141800000
34,Net Receivables,120600000,150500000,92200000,137300000,83900000,71700000,84400000,64800000,78300000,94200000,89900000,89800000,84200000,99400000,115700000,135800000,164300000,137400000,154400000,244500000,279700000,292000000,221400000,284500000
35,Inventory,88900000,64300000,55500000,55000000,55700000,56500000,76900000,96500000,120000000,132600000,138300000,120600000,122300000,135900000,138300000,158900000,184900000,159900000,173800000,209800000,248000000,244600000,220000000,277600000
36,Other Current Assets,4900000,3800000,3100000,3000000,5500000,4600000,5000000,9600000,5100000,5000000,14500000,3900000,4100000,4000000,15100000,25900000,18700000,19700000,11000000,17000000,13100000,18000000,19500000,24200000
37,Total Current Assets,240900000,255800000,188500000,238300000,171800000,178900000,199600000,239800000,305300000,256100000,256600000,282900000,321900000,320300000,296600000,407400000,414200000,458700000,441100000,561500000,663900000,630300000,566200000,728100000
38,PP&E,116100000,104500000,83400000,66900000,56800000,48700000,71800000,67300000,66500000,66200000,53500000,50600000,48700000,45900000,49800000,60400000,80800000,76000000,157400000,196000000,196400000,231100000,250900000,249800000
39,Goodwill,- -,- -,- -,- -,352800000,- -,- -,- -,163800000,151800000,148200000,146000000,143600000,141500000,149000000,187900000,276100000,267400000,374800000,361800000,364900000,363000000,371200000,364300000
40,Intangible Assets,360500000,401900000,340200000,392200000,50900000,389700000,380800000,243400000,30200000,41900000,28300000,23700000,19000000,17700000,68600000,126800000,181100000,168700000,144400000,163300000,136300000,113500000,75300000,57500000
41,Intangible Assets,360500000,401900000,340200000,392200000,403700000,389700000,380800000,243400000,194000000,193700000,176500000,169700000,162600000,159200000,217600000,314700000,457200000,436100000,519200000,525100000,501200000,476500000,446500000,421800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1600000,- -,7200000,36900000,12700000,19700000,12700000,8600000,700000,1400000,14900000,6500000,8800000,9100000,7600000,6400000
44,Other Non-Current Assets,89200000,87300000,88700000,91300000,115500000,124300000,138400000,124800000,1600000,35100000,500000,3000000,2400000,23700000,2700000,3600000,47000000,57800000,48800000,121100000,103100000,121800000,126200000,164800000
45,Total Non-Current Assets,565800000,593700000,512300000,550400000,576000000,562700000,591000000,435500000,263700000,295000000,237700000,260200000,226400000,248500000,282800000,387300000,585700000,571300000,740300000,848700000,809500000,838500000,831200000,842800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,806700000,849500000,700800000,788700000,747800000,741600000,790600000,675300000,569000000,551100000,494300000,543100000,548300000,568800000,579400000,794700000,999900000,1030000000,1181400000,1410200000,1473400000,1468800000,1397400000,1570900000
48,Accounts Payable,78600000,78500000,63900000,76200000,65200000,53000000,49700000,54500000,50000000,50900000,55400000,50200000,45900000,53300000,57300000,63300000,87600000,52200000,59600000,117900000,126800000,122000000,98700000,148700000
49,Short-Term Debt,71000000,80000000,43100000,87100000,58800000,1700000,30200000,14500000,15100000,20000000,73000000,15000000,15000000,5000000,5000000,5300000,900000,700000,11900000,18500000,23200000,11600000,11800000,12500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,6100000,2000000,3200000,- -,5600000,7900000,9400000,15800000,8600000,10300000,5500000,3700000
51,Deferred Revenue,- -,- -,- -,- -,- -,2400000,- -,2000000,2000000,100000,100000,100000,100000,1400000,1400000,300000,200000,200000,100000,100000,- -,- -,- -,- -
52,Other Current Liabilities,55600000,48300000,24300000,92000000,63600000,55700000,89500000,69500000,75800000,89700000,59600000,114600000,97900000,86300000,83600000,86700000,134200000,153000000,111500000,125100000,146600000,169900000,141900000,175400000
53,Total Current Liabilities,205200000,206800000,131300000,255300000,187600000,112800000,169400000,140500000,142900000,160700000,188100000,179900000,158900000,146000000,147300000,155600000,222900000,206100000,183100000,261600000,296600000,303500000,252400000,336600000
54,Long-Term Debt,229800000,233300000,180000000,145900000,102400000,102900000,94100000,130100000,133000000,61000000,- -,41000000,32000000,30000000,25000000,142700000,139000000,133000000,258500000,202600000,186200000,58600000,29000000,23100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,800000,900000,900000,900000,1200000,900000,600000,500000,500000,- -,- -,- -,- -
56,Deferred Tax Liabilities,21600000,35800000,40900000,40300000,41700000,38600000,44400000,41900000,22200000,8100000,- -,- -,6400000,2900000,3600000,9500000,23000000,37700000,32300000,45000000,48200000,49600000,46900000,60800000
57,Other Non-Current Liabilities,49000000,57300000,48500000,50900000,49000000,50500000,36700000,48100000,45800000,49800000,76100000,163800000,49400000,45900000,85600000,76300000,98200000,47300000,53200000,106200000,116900000,138200000,124200000,117400000
58,Total Non-Current Liabilities,300400000,326400000,269400000,237100000,193100000,192000000,175200000,220100000,201000000,118900000,76900000,205600000,88700000,79700000,115100000,229700000,261100000,218600000,344500000,354300000,351300000,246400000,200100000,201300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,2200000,3100000,4500000,5900000,3300000,34000000,40800000,35600000
61,Total Liabilities,505600000,533200000,400700000,492400000,380700000,304800000,344600000,360600000,343900000,279600000,265000000,385500000,247600000,225700000,262400000,385300000,484000000,424700000,527600000,615900000,647900000,549900000,452500000,537900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,100000,100000,100000,100000,100000,100000,100000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
64,Retained Earnings,39900000,82500000,100800000,106400000,157900000,209100000,213800000,88400000,97900000,121500000,131600000,136800000,210500000,259400000,281000000,327500000,391800000,496400000,561800000,605000000,668300000,755500000,758600000,822900000
65,Other Comprehensive Income/Loss,-30900000,-39400000,-29000000,-9600000,-37700000,-23400000,-13400000,-18300000,-110000000,-72700000,-120200000,-201100000,-131600000,-120000000,-171400000,-153900000,-106300000,-110900000,-126200000,-38500000,-75700000,-74400000,-57300000,-46900000
66,Other Total Stockholders Equity,292100000,273100000,228200000,199400000,242200000,244400000,245300000,244200000,237000000,222400000,217600000,221600000,221500000,203400000,207100000,235500000,230100000,219200000,217600000,227100000,232100000,237100000,242800000,- -
67,Total Stockholders Equity,301100000,316300000,300100000,296300000,362500000,430200000,445800000,314400000,225000000,271500000,229300000,157600000,300700000,343100000,317000000,409400000,515900000,605000000,653500000,793900000,825000000,918500000,944400000,1032400000
68,Total Liabilities And Stockholders Equity,806700000,849500000,700800000,788700000,743200000,735000000,790400000,675000000,568900000,551100000,494300000,543100000,548300000,568800000,579400000,794700000,999900000,1029700000,1181100000,1409800000,1472900000,1468400000,1396900000,1570300000
69,Minority Interest,- -,- -,- -,- -,4600000,6600000,200000,300000,100000,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,400000,500000,400000,500000,600000
70,Total Liabilities & Equity,806700000,849500000,700800000,788700000,747800000,741600000,790600000,675300000,569000000,551100000,494300000,543100000,548300000,568800000,579400000,794700000,999900000,1030000000,1181400000,1410200000,1473400000,1468800000,1397400000,1570900000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1054905/000095010999001054/0000950109-99-001054-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000095010900001144/0000950109-00-001144-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000095010901000766/0000950109-01-000766-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000102140802004068/0001021408-02-004068-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000102140803005236/0001021408-03-005236-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312504041384/0001193125-04-041384-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312505066950/0001193125-05-066950-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312506056797/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312507056290/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312508037222/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312509033826/0001193125-09-033826-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312510034634/0001193125-10-034634-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312511039677/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312512067402/0001193125-12-067402-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312513055257/0001193125-13-055257-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312514050831/d637782d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000156459015000732/d832020d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312516466575/0001193125-16-466575-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312517045109/0001193125-17-045109-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312518047390/0001193125-18-047390-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312519044946/0001193125-19-044946-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312520041516/0001193125-20-041516-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312521046094/0001193125-21-046094-index.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312522044144/0001193125-22-044144-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,70400000,42600000,18300000,5600000,52100000,51800000,6200000,-123700000,11400000,29500000,12500000,6400000,73700000,48900000,66900000,77800000,84100000,119500000,81300000,61800000,85000000,112200000,28700000,93100000
74,Depreciation and Amortization,59700000,68400000,80200000,87200000,32400000,25800000,24400000,28700000,27400000,31300000,23000000,18400000,15400000,14400000,11500000,20400000,29100000,35200000,38100000,50400000,49600000,47600000,46000000,42700000
75,Deferred Income Tax,1500000,14500000,5200000,-800000,1600000,5000000,-800000,-5000000,-2000000,-4600000,-1100000,-2400000,-15000000,-4000000,12600000,5800000,5800000,12000000,900000,-6700000,5500000,-800000,-2500000,6400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,1500000,800000,3100000,3100000,2500000,2600000,3700000,3300000,4100000,4900000,6600000,5800000,4400000
77,Change in Working Capital,107600000,13300000,8200000,-74200000,1200000,81900000,-35900000,69100000,63100000,-67000000,-26900000,34500000,60000000,11300000,-25000000,102500000,-60500000,61300000,5400000,41900000,67400000,-40500000,-13000000,-48100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,1700000,4600000,-15300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-5700000,31600000,4700000,4300000,3500000,2200000,-11300000,-20300000,-21000000,-12000000,-8600000,18900000,-2300000,-14300000,-1000000,-10100000,-11100000,5500000,7700000,-30800000,-42200000,2400000,25500000,-62000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5500000,-4400000,500000,-24500000,-3400000,48600000,38400000,23200000,-45900000,90200000
81,Other Working Capital,35700000,49000000,57200000,-17000000,-15800000,66100000,30200000,99300000,162400000,95400000,68500000,103000000,163000000,174300000,149300000,251800000,191300000,252600000,258000000,299900000,367300000,326800000,313800000,700000
82,Other Non-Cash Items,-900000,-30100000,22100000,72200000,12700000,-79300000,68500000,74700000,-63500000,58700000,2800000,29000000,-76700000,-39000000,-7800000,-147700000,45200000,-114000000,-24500000,-68800000,-107500000,36500000,80900000,-5300000
83,Cash Provided by Operating Activities,238300000,108700000,134000000,90000000,100000000,85200000,62400000,43800000,36400000,47900000,14400000,87400000,58200000,34700000,61300000,61300000,106300000,117700000,104500000,82700000,104900000,161600000,145900000,93200000
84,CAPEX,-49900000,-8400000,-6600000,-8400000,-11400000,-7800000,-9600000,-8300000,-7600000,-40600000,-9100000,-7200000,-8800000,-10100000,-17300000,-20500000,-21900000,-26200000,-16500000,-32200000,-30100000,-31000000,-29700000,-39100000
85,Acquisitions Net,- -,- -,- -,-59100000,-5800000,-6000000,-80200000,-22300000,- -,- -,- -,- -,- -,- -,-53100000,-94400000,-98700000,41500000,-197400000,2600000,-5400000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7500000,-5000000,-5000000,-7000000,-5000000,-6700000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,2600000,- -,- -,- -,3300000,4400000,4900000,5700000,6600000,6400000,4800000,- -,- -,- -,- -,- -
88,Other Investing Activites,1000000,5400000,-4100000,-10500000,-34600000,-5600000,400000,2800000,9600000,- -,-7800000,-7200000,-8600000,-10100000,-17100000,-20400000,-21900000,-26200000,-16500000,-32200000,-30100000,-31000000,-29700000,-36200000
89,Cash Used for Investing Activites,-48900000,-3000000,-10700000,-78000000,-51800000,-19400000,-89400000,-27800000,4600000,-40600000,-7800000,-7200000,-12800000,-10700000,-70300000,-116100000,-119000000,15000000,-209100000,-29600000,-35500000,-31000000,-29700000,-36200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-75700000,-10000000,-40000000,- -,-23200000,-57700000,-12400000,-21100000,-63500000,-24200000,-255700000,-76100000,-600000
91,Common Stock Issued,- -,- -,- -,1000000,200000,2900000,5500000,1400000,3000000,4100000,1900000,200000,200000,700000,1200000,3800000,400000,1000000,2100000,6800000,1100000,1200000,2200000,10100000
92,Common Stock Repurchased,-13200000,-5700000,-13600000,-4000000,-200000,-1200000,-4500000,-2500000,-15600000,-20000000,-10500000,- -,-2700000,-28100000,-1400000,-3700000,-6900000,-15300000,-8400000,-1100000,-1400000,-2400000,-2100000,-800000
93,Dividends Paid,- -,- -,- -,- -,-600000,-600000,-1500000,-1700000,-1900000,-2200000,-2500000,-1200000,- -,- -,-46700000,-12000000,-13400000,-14900000,-15900000,-18600000,-21700000,-25000000,-25600000,-28800000
94,Other Financing Activites,-182900000,-75100000,-101300000,2400000,-73400000,-54300000,8800000,18300000,7100000,-67000000,14100000,50100000,6000000,12400000,2200000,147900000,53300000,5300000,113800000,10000000,10000000,104000000,14800000,100000
95,Cash Used/Provided by Financing Activities,-196100000,-80800000,-114900000,-600000,-74000000,-53200000,8300000,15500000,-7400000,-85100000,-17000000,-26600000,-6500000,-55000000,-44700000,112800000,-24300000,-36300000,70500000,-66400000,-36200000,-177900000,-86800000,-20000000
96,Effect of Forex Changes on Cash,3500000,-14200000,-7900000,-6100000,5500000,6800000,5900000,4100000,-600000,200000,- -,1100000,-400000,100000,-100000,-200000,-1600000,-1100000,-900000,1600000,-300000,-100000,200000,-500000
97,Net Change In Cash,-3200000,10700000,500000,5300000,-20300000,19400000,-12800000,35600000,33000000,-77600000,-10400000,54700000,38500000,-30900000,-53800000,57800000,-38600000,95300000,-35000000,-11700000,32900000,-47400000,29600000,36500000
98,Cash at the End of Period,26500000,37200000,37700000,43000000,22700000,46100000,33300000,68900000,101900000,24300000,13900000,68600000,107100000,76200000,22400000,80200000,41600000,136900000,101900000,90200000,123100000,75700000,105300000,141800000
99,Cash at the Beginning of Period,29700000,26500000,37200000,37700000,43000000,26700000,46100000,33300000,68900000,101900000,24300000,13900000,68600000,107100000,76200000,22400000,80200000,41600000,136900000,101900000,90200000,123100000,75700000,105300000
100,Free Cash Flow,188400000,100300000,127400000,81600000,88600000,77400000,52800000,35500000,28800000,7300000,5300000,80200000,49400000,24600000,44000000,40800000,84400000,91500000,88000000,50500000,74800000,130600000,116200000,54100000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1054905/000095010999001054/0000950109-99-001054-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000095010900001144/0000950109-00-001144-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000095010901000766/0000950109-01-000766-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000102140802004068/0001021408-02-004068-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000102140803005236/0001021408-03-005236-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312504041384/0001193125-04-041384-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312505066950/0001193125-05-066950-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312506056797/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312507056290/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312508037222/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312509033826/0001193125-09-033826-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312510034634/0001193125-10-034634-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312511039677/d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312512067402/0001193125-12-067402-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312513055257/0001193125-13-055257-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312514050831/d637782d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000156459015000732/d832020d10k.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312516466575/0001193125-16-466575-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312517045109/0001193125-17-045109-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312518047390/0001193125-18-047390-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312519044946/0001193125-19-044946-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312520041516/0001193125-20-041516-index.html,https://www.sec.gov/Archives/edgar/data/1054905/000119312521046094/0001193125-21-046094-index.htm,https://www.sec.gov/Archives/edgar/data/1054905/000119312522044144/0001193125-22-044144-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
