,https://roic.ai/company/WWR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-2880.01,1920.01,-2640.01,-37680.15,-78480.31,-4560.02,-2160.01,-1200.00,-109.99,-480.00,-5760.02,2640.01,120.00,-2940.01,-1080.00,-840.00,-720.00,-768.00,-636.00,-264.00,-281.40,-186.50,-39.00,-38.50,-5.39,-2.68,-1.83
26,EPS Diluted,-2880.01,1920.01,-2640.01,-37680.15,-78480.31,-4560.02,-2160.01,-1200.00,-109.99,-480.00,-5760.02,2520.01,120.00,-2940.01,-1080.00,-840.00,-720.00,-768.00,-636.00,-264.00,-281.40,-186.50,-39.00,-38.50,-5.39,-2.68,-1.83
27,Weighted Average Shares Outstanding,502,502,502,502,25382,947,1754,2382,2999,5735,6091,8148,8979,9094,9400,12052,15580,20395,31984,40470,53832,105039,494739,927687,1961086,8799190,8799190
28,Weighted Average Shares Outstanding Diluted,502,502,502,502,25382,947,1754,2382,2999,5735,6091,8536,8979,9094,9400,12052,15580,20395,31984,40470,53832,105039,494739,927687,1961086,8799190,8799190
29,SEC Link,https://www.sec.gov/Archives/edgar/data/839470/000095013496001150/0000950134-96-001150-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/839470/000093066103001644/0000930661-03-001644-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746904009990/0001047469-04-009990-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000110465905034798/0001104659-05-034798-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000110465906026681/0001104659-06-026681-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000110465907024025/0001104659-07-024025-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746908002868/0001047469-08-002868-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746909002470/0001047469-09-002470-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000110465910014543/0001104659-10-014543-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746911002897/0001047469-11-002897-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746912002438/0001047469-12-002438-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746913002966/0001047469-13-002966-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746914003100/0001047469-14-003100-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000105291815000100/0001052918-15-000100-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000105291816000869/0001052918-16-000869-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000105291817000131/0001052918-17-000131-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000149315218002788/0001493152-18-002788-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000105291819000025/0001052918-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000155837020000849/0001558370-20-000849-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000155837021000999/0001558370-21-000999-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000155837022001060/0001558370-22-001060-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4715942,16934276,2325158,3713566,493567,212523,549043,1025469,309625,268866,5852716,20176771,9284270,12041592,6092068,15386472,2890263,4664596,1117303,5570000,865000,3309000,4054000,1577000,1870000,50315,115293000
32,Short-Term Investments,712094,2779840,3304195,582623,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226000,- -,1361000,415000,- -,- -,- -
33,Cash and Short-Term Investments,5428036,19714116,5629353,4296189,493567,212523,549043,1025469,309625,268866,5852716,20176771,9284270,12041592,6092068,15386472,2890263,4664596,1117303,5570000,1091000,3309000,5415000,1992000,1870000,50315,115293000
34,Net Receivables,4005191,1829539,4507090,1482806,1155198,20883,10884,- -,25250,369494,32940,713529,2652574,40360,63890,46244,123336,276801,- -,- -,- -,- -,1750000,1545000,- -,- -,- -
35,Inventory,789667,3663768,2351247,1049085,183220,69598,67163,67473,65397,45151,707949,1603585,748452,1213927,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,127519,239435,253910,244301,45913,19912,17011,15420,13371,108799,269835,410000,720357,513489,125400,179231,165509,431427,685678,863000,914000,602000,668000,643000,491000,2274,320000
37,Total Current Assets,10350413,25446858,12741600,7072381,1877898,322916,644101,1108362,413643,792310,6863440,22903885,13405653,13809368,6281358,15611947,3179108,5372824,1802981,6433000,2005000,3911000,7833000,4180000,2361000,52589,115613000
38,PP&E,37299807,42575728,61445417,39552356,2205573,774254,707507,716126,683882,4307871,8688727,18195562,30611089,22778323,18944400,19612202,18846027,43714081,30840899,32730000,48812000,46916000,35409000,20553000,20821000,9080,14705000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,1397515,- -,- -,- -,- -,- -,6636715,6786000,- -,- -,- -,4010937,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,434897,771084,676952,3071002,3656057,2863194,1427676,- -,401120,1491599,2360437,4836925,8920140,- -,- -,7337366,9379794,9491865,- -,3941000,6149000,6087000,6996000,5225000,3797000,- -,2665000
45,Total Non-Current Assets,37734704,43346812,62122369,42623358,5861630,3637448,2135183,2113641,1085002,5799470,11049164,23032487,39531229,29415038,25730400,26949568,28225821,53205946,34851836,36671000,54961000,53003000,42405000,25778000,24618000,9080,17370000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,48085117,68793670,74863969,49695739,7739528,3960364,2779284,3222003,1498645,6591780,17912604,45936372,52936882,43224406,32011758,42561515,31404929,58578770,36654817,43104000,56966000,56914000,50238000,29958000,26979000,61669,132983000
48,Accounts Payable,2464512,2201145,3233277,1829255,396836,199183,121163,132799,107136,505591,1139005,1994184,2157475,- -,- -,1267935,1814557,1997633,1243169,796000,3046000,610000,538000,776000,852000,1734,3043000
49,Short-Term Debt,350000,6170074,1957000,1693000,580000,581,- -,- -,- -,135000,175833,201804,210616,158068,112559,83183,65161,5112140,10543,- -,6154000,5431000,- -,- -,153000,149000,152000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2826206,1806416,1552133,1418741,314904,284281,290631,1141096,191358,1395931,21918465,2337069,2965540,4157232,2892853,3659885,1601213,2020359,1775491,1876000,1690000,2102000,3430000,2396000,2664000,-146482,2129000
53,Total Current Liabilities,5640718,10177635,6742410,4940996,1291740,484045,411794,1273895,298494,2036522,23233303,4533057,5333631,4315300,3005412,5011003,3480931,9130132,3029203,2672000,10890000,8143000,3968000,3172000,3669000,4252,5324000
54,Long-Term Debt,7137507,6407054,6462343,6189007,6372208,585000,585000,585000,585000,450000,450000,635691,450000,450000,450000,450000,450000,450000,1024715,4345000,- -,- -,- -,- -,- -,- -,83000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2658000,2633000,4967000,263810,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2777351,4279289,4787427,4969394,6474680,5010631,5605287,5680029,4680943,3551844,30219671,3998229,4275992,6851486,5695311,4423645,4062705,3855261,7357511,4950000,5597000,5723000,5153000,5995000,6246000,- -,1378000
58,Total Non-Current Liabilities,12572858,13319343,16216770,11422211,12846888,5595631,6190287,6265029,5265943,4001844,30669671,4633920,4725992,7301486,6145311,4873645,4512705,4305261,8382226,9295000,5597000,5723000,5153000,5995000,6246000,- -,1461000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178665,478176,320481,202771,119232,129722,15038,- -,- -,- -,- -,- -,493000,363000,235000
61,Total Liabilities,18213576,23496978,22959180,16363207,14138628,6079676,6602081,7538924,5564437,6038366,53902974,9166977,10059623,11616786,9150723,9884648,7993636,13435393,11411429,11967000,16487000,13866000,9121000,9167000,9915000,4466,6785000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8798,10966,12205,12205,12494,22893,49145,69482,81977,134660,163961,51829,52343,55994,56820,92468,94043,16154,19824,25000,5000,17000,28000,72000,3000,- -,35000
64,Retained Earnings,12245651,13004514,11679643,-7300178,-47139912,-50373264,-54161747,-57019967,-57349838,-60102822,-111035610,-89525887,-88448353,-114957709,-125023571,-135378138,-146577535,-162201908,-191470046,-202154000,-217297000,-236902000,-256190000,-291874000,-302439000,- -,-342157000
65,Other Comprehensive Income/Loss,-19929621,-29335818,-36235274,-59059968,-97578333,-99141105,-99542028,-41326551,-41359799,-41424883,-43275660,-49423848,-55736530,-63215677,-64155311,-64282888,-64791294,-65318921,-65566411,-65724000,-67000,- -,287000,-90000,- -,- -,- -
66,Other Total Stockholders Equity,37546713,61617030,76448215,99680473,138306651,147372164,149831833,93960115,94561868,101946459,118156939,175667301,187009799,209725012,211983097,232245425,234686079,272648052,282260021,298990000,257838000,279933000,296992000,312683000,319500000,57471000,- -
67,Total Stockholders Equity,29871541,45296692,51904789,33332532,-6399100,-2119312,-3822797,-4316921,-4065792,553414,-35990370,36769395,42877259,31607620,22861035,32676867,23411293,45143377,25243388,31137000,40479000,43048000,41117000,20791000,17064000,57471000,126198000
68,Total Liabilities And Stockholders Equity,48085117,68793670,74863969,49695739,7739528,3960364,2779284,3222003,1498645,6591780,17912604,45936372,52936882,43224406,32011758,42561515,31404929,58578770,36654817,43104000,56966000,56914000,50238000,29958000,26979000,57475466,132983000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57413797,- -
70,Total Liabilities & Equity,48085117,68793670,74863969,49695739,7739528,3960364,2779284,3222003,1498645,6591780,17912604,45936372,52936882,43224406,32011758,42561515,31404929,58578770,36654817,43104000,56966000,56914000,50238000,29958000,26979000,61669,132983000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/839470/000095013496001150/0000950134-96-001150-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/839470/000093066103001644/0000930661-03-001644-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746904009990/0001047469-04-009990-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000110465905034798/0001104659-05-034798-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000110465906026681/0001104659-06-026681-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000110465907024025/0001104659-07-024025-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746908002868/0001047469-08-002868-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746909002470/0001047469-09-002470-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000110465910014543/0001104659-10-014543-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746911002897/0001047469-11-002897-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746912002438/0001047469-12-002438-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746913002966/0001047469-13-002966-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000104746914003100/0001047469-14-003100-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000105291815000100/0001052918-15-000100-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000105291816000869/0001052918-16-000869-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000105291817000131/0001052918-17-000131-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000149315218002788/0001493152-18-002788-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000105291819000025/0001052918-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000155837020000849/0001558370-20-000849-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000155837021000999/0001558370-21-000999-index.htm,https://www.sec.gov/Archives/edgar/data/839470/000155837022001060/0001558370-22-001060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-936188,758863,-1324871,-18979821,-39839734,-3233352,-3788483,-2858220,-329871,-2752984,-35086678,21509723,1077534,-26509356,-10065862,-10354567,-11199397,-15624373,-20293803,-10684000,-15143000,-19605000,-19288000,-35684000,-10565000,-23574000,-16144000
74,Depreciation and Amortization,3182028,7619922,22956,57150,24711,22572,14446,6791,33248,512223,2026661,5863006,6349278,147561,1489934,143361,127741,160747,148490,331000,336000,247000,142000,116000,73000,-55000,20000
75,Deferred Income Tax,-252000,-25000,-318000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2154281,1257909,1032308,883941,427292,381385,1031000,950000,195000,101000,332000,98000,367000,879000
77,Change in Working Capital,-429586,10559528,-9270033,-3867805,-1545227,-747287,393436,-397840,280682,-1359361,-15125651,34740691,-10298806,1422046,-6218122,7324998,-10902767,-3455485,2531086,4987222,-12646000,4653000,8097000,-2857000,-2316000,1356337,388000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,3761066,-1000793,496100,247334,624839,42832,2435,-310,2076,-19644,-446769,-705132,682635,-508342,1010845,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,4709695,15269223,5999190,2131385,586158,-161129,232307,-165533,115149,-1244212,-16369863,18370828,8072022,9494068,3275946,10600944,-301823,-3757308,-1226222,3761000,-8885000,-4232000,3865000,1008000,-1308000,48337,- -
82,Other Non-Cash Items,3736543,-9619513,15820762,30991851,40890711,2737687,667570,1907502,-1936007,1058998,46463804,-64328397,14165780,23826976,8503165,-5506174,10689680,3627648,1893460,-7671222,14484000,2201000,-655000,26445000,2661000,6722663,-2059000
83,Cash Provided by Operating Activities,5300797,9293800,4930814,8201375,-469539,-1220380,-2713031,-1341767,-1951948,-2541124,-1721864,-2214977,11293786,1041508,-5032976,-7360074,-10400802,-14864171,-15339382,-12006000,-12019000,-12309000,-11603000,-11648000,-10049000,-15183000,-16916000
84,CAPEX,-3583193,-14607036,-14900524,-6168026,-1630117,-23532,-470384,-560215,-341291,-3945528,-6308056,-18726822,-19292847,-10461916,-670936,-1814537,-622295,-5009275,-173588,-55000,-31000,-26000,-100000,- -,- -,- -,-3353000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3683083,- -,- -,-1436000,- -,-833000,-1547000,- -,- -,- -
86,Purchases of Investments,-249101,-2224339,-549842,-372371,-2432,- -,- -,- -,- -,- -,- -,-1179080,-3615585,-553639,-149285,-551366,-2042428,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,792863,1435518,25862,996395,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,834000,536000,- -,3577000
88,Other Investing Activites,- -,- -,- -,- -,-1630117,-23532,-470384,- -,- -,-830947,-56344,-12000000,- -,- -,- -,- -,300000,161834,5480928,4000,2518000,309000,1951000,1238000,3220000,-81000,-5685000
89,Cash Used for Investing Activites,-3832294,-16831375,-15450366,-6540397,-1632549,769331,965134,-534353,655104,-4776475,-6364400,-31905902,-22908432,-11015555,-820221,-2365903,-2364723,-8530524,5307340,-51000,1051000,283000,1018000,525000,3756000,-4104000,-2108000
90,Debt Repayment,-7874225,-5779379,-7722535,-8407570,-3992911,-579995,-581,- -,- -,- -,- -,- -,- -,-261867,-157695,-117710,-83539,-95664,-114683,-11000,-4000,- -,-5500000,- -,- -,- -,- -
91,Common Stock Issued,2459064,14666288,132969,- -,- -,750000,1834998,- -,581000,7276840,13070114,48644905,983004,12993236,61368,19138091,352855,20264692,- -,11880000,- -,14472000,16535000,8715000,6652000,63614000,84142000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-249000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6135000,10869000,3500000,8135000,2875000,- -,250000,2352546,- -,- -,600000,-199971,-260859,- -,- -,- -,- -,5000000,6599432,4890000,6267000,-2000,-1000,-5000,-1000,331000,-150000
95,Cash Used/Provided by Financing Activities,719839,19755909,-4089566,-272570,-1117911,170005,2084417,2352546,581000,7276840,13670114,48444934,722145,12731369,-96327,19020381,269316,25169028,6484749,16510000,6263000,14470000,11034000,8710000,6651000,63945000,83992000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2188342,12218334,-14609118,1388408,-3219999,-281044,336520,476426,-715844,-40759,5583850,14324055,-10892501,2757322,-5949524,9294404,-12496209,1774333,-3547293,4453000,-4705000,2444000,449000,-2413000,358000,44658000,64968000
98,Cash at the End of Period,4715942,16934276,2325158,3713566,493567,212523,549043,1025469,309625,268866,5852716,20176771,9284270,12041592,6092068,15386472,2890263,4664596,1117303,5570000,865000,3309000,7722000,5309000,5667000,50325000,115293000
99,Cash at the Beginning of Period,2527600,4715942,16934276,2325158,3713566,493567,212523,549043,1025469,309625,268866,5852716,20176771,9284270,12041592,6092068,15386472,2890263,4664596,1117000,5570000,865000,7273000,7722000,5309000,5667000,50325000
100,Free Cash Flow,1717604,-5313236,-9969710,2033349,-2099656,-1243912,-3183415,-1901982,-2293239,-6486652,-8029920,-20941799,-7999061,-9420408,-5703912,-9174611,-11023097,-19873446,-15512970,-12061000,-12050000,-12335000,-11703000,-11648000,-10049000,-15183000,-20269000
