,https://roic.ai/company/TAYD,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,200000,200000,1400000,1300000,1500000,1500000,1700000,2200000,2600000,3200000,3200000,3400000,3673415,3669671,4716034,4516023,3894487,3030689,3395293,4411678,60297474,3770942,4307253,4076296,5177202,5297668,3919594,5683108,6688591,5065101,5276574,6045984,5934410,4016643
11,COGS and Expenses,4500000,5000000,4300000,4100000,5500000,5000000,6100000,7700000,8100000,9200000,9400000,10000000,10056308,11616415,15777252,13085227,13049426,10739990,13833136,15157959,72721565,15848628,16111718,19423815,26119731,21262923,18465476,27527823,29932042,22616264,23716334,30617239,25078861,23351593
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53654
13,Interest Expense (Gain),- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284535,- -,- -,- -,- -,306789,- -,67223,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,200000,200000,200000,100000,100000,100000,100000,100000,200000,300000,300000,300000,267100,258562,306955,337919,342322,372715,319870,350512,358716,422495,442263,470755,482152,564262,699039,740844,818385,868609,995924,1072959,1141110,1212713
15,EBITDA,400000,400000,600000,200000,400000,300000,500000,600000,1000000,1100000,1100000,1400000,1619732,1758943,1013169,848362,228901,681622,1043163,1686574,2461001,1342912,2217420,2180464,3431083,4024056,2267251,3814792,6584610,3856186,1672294,4132484,4557086,1894608
16,EBITDA ratio,0.0851,0.0769,0.1224,0.0455,0.0656,0.0566,0.0781,0.0741,0.1124,0.1100,0.1078,0.1261,0.1411,0.1328,0.0634,0.0612,0.0176,0.0608,0.0707,0.1022,0.1324,0.0802,0.1240,0.1043,0.1183,0.1627,0.1133,0.1247,0.1845,0.1510,0.0686,0.1229,0.1606,0.0842
17,Operating Income,200000,200000,600000,300000,600000,300000,300000,400000,800000,800000,800000,1100000,1426032,1627386,208693,787088,-28024,475602,917563,1343441,1806088,889345,1763653,1482491,2887081,3466662,1545752,3061443,5748407,2920732,647633,3001792,3302680,-2352083
18,Operating Income ratio,0.0426,0.0385,0.1224,0.0682,0.0984,0.0566,0.0469,0.0494,0.0899,0.0800,0.0784,0.0991,0.1242,0.1229,0.0131,0.0567,-0.0022,0.0424,0.0622,0.0814,0.0971,0.0531,0.0987,0.0709,0.0995,0.1402,0.0772,0.1001,0.1611,0.1144,0.0266,0.0893,0.1164,-0.1045
19,Total Other Income Expenses (Gains),100000,100000,-200000,- -,-300000,- -,- -,100000,- -,- -,- -,- -,-73400,-127005,212986,-279759,-90202,-150983,-149867,-288701,-85546,-36151,11504,227218,61850,-6868,22460,12505,17818,66845,28737,57733,113296,3033978
20,Income Before Tax,- -,- -,400000,- -,300000,- -,300000,500000,800000,800000,800000,1100000,1352632,1500381,421679,507329,-118226,324619,767696,1054740,1720542,853194,1775157,1709709,2948931,3459794,1568212,3073948,5766225,2987577,676370,3059525,3415976,681895
21,Income Before Tax Ratio,- -,- -,0.0816,- -,0.0492,- -,0.0469,0.0617,0.0899,0.0800,0.0784,0.0991,0.1178,0.1133,0.0264,0.0366,-0.0091,0.0289,0.0520,0.0639,0.0925,0.0510,0.0993,0.0818,0.1017,0.1399,0.0784,0.1005,0.1616,0.1170,0.0278,0.0910,0.1204,0.0303
22,Income Tax expense (Gain),- -,- -,200000,- -,100000,- -,100000,-100000,200000,300000,300000,400000,487400,457500,88900,159500,-54800,106800,237500,410000,569000,281300,188200,293200,750000,912000,437000,899000,1558000,657000,233000,515000,386000,-381000
23,Net Income,- -,- -,200000,100000,200000,200000,300000,600000,600000,500000,500000,700000,865232,1042881,332779,350943,-58621,202107,485793,619273,1533285,571894,1586957,1416509,2198931,2547794,1131212,2174948,4208225,2330577,443370,2544525,3029976,1062895
24,Net Income ratio,- -,- -,0.0408,0.0227,0.0328,0.0377,0.0469,0.0741,0.0674,0.0500,0.0490,0.0631,0.0754,0.0787,0.0208,0.0253,-0.0045,0.0180,0.0329,0.0375,0.0825,0.0342,0.0888,0.0678,0.0758,0.1030,0.0565,0.0711,0.1179,0.0913,0.0182,0.0757,0.1068,0.0472
25,EPS,- -,-0.01,0.08,0.02,0.08,0.07,0.10,0.20,0.22,0.19,0.17,0.26,0.31,0.37,0.12,0.12,-0.02,0.07,0.16,0.20,0.48,0.18,0.49,0.44,0.67,0.77,0.34,0.65,1.24,0.68,0.13,0.73,0.87,0.30
26,EPS Diluted,- -,-0.01,0.08,0.02,0.08,0.07,0.10,0.20,0.22,0.19,0.17,0.26,0.31,0.37,0.12,0.12,-0.02,0.07,0.16,0.20,0.48,0.18,0.49,0.44,0.67,0.76,0.34,0.64,1.21,0.66,0.13,0.73,0.87,0.30
27,Weighted Average Shares Outstanding,2356000,2488000,2500000,2506000,2500000,2857143,3000000,3000000,2727273,2631579,2941176,2692308,2791071,2818597,2773158,2924525,2931050,2887243,3036206,3096365,3170715,3220949,3224923,3229491,3269252,3310514,3341975,3350033,3393919,3432112,3458049,3470595,3481128,3490213
28,Weighted Average Shares Outstanding Diluted,2356000,2488000,2500000,2506000,2500000,2857143,3000000,3000000,2727273,3076923,3076923,2941176,2791071,2818597,2773158,2924525,2931050,2887243,3036206,3096365,3187021,3222421,3226892,3235542,3303615,3357292,3372805,3402209,3476427,3505194,3488925,3487638,3489791,3491887
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96536/000009653601500014/0000096536-01-500014-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653602000006/0000096536-02-000006-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653603000016/0000096536-03-000016-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653604000013/0000096536-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653605000014/0000096536-05-000014-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653606000024/0000096536-06-000024-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653607000014/0000096536-07-000014-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653608000026/0000096536-08-000026-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653609000016/0000096536-09-000016-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653610000011/0000096536-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653611000010/0000096536-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653612000032/0000096536-12-000032-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653613000018/0000096536-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653614000017/0000096536-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653615000022/0000096536-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653616000053/0000096536-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653617000031/0000096536-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653618000022/0000096536-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653619000026/0000096536-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653620000013/0000096536-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653621000015/0000096536-21-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,900000,1100000,1700000,1000000,314273,59847,224110,417166,88390,63397,60011,22748,110720,45297,197587,2193534,73952,1997874,2793642,4895898,6086080,3324934,2858323,5071822,15159827,20581604
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,238531,251764,261455,265720,25265,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1022326,1039082,1055591,1071950,1097012
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,900000,1100000,1700000,1200000,552804,311611,485565,682886,113655,63397,60011,22748,110720,45297,197587,2193534,73952,1997874,2793642,4895898,7086080,4347260,3897405,6127413,16231777,21678616
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1400000,1600000,2400000,3674795,3196831,2895588,8086361,2978053,4376072,7485722,5884976,3865321,2691032,5033395,2136848,5610328,4702397,5268135,9924713,9492985,9414166,12622827,12851792,7574044,5620168
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2400000,3000000,3000000,3099460,3784824,5418800,4794308,4560755,4771086,4216633,5093146,6625168,6721821,6474148,5352424,8372535,9124186,8978302,8662056,9604956,11488610,11317775,11239331,10107437,5835596
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,300000,400000,412044,3637511,6902860,598845,743987,920638,1053929,954358,1360736,3340056,2536369,5787629,6924745,1519513,1521832,1249006,1437381,427478,447162,549177,510360,977525
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4800000,5200000,6600000,7000000,7739103,10930777,15702813,14162400,8396450,10131193,12816295,11955228,11961945,12798206,14241499,15470435,20981560,17343970,18561911,24731673,27621402,25677514,28285169,30767713,34423618,34111905
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2600000,2900000,2700000,2679016,3689345,4148524,3916008,3679831,3477672,3419404,3349810,3425910,3687637,3425098,3413446,4481953,7211162,7867728,7873511,8994504,9994716,9935625,9317442,9407490,9816594
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,54911,48863,103596,95196,84487,54087,45687,16472,8072,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,54911,48863,103596,95196,84487,54087,45687,16472,8072,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,429115,219115,189115,170115,190115
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,500000,400000,500000,600000,607991,664013,661788,1273298,989253,1227666,1103319,1330880,1018723,945284,933806,994147,998384,1063377,1001137,1059924,872393,1059358,1071381,922626,1074671,1813377
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3100000,3500000,3400000,3341918,4402221,4913908,5284502,4753571,4759425,4568410,4697162,4452705,4632921,4358904,4407593,5480337,8274539,8868865,8933435,9866897,11483189,11226121,10429183,10652276,11820086
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,7800000,8300000,10100000,10400000,11081021,15332998,20616721,19446902,13150021,14890618,17384705,16652390,16414650,17431127,18600403,19878028,26461897,25618509,27430776,33665108,37488299,37160703,39511290,41196896,45075894,45931991
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1100000,1300000,900000,1020621,1916441,2324981,1930804,904179,770330,1410510,1012059,1186249,886963,1096289,1292095,3361742,1209597,1166162,2703065,1767017,1329321,1460175,1402692,1370175,1787325
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,300000,300000,328347,2134786,5105737,4535227,364054,1621119,3258924,1866066,1016621,1094151,5485,5485,261657,- -,- -,- -,- -,- -,- -,- -,1461500,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135815,- -,- -,140977,- -,85023,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41729,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171881,850531,2723472,1463621,1295989,2043002,633703,736866,1361985
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,800000,900000,1500000,1600000,1612885,2340600,3267323,2710750,878388,1251139,1380613,1925106,1327207,1870935,2296867,1915201,3557853,2173089,1773627,2158804,3417447,1679001,2395762,2841629,1969799,1984473
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2300000,2400000,3100000,2800000,2961853,6433556,10698041,9176781,2146621,3642588,6050047,4803231,3530077,3852049,3398641,3212781,7181252,3554567,3790320,7585341,6648085,4304311,5898939,4878024,5538340,5133783
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1500000,2000000,1600000,1301752,994779,1414276,1208522,986638,755519,514788,282622,145000,87960,9141,3657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,79300,56500,180700,232300,234200,243200,246200,281585,190485,307285,304485,278485,283985,398185,558485,628785,682985,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,775716,589976,253307,174609,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1400000,1900000,1700000,1381052,1051279,1594976,1440822,1996554,1588695,1014295,738816,335485,395245,313626,282142,283985,398185,558485,628785,682985,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4100000,3800000,5000000,4500000,4342905,7484835,12293017,10617603,4143175,5231283,7064342,5542047,3865562,4247294,3712267,3494923,7465237,3952752,4348805,8214126,7331070,4304311,5898939,4878024,5538340,5133783
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,72061,73253,76724,78668,80909,83596,85179,85250,92813,92913,93137,93321,95995,96029,96824,97535,98738,99763,100428,100735,100943,101305
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,1300000,1800000,2300000,3000000,3840223,4883104,5215883,5566826,5508205,5710312,6196105,6815378,8348663,8920557,10507514,11924023,14122954,16670748,17801960,19976908,24185133,26515710,26959080,29508604,32538580,33601475
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,-2900000,-3200000,-3300000,-3583536,-3806331,-4098838,-4399139,-4730752,-5073067,-5348196,-5656923,-5872531,-6250882,-6670188,-7116604,-7598756,-8138074,-8837113,-9577957,-10325216,-11101179,-12097103,-13066458,-14177168,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,4900000,5400000,5700000,5800000,6085564,6351904,6756990,7186015,7729761,8487503,8903380,9346134,9980143,10421245,10957673,11482365,12376467,13037054,14020300,14954496,16198574,17342098,18649946,19775991,21075199,7095428
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,3500000,4300000,4800000,5600000,6414312,7501930,7950759,8432370,8588123,9208344,9836468,10589839,12549088,13183833,14888136,16383105,18996660,21665757,23081971,25450982,30157229,32856392,33612351,36318872,39537554,40798208
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,7600000,8100000,9800000,10100000,10757217,14986765,20243776,19049973,12731298,14439627,16900810,16131886,16414650,17431127,18600403,19878028,26461897,25618509,27430776,33665108,37488299,37160703,39511290,41196896,45075894,45931991
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,300000,300000,323804,346233,372945,396929,418723,450991,483895,520504,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,7800000,8300000,10100000,10400000,11081021,15332998,20616721,19446902,13150021,14890618,17384705,16652390,16414650,17431127,18600403,19878028,26461897,25618509,27430776,33665108,37488299,37160703,39511290,41196896,45075894,45931991
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96536/000009653601500014/0000096536-01-500014-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653602000006/0000096536-02-000006-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653603000016/0000096536-03-000016-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653604000013/0000096536-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653605000014/0000096536-05-000014-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653606000024/0000096536-06-000024-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653607000014/0000096536-07-000014-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653608000026/0000096536-08-000026-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653609000016/0000096536-09-000016-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653610000011/0000096536-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653611000010/0000096536-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653612000032/0000096536-12-000032-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653613000018/0000096536-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653614000017/0000096536-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653615000022/0000096536-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653616000053/0000096536-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653617000031/0000096536-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653618000022/0000096536-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653619000026/0000096536-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653620000013/0000096536-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96536/000009653621000015/0000096536-21-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,200000,100000,200000,200000,300000,600000,600000,500000,500000,700000,865232,1042881,332779,350943,-58621,202107,485793,619273,1533285,571894,1586957,1416509,2198931,2547794,1131212,2174948,4208225,2330577,443370,2544525,3029976,1062895
74,Depreciation and Amortization,- -,200000,200000,100000,100000,100000,100000,100000,200000,300000,300000,300000,267100,258562,306955,337919,342322,372715,319870,350512,358716,422495,442263,470755,482152,564262,699039,740844,818385,868609,995924,1072959,1141110,1212713
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-200000,100000,- -,- -,- -,-62300,-149300,-85800,52600,15700,-90600,11485,-3000,-55600,-74100,44800,-10500,-126000,2000,124300,310000,-52000,-147000,210000,30000,19000,-20000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116762,109586,112171,116069,151184,177693,124931,106656,143097,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,2500000,300000,700000,700000,577250,-280029,507551,-19153,1264210,238776,277643,385749,1279871,514289,1896701,1414796,1542654,-10905,982188,2374741,3826985,399886,1013027,3503459,2995589,92844
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-581875,-2342363,2896547,-3473480,3365753,-617745,-1860413,752543,1346441,-3720091,986562,-540169,1564907
79,Inventory,- -,- -,-100000,-200000,- -,-100000,100000,-500000,-300000,- -,-600000,- -,-58446,-685364,-1770976,-126701,159760,-493946,532896,-1252281,-1845785,-227602,157461,886127,-3163406,-991116,33614,82886,-930014,-2245390,103963,1158334,804721,2038052
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209326,195806,2069647,-2152145,-43435,1536903,-936048,-437696,130854,- -,-32517,417150
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2800000,3500000,4200000,4777250,4497221,5004772,4985619,6249829,6488605,6766248,7151997,8431868,8946157,10842858,12257654,13800308,13789403,14771591,17146332,20973317,21373203,22386230,25889689,28885278,28978122
82,Other Non-Cash Items,- -,-200000,-100000,-300000,-100000,-100000,100000,700000,-2900000,-300000,-800000,-1800000,-1723479,-1380684,-3670176,179900,1647434,-1723654,-1961784,560192,-2040709,-839709,-2462030,-896149,-5328219,2260124,-1064878,-2940286,-5164702,-4685428,-2482781,-4600076,2504514,4681705
83,Cash Provided by Operating Activities,- -,- -,300000,-100000,200000,200000,500000,1200000,500000,800000,700000,-100000,-76197,-508570,-2608691,902209,3211045,-1000656,-866993,1912726,1075563,594869,1508691,2395411,-1113720,5472861,1984032,2776316,3788077,-1055663,304471,2657523,9833286,7030157
84,CAPEX,- -,- -,-100000,- -,-100000,- -,-100000,-500000,-200000,-300000,-600000,- -,-225807,-1254145,-620686,-97006,-95436,-140156,-253202,-251703,-564683,-676150,-252426,-386401,-1550659,-3293471,-1355605,-746627,-1939378,-1868821,-936833,-472837,-1231158,-1621817
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11565,-13233,-9691,-4265,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-22326,-16756,-16509,-16359,-25062
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265720,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-200000,- -,- -,- -,- -,-100000,- -,-100000,-100000,-23849,-22681,27833,37714,254366,-25501,-5927,-9873,685726,-12847,32423,-5615,-5580,-5528,-5490,-5427,-5355,-5229,-5151,-5019,-4872,-4917
89,Cash Used for Investing Activites,- -,- -,-100000,-200000,-100000,- -,-100000,-500000,-300000,-300000,-700000,-100000,-261221,-1290059,-602544,-63557,424650,-165657,-259129,-261576,121043,-688997,-220003,-392016,-1556239,-3298999,-1361095,-752054,-2944733,-1896376,-958740,-494365,-1252389,-1651796
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-138992,-1167485,-5484,-5485,-3657,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,123587,139545,236458,202045,225960,301114,225444,15309,27778,14371,31150,28454,347629,11717,172831,77994,346838,190893,187658,50341,45608,43416
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-158035,-94808,-120408,-71377,-11586,- -,-163113,- -,- -,-6156,-63,-30418,-49767,- -,- -,- -,- -,- -,- -,- -,- -,- -
