,https://roic.ai/company/EXPD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,9800000,16800000,22300000,27100000,33600000,40300000,48700000,64100000,77300000,365200000,564540000,700963000,904887000,1005835000,1369020000,1587047000,1542910000,2166710000,2485279000,3128074000,993674000,854217000,961885000,1053141000,923461000,1040296000,1153773000,170264000,151671000,169348000,174300000,180630000,182767000,223719000,230329000,222328000,256086000
11,COGS and Expenses,63400000,104200000,140200000,139400000,182900000,195700000,241400000,318600000,345200000,725500000,1030340000,1274263000,1631487000,1790335000,2458837000,2840801000,2716568000,3931130000,4524195000,5721833000,3488421000,4143638000,4676419000,5006774000,3558634000,5315083000,5407794000,5450145000,5528184000,5970073000,5895148000,5427874000,6220688000,7341802000,7408734000,9176044000,14614191000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11415000,18020000,22341000,21077000,10177000,7002000,10235000,12763000,11810000,10773000,10421000,11580000,13204000,19153000,22803000,10415000,8807000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313000,198000,45000,183000,499000,576000,970000,1251000,- -,- -,- -,- -,- -,- -,22803000,10415000,8807000
14,Depreciation and Amortization,400000,800000,1200000,1400000,-1900000,-1800000,-2200000,-3000000,-3900000,-5200000,6629000,8147000,11159000,15547000,20819000,22481000,23544000,22725000,24392000,26703000,32310000,36817000,40786000,41621000,41555000,38313000,37932000,39940000,48071000,49292000,46012000,46796000,49310000,54019000,50950000,56959000,51312000
15,EBITDA,3800000,5700000,8300000,10500000,10400000,11700000,12100000,12800000,13200000,17200000,35028000,47731000,73731000,91124000,115464000,155829000,177838000,200715000,217486000,271244000,345881000,432770000,489800000,539411000,444746000,602924000,676366000,591975000,619182000,657609000,780427000,731926000,766867000,870757000,867926000,1021864000,1981382000
16,EBITDA ratio,0.0576,0.0524,0.0565,0.0712,0.0537,0.0565,0.0476,0.0384,0.0365,0.0382,0.0599,0.0654,0.0773,0.0857,0.0799,0.0919,0.1076,0.0874,0.0829,0.0818,0.0886,0.0936,0.0936,0.0957,0.1087,0.1010,0.1100,0.0990,0.1018,0.1002,0.1179,0.1200,0.1108,0.1070,0.1062,0.1010,0.1199
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26851000,37425000,59915000,73372000,93323000,127524000,146017000,171009000,186762000,241045000,304510000,375116000,423400000,473136000,385001000,547230000,618327000,530798000,552073000,594648000,721484000,670163000,700260000,796563000,766692000,940437000,1909326000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0459,0.0513,0.0628,0.0690,0.0646,0.0752,0.0884,0.0745,0.0711,0.0727,0.0780,0.0811,0.0809,0.0840,0.0941,0.0917,0.1005,0.0887,0.0908,0.0906,0.1090,0.1099,0.1012,0.0979,0.0938,0.0930,0.1156
19,Total Other Income Expenses (Gains),800000,300000,500000,1000000,1600000,2300000,1700000,1200000,800000,297300000,1548000,2159000,2657000,2205000,1322000,5824000,8277000,6981000,8880000,8535000,15644000,20548000,26273000,26436000,17871000,16838000,19701000,19595000,20523000,16241000,15205000,16693000,18335000,21766000,29102000,16127000,15290000
20,Income Before Tax,3400000,4900000,7100000,9100000,12300000,13500000,14300000,15800000,17100000,22400000,28399000,39584000,62572000,75577000,94645000,133348000,154294000,177990000,195642000,249580000,320154000,395664000,449673000,499572000,402872000,564068000,638028000,550393000,572596000,610889000,736689000,686856000,718595000,818329000,795794000,956564000,1924616000
21,Income Before Tax Ratio,0.0515,0.0450,0.0484,0.0617,0.0635,0.0652,0.0563,0.0474,0.0473,0.0497,0.0486,0.0542,0.0656,0.0711,0.0655,0.0787,0.0934,0.0775,0.0745,0.0752,0.0821,0.0855,0.0859,0.0887,0.0984,0.0945,0.1037,0.0920,0.0942,0.0931,0.1113,0.1126,0.1038,0.1006,0.0973,0.0946,0.1165
22,Income Tax expense (Gain),500000,800000,1300000,1900000,3000000,3800000,4100000,4500000,6900000,9200000,11004000,15321000,24161000,28303000,35470000,50313000,57051000,65461000,71142000,88415000,94624000,160661000,179815000,196593000,162475000,219863000,251785000,217424000,222585000,231429000,277192000,254323000,228212000,198539000,203778000,258350000,505771000
23,Net Income,2900000,4100000,5800000,7200000,9300000,9700000,10200000,11300000,10200000,13200000,17395000,24263000,38411000,47274000,59175000,83035000,97243000,112529000,121952000,156126000,218634000,235094000,269154000,301014000,240217000,344172000,385679000,333360000,348526000,376888000,457223000,430807000,489345000,618199000,590395000,696140000,1415492000
24,Net Income ratio,0.0439,0.0377,0.0395,0.0488,0.0480,0.0469,0.0402,0.0339,0.0282,0.0293,0.0298,0.0332,0.0403,0.0444,0.0410,0.0490,0.0588,0.0490,0.0465,0.0471,0.0560,0.0508,0.0514,0.0534,0.0587,0.0577,0.0627,0.0557,0.0573,0.0574,0.0691,0.0706,0.0707,0.0760,0.0722,0.0688,0.0857
25,EPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.20,0.24,0.29,0.41,0.47,0.54,0.58,0.73,1.02,1.10,1.26,1.41,1.13,1.62,1.82,1.58,1.69,1.92,2.42,2.38,2.73,3.55,3.45,4.14,8.37
26,EPS Diluted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.18,0.22,0.28,0.38,0.44,0.52,0.56,0.70,0.98,1.06,1.21,1.37,1.11,1.59,1.79,1.57,1.68,1.92,2.40,2.36,2.69,3.48,3.39,4.07,8.27
27,Weighted Average Shares Outstanding,144704000,170816000,177568000,183104000,184160000,185344000,186688000,188736000,189456000,190960000,201329248,205154368,195431432,196937752,200548180,204610480,208319008,207785654,209466884,212768302,213555102,213454579,213314761,212755946,212112744,212283966,212117511,210422945,205994656,196146676,188941000,181282000,179247000,174133000,170899000,168333000,169145000
28,Weighted Average Shares Outstanding Diluted,144704000,170816000,177568000,183104000,184160000,185344000,186688000,188736000,189456000,190960000,201329248,205154368,210588176,212233536,215311268,218716072,219482680,217762738,218003086,221635998,223267212,222223312,221799868,219170003,216533240,216446656,215033580,211935171,206895473,196768067,190223000,182704000,181666000,177833000,174209000,170896000,171250000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746515/000091205796005655/0000912057-96-005655-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746515/000091205701506328/0000912057-01-506328-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465902001275/0001104659-02-001275-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465903005167/0001104659-03-005167-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465904007431/0001104659-04-007431-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465905011481/0001104659-05-011481-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465906017206/0001104659-06-017206-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465907015464/0001104659-07-015464-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465908013877/0001104659-08-013877-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000119312509040947/0001193125-09-040947-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000119312510042974/0001193125-10-042974-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/0001193125-11-049764-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651512000006/0000746515-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651513000004/0000746515-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651514000004/0000746515-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651515000004/0000746515-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651516000053/0000746515-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651517000007/0000746515-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651518000004/0000746515-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651519000004/0000746515-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459020005719/0001564590-20-005719-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459021006925/0001564590-21-006925-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459022010381/0001564590-22-010381-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36142000,36966000,42094000,49429000,71183000,169005000,218677000,211859000,295832000,408983000,463894000,511358000,574599000,741028000,925929000,1084465000,1294356000,1260842000,1247652000,927107000,807796000,974435000,1051099000,923735000,1230491000,1527791000,1728692000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,457000,357000,214000,394000,1171000,1884000,57000,87000,82000,109000,123000,578000,674000,658000,655000,524000,472000,- -,26337000,40336000,40000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36599000,37323000,42308000,49823000,72354000,170889000,218734000,211946000,295914000,409092000,464017000,511936000,575273000,741686000,926584000,1084989000,1294828000,1260842000,1273989000,967443000,807836000,974435000,1051099000,923735000,1230491000,1527791000,1728692000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123793000,168763000,206501000,222598000,293739000,347114000,283414000,385864000,448324000,614044000,709331000,811486000,933519000,788176000,810369000,1003884000,934752000,1031376000,1073500000,1236042000,1112260000,1190130000,1414741000,1581530000,1315091000,1998055000,3810286000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7975000,9357000,10695000,11578000,15566000,4782000,9109000,7676000,17941000,22724000,28613000,18415000,25905000,43497000,50877000,51482000,57303000,65381000,67780000,85765000,73274000,54014000,75612000,229551000,224341000,437698000,1096067000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168367000,215443000,259504000,283999000,381659000,522785000,511257000,605486000,762179000,1045860000,1201961000,1341837000,1534697000,1573359000,1787830000,2140355000,2286883000,2357599000,2415269000,2289250000,1993370000,2218579000,2541452000,2734816000,2769923000,3963544000,6635045000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28242000,46246000,66550000,103030000,105905000,106647000,123845000,204966000,241702000,287379000,333787000,450856000,497892000,493129000,495701000,498648000,538806000,556204000,563064000,538415000,524724000,536572000,525203000,504105000,889379000,939148000,947028000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5299000,7774000,7774000,7774000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11163000,10839000,8997000,7584000,7832000,6503000,4938000,3716000,2630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5299000,18937000,18613000,16771000,15511000,15759000,14430000,12865000,11643000,10557000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000,7927000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2183000,2953000,8830000,12156000,11008000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13207000,40465000,8034000,- -,729000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7519000,10297000,16122000,17384000,21263000,23478000,41179000,53189000,18029000,12201000,13525000,14134000,20717000,19921000,27326000,28533000,30581000,32395000,28552000,55313000,56417000,27793000,29219000,27246000,16621000,16884000,19200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35761000,56543000,82672000,122597000,130121000,138955000,177180000,274462000,278668000,318193000,364083000,480501000,534368000,527480000,535892000,538824000,579944000,596526000,599543000,601655000,589068000,572292000,575556000,579743000,921961000,963959000,974884000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204128000,271986000,342176000,406596000,511780000,661740000,688437000,879948000,1040847000,1364053000,1566044000,1822338000,2069065000,2100839000,2323722000,2679179000,2866827000,2954125000,3014812000,2890905000,2582438000,2790871000,3117008000,3314559000,3691884000,4927503000,7609929000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72238000,101670000,143980000,143523000,170362000,229534000,195826000,248302000,296895000,410251000,479546000,544028000,613108000,491823000,546675000,652161000,606628000,641593000,648156000,770238000,645304000,726571000,866305000,902259000,735695000,1136859000,2012461000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285000,3452000,2145000,12245000,19442000,4671000,1706000,1319000,217000,2250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65367000,74004000,82019000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16990000,10141000,20668000,29281000,43036000,26976000,28039000,16166000,31948000,20072000,21970000,21743000,21077000,29498000,17858000,20494000,18424000,23627000,45437000,86166000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190343000,154183000,379722000,1142026000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14413000,26853000,26127000,33630000,39591000,65751000,76282000,106515000,95010000,111815000,132955000,165117000,156645000,178526000,161711000,209817000,189517000,200965000,222044000,213545000,216069000,203360000,226814000,234237000,213073000,302458000,489791000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86936000,131975000,172252000,189398000,229395000,299956000,273814000,356136000,392122000,524316000,612501000,709145000,769753000,670349000,708386000,861978000,796145000,842558000,870200000,983783000,861373000,929931000,1093119000,1326839000,1168318000,1893043000,3726297000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326347000,364185000,385641000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9678000,- -,24861000,25939000,26743000,55533000,46574000,53989000,69047000,60613000,78997000,58281000,35514000,26389000,13727000,- -,- -,- -,7048000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9678000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29516000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24861000,25939000,26743000,55533000,46574000,53989000,69047000,60613000,78997000,58281000,35514000,26389000,13727000,29516000,- -,326347000,371233000,385641000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391714000,438189000,467660000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86936000,131975000,172252000,189398000,229395000,299956000,273814000,356136000,392122000,549177000,638440000,735888000,825286000,716923000,762375000,931025000,856758000,921555000,928481000,1019297000,887762000,943658000,1122635000,1326839000,1494665000,2264276000,4111938000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,242000,245000,247000,507000,515000,516000,1042000,1051000,1066000,1066000,2131000,2130000,2120000,2120000,2120000,2120000,2064000,2025000,1916000,1821000,1799000,1764000,1716000,1696000,1693000,1672000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100928000,123258000,159225000,203050000,257198000,333049000,411992000,512036000,617216000,749974000,895565000,934058000,1143464000,1372356000,1532018000,1717249000,1991222000,2018618000,2087376000,1903196000,1771379000,1944789000,2063512000,2088707000,2321316000,2600201000,3620008000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20800000,-28400000,-36500000,-50300000,-67684000,-83640000,-100611000,-10967000,1743000,11686000,-2639000,14164000,30971000,-15208000,604000,8125000,-2964000,5734000,-6265000,-37817000,-81238000,-104592000,-73964000,-105481000,-131187000,-99753000,-130414000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36944000,44911000,46954000,64201000,92364000,111860000,102726000,21701000,25491000,44678000,19729000,119582000,50006000,7150000,18265000,13412000,13260000,1283000,1647000,1113000,31000,2642000,546000,1896000,3203000,157496000,3160000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117192000,140011000,169924000,217198000,282385000,361784000,414623000,523812000,645501000,807404000,913721000,1069935000,1226571000,1366418000,1553007000,1740906000,2003638000,2027699000,2084783000,1868408000,1691993000,1844638000,1991858000,1986838000,2195028000,2659637000,3494426000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204128000,271986000,342176000,406596000,511780000,661740000,688437000,879948000,1037623000,1356581000,1552161000,1805823000,2051857000,2083341000,2315382000,2671931000,2860396000,2949254000,3013264000,2887705000,2579755000,2788296000,3114493000,3313677000,3689693000,4923913000,7606364000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3224000,7472000,13883000,16515000,17208000,17498000,8340000,7248000,6431000,4871000,1548000,3200000,2683000,2575000,2515000,882000,2191000,3590000,3565000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204128000,271986000,342176000,406596000,511780000,661740000,688437000,879948000,1040847000,1364053000,1566044000,1822338000,2069065000,2100839000,2323722000,2679179000,2866827000,2954125000,3014812000,2890905000,2582438000,2790871000,3117008000,3314559000,3691884000,4927503000,7609929000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/746515/000091205796005655/0000912057-96-005655-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746515/000091205701506328/0000912057-01-506328-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465902001275/0001104659-02-001275-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465903005167/0001104659-03-005167-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465904007431/0001104659-04-007431-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465905011481/0001104659-05-011481-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465906017206/0001104659-06-017206-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465907015464/0001104659-07-015464-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000110465908013877/0001104659-08-013877-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000119312509040947/0001193125-09-040947-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000119312510042974/0001193125-10-042974-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/0001193125-11-049764-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651512000006/0000746515-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651513000004/0000746515-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651514000004/0000746515-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651515000004/0000746515-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651516000053/0000746515-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651517000007/0000746515-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651518000004/0000746515-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000074651519000004/0000746515-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459020005719/0001564590-20-005719-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459021006925/0001564590-21-006925-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459022010381/0001564590-22-010381-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,9300000,9700000,10200000,11300000,10200000,13200000,17395000,24263000,38411000,47274000,59175000,83035000,97243000,112529000,121952000,156126000,218634000,235094000,269154000,301014000,240217000,344172000,385679000,333360000,348526000,376888000,457223000,430807000,489345000,618199000,592016000,698214000,1418845000
74,Depreciation and Amortization,- -,- -,- -,- -,-1900000,-1800000,-2200000,-3000000,-3900000,-5200000,6629000,8147000,11159000,15547000,20819000,22481000,23544000,22725000,24392000,26703000,32310000,36817000,40786000,41621000,41555000,38313000,37932000,39940000,48071000,49292000,46012000,46796000,49310000,54019000,50950000,56959000,51312000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,-340000,-37000,2253000,3697000,16167000,1203000,2377000,-687000,-69000,19511000,-4779000,4172000,18991000,16350000,-1609000,10569000,-4065000,11639000,-20975000,-6576000,17999000,15835000,-43695000,-12031000,4482000,8371000,-3690000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41739000,44917000,44879000,39135000,43743000,44278000,44058000,43813000,42533000,43415000,45217000,50908000,56147000,61543000,62498000,69385000
77,Change in Working Capital,- -,- -,- -,- -,-2700000,- -,- -,- -,- -,7100000,74331000,2037000,3784000,7349000,57663000,70565000,14614000,11907000,120707000,151487000,67916000,43232000,132252000,138066000,176434000,198933000,212361000,24303000,30028000,-239602000,-173470000,156651000,159685000,-40356000,62004000,-180574000,-678688000
78,Accounts Receivable,- -,- -,- -,- -,-5900000,-12700000,-13300000,-3600000,-22300000,-16800000,-24100000,-45800000,-39000000,-18400000,-73163000,-34399000,64772000,-99152000,-66237000,-150213000,-95015000,-96414000,-84950000,85841000,-1077000,-188823000,46915000,-89856000,-64575000,-206887000,62619000,-102297000,-184771000,-214971000,265919000,-647193000,-1869827000
