,https://roic.ai/company/AMED,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,4800000,8800000,14400000,18511698,24443000,44441000,53146000,49251000,53665000,63060000,69581000,97633000,168424000,240034000,292638000,467681000,558246000,620349000,1158876000,596861000,526827000,486339000,486524000,542627000,524395000,514567000,626354000,662730000,728841000
11,COGS and Expenses,14000000,24300000,36200000,44916484,55084000,67364000,100036000,90719000,102711000,121304000,128135000,193711000,331456000,475492000,601372000,1030314000,1282711000,1440809000,1941224000,1438007000,1244823000,1177400000,1212439000,1375682000,1425121000,1507430000,1776691000,1848099000,1962197000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1027000,213000,435000,231000,65000,54000,94000,71000,75000,158000,278000,78000,292000,49000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16627000,11670000,9201000,8822000,12169000,4412000,8217000,10783000,5164000,5031000,7370000,14515000,11038000,9525000
14,Depreciation and Amortization,-100000,-300000,-600000,944676,1240000,1707000,3068000,2872000,3439000,2947000,3072000,4126000,6973000,10558000,13774000,20406000,28312000,34589000,39559000,40059000,37383000,28347000,20036000,19678000,17123000,13261000,54333000,67942000,71265000
15,EBITDA,-200000,500000,500000,965464,-336000,-24538000,1105000,8583000,9045000,414000,16699000,37485000,55713000,72455000,117185000,178429000,261990000,228679000,-437509000,-52757000,-113156000,57011000,29802000,86038000,102573000,178836000,238184000,288223000,359927000
16,EBITDA ratio,-0.0143,0.0204,0.0133,0.0210,-0.0062,-0.6443,0.0113,0.0946,0.0821,0.0032,0.1172,0.1651,0.1460,0.1339,0.1679,0.1503,0.1731,0.1399,-0.2976,-0.0355,-0.0906,0.0473,0.0233,0.0599,0.0669,0.1076,0.1218,0.1391,0.1626
17,Operating Income,- -,- -,- -,1143742,-588000,-29278000,-2625000,36000,7463000,6480000,14338000,33378000,50102000,65656000,96562000,157101000,230748000,193510000,-470866000,-112205000,-154971000,24047000,-9166000,57340000,78524000,155148000,177472000,219268000,251915000
18,Operating Income ratio,- -,- -,- -,0.0248,-0.0108,-0.7687,-0.0269,0.0004,0.0677,0.0501,0.1006,0.1470,0.1313,0.1213,0.1384,0.1323,0.1525,0.1184,-0.3202,-0.0754,-0.1240,0.0200,-0.0072,0.0399,0.0512,0.0933,0.0907,0.1058,0.1138
19,Total Other Income Expenses (Gains),100000,- -,-300000,-1178029,-962000,-1290000,-5291000,-1769000,-2167000,-9013000,-711000,-19000,-1362000,-3759000,6856000,-15745000,-8354000,-7928000,-7937000,-6492000,1496000,-3071000,8858000,4226000,2277000,3840000,-7062000,-8449000,28316000
20,Income Before Tax,- -,- -,1100000,-34287,-1550000,-30568000,-7916000,-1733000,5296000,-2533000,13627000,33359000,48740000,61897000,103418000,141356000,222394000,185582000,-478803000,-118697000,-153475000,20976000,-308000,61566000,80801000,158988000,170410000,210819000,280231000
21,Income Before Tax Ratio,- -,- -,0.0293,-0.0007,-0.0284,-0.8026,-0.0813,-0.0191,0.0481,-0.0196,0.0956,0.1469,0.1277,0.1144,0.1482,0.1190,0.1469,0.1136,-0.3256,-0.0798,-0.1228,0.0174,-0.0002,0.0428,0.0527,0.0956,0.0871,0.1018,0.1266
22,Income Tax expense (Gain),- -,- -,200000,2467,-382000,-1374000,-3263000,-659000,220000,-3285000,5220000,12855000,18638000,23642000,38298000,54714000,86171000,72309000,-103426000,-21397000,-58773000,7671000,2004000,23935000,50118000,38859000,42503000,25635000,70065000
23,Net Income,-100000,- -,900000,18321,-1194000,-24871000,1300000,6370000,5386000,752000,8407000,20504000,30102000,38255000,65113000,86682000,135837000,112580000,-382464000,-83588000,-96178000,12776000,-3021000,37261000,30301000,119346000,126833000,183608000,209072000
24,Net Income ratio,-0.0071,- -,0.0239,0.0004,-0.0219,-0.6530,0.0133,0.0702,0.0489,0.0058,0.0590,0.0903,0.0789,0.0707,0.0933,0.0730,0.0898,0.0689,-0.2601,-0.0562,-0.0770,0.0106,-0.0024,0.0259,0.0198,0.0718,0.0649,0.0886,0.0944
25,EPS,0.22,0.75,0.37,0.01,-0.32,-6.09,0.32,1.10,0.68,0.07,0.65,1.18,1.45,1.75,2.52,3.28,4.99,4.02,-13.33,-2.79,-3.08,0.39,-0.09,1.12,0.90,3.64,3.95,5.64,6.42
26,EPS Diluted,0.22,0.75,0.37,0.01,-0.32,-6.09,0.32,1.10,0.51,0.06,0.62,1.13,1.41,1.72,2.48,3.22,4.89,3.95,-13.33,-2.79,-3.08,0.39,-0.09,1.10,0.88,3.55,3.84,5.52,6.28
27,Weighted Average Shares Outstanding,3333333,1547000,2432432,3433247,3646575,4081476,4123896,5781188,7921135,11331716,13077006,17408898,20807479,21809000,25842000,26445000,27231000,28032000,28693000,29896000,31247000,32301000,33018000,33198000,33704000,32791000,32142000,32559000,32559000
28,Weighted Average Shares Outstanding Diluted,3333333,1547000,2432432,3433247,5000000,4091354,4123896,5781188,10639734,12009033,13431664,18056881,21292801,22289000,26275000,26903000,27759000,28484000,28693000,29896000,31247000,32823000,33018000,33741000,34304000,33609000,32990000,33268000,33268000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896262/000119312504051054/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312505053157/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312506056356/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312507035162/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312508040101/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312509031143/0001193125-09-031143-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312510037640/0001193125-10-037640-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312511042171/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312512085131/0001193125-12-085131-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312513103324/0001193125-13-103324-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312514095238/d690541d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312515076564/0001193125-15-076564-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312516498856/0001193125-16-498856-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312517063925/0001193125-17-063925-index.html,https://www.sec.gov/Archives/edgar/data/896262/000162828018002423/0001628280-18-002423-index.html,https://www.sec.gov/Archives/edgar/data/896262/000089626219000004/0000896262-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/896262/000089626220000006/0000896262-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/896262/000089626221000045/0000896262-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/896262/000089626222000020/0000896262-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,200000,900000,1104165,4070000,572000,1425000,6967000,3515000,4861000,29779000,89679000,17231000,84221000,56190000,2847000,34485000,120295000,48004000,14545000,17303000,8032000,27502000,30197000,86363000,20229000,30294000,81808000,42694000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1100000,200000,900000,1104165,4070000,572000,1425000,6967000,3515000,4861000,29779000,89679000,17231000,84221000,56190000,2847000,34485000,120295000,48004000,14545000,17303000,8032000,27502000,30197000,86363000,20229000,30294000,81808000,42694000
34,Net Receivables,2200000,3800000,6100000,8344873,9748000,7456000,11426000,9228000,10468000,13467000,15185000,24478000,68139000,74929000,96309000,175698000,150269000,141549000,148061000,171972000,119533000,116725000,133510000,175756000,213796000,193972000,243096000,263945000,274961000
35,Inventory,100000,100000,200000,442102,536000,1703000,487000,414000,822000,857000,1879000,3377000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,300000,400000,264125,247000,604000,1501000,911000,244000,3403000,2753000,1356000,6970000,20055000,12014000,15805000,33282000,32086000,35951000,19271000,68443000,10801000,14251000,8957000,10997000,9917000,77164000,16231000,39029000
37,Total Current Assets,3500000,4400000,7600000,10155265,14601000,10335000,14839000,17520000,15049000,22588000,49596000,118890000,92340000,179205000,164513000,194350000,218036000,293930000,232016000,205788000,205279000,135558000,175263000,214910000,311156000,224118000,350554000,361984000,356684000
38,PP&E,400000,1100000,2400000,4609718,4785000,8574000,3439000,2935000,10290000,8257,7219,10003000,27389000,52960000,68313000,79258000,91919000,138554000,148536000,156709000,159025000,137455000,42695000,36999000,31122000,29449000000,28113000,117159000,119692000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213032000,332534000,733881000,786923000,791412000,334695000,209594000,208915000,205587000,261663000,288957000,319949000,329480000,658500000,932685000,1196090000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35658000,66984000,208449000,12733000,14301000,42388000,57608000,53393000,50067000,47050000,36690000,33193000,44047000,46755000,46061000,44132000,64748000,74183000,111190000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35658000,66984000,208449000,225765000,346835000,776269000,844531000,844805000,384762000,256644000,245605000,238780000,305710000,335712000,366010000,373612000,723248000,1006868000,1307280000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,16900000,23800000,25700000,27800000,26400000,35100000,35700000,14200000,- -
43,Tax Assets,- -,- -,- -,447672,926000,- -,- -,- -,- -,1711000,- -,- -,- -,- -,- -,- -,- -,- -,68649000,92804000,90214000,124788000,125245000,107940000,56064000,35794000,21427000,47987000,289000
44,Other Non-Current Assets,400000,800000,1500000,1646132,2558000,25519000,23806000,21115000,22301000,34016743,7211781,3856000,11819000,5826000,7450000,20317000,17865000,22536000,24322000,12050000,9383000,9361000,10472000,10668000,22678000,-29400572000,103691000,19000000,73023000
45,Total Non-Current Assets,800000,1900000,3900000,6703522,8269000,34093000,27245000,24050000,32591000,35736000,42877000,80843000,247657000,284551000,422598000,875844000,954315000,1005895000,626269000,524807000,521127000,534184000,509822000,519119000,502274000,492934000,912179000,1205214000,1500284000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4300000,6300000,11500000,16858787,22870000,44428000,42084000,41570000,47640000,58324000,92473000,199733000,339997000,463756000,587111000,1070194000,1172351000,1299825000,858285000,730595000,726406000,669742000,685085000,734029000,813430000,717052000,1262733000,1567198000,1856968000
48,Accounts Payable,300000,400000,400000,1416259,1338000,7295000,4739000,1590000,2440000,2495000,3340000,6681000,29922000,14339000,14438000,18652000,16535000,23374000,25475000,29175000,20139000,16056000,25682000,30358000,25384000,28531000,31259000,42674000,38217000
49,Short-Term Debt,1500000,2500000,3100000,4927049,6541000,21657000,23115000,6726000,17051000,6379000,5191000,2112000,20695000,3223000,11049000,42632000,44254000,37178000,33888000,37007000,15704000,12800000,5600000,5620000,11538000,1912000,37696000,40542000,44228000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71600000,- -
52,Other Current Liabilities,500000,700000,2300000,2789389,3585000,12663000,13814000,11954000,13918000,22246000,25487000,33183000,49338000,64356000,76249000,143343000,168517000,155752000,162371000,138605000,276573000,133467000,143911000,145370000,178140000,192033000,257988000,301521000,291837000
53,Total Current Liabilities,2300000,3600000,5800000,9132697,11464000,41615000,41668000,22389000,33409000,31120000,34018000,41976000,99955000,81918000,101736000,204627000,229306000,216304000,221734000,204787000,312416000,162323000,175193000,181348000,215062000,222476000,326943000,456337000,374282000
54,Long-Term Debt,200000,500000,1500000,1936795,2995000,4759000,2417000,9343000,5591000,4474000,2696000,1380000,43063000,1719000,12991000,- -,- -,- -,- -,66904000,33000000,104372000,95000000,87809000,78203000,5775000,230556000,266498000,501384000
55,Deferred Revenue,- -,- -,- -,- -,- -,8121000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2756000,6749000,3556000,10781000,18495000,11548000,29399000,52286000,- -,- -,- -,- -,- -,- -,- -,- -,- -,27700000,- -
57,Other Non-Current Liabilities,- -,- -,- -,1286245,131000,1514000,8103000,11758000,5266000,5767000,1604000,1155000,824000,5331000,6069000,291901000,177311000,151520000,116403000,4671000,8511000,5285000,4456000,3730000,3791000,6234000,63733000,5922000,4979000
58,Total Non-Current Liabilities,200000,500000,1500000,3223040,3126000,14394000,10520000,21101000,10857000,10241000,7056000,9284000,47443000,17831000,37555000,303449000,206710000,203806000,116403000,71575000,41511000,109657000,99456000,91539000,81994000,12009000,294289000,300120000,506363000
59,Other Liabilities,100000,500000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1042000,391000,329000,- -,395000,- -,328574000,215153000,181866000,145439000,1200000,1800000,800000,600000,400000,900000,300000,87297000,94633000,100542000
61,Total Liabilities,2400000,4100000,7200000,12355737,14590000,56009000,52188000,43490000,44266000,41361000,41074000,51260000,147398000,99749000,139291000,508076000,436016000,420110000,338137000,276362000,353927000,271980000,274649000,272887000,297056000,234485000,621232000,756457000,880645000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2576,3000,3000,3000,5000,7000,9000,12000,15000,16000,26000,26000,27000,28000,29000,30000,32000,33000,35000,35000,35000,35000,36000,37000,38000,38000
64,Retained Earnings,600000,600000,2400000,2396957,1203000,-23668000,-22368000,-15998000,-13212000,-12460000,-4053000,16451000,46552000,84807000,149570000,236252000,372089000,484669000,102205000,18617000,-77561000,-64785000,-67806000,-30545000,204000,119550000,246383000,429991000,639063000
65,Other Comprehensive Income/Loss,-400000,-600000,-1200000,- -,- -,- -,-5165000,-4682000,-5065000,-6992000,-9999000,-12682000,-628000,-22042000,10000,-447000,114000,25000,13000,15000,15000,15000,15000,15000,15000,15000,15000,- -,- -
66,Other Total Stockholders Equity,1700000,2200000,3100000,2103517,7071000,12084000,17426000,18755000,21644000,36406000,65439000,144689000,146659000,301216000,297365000,325503000,362935000,393134000,416620000,433676000,449714000,461902000,477324000,490698000,515067000,361981000,394015000,379195000,292250000
67,Total Stockholders Equity,1900000,2200000,4300000,4503050,8277000,-11581000,-10104000,-1920000,3374000,16963000,51399000,148473000,192599000,364007000,446971000,561335000,735166000,877857000,518868000,452340000,372201000,397167000,409568000,460203000,515321000,481582000,640450000,809224000,931351000
68,Total Liabilities And Stockholders Equity,4300000,6300000,11500000,16858787,22867000,44428000,42084000,41570000,47640000,58324000,92473000,199733000,339997000,463756000,586262000,1069411000,1171182000,1297967000,857005000,728702000,726128000,669147000,684217000,733090000,812377000,716067000,1261682000,1565681000,1811996000
69,Minority Interest,- -,- -,- -,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,849000,783000,1169000,1858000,1280000,1893000,278000,595000,868000,939000,1053000,985000,1051000,1517000,44972000
70,Total Liabilities & Equity,4300000,6300000,11500000,16858787,22870000,44428000,42084000,41570000,47640000,58324000,92473000,199733000,339997000,463756000,587111000,1070194000,1172351000,1299825000,858285000,730595000,726406000,669742000,685085000,734029000,813430000,717052000,1262733000,1567198000,1856968000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896262/000119312504051054/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312505053157/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312506056356/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312507035162/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312508040101/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312509031143/0001193125-09-031143-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312510037640/0001193125-10-037640-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312511042171/d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312512085131/0001193125-12-085131-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312513103324/0001193125-13-103324-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312514095238/d690541d10k.htm,https://www.sec.gov/Archives/edgar/data/896262/000119312515076564/0001193125-15-076564-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312516498856/0001193125-16-498856-index.html,https://www.sec.gov/Archives/edgar/data/896262/000119312517063925/0001193125-17-063925-index.html,https://www.sec.gov/Archives/edgar/data/896262/000162828018002423/0001628280-18-002423-index.html,https://www.sec.gov/Archives/edgar/data/896262/000089626219000004/0000896262-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/896262/000089626220000006/0000896262-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/896262/000089626221000045/0000896262-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/896262/000089626222000020/0000896262-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-100000,- -,900000,18321,-1194000,-24871000,1300000,6370000,5386000,752000,8407000,20504000,30102000,38255000,65113000,86682000,135837000,112580000,-382464000,-83588000,-96178000,12776000,-3021000,37261000,30301000,119346000,126833000,183608000,209072000
74,Depreciation and Amortization,-100000,-300000,-600000,944676,1240000,1707000,3068000,2872000,3439000,2947000,3072000,4126000,6973000,10558000,13774000,20406000,28312000,34589000,39559000,40059000,37383000,28347000,20036000,19678000,17123000,13261000,54333000,67942000,71265000
75,Deferred Income Tax,- -,- -,-200000,-239672,-566000,926000,- -,- -,- -,-3514000,4620000,6996000,7425000,16499000,2529000,29436000,21547000,25927000,-121949000,-31161000,-57095000,22561000,-677000,24547000,52178000,20271000,13466000,-26560000,44582000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22762000,8292000,7217000,6519000,5597000,11824000,16401000,16295000,17887000,25040000,26730000,23809000
77,Change in Working Capital,-200000,-400000,1000000,-777432,2114432,-34417000,4451000,21960000,-13491000,9828000,24110000,61336000,-84529000,104902000,-34510000,-73054000,-993000,88896000,-67344000,-9281000,-108138000,80372000,26835000,33492000,62532000,-94452000,21969000,-117964000,-131018000
78,Accounts Receivable,100000,-1700000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60478000,5200000,-10494000,-6526000,-42840000,41578000,-5290000,-36493000,-55519000,-59731000,12224000,-24146000,2114000,-18030000
79,Inventory,-100000,- -,- -,- -,- -,- -,546000,235000,-266000,-1307000,-445000,-1134000,-2012000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,100000,100000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11124000,2493000,4694000,-1521000,8072000,-9876000,-3168000,7639000,3970000,-2843000,3165000,-11329000,1941000,-4353000
81,Other Working Capital,1200000,800000,1800000,1022568,3137000,-31280000,-26829000,-4869000,-18360000,-8532000,15578000,76914000,-7615000,97287000,62777000,-10277000,-11270000,77626000,10282000,1001000,-107137000,-26765000,70000,33562000,96094000,1642000,23611000,-94353000,- -
82,Other Non-Cash Items,400000,-300000,500000,-880734,-2736432,64281000,-17996000,-24288000,12328000,1106000,-18421000,-63251000,83569000,-127134000,46179000,87271000,62956000,-78481000,665569000,146248000,319772000,-215187000,52788000,-69120000,-72698000,147170000,-39641000,155196000,-28817000
83,Cash Provided by Operating Activities,- -,-1000000,1600000,-934841,-1142000,7626000,-9177000,6914000,7662000,11119000,21788000,29711000,43540000,43080000,93085000,150741000,247659000,206273000,141663000,69494000,102263000,-65534000,107785000,62259000,105731000,223483000,202000000,288952000,188893000
84,CAPEX,-200000,-800000,-400000,-2965419,-1456000,-3321000,-947000,-338000,-13424000,-1267000,-1789000,-5231000,-20393000,-29271000,-28633000,-33115000,-41573000,-66347000,-44415000,-48262000,-41736000,-12008000,-21429000,-15717000,-10707000,-6558000,-7888000,-5332000,-6302000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-3406000,-2125000,-6772000,-29822000,-144517000,-14077000,-102297000,-471319000,-53572000,-3821000,-132235000,-12499000,3519000,4233000,-68717000,-35522000,-33715000,-9260000,-345460000,-281082000,-269965000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89000000,- -,- -,-6089000,-5045000,- -,-10067000,-6407000,-3485000,-1040000,-476000,-7144000,-210000,-875000,-5619000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,- -,89000000,- -,- -,- -,985000,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-400000,- -,252458,215000,249000,199000,7148000,1057000,73000,234000,102000,209000,-4712000,6606000,-5947000,-7324000,265000,- -,768000,1826000,-118000,21210000,230000,871000,769000,610000,181000,279000
89,Cash Used for Investing Activites,-200000,-1200000,-400000,-2712961,-1241000,-3072000,-748000,6810000,-15773000,-3319000,-8327000,-34951000,-132701000,-48060000,-124324000,-505651000,-97255000,-73616000,-180710000,-59993000,-46458000,-14300000,-67421000,-52049000,-44027000,-22193000,-352948000,-287108000,-281607000
90,Debt Repayment,- -,- -,- -,- -,- -,-3845000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-188620000,-179586000,-44838000,-37485000,-104441000,-81307000,-240704000,-181400000,-139500000,-5319000,-221950000,-205624000,-703200000,-551700000
91,Common Stock Issued,- -,- -,- -,8575,4518000,3244000,- -,- -,438000,9987000,23071000,72156000,5499000,129300000,6327000,3806000,5342000,6204000,5149000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11796000,- -,- -,- -,- -,-4581000,-12315000,-6939000,-187972000,-9556000,-54493000,-116776000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-304000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1300000,1300000,-400000,3873388,856000,-7451000,10963000,-8182000,4221000,-16441000,-11614000,-6466000,43214000,-57330000,-3119000,486381000,55478000,3887000,-908000,61481000,28260000,311267000,165087000,144300000,6720000,142498000,442389000,742716000,723602000
95,Cash Used/Provided by Financing Activities,1300000,1300000,-400000,3881963,5349000,-8052000,10963000,-8182000,4659000,-6454000,11457000,65690000,48713000,71970000,3208000,301567000,-118766000,-46847000,-33244000,-42960000,-53047000,70563000,-20894000,-7515000,-5538000,-267424000,227209000,-14977000,55126000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,234161,2966000,-3498000,1038000,5542000,-3452000,1346000,24918000,60450000,-40448000,66990000,-28031000,-53343000,31638000,85810000,-72291000,-33459000,2758000,-9271000,19470000,2695000,56166000,-66134000,76261000,-13133000,-37588000
98,Cash at the End of Period,- -,- -,- -,1104165,4070000,572000,1425000,6967000,3515000,4861000,29779000,89679000,17231000,84221000,56190000,2847000,34485000,120295000,48004000,14545000,17303000,8032000,27502000,30197000,86363000,20229000,96490000,83357000,45769000
99,Cash at the Beginning of Period,- -,1100000,100000,870004,1104000,4070000,387000,1425000,6967000,3515000,4861000,29229000,57679000,17231000,84221000,56190000,2847000,34485000,120295000,48004000,14545000,17303000,8032000,27502000,30197000,86363000,20229000,96490000,83357000
100,Free Cash Flow,- -,-1800000,1200000,-3900260,-2598000,4305000,-10124000,6576000,-5762000,9852000,19999000,24480000,23147000,13809000,64452000,117626000,206086000,139926000,97248000,21232000,60527000,-77542000,86356000,46542000,95024000,216925000,194112000,283620000,182591000
