,https://roic.ai/company/GGG,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-200000,-1500000,-1600000,-600000,-900000,-4100000,-5600000,-3900000,-4100000,-1500000,-3000000,-3000000,-1700000,-300000,-2000000,-5600000,-4500000,-5342000,-2682000,-1146000,-933000,-750000,-1670000,-1599000,-3644000,-8765000,-5800000,-4601000,-9814000,-7377000,9031000,6175000,172588000,-17224000,-13353000,-25661000,-18579000,-17067000,-22858000
20,Income Before Tax,8300000,11400000,20800000,27000000,23700000,21800000,24500000,29000000,15300000,18000000,13800000,23400000,43600000,52800000,63500000,71400000,88800000,105900000,97500000,111700000,127900000,160781000,189400000,224400000,228836000,178600000,68667000,148540000,209700000,217300000,288800000,315100000,474713000,96655000,347094000,410766000,405877000,374651000,508465000
21,Income Before Tax Ratio,0.0591,0.0685,0.0999,0.1199,0.0989,0.0814,0.0823,0.0903,0.0491,0.0562,0.0428,0.0650,0.1129,0.1348,0.1534,0.1652,0.2007,0.2142,0.2062,0.2294,0.2390,0.2657,0.2588,0.2748,0.2720,0.2185,0.1186,0.1996,0.2342,0.2146,0.2616,0.2580,0.3690,0.0727,0.2354,0.2485,0.2466,0.2270,0.2558
22,Income Tax expense (Gain),4300000,4300000,10000000,12700000,10900000,8500000,10000000,11300000,6400000,6900000,4300000,8100000,15900000,16600000,18800000,24100000,29500000,35800000,32200000,36100000,41200000,52100000,63500000,74600000,76000000,57700000,19700000,45700000,67400000,68200000,78000000,89500000,129000000,55981000,94682000,69712000,62024000,44195000,68599000
23,Net Income,4000000,7100000,10800000,14300000,12800000,13300000,14500000,17700000,8900000,5300000,9500000,15300000,27700000,36200000,44700000,47300000,59300000,70100000,65300000,75600000,86700000,108681000,125900000,149800000,152836000,120900000,48967000,102840000,142300000,149100000,210800000,225600000,345713000,40674000,252412000,341054000,343853000,330456000,439866000
24,Net Income ratio,0.0285,0.0426,0.0518,0.0635,0.0534,0.0496,0.0487,0.0551,0.0285,0.0165,0.0294,0.0425,0.0717,0.0924,0.1080,0.1094,0.1340,0.1418,0.1381,0.1552,0.1620,0.1796,0.1721,0.1835,0.1817,0.1479,0.0845,0.1382,0.1589,0.1473,0.1909,0.1848,0.2687,0.0306,0.1712,0.2063,0.2089,0.2003,0.2213
25,EPS,0.01,0.02,0.04,0.05,0.04,0.05,0.06,0.07,0.03,0.02,0.04,0.06,0.10,0.14,0.17,0.20,0.29,0.34,0.31,0.35,0.42,0.52,0.61,0.74,0.78,0.67,0.27,0.57,0.79,0.82,1.15,1.25,2.00,0.24,1.50,2.04,2.06,1.97,2.59
26,EPS Diluted,0.01,0.02,0.04,0.05,0.04,0.05,0.06,0.07,0.03,0.02,0.04,0.06,0.10,0.14,0.17,0.20,0.28,0.34,0.31,0.35,0.41,0.52,0.60,0.72,0.77,0.66,0.27,0.56,0.77,0.81,1.12,1.22,1.95,0.24,1.45,1.97,2.00,1.92,2.52
27,Weighted Average Shares Outstanding,270600000,291900000,297137946,311058905,287711569,242392579,242756636,242206279,258003987,250461588,256244268,264055398,264587264,265597826,258621429,232481796,204918942,204861039,208789336,214033019,207557713,207670701,206318033,203302262,195109787,180792000,179595000,180627000,180858000,181353000,183609000,180444000,172830000,166851000,167925000,167364000,166515000,167462000,169834000
28,Weighted Average Shares Outstanding Diluted,270600000,291900000,297137946,311058905,287711569,242392579,242756636,242206279,258003987,250461588,256244268,267136966,265840185,267655216,264671053,238264925,211412852,208470925,212823913,216759554,210923514,210350323,209756667,207049770,197632759,182505000,180687000,182409000,184110000,185133000,188370000,185235000,177021000,170880000,174318000,173213000,171624000,172008000,174774000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288895000006/0000042888-95-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288897000003/0000042888-97-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288801000002/0000042888-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/42888/000004288802000004/0000042888-02-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288804000050/0000042888-04-000050-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288805000057/0000042888-05-000057-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288806000062/0000042888-06-000062-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288807000068/0000042888-07-000068-index.htm,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288809000030/0000042888-09-000030-index.htm,- -,https://www.sec.gov/Archives/edgar/data/42888/000095012311016366/0000950123-11-016366-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000119312512069746/0001193125-12-069746-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000119312513064952/0001193125-13-064952-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000119312514056452/0001193125-14-056452-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000095012315002691/0000950123-15-002691-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288816000010/0000042888-16-000010-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288817000006/0000042888-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288818000009/0000042888-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288819000011/0000042888-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288820000015/0000042888-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288821000011/0000042888-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288822000013/0000042888-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12600000,1500000,11500000,12900000,3100000,2000000,4500000,6000000,24000000,18900000,11100000,2400000,1600000,6500000,13500000,3600000,6600000,11100000,26500000,103300000,112100000,60554000,18700000,5900000,4922000,12100000,5412000,9591000,303200000,31100000,19800000,23700000,52295000,52365000,103662000,132118000,220973000,378909000,624302000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,426800000,422300000,421800000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12600000,1500000,11500000,12900000,3100000,2000000,4500000,6000000,24000000,18900000,11100000,2400000,1600000,6500000,13500000,3600000,6600000,11100000,26500000,103300000,112100000,60554000,18700000,5900000,4922000,12100000,5412000,9591000,303200000,457900000,442100000,445500000,52295000,52365000,103662000,132118000,220973000,378909000,624302000
34,Net Receivables,27900000,36000000,45600000,49400000,54300000,59300000,65000000,75000000,66200000,80500000,62200000,75600000,73200000,83500000,86100000,80100000,79700000,85800000,85400000,93600000,98900000,109080000,122900000,134100000,140489000,127500000,100824000,124593000,150900000,171700000,183300000,214900000,225509000,229088000,275014000,289370000,280807000,314946000,325132000
35,Inventory,26000000,37500000,36000000,46600000,43600000,55100000,54700000,60200000,49400000,49900000,35700000,50500000,41700000,41500000,43900000,34000000,37700000,33100000,30300000,30300000,29000000,40219000,56500000,76300000,74737000,91600000,58658000,91620000,105300000,121500000,133800000,159800000,202136000,201609000,239349000,283982000,273233000,285704000,382301000
36,Other Current Assets,2500000,2600000,3000000,1600000,3500000,7900000,8300000,10100000,10100000,12600000,38300000,15400000,12000000,13000000,12800000,13600000,14000000,13700000,13300000,13300000,16100000,17373000,15800000,22700000,28684000,29400000,24099000,26604000,23600000,25900000,33400000,39300000,29077000,20300000,25313000,17746000,16455000,44242000,31886000
37,Total Current Assets,69000000,77600000,96100000,110500000,104500000,124300000,132500000,151300000,149700000,161900000,147300000,143900000,128500000,144500000,156300000,131300000,138000000,143700000,155500000,240500000,256100000,227226000,213900000,239000000,248832000,260600000,188993000,252408000,583000000,777000000,792600000,859500000,509017000,503362000,643338000,723216000,791468000,1023801000,1363621000
38,PP&E,29600000,40600000,42000000,41400000,42800000,45100000,46400000,53100000,44300000,51000000,57700000,70000000,76900000,94200000,100200000,96400000,86500000,84000000,98900000,95000000,94300000,94510000,106500000,124500000,140594000,149800000,139053000,134185000,138200000,151500000,151700000,161200000,178437000,189596000,204298000,229295000,355437000,388557000,481107000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,7900000,9200000,- -,52000000,67200000,67204000,91700000,91740000,91740000,93400000,181200000,190000000,292600000,394488000,259849000,278789000,293846000,307663000,347603000,356255000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,3900000,10600000,18158000,39500000,50300000,42908000,52200000,40170000,28338000,20100000,155100000,151400000,179900000,230586000,180148000,184840000,169052000,165608000,163406000,152134000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,11800000,19800000,18158000,91500000,117500000,110112000,143900000,131910000,120078000,113500000,336300000,341400000,472500000,625074000,439997000,463629000,462898000,473271000,511009000,508389000
42,Investments,2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5224000,5569000,5859000,6129000,6366000,6755000,7252000,7603000,7610000,7541000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1700000,9100000,- -,10900000,14700000,- -,- -,8372000,14696000,- -,21700000,20900000,22500000,22303000,17672000,17253000,16586000,10776000,25828000,55786000
44,Other Non-Current Assets,7000000,3800000,1900000,3700000,4800000,2700000,2800000,5100000,11900000,7500000,11400000,14500000,12400000,9100000,8000000,6000000,11500000,10300000,5700000,6900000,18100000,31820000,22800000,15900000,37186000,25600000,8106000,9107000,39600000,29976000,15031000,23241000,50392000,86116000,55344000,33494000,53655000,31323000,26754000
45,Total Non-Current Assets,39200000,44400000,43900000,45100000,47600000,47800000,49200000,58200000,56200000,58500000,69100000,84500000,89300000,103300000,108200000,102400000,98000000,94300000,120600000,115400000,141300000,144488000,231700000,272600000,287892000,319300000,287441000,278066000,291300000,544700000,534600000,685300000,882335000,739747000,747279000,749525000,900742000,964327000,1079577000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,108200000,122000000,140000000,155600000,152100000,172100000,181700000,209500000,205900000,220400000,216400000,228400000,217800000,247800000,264500000,233700000,236000000,238000000,276100000,355900000,397400000,371714000,445600000,511600000,536724000,579900000,476434000,530474000,874300000,1321700000,1327200000,1544800000,1391352000,1243109000,1390617000,1472741000,1692210000,1988128000,2443198000
48,Accounts Payable,5900000,9300000,- -,- -,- -,- -,23000000,20400000,23100000,19300000,16700000,19800000,13800000,13900000,12500000,12000000,13500000,12900000,10700000,13000000,15800000,18599000,24700000,27400000,27379000,18800000,17983000,19669000,27400000,28900000,34300000,39300000,40505000,39988000,48748000,56902000,54117000,58305000,78432000
49,Short-Term Debt,700000,1000000,1500000,2400000,6000000,11000000,5400000,14500000,11700000,8500000,8700000,11700000,5100000,3800000,2900000,14600000,15900000,15700000,9500000,13204000,4189000,6021000,8321000,18363000,18991000,18311000,12028000,8183000,8658000,8133000,9584000,5016000,15901000,8913000,6578000,11083000,15422000,33361000,127585000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,904000,1550000,733000,2689000,4305000,4561000,5997000,1308000,8608000,7564000,8515000,8706000,8564000,5200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1652000,14909000,- -,14038000,20682000,- -,23007000,- -,- -,17674000,17742000,18827000,19969000,56976000,86653000,50916000,32055000,39327000,41689000,60554000
52,Other Current Liabilities,20400000,24000000,38200000,41200000,43900000,55600000,41500000,49100000,40100000,49300000,74200000,58000000,52700000,62900000,53600000,56400000,48900000,53200000,53100000,52344000,153002000,72153000,64541000,62455000,79507000,61082000,73804000,91902000,77568000,96925000,106189000,110215000,81234000,42431000,139596000,199763000,176456000,188034000,240221000
53,Total Current Liabilities,27000000,34300000,39700000,43600000,49900000,66600000,69900000,84000000,74900000,77100000,99600000,89500000,71600000,80600000,69000000,83000000,78300000,81800000,73300000,80200000,187900000,96773000,111600000,128900000,125877000,121200000,103815000,119754000,131300000,151700000,168900000,174500000,194616000,177985000,245838000,299803000,285322000,321389000,506792000
54,Long-Term Debt,13400000,14400000,13200000,12200000,37400000,34000000,28500000,23900000,19600000,17800000,13900000,26800000,10100000,8100000,6200000,112600000,65700000,18100000,- -,- -,- -,- -,- -,- -,107060000,180000000,86260000,70255000,300000000,556500000,408400000,615000000,392695000,305685000,226035000,266391000,164298000,179224000,98527000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,6300000,7100000,7200000,5700000,3500000,1300000,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11012000,- -,- -,13074000,- -,- -,- -,17674000,21690000,20935000,22454000,22303000,17672000,17253000,16586000,10776000,10264000,10661000
57,Other Non-Current Liabilities,4700000,4400000,3700000,3900000,4800000,4200000,3600000,8500000,11800000,25300000,28200000,30200000,32600000,33100000,31800000,28800000,29100000,27200000,29100000,30200000,39700000,33092000,46300000,51700000,46039000,111000000,76705000,76351000,102626000,137710000,94665000,136746000,146187000,167947000,178428000,138088000,206883000,193347000,117875000
58,Total Non-Current Liabilities,18100000,18800000,23200000,23200000,49400000,43900000,35600000,33700000,33500000,43100000,42100000,57000000,42700000,41200000,38000000,141400000,94800000,45300000,29100000,30200000,39700000,44104000,46300000,51700000,166173000,291000000,162965000,146606000,420300000,715900000,524000000,774200000,561185000,491304000,421716000,421065000,381957000,382835000,227063000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31866000,40402000,32623000
61,Total Liabilities,45100000,53100000,62900000,66800000,99300000,110500000,105500000,117700000,108400000,120200000,141700000,146500000,114300000,121800000,107000000,224400000,173100000,127100000,102400000,110400000,227600000,140877000,157900000,180600000,292050000,412200000,266780000,266360000,551600000,867600000,692900000,948700000,755801000,669289000,667554000,720868000,667279000,704224000,733855000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5600000,5700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,17300000,17000000,25600000,20100000,20400000,20300000,31100000,47500000,46000000,68979000,68400000,66800000,61964000,59500000,59999000,60048000,59700000,60800000,61000000,59200000,55766000,55834000,169319000,165171000,167287000,168568000,170308000
64,Retained Earnings,52300000,56000000,64000000,75000000,42400000,46500000,57100000,70300000,74000000,73700000,42400000,50700000,64900000,85200000,105000000,-35900000,9300000,50200000,89200000,128100000,43300000,62773000,112500000,138700000,32986000,8400000,11121000,44436000,97500000,189300000,272700000,252900000,285508000,206820000,181599000,220734000,448991000,568295000,876916000
65,Other Comprehensive Income/Loss,-1600000,-400000,-31000000,-36500000,-41700000,-46800000,-52300000,-58000000,-61000000,-65800000,-72100000,-75100000,2000000,3000000,1600000,2400000,-95700000,800000,-1600000,-1529000,-930000,-1095000,-4051000,-5124000,-6696000,-74488000,-51727000,-52443000,-76481000,-83745000,-46349000,-100736000,-104497000,-142228000,-127789000,-144857000,-169787000,-124165000,-80169000
66,Other Total Stockholders Equity,6900000,7600000,44100000,50300000,52100000,61900000,71400000,79500000,84500000,92300000,104400000,94900000,19400000,20900000,25300000,22700000,128900000,39600000,55000000,71335000,81440000,100180000,110835000,130628000,- -,174222000,- -,212073000,242021000,287759000,347014000,384668000,398774000,453394000,499934000,510825000,578440000,671206000,- -
67,Total Stockholders Equity,63200000,68900000,77100000,88800000,52800000,61600000,76200000,91800000,97500000,100200000,74700000,81900000,103600000,126100000,157500000,9300000,62900000,110900000,173700000,245406000,169810000,230837000,287684000,331004000,244674000,167634000,209654000,264114000,322740000,454114000,634365000,596032000,635551000,573820000,723063000,751873000,1024931000,1283904000,1709343000
68,Total Liabilities And Stockholders Equity,108300000,122000000,140000000,155600000,152100000,172100000,181700000,209500000,205900000,220400000,216400000,228400000,217900000,247900000,264500000,233700000,236000000,238000000,276100000,355806000,397410000,371714000,445584000,511604000,536724000,579834000,476434000,530474000,874340000,1321714000,1327265000,1544732000,1391352000,1243109000,1390617000,1472741000,1692210000,1988128000,2443198000
69,Minority Interest,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,94000,-10000,- -,16000,-4000,- -,66000,- -,- -,-40000,-14000,-65000,68000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,108200000,122000000,140000000,155600000,152100000,172100000,181700000,209500000,205900000,220400000,216400000,228400000,217800000,247800000,264500000,233700000,236000000,238000000,276100000,355900000,397400000,371714000,445600000,511600000,536724000,579900000,476434000,530474000,874300000,1321700000,1327200000,1544800000,1391352000,1243109000,1390617000,1472741000,1692210000,1988128000,2443198000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288895000006/0000042888-95-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288897000003/0000042888-97-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288801000002/0000042888-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/42888/000004288802000004/0000042888-02-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288804000050/0000042888-04-000050-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288805000057/0000042888-05-000057-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288806000062/0000042888-06-000062-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288807000068/0000042888-07-000068-index.htm,- -,https://www.sec.gov/Archives/edgar/data/42888/000004288809000030/0000042888-09-000030-index.htm,- -,https://www.sec.gov/Archives/edgar/data/42888/000095012311016366/0000950123-11-016366-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000119312512069746/0001193125-12-069746-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000119312513064952/0001193125-13-064952-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000119312514056452/0001193125-14-056452-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000095012315002691/0000950123-15-002691-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288816000010/0000042888-16-000010-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288817000006/0000042888-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288818000009/0000042888-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288819000011/0000042888-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288820000015/0000042888-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288821000011/0000042888-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/42888/000004288822000013/0000042888-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,7100000,10800000,14300000,12800000,13300000,14500000,17700000,8900000,5300000,9500000,15300000,27700000,36200000,44700000,47300000,59300000,70100000,65300000,75600000,86700000,108681000,125900000,149800000,152836000,120900000,48967000,102840000,142300000,149100000,210800000,225600000,345713000,40674000,252412000,341054000,343853000,330456000,439866000
74,Depreciation and Amortization,- -,5100000,5900000,6400000,7200000,7400000,7400000,8900000,9100000,8600000,9300000,10400000,11100000,12700000,13500000,13700000,14700000,15452000,18494000,18080000,18747000,17808000,23496000,26046000,28665000,35495000,35140000,33973000,32483000,38762000,37316000,35515000,44607000,48290000,45583000,47754000,48911000,55329000,59325000
