,https://roic.ai/company/WGO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0905,0.1038,0.1070,0.0311,0.0078,-0.0543,-0.1065,-0.0078,0.0422,0.0077,0.0592,0.0592,0.0682,0.0790,0.1083,0.1084,0.0962,0.1110,0.1049,0.1093,0.1118,0.0912,0.0826,0.0074,-0.2378,0.0199,0.0351,0.0289,0.0641,0.0744,0.0656,0.0738,0.1017,0.0893,0.0907,0.0649,0.1213
17,Operating Income,26600000,9600000,20200000,5500000,-9500000,-25700000,-21700000,-3200000,7900000,17200000,18900000,20700000,3800000,33000000,64000000,70654000,3754000,81197000,77294000,110798000,98255000,63098000,54886000,-9755000,-59515000,520000,11279000,9526000,44398000,63909000,59419000,65741000,125106000,160392000,155267000,113763000,407421000
18,Operating Income ratio,0.0627,0.0257,0.0497,0.0129,-0.0217,-0.0767,-0.0975,-0.0108,0.0206,0.0380,0.0390,0.0427,0.0087,0.0628,0.0959,0.0951,0.0055,0.0980,0.0915,0.0994,0.0990,0.0730,0.0631,-0.0161,-0.2814,0.0012,0.0227,0.0164,0.0553,0.0676,0.0608,0.0674,0.0809,0.0795,0.0782,0.0483,0.1122
19,Total Other Income Expenses (Gains),3400000,19300000,12900000,-2600000,1200000,-5800000,- -,1500000,300000,-1100000,900000,300000,3200000,2900000,2600000,3346000,55446000,2859000,1406000,1402000,2645000,5102000,6514000,4355000,1415000,180000,621000,574000,696000,791000,115000,457000,-16507000,-17752000,-16358000,-36487000,-39971000
20,Income Before Tax,30000000,28900000,33100000,2900000,-8300000,-31500000,-21700000,-1700000,8200000,16100000,19800000,21000000,7000000,35900000,66600000,74000000,59200000,84056000,78700000,112200000,100900000,68200000,61400000,-5400000,-58100000,700000,11900000,10100000,45094000,64700000,59534000,66198000,108599000,142640000,138909000,77276000,367450000
21,Income Before Tax Ratio,0.0707,0.0773,0.0814,0.0068,-0.0190,-0.0940,-0.0975,-0.0058,0.0213,0.0356,0.0409,0.0433,0.0160,0.0684,0.0997,0.0996,0.0868,0.1015,0.0931,0.1007,0.1017,0.0789,0.0706,-0.0089,-0.2747,0.0016,0.0240,0.0174,0.0561,0.0685,0.0610,0.0679,0.0702,0.0707,0.0700,0.0328,0.1012
22,Income Tax expense (Gain),11900000,9200000,13100000,200000,-3600000,-13700000,-5400000,100000,-1100000,-1300000,-8000000,6600000,400000,11500000,22300000,25600000,15500000,29385000,30000000,41600000,35800000,23500000,19800000,-8200000,20700000,-9500000,100000,-34865000,13141000,19624000,18324000,20702000,37269000,40283000,27111000,15834000,85579000
23,Net Income,18100000,19700000,20000000,2700000,-4700000,-17800000,-29400000,-10600000,9300000,-3000000,27800000,12400000,23000000,24400000,44300000,48400000,42700000,54671000,49900000,70600000,65100000,44700000,41600000,2800000,-78800000,10200000,11800000,45000000,31953000,45100000,41210000,45496000,71330000,102357000,111798000,61442000,281871000
24,Net Income ratio,0.0427,0.0527,0.0492,0.0064,-0.0107,-0.0531,-0.1321,-0.0359,0.0242,-0.0066,0.0574,0.0256,0.0525,0.0465,0.0663,0.0651,0.0626,0.0660,0.0590,0.0634,0.0656,0.0517,0.0478,0.0046,-0.3726,0.0227,0.0238,0.0774,0.0398,0.0477,0.0422,0.0467,0.0461,0.0508,0.0563,0.0261,0.0777
25,EPS,0.35,0.39,0.39,0.06,-0.10,-0.36,-0.59,-0.21,0.18,-0.06,0.55,0.24,0.46,0.51,0.99,1.11,1.03,1.37,1.35,2.06,1.95,1.39,1.33,0.10,-2.71,0.35,0.41,1.54,0.38,1.64,1.53,1.69,2.33,3.24,3.55,1.85,8.41
26,EPS Diluted,0.35,0.39,0.39,0.06,-0.10,-0.36,-0.59,-0.21,0.18,-0.06,0.55,0.24,0.46,0.50,0.98,1.10,1.01,1.34,1.32,2.03,1.92,1.37,1.32,0.10,-2.71,0.35,0.41,1.54,0.38,1.64,1.52,1.68,2.32,3.22,3.52,1.84,8.28
27,Weighted Average Shares Outstanding,50985915,51168831,51282051,49090909,49473684,49444444,49830508,50476190,50270270,50000000,50545455,50698000,50769231,48316832,44522613,43360000,41470000,39898000,36974000,34214000,33382000,32265000,31162000,29093000,29040000,29091000,29121000,29145000,27912000,27430000,26941000,26925000,30648000,31596000,31536000,33236000,33528000
28,Weighted Average Shares Outstanding Diluted,50985915,51168831,51282051,49090909,49473684,49444444,49830508,50476190,50270270,50000000,50545455,50698000,50769231,48800000,45204082,44022000,42080000,40768000,37636000,34789000,33812000,32550000,31415000,29144000,29051000,29101000,29148000,29207000,28019000,27545000,27051000,27033000,30766000,31814000,31721000,33454000,34056000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107687/000089710195000449/0000897101-95-000449-index.html,- -,https://www.sec.gov/Archives/edgar/data/107687/000089710197001212/0000897101-97-001212-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710198001180/0000897101-98-001180-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710199001114/0000897101-99-001114-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710100001138/0000897101-00-001138-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710101500784/0000897101-01-500784-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710102000828/0000897101-02-000828-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710103001509/0000897101-03-001509-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710104002375/0000897101-04-002375-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710105002381/0000897101-05-002381-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710106002321/0000897101-06-002321-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710107002206/0000897101-07-002206-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710108002154/0000897101-08-002154-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710109002143/0000897101-09-002143-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768710000020/0000107687-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768711000049/0000107687-11-000049-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768712000041/0000107687-12-000041-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768713000048/0000107687-13-000048-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768714000048/0000107687-14-000048-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768715000045/0000107687-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768716000126/0000107687-16-000126-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768717000094/0000107687-17-000094-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768718000026/0000107687-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768719000024/0000107687-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768720000035/0000107687-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768721000043/0000107687-21-000043-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,29900000,52300000,47500000,62100000,800000,22200000,6600000,13300000,11200000,800000,8900000,800000,32100000,53900000,48200000,51400000,93800000,42225000,99400000,24400000,19500000,24900000,6900000,17900000,36600000,74700000,69300000,62700000,64277000,57800000,70239000,85583000,35945000,2342000,37431000,292575000,434563000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,2100000,- -,- -,- -,- -,- -,- -,- -,- -,51100000,93100000,130000000,102700000,3100000,13500000,17785000,10627000,9074000,- -,15978000,26172000,26492000,27418000,28297000,- -,- -,- -
33,Cash and Short-Term Investments,29900000,52300000,47500000,62100000,800000,22200000,6600000,13300000,11200000,4100000,11000000,800000,32100000,53900000,48200000,51400000,93800000,42225000,99400000,75500000,112600000,154900000,109600000,21000000,50100000,92485000,79927000,71774000,64277000,73778000,96411000,112075000,63363000,30639000,37431000,292575000,434563000
34,Net Receivables,21200000,21300000,34500000,22000000,83900000,33700000,31100000,27600000,36000000,45200000,47200000,41500000,44700000,34800000,57900000,64700000,60400000,66496000,30900000,46100000,40900000,20900000,30300000,16000000,29100000,18900000,21500000,24300000,31013000,69700000,66936000,66184000,124539000,164585000,158049000,220798000,253808000
35,Inventory,72900000,55000000,43300000,67200000,73800000,53300000,32400000,35700000,40600000,55500000,53200000,63100000,53600000,55400000,87000000,85700000,79800000,113654000,114300000,130700000,120700000,77100000,101200000,110600000,46900000,43500000,69200000,87100000,112541000,112800000,112165000,122522000,142265000,195128000,201126000,182941000,341473000
36,Other Current Assets,10400000,8200000,8900000,11400000,41900000,20300000,6500000,5200000,6500000,6100000,9500000,21200000,10800000,10400000,10600000,11700000,10400000,11221000,12700000,17800000,13900000,14300000,16600000,15300000,3300000,-13185000,-5727000,3926000,16019000,15422000,-9295000,-20192000,-16030000,-18414000,14051000,17296000,29069000
37,Total Current Assets,134400000,136800000,134200000,162700000,200400000,129500000,76600000,81800000,94300000,110900000,120900000,126600000,141200000,154500000,203700000,213500000,244400000,233596000,257300000,270100000,288100000,267200000,257700000,162900000,129400000,141700000,164900000,187100000,223850000,271700000,266217000,280589000,314137000,371938000,410657000,713610000,1058913000
38,PP&E,50400000,50000000,48700000,55200000,56300000,54200000,43000000,38100000,37600000,41600000,43000000,39900000,33600000,32900000,38400000,45500000,46500000,48927000,63300000,64000000,63900000,56900000,51400000,40100000,28000000,25700000,22600000,20000000,20266000,25100000,37250000,55931000,71560000,101193000,127572000,204408000,219806000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1200000,1228000,1200000,1228000,1228000,242728000,274370000,274931000,348058000,348058000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,600000,- -,- -,- -,- -,228440000,265717000,256082000,404768000,390407000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,1800000,1228000,1200000,1228000,1228000,471168000,540087000,531013000,752826000,738465000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,- -,17600000,21200000,19700000,21000000,22200000,- -,- -,- -,- -,- -,- -,- -,42245000,41035000,34296000,32201000,27159000,25126000,26172000,26492000,27418000,28297000,26846000,27838000,28821000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,- -,- -,- -,- -,- -,- -,- -,22438000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25649000,- -,- -,- -,- -,4457000,- -,- -,- -
44,Other Non-Current Assets,17700000,47900000,48100000,19100000,29600000,14800000,15500000,19900000,25200000,29300000,16600000,54100000,21100000,22000000,24100000,28700000,28900000,32116000,56900000,60500000,61000000,60600000,57400000,102500000,20855000,18965000,16204000,44999000,10993000,35174000,31307000,26478000,18229000,5833000,8143000,15018000,16562000
45,Total Non-Current Assets,68100000,97900000,96800000,74300000,85900000,69000000,58500000,58000000,62800000,73100000,90700000,94000000,72300000,76100000,82200000,95200000,97600000,103481000,120200000,124500000,124900000,117500000,108800000,142600000,91100000,85700000,75000000,99000000,85295000,86600000,95957000,110129000,588375000,679867000,693574000,1000090000,1003654000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,202500000,234700000,231000000,237000000,286300000,198500000,135100000,139800000,157100000,184000000,211600000,220600000,213500000,230600000,285900000,308700000,342000000,337077000,377500000,394600000,413000000,384700000,366500000,305500000,220500000,227400000,239900000,286100000,309145000,358300000,362174000,390718000,902512000,1051805000,1104231000,1713700000,2062567000
48,Accounts Payable,- -,- -,- -,- -,31300000,26800000,16300000,18400000,19500000,25000000,22600000,20200000,20500000,24500000,38600000,26200000,30800000,44230000,52200000,46700000,34700000,27900000,35300000,15600000,10400000,19700000,21600000,24900000,28142000,33100000,33158000,44134000,79194000,81039000,81635000,132490000,180030000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,4000000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,- -,- -,- -,- -,16050000,- -,- -,2850000,- -,8892000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299000,99000,104000,348000,- -,2927000,2314000,19000,7450000,15655000,- -,8840000,8043000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9610000,9067000,12687000,11575000,- -,- -,649000,8453000,- -,9641000,9995000,18753000,1400000,4457000,- -,- -,- -
52,Other Current Liabilities,45100000,63400000,59400000,81700000,96700000,36800000,22800000,26000000,30100000,25100000,24600000,42400000,20700000,38100000,41400000,45600000,39300000,44371000,40200000,58600000,46290000,43133000,40813000,27125000,30500000,30700000,29051000,27647000,42212000,40909000,38457000,30062000,83714000,118689000,107217000,167900000,227246000
53,Total Current Liabilities,45100000,63400000,59400000,81700000,128000000,63600000,39100000,44400000,49600000,52400000,51200000,64500000,41200000,62600000,80000000,71800000,70100000,88601000,92400000,105300000,90600000,80100000,88800000,54300000,50000000,50400000,51300000,61000000,70354000,99700000,81610000,92949000,167158000,204185000,197744000,300390000,407276000
54,Long-Term Debt,4200000,3200000,2200000,1400000,6400000,3600000,3900000,3100000,3200000,4100000,12700000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271726000,291441000,245402000,512630000,555304000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,15500000,15000000,9400000,4800000,15700000,12100000,2000000,1500000,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8453000,- -,9641000,9995000,- -,1606000,4457000,12032000,15608000,13429000
57,Other Non-Current Liabilities,1200000,1600000,3100000,4100000,5200000,6100000,6400000,16200000,18800000,47700000,47300000,46900000,48400000,51500000,56500000,62000000,64500000,68661000,74400000,87400000,86500000,86300000,69400000,77200000,78100000,79400000,79900000,71947000,68062000,56259000,49606000,29410000,20348000,17277000,16841000,57606000,29615000
58,Total Non-Current Liabilities,20900000,19800000,14700000,10300000,27300000,21800000,12300000,20800000,23800000,51800000,60000000,48600000,48400000,51500000,56500000,62000000,64500000,68661000,74400000,87400000,86500000,86300000,69400000,77200000,78100000,79400000,79900000,80400000,68062000,65900000,59601000,29410000,293680000,313175000,274275000,585844000,598348000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16050000,- -,- -,- -,- -,- -,27048000,26745000
61,Total Liabilities,66000000,83200000,74100000,92000000,155300000,85400000,51400000,65200000,73400000,104200000,111200000,113100000,89600000,114100000,136500000,133800000,134600000,157262000,166800000,192700000,177100000,166400000,158200000,131500000,128100000,129800000,131200000,141400000,138416000,165600000,141211000,122359000,460838000,517360000,472019000,886234000,1005624000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,12900000,- -,12900000,12900000,12900000,12900000,12900000,12944000,12900000,25900000,25900000,25900000,25900000,25900000,25900000,25900000,25900000,25900000,25888000,25900000,25888000,25888000,25888000,25888000,25888000,25888000,25888000
64,Retained Earnings,98100000,112600000,124900000,117800000,103200000,82900000,53500000,43000000,52200000,49300000,69400000,74200000,92200000,111700000,151500000,195600000,234100000,284856000,331000000,392400000,447500000,480400000,509100000,489200000,410400000,420700000,432500000,477500000,509443000,554500000,585941000,620546000,679138000,768816000,866886000,913610000,1172996000
65,Other Comprehensive Income/Loss,-42100000,-50300000,-59600000,-65200000,-69200000,-68500000,-74200000,-77600000,-81000000,-84000000,-87500000,-80900000,-81200000,-81200000,-83100000,-84400000,-88100000,-92383000,-96300000,-102900000,-107500000,-112800000,11090000,9813000,6540000,1242000,-454000,-3686000,849000,-1808000,-2274000,10975000,-1023000,892000,-491000,-526000,-491000
66,Other Total Stockholders Equity,80500000,89200000,91600000,92400000,97000000,98700000,104400000,109200000,112500000,101500000,105600000,114200000,100000000,73100000,68100000,50800000,48600000,- -,-36974000,-113525000,-130013000,-175178000,-337736000,-350989000,-350509000,-350315000,-349216000,-355023000,-365451000,-385844000,-388592000,-389050000,-262329000,-261151000,-260071000,-111506000,-141450000
67,Total Stockholders Equity,136500000,151500000,156900000,145000000,131000000,113100000,83700000,74600000,83700000,79700000,100400000,107500000,123900000,116500000,149400000,174900000,207500000,179815000,210626000,201875000,235887000,218322000,208354000,173924000,92331000,97527000,108730000,144691000,170729000,192748000,220963000,268359000,441674000,534445000,632212000,827466000,1056943000
68,Total Liabilities And Stockholders Equity,202500000,234700000,231000000,237000000,286300000,198500000,135100000,139800000,157100000,183900000,211600000,220600000,213500000,230600000,285900000,308700000,342100000,337077000,377426000,394575000,412987000,384722000,366554000,305424000,220431000,227327000,239930000,286091000,309145000,358348000,362174000,390718000,902512000,1051805000,1104231000,1713700000,2062567000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,-100000,- -,74000,25000,13000,-22000,-54000,76000,69000,73000,-30000,9000,- -,-48000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,202500000,234700000,231000000,237000000,286300000,198500000,135100000,139800000,157100000,184000000,211600000,220600000,213500000,230600000,285900000,308700000,342000000,337077000,377500000,394600000,413000000,384700000,366500000,305500000,220500000,227400000,239900000,286100000,309145000,358300000,362174000,390718000,902512000,1051805000,1104231000,1713700000,2062567000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107687/000089710195000449/0000897101-95-000449-index.html,- -,https://www.sec.gov/Archives/edgar/data/107687/000089710197001212/0000897101-97-001212-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710198001180/0000897101-98-001180-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710199001114/0000897101-99-001114-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710100001138/0000897101-00-001138-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710101500784/0000897101-01-500784-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710102000828/0000897101-02-000828-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710103001509/0000897101-03-001509-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710104002375/0000897101-04-002375-index.html,https://www.sec.gov/Archives/edgar/data/107687/000089710105002381/0000897101-05-002381-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710106002321/0000897101-06-002321-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710107002206/0000897101-07-002206-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710108002154/0000897101-08-002154-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000089710109002143/0000897101-09-002143-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768710000020/0000107687-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768711000049/0000107687-11-000049-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768712000041/0000107687-12-000041-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768713000048/0000107687-13-000048-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768714000048/0000107687-14-000048-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768715000045/0000107687-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768716000126/0000107687-16-000126-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768717000094/0000107687-17-000094-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768718000026/0000107687-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768719000024/0000107687-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768720000035/0000107687-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/107687/000010768721000043/0000107687-21-000043-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-4700000,-17800000,-29400000,-10600000,9300000,-3000000,27800000,12400000,23000000,24400000,44300000,48400000,42700000,54671000,49900000,70600000,65100000,44700000,41600000,2800000,-78800000,10200000,11800000,45000000,31953000,45100000,41210000,45496000,71330000,102357000,111798000,61442000,281871000
74,Depreciation and Amortization,- -,- -,- -,- -,11700000,13300000,11100000,8200000,8000000,7800000,8900000,9700000,6500000,5600000,5700000,6600000,7400000,7879000,8800000,9600000,10000000,10600000,10500000,9900000,7800000,6300000,5500000,4900000,4764000,4000000,4513000,5745000,31975000,19177000,23317000,38101000,32562000
75,Deferred Income Tax,- -,- -,- -,- -,-1300000,-6800000,600000,- -,-1300000,-5000000,-14000000,-600000,1100000,-3200000,-2700000,-2700000,-1500000,-1127000,-1100000,-7600000,3400000,500000,-3200000,3500000,37400000,- -,500000,-34700000,1790000,-48000,215000,2233000,8360000,5784000,7984000,-879000,-2190000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143000,4894000,4871000,- -,- -,546000,1315000,1918000,3009000,3386000,3097000,3293000,2977000,7434000,7058000,6475000,15347000
