,https://roic.ai/company/GSAT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,6404000,-103471000,-265163000,-3541000,21984000,15663000,-24632000,-57710000,-53791000,-59769000,-73235000,-94993000,-87396000,-95895000,-66604000,-63676000,-68786000,-47379000,-64046000,-59163000,-65503000
18,Operating Income ratio,1.0000,-4.1995,-4.4047,-0.0420,0.1729,0.1146,-0.2503,-0.6706,-0.8368,-0.8797,-1.0056,-1.2447,-1.0566,-1.0647,-0.7360,-0.6574,-0.6106,-0.3641,-0.4862,-0.4605,-0.5270
19,Total Other Income Expenses (Gains),-581988000,-46422000,-1101000,-403000,-763000,-6111000,-429000,-9822000,-21148000,-37302000,18202000,-16792000,-502582000,-366090000,140318000,-75513000,-20098000,40988000,79915000,-49814000,-47421000
20,Income Before Tax,-575584000,-149893000,-266264000,-3944000,21221000,9552000,-25061000,-67532000,-74939000,-97071000,-55033000,-111785000,-589978000,-461985000,73714000,-139189000,-88884000,-6391000,15869000,-108977000,-112924000
21,Income Before Tax Ratio,-89.8788,-6.0836,-4.4230,-0.0467,0.1669,0.0699,-0.2547,-0.7848,-1.1658,-1.4288,-0.7557,-1.4647,-7.1330,-5.1295,0.8146,-1.4370,-0.7890,-0.0491,0.1205,-0.8482,-0.9085
22,Income Tax expense (Gain),-73000,66000,133000,-4314000,2502000,-14071000,2864000,480000,-16000,396000,-109000,413000,1138000,881000,1392000,-6543000,190000,125000,545000,662000,-299000
23,Net Income,-575511000,-149959000,-266397000,370000,18719000,23623000,-27925000,-68012000,-74923000,-97467000,-54924000,-112198000,-591116000,-462866000,72322000,-132646000,-89074000,-6516000,15324000,-109639000,-112625000
24,Net Income ratio,-89.8674,-6.0862,-4.4252,0.0044,0.1472,0.1728,-0.2838,-0.7903,-1.1656,-1.4346,-0.7542,-1.4701,-7.1468,-5.1393,0.7992,-1.3694,-0.7906,-0.0501,0.1163,-0.8533,-0.9061
25,EPS,-9.24,-2.41,-4.28,0.01,0.30,0.37,-0.36,-0.79,-0.52,-0.34,-0.18,-0.29,-0.96,-0.50,0.07,-0.12,-0.08,-0.01,0.01,-0.07,-0.06
26,EPS Diluted,-9.24,-2.41,-4.28,0.01,0.30,0.37,-0.36,-0.79,-0.52,-0.34,-0.18,-0.29,-0.96,-0.50,0.07,-0.12,-0.08,-0.01,-0.07,-0.07,-0.06
27,Weighted Average Shares Outstanding,62267130,62267130,62267130,60463917,61855668,63709763,77169138,86405000,145430000,285316000,299144000,388453000,614959000,934356000,1020149000,1064443000,1166581000,1269548000,1450768000,1642359000,1765139000
28,Weighted Average Shares Outstanding Diluted,62596842,62596842,62596842,60463917,61955874,64076182,77169138,86405000,145430000,285316000,299144000,388453000,614959000,934356000,1230394000,1064443000,1166581000,1269548000,1655191000,1642359000,1765139000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1366868/000110465907024668/0001104659-07-024668-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000104746908002849/0001047469-08-002849-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000104746909003549/0001047469-09-003549-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420410013125/0001144204-10-013125-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420411019122/0001144204-11-019122-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420412014521/0001144204-12-014521-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420413015324/0001144204-13-015324-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420414014640/0001144204-14-014640-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686815000011/0001366868-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686816000113/0001366868-16-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686817000019/0001366868-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686818000007/0001366868-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686819000020/0001366868-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686820000030/0001366868-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686821000016/0001366868-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686822000022/0001366868-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15248000,20026000,13330000,20270000,43698000,37554000,12357000,67881000,33017000,9951000,11792000,17408000,7121000,7476000,10230000,41644000,15212000,7606000,13330000,14304000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15248000,20026000,13330000,20270000,43698000,37554000,12357000,67881000,33017000,9951000,11792000,17408000,7121000,7476000,10230000,41644000,15212000,7606000,13330000,14304000
34,Net Receivables,- -,- -,- -,13549000,34652000,19543000,12399000,10075000,9392000,13671000,12393000,13944000,15723000,15015000,14536000,15219000,17113000,19327000,21760000,22147000,21182000
35,Inventory,- -,- -,- -,7687000,17620000,33754000,54939000,55105000,61719000,55635000,41848000,42181000,31817000,14734000,12023000,8093000,7273000,14274000,16341000,13736000,13829000
36,Other Current Assets,- -,- -,- -,10513000,17664000,19557000,14288000,14879000,14736000,16556000,5281000,86632000,16418000,7944000,4456000,4588000,70380000,73688000,17553000,19274000,19558000
37,Total Current Assets,- -,- -,- -,45079000,90206000,116552000,119180000,92416000,153728000,118879000,69473000,154549000,81366000,44814000,38491000,38130000,136410000,122501000,63260000,68487000,68873000
38,PP&E,- -,- -,- -,12780000,21260000,136722000,290103000,636362000,961768000,1150470000,1217718000,1215156000,1169785000,1113560000,1077560000,1039719000,971119000,882695000,815785000,730309000,704197000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,23313000,23798000,8029000,1023000,8266000,1429000,16782000,1972000,5243000,6920000,27520000,30986000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,23313000,23798000,8029000,7103000,8266000,12117000,16782000,1972000,5243000,6920000,27520000,30986000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,4777000,- -,18763000,20303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1261000,2079000,59664000,83389000,74260000,142500000,94146000,109416000,26041000,114354000,101780000,104753000,37983000,19764000,35043000,79625000,61777000,10050000
45,Total Non-Current Assets,- -,- -,- -,18818000,23339000,215149000,393795000,710622000,1104268000,1267929000,1350932000,1249226000,1291242000,1223606000,1194430000,1094484000,992855000,922981000,902330000,819606000,745233000
46,Other Assets,456391000,294374000,48214000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,456391000,294374000,48214000,63897000,113545000,331701000,512975000,803038000,1257996000,1386808000,1420405000,1403775000,1372608000,1268420000,1232921000,1132614000,1129265000,1045482000,965590000,888093000,814106000
48,Accounts Payable,- -,- -,- -,1419000,4193000,11468000,8400000,28370000,76661000,26434000,47808000,35685000,14627000,6922000,8693000,7499000,6048000,6995000,8015000,2917000,6247000
49,Short-Term Debt,- -,- -,- -,1093000,293000,285000,- -,33575000,2259000,- -,- -,655874000,4046000,6450000,32835000,75755000,79215000,96249000,1634000,60154000,2501000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5369000,- -,5744000,6727000,4125000,4173000,3944000,3069000,4022000,4702000,4053000
51,Deferred Revenue,- -,- -,- -,- -,17212000,24720000,19396000,19354000,19911000,19150000,17764000,18041000,17284000,21740000,23902000,26479000,31747000,31938000,29910000,25977000,25927000
52,Other Current Liabilities,- -,- -,- -,13667000,14443000,23243000,19137000,33342000,31061000,48872000,26008000,51560000,104083000,44131000,41601000,62717000,43307000,24498000,23501000,25167000,26890000
53,Total Current Liabilities,- -,- -,- -,16179000,36141000,59716000,46933000,114641000,129892000,94456000,91580000,761160000,140040000,79243000,107031000,172450000,160317000,159680000,63060000,114215000,61565000
54,Long-Term Debt,- -,3425921000,3426338000,3278000,631000,417000,50000000,261479000,463551000,664543000,723888000,95155000,665236000,623640000,606192000,500524000,434651000,367202000,464176000,326586000,267169000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7295000,4640000,7079000,6572000,6413000,5877000,6052000,5692000,5273000,3280000,112054000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395000,1178000,296000
57,Other Non-Current Liabilities,- -,- -,- -,4019000,5343000,10871000,10498000,18495000,77405000,92391000,63847000,48276000,443498000,480049000,276154000,291944000,237021000,153963000,25343000,19769000,7591000
58,Total Non-Current Liabilities,- -,3425921000,3426338000,7297000,5974000,11288000,60498000,279974000,540956000,756934000,795030000,148071000,1115813000,1110261000,888759000,798345000,677724000,526857000,495187000,350813000,387110000
59,Other Liabilities,3454144000,6870893000,6889747000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000,87000,154000,77000,16400000,15056000,31738000
61,Total Liabilities,3454144000,3444972000,3463409000,23476000,42115000,71004000,107431000,394615000,670848000,851390000,886610000,909231000,1255853000,1189504000,995790000,970795000,838041000,686537000,558247000,465028000,448675000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,7000,8000,14000,29000,31000,35000,49000,85000,99000,103000,110000,126000,145000,146000,167000,180000
64,Retained Earnings,- -,- -,- -,- -,- -,22937000,-5618000,-73630000,-95702000,-200800000,-255724000,-367922000,-959038000,-1421904000,-1349582000,-1482228000,-1571302000,-1574725000,-1559401000,-1670724000,-1783349000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1066000,71430000,-1166000,3411000,-6304000,-1718000,-268000,-3100000,-1758000,871000,-2898000,-4833000,-5378000,-6939000,-3839000,-3449000,-2944000,1890000
66,Other Total Stockholders Equity,- -,- -,- -,40421000,83236000,238919000,407743000,488343000,684539000,736455000,792584000,864175000,1074837000,1503619000,1591443000,1649315000,1869339000,1937364000,1970047000,2096566000,2146710000
67,Total Stockholders Equity,-2997753000,-3150598000,-3415195000,40421000,71430000,260697000,405544000,408423000,587148000,535418000,533795000,494544000,116755000,78916000,237131000,161819000,291224000,358945000,407343000,423065000,365431000
68,Total Liabilities And Stockholders Equity,456391000,294374000,48214000,63897000,113545000,331701000,512975000,803038000,1257996000,1386808000,1420405000,1403775000,1372608000,1268420000,1232921000,1132614000,1129265000,1045482000,965590000,888093000,814106000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,456391000,294374000,48214000,63897000,113545000,331701000,512975000,803038000,1257996000,1386808000,1420405000,1403775000,1372608000,1268420000,1232921000,1132614000,1129265000,1045482000,965590000,888093000,814106000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1366868/000110465907024668/0001104659-07-024668-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000104746908002849/0001047469-08-002849-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000104746909003549/0001047469-09-003549-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420410013125/0001144204-10-013125-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420411019122/0001144204-11-019122-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420412014521/0001144204-12-014521-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420413015324/0001144204-13-015324-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420414014640/0001144204-14-014640-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686815000011/0001366868-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686816000113/0001366868-16-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686817000019/0001366868-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686818000007/0001366868-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686819000020/0001366868-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686820000030/0001366868-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686821000016/0001366868-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686822000022/0001366868-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,370000,18719000,23623000,-27925000,-68012000,-74923000,-97467000,-54924000,-112198000,-591116000,-462866000,72322000,-132646000,-89074000,-6516000,15324000,-109639000,-112625000
74,Depreciation and Amortization,- -,- -,- -,1959000,3044000,6973000,21246000,26956000,21862000,- -,53722000,69801000,90592000,86146000,77247000,77390000,77498000,90438000,95772000,96815000,96237000
75,Deferred Income Tax,- -,- -,- -,-4777000,2422000,-17720000,-554000,1332000,- -,- -,- -,- -,- -,- -,- -,-6317000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,12482000,9947000,878000,1995000,793000,2127000,3400000,2955000,4858000,5088000,6995000,5700000,5670000,6541000
77,Change in Working Capital,- -,- -,- -,-3342000,25165000,2771000,15411000,-94472000,46061000,587000,-46530000,-584504000,547937000,24245000,-34111000,-65780000,110413000,-13272000,37379000,-45928000,99003000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-128000,1405000,-5201000,-978000,-2875000,-4321000,-2200000,-3454000,-2196000,-2983000,-3792000,-4299000,-8494000,1361000
79,Inventory,- -,- -,- -,3187000,-9634000,-18090000,-36445000,-12416000,4189000,-1402000,4252000,-1018000,3124000,4187000,1118000,4571000,50000,-486000,-1664000,2176000,-80000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,6825000,-8584000,-155000,6773000,3431000,-2595000,-1725000,702000,102000,-1114000,3979000,-173000,-197000,-3647000
81,Other Working Capital,- -,- -,- -,28900000,54065000,56836000,72247000,-22225000,23836000,24423000,-22107000,-606611000,-58674000,-34429000,-68540000,-134320000,-23907000,-37179000,200000,-45728000,107298000
82,Other Non-Cash Items,- -,- -,- -,941000,-35656000,-1076000,-15847000,91129000,-21370000,72664000,40234000,632982000,-56002000,353056000,-116251000,131308000,-90068000,-71725000,-151127000,75297000,42725000
83,Cash Provided by Operating Activities,- -,- -,- -,-4849000,13694000,14571000,-7669000,-30585000,-18423000,-23338000,-5503000,6874000,-6462000,3981000,2162000,8813000,13857000,5920000,3048000,22215000,131881000
84,CAPEX,- -,- -,- -,-3927000,-9885000,-107544000,-169989000,-286086000,-324098000,-7286000,-88183000,-781000,-1651000,-4673000,-8043000,-11381000,-9321000,-10369000,-8149000,-7219000,-45536000
85,Acquisitions Net,- -,- -,- -,- -,-342000,-191000,-1657000,-781000,-1823000,-1110000,-800000,-550000,-634000,- -,-240000,- -,455000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-88000,86000,-52581000,-11732000,28286000,14229000,-196995000,-96025000,-56679000,-34834000,-14604000,-27715000,-15231000,-15706000,-10052000,-6897000,-9379000,-38879000
89,Cash Used for Investing Activites,- -,- -,- -,-4015000,-10141000,-160316000,-183378000,-258581000,-311692000,-205391000,-99419000,-58010000,-37119000,-19277000,-33478000,-24616000,-20776000,-17401000,-11491000,-14536000,-45186000
90,Debt Repayment,- -,- -,- -,-10000000,- -,- -,- -,- -,-75472000,- -,- -,- -,-19794000,-4046000,-6450000,-32835000,-75755000,-77866000,-261029000,-3373000,-186990000
91,Common Stock Issued,- -,- -,- -,- -,- -,163989000,152657000,520000,1000000,74000,- -,244000,86414000,9547000,39726000,51337000,160994000,59946000,4282000,638000,44425000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,12000000,2899000,6612000,40832000,252013000,461228000,194596000,82638000,52142000,-17648000,-164000,- -,- -,-21449000,-276000,248824000,3899000,2283000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,2000000,2899000,170601000,193489000,252533000,386756000,194670000,82638000,52386000,48972000,5337000,33276000,18502000,63790000,-18196000,-7923000,1164000,-140282000
96,Effect of Forex Changes on Cash,- -,- -,- -,168000,488000,-1428000,-8586000,11436000,-1117000,-805000,-782000,591000,225000,-328000,-1605000,55000,195000,-112000,4000,52000,-132000
97,Net Change In Cash,- -,- -,- -,-6696000,6940000,23428000,-6144000,-25197000,55524000,-34864000,-23066000,1841000,5616000,-10287000,355000,2754000,57066000,-29789000,-16362000,8895000,-53719000
98,Cash at the End of Period,- -,- -,- -,13330000,20270000,43698000,37554000,12357000,67881000,33017000,9951000,11792000,17408000,7121000,7476000,10230000,105279000,75490000,59128000,68023000,14304000
99,Cash at the Beginning of Period,- -,- -,- -,20026000,13330000,20270000,43698000,37554000,12357000,67881000,33017000,9951000,11792000,17408000,7121000,7476000,48213000,105279000,75490000,59128000,68023000
100,Free Cash Flow,- -,- -,- -,-8776000,3809000,-92973000,-177658000,-316671000,-342521000,-30624000,-93686000,6093000,-8113000,-692000,-5881000,-2568000,4536000,-4449000,-5101000,14996000,86345000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1366868/000110465907024668/0001104659-07-024668-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000104746908002849/0001047469-08-002849-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000104746909003549/0001047469-09-003549-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420410013125/0001144204-10-013125-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420411019122/0001144204-11-019122-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420412014521/0001144204-12-014521-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420413015324/0001144204-13-015324-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000114420414014640/0001144204-14-014640-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686815000011/0001366868-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686816000113/0001366868-16-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686817000019/0001366868-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686818000007/0001366868-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686819000020/0001366868-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686820000030/0001366868-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686821000016/0001366868-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1366868/000136686822000022/0001366868-22-000022-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
