,https://roic.ai/company/AAL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357000000,181000000,34000000,57000000,26000000,26000000,20000000,31000000,39000000,63000000,94000000,118000000,127000000,41000000,18000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,914000000,723000000,702000000,823000000,786000000,612000000,856000000,887000000,880000000,991000000,1053000000,1056000000,1095000000,1227000000,1800000000
14,Depreciation and Amortization,336900000,388700000,485900000,552800000,-612700000,-723100000,-883000000,-1041000000,-1223000000,1253000000,1259000000,1204000000,1244000000,1287000000,1092000000,1202000000,1404000000,1366000000,1377000000,1292000000,1164000000,1157000000,1202000000,1207000000,1104000000,1093000000,1086000000,1015000000,1020000000,1513000000,1609000000,1818000000,2017000000,2159000000,2318000000,2370000000,2335000000
15,EBITDA,855900000,807300000,808400000,1293500000,105700000,-756400000,-1223000000,-2198000000,-1350000000,1623000000,1588000000,2748000000,2890000000,3459000000,2427000000,2523000000,-1352000000,-3482000000,69000000,531000000,303000000,1388000000,2620000000,-141000000,54000000,1410000000,-107000000,-818000000,-304000000,5612000000,7105000000,7108000000,6154000000,5099000000,5669000000,-7856000000,1587000000
16,EBITDA ratio,0.1396,0.1341,0.1123,0.1466,0.0101,-0.0645,-0.0949,-0.1527,-0.0854,0.1006,0.0939,0.1548,0.1556,0.1801,0.1369,0.1281,-0.0713,-0.2013,0.0040,0.0285,0.0146,0.0615,0.1142,-0.0059,0.0027,0.0636,-0.0045,-0.0329,-0.0114,0.1316,0.1733,0.1769,0.1458,0.1145,0.1239,-0.4531,0.0531
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,1006000000,1015000000,1839000000,1926000000,2338000000,1156000000,1381000000,-2470000000,-3330000000,-844000000,-144000000,-93000000,1060000000,965000000,-1889000000,-1004000000,308000000,-1054000000,107000000,1399000000,4249000000,6204000000,5284000000,4058000000,2656000000,3065000000,-10421000000,-1059000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0623,0.0600,0.1036,0.1037,0.1217,0.0652,0.0701,-0.1303,-0.1925,-0.0484,-0.0077,-0.0045,0.0470,0.0421,-0.0795,-0.0504,0.0139,-0.0440,0.0043,0.0523,0.0996,0.1514,0.1315,0.0961,0.0596,0.0670,-0.6011,-0.0354
19,Total Other Income Expenses (Gains),-17600000,7700000,-138600000,-65800000,-25600000,-157300000,-345000000,-672000000,-803000000,-636000000,-657000000,-206000000,-280000000,-174000000,-150000000,-94000000,-286000000,-530000000,-464000000,-617000000,-768000000,-829000000,-461000000,-182000000,-748000000,-814000000,-925000000,-2552000000,-3579000000,-1037000000,-1588000000,-985000000,-974000000,-772000000,-809000000,-1032000000,-1489000000
20,Income Before Tax,519000000,418600000,322500000,740700000,718400000,-33300000,-340000000,-697000000,-113000000,370000000,358000000,1633000000,1646000000,2164000000,1006000000,1287000000,-2756000000,-3860000000,-1308000000,-761000000,-861000000,231000000,504000000,-2071000000,-1752000000,-506000000,-1979000000,-2445000000,-2180000000,3212000000,4616000000,4299000000,3084000000,1884000000,2256000000,-11453000000,-2548000000
21,Income Before Tax Ratio,0.0847,0.0696,0.0448,0.0839,0.0686,-0.0028,-0.0264,-0.0484,-0.0071,0.0229,0.0212,0.0920,0.0886,0.1127,0.0567,0.0653,-0.1453,-0.2231,-0.0750,-0.0408,-0.0416,0.0102,0.0220,-0.0871,-0.0880,-0.0228,-0.0825,-0.0984,-0.0815,0.0753,0.1126,0.1070,0.0731,0.0423,0.0493,-0.6606,-0.0853
22,Income Tax expense (Gain),173200000,139500000,124100000,263900000,263600000,6300000,-100000000,-222000000,-17000000,142000000,162000000,528000000,661000000,858000000,350000000,508000000,-994000000,-1337000000,-80000000,- -,- -,- -,- -,- -,-284000000,-35000000,- -,-569000000,-346000000,330000000,-2994000000,1623000000,1165000000,472000000,570000000,-2568000000,-555000000
23,Net Income,345800000,279100000,198400000,476800000,454800000,-39600000,-240000000,-935000000,-110000000,228000000,167000000,1016000000,985000000,1314000000,985000000,813000000,-1762000000,-3511000000,-1228000000,-761000000,-861000000,231000000,504000000,-2071000000,-1468000000,-471000000,-1979000000,-1876000000,-1834000000,2882000000,7610000000,2676000000,1919000000,1412000000,1686000000,-8885000000,-1993000000
24,Net Income ratio,0.0564,0.0464,0.0276,0.0540,0.0434,-0.0034,-0.0186,-0.0649,-0.0070,0.0141,0.0099,0.0572,0.0530,0.0684,0.0556,0.0413,-0.0929,-0.2030,-0.0704,-0.0408,-0.0416,0.0102,0.0220,-0.0871,-0.0737,-0.0212,-0.0825,-0.0755,-0.0686,0.0676,0.1857,0.0666,0.0455,0.0317,0.0368,-0.5125,-0.0667
25,EPS,7.98,6.24,4.36,10.60,9.59,-0.83,-4.79,-16.79,-3.00,12.07,5.65,31.14,29.59,20.83,17.30,14.54,-30.60,-60.43,-20.78,-12.69,-13.95,3.03,5.52,-21.37,-13.36,-3.78,-15.82,-14.99,-17.03,4.02,11.39,4.85,3.92,3.04,3.80,-18.36,-4.12
26,EPS Diluted,7.84,6.24,4.36,10.31,9.59,-0.83,-4.79,-16.79,-3.00,12.07,5.65,29.96,28.86,20.13,16.76,13.47,-30.60,-60.43,-20.78,-12.69,-13.95,2.62,4.77,-21.37,-13.36,-3.78,-15.82,-14.99,-17.03,3.93,11.07,4.81,3.90,3.03,3.79,-18.36,-4.12
27,Weighted Average Shares Outstanding,42200487,44226888,44499202,43999432,46186718,47711613,50078212,55697368,56691964,28405876,28676303,32629063,33293891,63082134,56950077,55921823,57577165,58101839,59105412,59964873,61724280,76352655,91507500,96736500,109809000,124375500,125122500,125122500,107645000,717456000,668393000,552308000,489164000,464236000,443363000,483888000,483888000
28,Weighted Average Shares Outstanding Diluted,42920631,44226888,44499202,45256558,46186718,47711613,50078212,55697368,56691964,67230000,67977000,33912064,34127783,65263165,58769569,60368887,57577165,58101839,59105412,59964873,61724280,88039286,111676500,96736500,109809000,124375500,125122500,125122500,107645000,734016000,687355000,556099000,491692000,465660000,444269000,483888000,483888000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6201/000095013404002668/0000950134-04-002668-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000095013405003726/0000950134-05-003726-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000095013406003715/0000950134-06-003715-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000095013407003888/0000950134-07-003888-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6201/000095012311014726/0000950123-11-014726-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312512063516/0001193125-12-063516-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620113000023/0000006201-13-000023-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620114000004/0000006201-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312515061145/0001193125-15-061145-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312516474605/0001193125-16-474605-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312517051216/0001193125-17-051216-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620118000009/0000006201-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620119000009/0000006201-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620120000023/0000006201-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620121000014/0000006201-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620122000026/0000006201-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1357000000,1083400000,1012300000,1286600000,120300000,113500000,94000000,45000000,63000000,23000000,82000000,68000000,64000000,95000000,85000000,89000000,120000000,104000000,120000000,120000000,138000000,121000000,148000000,191000000,153000000,168000000,283000000,480000000,1140000000,994000000,390000000,322000000,295000000,275000000,280000000,245000000,273000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,754000000,819000000,1743000000,2370000000,1978000000,1706000000,2144000000,2872000000,1846000000,2486000000,2809000000,3676000000,4594000000,4387000000,2916000000,4246000000,4328000000,3718000000,3412000000,8111000000,6309000000,5864000000,6037000000,4771000000,4485000000,3546000000,6619000000,12158000000
33,Cash and Short-Term Investments,1357000000,1083400000,1012300000,1286600000,120300000,113500000,94000000,45000000,63000000,777000000,901000000,1811000000,2434000000,2073000000,1791000000,2233000000,2992000000,1950000000,2606000000,2929000000,3814000000,4715000000,4535000000,3107000000,4399000000,4496000000,4001000000,3892000000,9251000000,7303000000,6254000000,6359000000,5066000000,4760000000,3826000000,6864000000,12431000000
34,Net Receivables,631600000,690300000,729200000,833600000,886100000,951400000,803000000,947000000,910000000,1206000000,1153000000,1382000000,1370000000,1543000000,1134000000,1303000000,1414000000,858000000,796000000,836000000,991000000,988000000,1027000000,811000000,768000000,738000000,902000000,1124000000,1560000000,1771000000,1425000000,1594000000,1752000000,1706000000,1750000000,1342000000,1505000000
35,Inventory,224600000,262500000,299400000,375100000,490400000,608500000,620000000,685000000,688000000,678000000,589000000,633000000,636000000,596000000,708000000,757000000,822000000,627000000,516000000,488000000,515000000,506000000,601000000,525000000,557000000,594000000,617000000,580000000,1012000000,1004000000,863000000,1094000000,1359000000,1522000000,1851000000,1614000000,1795000000
36,Other Current Assets,57600000,73200000,105400000,119700000,594400000,984400000,1289000000,1191000000,1029000000,457000000,494000000,644000000,631000000,663000000,791000000,886000000,1312000000,1502000000,764000000,718000000,844000000,693000000,1066000000,1492000000,918000000,1010000000,1237000000,1476000000,2500000000,2034000000,1443000000,1277000000,969000000,649000000,779000000,1275000000,1605000000
37,Total Current Assets,2270800000,2109400000,2146300000,2615000000,2091200000,2657800000,2806000000,2868000000,2690000000,3118000000,3137000000,4470000000,5071000000,4875000000,4424000000,5179000000,6540000000,4937000000,4682000000,4971000000,6164000000,6902000000,7229000000,5935000000,6642000000,6838000000,6757000000,7072000000,14323000000,12112000000,9985000000,10324000000,9146000000,8637000000,8206000000,11095000000,17336000000
38,PP&E,3648700000,4741400000,5587900000,6272300000,7819600000,7852600000,9481000000,11379000000,12261000000,13898000000,13565000000,13305000000,13257000000,14386000000,16287000000,18636000000,19655000000,19694000000,19460000000,19137000000,18546000000,20133000000,17394000000,15735000000,15476000000,15082000000,14306000000,13402000000,19259000000,23084000000,27510000000,31159000000,34156000000,43249000000,43732000000,39738000000,37387000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1392000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4086000000,4091000000,4091000000,4091000000,4091000000,4091000000,4091000000,4091000000,4091000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1325000000,1292000000,1253000000,1223000000,1194000000,1167000000,1156000000,1109000000,252000000,932000000,186000000,869000000,2311000000,2240000000,2249000000,2173000000,2203000000,2137000000,2084000000,2029000000,1988000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1414000000,1367000000,1319000000,1270000000,1228000000,1191000000,1143000000,2717000000,1292000000,1253000000,1223000000,1194000000,1167000000,1156000000,1109000000,252000000,932000000,186000000,869000000,6397000000,6331000000,6340000000,6264000000,6294000000,6228000000,6175000000,6120000000,6079000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2477000000,1498000000,427000000,1145000000,645000000,3239000000,3556000000
44,Other Non-Current Assets,501600000,677200000,689100000,835100000,966600000,2843200000,3921000000,4459000000,4375000000,1056000000,1487000000,1403000000,1317000000,1814000000,2472000000,1255000000,3929000000,4344000000,3935000000,3442000000,3591000000,943000000,2792000000,2396000000,3068000000,2236000000,2599000000,2167000000,2299000000,2244000000,2103000000,2029000000,1373000000,1321000000,1237000000,1816000000,2109000000
45,Total Non-Current Assets,4150300000,5418600000,6277000000,7107400000,8786200000,10695800000,13402000000,15838000000,16636000000,16368000000,16419000000,16027000000,15844000000,17428000000,19950000000,21034000000,26301000000,25330000000,24648000000,23802000000,23331000000,22243000000,21342000000,19240000000,18796000000,18250000000,17091000000,16438000000,27955000000,31659000000,38430000000,40950000000,42250000000,51943000000,51789000000,50913000000,49131000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6421100000,7528000000,8423300000,9722400000,10877400000,13353600000,16208000000,18706000000,19326000000,19486000000,19556000000,20497000000,20915000000,22303000000,24374000000,26213000000,32841000000,30267000000,29330000000,28773000000,29495000000,29145000000,28571000000,25175000000,25438000000,25088000000,23848000000,23510000000,42278000000,43771000000,48415000000,51274000000,51396000000,60580000000,59995000000,62008000000,66467000000
48,Accounts Payable,- -,- -,- -,- -,929300000,966300000,1001000000,948000000,921000000,920000000,817000000,1068000000,1021000000,1152000000,1115000000,1267000000,1785000000,1198000000,967000000,1003000000,1078000000,1073000000,1182000000,952000000,1064000000,1156000000,1007000000,1244000000,1368000000,1377000000,1563000000,1592000000,1688000000,1773000000,2062000000,1196000000,1772000000
49,Short-Term Debt,143200000,278100000,205100000,213200000,433000000,1319100000,1036000000,662000000,310000000,590000000,228000000,424000000,397000000,48000000,302000000,569000000,556000000,868000000,804000000,806000000,1239000000,1349000000,1049000000,5664000000,4545000000,1883000000,1518000000,1419000000,1446000000,1708000000,2231000000,1855000000,2554000000,4948000000,4569000000,4448000000,3996000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4524000000,4380000000,4252000000,6272000000,6701000000,6769000000,7606000000,8001000000,6790000000,8983000000
52,Other Current Liabilities,1659700000,1706900000,1865900000,2582400000,2116800000,2539300000,2705000000,3110000000,3186000000,3404000000,3648000000,4074000000,4199000000,4439000000,4447000000,5154000000,5171000000,5174000000,4788000000,5209000000,6003000000,6083000000,6252000000,2758000000,2119000000,5741000000,6105000000,2117000000,6612000000,6098000000,3539000000,3724000000,3953000000,3769000000,3679000000,4135000000,4255000000
53,Total Current Liabilities,1802900000,1985000000,2071000000,2795600000,3479100000,4824700000,4742000000,4720000000,4417000000,4914000000,4693000000,5566000000,5617000000,5639000000,5864000000,6990000000,7512000000,7240000000,6559000000,7018000000,8320000000,8505000000,8483000000,9374000000,7728000000,8780000000,8630000000,9304000000,13806000000,13435000000,13605000000,13872000000,14964000000,18096000000,18311000000,16569000000,19006000000
54,Long-Term Debt,1830700000,2412000000,2782100000,2749500000,2305800000,3271900000,5879000000,7838000000,7554000000,5603000000,4983000000,2752000000,2260000000,2436000000,4078000000,4151000000,8310000000,12310000000,13126000000,13524000000,13456000000,12041000000,10093000000,9001000000,10583000000,9253000000,6702000000,7116000000,15353000000,16196000000,18330000000,22489000000,22511000000,29081000000,28875000000,36573000000,42181000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,733000000,696000000,647000000,610000000,573000000,613000000,508000000,520000000,487000000,520000000,470000000,421000000,372000000,320000000,297000000,272000000,270000000,110000000,223000000,935000000,829000000,667000000,526000000,- -,5272000000,5422000000,7162000000,6239000000
56,Deferred Tax Liabilities,299700000,483100000,573500000,667500000,802400000,650400000,541000000,196000000,310000000,279000000,446000000,743000000,1105000000,1491000000,1846000000,2385000000,1627000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,306900000,163000000,315600000,361800000,524300000,879200000,1252000000,2603000000,2769000000,4577000000,5018000000,5121000000,5107000000,5466000000,5115000000,5003000000,9499000000,9273000000,9079000000,8342000000,8776000000,8833000000,7018000000,9438000000,10344000000,10730000000,15517000000,14854000000,14915000000,11290000000,10178000000,10602000000,9995000000,8300000000,7505000000,8571000000,6381000000
58,Total Non-Current Liabilities,2437300000,3058100000,3671200000,3778800000,3632500000,4801500000,7672000000,10637000000,10633000000,11192000000,11143000000,9263000000,9082000000,9966000000,11652000000,12047000000,19956000000,22070000000,22725000000,22336000000,22653000000,21246000000,17431000000,18736000000,21199000000,20253000000,22329000000,22193000000,31203000000,28315000000,29175000000,33617000000,32506000000,42653000000,41802000000,52306000000,54801000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1577000000,1426000000,1235000000,1088000000,927000000,827000000,689000000,689000000,604000000,- -,412000000,- -,- -,- -,- -,- -,9556000000,9129000000,8428000000,8117000000
61,Total Liabilities,4240200000,5043100000,5742200000,6574400000,7111600000,9626200000,12414000000,15357000000,15050000000,16106000000,15836000000,14829000000,14699000000,15605000000,17516000000,19037000000,27468000000,29310000000,29284000000,29354000000,30973000000,29751000000,25914000000,28110000000,28927000000,29033000000,30959000000,31497000000,45009000000,41750000000,42780000000,47489000000,47470000000,60749000000,60113000000,68875000000,73807000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,76000000,91000000,91000000,182000000,182000000,182000000,182000000,182000000,182000000,182000000,195000000,228000000,255000000,285000000,339000000,339000000,341000000,341000000,3000000,7000000,6000000,5000000,5000000,5000000,4000000,6000000,6000000
64,Retained Earnings,1092100000,1367700000,1561900000,2028400000,2465100000,2422200000,2181000000,1256000000,1084000000,1213000000,1418000000,2434000000,3419000000,4733000000,5718000000,5950000000,4188000000,677000000,-551000000,-1312000000,-2173000000,-1894000000,-1390000000,-3461000000,-5136000000,-5607000000,-7586000000,-9462000000,-11296000000,-8562000000,-1230000000,1640000000,3361000000,136000000,2264000000,-6664000000,-8638000000
65,Other Comprehensive Income/Loss,-2219400000,-2274300000,-2634100000,-3108300000,-3669500000,-2698000000,-3991000000,-4529000000,-4914000000,-6363000000,-6659000000,-7043000000,-7911000000,-8595000000,-8750000000,-9521000000,-10004000000,-1076000000,-785000000,-664000000,-979000000,-1291000000,670000000,- -,-2724000000,-2755000000,-3964000000,-2980000000,-2032000000,-4559000000,-4732000000,-5083000000,-5154000000,-5274000000,-6331000000,-7103000000,-5942000000
66,Other Total Stockholders Equity,3308200000,3391500000,3753300000,4227900000,4970200000,4003200000,5604000000,6622000000,8106000000,8454000000,8885000000,10186000000,10617000000,10378000000,9708000000,10565000000,11007000000,1174000000,1200000000,1213000000,1479000000,2351000000,3122000000,- -,4032000000,4078000000,4098000000,4114000000,10594000000,15135000000,11591000000,7223000000,5714000000,4964000000,3945000000,6894000000,- -
67,Total Stockholders Equity,2180900000,2484900000,2681100000,3148000000,3765800000,3727400000,3794000000,3349000000,4276000000,3380000000,3720000000,5668000000,6216000000,6698000000,6858000000,7176000000,5373000000,957000000,46000000,-581000000,-1478000000,-606000000,2657000000,-2935000000,-3489000000,-3945000000,-7111000000,-7987000000,-2731000000,2021000000,5635000000,3785000000,3926000000,-169000000,-118000000,-6867000000,-7340000000
68,Total Liabilities And Stockholders Equity,6421100000,7528000000,8423300000,9722400000,10877400000,13353600000,16208000000,18706000000,19326000000,19486000000,19556000000,20497000000,20915000000,22303000000,24374000000,26213000000,32841000000,30267000000,29330000000,28773000000,29495000000,29145000000,28571000000,25175000000,25438000000,25088000000,23848000000,23510000000,42278000000,43771000000,48415000000,51274000000,51396000000,60580000000,59995000000,62008000000,66467000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6421100000,7528000000,8423300000,9722400000,10877400000,13353600000,16208000000,18706000000,19326000000,19486000000,19556000000,20497000000,20915000000,22303000000,24374000000,26213000000,32841000000,30267000000,29330000000,28773000000,29495000000,29145000000,28571000000,25175000000,25438000000,25088000000,23848000000,23510000000,42278000000,43771000000,48415000000,51274000000,51396000000,60580000000,59995000000,62008000000,66467000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6201/000095013404002668/0000950134-04-002668-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000095013405003726/0000950134-05-003726-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000095013406003715/0000950134-06-003715-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000095013407003888/0000950134-07-003888-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6201/000095012311014726/0000950123-11-014726-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312512063516/0001193125-12-063516-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620113000023/0000006201-13-000023-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620114000004/0000006201-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312515061145/0001193125-15-061145-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312516474605/0001193125-16-474605-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312517051216/0001193125-17-051216-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620118000009/0000006201-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620119000009/0000006201-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620120000023/0000006201-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620121000014/0000006201-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620122000026/0000006201-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
