,https://roic.ai/company/SRCL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,1900000,2100000,3100000,4100000,9900000,23469000,25234000,14981000,17255000,21803000,21431000,27036000,31137000,34148000,39990000,53885000,66046000,76283000,88408000,104616000,127412000,252546000,249500000,255900000,272800000,233500000,223900000
15,EBITDA,-2600000,-300000,4600000,10400000,17700000,87070000,54673000,90558000,138832000,150367000,146422000,228029000,222377000,306256000,351313000,420241000,485209000,543209000,619685000,656636000,614850000,676938000,235000000,88000000,27500000,258000000,295500000
16,EBITDA ratio,-0.1221,-0.0122,0.0996,0.1559,0.1333,0.2690,0.1523,0.2255,0.3063,0.2913,0.2402,0.2888,0.2384,0.2826,0.2983,0.2920,0.2895,0.2839,0.2892,0.2569,0.2059,0.1900,0.0656,0.0252,0.0083,0.0964,0.1116
17,Operating Income,-4300000,-2500000,1400000,6500000,20200000,67920000,73294000,100832000,126397000,145655000,168355000,201762000,224544000,274239000,315189000,370683000,424311000,468836000,535619000,556336000,487612000,433775000,-7600000,-161100000,-211900000,31900000,72300000
18,Operating Income ratio,-0.2019,-0.1020,0.0303,0.0975,0.1521,0.2098,0.2041,0.2511,0.2789,0.2822,0.2762,0.2555,0.2407,0.2531,0.2676,0.2575,0.2532,0.2451,0.2500,0.2177,0.1633,0.1218,-0.0021,-0.0462,-0.0640,0.0119,0.0273
19,Total Other Income Expenses (Gains),- -,400000,100000,-200000,-12400000,-44104000,-36546000,-25255000,-17668000,-17091000,-56375000,-29188000,-33304000,-35235000,-37501000,-38830000,-51987000,-51639000,-57873000,-68768000,-76705000,-105630000,-100300000,-114300000,-150900000,-87900000,-71600000
20,Income Before Tax,- -,- -,1500000,6300000,7800000,23816000,36748000,75577000,108729000,128564000,111980000,172574000,191240000,239004000,277688000,331853000,372324000,417197000,477746000,487568000,410907000,328145000,-107900000,-275400000,-362800000,-56000000,700000
21,Income Before Tax Ratio,- -,- -,0.0325,0.0945,0.0587,0.0736,0.1024,0.1882,0.2399,0.2490,0.1837,0.2185,0.2050,0.2205,0.2358,0.2306,0.2221,0.2181,0.2230,0.1908,0.1376,0.0921,-0.0301,-0.0790,-0.1096,-0.0209,0.0003
22,Income Tax expense (Gain),- -,- -,100000,600000,-6200000,9305000,14729000,29853000,42948000,50386000,44826000,67304000,72862000,90296000,101299000,121396000,134981000,147256000,164662000,159422000,142894000,120246000,-150900000,-29800000,-16800000,-100000,27500000
23,Net Income,-4500000,-2400000,1400000,5700000,14000000,14511000,14710000,45724000,65781000,78178000,67154000,105270000,118378000,148708000,175691000,207879000,234751000,267996000,311372000,326456000,267046000,206359000,42400000,-244700000,-346800000,-57300000,-27800000
24,Net Income ratio,-0.2113,-0.0980,0.0303,0.0855,0.1054,0.0448,0.0410,0.1139,0.1451,0.1514,0.1102,0.1333,0.1269,0.1372,0.1492,0.1444,0.1401,0.1401,0.1453,0.1277,0.0894,0.0579,0.0118,-0.0702,-0.1048,-0.0214,-0.0105
25,EPS,-0.20,-0.07,0.04,0.14,0.24,0.20,0.19,0.59,0.80,0.89,0.76,1.20,1.35,1.74,2.03,2.39,2.77,3.12,3.64,3.85,3.01,2.09,0.27,-2.91,-3.81,-0.63,-0.30
26,EPS Diluted,-0.20,-0.07,0.03,0.13,0.23,0.18,0.17,0.51,0.71,0.84,0.74,1.17,1.32,1.68,2.03,2.39,2.69,3.08,3.56,3.79,2.96,2.08,0.27,-2.91,-3.81,-0.63,-0.30
27,Weighted Average Shares Outstanding,22222222,32198892,40000000,42222222,56960336,59516412,63635580,75736730,82878040,88501826,88569160,88150072,87578650,86127097,86744003,86962651,84696227,85987883,85500037,84883517,84852584,85152700,85300000,87100000,91000000,91500000,91800000
28,Weighted Average Shares Outstanding Diluted,22222222,32198892,43076923,44705882,60967112,80371376,84401524,90226342,92195604,92391794,90621018,90213080,89933242,88347421,86744003,86962651,87367712,87018473,87391988,86233612,86162609,85610219,85600000,87100000,91000000,91500000,91800000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/861878/000095013799000779/0000950137-99-000779-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/861878/000086187802000002/0000861878-02-000002-index.html,https://www.sec.gov/Archives/edgar/data/861878/000095013103001569/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312504041967/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312505047880/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000095013706002608/c02976e10vk.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312507044384/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312508043177/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312509040771/0001193125-09-040771-index.html,https://www.sec.gov/Archives/edgar/data/861878/000119312510043039/0001193125-10-043039-index.html,https://www.sec.gov/Archives/edgar/data/861878/000119312511049934/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312512085222/0001193125-12-085222-index.html,https://www.sec.gov/Archives/edgar/data/861878/000119312513083838/0001193125-13-083838-index.html,https://www.sec.gov/Archives/edgar/data/861878/000086187814000005/srcl-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000086187815000005/srcl-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000086187816000056/0000861878-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/861878/000156459017004325/0001564590-17-004325-index.html,https://www.sec.gov/Archives/edgar/data/861878/000156459018003082/0001564590-18-003082-index.html,https://www.sec.gov/Archives/edgar/data/861878/000156459019005500/0001564590-19-005500-index.html,https://www.sec.gov/Archives/edgar/data/861878/000156459020007716/0001564590-20-007716-index.html,https://www.sec.gov/Archives/edgar/data/861878/000162828021003165/0001628280-21-003165-index.htm,https://www.sec.gov/Archives/edgar/data/861878/000162828022003634/0001628280-22-003634-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,12000000,5400000,1300000,19300000,2666000,12737000,8375000,7240000,7850000,7825000,13492000,17108000,9095000,15767000,77053000,22511000,31324000,61991000,22236000,55634000,44189000,42200000,34300000,34700000,53300000,55600000
32,Short-Term Investments,- -,- -,- -,- -,300000,281000,280000,512000,641000,99000,720000,2548000,1256000,1408000,1131000,18471000,416000,503000,413000,380000,69000,62000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,12000000,5400000,1300000,19600000,2947000,13017000,8887000,7881000,7949000,8545000,16040000,18364000,10503000,16898000,95524000,22927000,31827000,62404000,22616000,55703000,44251000,42200000,34300000,34700000,53300000,55600000
34,Net Receivables,- -,4800000,10300000,16600000,48300000,71225000,65300000,62013000,59711000,78311000,106867000,133127000,157435000,168598000,179770000,215420000,290854000,322246000,388996000,465473000,614494000,634902000,624100000,599600000,544300000,380700000,420400000
35,Inventory,- -,400000,700000,1300000,2000000,3216000,6044000,4494000,3244000,4259000,5263000,6366000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,6600000,3100000,2600000,7600000,13623000,13632000,18962000,26901000,24973000,23367000,63069000,34477000,45329000,49872000,57744000,76815000,87213000,83689000,92127000,91631000,94465000,147100000,113400000,127600000,118500000,99500000
37,Total Current Assets,- -,23800000,19500000,21800000,77500000,91011000,97993000,94356000,97737000,115492000,144042000,218602000,210276000,224430000,246540000,368688000,390596000,441286000,535089000,580216000,761828000,773618000,813400000,747300000,706600000,552500000,575500000
38,PP&E,- -,12000000,11200000,23100000,75100000,73908000,82736000,88501000,96562000,135512000,136220000,156953000,193039000,207144000,246154000,267971000,293912000,335870000,358967000,460408000,665602000,723894000,741000000,743500000,1233500000,1066300000,1055800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,447272000,- -,- -,- -,813973000,1033333000,1135778000,1394091000,1595764000,1913703000,2065103000,2231582000,2418832000,3758177000,3591020000,3604000000,3222200000,2982200000,2819300000,2815700000
40,Intangible Assets,- -,18800000,29500000,49100000,421000000,418790000,422652000,20110000,496588000,567608000,746810000,115879000,152689000,170624000,269454000,375174000,546618000,667471000,720035000,909645000,1842561000,1861973000,1791500000,1637700000,1422400000,1087400000,964500000
41,Intangible Assets,- -,18800000,29500000,49100000,421000000,418790000,422652000,467382000,496588000,567608000,746810000,929852000,1186022000,1306402000,1663545000,1970938000,2460321000,2732574000,2951617000,3328477000,5600738000,5452993000,5395500000,4859900000,4404600000,3906700000,3780200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,600000,1000000,3800000,22200000,14273000,11149000,16856000,16575000,15529000,20588000,22499000,18822000,21322000,26564000,31426000,32261000,37008000,37124000,32621000,49282000,29556000,38400000,104800000,92300000,56400000,61600000
45,Total Non-Current Assets,- -,31400000,41700000,76000000,518300000,506971000,516537000,572739000,609725000,718649000,903618000,1109304000,1397883000,1534868000,1936263000,2270335000,2786494000,3105452000,3347708000,3821506000,6315622000,6206443000,6174900000,5708200000,5730400000,5029400000,4897600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,55200000,61200000,97800000,595800000,597982000,614530000,667095000,707462000,834141000,1047660000,1327906000,1608159000,1759298000,2182803000,2639023000,3177090000,3546738000,3882797000,4401722000,7077450000,6980061000,6988300000,6455500000,6437000000,5581900000,5473100000
48,Accounts Payable,- -,1500000,1900000,6500000,14300000,14444000,13317000,14330000,15741000,17998000,27872000,25033000,40049000,33612000,47608000,54777000,66635000,74225000,89146000,114596000,149202000,152881000,195200000,225800000,220100000,181200000,218900000
49,Short-Term Debt,- -,3200000,3100000,5500000,5700000,5097000,12633000,3933000,4830000,13218000,12044000,22681000,22003000,38880000,65932000,88899000,100526000,87781000,150380000,131969000,161409000,72822000,126500000,119100000,105000000,91000000,107000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,37700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,4920000,3681000,4987000,7611000,10394000,11662000,12095000,13663000,14954000,14455000,12855000,18095000,18826000,21624000,16989000,17902000,17900000,- -,- -,380000000,- -
52,Other Current Liabilities,- -,4500000,7300000,8600000,30700000,23572000,32509000,31810000,43436000,44411000,48450000,82655000,75571000,93487000,92226000,150358000,146898000,150959000,152656000,193342000,259749000,299248000,629800000,388300000,431800000,44900000,405800000
53,Total Current Liabilities,- -,9200000,12300000,20600000,50700000,43113000,63379000,53754000,68994000,83238000,98760000,142031000,149718000,179642000,220720000,308489000,326914000,331060000,411008000,461531000,587349000,542853000,969400000,733200000,756900000,697100000,731700000
54,Long-Term Debt,- -,2600000,3500000,23500000,355400000,345104000,267365000,224124000,163016000,190431000,348841000,443115000,613781000,753846000,922919000,1014222000,1284113000,1268303000,1280663000,1527246000,3052639000,2877315000,2615300000,2663900000,2559300000,1689100000,1869600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,30729000,42277000,57477000,71549000,105521000,125041000,147287000,171744000,222647000,313733000,359780000,396119000,431643000,608272000,645371000,371100000,307300000,295100000,380400000,411000000
57,Other Non-Current Liabilities,- -,3400000,400000,- -,2400000,3628000,6404000,31759000,25355000,7623000,6876000,12158000,5544000,8043000,10247000,13315000,25079000,30272000,27469000,64117000,81352000,98136000,123900000,154000000,491000000,380900000,58000000
58,Total Non-Current Liabilities,- -,6000000,3900000,23500000,357800000,348732000,273769000,286612000,230648000,255531000,427266000,560794000,744366000,909176000,1104910000,1250184000,1622925000,1658355000,1704251000,2023006000,3742263000,3620822000,3110300000,3125200000,3345400000,2450400000,2338600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450900000,385200000,365300000
61,Total Liabilities,- -,15200000,16200000,44100000,408500000,391845000,337148000,340366000,299642000,338769000,526026000,702825000,894084000,1088818000,1325630000,1558673000,1949839000,1989415000,2115259000,2484537000,4329612000,4163675000,4079700000,3858400000,4102300000,3147500000,3070300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,7000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,152000,185000,404000,420000,448000,442000,443000,874000,852000,847000,852000,847000,860000,855000,849000,849000,852000,900000,900000,900000,900000,900000
64,Retained Earnings,- -,-39500000,-38100000,-32400000,-18700000,-6756000,5412000,5412000,116239000,194417000,261571000,366841000,485219000,633927000,809618000,1017497000,1243303000,1463277000,1610964000,1743371000,1868645000,2006064000,2029500000,1789200000,1442400000,1382600000,1354800000
65,Other Comprehensive Income/Loss,- -,-5200000,-7200000,-9500000,-16900000,-24532000,-33995000,-51928000,-55900000,-75947000,1000000,5000000,31000000,-32000000,-12000000,-17000000,-46000000,-39000000,-56000000,-138000000,-283000000,-368000000,-287000000,-365000000,-318000000,-187000000,-218800000
66,Other Total Stockholders Equity,- -,84700000,90300000,95600000,222800000,237273000,305780000,372841000,347061000,376454000,258621000,252797000,196982000,67701000,47230000,47076000,16000,116656000,194642000,288792000,1143389000,1166814000,1153200000,1162300000,1205600000,1233600000,1261800000
67,Total Stockholders Equity,- -,40000000,45000000,53700000,187300000,206137000,277382000,326729000,407820000,495372000,521634000,625081000,714075000,670480000,845695000,1048425000,1198166000,1541793000,1750461000,1895012000,2729891000,2805737000,2896600000,2587400000,2330900000,2430100000,2398700000
68,Total Liabilities And Stockholders Equity,- -,55200000,61200000,97800000,595800000,597982000,614530000,667095000,707462000,834141000,1047660000,1327906000,1608159000,1759298000,2171325000,2607098000,3148005000,3531208000,3865720000,4379549000,7059503000,6969412000,6976300000,6445800000,6433200000,5577600000,5469000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11478000,31925000,29085000,15530000,17077000,22173000,17947000,10649000,12000000,9700000,3800000,4300000,4100000
70,Total Liabilities & Equity,- -,55200000,61200000,97800000,595800000,597982000,614530000,667095000,707462000,834141000,1047660000,1327906000,1608159000,1759298000,2182803000,2639023000,3177090000,3546738000,3882797000,4401722000,7077450000,6980061000,6988300000,6455500000,6437000000,5581900000,5473100000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/861878/000095013799000779/0000950137-99-000779-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/861878/000086187802000002/0000861878-02-000002-index.html,https://www.sec.gov/Archives/edgar/data/861878/000095013103001569/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312504041967/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312505047880/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000095013706002608/c02976e10vk.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312507044384/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312508043177/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312509040771/0001193125-09-040771-index.html,https://www.sec.gov/Archives/edgar/data/861878/000119312510043039/0001193125-10-043039-index.html,https://www.sec.gov/Archives/edgar/data/861878/000119312511049934/d10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000119312512085222/0001193125-12-085222-index.html,https://www.sec.gov/Archives/edgar/data/861878/000119312513083838/0001193125-13-083838-index.html,https://www.sec.gov/Archives/edgar/data/861878/000086187814000005/srcl-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000086187815000005/srcl-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/861878/000086187816000056/0000861878-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/861878/000156459017004325/0001564590-17-004325-index.html,https://www.sec.gov/Archives/edgar/data/861878/000156459018003082/0001564590-18-003082-index.html,https://www.sec.gov/Archives/edgar/data/861878/000156459019005500/0001564590-19-005500-index.html,https://www.sec.gov/Archives/edgar/data/861878/000156459020007716/0001564590-20-007716-index.html,https://www.sec.gov/Archives/edgar/data/861878/000162828021003165/0001628280-21-003165-index.htm,https://www.sec.gov/Archives/edgar/data/861878/000162828022003634/0001628280-22-003634-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4500000,-2400000,1400000,5700000,14000000,14511000,14710000,45724000,65781000,78178000,67154000,105270000,118378000,148708000,175691000,207879000,234751000,267996000,311372000,326456000,267046000,206359000,42400000,-244700000,-346800000,-57300000,-27800000
74,Depreciation and Amortization,1900000,2100000,3100000,4100000,9900000,23469000,25234000,14981000,17255000,21803000,21431000,27036000,31137000,34148000,39990000,53885000,66046000,76283000,88408000,104616000,127412000,252546000,249500000,255900000,272800000,233500000,223900000
75,Deferred Income Tax,- -,- -,- -,- -,-7100000,- -,9085000,16199000,9576000,13849000,13514000,12937000,17265000,26522000,22253000,26312000,31837000,22678000,30930000,16550000,-10294000,7078000,-290200000,-34100000,-33900000,32600000,29700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11755000,14638000,15298000,15367000,16339000,17457000,17773000,21750000,20455000,21300000,24100000,17100000,25500000,27100000
77,Change in Working Capital,1400000,-7400000,-6000000,25600000,21098000,-13284000,5988000,-11859000,3511000,13028000,31289000,-16013000,-15770000,-18968000,34379000,3483000,46544000,13855000,-5396000,55794000,56286000,-386765000,170100000,-64400000,-94300000,27600000,39100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12998000,12567000,-20791000,-31821000,-4329000,-54767000,-34116000,-55890000,-43136000,17100000,3600000,24500000,27400000,-57200000
79,Inventory,100000,100000,-300000,-400000,500000,-881000,-2743000,1845000,1720000,-494000,-962000,-744000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7041000,2420000,-165000,-12539000,-107000,7000,-5712000,26366000,4624000,22900000,9300000,-4600000,-5500000,29700000
81,Other Working Capital,14600000,7200000,1200000,26800000,47898000,34614000,40602000,28743000,32254000,45282000,76571000,60558000,44788000,25820000,60199000,63682000,110226000,124081000,118685000,174479000,230765000,-156000000,14100000,-50300000,-144600000,-117000000,-35600000
82,Other Non-Cash Items,300000,7800000,1400000,-30500000,-26098000,-14227000,9533000,31902000,24980000,-12247000,-39061000,30932000,23032000,8390000,-9705000,18813000,-88441000,-9703000,-39304000,-72689000,-71872000,447576000,315500000,228900000,433100000,268300000,11100000
83,Cash Provided by Operating Activities,-900000,100000,-100000,4900000,11800000,10469000,64550000,96947000,121103000,114611000,94327000,160162000,174042000,210555000,277246000,325670000,306104000,387448000,403467000,448500000,390328000,547249000,508600000,165700000,248000000,530200000,303100000
84,CAPEX,-700000,-1000000,-1200000,-24100000,-426100000,-11586000,-15412000,-14831000,-20972000,-33312000,-26314000,-36414000,-48397000,-47520000,-39910000,-48320000,-53301000,-65236000,-73109000,-86496000,-114761000,-136160000,-143000000,-130800000,-194200000,-119500000,-116900000
85,Acquisitions Net,- -,- -,- -,- -,- -,-4516000,-21262000,-34591000,-37222000,-72408000,-139696000,-164015000,-114781000,-84947000,-311891000,-190430000,-477290000,-228920000,-161936000,-374321000,-2419437000,-63127000,-50000000,-19500000,86400000,498900000,24500000
86,Purchases of Investments,- -,-5800000,-2300000,- -,- -,- -,- -,-232000,-129000,- -,-621000,-1828000,- -,-463000,- -,-16955000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,5800000,- -,400000,502000,1000,- -,- -,542000,- -,- -,1301000,-463000,385000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,300000,-6500000,-5600000,300000,100000,- -,- -,184000,688000,85000,10630000,832000,26616000,-47057000,-38683000,-40320000,-37359000,-65325000,-73036000,-88453000,-114467000,-132479000,-143000000,-128000000,-190400000,-117500000,-114600000
89,Cash Used for Investing Activites,-400000,-13300000,-3300000,-23800000,-425600000,-15600000,-36673000,-49470000,-57635000,-105093000,-156001000,-201425000,-135261000,-132930000,-350189000,-247705000,-514649000,-294245000,-234972000,-462774000,-2533904000,-195606000,-193000000,-147500000,-104000000,381400000,-90100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1014818000,-1042795000,-388067000,-1415500000,-1343173000,-1279477000,-1516372000,-2588730000,-1821965000,-2062300000,-1679000000,-2848400000,-2595800000,-1696600000
91,Common Stock Issued,- -,28500000,100000,300000,116500000,2299000,52570000,7058000,10533000,13186000,14230000,16464000,16569000,17839000,14922000,49907000,31286000,64461000,42345000,51852000,60124000,37504000,10200000,20100000,19900000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1435000,-13204000,-34847000,-60657000,-42757000,-103679000,-167338000,-75686000,-94335000,-124056000,-48028000,-163700000,-194066000,-130576000,-71724000,-34200000,-17200000,- -,-400000,-3400000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10106000,-39414000,-36300000,-25500000,- -,- -,- -
94,Other Financing Activites,200000,-3400000,-3300000,14500000,315400000,-13846000,-70376000,-57544000,-61365000,14720000,105927000,78840000,54475000,1086435000,1185331000,418930000,1656594000,1240531000,1264813000,1628537000,4850496000,1532344000,1801400000,1675900000,2686900000,1703700000,1492100000
95,Cash Used/Provided by Financing Activities,200000,25100000,-3200000,14800000,431900000,-11547000,-17806000,-51921000,-64036000,-6941000,59500000,52547000,-32635000,-77882000,81772000,-13565000,148324000,-86209000,-136019000,-30049000,2181208000,-363255000,-321200000,-25700000,-141600000,-892500000,-207900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,82000,-567000,-1967000,2149000,-5617000,-2530000,-7756000,-2157000,-3114000,3456000,1819000,-1809000,-608000,-4234000,167000,3600000,-400000,-2000000,-500000,-2800000
97,Net Change In Cash,200000,25100000,-3200000,14800000,18000000,-16678000,10071000,-4362000,-1135000,610000,-25000,5667000,3616000,-8013000,6672000,61286000,-56765000,8813000,30667000,-44931000,33398000,-11445000,-2000000,-7900000,400000,18600000,2300000
98,Cash at the End of Period,- -,- -,- -,- -,19300000,2666000,12737000,8375000,7240000,7850000,7825000,13492000,17108000,9095000,15767000,77053000,22511000,31324000,61991000,22236000,55634000,44189000,42200000,34300000,34700000,53300000,55600000
99,Cash at the Beginning of Period,1200000,100000,12000000,5400000,1300000,19344000,2666000,12737000,8375000,7240000,7850000,7825000,13492000,17108000,9095000,15767000,79276000,22511000,31324000,67167000,22236000,55634000,44200000,42200000,34300000,34700000,53300000
100,Free Cash Flow,-1600000,-900000,-1300000,-19200000,-414300000,-1117000,49138000,82116000,100131000,81299000,68013000,123748000,125645000,163035000,237336000,277350000,252803000,322212000,330358000,362004000,275567000,411089000,365600000,34900000,53800000,410700000,186200000
