,https://roic.ai/company/NVR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13656000,11380000,6029000,1892000,7529000,22385000,23140000,23559000,21707000,24185000,25081000,25380000,40872000,53117000
14,Depreciation and Amortization,13800000,14800000,15400000,13300000,13400000,14700000,13840000,15162000,7657000,8427000,8858000,10690000,14158000,17036000,13641000,9713000,7263000,6672000,8100000,13391000,17614000,21534000,22269000,22667000,20168000,20818000,21992000,19463000
15,EBITDA,37300000,49100000,64100000,67200000,114400000,199900000,280694000,409820000,543680000,704599000,880863000,1155109000,977129000,556541000,194752000,319507000,335685000,216140000,290706000,454472000,494300000,648305000,705673000,893763000,1004981000,1071993000,1140897000,1662983000
16,EBITDA ratio,0.0441,0.0565,0.0599,0.0582,0.0733,0.0996,0.1211,0.1562,0.1739,0.1916,0.2073,0.2190,0.1593,0.1085,0.0527,0.1164,0.1100,0.0811,0.0912,0.1078,0.1111,0.1255,0.1210,0.1416,0.1401,0.1448,0.1512,0.1856
17,Operating Income,36200000,28200000,60800000,39600000,134100000,206200000,288210000,375638000,502402000,660475000,833077000,1100489000,916261000,498726000,181111000,309794000,328422000,185605000,247907000,401210000,450475000,578247000,621723000,799407000,895142000,948214000,977418000,1470329000
18,Operating Income ratio,0.0428,0.0324,0.0568,0.0343,0.0860,0.1028,0.1244,0.1432,0.1607,0.1796,0.1960,0.2086,0.1494,0.0972,0.0490,0.1129,0.1076,0.0697,0.0777,0.0952,0.1012,0.1119,0.1066,0.1266,0.1248,0.1281,0.1295,0.1641
19,Total Other Income Expenses (Gains),-14100000,5200000,-12100000,14300000,-23700000,-21000000,-21356000,19020000,33621000,35697000,38928000,43930000,46710000,40779000,-13656000,-11380000,-6029000,21971000,27170000,17486000,3071000,24965000,39974000,47504000,64590000,77581000,100615000,120074000
20,Income Before Tax,22100000,33400000,48700000,53900000,110400000,185200000,266854000,394658000,536023000,696172000,872005000,1144419000,962971000,539505000,167455000,298414000,322393000,207576000,275077000,418696000,453546000,603212000,661697000,846911000,959732000,1025795000,1078033000,1590403000
21,Income Before Tax Ratio,0.0261,0.0384,0.0455,0.0467,0.0708,0.0923,0.1152,0.1504,0.1715,0.1893,0.2052,0.2169,0.1570,0.1052,0.0453,0.1088,0.1056,0.0779,0.0863,0.0993,0.1019,0.1168,0.1135,0.1341,0.1338,0.1386,0.1429,0.1775
22,Income Tax expense (Gain),13100000,17000000,22900000,25000000,44300000,76300000,108608000,157864000,204553000,276381000,348801000,446860000,375559000,205550000,66563000,106234000,116388000,78156000,94489000,152219000,171916000,220285000,236435000,309390000,162535000,147256000,176785000,353684000
23,Net Income,10400000,17300000,25800000,28900000,56700000,108900000,158246000,236794000,331470000,419791000,523204000,697559000,587412000,333955000,100892000,192180000,206005000,129420000,180588000,266477000,281630000,382927000,425262000,537521000,797197000,878539000,901248000,1236719000
24,Net Income ratio,0.0123,0.0199,0.0241,0.0250,0.0364,0.0543,0.0683,0.0903,0.1060,0.1141,0.1231,0.1322,0.0958,0.0651,0.0273,0.0700,0.0675,0.0486,0.0566,0.0632,0.0633,0.0741,0.0729,0.0851,0.1111,0.1187,0.1194,0.1380
25,EPS,0.62,1.13,1.72,2.44,5.10,10.69,17.42,29.87,45.54,59.28,80.83,110.36,104.08,61.61,18.76,33.10,34.96,23.66,36.04,56.25,65.83,95.21,110.53,144.00,219.58,241.31,244.11,345.37
26,EPS Diluted,0.62,1.12,1.72,2.18,4.26,9.01,14.98,24.86,36.05,48.39,66.42,89.61,88.05,54.14,17.04,31.26,33.42,23.01,35.12,54.81,63.50,89.99,103.61,126.77,194.80,221.13,230.11,320.48
27,Weighted Average Shares Outstanding,16774194,15309735,15000000,11844262,11117647,10187091,9084156,7927486,7278656,7082000,6473000,6321000,5644000,5420000,5379000,5807000,5893000,5469000,5011000,4737000,4278000,4022000,3847000,3733000,3631000,3641000,3692000,3581000
28,Weighted Average Shares Outstanding Diluted,16774194,15446429,15182482,13256881,13309859,12086570,10563818,9525101,9297607,8674000,7877000,7784000,6672000,6168000,5920000,6149000,6165000,5624000,5142000,4862000,4435000,4255000,4104000,4240000,4092000,3973000,3917000,3859000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906163/000119312504024751/d10k.htm,https://www.sec.gov/Archives/edgar/data/906163/000119312505038619/d10k.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013306000855/w17469e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013307000704/w30408e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013308000733/w50131e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013309000438/0000950133-09-000438-index.html,https://www.sec.gov/Archives/edgar/data/906163/000095012310018033/0000950123-10-018033-index.html,https://www.sec.gov/Archives/edgar/data/906163/000095012311018386/w79861e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000119312512072956/0001193125-12-072956-index.html,https://www.sec.gov/Archives/edgar/data/906163/000119312513065025/0001193125-13-065025-index.html,https://www.sec.gov/Archives/edgar/data/906163/000119312514060606/d638517d10k.htm,https://www.sec.gov/Archives/edgar/data/906163/000156459015000764/nvr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/906163/000156459016012809/0001564590-16-012809-index.html,https://www.sec.gov/Archives/edgar/data/906163/000156459017001623/0001564590-17-001623-index.html,https://www.sec.gov/Archives/edgar/data/906163/000090616318000007/0000906163-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/906163/000090616319000029/0000906163-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/906163/000090616320000026/0000906163-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/906163/000090616321000017/0000906163-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616322000008/0000906163-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,74800000,45700000,68500000,89100000,137708000,138611000,142845000,232219000,367365000,177526000,556119000,664209000,1147643000,1250150000,1193392000,480332000,1152601000,865585000,544938000,424326000,395405000,666794000,711875000,1140304000,2778267000,2573467000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259632000,177244000,252352000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,74800000,45700000,68500000,89100000,137708000,138611000,142845000,232219000,367365000,177526000,556119000,664209000,1147643000,1509782000,1370636000,732684000,1152601000,865585000,544938000,424326000,395405000,666794000,711875000,1140304000,2778267000,2573467000
34,Net Receivables,- -,- -,2900000,3400000,1500000,2200000,6670000,5745000,10807000,9550000,14020000,40562000,12213000,10855000,11594000,7995000,6948000,6789000,9421000,9529000,10021000,11482000,18937000,20026000,18641000,18278000,18299000,18552000
35,Inventory,- -,- -,171700000,224000000,288600000,323500000,334681000,402375000,436674000,536580000,588540000,793975000,733616000,688854000,400570000,418718000,431329000,533150000,678131000,738565000,869486000,1006526000,1092100000,1246199000,1253110000,1347288000,1709082000,1947366000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19418000,21694000,20053000,20219000,481006000,365441000
37,Total Current Assets,- -,- -,249400000,273100000,358600000,414800000,479059000,546731000,590326000,778349000,969925000,1012063000,1301948000,1363918000,1559807000,1936495000,1808913000,1272623000,1840153000,1613679000,1424445000,1442334000,1525860000,1954713000,2003679000,2526089000,4986654000,4904826000
38,PP&E,- -,- -,18800000,17800000,17600000,13100000,15865000,16178000,23067000,25406000,26326000,32099000,41598000,33792000,26417000,20661000,20473000,24937000,2465000,4699000,6189000,5313000,4903000,6327000,6510000,82998000,70093000,72426000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,48927000,48927000,48927000,48927000,- -,11686000,11686000,- -,48927000,48927000,48927000,441000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,10800000,9700000,11300000,7472000,6379000,6379000,6379000,6379000,12061000,250000,96000,48927000,- -,- -,- -,8778000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,10800000,9700000,11300000,7472000,55306000,55306000,55306000,55306000,12061000,11936000,11782000,48927000,48927000,48927000,48927000,9219000,6747000,5364000,3982000,2599000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22371000,20182000,15626000,7268000,3590000,1749000,1251000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,51283000,74642000,73985000,73191000,97511000,169901000,211808000,223393000,200340000,184930000,155881000,145618000,162378000,165189000,161805000,170652000,111953000,112333000,115731000,132980000,132894000
44,Other Non-Current Assets,- -,- -,233000000,262900000,338500000,328100000,338864000,325549000,438947000,430059000,653219000,1115854000,948425000,573116000,244692000,189347000,174447000,256935000,591761000,691377000,746558000,899948000,938678000,916286000,1043411000,1084997000,587414000,724329000
45,Total Non-Current Assets,- -,- -,251800000,291500000,365800000,352500000,362201000,448316000,591962000,584756000,808042000,1257525000,1171860000,830498000,543429000,459275000,451148000,506862000,764689000,872469000,926890000,1072797000,1118083000,1034566000,1162254000,1283726000,790487000,929649000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,501200000,564600000,724400000,767300000,841260000,995047000,1182288000,1363105000,1777967000,2269588000,2473808000,2194416000,2103236000,2395770000,2260061000,1779485000,2604842000,2486148000,2351335000,2515131000,2643943000,2989279000,3165933000,3809815000,5777141000,5834475000
48,Accounts Payable,- -,- -,62300000,76900000,100000000,113000000,117824000,138013000,161691000,198079000,226951000,287988000,289720000,237599000,155127000,139770000,128749000,152044000,184132000,203461000,230419000,259728000,283611000,294797000,288573000,306972000,402587000,387954000
49,Short-Term Debt,- -,- -,100000,108400000,165800000,125800000,53488000,118711000,139257000,53340000,9726000,156816000,153552000,83463000,44539000,12344000,90338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,85300000,94900000,138300000,175500000,237273000,268946000,358192000,412299000,502218000,844622000,675382000,541159000,363931000,350858000,237052000,183810000,236984000,317873000,290676000,306013000,337200000,341891000,332871000,346035000,339867000,435860000
53,Total Current Liabilities,- -,- -,147700000,280200000,404100000,414300000,408585000,525670000,659140000,663718000,738895000,1289426000,1118654000,862221000,563597000,502972000,456139000,335854000,421116000,521334000,521095000,565741000,620811000,636688000,621444000,653007000,742454000,823814000
54,Long-Term Debt,- -,- -,201500000,139700000,154500000,152300000,120167000,115000000,115000000,200000000,204077000,303000000,203080000,202820000,165850000,135536000,9843000,7609000,603562000,602440000,599230000,599260000,596455000,597066000,597681000,598301000,1590051000,1590820000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61223000,99687000,101022000,106755000,110965000,122236000,150033000,138246000,131886000,240758000,417463000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,100000,100000,65028000,5259000,4903000,4519000,- -,- -,- -,- -,- -,- -,53705000,- -,- -,- -,- -,- -,- -,- -,- -,85377000,100804000,- -
58,Total Non-Current Liabilities,- -,- -,201500000,139800000,154600000,152400000,185195000,120259000,119903000,204519000,204077000,303000000,203080000,202820000,165850000,135536000,63548000,68832000,703249000,703462000,705985000,710225000,718691000,747099000,735927000,815564000,1931613000,2008283000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85377000,72656000,74565000
61,Total Liabilities,- -,- -,349200000,420000000,558700000,566700000,593780000,645929000,779043000,868237000,942972000,1592426000,1321734000,1065041000,729447000,638508000,519687000,404686000,1124365000,1224796000,1227080000,1275966000,1339502000,1383787000,1357371000,1468571000,2674067000,2832097000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000
64,Retained Earnings,- -,- -,47100000,76000000,132700000,241600000,399810000,636604000,968074000,1387865000,1911069000,2608628000,3196040000,3529995000,3630887000,3823067000,4029072000,4158492000,4339080000,4605557000,4887187000,5270114000,5695376000,6231940000,7031333000,7909872000,8811120000,10047839000
65,Other Comprehensive Income/Loss,- -,- -,-19300000,-21300000,-21300000,-16000000,-21349000,-22363000,-22020000,-23547000,-27928000,-29654000,-38462000,-45606000,-47244000,-47160000,-46088000,-48779000,-3391000,-3419000,-4319000,-5316000,-6476000,-7742000,-7214000,-8789000,-10172000,- -
66,Other Total Stockholders Equity,- -,- -,124200000,89900000,54300000,- -,- -,- -,-543015000,-869656000,-1048352000,-1902018000,-2005710000,-2355220000,-2210060000,-2018851000,-2242816000,-2735120000,-2855418000,-3340992000,-3758819000,-4025839000,-4384665000,-4618912000,-5215763000,-5560045000,-5698080000,- -
67,Total Stockholders Equity,- -,- -,152000000,144600000,165700000,200600000,247480000,349118000,403245000,494868000,834995000,677162000,1152074000,1129375000,1373789000,1757262000,1740374000,1374799000,1480477000,1261352000,1124255000,1239165000,1304441000,1605492000,1808562000,2341244000,3103074000,3002378000
68,Total Liabilities And Stockholders Equity,- -,- -,501200000,564600000,724400000,767300000,841260000,995047000,1182288000,1363105000,1777967000,2269588000,2473808000,2194416000,2103236000,2395770000,2260061000,1779485000,2604842000,2486148000,2351335000,2515131000,2643943000,2989279000,3165933000,3809815000,5777141000,5834475000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,501200000,564600000,724400000,767300000,841260000,995047000,1182288000,1363105000,1777967000,2269588000,2473808000,2194416000,2103236000,2395770000,2260061000,1779485000,2604842000,2486148000,2351335000,2515131000,2643943000,2989279000,3165933000,3809815000,5777141000,5834475000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906163/000119312504024751/d10k.htm,https://www.sec.gov/Archives/edgar/data/906163/000119312505038619/d10k.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013306000855/w17469e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013307000704/w30408e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013308000733/w50131e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000095013309000438/0000950133-09-000438-index.html,https://www.sec.gov/Archives/edgar/data/906163/000095012310018033/0000950123-10-018033-index.html,https://www.sec.gov/Archives/edgar/data/906163/000095012311018386/w79861e10vk.htm,https://www.sec.gov/Archives/edgar/data/906163/000119312512072956/0001193125-12-072956-index.html,https://www.sec.gov/Archives/edgar/data/906163/000119312513065025/0001193125-13-065025-index.html,https://www.sec.gov/Archives/edgar/data/906163/000119312514060606/d638517d10k.htm,https://www.sec.gov/Archives/edgar/data/906163/000156459015000764/nvr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/906163/000156459016012809/0001564590-16-012809-index.html,https://www.sec.gov/Archives/edgar/data/906163/000156459017001623/0001564590-17-001623-index.html,https://www.sec.gov/Archives/edgar/data/906163/000090616318000007/0000906163-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/906163/000090616319000029/0000906163-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/906163/000090616320000026/0000906163-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/906163/000090616321000017/0000906163-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/906163/000090616322000008/0000906163-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10400000,17300000,25800000,28900000,56700000,108900000,158246000,236794000,331470000,419791000,523204000,697559000,587412000,333955000,100892000,192180000,206005000,129420000,180588000,266477000,281630000,382927000,425262000,537521000,797197000,878539000,901248000,1236719000
74,Depreciation and Amortization,13800000,14800000,15400000,13300000,13400000,14700000,13840000,15162000,7657000,8427000,8858000,10690000,14158000,17036000,13641000,9713000,7263000,6672000,8100000,13391000,17614000,21534000,22269000,22667000,20168000,20818000,21992000,19463000
75,Deferred Income Tax,4900000,-3600000,-300000,-600000,-10900000,-11900000,-6983000,-6277000,-21669000,-3429000,1249000,-24374000,-74539000,-43343000,-12048000,21905000,13558000,23732000,11843000,-16848000,-4176000,1902000,-10024000,61290000,914000,-4070000,-17565000,-234000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41204000,46302000,53136000,64473000,64841000,34296000,63227000,54091000,43598000,44562000,75701000,78532000,50794000,58234000
77,Change in Working Capital,2300000,- -,101700000,-108800000,-38400000,46000000,69974000,-49413000,-89875000,183445000,116399000,-508393000,460657000,318403000,494513000,437313000,-80749000,-416005000,482268000,-326692000,-188995000,-26757000,28456000,412976000,64210000,490847000,2371118000,-166951000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,6900000,-45200000,-17000000,-31400000,-64600000,-34800000,-11226000,-67694000,-34299000,-87099000,-64767000,-201622000,60359000,44762000,288284000,-18148000,-8783000,-99527000,-97750000,-52861000,-127729000,-134803000,-85194000,-154099000,-6911000,-94178000,-362384000,-238284000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82578000,56752000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,101700000,-7100000,-45500000,500000,70474000,21061000,-68814000,114631000,231030000,-277363000,183294000,501697000,996210000,1433523000,1352774000,936769000,1419037000,1092345000,903350000,876593000,905049000,1318025000,1382235000,1873082000,4244200000,176705000
82,Other Non-Cash Items,62900000,-86600000,-103800000,52200000,-32500000,57700000,-41371000,-45949000,153633000,-55449000,-185782000,357290000,-304725000,-67285000,-175841000,-465771000,-143825000,193171000,-483256000,299598000,15249000,-230306000,-125096000,-510112000,-235064000,-598131000,-2402318000,95162000
83,Cash Provided by Operating Activities,94300000,-58100000,38800000,-15000000,-11700000,215400000,193706000,150317000,381216000,552785000,463928000,532772000,682963000,558766000,462361000,241642000,55388000,1463000,264384000,270222000,184549000,203391000,384465000,568904000,723126000,866535000,925269000,1242393000
84,CAPEX,-2600000,-3600000,-4300000,-3100000,-4000000,-9100000,-5027000,-6694000,-12262000,-9456000,-9761000,-18670000,-23431000,-10545000,-6899000,-3044000,-6943000,-11444000,-12365000,-19016000,-31672000,-18277000,-22369000,-20269000,-19665000,-22699000,-16119000,-17875000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7465000,- -,- -,- -,- -,- -,- -,-15257000,-22850000,- -,-1917000,-653000,-3800000,-284000,-702000,-435000,-1282000
86,Purchases of Investments,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-858362000,-152000000,-61600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,53900000,23000000,84900000,19300000,14600000,1800000,826000,4102000,794000,8333000,- -,- -,- -,- -,- -,- -,369535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,64400000,6600000,4300000,3000000,29000000,33400000,16334000,18468000,7505000,12460000,13342000,4038000,833000,1230000,1401000,639789000,1848000,11178000,5011000,7389000,12590000,19172000,13594000,8050000,11772000,10117000,12621000,978000
89,Cash Used for Investing Activites,110700000,26000000,84900000,19200000,39600000,26100000,12133000,15876000,-3963000,11337000,3581000,-22097000,-22598000,-9315000,-5498000,-221617000,212440000,-61866000,-22611000,-34477000,-19082000,-1022000,-9428000,-16019000,-8177000,-13284000,-3933000,-18179000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75619000,-62509000,-133370000,-98434000,-29332000,-4956000,-3416000,-64000,- -,- -,- -,-306000,-989000,-1363000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,6213000,8784000,9483000,19296000,12757000,20451000,67583000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-17100000,-2600000,-35100000,-45500000,-50200000,-101800000,-55283000,-232125000,-399868000,-478330000,-307603000,-962609000,-291693000,-507641000,-128000,- -,-417079000,-689302000,-227281000,-554491000,-567544000,-431367000,-455351000,-422166000,-846134000,-698417000,-371078000,-1538019000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-177600000,18700000,-69300000,12300000,45000000,-119000000,-101974000,60622000,18065000,-5901000,-44056000,249338000,-10530000,-1303000,102318000,144991000,226221000,135183000,687553000,36448000,84659000,108959000,51617000,140525000,173876000,274028000,1099709000,142370000
95,Cash Used/Provided by Financing Activities,-194700000,16100000,-104400000,-33200000,-5200000,-220800000,-157257000,-165290000,-373019000,-474748000,-332363000,-700514000,-281772000,-441361000,26571000,82482000,-324228000,-652553000,430940000,-522999000,-486301000,-322472000,-403734000,-281641000,-672258000,-424695000,727642000,-1397012000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-194700000,16100000,-104400000,-33200000,-5200000,20600000,48582000,903000,4234000,89374000,135146000,-189839000,378593000,108090000,483434000,102507000,-56400000,-712956000,672713000,-287254000,-320834000,-120103000,-28697000,271244000,42691000,428556000,1648978000,-172798000
98,Cash at the End of Period,- -,- -,- -,- -,- -,89100000,137708000,138611000,142845000,232219000,367365000,177526000,556119000,664209000,1147643000,1250150000,1193750000,480794000,1153507000,866253000,545419000,425316000,396619000,667863000,732248000,1160804000,2809782000,2636984000
99,Cash at the Beginning of Period,61100000,71500000,55600000,74800000,45700000,68500000,89126000,137708000,138611000,142845000,232219000,367365000,177526000,556119000,664209000,1147643000,1250150000,1193750000,480794000,1153507000,866253000,545419000,425316000,396619000,689557000,732248000,1160804000,2809782000
100,Free Cash Flow,91700000,-61700000,34500000,-18100000,-15700000,206300000,188679000,143623000,368954000,543329000,454167000,514102000,659532000,548221000,455462000,238598000,48445000,-9981000,252019000,251206000,152877000,185114000,362096000,548635000,703461000,843836000,909150000,1224518000
