,https://roic.ai/company/TRNS,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,14800000,15900000,19600000,21800000,23700000,25500000,27900000,34500000,36300000,36300000,43900000,74300000,65900000,79847360,72616958,72787000,56747000,53000000,54400000,59000000,64124000,67200000,72700000,78700000,86600000,104592000,106400000,111800000,116856000,115864000,135964000,146115000,150669000,162249000,162262000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,63000,73000,134000,228000,259000,345000,295000,770000,1078000,994000,1120000,1091000
14,Depreciation and Amortization,- -,- -,300000,400000,300000,400000,400000,400000,400000,500000,1000000,2700000,3100000,4807518,4546227,8594000,2047000,1398000,1621000,1447000,1674000,1761000,1897000,2080000,2293000,2896000,2702000,2945000,3090000,3946000,6184000,5991000,6361000,6659000,7580000
15,EBITDA,500000,700000,1800000,2100000,700000,100000,1300000,-200000,800000,2300000,4300000,4300000,4800000,1998408,4974969,1363000,-3076000,1598000,1921000,2447000,4950000,4561000,4597000,4443000,6866000,8276000,8630000,9704000,9858000,10248000,14118000,15017000,16590000,17509000,18653000
16,EBITDA ratio,0.0327,0.0417,0.0849,0.0886,0.0288,0.0039,0.0450,-0.0059,0.0214,0.0599,0.0909,0.0548,0.0689,0.0250,0.0658,0.0204,-0.0538,0.0300,0.0347,0.0404,0.0745,0.0647,0.0610,0.0548,0.0753,0.0752,0.0768,0.0819,0.0797,0.0839,0.0981,0.0968,0.1031,0.1012,0.1076
17,Operating Income,500000,900000,1600000,1900000,600000,- -,1000000,-500000,1000000,2100000,3400000,4200000,3800000,121389,2951580,-6005000,434000,307000,899000,1518000,3893000,3283000,2686000,2381000,4587000,5428000,5946000,6705000,6768000,6302000,7934000,9026000,10229000,10850000,11073000
18,Operating Income ratio,0.0327,0.0536,0.0755,0.0802,0.0247,- -,0.0346,-0.0147,0.0268,0.0547,0.0719,0.0535,0.0545,0.0015,0.0391,-0.0899,0.0076,0.0058,0.0163,0.0251,0.0586,0.0466,0.0356,0.0294,0.0503,0.0493,0.0529,0.0566,0.0547,0.0516,0.0551,0.0582,0.0636,0.0627,0.0639
19,Total Other Income Expenses (Gains),- -,-200000,-100000,-200000,-200000,- -,-100000,- -,- -,-300000,-100000,-2600000,-2100000,-2930499,-2522838,-1226000,915000,-107000,-599000,-618000,-617000,-583000,-186000,-81000,-87000,-182000,-246000,-305000,-345000,-295000,-770000,-1078000,-994000,-1120000,-1091000
20,Income Before Tax,500000,700000,1500000,1700000,400000,-300000,900000,- -,- -,1800000,3300000,1600000,1700000,-2809110,428742,-7231000,1349000,200000,300000,900000,3276000,2700000,2500000,2300000,4500000,5246000,5700000,6400000,6423000,6007000,7164000,7948000,9235000,9730000,9982000
21,Income Before Tax Ratio,0.0327,0.0417,0.0708,0.0717,0.0165,-0.0118,0.0311,- -,- -,0.0469,0.0698,0.0204,0.0244,-0.0351,0.0057,-0.1083,0.0236,0.0038,0.0054,0.0149,0.0493,0.0383,0.0332,0.0284,0.0493,0.0477,0.0508,0.0540,0.0520,0.0492,0.0498,0.0512,0.0574,0.0562,0.0576
22,Income Tax expense (Gain),200000,300000,600000,600000,200000,-100000,400000,- -,- -,600000,1200000,600000,700000,-319000,-84400,-600000,-408000,-200000,- -,-2600000,1217000,400000,1000000,800000,1700000,1944000,2000000,2500000,2397000,1883000,2642000,2026000,2090000,1663000,2191000
23,Net Income,300000,400000,900000,1100000,200000,-200000,500000,-600000,400000,1200000,2100000,1000000,1000000,-2490110,513142,-6631000,-4715000,400000,300000,3600000,2059000,2400000,1600000,1500000,2800000,3302000,3700000,4000000,4026000,4124000,4522000,5922000,7145000,8067000,7791000
24,Net Income ratio,0.0196,0.0238,0.0425,0.0464,0.0082,-0.0078,0.0173,-0.0176,0.0107,0.0313,0.0444,0.0127,0.0143,-0.0311,0.0068,-0.0993,-0.0825,0.0075,0.0054,0.0595,0.0310,0.0340,0.0212,0.0185,0.0307,0.0300,0.0329,0.0338,0.0326,0.0338,0.0314,0.0382,0.0444,0.0466,0.0449
25,EPS,0.04,0.04,0.10,0.12,0.03,-0.03,0.06,-0.04,0.04,0.24,0.34,0.17,0.18,-0.42,0.09,-1.08,-0.76,0.06,0.04,0.54,0.30,0.33,0.21,0.20,0.38,0.45,0.50,0.56,0.59,0.60,0.65,0.83,0.99,1.10,1.05
26,EPS Diluted,0.04,0.04,0.10,0.12,0.03,-0.03,0.06,-0.04,0.04,0.24,0.34,0.16,0.17,-0.42,0.09,-1.08,-0.76,0.06,0.04,0.50,0.28,0.32,0.21,0.19,0.37,0.43,0.49,0.54,0.57,0.58,0.64,0.81,0.95,1.08,1.03
27,Weighted Average Shares Outstanding,4614000,4614000,4614000,4630000,4748000,4748000,4748000,4748000,4760000,4897959,6086957,5882353,5555556,5928833,5701578,6103000,6147000,6252000,6396000,6647000,6914000,7132000,7304000,7352000,7290000,7309000,7404000,7080000,6798000,6887000,6994000,7124000,7196000,7331000,7423000
28,Weighted Average Shares Outstanding Diluted,4614000,4614000,4614000,4630000,4748000,4748000,4748000,4748000,4760000,4897959,6268657,6250000,5882353,5928833,5701578,6103000,6147000,6808000,6966000,7176000,7335000,7272000,7469000,7549000,7521000,7651000,7592000,7357000,7059000,7121000,7111000,7303000,7515000,7487000,7548000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99302/0000950152-96-003175-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99302/000095015203006045/l01290ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015204004738/l08024ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015205005349/l14492ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015206005276/l20395ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015207005449/0000950152-07-005449-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095015208004907/0000950152-08-004907-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095012309016807/0000950123-09-016807-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095012310060637/0000950123-10-060637-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095012311060885/0000950123-11-060885-index.html,https://www.sec.gov/Archives/edgar/data/99302/000119312512276871/d284998d10k.htm,https://www.sec.gov/Archives/edgar/data/99302/000117184313002603/0001171843-13-002603-index.html,https://www.sec.gov/Archives/edgar/data/99302/000117184314003016/0001171843-14-003016-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677415002052/0001206774-15-002052-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677416006245/0001206774-16-006245-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677417001858/0001206774-17-001858-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677418001839/0001206774-18-001839-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677419001847/0001206774-19-001847-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677420001786/0001206774-20-001786-index.htm,https://www.sec.gov/Archives/edgar/data/99302/000120677421001568/0001206774-21-001568-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,200000,100000,200000,200000,500000,500000,200000,600000,200000,800000,700000,300000,508453,176834,508000,114000,500000,100000,100000,357000,200000,100000,100000,- -,32000,400000,- -,65000,641000,842000,577000,788000,499000,560000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,200000,100000,200000,200000,500000,500000,200000,600000,200000,800000,700000,300000,508453,176834,508000,114000,500000,100000,100000,357000,200000,100000,100000,- -,32000,400000,- -,65000,641000,842000,577000,788000,499000,560000
34,Net Receivables,3100000,2800000,3200000,3500000,3500000,4000000,4900000,6100000,5500000,6200000,6800000,12500000,13300000,12598412,11610956,9001000,7837000,8300000,8400000,8000000,9198000,9700000,9100000,11900000,12700000,14645000,16400000,16800000,18070000,17961000,23276000,26045000,28585000,32084000,34378000
35,Inventory,3100000,3100000,4600000,5400000,6200000,5700000,7500000,6900000,6700000,6500000,7800000,10700000,12000000,8834612,8398934,3869000,2842000,3700000,6000000,4000000,4336000,5400000,4900000,5900000,7600000,6396000,6800000,6200000,6750000,6520000,10278000,12651000,14304000,14180000,11636000
36,Other Current Assets,600000,400000,400000,400000,600000,500000,1100000,2300000,1500000,400000,1300000,1900000,2500000,2159840,1449173,999000,454000,700000,600000,1700000,1613000,1100000,1100000,1500000,1500000,2105000,2200000,2500000,2257000,1096000,1193000,1240000,1329000,1697000,2354000
37,Total Current Assets,7100000,6500000,8300000,9500000,10500000,10700000,14000000,15500000,14300000,13300000,16700000,25800000,28100000,24101317,21635897,14377000,11247000,13200000,15100000,13800000,15504000,16400000,15200000,19400000,21800000,23178000,25800000,25500000,27142000,26218000,35589000,40513000,45006000,48460000,48928000
38,PP&E,900000,1100000,1100000,1000000,1100000,1100000,1200000,1500000,1500000,2000000,2400000,6400000,6900000,6542814,5746506,3911000,2556000,2200000,2100000,2700000,2814000,3200000,4200000,4200000,5300000,5306000,6900000,7100000,9397000,12313000,15568000,17091000,19653000,29426000,31595000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2500000,3000000,2967000,3000000,7900000,10000000,11700000,13390000,17600000,17400000,20923000,29112000,32520000,32740000,34545000,41540000,43272000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,19200000,21700000,21245824,19915691,8996000,2524000,- -,- -,- -,- -,- -,1100000,1200000,2000000,2449000,3700000,2700000,3554000,8211000,7519000,5505000,5233000,7977000,7513000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,19200000,21700000,21245824,19915691,8996000,2524000,2500000,2500000,3000000,2967000,3000000,9000000,11200000,13700000,15839000,21300000,20100000,24477000,37323000,40039000,38245000,39778000,49517000,50785000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,791000,- -,- -,- -,- -,- -,600000,600000,1684000,1071000,1134000,- -,2450000,3025000,- -
44,Other Non-Current Assets,400000,500000,600000,700000,700000,800000,1000000,1000000,500000,400000,900000,500000,600000,468773,423572,340000,431000,500000,500000,2000000,346000,1700000,1000000,900000,600000,654000,400000,600000,-551000,-218000,-233000,973000,-1657000,-2306000,808000
45,Total Non-Current Assets,1300000,1600000,1700000,1700000,1800000,1900000,2200000,2500000,2000000,2400000,9200000,26100000,29200000,28257411,26085769,13247000,5511000,5200000,5100000,7700000,6918000,7900000,14200000,16300000,19600000,21799000,29200000,28400000,35007000,50489000,56508000,56309000,60224000,79662000,83188000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8400000,8100000,10000000,11200000,12300000,12600000,16200000,18000000,16300000,15700000,25900000,51900000,57300000,52358728,47721666,27624000,16758000,18400000,20200000,21500000,22422000,24300000,29400000,35700000,41400000,44977000,55000000,53900000,62149000,76707000,92097000,96822000,105230000,128122000,132116000
48,Accounts Payable,- -,- -,- -,- -,- -,1400000,3100000,4200000,3700000,3000000,3600000,7900000,11400000,7103734,6630082,8299000,3738000,4100000,4500000,4200000,5307000,5900000,4700000,8800000,8200000,7516000,8900000,7100000,7695000,8141000,11615000,13535000,14572000,11947000,12276000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,5400000,2200000,2700000,3980000,1016000,666000,7158000,6322000,3975000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1429000,2143000,1899000,1982000,2067000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215000,251000,208000,366000,465000,1035000,43000,- -,805000,232000,228000,86000,382000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2200000,2400000,3700000,3200000,3300000,1100000,1700000,1600000,1100000,1800000,2700000,2300000,2200000,2418299,1960131,693000,2026000,1842000,2278000,2625000,2620000,2600000,2000000,3400000,3800000,5537000,4400000,6800000,4238000,7688000,6712000,5472000,5678000,6993000,10799000
53,Total Current Liabilities,2200000,2400000,3700000,3200000,3300000,2500000,4800000,5800000,4800000,4800000,6900000,15600000,15800000,12222033,12570213,10008000,6430000,13100000,13100000,10800000,7927000,8500000,6700000,12200000,12000000,13053000,13300000,13900000,11933000,15829000,19756000,21150000,22149000,20922000,25142000
54,Long-Term Debt,1700000,800000,600000,1100000,1700000,2900000,3800000,5100000,4100000,2100000,6000000,21800000,26200000,26693400,21223607,8897000,5916000,100000,1100000,400000,2900000,300000,3600000,2500000,5300000,3365000,8000000,7600000,12168000,19073000,25883000,20707000,19103000,28362000,25452000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,269480,304668,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000,551000,607000,- -,1071000,1134000,1709000,2450000,3025000,3201000
57,Other Non-Current Liabilities,500000,500000,500000,500000,700000,800000,700000,800000,800000,600000,600000,500000,400000,360108,293830,1955000,1714000,1800000,1700000,1600000,366000,400000,500000,800000,700000,1042000,1549000,1693000,3730000,1823000,1923000,1908000,1898000,8726000,3243000
58,Total Non-Current Liabilities,2200000,1300000,1100000,1600000,2400000,3700000,4500000,6000000,4900000,2700000,6600000,22300000,26600000,27322988,21822105,10852000,7630000,1900000,2800000,2000000,3266000,700000,4100000,3300000,6000000,4546000,10100000,9900000,15898000,21967000,28940000,24324000,23451000,40113000,31896000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6832000,7958000
61,Total Liabilities,4400000,3700000,4800000,4800000,5700000,6200000,9300000,11800000,9700000,7500000,13500000,37900000,42400000,39545021,34392318,20860000,14060000,15000000,15900000,12800000,11193000,9200000,10800000,15500000,18000000,17599000,23400000,23800000,27831000,37796000,48696000,45474000,45600000,61035000,57038000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3050159,3094477,3120000,3148000,3200000,3400000,3500000,3643000,3700000,3800000,3800000,3900000,3920000,3700000,3400000,3418000,3462000,3522000,3578000,3605000,3691000,3729000
64,Retained Earnings,2000000,2400000,3300000,4400000,4600000,4400000,4900000,4300000,-4700000,5900000,8000000,9000000,10000000,7522350,8035492,1404000,-3311000,-3000000,-2700000,900000,2934000,5300000,6900000,8300000,11100000,14394000,16800000,14800000,18754000,22814000,27297000,33086000,40169000,46477000,52513000
65,Other Comprehensive Income/Loss,-1100000,-1400000,-1800000,-2100000,-2300000,-2700000,-2700000,-3500000,-3500000,-3900000,-4400000,-5700000,-6800000,-7729205,-9387849,-6242000,283000,428000,509000,495000,372000,436000,320000,382000,485000,448000,481000,567000,-143000,-358000,-414000,-281000,-611000,-1010000,-451000
66,Other Total Stockholders Equity,3100000,3400000,3700000,4100000,4300000,4700000,4700000,5400000,14800000,6200000,8800000,10700000,11700000,9970403,11587228,8482000,2578000,2800000,3105000,3752000,4280000,5681000,7599000,7775000,7844000,8616000,10669000,11316000,12289000,12993000,12996000,14965000,16467000,17929000,- -
67,Total Stockholders Equity,4000000,4400000,5200000,6400000,6600000,6400000,6900000,6200000,6600000,8200000,12400000,14000000,14900000,12813707,13329348,6764000,2698000,3428000,4314000,8647000,11229000,15117000,18619000,20257000,23329000,27378000,31650000,30083000,34318000,38911000,43401000,51348000,59630000,67087000,75078000
68,Total Liabilities And Stockholders Equity,8400000,8100000,10000000,11200000,12300000,12600000,16200000,18000000,16300000,15700000,25900000,51900000,57300000,52358728,47721666,27624000,16758000,18428000,20214000,21447000,22422000,24317000,29419000,35757000,41329000,44977000,55050000,53883000,62149000,76707000,92097000,96822000,105230000,128122000,132116000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000,-14000,53000,- -,-17000,-19000,-57000,71000,- -,-50000,17000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8400000,8100000,10000000,11200000,12300000,12600000,16200000,18000000,16300000,15700000,25900000,51900000,57300000,52358728,47721666,27624000,16758000,18400000,20200000,21500000,22422000,24300000,29400000,35700000,41400000,44977000,55000000,53900000,62149000,76707000,92097000,96822000,105230000,128122000,132116000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99302/0000950152-96-003175-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99302/000095015203006045/l01290ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015204004738/l08024ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015205005349/l14492ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015206005276/l20395ae10vk.htm,https://www.sec.gov/Archives/edgar/data/99302/000095015207005449/0000950152-07-005449-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095015208004907/0000950152-08-004907-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095012309016807/0000950123-09-016807-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095012310060637/0000950123-10-060637-index.html,https://www.sec.gov/Archives/edgar/data/99302/000095012311060885/0000950123-11-060885-index.html,https://www.sec.gov/Archives/edgar/data/99302/000119312512276871/d284998d10k.htm,https://www.sec.gov/Archives/edgar/data/99302/000117184313002603/0001171843-13-002603-index.html,https://www.sec.gov/Archives/edgar/data/99302/000117184314003016/0001171843-14-003016-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677415002052/0001206774-15-002052-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677416006245/0001206774-16-006245-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677417001858/0001206774-17-001858-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677418001839/0001206774-18-001839-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677419001847/0001206774-19-001847-index.html,https://www.sec.gov/Archives/edgar/data/99302/000120677420001786/0001206774-20-001786-index.htm,https://www.sec.gov/Archives/edgar/data/99302/000120677421001568/0001206774-21-001568-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-200000,500000,-600000,400000,1200000,2100000,1000000,1000000,-2490110,513142,-6631000,-4715000,400000,300000,3600000,2059000,2400000,1600000,1500000,2800000,3302000,3700000,4000000,4026000,4124000,4522000,5922000,7145000,8067000,7791000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,400000,400000,400000,400000,500000,1000000,2700000,3100000,4807518,4546227,8594000,2047000,1398000,1621000,1447000,1674000,1761000,1897000,2080000,2293000,2896000,2702000,2945000,3090000,3946000,6184000,5991000,6361000,6659000,7580000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-100000,200000,100000,-100000,-100000,-200000,- -,800000,-106000,206329,107000,- -,- -,- -,-2662000,1118000,40000,246000,35000,138000,91000,43000,-310000,779000,136000,63000,765000,741000,575000,176000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,666000,579000,428000,553000,343000,527000,507000,359000,453000,1411000,1327000,884000,1513000
77,Change in Working Capital,- -,- -,- -,- -,- -,-500000,500000,-200000,-1000000,1300000,400000,2100000,-420716,-2813600,-4696684,448000,-4717000,1900000,1000000,4577000,323000,600000,-1300000,2600000,325000,2375000,-900000,3609000,-4820000,5444000,3530000,3494000,4681000,-3752000,5807000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1418000,-2453000,-357000,-1981000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,500000,-1700000,500000,200000,300000,-500000,-600000,-500000,1343794,435678,438000,1027000,-914000,-2179000,1994000,-421000,-1039000,836000,-669000,-1269000,989000,-294000,681000,-593000,177000,-3425000,-1674000,-1100000,875000,2724000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1585000,3639000,-1720000,-681000,1389000,-1751000,464000,446000,3107000,1920000,963000,-2767000,329000
81,Other Working Capital,- -,- -,- -,- -,- -,9200000,9700000,9500000,8500000,9800000,10200000,12300000,11879284,9065684,4369000,4817000,100000,2000000,3000000,7577000,7900000,8500000,7200000,9800000,10125000,12500000,11600000,15209000,10389000,15833000,19363000,22857000,27538000,23786000,4943000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-100000,-2000000,-600000,2200000,-700000,-1700000,-2900000,120716,894917,4680278,1026000,8322000,-3490000,-2927000,-2527000,-2529000,-1208000,707000,-1145000,-3411000,-2958000,-647000,-3159000,857000,-3027000,-7208000,-7709000,-7694000,-872000,772000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-500000,-400000,-900000,1900000,2200000,1600000,2900000,4600000,292725,5249292,3544000,937000,208000,-6000,4435000,2645000,3593000,3816000,5649000,2573000,6259000,5241000,7612000,4439000,10982000,7544000,9874000,12561000,11561000,23639000
84,CAPEX,- -,- -,- -,- -,- -,-400000,-400000,-600000,-400000,-1000000,-5600000,-24100000,-3200000,-1948698,-1393617,-1364000,-291000,-459000,-866000,-914000,-1194000,-1505000,-1775000,-1128000,-1647000,-1391000,-2657000,-1961000,-3500000,-4101000,-5250000,-5882000,-6998000,-6579000,-6617000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-863000,- -,- -,-5641000,-1917000,-3427000,-3122000,-7029000,- -,-7279000,-13894000,-6977000,- -,-3922000,-13847000,-3551000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
