,https://roic.ai/company/NHC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,7600000,121400000,140500000,171300000,204400000,222800000,273200000,255400000,299408000,318789000,280929000,292319000,307781000,330913000,343000000,357344000,57213000,56271000,57780000,60078000,497309000,694772000,711091000,801507000,836888000,862155000,907996000,919576000,944210000,931158000,950947000
11,COGS and Expenses,153700000,194300000,220700000,270100000,313000000,348500000,413200000,418900000,420757000,438375000,392648000,419364000,437497000,480475000,493160000,515008000,559307000,594783000,616633000,657364000,695748000,694772000,711091000,801507000,836888000,862155000,907996000,919576000,944210000,931158000,950947000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4623000,5237000,4550000,5494000,5705000,6474000,7183000,7188000,5795000,4665000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,873000,716000,513000,443000,455000,331000,2165000,2608000,3941000,4890000,4697000,3135000,1399000,845000
14,Depreciation and Amortization,7600000,10400000,12000000,13600000,15400000,13200000,14900000,12100000,10385000,14443000,11865000,11146000,11207000,12436000,14150000,12713000,6536000,24818000,25429000,27141000,28901000,29792000,28547000,34384000,37114000,39023000,42652000,41894000,42419000,42018000,40672000
15,EBITDA,25300000,19900000,49600000,29500000,36500000,42500000,52100000,2000000,24420000,31603000,34028000,38592000,44494000,52491000,60840000,66992000,78770000,78978000,93801000,108621000,127223000,121527000,131054000,121742000,124996000,123171000,122614000,121740000,133804000,95721000,191058000
16,EBITDA ratio,0.1371,0.0920,0.1838,0.0987,0.1040,0.1093,0.1124,0.0045,0.0555,0.0683,0.0810,0.0842,0.0941,0.1006,0.1122,0.1190,0.1317,0.1217,0.1404,0.1518,0.1645,0.1596,0.1661,0.1397,0.1379,0.1329,0.1268,0.1242,0.1343,0.0976,0.1890
17,Operating Income,30900000,22100000,49200000,28800000,38000000,40200000,50300000,22300000,19388000,24040000,27319000,38888000,35367000,41354000,49221000,47950000,38727000,54160000,50872000,57627000,77346000,66035000,72081000,68011000,67126000,60542000,54110000,56076000,49038000,48155000,50925000
18,Operating Income ratio,0.1674,0.1021,0.1823,0.0964,0.1083,0.1034,0.1085,0.0505,0.0440,0.0520,0.0651,0.0849,0.0748,0.0792,0.0907,0.0852,0.0648,0.0835,0.0761,0.0805,0.1000,0.0867,0.0914,0.0780,0.0740,0.0653,0.0560,0.0572,0.0492,0.0491,0.0504
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-13100000,-32400000,-5353000,-6880000,-5156000,-11442000,-2080000,-1299000,-2531000,6329000,33507000,-873000,16784000,23340000,20533000,25245000,30095000,17182000,18148000,19665000,20439000,18808000,38977000,4268000,99113000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,37200000,-10100000,14035000,17160000,22163000,27446000,33287000,40055000,46690000,54279000,72234000,53287000,67656000,80967000,97879000,91280000,102176000,85193000,85274000,80207000,74549000,74884000,88015000,52423000,150038000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0803,-0.0229,0.0319,0.0371,0.0528,0.0599,0.0704,0.0768,0.0861,0.0964,0.1208,0.0821,0.1012,0.1132,0.1265,0.1199,0.1295,0.0977,0.0941,0.0866,0.0771,0.0764,0.0883,0.0535,0.1484
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,200000,-3700000,5652000,6942000,8963000,11009000,13335000,16083000,18055000,17539000,26785000,16916000,27607000,28272000,33807000,33323000,37563000,31824000,32131000,29669000,18867000,16185000,20039000,10433000,10951000
23,Net Income,17700000,9500000,37600000,15900000,21100000,29300000,37000000,-6400000,8383000,10218000,13200000,16437000,19952000,23972000,28635000,36740000,45449000,36371000,40049000,52695000,64072000,57957000,64613000,53369000,53143000,50538000,56205000,58964000,68211000,41871000,138590000
24,Net Income ratio,0.0959,0.0439,0.1393,0.0532,0.0601,0.0754,0.0798,-0.0145,0.0190,0.0221,0.0314,0.0359,0.0422,0.0459,0.0528,0.0653,0.0760,0.0560,0.0599,0.0736,0.0828,0.0761,0.0819,0.0612,0.0586,0.0545,0.0581,0.0601,0.0685,0.0427,0.1371
25,EPS,2.45,1.28,4.85,2.02,2.65,3.44,4.17,-0.58,0.73,0.89,1.17,1.43,1.72,2.05,2.34,2.99,3.47,2.16,2.31,3.22,4.02,3.56,4.05,3.24,3.34,3.34,3.70,3.87,4.47,2.74,9.03
26,EPS Diluted,2.45,1.23,4.05,1.80,2.31,2.98,3.58,-0.58,0.73,0.89,1.13,1.37,1.65,1.95,2.24,2.85,3.36,2.11,2.31,3.22,3.90,3.49,3.87,3.14,3.20,3.32,3.69,3.87,4.44,2.72,8.99
27,Weighted Average Shares Outstanding,7224490,7421875,7752577,7871287,7962264,8517442,8874627,11117402,11421700,11447255,11266831,11514236,11608555,11674901,12240423,12294730,12562347,12834630,13562850,13671053,13774628,13852709,13829626,13816095,13889134,15134518,15189920,15224886,15270154,15306174,15347129
28,Weighted Average Shares Outstanding Diluted,7224490,7723577,9283951,8833333,9134199,9832215,10838567,11117402,11421700,11465755,11681277,11974042,12059986,12281181,12789994,12886171,12993930,13133419,13577676,13676476,16414023,16598816,16698803,14222133,14491433,15206997,15218962,15236826,15360046,15369523,15416716
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047335/000104733502000004/0001047335-02-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733503000016/0001047335-03-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733504000023/0001047335-04-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733505000044/0001047335-05-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000095014406002368/0000950144-06-002368-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733507000033/0001047335-07-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733508000031/0001047335-08-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733509000031/0001047335-09-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733510000020/0001047335-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733511000019/0001047335-11-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733512000017/0001047335-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733513000021/0001047335-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733514000023/0001047335-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733515000018/0001047335-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733516000180/0001047335-16-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733517000042/0001047335-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774918002879/0001437749-18-002879-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774919002958/0001437749-19-002958-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774920003248/0001437749-20-003248-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774921003415/0001437749-21-003415-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774922003787/0001437749-22-003787-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5900000,13000000,100000,1400000,4800000,1900000,17200000,12600000,4054000,10011000,42198000,68932000,43899000,40601000,60870000,50678000,2379000,49033000,39022000,28478000,61008000,66701000,81705000,69767000,38208000,26335000,59118000,43247000,50334000,147093000,107607000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,30459000,33167000,45424000,35106000,50039000,56684000,53660000,72598000,93162000,64023000,90630000,155993000,168676000,107250000,105009000,132535000,116168000,138013000,139085000,140223000,152453000,176352000,148418000
33,Cash and Short-Term Investments,5900000,13000000,100000,1400000,4800000,1900000,17200000,12600000,34513000,43178000,87622000,104038000,93938000,97285000,114530000,123276000,95541000,113056000,129652000,184471000,229684000,173951000,186714000,202302000,154376000,164348000,198203000,183470000,202787000,323445000,256025000
34,Net Receivables,33100000,45900000,68300000,76100000,49800000,50900000,78600000,72400000,52939000,50501000,44878000,38343000,43361000,46064000,51449000,63901000,69795000,70917000,65788000,76559000,73414000,86466000,85928000,84011000,87758000,90455000,93682000,98563000,97230000,90598000,96577000
35,Inventory,2800000,2900000,2900000,3000000,3100000,3600000,3900000,4200000,5010000,4292000,4343000,4722000,5041000,5259000,5623000,6377000,6654000,7142000,7393000,7853000,7419000,6660000,7146000,7127000,7568000,7508000,7153000,7470000,7441000,8781000,8582000
36,Other Current Assets,11500000,2300000,38000000,17000000,31700000,23700000,25600000,30600000,15034000,18604000,11945000,17508000,62456000,79126000,88977000,97057000,74024000,121637000,98008000,53243000,51669000,147902000,157140000,29085000,29240000,28546000,30273000,32506000,33595000,33931000,65454000
37,Total Current Assets,53300000,64100000,109300000,97500000,89400000,80100000,125300000,119800000,107496000,116575000,148788000,164611000,204796000,227734000,260579000,290611000,246014000,312752000,300841000,322126000,362186000,414979000,436928000,322525000,278942000,290857000,329311000,322009000,341053000,456755000,426638000
38,PP&E,167600000,171900000,190900000,187400000,156900000,209300000,68300000,89900000,99926000,90182000,83347000,84042000,96205000,105331000,107134000,126203000,384287000,413482000,427576000,436392000,429651000,420907000,456798000,514744000,536046000,559624000,549319000,534650000,738339000,699373000,677112000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3033000,3033000,3033000,3033000,5978000,20320000,20320000,17600000,17600000,17600000,17600000,17600000,17600000,20995000,20995000,21341000,168295000
40,Intangible Assets,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3033000,3033000,3033000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7038000
41,Intangible Assets,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3033000,3033000,3033000,3033000,3033000,3033000,3033000,5978000,20320000,20320000,17600000,17600000,17600000,17600000,17600000,17600000,20995000,20995000,21341000,175333000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11050000,11643000,14204000,20502000,40039000,38754000,37116000,37683000,37242000,36339000,32362000,39191000,40782000,2022000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10337000,10835000,14232000,14616000,16690000,18892000,21303000,13672000,15555000,12000000,10167000,10564000,14531000,18700000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,51800000,68100000,44500000,111200000,109200000,115300000,36600000,40000000,32897000,66290000,50631000,43054000,34127000,22403000,23189000,32738000,43771000,23307000,26939000,23973000,22846000,16092000,16114000,163438000,175058000,182124000,163957000,170932000,147070000,143881000,122291000
45,Total Non-Current Assets,219700000,240000000,235400000,298600000,266100000,324600000,104900000,129900000,132823000,156472000,144315000,140964000,147597000,145383000,150046000,180866000,452394000,464544000,487691000,506889000,503486000,505202000,543797000,751598000,766387000,796590000,767215000,758939000,945595000,905377000,976758000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,273000000,304100000,344700000,396100000,355500000,404700000,230200000,249700000,240319000,273047000,293103000,305575000,352393000,373117000,410625000,471477000,698408000,777296000,788532000,829015000,865672000,920181000,980725000,1074123000,1045329000,1087447000,1096526000,1080948000,1286648000,1362132000,1403396000
48,Accounts Payable,5000000,6400000,5400000,17700000,6100000,11800000,12800000,16300000,13285000,16399000,7190000,8160000,9412000,10529000,10431000,11823000,13418000,13809000,10909000,10947000,9834000,10555000,13050000,15877000,20128000,18593000,15978000,19759000,18903000,21112000,22488000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2700000,3800000,6487000,22451000,13482000,2151000,2876000,2267000,2461000,2267000,7435000,50502000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,10000000,32269000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67321000,24465000
52,Other Current Liabilities,20300000,19700000,34400000,37300000,52900000,61000000,65300000,72600000,72887000,64771000,92296000,103766000,119521000,115809000,134299000,154458000,167972000,187608000,201576000,212859000,206073000,215940000,237309000,167681000,130528000,132335000,139087000,138165000,165860000,182795000,183979000
53,Total Current Liabilities,25300000,26100000,39800000,55000000,59000000,72800000,80800000,92700000,92659000,103621000,112968000,114077000,131809000,128605000,147191000,168548000,188825000,251919000,212485000,223806000,215907000,226495000,250359000,183558000,150656000,150928000,155065000,157924000,194763000,281228000,263201000
54,Long-Term Debt,169900000,194300000,196700000,224000000,171700000,186400000,96100000,72900000,60647000,57763000,42175000,28172000,20727000,17519000,13568000,10381000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,120000000,120000000,100000000,55000000,- -,185412000,134387000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15118000,15212000,13990000,11785000,10124000,7009000,7286000,6755000,6598000,6113000,5226000,5171000,- -,- -
56,Deferred Tax Liabilities,15200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9096000,22072000,18376000,18550000,24012000,14079000,6852000
57,Other Non-Current Liabilities,- -,15100000,14900000,15300000,15100000,16200000,14800000,33100000,33377000,42129000,41882000,42435000,48018000,43771000,45622000,43406000,43875000,19442000,25056000,20073000,16244000,13890000,25245000,139131000,127826000,118238000,113540000,109791000,283633000,83153000,90496000
58,Total Non-Current Liabilities,185100000,209400000,211600000,239300000,186800000,202600000,110900000,106000000,94024000,99892000,84057000,70607000,68745000,61290000,59190000,53787000,53875000,44560000,50268000,44063000,38029000,34014000,42254000,156417000,263677000,266908000,238029000,188567000,312816000,282644000,231735000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36596000,33507000,30229000,26748000,23052000,222038000,194018000,166656000
61,Total Liabilities,210400000,235500000,251400000,294300000,245800000,275400000,191700000,198700000,186683000,203513000,197025000,184684000,200554000,189895000,206381000,222335000,242700000,296479000,262753000,267869000,253936000,260509000,292613000,339975000,414333000,417836000,393094000,346491000,507579000,563872000,494936000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170555000,170555000,170555000,170548000,170515000,170514000,170510000,170494000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,115000,112000,114000,115000,116000,122000,123000,125000,127000,130000,137000,136000,138000,141000,140000,140000,150000,152000,152000,153000,153000,153000,154000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-6400000,1984000,12202000,25402000,41839000,61791000,79866000,101461000,129681000,164003000,179710000,197140000,226114000,265198000,283517000,318216000,343941000,368013000,391934000,419423000,516435000,553093000,563024000,669078000
65,Other Comprehensive Income/Loss,-16100000,-20000000,-24200000,-31100000,-38300000,-48200000,-41200000,-50500000,-61107000,-73602000,-83076000,-95277000,-106928000,-110605000,-118794000,-130564000,-135696000,-158478000,-181177000,-203758000,-229872000,-254548000,-277884000,65000000,53000000,66000000,68000000,-3000000,3000000,5000000,1605000
66,Other Total Stockholders Equity,77900000,87900000,116700000,132100000,147200000,176700000,78900000,107200000,112644000,130822000,153638000,173464000,196048000,212965000,220269000,249900000,256719000,288900000,339124000,368106000,405757000,460048000,477130000,154573000,209833000,211525000,215163000,219690000,222347000,227000000,- -
67,Total Stockholders Equity,61800000,67900000,92500000,101000000,108900000,128500000,37700000,50300000,53636000,69534000,96078000,120141000,151027000,182348000,203059000,249142000,455708000,480817000,525779000,561146000,611736000,659672000,688112000,734148000,630996000,669611000,702738000,733278000,778593000,795177000,903004000
68,Total Liabilities And Stockholders Equity,272200000,303400000,343900000,395300000,354700000,403900000,229400000,249000000,240319000,273047000,293103000,304825000,351581000,372243000,409440000,471477000,698408000,777296000,788532000,829015000,865672000,920181000,980725000,1074123000,1045329000,1087447000,1095832000,1079769000,1286172000,1359049000,1397940000
69,Minority Interest,800000,700000,800000,800000,800000,800000,800000,700000,- -,- -,- -,750000,812000,874000,1185000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,694000,1179000,476000,3083000,5456000
70,Total Liabilities & Equity,273000000,304100000,344700000,396100000,355500000,404700000,230200000,249700000,240319000,273047000,293103000,305575000,352393000,373117000,410625000,471477000,698408000,777296000,788532000,829015000,865672000,920181000,980725000,1074123000,1045329000,1087447000,1096526000,1080948000,1286648000,1362132000,1403396000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047335/000104733502000004/0001047335-02-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733503000016/0001047335-03-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733504000023/0001047335-04-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733505000044/0001047335-05-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000095014406002368/0000950144-06-002368-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733507000033/0001047335-07-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733508000031/0001047335-08-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733509000031/0001047335-09-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733510000020/0001047335-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733511000019/0001047335-11-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733512000017/0001047335-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733513000021/0001047335-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733514000023/0001047335-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733515000018/0001047335-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733516000180/0001047335-16-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000104733517000042/0001047335-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774918002879/0001437749-18-002879-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774919002958/0001437749-19-002958-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774920003248/0001437749-20-003248-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774921003415/0001437749-21-003415-index.htm,https://www.sec.gov/Archives/edgar/data/1047335/000143774922003787/0001437749-22-003787-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,17700000,9500000,37600000,15900000,21100000,29300000,37000000,-6400000,8383000,10218000,13200000,16437000,19952000,23972000,28635000,36740000,45449000,36371000,40049000,52695000,64072000,57957000,64613000,53369000,53143000,50538000,56205000,58964000,68211000,41871000,138590000
74,Depreciation and Amortization,7600000,10400000,12000000,13600000,15400000,13200000,14900000,12100000,10385000,14443000,11865000,11146000,11207000,12436000,14150000,12713000,6536000,24818000,25429000,27141000,28901000,29792000,28547000,34384000,37114000,39023000,42652000,41894000,42419000,42018000,40672000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-4500000,-10500000,3531000,-712000,-720000,-1844000,-3494000,-1161000,-2317000,-1720000,10693000,-4489000,1380000,3505000,1990000,558000,-2404000,-1434000,-648000,4791000,-4714000,718000,4052000,-10593000,-6294000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2150000,1134000,321000,2751000,2366000,2298000,2021000,1982000,509000,1678000,1778000,1878000,2453000,2620000
77,Change in Working Capital,-7900000,10000000,31500000,-27000000,-12100000,-23100000,37200000,-17400000,-12263000,-1883000,22866000,14714000,22453000,26142000,14259000,8675000,-64874000,3644000,27523000,9964000,47959000,42205000,-1915000,-47602000,-10681000,11643000,34317000,-10161000,-17795000,29237000,-40738000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15817000,5032000,-7263000,-13778000,-5215000,-11835000,-4403000,-9492000,-9398000,4299000,4529000,4090000
79,Inventory,- -,-100000,-100000,- -,-100000,-500000,-400000,-300000,-803000,718000,-51000,-379000,-319000,-218000,-364000,-754000,-103000,-488000,-251000,-372000,434000,759000,-486000,19000,-441000,60000,355000,-317000,29000,-1249000,199000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391000,-2900000,-352000,-1113000,831000,2495000,2827000,4251000,-1535000,-2615000,3467000,-856000,1429000,-2083000
81,Other Working Capital,28000000,38000000,69500000,42500000,30400000,7300000,44500000,27100000,14837000,12954000,35820000,50534000,72987000,99129000,113388000,122063000,57189000,60833000,88356000,98320000,146279000,188484000,186569000,138967000,128286000,139929000,174246000,164085000,146290000,175527000,-37720000
82,Other Non-Cash Items,-300000,-19100000,-48400000,28900000,15500000,32600000,-49400000,50700000,23556000,30169000,-12429000,8111000,-4711000,-41094000,9112000,-20679000,48132000,-5613000,-10365000,-31222000,-65019000,-68185000,11209000,34956000,-6947000,-15622000,-35672000,5242000,1338000,98273000,-72456000
83,Cash Provided by Operating Activities,17100000,10800000,32700000,31400000,39900000,52000000,35200000,28500000,33592000,52235000,34782000,48564000,45407000,20295000,63839000,35729000,45936000,56881000,85150000,62404000,80654000,64693000,102348000,75694000,73963000,90882000,94466000,98435000,100103000,203259000,62394000
84,CAPEX,-33400000,-14700000,-30600000,-9600000,-29400000,-70000000,-34800000,-24000000,-22004000,-6724000,-5344000,-12821000,-24425000,-22741000,-18408000,-37401000,-17764000,-42660000,-44064000,-32838000,-23597000,-22003000,-43438000,-53298000,-58416000,-62601000,-32347000,-29772000,-26400000,-21873000,-39399000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91070000,- -,- -,-14342000,-7500000,- -,-21000000,-1975000,-674000,-1282000,-246000,3329000,-15811000,-203000,-29063000
86,Purchases of Investments,- -,- -,- -,- -,- -,-14600000,- -,-4300000,-17997000,-7253000,- -,- -,- -,-8190000,-5789000,-50137000,- -,-6291000,-26351000,-93305000,-58247000,-111691000,-93155000,-62165000,-60540000,-48620000,-31244000,-13311000,-12471000,-84854000,-108187000
87,Sales/Maturities of Investments,- -,- -,33000000,100000,2400000,1900000,600000,- -,- -,- -,7235000,13677000,473000,- -,2424000,47142000,7757000,5127000,5017000,45149000,46266000,62649000,81389000,48786000,47574000,34642000,50197000,4539000,44500000,40994000,101920000
88,Other Investing Activites,-20800000,-20700000,-45700000,-33700000,8600000,18300000,-17500000,3400000,7041000,-36876000,2320000,2190000,6517000,22358000,1735000,-1877000,-17873000,32707000,26213000,48985000,11332000,39820000,19904000,11144000,8209000,-3615000,4080000,1553000,-4083000,2058000,8840000
89,Cash Used for Investing Activites,-54200000,-35400000,-43300000,-43200000,-18400000,-64400000,-51700000,-24900000,-32960000,-50853000,4211000,3046000,-17435000,-8573000,-20038000,-42273000,-118950000,-11117000,-39185000,-46351000,-31746000,-31225000,-56300000,-57508000,-63847000,-81476000,-9560000,-33662000,-14265000,-63878000,-65889000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7433000,-50502000,- -,-95000,- -,- -,-2436000,-3089000,-3278000,-23481000,-48696000,-48923000,-54166000,-4423000
91,Common Stock Issued,- -,500000,- -,800000,800000,1400000,2300000,1000000,734000,395000,4639000,1413000,1167000,3033000,1426000,5670000,5977000,6663000,15395000,2655000,8392000,13412000,991000,7429000,10634000,10772000,2524000,2865000,2346000,1756000,3441000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3314000,- -,- -,-258000,-4379000,-6721000,- -,- -,- -,- -,-5944000,- -,- -,-4700000,-6995000,-130538000,-8195000,- -,-867000,-872000,-53000,-836000
