,https://roic.ai/company/NPO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,138200000,19400000,82500000,82500000,123400000,-219000000,100700000,133500000,-141300000,243800000,113200000,162200000,137500000,135200000,92300000,44300000,692200000,148800000,122300000,268200000,255300000
16,EBITDA ratio,0.2195,0.0273,0.1130,0.0998,0.1472,-0.2359,0.0978,0.1143,-0.1760,0.2818,0.1024,0.1370,0.1202,0.1109,0.0766,0.0373,0.5286,0.0971,0.1014,0.2497,0.2236
17,Operating Income,48500000,37500000,52800000,47400000,82200000,-251300000,57200000,91400000,-204200000,54400000,101700000,107500000,86400000,63400000,37600000,-4700000,101200000,117300000,56600000,25900000,94300000
18,Operating Income ratio,0.0770,0.0528,0.0723,0.0574,0.0980,-0.2707,0.0555,0.0783,-0.2543,0.0629,0.0920,0.0908,0.0755,0.0520,0.0312,-0.0040,0.0773,0.0766,0.0469,0.0241,0.0826
19,Total Other Income Expenses (Gains),-25300000,-54300000,-1900000,3500000,9900000,-2900000,800000,-10700000,6000000,28200000,-36700000,-44000000,-50600000,-30800000,-56200000,-64000000,476300000,-70700000,-52300000,-52700000,118100000
20,Income Before Tax,23200000,-16800000,50900000,50900000,92100000,-254200000,58000000,80700000,-198200000,82600000,65000000,63500000,35800000,32600000,-18600000,-68700000,577500000,46600000,4300000,-26800000,212400000
21,Income Before Tax Ratio,0.0368,-0.0237,0.0697,0.0616,0.1098,-0.2738,0.0563,0.0691,-0.2468,0.0955,0.0588,0.0536,0.0313,0.0267,-0.0154,-0.0578,0.4410,0.0304,0.0036,-0.0250,0.1860
22,Income Tax expense (Gain),8700000,-7500000,17700000,17100000,33500000,-95300000,20300000,27200000,-54600000,21300000,-20000000,22500000,8400000,10600000,2300000,-28600000,37700000,22000000,-3500000,-3500000,34800000
23,Net Income,100700000,-3000000,33200000,33800000,58600000,-158900000,40200000,53500000,-139300000,155400000,44000000,41000000,27400000,22000000,-20900000,-40100000,539800000,24600000,38300000,184400000,177200000
24,Net Income ratio,0.1599,-0.0042,0.0455,0.0409,0.0699,-0.1712,0.0390,0.0458,-0.1735,0.1797,0.0398,0.0346,0.0239,0.0180,-0.0174,-0.0338,0.4122,0.0161,0.0318,0.1717,0.1552
25,EPS,4.93,-0.15,1.64,1.65,2.83,-7.60,1.89,2.64,-6.97,7.64,2.15,1.99,1.31,0.95,-0.93,-1.86,25.28,1.17,1.86,8.98,8.64
26,EPS Diluted,4.93,-0.15,1.61,1.60,2.75,-7.60,1.80,2.54,-6.97,7.51,2.06,1.90,1.17,0.85,-0.93,-1.86,24.76,1.16,1.85,8.98,8.64
27,Weighted Average Shares Outstanding,20416328,20200000,20243902,20484848,20706714,20907895,21269841,20200000,20000000,20300000,20500000,20700000,20900000,23100000,22500000,21600000,21300000,20900000,20700000,20500000,20500000
28,Weighted Average Shares Outstanding Diluted,20416328,20200000,20621118,21125000,21309091,20907895,22333333,21100000,20000000,20700000,21500000,21600000,23500000,25800000,22500000,21600000,21800000,21100000,20800000,20500000,20500000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1164863/000095014403003292/0000950144-03-003292-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000095014404001920/g87393e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014405002481/g93603e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014406001904/g99871e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014407001966/g05818e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014408001363/g11767e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014409001768/0000950144-09-001768-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000095012310020653/0000950123-10-020653-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000095012311025599/g26430e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000119312512080901/0001193125-12-080901-index.html,- -,https://www.sec.gov/Archives/edgar/data/1164863/000116486314000006/npo-10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1164863/000116486315000008/npo-10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1164863/000116486316000040/0001164863-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486317000006/0001164863-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486318000009/0001164863-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486319000007/0001164863-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486320000012/0001164863-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486321000011/0001164863-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1164863/000116486322000010/0001164863-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25900000,81800000,94700000,108000000,109500000,161000000,129200000,76300000,76800000,219200000,30000000,53900000,64400000,194200000,103400000,111500000,189300000,129600000,121200000,229500000,338000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,25900000,81800000,94700000,108000000,109500000,161000000,129200000,76300000,76800000,219200000,266000000,53900000,64400000,194200000,103400000,111500000,189300000,129600000,121200000,229500000,338000000
34,Net Receivables,173000000,182800000,211600000,225700000,218700000,209600000,237600000,225600000,179900000,142100000,195000000,187200000,193100000,205200000,212500000,208100000,374900000,336100000,189500000,192800000,177000000
35,Inventory,83000000,61900000,50600000,58600000,65000000,79300000,70300000,84800000,86100000,77000000,112000000,130800000,149100000,159700000,178400000,175400000,204100000,233100000,157100000,139100000,160000000
36,Other Current Assets,13700000,22400000,26900000,31300000,23100000,22400000,55300000,40900000,109700000,38600000,-191000000,22300000,41000000,44000000,23600000,29900000,51300000,33200000,281700000,17600000,38000000
37,Total Current Assets,295600000,348900000,383800000,423600000,416300000,472300000,492400000,427600000,452500000,476900000,382000000,394200000,447600000,603100000,517900000,524900000,819600000,732000000,749500000,579000000,713000000
38,PP&E,138200000,136000000,134500000,146700000,147700000,166300000,193500000,206100000,185400000,140200000,164000000,185500000,187500000,199300000,211500000,215400000,296900000,301200000,218800000,195000000,236000000
39,Goodwill,144600000,- -,- -,- -,- -,161600000,213800000,218100000,125700000,112100000,201000000,220400000,220200000,232400000,195900000,201500000,336100000,333700000,485300000,621800000,964000000
40,Intangible Assets,64500000,185000000,201100000,193000000,207200000,70100000,103500000,103400000,116000000,115100000,195000000,222500000,200100000,202800000,190400000,176900000,347000000,297300000,466900000,553600000,901000000
41,Intangible Assets,209100000,185000000,201100000,193000000,207200000,231700000,317300000,321500000,241700000,227200000,396000000,442900000,420300000,435200000,386300000,378400000,683100000,631000000,952200000,1175400000,1865000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,236900000,236900000,236900000,236900000,236900000,236900000,236900000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,80200000,90300000,96500000,119900000,20500000,- -,78000000,- -,80300000,109300000,152600000,24800000,- -,- -,- -,166000000
44,Other Non-Current Assets,830100000,285400000,301300000,417700000,505000000,456100000,376800000,300800000,221700000,46600000,-236900000,33400000,100400000,49200000,41600000,38200000,61700000,54900000,114600000,134200000,-12000000
45,Total Non-Current Assets,1177400000,606400000,636900000,757400000,859900000,934300000,977900000,924900000,768700000,671400000,560000000,976700000,945100000,1000900000,985600000,1021500000,1066500000,987100000,1285600000,1504600000,2255000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1473000000,955300000,1020700000,1181000000,1276200000,1406600000,1470300000,1352500000,1221200000,1148300000,942000000,1370900000,1392700000,1604000000,1503500000,1546400000,1886100000,1719100000,2035100000,2083600000,2968000000
48,Accounts Payable,47100000,43000000,47700000,55500000,55600000,62200000,80100000,66400000,56500000,57500000,83000000,83900000,86800000,87800000,101500000,102900000,130700000,139200000,82700000,69800000,81000000
49,Short-Term Debt,- -,400000,2900000,200000,- -,- -,3600000,- -,100000,22100000,9000000,21800000,189800000,57800000,36600000,39100000,200000,2400000,4100000,3800000,161000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,9000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23700000,13500000,8900000,5300000,7100000,7100000,- -,-14000000,- -
52,Other Current Liabilities,229100000,150800000,157600000,134500000,152000000,162900000,176700000,181300000,173300000,100300000,133000000,121800000,117200000,118100000,131700000,155700000,130100000,138400000,226800000,142400000,137000000
53,Total Current Liabilities,276200000,194200000,208200000,190200000,207600000,225100000,260400000,247700000,229900000,179900000,225000000,227500000,417500000,277200000,278700000,303000000,268100000,287100000,313600000,202000000,379000000
54,Long-Term Debt,313000000,170500000,167300000,164600000,185200000,185700000,182100000,172600000,130300000,363000000,1000000,421700000,256600000,557900000,631900000,708000000,618300000,462500000,625200000,487500000,963000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000000
56,Deferred Tax Liabilities,46200000,20400000,32300000,41000000,23300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74600000,130500000,166000000
57,Other Non-Current Liabilities,561200000,182700000,176300000,308700000,320200000,591900000,552700000,535100000,549400000,129000000,- -,174600000,105200000,130500000,133100000,176900000,96900000,106800000,134800000,185100000,-22000000
58,Total Non-Current Liabilities,920400000,373600000,375900000,514300000,528700000,777600000,734800000,707700000,679700000,492000000,1000000,596300000,361800000,688400000,765000000,884900000,715200000,569300000,834600000,803100000,1273000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,9600000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,10100000,- -
61,Total Liabilities,1196600000,567800000,584100000,704500000,736300000,1002700000,995200000,955400000,909600000,671900000,758000000,823800000,779300000,965600000,1043700000,1187900000,983300000,856400000,1148200000,1005100000,1652000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,200000,200000,200000,200000,200000,200000,200000,200000,200000,-1000000,200000,200000,200000,200000,200000,200000,200000,200000,200000,-1000000
64,Retained Earnings,- -,-7700000,25500000,59300000,117900000,-41000000,-700000,52800000,-94700000,60700000,104000000,145900000,173300000,195300000,142500000,84000000,604400000,608300000,632200000,794800000,949000000
65,Other Comprehensive Income/Loss,- -,-247000000,-253400000,-250700000,12000000,27000000,50000000,-17000000,5000000,6000000,-28000000,-23000000,14000000,-34000000,-54000000,-71000000,-48000000,-46000000,-36000000,-4000000,14000000
66,Other Total Stockholders Equity,276400000,642000000,664300000,667700000,409800000,417700000,425600000,361100000,401100000,409500000,419100000,- -,425900000,476900000,371100000,345300000,346200000,300200000,290500000,287500000,304000000
67,Total Stockholders Equity,276400000,387500000,436600000,476500000,539900000,403900000,475100000,397100000,311600000,476400000,494100000,547100000,613400000,638400000,459800000,358500000,902800000,862700000,886900000,1078500000,1266000000
68,Total Liabilities And Stockholders Equity,1473000000,955300000,1020700000,1181000000,1276200000,1406600000,1470300000,1352500000,1221200000,1148300000,1252100000,1370900000,1392700000,1604000000,1503500000,1546400000,1886100000,1719100000,2035100000,2083600000,2918000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-310100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000
70,Total Liabilities & Equity,1473000000,955300000,1020700000,1181000000,1276200000,1406600000,1470300000,1352500000,1221200000,1148300000,942000000,1370900000,1392700000,1604000000,1503500000,1546400000,1886100000,1719100000,2035100000,2083600000,2968000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1164863/000095014403003292/0000950144-03-003292-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000095014404001920/g87393e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014405002481/g93603e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014406001904/g99871e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014407001966/g05818e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014408001363/g11767e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014409001768/0000950144-09-001768-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000095012310020653/0000950123-10-020653-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000095012311025599/g26430e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000119312512080901/0001193125-12-080901-index.html,- -,https://www.sec.gov/Archives/edgar/data/1164863/000116486314000006/npo-10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1164863/000116486315000008/npo-10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1164863/000116486316000040/0001164863-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486317000006/0001164863-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486318000009/0001164863-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486319000007/0001164863-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486320000012/0001164863-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486321000011/0001164863-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1164863/000116486322000010/0001164863-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100700000,-3000000,33200000,33800000,58600000,-158900000,40200000,53500000,-139300000,155400000,44000000,41000000,27400000,22000000,-20900000,-40100000,539800000,24600000,38300000,184400000,177200000
74,Depreciation and Amortization,28800000,29900000,31600000,31600000,31300000,35200000,40200000,44800000,40300000,39600000,48400000,55500000,56600000,57500000,58100000,57100000,63800000,73700000,67900000,70800000,27000000
75,Deferred Income Tax,38700000,-12200000,10800000,2800000,30300000,-104500000,-8400000,1200000,-67700000,-2400000,4300000,5900000,1700000,-3300000,-1100000,-30000000,35900000,4900000,-28300000,-53300000,-5000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,3900000,1800000,6900000,5400000,7100000,6000000,9800000,4100000,5100000,9500000,6500000,6800000,5400000,5000000
77,Change in Working Capital,-70000000,20900000,57800000,-24700000,38500000,-15200000,-52100000,42700000,74400000,-140000000,9700000,-136600000,295800000,-86700000,-17300000,329600000,-106600000,-9000000,-58900000,110000000,-153000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,-4700000,-14600000,7300000,3000000,-35700000,-29600000,9900000,18700000,-18000000
79,Inventory,-8100000,- -,14800000,-8500000,-8600000,-9700000,18200000,-14000000,-8400000,5200000,-12000000,-12500000,-17200000,-11400000,-14700000,2400000,7900000,-35500000,7000000,19500000,-13000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-12700000,-200000,2100000,12000000,-4700000,2400000,1300000,3500000,-2900000,20500000,7500000,-15900000,300000,7000000
81,Other Working Capital,154700000,175600000,233400000,208700000,247200000,232000000,179900000,222600000,297000000,157000000,166700000,30100000,325900000,239200000,221900000,551500000,444900000,435900000,377000000,487000000,334000000
82,Other Non-Cash Items,-160900000,-3600000,-91300000,-2400000,-82300000,319200000,84900000,-47900000,167600000,-24100000,-33200000,145300000,-317600000,32900000,63600000,-257200000,-495800000,125700000,181800000,-265900000,90800000
83,Cash Provided by Operating Activities,-62700000,32000000,42100000,41100000,76400000,75800000,104800000,98200000,77100000,35400000,78600000,118200000,69900000,32200000,86500000,64500000,46600000,226400000,207600000,51400000,142000000
84,CAPEX,-16400000,-18700000,-20800000,-36900000,-32200000,-41300000,-46800000,-49100000,-22100000,-21900000,-31500000,-40900000,-39900000,-52300000,-41400000,-39900000,-44700000,-66000000,-21600000,-18300000,-18000000
85,Acquisitions Net,- -,- -,-20500000,- -,-1700000,-27300000,-77000000,-43400000,-51100000,-25900000,-228200000,-85300000,-2000000,-22600000,-45500000,-21900000,-53500000,- -,-306900000,236800000,-856000000
86,Purchases of Investments,- -,-18200000,- -,- -,- -,- -,-19500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,3000000,- -,- -,10500000,7400000,- -,- -,- -,- -,- -,- -,- -,- -,9300000,- -,- -,- -
88,Other Investing Activites,-153400000,4600000,6400000,10100000,-33200000,41100000,1000000,8800000,-3200000,159600000,1800000,-4700000,-8800000,-10300000,-4200000,-3700000,-3200000,27300000,-14400000,-2400000,223000000
89,Cash Used for Investing Activites,-169800000,-32300000,-34900000,-26800000,-64100000,-27500000,-142300000,-73200000,-69000000,111800000,-257900000,-125600000,-41500000,-74700000,-86500000,-61400000,-97700000,-26000000,-342900000,216100000,-651000000
90,Debt Repayment,-2700000,- -,- -,- -,- -,- -,- -,-4100000,-9900000,-6200000,-63200000,-218900000,-215400000,-452600000,-210600000,-278100000,-484300000,-1184900000,-487900000,-168200000,-79000000
91,Common Stock Issued,- -,- -,500000,1500000,1100000,700000,1000000,400000,400000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-69200000,- -,- -,- -,- -,- -,- -,-85300000,-30400000,-11500000,-50000000,-15000000,-5300000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,-18100000,-19000000,-20300000,-20900000,-21700000,-22000000
94,Other Financing Activites,194500000,53000000,200000,-5400000,-10200000,- -,1700000,800000,- -,800000,53800000,248400000,195900000,629600000,228700000,348600000,633300000,1002800000,647600000,27900000,709000000
95,Cash Used/Provided by Financing Activities,191800000,53000000,700000,-3900000,-9100000,700000,2700000,-72100000,-9500000,-4600000,-9400000,29500000,-19500000,177000000,-85200000,22000000,118500000,-252400000,123800000,-167300000,618000000
96,Effect of Forex Changes on Cash,400000,3200000,5000000,2900000,-1700000,2500000,3000000,-5800000,1900000,-200000,200000,1100000,1600000,-4700000,-5600000,-17000000,10400000,-7700000,3100000,8100000,- -
97,Net Change In Cash,4300000,55900000,12900000,13300000,1500000,51500000,-31800000,-52900000,500000,142400000,-188500000,23200000,10500000,129800000,-90800000,8100000,77800000,-59700000,-8400000,108300000,109000000
98,Cash at the End of Period,25900000,81800000,94700000,108000000,109500000,161000000,129200000,76300000,76800000,219200000,30700000,53900000,64400000,194200000,103400000,111500000,189300000,129600000,121200000,229500000,338000000
99,Cash at the Beginning of Period,21600000,25900000,81800000,94700000,108000000,109500000,161000000,129200000,76300000,76800000,219200000,30700000,53900000,64400000,194200000,103400000,111500000,189300000,129600000,121200000,229000000
100,Free Cash Flow,-79100000,13300000,21300000,4200000,44200000,34500000,58000000,49100000,55000000,13500000,47100000,77300000,30000000,-20100000,45100000,24600000,1900000,160400000,186000000,33100000,124000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1164863/000095014403003292/0000950144-03-003292-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000095014404001920/g87393e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014405002481/g93603e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014406001904/g99871e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014407001966/g05818e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014408001363/g11767e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000095014409001768/0000950144-09-001768-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000095012310020653/0000950123-10-020653-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000095012311025599/g26430e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164863/000119312512080901/0001193125-12-080901-index.html,- -,https://www.sec.gov/Archives/edgar/data/1164863/000116486314000006/npo-10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1164863/000116486315000008/npo-10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1164863/000116486316000040/0001164863-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486317000006/0001164863-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486318000009/0001164863-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486319000007/0001164863-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486320000012/0001164863-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1164863/000116486321000011/0001164863-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1164863/000116486322000010/0001164863-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
