,https://roic.ai/company/MSTR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,400000,9300000,-31733000,-152998000,-66720000,10423000,27972000,68450000,93867000,99789000,88222000,67800000,86304000,50589000,15042000,30153000,19440000,5104000,134022000,107625000,74355000,3981000,-1002000,-13625000,-784527000
18,Operating Income ratio,0.0075,0.0874,-0.2098,-0.6832,-0.3698,0.0705,0.1593,0.2961,0.3494,0.3180,0.2516,0.1881,0.2284,0.1113,0.0268,0.0507,0.0338,0.0088,0.2529,0.2101,0.1474,0.0080,-0.0021,-0.0283,-1.5360
19,Total Other Income Expenses (Gains),300000,1000000,-764000,-106908000,21126000,28884000,-35227000,870000,4303000,1572000,2965000,2971000,-504000,4371000,4258000,-922000,-2689000,5947000,3842000,5421000,-1748000,16501000,39265000,-6328000,-26862000
20,Income Before Tax,- -,10300000,-32497000,-259906000,-45594000,39307000,-7255000,69320000,98170000,101361000,91187000,70771000,85800000,54960000,19300000,29231000,16751000,11051000,137864000,113046000,72607000,20482000,38263000,-19953000,-811389000
21,Income Before Tax Ratio,- -,0.0968,-0.2148,-1.1607,-0.2527,0.2659,-0.0413,0.2998,0.3654,0.3230,0.2600,0.1964,0.2271,0.1209,0.0343,0.0492,0.0291,0.0191,0.2602,0.2207,0.1439,0.0412,0.0787,-0.0415,-1.5886
22,Income Tax expense (Gain),- -,3400000,1246000,1400000,2460000,1190000,-2587000,-98993000,33427000,30485000,32719000,29003000,25293000,11168000,1360000,8685000,-9799000,6016000,31933000,22138000,54964000,-2019000,3908000,-12429000,-275909000
23,Net Income,300000,6900000,-33743000,-261306000,-80868000,38117000,-3903000,168313000,64743000,70876000,58468000,41833000,74837000,43792000,17940000,20546000,83332000,5035000,105931000,90908000,17643000,22501000,34355000,-7524000,-535480000
24,Net Income ratio,0.0056,0.0648,-0.2231,-1.1669,-0.4482,0.2578,-0.0222,0.7280,0.2410,0.2258,0.1667,0.1161,0.1981,0.0963,0.0319,0.0346,0.1447,0.0087,0.1999,0.1775,0.0350,0.0452,0.0706,-0.0157,-1.0484
25,EPS,0.04,0.90,-2.20,-35.80,-2.00,3.20,-0.26,10.48,4.38,5.46,4.74,3.52,6.28,3.85,1.67,1.87,7.37,0.45,9.33,7.96,1.54,1.98,3.35,-0.78,-53.55
26,EPS Diluted,0.04,0.80,-2.20,-35.80,-2.00,3.12,-0.26,9.83,4.19,5.20,4.55,3.40,6.09,3.72,1.62,1.84,7.37,0.44,9.18,7.89,1.53,1.97,3.33,-0.78,-53.55
27,Weighted Average Shares Outstanding,6947200,6698573,15405600,7977900,8658700,11676000,14804000,16055000,14768000,12987000,12325000,11886000,11906000,11378000,10719000,10995000,11300000,11301000,11355000,11425000,11444000,11375000,10256000,9684000,9999000
28,Weighted Average Shares Outstanding Diluted,6947200,7720277,15405600,7977900,8658700,11986000,14804000,17119000,15436000,13633000,12853000,12303000,12284000,11779000,11066000,11174000,11301000,11356000,11539000,11516000,11547000,11412000,10328000,9684000,9999000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050446/000092838599000941/0000928385-99-000941-index.html,- -,https://www.sec.gov/Archives/edgar/data/1050446/000091664101500027/0000916641-01-500027-index.html,- -,https://www.sec.gov/Archives/edgar/data/1050446/000095016803000687/0000950168-03-000687-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312504039331/0001193125-04-039331-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312505051836/0001193125-05-051836-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312506049859/0001193125-06-049859-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312507038385/0001193125-07-038385-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312508032765/0001193125-08-032765-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312509035421/0001193125-09-035421-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312510038870/0001193125-10-038870-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312511040481/0001193125-11-040481-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312512067605/0001193125-12-067605-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312513055763/0001193125-13-055763-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312514048295/0001193125-14-048295-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312515065807/0001193125-15-065807-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312516479811/0001193125-16-479811-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459017001395/0001564590-17-001395-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459018001547/0001564590-18-001547-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459019003468/0001564590-19-003468-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459020004679/0001564590-20-004679-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459021005783/0001564590-21-005783-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459022005287/0001564590-22-005287-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3500000,27500000,25941000,67685000,38409000,15036000,51882000,68314000,42318000,78980000,85194000,122915000,224769000,174097000,199634000,224393000,220171000,146919000,292341000,401975000,420244000,109924000,456727000,59675000,63356000
32,Short-Term Investments,- -,- -,- -,1085000,904000,44000,- -,37816000,53761000,16000,- -,- -,- -,- -,- -,- -,137198000,198547000,193320000,187408000,254927000,466186000,108919000,- -,- -
33,Cash and Short-Term Investments,3500000,27500000,25941000,68770000,39313000,15080000,51882000,106130000,96079000,78996000,85194000,122915000,224769000,174097000,199634000,224393000,357369000,345466000,485661000,589383000,675171000,576110000,565646000,59675000,63356000
34,Net Receivables,16100000,33100000,37586000,49061000,22281000,28195000,30993000,40917000,43052000,54468000,52214000,49670000,56399000,82056000,94723000,93758000,86181000,78633000,68154000,83319000,69500000,171359000,163516000,197461000,189280000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1400000,2900000,57879000,37042000,6341000,11700000,6442000,28130000,34256000,41942000,45315000,41844000,24052000,40705000,48848000,39990000,36398000,38266000,11499000,12285000,18940000,30930000,24284000,15484000,15329000
37,Total Current Assets,21000000,63500000,121406000,154873000,67935000,54975000,89317000,175177000,173387000,175406000,182723000,214429000,305220000,296858000,343205000,358141000,479948000,462365000,565314000,684987000,763611000,778399000,753446000,272620000,267965000
38,PP&E,6900000,13800000,30594000,61409000,26506000,18471000,16113000,16096000,12031000,11102000,9544000,8978000,54906000,65033000,95311000,100514000,85445000,77852000,65664000,57436000,53359000,51919000,135692000,116572000,103347000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,47154000,34300000,5402000,789000,604000,- -,- -,1903000,2340000,14823000,13431000,9059000,7031000,10360000,10295000,13469000,15855000,8497000,2499000,- -,- -,1054302000,2850210000
41,Intangible Assets,- -,- -,47154000,34300000,5402000,789000,604000,- -,- -,1903000,2340000,14823000,13431000,9059000,7031000,10360000,10295000,13469000,15855000,8497000,2499000,- -,- -,1054302000,2850210000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1054302000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,3686000,110818000,86393000,57944000,35347000,17105000,6490000,5029000,2998000,3664000,3204000,1160000,7989000,11704000,13391000,17316000,19409000,6503000,319782000
44,Other Non-Current Assets,2200000,5400000,4214000,8505000,3789000,5638000,5073000,34865000,5962000,2461000,11433000,36804000,3283000,5587000,5306000,5259000,6622000,3951000,2072000,5695000,2868000,8134000,8024000,-1038687000,15820000
45,Total Non-Current Assets,9100000,19200000,81962000,104214000,35697000,24898000,25476000,161779000,104386000,73410000,58664000,77710000,78110000,84708000,110646000,119797000,105566000,96432000,91580000,83332000,72117000,77369000,163125000,1192992000,3289159000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30100000,82700000,203368000,259087000,103632000,79873000,114793000,336956000,277773000,248816000,241387000,292139000,383330000,381566000,453851000,477938000,585514000,558797000,656894000,768319000,835728000,855768000,916571000,1465612000,3557124000
48,Accounts Payable,9400000,11900000,13582000,35025000,18935000,15267000,12768000,18906000,19550000,24378000,23469000,- -,- -,- -,- -,42492000,39946000,35458000,31840000,36628000,30711000,33684000,33919000,- -,46084000
49,Short-Term Debt,- -,5000000,- -,- -,1212000,4698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,20987000,23961000,28374000,43674000,45874000,56578000,64302000,66495000,77783000,89331000,103199000,101888000,113656000,108413000,100695000,105535000,112649000,176540000,187107000,191250000,209860000
52,Other Current Liabilities,17400000,18100000,54715000,77232000,49980000,17969000,20567000,27054000,27258000,31872000,39214000,76656000,74852000,97239000,115194000,74676000,79917000,53429000,40123000,43323000,41498000,48045000,48792000,94368000,56041000
53,Total Current Liabilities,26800000,35000000,68297000,112257000,91114000,61895000,61709000,89634000,92682000,112828000,126985000,143151000,152635000,186570000,218393000,219056000,233519000,197300000,172658000,185486000,184858000,258269000,269818000,285618000,311985000
54,Long-Term Debt,2700000,- -,- -,- -,- -,45041000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570694000,2231759000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1679000,3845000,7878000,10841000,8823000,8970000,10818000,8995000,13915000,10181000,6469000,4344000,14662000,8089000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10498000,6231000,7188000,3529000,17000,294000,4000,37000,26000,8211000,109000
57,Other Non-Current Liabilities,1000000,1400000,33255000,132253000,81875000,7446000,8737000,6744000,4369000,2837000,11073000,9268000,12622000,37946000,45141000,43517000,25511000,22679000,19943000,16447000,50146000,61262000,133824000,33382000,26224000
58,Total Non-Current Liabilities,3700000,1400000,33255000,132253000,81875000,52487000,8737000,6744000,4369000,2837000,11073000,10947000,16467000,45824000,66480000,58571000,41669000,37026000,28955000,30656000,60331000,67768000,138194000,626949000,2266181000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103424000,84328000,76608000
61,Total Liabilities,30500000,36400000,101552000,244510000,172989000,114382000,70446000,96378000,97051000,115665000,138058000,154098000,169102000,232394000,284873000,277627000,275188000,234326000,201613000,216142000,245189000,326037000,408012000,912567000,2578166000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,78000,81000,92000,14000,16000,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000,20000
64,Retained Earnings,-600000,5200000,-37953000,-299259000,-380127000,-342010000,-345913000,-177600000,-112857000,-41981000,9958000,51791000,126628000,170420000,188360000,208906000,292238000,297273000,403204000,494112000,511755000,549134000,583489000,575965000,41442000
65,Other Comprehensive Income/Loss,-1100000,-4700000,-11099000,-26957000,-25513000,-26923000,-30869000,-34278000,2000000,3000000,3000000,1000000,1000000,-1000000,-2000000,-2000000,-1000000,-4000000,-7000000,-11000000,-6000000,-10000000,-10000000,-3885000,-7543000
66,Other Total Stockholders Equity,1300000,45800000,150790000,340712000,336191000,334410000,421113000,452440000,291563000,172115000,90354000,85233000,86583000,-20265000,-17399000,-6612000,19071000,31180000,59059000,69047000,84766000,-9421000,-64948000,-19053000,945039000
67,Total Stockholders Equity,-400000,46300000,101816000,14577000,-69357000,-34509000,44347000,240578000,180722000,133151000,103329000,138041000,214228000,149172000,168978000,200311000,310326000,324471000,455281000,552177000,590539000,529731000,508559000,553045000,978958000
68,Total Liabilities And Stockholders Equity,30100000,82700000,203368000,259087000,103632000,79873000,114793000,336956000,277773000,248816000,241387000,292139000,383330000,381566000,453851000,477938000,585514000,558797000,656894000,768319000,835728000,855768000,916571000,1465612000,3557124000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30100000,82700000,203368000,259087000,103632000,79873000,114793000,336956000,277773000,248816000,241387000,292139000,383330000,381566000,453851000,477938000,585514000,558797000,656894000,768319000,835728000,855768000,916571000,1465612000,3557124000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050446/000092838599000941/0000928385-99-000941-index.html,- -,https://www.sec.gov/Archives/edgar/data/1050446/000091664101500027/0000916641-01-500027-index.html,- -,https://www.sec.gov/Archives/edgar/data/1050446/000095016803000687/0000950168-03-000687-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312504039331/0001193125-04-039331-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312505051836/0001193125-05-051836-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312506049859/0001193125-06-049859-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312507038385/0001193125-07-038385-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312508032765/0001193125-08-032765-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312509035421/0001193125-09-035421-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312510038870/0001193125-10-038870-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312511040481/0001193125-11-040481-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312512067605/0001193125-12-067605-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312513055763/0001193125-13-055763-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312514048295/0001193125-14-048295-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312515065807/0001193125-15-065807-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312516479811/0001193125-16-479811-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459017001395/0001564590-17-001395-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459018001547/0001564590-18-001547-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459019003468/0001564590-19-003468-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459020004679/0001564590-20-004679-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459021005783/0001564590-21-005783-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459022005287/0001564590-22-005287-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,6900000,-33743000,-261306000,-80868000,38117000,-3903000,168313000,64743000,70876000,58468000,41833000,74837000,43792000,17940000,20546000,83332000,5035000,105931000,90908000,17643000,22501000,34355000,-7524000,-535480000
74,Depreciation and Amortization,1200000,3300000,8108000,35161000,29560000,13111000,8834000,8323000,8496000,7635000,7596000,6399000,10631000,12799000,18526000,24519000,26399000,25295000,21214000,17195000,12572000,3701000,16699000,13332000,11358000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,5753000,27988000,26528000,26137000,20925000,16146000,1689000,-5403000,917000,-17962000,-1526000,8767000,-5377000,-2011000,-8274000,-5451000,-20830000,-284782000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000,- -,- -,- -,- -,2078000,11786000,17299000,11817000,14267000,14636000,10209000,11153000,44126000
77,Change in Working Capital,3300000,34300000,24609000,-10493000,-65795000,16259000,34528000,57935000,-4838000,-18127000,-6840000,15540000,81307000,-42297000,14524000,14273000,107344000,18636000,127591000,106845000,79252000,-58623000,-36502000,-496626000,11091000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3862000,-9264000,-30134000,-15141000,-3438000,676000,-276000,5003000,-16878000,15348000,-8357000,-3672000,-774000,2618000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3154000,-4786000,-1701000,1904000,6981000,-9093000,3378000,-7321000,9445000,3749000
81,Other Working Capital,-5800000,28500000,53109000,42616000,-23179000,-6920000,27608000,85543000,80705000,62578000,55738000,71278000,152585000,110288000,124812000,139085000,246429000,265065000,392656000,499501000,578753000,520130000,483628000,-12998000,17084000
82,Other Non-Cash Items,200000,-47000000,1115000,148832000,112237000,-66819000,-2401000,-154766000,6163000,17507000,12535000,4175000,-86478000,59842000,15227000,-10371000,-171257000,-44626000,-131103000,-110799000,-43401000,36686000,41557000,554114000,847520000
83,Cash Provided by Operating Activities,5000000,-2500000,89000,-87806000,-4866000,668000,37058000,85558000,102552000,104419000,97896000,88918000,96443000,75825000,60814000,49884000,29934000,14600000,149699000,110589000,78322000,10627000,60867000,53619000,93833000
84,CAPEX,-7900000,-9300000,-23733000,-47420000,-1884000,-4326000,-4179000,-5649000,-1907000,-4806000,-6126000,-43742000,-22483000,-18474000,-46567000,-39264000,-16480000,-20796000,-13082000,-2337000,-3982000,-6846000,-10182000,-1128651000,-2629235000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-24491000,-1496000,-1940000,- -,- -,-64095000,-169243000,-58900000,- -,- -,- -,- -,- -,- -,-224103000,-370050000,-473779000,-354999000,-456468000,-694018000,-320487000,-9928000,- -
87,Sales/Maturities of Investments,- -,- -,5000000,45263000,4735000,288000,- -,- -,180335000,112666000,- -,1100000,575000,1047000,3371000,- -,87000000,308900000,479200000,361680000,390720000,491800000,684356000,119886000,- -
88,Other Investing Activites,- -,- -,- -,-34073000,25445000,-5696000,4380000,-4647000,-4863000,1372000,-6569000,-13735000,20328000,-2185000,1107000,-4717000,93216000,-8560000,-9618000,-135000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-7900000,-9300000,-43224000,-37726000,26356000,-9734000,201000,-74391000,4322000,50332000,-12695000,-42802000,2638000,-17427000,-36182000,-35833000,-54930000,-82110000,-7681000,4209000,-69730000,-209064000,353687000,-1018693000,-2629235000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-491000,-2284000,-2326000,-1447000,-172000,-21000,-9000,- -,- -,- -
91,Common Stock Issued,100000,48500000,47197000,167796000,4224000,995000,3717000,5759000,5703000,6094000,3291000,2104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000000
92,Common Stock Repurchased,- -,- -,- -,- -,-19783000,- -,- -,-2331000,-134487000,-131959000,-89028000,-8387000,- -,-108993000,- -,- -,- -,- -,- -,- -,- -,-110977000,-72719000,-123224000,- -
93,Dividends Paid,- -,- -,- -,- -,-192000,- -,- -,- -,- -,- -,- -,- -,-60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4500000,-12800000,-5000000,- -,101000,-15928000,-5087000,- -,- -,4479000,3272000,422000,2123000,1895000,2463000,10250000,23921000,856000,10625000,-832000,1677000,2471000,6569000,686457000,1541685000
95,Cash Used/Provided by Financing Activities,4600000,35700000,42197000,167796000,-15650000,-14933000,-1370000,3428000,-128784000,-121386000,-82465000,-5861000,2063000,-107098000,2463000,9759000,21637000,-1470000,9178000,-1004000,1656000,-108515000,-66150000,563233000,2541685000
96,Effect of Forex Changes on Cash,200000,100000,-612000,-520000,-634000,626000,957000,1837000,-4086000,3297000,3478000,-2534000,710000,-1972000,-1558000,949000,-863000,-4272000,-5774000,-4160000,8222000,-3444000,-1374000,4784000,-2608000
97,Net Change In Cash,4600000,35700000,-1550000,41744000,5206000,-23373000,36846000,16432000,-25996000,36662000,6214000,37721000,101854000,-50672000,25537000,24759000,-4222000,-73252000,145422000,109634000,18470000,-310396000,347030000,-397057000,3675000
98,Cash at the End of Period,- -,- -,25941000,67685000,38409000,15036000,51882000,68314000,42318000,78980000,85194000,122915000,224769000,174097000,199634000,224393000,220171000,146919000,292341000,401975000,421182000,110786000,457816000,60759000,64434000
99,Cash at the Beginning of Period,1700000,3500000,27491000,25941000,33203000,38409000,15036000,51882000,68314000,42318000,78980000,85194000,122915000,224769000,174097000,199634000,224393000,220171000,146919000,292341000,402712000,421182000,110786000,457816000,60759000
100,Free Cash Flow,-2900000,-11800000,-23644000,-135226000,-6750000,-3658000,32879000,79909000,100645000,99613000,91770000,45176000,73960000,57351000,14247000,10620000,13454000,-6196000,136617000,108252000,74340000,3781000,50685000,-1075032000,-2535402000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050446/000092838599000941/0000928385-99-000941-index.html,- -,https://www.sec.gov/Archives/edgar/data/1050446/000091664101500027/0000916641-01-500027-index.html,- -,https://www.sec.gov/Archives/edgar/data/1050446/000095016803000687/0000950168-03-000687-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312504039331/0001193125-04-039331-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312505051836/0001193125-05-051836-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312506049859/0001193125-06-049859-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312507038385/0001193125-07-038385-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312508032765/0001193125-08-032765-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312509035421/0001193125-09-035421-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312510038870/0001193125-10-038870-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312511040481/0001193125-11-040481-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312512067605/0001193125-12-067605-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312513055763/0001193125-13-055763-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312514048295/0001193125-14-048295-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312515065807/0001193125-15-065807-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000119312516479811/0001193125-16-479811-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459017001395/0001564590-17-001395-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459018001547/0001564590-18-001547-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459019003468/0001564590-19-003468-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459020004679/0001564590-20-004679-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459021005783/0001564590-21-005783-index.htm,https://www.sec.gov/Archives/edgar/data/1050446/000156459022005287/0001564590-22-005287-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
