,https://roic.ai/company/TTC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-5400000,-4200000,-4400000,-14300000,-16800000,-12100000,-36400000,-14100000,-5600000,-3700000,-3200000,-12000000,-31900000,-19100000,-25323000,-14556000,-13777000,-8350000,-11992000,-12454000,-10122000,-10422000,-17120000,-19409000,-9998000,-9661000,-9351000,-3949000,-6712000,-8083000,-3936000,-1926000,-688000,-2896000,-19287000,-18462000
20,Income Before Tax,25500000,27500000,25800000,36900000,26300000,15300000,-35000000,21300000,37000000,61100000,60200000,60300000,6800000,57500000,71882000,80077000,86799000,120918000,153233000,170272000,192754000,213227000,181289000,95788000,141268000,174826000,196262000,226713000,256445000,291031000,330460000,353184000,372397000,322133000,407070000,499818000
21,Income Before Tax Ratio,0.0627,0.0528,0.0424,0.0573,0.0350,0.0215,-0.0551,0.0311,0.0466,0.0655,0.0647,0.0574,0.0061,0.0451,0.0538,0.0592,0.0620,0.0808,0.0927,0.0946,0.1050,0.1136,0.0965,0.0629,0.0836,0.0928,0.1002,0.1111,0.1180,0.1217,0.1381,0.1410,0.1422,0.1027,0.1205,0.1262
22,Income Tax expense (Gain),10000000,10500000,5800000,14800000,9700000,5600000,-11200000,8300000,14800000,24400000,23800000,23800000,2700000,22400000,26597000,29629000,26868000,39298000,50567000,56190000,63609000,70791000,61638000,32951000,48031000,57168000,66721000,71868000,82575000,89440000,99466000,85467000,100458000,48150000,77369000,89938000
23,Net Income,15500000,17000000,20000000,22100000,16600000,9700000,-23800000,13000000,22200000,36700000,36400000,34800000,4100000,35100000,45285000,50448000,35317000,81620000,102666000,114082000,129145000,142436000,119651000,62837000,93237000,117658000,129541000,154845000,173870000,201591000,230994000,267717000,271939000,273983000,329701000,409880000
24,Net Income ratio,0.0381,0.0326,0.0328,0.0343,0.0221,0.0136,-0.0375,0.0190,0.0279,0.0393,0.0391,0.0331,0.0037,0.0275,0.0339,0.0373,0.0252,0.0545,0.0621,0.0634,0.0703,0.0759,0.0637,0.0412,0.0552,0.0625,0.0661,0.0759,0.0800,0.0843,0.0966,0.1069,0.1038,0.0873,0.0976,0.1035
25,EPS,0.08,0.10,0.12,0.13,0.10,0.05,-0.12,0.07,0.11,0.18,0.18,0.17,0.02,0.17,0.22,0.25,0.18,0.41,0.53,0.64,0.75,0.88,0.79,0.44,0.71,0.94,1.09,1.33,1.54,1.81,2.10,2.47,2.56,2.57,3.06,3.81
26,EPS Diluted,0.08,0.10,0.12,0.13,0.10,0.05,-0.12,0.07,0.11,0.18,0.18,0.17,0.02,0.17,0.22,0.24,0.17,0.39,0.51,0.61,0.73,0.85,0.78,0.43,0.70,0.93,1.07,1.31,1.51,1.77,2.06,2.41,2.50,2.53,3.03,3.77
27,Weighted Average Shares Outstanding,170746269,178947368,173913043,161523810,171354839,191604938,192323232,198095238,207719298,208967972,200827586,198857143,204704000,206064000,204320000,203200000,200400000,199984000,194912000,178856000,171548000,162728000,150944000,143152000,131928000,125068000,118892000,115844000,112718000,111130000,109834000,108312000,106369000,106773000,107658000,107658000
28,Weighted Average Shares Outstanding Diluted,170746269,178947368,173913043,161523810,171354839,191604938,192323232,198095238,208000000,210322581,201904762,198857143,211168000,212448000,208928000,209072000,206976000,209192000,203064000,186156000,177376000,167456000,154316000,144960000,133748000,127188000,121236000,118210000,115256000,113514000,111987000,111252000,108657000,108090000,108663000,108663000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737758/000091205794003585/0000912057-94-003585-index.html,- -,https://www.sec.gov/Archives/edgar/data/737758/000091205797002164/0000912057-97-002164-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737758/000095013404000383/c79924e10vk.htm,https://www.sec.gov/Archives/edgar/data/737758/000095013404019731/c88301e10vk.htm,https://www.sec.gov/Archives/edgar/data/737758/000110465905062402/a05-15748_210k.htm,https://www.sec.gov/Archives/edgar/data/737758/000110465906083580/a06-25975_310k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737758/000104746910010555/0001047469-10-010555-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746911010161/0001047469-11-010161-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746912011370/0001047469-12-011370-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746913011316/0001047469-13-011316-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746914010062/0001047469-14-010062-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746915009397/0001047469-15-009397-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746916017295/0001047469-16-017295-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775817000056/0000737758-17-000056-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775818000050/0000737758-18-000050-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775819000028/0000737758-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775820000029/0000737758-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/737758/000073775821000030/0000737758-21-000030-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,36200000,- -,100000,- -,100000,12000000,978000,12876000,62816000,110287000,90756000,41402000,55523000,62047000,99359000,187773000,177366000,80886000,125856000,182993000,314873000,126275000,273555000,310256000,289124000,151828000,479892000,405612000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19745000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,36200000,- -,100000,- -,100000,12000000,978000,12876000,62816000,110287000,90756000,41402000,55523000,62047000,99359000,187773000,177366000,80886000,125856000,182993000,314873000,126275000,273555000,310256000,289124000,151828000,499637000,405612000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,183700000,- -,239600000,259100000,241400000,268300000,262484000,271677000,255739000,280124000,285736000,295683000,294833000,283115000,256259000,143709000,142901000,148140000,147410000,157171000,158158000,177013000,163265000,183073000,193178000,268768000,261135000,310279000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,118800000,- -,130300000,160100000,184300000,204400000,194926000,234661000,224367000,228909000,227200000,235347000,238544000,251275000,207084000,176275000,194402000,223030000,251117000,240089000,274603000,334514000,307034000,328992000,358259000,651663000,652433000,738170000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,25800000,- -,35000000,52800000,53600000,47000000,51779000,44979000,49219000,54595000,61483000,74642000,68193000,68491000,81246000,74381000,70304000,80826000,87751000,73014000,76402000,72877000,35155000,37565000,54076000,50632000,14443000,35124000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,364500000,- -,405000000,472000000,479400000,531700000,510167000,564193000,592141000,673915000,665175000,647074000,657093000,664928000,643948000,582138000,584973000,532882000,612134000,653267000,824036000,710679000,779009000,859886000,894637000,1122891000,1427648000,1489185000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,58800000,- -,73800000,116900000,127100000,124200000,132852000,142245000,156779000,159116000,164665000,167277000,166323000,170672000,168867000,166716000,173407000,191140000,180523000,185096000,205195000,224995000,222038000,235230000,271459000,437317000,546671000,554721000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81469000,86224000,86192000,86407000,86400000,92020000,92000000,91914000,91851000,195533000,194782000,205029000,225290000,362253000,424075000,421680000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113700000,122400000,126488000,107532000,79760000,80867000,80255000,86649000,5225000,14675000,18828000,23324000,22962000,35546000,32065000,28308000,23829000,119010000,108093000,103743000,105649000,352374000,408305000,420041000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113700000,122400000,126488000,107532000,79760000,80867000,80255000,86649000,86694000,100899000,105020000,109731000,109362000,127566000,124065000,120222000,115680000,314543000,302875000,308772000,330939000,714627000,832380000,841721000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19745000,20671000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9721000,4196000,1181000,- -,- -,1862000,5185000,6476000,3585000,842000,- -,- -,- -,26075000,28568000,57228000,64083000,38252000,6251000,6466000,5800000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,20300000,- -,18100000,72700000,3800000,8900000,9883000,11983000,13264000,12353000,18652000,15737000,10011000,9153000,7949000,10512000,17038000,19075000,18477000,44163000,21429000,24873000,26368000,25816000,35697000,49461000,20318000,24042000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,79100000,- -,91900000,189600000,244600000,255500000,269223000,271481000,253999000,253517000,263572000,269663000,264890000,285909000,288312000,290544000,300649000,337781000,323065000,349481000,368379000,592979000,608509000,633901000,676347000,1207656000,1425580000,1446955000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,443600000,- -,496900000,661600000,724000000,787200000,779390000,835674000,846140000,927432000,928747000,916737000,921983000,950837000,932260000,872682000,885622000,870663000,935199000,1002748000,1192415000,1303658000,1387518000,1493787000,1570984000,2330547000,2853228000,2936140000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,37000000,- -,43500000,58400000,65300000,65500000,65340000,77549000,86180000,73976000,87147000,87952000,89673000,90966000,92997000,91074000,125138000,118036000,124806000,136158000,124271000,152017000,174668000,211752000,256575000,319230000,363953000,503116000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,20300000,- -,41400000,41400000,31600000,57100000,11625000,34926000,16981000,5968000,1144000,371000,320000,1983000,5602000,8294000,3004000,2019000,1858000,- -,27458000,23356000,22484000,26258000,- -,79914000,115320000,14283000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7645000,2504000,1165000,1938000,4699000,4275000,- -,7542000,7249000,9903000,10065000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6466000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,131400000,- -,123000000,138000000,161300000,183200000,183927000,180092000,190589000,223192000,252484000,252879000,255546000,248521000,225852000,217433000,240141000,239025000,251458000,252687000,248691000,268361000,266687000,283786000,276060000,357826000,370058000,419620000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,188700000,- -,207900000,237800000,258200000,305800000,260892000,292567000,293750000,303136000,340775000,341202000,345539000,341470000,324451000,316801000,368283000,359080000,378122000,388845000,400420000,443734000,463839000,521796000,532635000,756970000,855797000,937019000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,81000000,- -,53000000,177700000,196800000,195600000,194457000,194565000,178756000,175091000,175046000,175000000,175000000,227598000,227515000,225046000,223578000,225178000,223482000,223544000,347316000,354818000,331423000,305629000,312549000,620899000,691250000,746994000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8510000,10944000,10619000,11143000,10899000,10947000,11365000,11830000,24761000,24909000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3837000,872000,- -,- -,- -,- -,- -,1368000,2280000,5969000,- -,7000,- -,1726000,1397000,50579000,70435000,50397000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,22400000,4900000,5600000,6100000,6823000,7149000,8344000,12003000,13475000,9629000,9415000,11331000,15619000,7113000,7007000,7651000,7770000,14753000,25005000,31569000,30391000,22783000,30578000,42521000,120918000,50598000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,86200000,- -,75400000,182600000,202400000,201700000,201280000,201714000,187100000,187094000,192358000,185501000,184415000,238929000,243134000,240669000,241529000,244816000,244675000,255165000,383268000,397759000,373644000,354899000,369433000,713999000,882603000,847989000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82088000,70035000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,274900000,- -,283300000,420400000,460600000,507500000,462172000,494281000,480850000,490230000,533133000,526703000,529954000,580399000,567585000,557470000,609812000,603896000,622797000,644010000,783688000,841493000,837483000,876695000,902068000,1470969000,1738400000,1785008000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12600000,12569000,12266000,12171000,24389000,22518000,41899000,40356000,37951000,35485000,33369000,31395000,29603000,58266000,56789000,55678000,54651000,108427000,106883000,105601000,106742000,107583000,105206000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,109700000,- -,173600000,202700000,200600000,229500000,268727000,313067000,342358000,417973000,384238000,359716000,358522000,335384000,337734000,291246000,253477000,243990000,264110000,314519000,368754000,437357000,480044000,534329000,587252000,784885000,1041507000,1071922000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-126600000,- -,-155300000,-181000000,-203400000,-229600000,-250645000,-259698000,-12603000,-12818000,-11142000,-11581000,-6849000,-2897000,-8544000,-9403000,-9062000,-6826000,-9974000,-12570000,-15705000,-29843000,-38436000,-24120000,-23937000,-32049000,-34262000,-25996000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,185600000,- -,195300000,219500000,266200000,267200000,286567000,275758000,23364000,7658000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,168700000,- -,213600000,241200000,263400000,279700000,317218000,341393000,365290000,437202000,395614000,390034000,392029000,370438000,364675000,315212000,275810000,266767000,312402000,358738000,408727000,462165000,550035000,617092000,668916000,859578000,1114828000,1151132000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,443600000,- -,496900000,661600000,724000000,787200000,779390000,835674000,846140000,927432000,928747000,916737000,921983000,950837000,932260000,872682000,885622000,870663000,935199000,1002748000,1192415000,1303658000,1387518000,1493787000,1570984000,2330547000,2853228000,2936140000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,443600000,- -,496900000,661600000,724000000,787200000,779390000,835674000,846140000,927432000,928747000,916737000,921983000,950837000,932260000,872682000,885622000,870663000,935199000,1002748000,1192415000,1303658000,1387518000,1493787000,1570984000,2330547000,2853228000,2936140000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/737758/000091205794003585/0000912057-94-003585-index.html,undefined,https://www.sec.gov/Archives/edgar/data/737758/000091205797002164/0000912057-97-002164-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737758/000095013404000383/c79924e10vk.htm,https://www.sec.gov/Archives/edgar/data/737758/000095013404019731/c88301e10vk.htm,https://www.sec.gov/Archives/edgar/data/737758/000110465905062402/a05-15748_210k.htm,https://www.sec.gov/Archives/edgar/data/737758/000110465906083580/a06-25975_310k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737758/000104746910010555/0001047469-10-010555-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746911010161/0001047469-11-010161-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746912011370/0001047469-12-011370-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746913011316/0001047469-13-011316-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746914010062/0001047469-14-010062-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746915009397/0001047469-15-009397-index.html,https://www.sec.gov/Archives/edgar/data/737758/000104746916017295/0001047469-16-017295-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775817000056/0000737758-17-000056-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775818000050/0000737758-18-000050-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775819000028/0000737758-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/737758/000073775820000029/0000737758-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/737758/000073775821000030/0000737758-21-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,22100000,16600000,9700000,-23800000,13000000,22200000,36700000,36400000,34800000,4100000,35100000,45285000,50448000,35317000,81620000,102666000,114082000,129145000,142436000,119651000,62837000,93237000,117658000,129541000,154845000,173870000,201591000,230994000,267717000,271939000,273983000,329701000,409880000
74,Depreciation and Amortization,- -,- -,- -,9300000,15000000,18800000,22000000,19200000,18800000,17200000,18200000,30900000,38200000,39100000,38151000,37171000,30932000,33173000,36093000,42829000,42564000,42105000,48194000,44535000,45011000,48506000,53634000,54134000,53138000,63143000,64097000,64986000,61277000,87698000,95615000,99316000
75,Deferred Income Tax,- -,- -,- -,-3700000,1500000,900000,-13300000,-1500000,-2700000,-1300000,800000,2100000,1200000,-7000000,171000,6706000,730000,-374000,2758000,-8635000,-2742000,-522000,-5466000,4691000,2940000,-2006000,-206000,149000,-4700000,200000,10075000,-6887000,25255000,-6190000,2269000,-22899000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4116000,6442000,8533000,9503000,10237000,11291000,10836000,10637000,13517000,12161000,13429000,15408000,21809000
77,Change in Working Capital,- -,- -,- -,-9900000,- -,- -,- -,- -,175800000,- -,21300000,37100000,-13000000,4700000,23375000,22351000,26765000,72388000,-46379000,-18528000,5682000,11904000,-3961000,-54160000,-48647000,-42888000,60210000,30410000,159194000,-156671000,48225000,22920000,23912000,3919000,205930000,47831000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,32400000,-5500000,25500000,9200000,-4600000,-40100000,-5000000,15600000,1400000,-12800000,-12600000,18538000,-25884000,10294000,-2471000,-310000,-1210000,-522000,-1915000,29949000,40036000,-9920000,-25667000,-21973000,9373000,-37183000,-52656000,23192000,-15611000,-29770000,-104832000,20963000,-98266000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18962000,1470000,48490000,18119000,59859000,47460000,30458000,39538000,195404000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,175800000,175800000,197100000,234200000,221200000,225900000,249275000,271626000,298391000,370779000,324400000,305872000,311554000,323458000,319497000,265337000,216690000,173802000,234012000,264422000,423616000,266945000,315170000,338090000,362002000,365921000,571851000,- -
82,Other Non-Cash Items,- -,- -,- -,-100000,-33500000,14500000,55000000,40200000,-186300000,-37100000,-44300000,-21000000,38600000,-10300000,-1430000,-46484000,50410000,-69406000,90010000,44335000,15622000,-12349000,57304000,189451000,94524000,-15926000,-66884000,-27899000,-210428000,117770000,-2086000,-1505000,-29739000,-35468000,-109549000,-468000
83,Cash Provided by Operating Activities,- -,- -,- -,17700000,-400000,43900000,39900000,70900000,27800000,15500000,32400000,83900000,69100000,61600000,105552000,70192000,144154000,117401000,185148000,174083000,190271000,183574000,215722000,251470000,193507000,113877000,185798000,221876000,182365000,236869000,361942000,360748000,364805000,337371000,539374000,555469000
