,https://roic.ai/company/EFOI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4247000,4359000,- -,672000,672000,672000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,4400000,3800000,5150000,4537000,4494000,4496000,4429000,4135000,- -,- -,- -,2750000,1677000,1027000,608000,55000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,4400000,3800000,5150000,4537000,4494000,4496000,4429000,4135000,4247000,4359000,- -,3422000,2349000,1699000,608000,55000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,936000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,800000,200000,700000,400000,402000,279000,197000,118000,112000,56000,182000,59000,142000,2602000,2061000,1145000,1119000,1440000,88000,51000,33000,159000,194000,405000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,1600000,1200000,6600000,6400000,8440000,8352000,7272000,7248000,7145000,7613000,10407000,9734000,4601000,9115000,6856000,4949000,3527000,2031000,567000,2480000,2358000,1256000,804000,2405000,1321000,967000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,12100000,13100000,18900000,20400000,24619000,21434000,20101000,24119000,27018000,46209000,40592000,28869000,23652000,17378000,20374000,13778000,14353000,12808000,19496000,55702000,34978000,22151000,18492000,11739000,12397000,14391000
48,Accounts Payable,- -,- -,- -,1000000,1100000,2600000,2600000,3513000,2395000,2011000,2205000,2920000,2623000,4202000,2265000,2767000,1677000,7167000,5653000,5879000,3707000,7601000,7295000,3257000,1630000,3606000,1340000,2477000,2235000
49,Short-Term Debt,- -,- -,- -,- -,- -,100000,- -,8000,101000,1284000,30000,38000,389000,1902000,2885000,1958000,- -,481000,1556000,2346000,59000,453000,- -,- -,- -,2219000,4172000,3596000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162000,137000,9000,91000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191000,295000,1214000,1373000,1215000,835000,156000,93000,- -,5000,30000,18000,72000,268000
52,Other Current Liabilities,- -,- -,- -,1100000,1300000,2200000,2500000,2056000,2088000,2117000,2413000,2374000,3924000,1671000,1473000,1621000,1854000,2655000,2149000,2265000,1218000,1397000,2917000,1676000,992000,1385000,1012000,1412000,5653000
53,Total Current Liabilities,- -,- -,- -,2100000,2400000,4900000,5100000,5577000,4584000,5412000,4648000,5332000,6936000,7775000,6623000,6537000,3826000,11517000,10731000,11705000,5819000,9607000,10305000,4933000,2627000,7240000,6542000,7557000,8156000
54,Long-Term Debt,- -,- -,- -,- -,- -,700000,600000,482000,419000,449000,521000,484000,1089000,1862000,314000,245000,1898000,2171000,955000,1793000,4011000,70000,- -,- -,- -,- -,109000,266000,2494000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,20000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,62000,81000,149000,28000,624000,30000,54000,46000,77000,107000,232000,200000,1092000,318000,- -
58,Total Non-Current Liabilities,- -,- -,- -,100000,20000,600000,600000,482000,419000,449000,521000,484000,1089000,1937000,628000,326000,2047000,2199000,1579000,1823000,4065000,116000,77000,107000,232000,200000,1201000,584000,2762000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1950000,1088000,- -
61,Total Liabilities,- -,- -,- -,2200000,2400000,5500000,5700000,6059000,5003000,5861000,5169000,5816000,8025000,9712000,7251000,6863000,5873000,13716000,12310000,13528000,9884000,9723000,10382000,5040000,2859000,7440000,7743000,8141000,10918000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,4000,5000,1000,1000,1000,1000,1000,1000,1000,- -
64,Retained Earnings,- -,- -,- -,-1900000,-1300000,-500000,900000,469000,-1659000,-5178000,-5786000,-6490000,-13913000,-23563000,-34880000,-49328000,-60343000,-68860000,-74915000,-80624000,-82985000,-88830000,-80050000,-96937000,-108204000,-117315000,-124874000,-130855000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-1200000,-1700000,-2500000,-3000000,-3848000,-4625000,-194000,204000,171000,-356000,601000,815000,251000,474000,423000,420000,460000,462000,469000,-2829000,-1000,2000,-1000,-3000,-3000,- -
66,Other Total Stockholders Equity,- -,- -,- -,13000000,13700000,16400000,16800000,21938000,22714000,19611000,24531000,27520000,52452000,53841000,55682000,65865000,71373000,75094000,75962000,80985000,85442000,98133000,128198000,126875000,127493000,128367000,128872000,135113000,- -
67,Total Stockholders Equity,- -,- -,- -,9900000,10700000,13400000,14700000,18560000,16431000,14240000,18950000,21202000,38184000,30880000,21618000,16789000,11505000,6658000,1468000,825000,2924000,9773000,45320000,29938000,19292000,11052000,3996000,4256000,3473000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,12100000,13100000,18900000,20400000,24619000,21434000,20101000,24119000,27018000,46209000,40592000,28869000,23652000,17378000,20374000,13778000,14353000,12808000,19496000,55702000,34978000,22151000,18492000,11739000,12397000,14391000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,12100000,13100000,18900000,20400000,24619000,21434000,20101000,24119000,27018000,46209000,40592000,28869000,23652000,17378000,20374000,13778000,14353000,12808000,19496000,55702000,34978000,22151000,18492000,11739000,12397000,14391000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/924168/0001023363-97-000009-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924168/000091205702013088/0000912057-02-013088-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000104746903010420/0001047469-03-010420-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000114420404003935/0001144204-04-003935-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000114420405009124/0001144204-05-009124-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000110465906021292/0001104659-06-021292-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000114420407013156/0001144204-07-013156-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000114420408015829/0001144204-08-015829-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000114420409017501/0001144204-09-017501-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000095012310030874/0000950123-10-030874-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000095012311031477/0000950123-11-031477-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000119312512143734/0001193125-12-143734-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000143774913003545/0001437749-13-003545-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000143774914005248/0001437749-14-005248-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000143774915004808/0001437749-15-004808-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000092416816000015/0000924168-16-000015-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000092416817000008/0000924168-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000092416818000008/0000924168-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000092416819000018/0000924168-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000092416820000013/0000924168-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000092416821000014/0000924168-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/924168/000092416822000023/0000924168-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1100000,2100000,- -,500000,600000,800000,1400000,-454000,-2128000,-3519000,-608000,-704000,-7423000,-9650000,-11317000,-14448000,-11015000,-8517000,-6055000,-5709000,-2361000,-5845000,8780000,-16887000,-11267000,-9111000,-7373000,-5981000,-7011000
74,Depreciation and Amortization,100000,200000,200000,300000,500000,600000,900000,1513000,1426000,1086000,961000,989000,1145000,1197000,1236000,1233000,987000,1863000,1238000,1056000,888000,281000,266000,805000,681000,522000,326000,184000,188000
75,Deferred Income Tax,-300000,-1200000,- -,300000,400000,100000,-200000,-821000,-808000,2035000,- -,- -,- -,63000,177000,-255000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,715000,624000,878000,426000,200000,201000,532000,813000,1360000,537000,908000,616000,131000,429000
77,Change in Working Capital,-800000,- -,- -,8400000,1100000,-2100000,1500000,1702000,-2104000,-1081000,4806000,2318000,17119000,-9250000,-9898000,2000,-8077000,-2436000,-3903000,1023000,5837000,4364000,33595000,-15230000,-9419000,-7820000,-7656000,727000,1749000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,825000,-906000,-1694000,3411000,-3158000,-808000,-2630000,-9674000,4313000,2240000,1403000,-131000,377000,6000
79,Inventory,-100000,-300000,-600000,-300000,-900000,-300000,-200000,-1369000,218000,-1239000,398000,-1673000,363000,351000,947000,1037000,- -,- -,- -,- -,- -,- -,- -,-5727000,5151000,-2356000,1876000,1137000,156000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,553000,- -,- -,- -,- -,- -,- -,135000,-4035000,-1759000,2047000,-2214000,1096000,-423000
81,Other Working Capital,- -,- -,- -,8400000,9500000,7400000,8900000,10602000,8498000,7417000,12223000,14541000,31660000,22410000,12512000,12514000,4437000,2001000,-1902000,-879000,4958000,9322000,42917000,27687000,18268000,10448000,2792000,3519000,5268000
82,Other Non-Cash Items,- -,-1000000,100000,-8600000,-1800000,1400000,-2400000,-2585000,3393000,-393000,-4230000,-5072000,-14313000,10456000,12300000,6923000,6919000,9705000,5677000,-3536000,-11780000,-757000,-39008000,13399000,13594000,8706000,7463000,2488000,-5120000
83,Cash Provided by Operating Activities,100000,100000,300000,900000,800000,800000,1200000,-645000,-221000,-1872000,929000,-2469000,-3472000,-7184000,-7502000,-5830000,-10562000,1493000,-2617000,-6966000,-7215000,-1425000,4446000,-16553000,-5874000,-6795000,-6624000,-2451000,-9765000
84,CAPEX,-200000,-400000,-400000,-400000,-600000,-3700000,-1300000,- -,-530000,-793000,-717000,-724000,-1920000,-3703000,-542000,-395000,-182000,-332000,-256000,-332000,-213000,-221000,-2242000,-1624000,-162000,-57000,-132000,-223000,-443000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-935000,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,- -,- -,- -,4816000,-30000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-2400000,-900000,-1300000,-1300000,- -,- -,- -,- -,- -,- -,-45768000,-108834000,-37090000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,100000,- -,- -,- -,4900000,- -,- -,- -,- -,- -,- -,27767000,114595000,49441000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,200000,- -,400000,600000,79000,- -,- -,- -,- -,- -,- -,33000,- -,765000,50000,19000,3000,- -,130000,- -,27000,97000,246000,3000,- -,- -
89,Cash Used for Investing Activites,-200000,-300000,-2800000,-1100000,-1900000,300000,-700000,-856000,-530000,-793000,-717000,-724000,-19921000,2058000,11842000,-395000,-917000,-282000,-237000,-329000,4603000,-121000,-2242000,-1597000,-65000,189000,-129000,-223000,-443000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6608000,-1776000,- -,-892000,-886000,-1894000,-223000,-466000,- -,- -,- -,-1403000,-2028000,-3000
91,Common Stock Issued,- -,3700000,800000,100000,100000,200000,100000,974000,119000,1000000,4920000,2354000,24680000,651000,964000,9335000,3508000,669000,456000,4826000,- -,5952000,23574000,- -,- -,- -,- -,2749000,9500000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-309000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,-100000,- -,-100000,- -,-500000,-100000,-101000,55000,1213000,-1473000,157000,1069000,2257000,-557000,5766000,192000,1158000,1311000,2389000,6172000,511000,2849000,455000,81000,2185000,2497000,3439000,1215000
95,Cash Used/Provided by Financing Activities,100000,3600000,800000,- -,100000,-300000,- -,873000,174000,2213000,3447000,2511000,25749000,2908000,407000,8493000,1924000,1827000,875000,6329000,4278000,6240000,25957000,146000,81000,2185000,1094000,4160000,10712000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,100000,-46000,-69000,99000,364000,37000,-411000,369000,-40000,-112000,49000,7000,8000,11000,13000,-23000,- -,5000,-10000,-5000,16000,- -,- -
97,Net Change In Cash,100000,3600000,800000,- -,- -,- -,600000,-674000,-646000,-353000,4023000,-645000,1945000,-1849000,4707000,2156000,-9506000,3045000,-1971000,-955000,1679000,4671000,27205000,-18011000,-5868000,-4426000,-5643000,1486000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1900000,1230000,584000,231000,4254000,3609000,5554000,3705000,8412000,10568000,1062000,4107000,2136000,1181000,2860000,7531000,34640000,16629000,10761000,6335000,692000,2178000,- -
99,Cash at the Beginning of Period,100000,100000,3500000,1800000,1500000,500000,1300000,1904000,1230000,584000,231000,4254000,3609000,5554000,3705000,8412000,10568000,1062000,4107000,2136000,1181000,2860000,7435000,34640000,16629000,10761000,6335000,692000,2178000
100,Free Cash Flow,-100000,-300000,-100000,500000,200000,-2900000,-100000,-645000,-751000,-2665000,212000,-3193000,-5392000,-10887000,-8044000,-6225000,-10744000,1161000,-2873000,-7298000,-7428000,-1646000,2204000,-18177000,-6036000,-6852000,-6756000,-2674000,-10208000
