,https://roic.ai/company/IDXG,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,2400000,9200000,15700000,40876000,12705000,-50175000,19590000,35191000,-26887000,5913000,-14280000,-36427000,-40577000,-4305000,-4702000,-25232000,-4277000,-13470000,-40408000,-6442000,-6293000,-12119000,-26423000,-26066000,-14746000
18,Operating Income ratio,0.0439,0.0910,0.0898,0.0981,0.0182,-0.1767,0.0617,0.0966,-0.0842,0.0247,-0.1219,-0.3237,-0.4781,-0.0298,-0.0299,-0.1988,-0.0284,-0.1123,-4.2841,-0.4923,-0.3959,-0.5535,-1.0973,-0.8046,-0.3569
19,Total Other Income Expenses (Gains),-6500000,2000000,2200000,4864000,2275000,1967000,1073000,779000,7634000,4738000,6073000,2841000,183000,138000,-14000,-28000,-59000,-670000,-3798000,-2130000,-6839000,-68000,-244000,-82000,-864000
20,Income Before Tax,- -,11200000,17900000,45740000,14980000,-48208000,20663000,35970000,-19253000,10651000,-8207000,-33586000,-40394000,-4167000,-4716000,-25260000,-4336000,-14140000,-44206000,-8572000,-13132000,-12187000,-26667000,-26148000,-15610000
21,Income Before Tax Ratio,- -,0.1108,0.1023,0.1097,0.0215,-0.1697,0.0651,0.0987,-0.0603,0.0445,-0.0701,-0.2985,-0.4759,-0.0288,-0.0300,-0.1991,-0.0287,-0.1179,-4.6868,-0.6551,-0.8261,-0.5566,-1.1075,-0.8071,-0.3778
22,Income Tax expense (Gain),- -,1700000,7500000,18712000,8626000,-17447000,8405000,14838000,201000,-724000,1767000,875000,-6834000,414000,-939000,208000,180000,-4738000,-13136000,-162000,-395000,18000,-28000,53000,-667000
23,Net Income,-4200000,9500000,10400000,27028000,6354000,-30761000,12258000,21132000,-19454000,11809000,-9974000,-34461000,-33560000,-6814000,-11914000,-25527000,-4565000,-16073000,-11356000,-8332000,-12216000,-12189000,-26727000,-26451000,-14943000
24,Net Income ratio,-0.0768,0.0940,0.0595,0.0648,0.0091,-0.1083,0.0386,0.0580,-0.0609,0.0494,-0.0852,-0.3062,-0.3954,-0.0471,-0.0757,-0.2012,-0.0303,-0.1340,-1.2040,-0.6368,-0.7684,-0.5567,-1.1100,-0.8164,-0.3617
25,EPS,-56.00,101.00,87.00,200.00,46.00,-219.00,86.00,145.00,-137.00,85.00,-72.00,-246.00,-236.00,-48.00,-83.00,-175.00,-31.00,-108.00,-73.00,-45.90,-7.70,-4.30,-7.25,-7.32,-3.71
26,EPS Diluted,-56.00,99.00,86.00,196.00,45.00,-219.00,85.00,142.00,-137.00,84.00,-72.00,-246.00,-236.00,-48.00,-83.00,-175.00,-31.00,-108.00,-73.00,-45.90,-7.70,-4.30,-7.25,-7.32,-3.71
27,Weighted Average Shares Outstanding,75000,94273,119581,135030,138860,140330,142310,145640,142320,138590,139400,140120,142190,143060,144400,145850,147180,149010,154750,181600,1576600,2815500,3746000,4029000,4029000
28,Weighted Average Shares Outstanding Diluted,75000,95570,121673,137730,141130,140330,144310,148930,142320,139940,139400,140120,142190,143060,144400,145850,147180,149010,154750,181600,1576600,2815500,3746000,4029000,4029000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1054102/000100547799001017/0001005477-99-001017-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000100547700002206/0001005477-00-002206-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1054102/000116923203002021/0001169232-03-002021-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000116923204001536/0001169232-04-001536-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000093041305001822/0000930413-05-001822-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000105410206000015/0001054102-06-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410207000008/0001054102-07-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410208000005/0001054102-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410209000007/0001054102-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000114036110010431/0001140361-10-010431-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410211000023/0001054102-11-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410212000008/0001054102-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410213000005/0001054102-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410214000005/0001054102-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410215000012/0001054102-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410216000097/0001054102-16-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000143774917005779/0001437749-17-005779-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315218003786/0001493152-18-003786-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315219003733/0001493152-19-003733-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315220006897/0001493152-20-006897-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315221007629/0001493152-21-007629-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315222008501/0001493152-22-008501-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,56200000,57800000,109000000,160043000,66827000,113288000,96367000,90827000,45221000,99185000,90074000,72463000,62711000,64337000,52783000,45639000,23111000,8310000,602000,15199000,6068000,2321000,2772000,3064000
32,Short-Term Investments,- -,- -,1700000,4907000,7387000,5834000,1344000,13131000,6807000,69463000,7800000,159000,164000,147000,127000,92000,103000,107000,106000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,56200000,59500000,113907000,167430000,72661000,114632000,109498000,97634000,114684000,106985000,90233000,72627000,62858000,64464000,52875000,45742000,23218000,8416000,602000,15199000,6068000,2321000,2772000,3064000
34,Net Receivables,- -,9000000,31200000,87482000,59538000,44089000,44926000,30055000,33122000,31528000,26232000,18255000,18639000,14420000,12226000,12642000,10404000,14423000,3854000,2534000,3437000,9483000,10197000,8028000,6158000
35,Inventory,- -,- -,- -,36385000,442000,646000,43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1825000,2052000,- -
36,Other Current Assets,- -,2000000,3800000,14229000,37711000,32186000,21543000,15883000,20370000,10528000,7558000,4511000,5245000,3374000,3670000,6066000,6563000,7225000,6895000,1104000,1172000,2170000,2026000,1270000,2944000
37,Total Current Assets,- -,67200000,94500000,252003000,265121000,149582000,181144000,155436000,151126000,156740000,140775000,112999000,96511000,80652000,80360000,71583000,62709000,44866000,19165000,4240000,19808000,17721000,16369000,14122000,12166000
38,PP&E,- -,2200000,3700000,9965000,21044000,18295000,14494000,17170000,16053000,12809000,8348000,5423000,3530000,4047000,2484000,2396000,2789000,3184000,1460000,929000,654000,837000,10706000,11733000,10381000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,13612000,13612000,13612000,5068000,23876000,18908000,2523000,2523000,15545000,- -,- -,- -,- -,8433000,8433000,8433000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,12780000,43339000,30417000,15950000,14669000,13388000,2542000,10393000,7309000,- -,- -,47304000,43492000,36358000,33105000,29853000,33501000,11351000,7287000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,12780000,43339000,30417000,29562000,28281000,27000000,7610000,34269000,26217000,2523000,2523000,62849000,43492000,36358000,33105000,29853000,41934000,19784000,15720000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,7820000,7304000,5832000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,500000,4800000,8257000,16506000,15242000,3901000,2928000,2710000,2525000,2150000,3614000,2125000,5421000,4318000,1945000,1043000,5007000,3595000,251000,31000,31000,42000,42000,160000
45,Total Non-Current Assets,- -,2700000,8500000,18222000,37550000,41357000,38479000,69269000,49180000,44896000,38779000,36037000,13265000,43737000,33019000,6864000,6355000,71040000,48547000,37538000,33790000,30721000,52682000,31559000,26261000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,69900000,103000000,270225000,302671000,190939000,219623000,224705000,200306000,201636000,179554000,149036000,109776000,124389000,113379000,78447000,69064000,115906000,67712000,41778000,53598000,48442000,69051000,45681000,38427000
48,Accounts Payable,- -,1000000,6000000,31328000,9493000,5374000,8689000,7217000,12498000,3915000,2792000,2298000,1994000,3266000,4139000,3388000,2350000,4308000,1560000,2326000,391000,1059000,4812000,4511000,2694000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1164000,- -,- -,- -,1505000,1204000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,591000,526000,515000,285000,403000,334000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,9473000,3604000,6924000,12598000,14252000,8459000,3678000,6793000,13417000,15882000,14501000,9379000,6752000,- -,- -,- -,- -,457000,54000,- -
52,Other Current Liabilities,- -,21300000,35300000,99955000,141943000,52881000,68842000,45139000,39600000,26387000,17937000,25384000,16093000,26645000,26057000,18501000,19671000,22518000,20649000,13915000,7700000,7433000,10524000,12464000,12988000
53,Total Current Liabilities,- -,22300000,41300000,131283000,151436000,67728000,81135000,59280000,64696000,44554000,29188000,31360000,24880000,43328000,46078000,36390000,31400000,33578000,23373000,16241000,8091000,8492000,17298000,18233000,15682000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27154000,7233000,7908000,- -,- -,3000000,- -,4654000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269000,136000,- -
56,Deferred Tax Liabilities,- -,- -,600000,663000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2967000,3109000,5792000,3425000,3594000,3734000,3838000,4081000,4342000,- -
57,Other Non-Current Liabilities,- -,300000,300000,169000,- -,- -,- -,- -,5800000,7885000,10177000,10569000,10006000,11548000,7778000,3460000,2076000,29260000,20643000,7504000,1904000,3174000,31377000,5517000,13973000
58,Total Non-Current Liabilities,- -,300000,900000,832000,300000,- -,- -,- -,5800000,7885000,10177000,10569000,10006000,11548000,7778000,6427000,5185000,62206000,31301000,19006000,5638000,7012000,38727000,9995000,18627000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4096000,4744000,- -
61,Total Liabilities,- -,22300000,42200000,132115000,151736000,67728000,81135000,59280000,64696000,52439000,39365000,41929000,34886000,54876000,53856000,42817000,36585000,95784000,54674000,35247000,13729000,15504000,56025000,28228000,34309000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46536000,- -
63,Common Stock,- -,- -,100000,138000,140000,142000,145000,148000,149000,151000,152000,153000,153000,155000,158000,161000,163000,165000,187000,22000,278000,287000,393000,402000,403000
64,Retained Earnings,- -,2600000,14600000,41654000,48008000,17247000,29505000,50637000,31183000,42992000,33018000,-1443000,-35003000,-41817000,-53731000,-79258000,-83823000,-99896000,-111252000,-119584000,-131800000,-141489000,-168160000,-212116000,-227059000
65,Other Comprehensive Income/Loss,- -,-800000,-4400000,-5963000,-9982000,-741000,-583000,-1987000,-836000,79000,30000,-16000,3000,8000,12000,11000,16000,16000,13000,- -,-1159000,-1371000,-1902000,- -,- -
66,Other Total Stockholders Equity,- -,45800000,50500000,102281000,112769000,106563000,109421000,116627000,105114000,105975000,106989000,108413000,109737000,111167000,113084000,114716000,116123000,119837000,124090000,126093000,172550000,175511000,182695000,182631000,184238000
67,Total Stockholders Equity,- -,47600000,60800000,138110000,150935000,123211000,138488000,165425000,135610000,149197000,140189000,107107000,74890000,69513000,59523000,35630000,32479000,20122000,13038000,6531000,39869000,32938000,13026000,17453000,-42418000
68,Total Liabilities And Stockholders Equity,- -,69900000,103000000,270225000,302671000,190939000,219623000,224705000,200306000,201636000,179554000,149036000,109776000,124389000,113379000,78447000,69064000,115906000,67712000,41778000,53598000,48442000,69051000,45681000,-8109000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46536000
70,Total Liabilities & Equity,- -,69900000,103000000,270225000,302671000,190939000,219623000,224705000,200306000,201636000,179554000,149036000,109776000,124389000,113379000,78447000,69064000,115906000,67712000,41778000,53598000,48442000,69051000,45681000,38427000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1054102/000100547799001017/0001005477-99-001017-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000100547700002206/0001005477-00-002206-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1054102/000116923203002021/0001169232-03-002021-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000116923204001536/0001169232-04-001536-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000093041305001822/0000930413-05-001822-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000105410206000015/0001054102-06-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410207000008/0001054102-07-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410208000005/0001054102-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410209000007/0001054102-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000114036110010431/0001140361-10-010431-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410211000023/0001054102-11-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410212000008/0001054102-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410213000005/0001054102-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410214000005/0001054102-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410215000012/0001054102-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410216000097/0001054102-16-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000143774917005779/0001437749-17-005779-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315218003786/0001493152-18-003786-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315219003733/0001493152-19-003733-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315220006897/0001493152-20-006897-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315221007629/0001493152-21-007629-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315222008501/0001493152-22-008501-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4200000,9500000,10400000,27028000,6354000,-30761000,12258000,21132000,-19454000,11809000,-9974000,-34461000,-33560000,-6814000,-11914000,-25527000,-4565000,-16073000,-11356000,-8332000,-12216000,-12189000,-26727000,-26451000,-14943000
74,Depreciation and Amortization,100000,300000,1200000,2077000,4994000,7817000,6797000,5916000,5820000,5764000,5607000,4613000,- -,- -,3046000,2034000,1425000,2391000,5030000,4483000,3690000,3464000,4187000,5501000,5374000
75,Deferred Income Tax,- -,-300000,600000,-4514000,-19411000,8501000,-3117000,9199000,6447000,2710000,1113000,331000,-1443000,5000,- -,- -,- -,-5035000,-1167000,- -,- -,- -,18000,37000,38000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1387000,1494000,1936000,1791000,1723000,2124000,4017000,131000,1276000,2270000,1535000,2187000,1255000
77,Change in Working Capital,3300000,44900000,8300000,67520000,-7035000,-31831000,18155000,-3853000,-9726000,25756000,-599000,-29948000,-10008000,-34307000,-3042000,911000,-3884000,-20021000,-15496000,-7793000,23718000,-2488000,-10158000,-3182000,595000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3928000,2095000,1397000,-1054000,8256000,-3422000,-5486000,4766000,-1228000,-3546000,-961000,1725000,2148000
79,Inventory,- -,- -,- -,-36488000,35066000,-203000,-216000,43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-304000,522000,- -,-751000,-1038000,786000,1019000,143000,-2633000,668000,-835000,-198000,-1817000
81,Other Working Capital,- -,44900000,53200000,120720000,113685000,81854000,100009000,96156000,86430000,112186000,111587000,81639000,71631000,37324000,34282000,35193000,31309000,11288000,-4208000,-12001000,11717000,9229000,-929000,-4111000,-3516000
82,Other Non-Cash Items,4200000,-40000000,-14900000,-73004000,95224000,-42706000,7538000,-3412000,20028000,-26354000,-2323000,43474000,27652000,55974000,11959000,10505000,1789000,20236000,-870000,2571000,-31731000,270000,12188000,7929000,-1038000
83,Cash Provided by Operating Activities,3400000,14400000,5600000,19107000,80126000,-88980000,41631000,28982000,3115000,19685000,-6176000,-15991000,-15972000,16352000,1985000,-10286000,-3512000,-16378000,-19842000,-8940000,-15263000,-8673000,-18957000,-13979000,-8719000
84,CAPEX,-300000,-2000000,-1400000,-7865000,-15560000,-4012000,-1829000,-8104000,-5832000,-1770000,-1009000,-399000,-1730000,-2130000,-343000,-1112000,-1818000,-11351000,-353000,- -,-29000,-449000,-131000,-1575000,-354000
85,Acquisitions Net,- -,- -,- -,- -,-11902000,-2735000,- -,-28443000,-1936000,- -,- -,- -,- -,-23912000,- -,- -,-1500000,-13359000,- -,- -,- -,- -,-13829000,- -,- -
86,Purchases of Investments,- -,-1000000,- -,-4907000,-8750000,- -,- -,-11736000,- -,-63881000,61460000,-15050000,-5546000,- -,- -,- -,-1500000,-655000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,800000,1551000,6225000,1532000,4614000,- -,26230000,250000,- -,22391000,5700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,200000,- -,-4100000,-3260000,-1103000,-1379000,- -,-1500000,63000,- -,150000,- -,- -,- -,- -,- -,1500000,-8500000,26751000,- -,- -,- -,13000,- -,39000
89,Cash Used for Investing Activites,-100000,-3000000,-4700000,-14481000,-31090000,-6594000,2785000,-49783000,18525000,-65401000,60601000,6942000,-1576000,-26042000,-343000,-1112000,-3318000,-25365000,26398000,- -,-29000,-449000,-13947000,-1575000,-315000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6024000,-3000000,1500000
91,Common Stock Issued,- -,46400000,500000,45167000,2117000,2358000,2045000,3880000,1291000,110000,- -,- -,- -,- -,- -,- -,- -,- -,451000,1707000,23081000,- -,6478000,434000,335000
92,Common Stock Repurchased,- -,- -,- -,- -,-110000,- -,- -,- -,-13104000,- -,-219000,-62000,-63000,-62000,-16000,-156000,-314000,-228000,-208000,- -,-28000,-9000,-41000,-52000,- -
93,Dividends Paid,- -,-5900000,-700000,-8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,-1400000,100000,1428000,- -,- -,- -,- -,- -,- -,-242000,- -,- -,- -,- -,- -,- -,19443000,-21600000,-475000,6836000,- -,28744000,19223000,7141000
95,Cash Used/Provided by Financing Activities,100000,39100000,-100000,46587000,2007000,2358000,2045000,3880000,-11813000,110000,-461000,-62000,-63000,-62000,-16000,-156000,-314000,19215000,-21357000,1232000,29889000,-9000,29157000,16605000,8976000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,100000,- -,800000,51213000,51043000,-93216000,46461000,-16921000,9827000,-45606000,53964000,-9111000,-17611000,-9752000,1626000,-11554000,-7144000,-22528000,-14801000,-7708000,14597000,-9131000,-3747000,1051000,-58000
98,Cash at the End of Period,- -,- -,57800000,109000000,160043000,66827000,113288000,96367000,90827000,45221000,99185000,90074000,72463000,62711000,64337000,52783000,45639000,23111000,8310000,602000,15199000,6068000,2321000,3372000,3314000
99,Cash at the Beginning of Period,2400000,5800000,57000000,57787000,109000000,160043000,66827000,113288000,81000000,90827000,45221000,99185000,90074000,72463000,62711000,64337000,52783000,45639000,23111000,8310000,602000,15199000,6068000,2321000,3372000
100,Free Cash Flow,3100000,12400000,4200000,11242000,64566000,-92992000,39802000,20878000,-2717000,17915000,-7185000,-16390000,-17702000,14222000,1642000,-11398000,-5330000,-27729000,-20195000,-8940000,-15292000,-9122000,-19088000,-15554000,-9073000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1054102/000100547799001017/0001005477-99-001017-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000100547700002206/0001005477-00-002206-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1054102/000116923203002021/0001169232-03-002021-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000116923204001536/0001169232-04-001536-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000093041305001822/0000930413-05-001822-index.html,https://www.sec.gov/Archives/edgar/data/1054102/000105410206000015/0001054102-06-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410207000008/0001054102-07-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410208000005/0001054102-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410209000007/0001054102-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000114036110010431/0001140361-10-010431-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410211000023/0001054102-11-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410212000008/0001054102-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410213000005/0001054102-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410214000005/0001054102-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410215000012/0001054102-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000105410216000097/0001054102-16-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000143774917005779/0001437749-17-005779-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315218003786/0001493152-18-003786-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315219003733/0001493152-19-003733-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315220006897/0001493152-20-006897-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315221007629/0001493152-21-007629-index.htm,https://www.sec.gov/Archives/edgar/data/1054102/000149315222008501/0001493152-22-008501-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
