,https://roic.ai/company/WPC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,4164000,8517000,18199000,19116000,52974000,19390000,45491000,51739000,23521000,22793000,25822000,37228000,6783000,1252000,17609000,37621000,3288000,2711000,14411000,26211000,20759000,28486000
23,Net Income,40561000,38464000,34039000,-9278000,35761000,46588000,62878000,63851000,48604000,86303000,79252000,78047000,69023000,73972000,139079000,62132000,98876000,239826000,172258000,267747000,277289000,411566000,305243000,465955000,409988000
24,Net Income ratio,0.4124,0.4508,0.3846,-0.0772,0.2565,0.2883,0.3849,0.2803,0.2791,0.3158,0.3012,0.3200,0.2926,0.2701,0.4134,0.1661,0.2018,0.2647,0.1836,0.2844,0.3269,0.4647,0.2476,0.4036,0.3079
25,EPS,1.69,1.55,1.33,-0.31,1.04,1.31,1.72,1.71,1.29,2.29,2.08,1.99,1.74,1.86,3.44,1.30,1.43,2.40,1.62,2.50,2.56,3.50,1.78,2.61,2.35
26,EPS Diluted,1.69,1.55,1.33,-0.31,1.02,1.28,1.65,1.64,1.25,2.22,2.05,1.96,1.74,1.86,3.42,1.28,1.41,2.40,1.61,2.49,2.56,3.49,1.78,2.60,2.34
27,Weighted Average Shares Outstanding,23959000,24866225,25596793,29652698,34465217,35530334,36566338,37417918,37688835,37668920,38113857,39202520,39019709,39514746,39819475,47389460,68691046,98694745,105675692,106743012,107824738,117494969,171001430,174504406,174504406
28,Weighted Average Shares Outstanding Diluted,23959000,24869570,25596793,29652698,34952560,36265230,38008762,38904725,39020801,39093897,39868208,40221112,39712735,40007894,40098095,48078474,69708008,99573776,106507652,107073203,108035971,117706445,171299414,174839428,174839428
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1025378/000095012303003589/0000950123-03-003589-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012304003311/0000950123-04-003311-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012305003246/0000950123-05-003246-index.html,- -,https://www.sec.gov/Archives/edgar/data/1025378/000095012307002758/y30667e10vk.htm,https://www.sec.gov/Archives/edgar/data/1025378/000095012308002343/y50345e10vk.htm,https://www.sec.gov/Archives/edgar/data/1025378/000095012309003846/0000950123-09-003846-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012310017973/0000950123-10-017973-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012311018898/c11129e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/1025378/000110465913014285/0001104659-13-014285-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537814000013/wpc2013q410-k.htm,https://www.sec.gov/Archives/edgar/data/1025378/000102537815000010/wpc2014q410-k.htm,https://www.sec.gov/Archives/edgar/data/1025378/000102537816000062/0001025378-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537817000016/0001025378-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537818000014/0001025378-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537819000008/0001025378-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537820000011/0001025378-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537821000040/0001025378-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1025378/000102537822000056/0001025378-22-000056-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18586000,5673000,2297000,10165000,8870000,21304000,24359000,16715000,13014000,22108000,12137000,16799000,18450000,64693000,29297000,123904000,117519000,198683000,157227000,155482000,162312000,217644000,196028000,248662000,165427000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,82800000,110379000,134567000,166147000,242677000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18586000,5673000,2297000,10165000,8870000,21304000,107159000,127094000,147581000,188255000,254814000,16799000,18450000,64693000,29297000,123904000,117519000,198683000,157227000,155482000,162312000,217644000,196028000,248662000,165427000
34,Net Receivables,- -,- -,- -,7945000,18789000,40241000,50917000,63471000,82933000,88884000,88329000,53074000,35998000,38793000,38369000,36002000,29334000,32357000,61757000,298826000,105219000,74842000,57816000,26257000,1826000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,358082000,359785000,108006000,224751000,32717000,648441000,708522000,710268000,- -,- -,- -,- -,1445000,86823000,7255000,59046000,26247000,- -,- -,104010000,18590000,8269000
37,Total Current Assets,- -,- -,- -,376192000,387444000,169551000,382827000,223282000,878955000,985661000,1053411000,69873000,54448000,103486000,67666000,161351000,233676000,238295000,278030000,480555000,267531000,292486000,357854000,293509000,175522000
38,PP&E,240498000,453181000,501350000,433867000,435629000,629532000,421543000,676149000,462343000,574110000,586594000,574329000,499248000,548131000,621182000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,49874000,63607000,63607000,63607000,63607000,- -,- -,- -,- -,63607000,329132000,350208000,692415000,681809000,635920000,643960000,920944000,934688000,910818000,901529000
40,Intangible Assets,- -,- -,- -,- -,92810000,44567000,38528000,50501000,40700000,43742000,99873000,- -,- -,- -,62350000,737363000,718427000,1551510000,1418584000,1282828000,1868817000,2935425000,3095990000,3182333000,3229410000
41,Intangible Assets,- -,- -,- -,94183000,92810000,94441000,102135000,114108000,104307000,107349000,99873000,93310000,85187000,87768000,125957000,1066495000,1068635000,2243925000,2100393000,1918748000,2512777000,3856369000,4030678000,4093151000,4130939000
42,Investments,- -,- -,- -,- -,- -,67742000,265252000,110379000,266542000,108581000,89463000,344412000,385212000,398844000,596749000,565626000,530020000,249403000,275473000,298893000,341457000,329248000,324004000,283446000,356637000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-67742000,-265252000,-110379000,-728885000,-682691000,-676057000,29212000,69241000,34097000,51069000,2815570000,2846619000,5905705000,6100777000,5755758000,5109637000,9704936000,9348382000,10037530000,10817532000
45,Total Non-Current Assets,- -,- -,- -,528050000,528439000,723973000,523678000,790257000,104307000,107349000,99873000,1041263000,1038888000,1068840000,1394957000,4447691000,4445274000,8399033000,8476643000,7973399000,7963871000,13890553000,13703064000,14414127000,15305108000
46,Other Assets,523420000,813264000,856259000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,523420000,813264000,856259000,904242000,915883000,893524000,906505000,1013539000,983262000,1093010000,1153284000,1111136000,1093336000,1172326000,1462623000,4609042000,4678950000,8637328000,8754673000,8453954000,8231402000,14183039000,14060918000,14707636000,15480630000
48,Accounts Payable,8792000,7013000,7227000,-2655000,-1312000,1126000,15086000,18449000,20966000,47580000,101041000,61930000,83075000,40808000,82055000,265132000,161369000,293846000,342374000,266917000,263053000,403896000,487405000,603663000,572846000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,52296000,- -,- -,- -,- -,81000000,- -,141750000,233160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,1810000,3909000,634000,21935000,65152000,57972000,43831000,41443000,44783000,24959000,44056000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6208000,20987000,19773000,54655000,61312000,86874000,35618000,83551000,109034000,134420000,100959000,57972000,43831000,61516000,67097000,70659000,111802000,100078000,102715000,107090000,109766000,172154000,181346000,186514000,203859000
53,Total Current Liabilities,15000000,28000000,27000000,52000000,60000000,88000000,103000000,102000000,130000000,182000000,202000000,200902000,126906000,244074000,382312000,335791000,273171000,393924000,445089000,374007000,372819000,576050000,668751000,790177000,776705000
54,Long-Term Debt,207627000,271298000,317351000,305468000,312305000,247923000,229637000,294731000,244695000,3239000,316751000,245874000,215330000,255232000,356209000,1968397000,2067410000,4088546000,4492793000,4440814000,4265267000,6378691000,6053943000,6695998000,6791616000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,40490000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,6608000,- -,29532000,40349000,39908000,41527000,- -,- -,- -,- -,- -,- -,- -,82982000,86104000,90825000,67009000,173115000,179309000,145844000,145572000
57,Other Non-Current Liabilities,373000,-298000,-351000,-15468000,-22913000,-12923000,-50169000,-42080000,-38603000,193744000,249000,16224000,118692000,- -,- -,47531000,135638000,181141000,169259000,123168000,114922000,225128000,210742000,197248000,183286000
58,Total Non-Current Liabilities,208000000,271000000,317000000,290000000,296000000,235000000,209000000,293000000,246000000,279000000,317000000,262098000,334022000,255232000,356209000,2015928000,2203048000,4352669000,4748156000,4654807000,4447198000,6776934000,6443994000,7039090000,7120474000
59,Other Liabilities,428032000,549283000,639931000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,235032000,306283000,349931000,340565000,354630000,319668000,308014000,392064000,372105000,453260000,512923000,463000000,460928000,499306000,738521000,2351719000,2476219000,4746593000,5193245000,5028814000,4820017000,7352984000,7112745000,7829267000,7897179000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,517755000,526130000,644749000,664751000,690594000,709724000,734658000,740593000,745969000,748584000,- -,- -,- -,- -,69000,69000,105000,104000,106000,107000,165000,172000,175000,190000
64,Retained Earnings,- -,-2803000,-11560000,-74260000,-97200000,-111970000,-112570000,-114431000,-131178000,-114008000,-117051000,-116990000,-138442000,-145769000,-95046000,-172182000,-318577000,-465606000,-738652000,-893827000,-1052064000,-1143992000,-1557374000,-1850935000,-2224231000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-2065000,2496000,3800000,3172000,24000,2738000,-828000,-681000,-3463000,-8507000,3709000,26690000,-44935000,-116251000,-204263000,-189355000,-219230000,-218404000,-197892000,-171860000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,-4187000,-3011000,-3959000,-5119000,- -,- -,765954000,771531000,822252000,- -,2155550000,2196233000,4261325000,4282042000,4399651000,4433573000,8187335000,8717535000,8925365000,9977686000
67,Total Stockholders Equity,- -,510607000,509464000,562875000,560459000,572372000,596639000,620068000,607468000,631985000,634271000,648136000,625633000,625013000,682581000,1987146000,1904415000,3750889000,3427243000,3301667000,3192261000,6824278000,6941929000,6876713000,7581785000
68,Total Liabilities And Stockholders Equity,536032000,816890000,859395000,903440000,915089000,892040000,904653000,1012132000,979573000,1085245000,1147194000,1111136000,1086561000,1124319000,1421102000,4338865000,4380634000,8497482000,8620488000,8330481000,8012278000,14177262000,14054674000,14705980000,15478964000
69,Minority Interest,-12612000,-3626000,-3136000,802000,794000,1484000,1852000,1407000,3689000,7765000,6090000,- -,6775000,48007000,41521000,270177000,298316000,139846000,134185000,123473000,219124000,5777000,6244000,1656000,1666000
70,Total Liabilities & Equity,523420000,813264000,856259000,904242000,915883000,893524000,906505000,1013539000,983262000,1093010000,1153284000,1111136000,1093336000,1172326000,1462623000,4609042000,4678950000,8637328000,8754673000,8453954000,8231402000,14183039000,14060918000,14707636000,15480630000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1025378/000095012303003589/0000950123-03-003589-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012304003311/0000950123-04-003311-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012305003246/0000950123-05-003246-index.html,- -,https://www.sec.gov/Archives/edgar/data/1025378/000095012307002758/y30667e10vk.htm,https://www.sec.gov/Archives/edgar/data/1025378/000095012308002343/y50345e10vk.htm,https://www.sec.gov/Archives/edgar/data/1025378/000095012309003846/0000950123-09-003846-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012310017973/0000950123-10-017973-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012311018898/c11129e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/1025378/000110465913014285/0001104659-13-014285-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537814000013/wpc2013q410-k.htm,https://www.sec.gov/Archives/edgar/data/1025378/000102537815000010/wpc2014q410-k.htm,https://www.sec.gov/Archives/edgar/data/1025378/000102537816000062/0001025378-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537817000016/0001025378-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537818000014/0001025378-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537819000008/0001025378-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537820000011/0001025378-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537821000040/0001025378-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1025378/000102537822000056/0001025378-22-000056-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,40561000,38464000,34039000,-9278000,35761000,46588000,62878000,63851000,48604000,86303000,79252000,78047000,69023000,73972000,139079000,62132000,98876000,239826000,172258000,267747000,277289000,411566000,305243000,465955000,409988000
74,Depreciation and Amortization,10300000,7400000,11192000,22169000,27146000,20884000,18914000,27596000,25559000,27207000,27321000,27197000,24476000,24443000,29616000,55114000,140316000,248549000,287835000,279693000,316466000,349298000,544908000,508946000,547632000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,9769000,10817000,1549000,1620000,- -,- -,- -,- -,- -,- -,- -,- -,1476000,-21444000,-20013000,-6279000,9255000,-49076000,-4703000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7278000,9336000,7082000,17716000,26038000,37195000,31075000,21626000,21222000,18917000,18294000,18787000,15938000,24881000
77,Change in Working Capital,- -,-13000000,1000000,351192000,3252000,-245893000,198276000,-158545000,627673000,54706000,47750000,-982440000,58571000,-68130000,-174058000,140206000,134945000,-116134000,-11430000,273607000,-211836000,-178276000,-27333000,-185771000,-14252000
78,Accounts Receivable,- -,- -,-3877000,1511000,- -,- -,-13424000,-14860000,3657000,10474000,-55897000,-10512000,-11672000,-20237000,-19537000,- -,- -,- -,- -,- -,-6530000,-8014000,-621000,-88000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-372000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-15000000,-28000000,-27000000,324192000,327444000,81551000,279827000,121282000,748955000,803661000,851411000,-131029000,-72458000,-140588000,-314646000,-174440000,-39495000,-155629000,-167059000,106548000,-105288000,-283564000,-310897000,-496668000,-14252000
82,Other Non-Cash Items,-1302000,19080000,2010000,-305635000,-7282000,254317000,-221986000,155130000,-650678000,-49896000,-106852000,933165000,-86862000,49050000,67763000,-202847000,-203424000,-4224000,5512000,-303054000,135247000,-85437000,-38783000,45546000,-37067000
83,Cash Provided by Operating Activities,49559000,51944000,48241000,58448000,58877000,75896000,67851000,98849000,52707000,119940000,47471000,63247000,74544000,86417000,80116000,80643000,207908000,399092000,477277000,517771000,516070000,509166000,812077000,801538000,926479000
84,CAPEX,-2000000,-184456000,-125392000,-45072000,-50533000,-14794000,-2843000,-1596000,-2975000,-62110000,-176969000,-14252000,-83539000,-107812000,-13239000,69260000,-94083000,-612420000,-667291000,-45829000,64289000,-395606000,-575197000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,776000,- -,-524000,-524000,-524000,-120000,- -,- -,-121258000,25863000,-1945000,38623000,-16229000,-9734000,8794000,110155000,31770000,15230000,-93597000
86,Purchases of Investments,- -,-65000,-3676000,- -,- -,-13172000,-11774000,-115522000,-465000,-150000,-5080000,-1769000,-2872000,- -,-122612000,- -,- -,-7664000,- -,- -,- -,- -,- -,-95511000,- -
87,Sales/Maturities of Investments,1242000,22330000,9631000,47169000,2768000,5560000,3503000,122455000,6164000,- -,- -,- -,61030000,18758000,21625000,372000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,240000,-4140000,-340000,15286000,7154000,73516000,34567000,-102313000,45542000,13286000,45047000,14688000,35712000,46076000,96161000,100231000,-4429000,-671185000,-628956000,-260072000,217108000,-376287000,-554543000,-459651000,-1473130000
89,Cash Used for Investing Activites,-518000,-71525000,-55189000,40958000,-13368000,51921000,24229000,-96976000,47742000,-44561000,-41048000,12598000,18106000,-37843000,-126084000,126466000,-6374000,-640226000,-645185000,-269806000,225902000,-266132000,-522773000,-539932000,-1566727000
90,Debt Repayment,-28065000,-108382000,-24196000,-90627000,-90895000,-143052000,-116793000,-117628000,-161919000,-180003000,-132512000,-129194000,-173796000,-68028000,-185327000,-335124000,-804764000,-1840810000,-1512010000,-1436815000,-2215960000,-2416512000,-2466362000,-1481273000,-3090725000
91,Common Stock Issued,- -,7300000,652000,- -,6496000,10086000,7789000,6649000,4400000,8660000,20682000,23350000,1507000,3724000,1488000,51644000,- -,282162000,- -,84063000,22824000,287544000,523287000,158000,339968000
92,Common Stock Repurchased,- -,- -,-627000,-13944000,-325000,- -,- -,-2543000,-2206000,-1937000,-25525000,-15413000,-21836000,- -,- -,-45270000,-40000000,-679000,- -,- -,- -,-1178000,- -,- -,- -
93,Dividends Paid,-43620000,-30820000,- -,-49957000,-58048000,-60708000,-62978000,-65073000,-67004000,-68615000,-71608000,-93307000,-78618000,-93284000,-85814000,-113867000,-220395000,-347902000,-403555000,-416655000,-431182000,-440431000,-704396000,-726955000,-764281000
94,Other Financing Activites,12677000,138570000,27524000,63030000,95957000,78413000,82683000,168899000,122948000,175277000,192426000,143775000,181468000,156040000,280155000,329325000,854571000,2250369000,2068102000,1526603000,1880968000,2546285000,2189693000,1997357000,4072086000
95,Cash Used/Provided by Financing Activities,-59008000,6668000,3353000,-91498000,-46815000,-115261000,-89299000,-9696000,-103781000,-66618000,-16537000,-70789000,-91275000,-1548000,10502000,-113292000,-210588000,343140000,152537000,-242804000,-743350000,-24292000,-457778000,-210713000,557048000
96,Effect of Forex Changes on Cash,- -,- -,219000,-40000,11000,-122000,274000,179000,-369000,333000,143000,-394000,276000,-783000,70000,790000,2669000,-20842000,-26085000,-6906000,8208000,-4355000,-4071000,9368000,-10629000
97,Net Change In Cash,-9967000,-12913000,-3376000,7868000,-1295000,12434000,3055000,-7644000,-3701000,9094000,-9971000,4662000,1651000,46243000,-35396000,94607000,-6385000,81164000,-41456000,-1745000,6830000,214387000,-172545000,60261000,-93829000
98,Cash at the End of Period,18586000,5673000,2297000,10165000,8870000,21304000,24359000,16715000,13014000,22108000,12137000,16799000,18450000,64693000,29297000,123904000,117519000,198683000,157227000,155482000,162312000,424063000,251518000,311779000,217950000
99,Cash at the Beginning of Period,28553000,18586000,5673000,2297000,10165000,8870000,21304000,24359000,16715000,13014000,22108000,12137000,16799000,18450000,64693000,29297000,123904000,117519000,198683000,157227000,155482000,209676000,424063000,251518000,311779000
100,Free Cash Flow,47559000,-132512000,-77151000,13376000,8344000,61102000,65008000,97253000,49732000,57830000,-129498000,48995000,-8995000,-21395000,66877000,74439000,193869000,354426000,468541000,508871000,500952000,509166000,812077000,801538000,926479000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1025378/000095012303003589/0000950123-03-003589-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012304003311/0000950123-04-003311-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012305003246/0000950123-05-003246-index.html,- -,https://www.sec.gov/Archives/edgar/data/1025378/000095012307002758/y30667e10vk.htm,https://www.sec.gov/Archives/edgar/data/1025378/000095012308002343/y50345e10vk.htm,https://www.sec.gov/Archives/edgar/data/1025378/000095012309003846/0000950123-09-003846-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012310017973/0000950123-10-017973-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000095012311018898/c11129e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/1025378/000110465913014285/0001104659-13-014285-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537814000013/wpc2013q410-k.htm,https://www.sec.gov/Archives/edgar/data/1025378/000102537815000010/wpc2014q410-k.htm,https://www.sec.gov/Archives/edgar/data/1025378/000102537816000062/0001025378-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537817000016/0001025378-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537818000014/0001025378-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537819000008/0001025378-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537820000011/0001025378-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1025378/000102537821000040/0001025378-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1025378/000102537822000056/0001025378-22-000056-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
