,https://roic.ai/company/ICAD,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,500000,300000,200000,900000,1100000,400000,1100000,1400000,1400000,1100000,800000,700000,500000,375776,230247,- -,- -,- -,- -,60444,63194,63194,63194,675106,595000,638000,419000,132000,94000,53000,53000,53000,50000,1527000,899000
45,Total Non-Current Assets,4800000,5400000,5200000,3300000,3200000,3600000,4300000,4700000,4400000,3100000,1800000,1600000,1200000,863912,574523,22960691,51547133,50846519,50270980,49731373,48779919,52603918,50983261,70303365,40652000,38460000,36873000,49154000,20873000,18718000,10922000,10517000,12552000,13280000,11885000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9000000,18900000,23100000,21900000,15100000,19600000,18100000,21600000,18500000,12800000,7100000,6400000,5700000,5945928,4161125,26077356,62662136,65136107,61527835,60289673,61730678,73189731,73411511,94031142,51761000,59993000,58916000,93770000,48640000,38651000,32131000,31737000,41748000,55582000,62191000
48,Accounts Payable,- -,- -,- -,3300000,1400000,2300000,1800000,4000000,3700000,2000000,1200000,1100000,1200000,1096174,1026335,2232262,3979488,2006500,4250574,2557108,2010717,2189093,1365558,2500266,2199000,2468000,3012000,3740000,3111000,3846000,3885000,3483000,4708000,5274000,2779000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,617000,10000,75526,1243390,1500000,1500000,375000,3477941,- -,- -,- -,- -,- -,3878000,5044000,969000,86000,829000,1866000,5008000,726000,889000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439717,499279,788122,1674005,1955495,3139567,5286921,5765000,6520000,8306000,9120000,7497000,5372000,5404000,5165000,5248000,6117000,5652000
52,Other Current Liabilities,3300000,4400000,4700000,2300000,1300000,300000,700000,800000,500000,1000000,300000,1100000,300000,430699,967472,2005902,2538628,2044345,1916903,2768281,3461422,2752818,2222561,5520750,4520000,5651000,7256000,4145000,2702000,3551000,1952000,2731000,3872000,4634000,5642000
53,Total Current Liabilities,3300000,4400000,4700000,5600000,2700000,2600000,2500000,4800000,4200000,3000000,1500000,2200000,2000000,2143873,2003807,4313690,7761506,5990562,8166756,6488511,10624085,6897406,6727686,13307937,12484000,14639000,22452000,22049000,14279000,12855000,12070000,13245000,18836000,16751000,14962000
54,Long-Term Debt,2400000,6600000,2200000,2200000,2200000,4300000,3200000,3200000,5800000,5700000,2200000,1900000,700000,900000,117761,308390,7005000,2175000,375000,5707435,2258906,- -,- -,- -,- -,14846000,11770000,5602000,- -,- -,5119000,11224000,15645000,6960000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375183,961273,1446000,1502000,1726000,1525000,1079000,668000,506000,331000,356000,267000,441000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,14000,3000,3000,4000,- -
57,Other Non-Current Liabilities,6800000,- -,900000,1000000,2000000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258906,122000,- -,70000,- -,6551916,1776000,1341000,1591000,1815000,536000,83000,146000,38000,1837000,1075000,271000
58,Total Non-Current Liabilities,9200000,6600000,3100000,3200000,4200000,4300000,3100000,3200000,5800000,5700000,2200000,1900000,700000,900000,117761,308390,7005000,2175000,633906,5829435,2258906,70000,375183,7513189,3222000,17689000,15087000,8942000,1615000,758000,5785000,11596000,17841000,8306000,712000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235000,1020000,86000,86000,39000,26000,2595000,1801000,- -
61,Total Liabilities,12500000,11000000,7800000,8800000,6900000,6900000,5600000,8000000,10000000,8700000,3700000,4100000,2700000,3043873,2121568,4622080,14766506,8165562,8800662,12317946,12882991,6897406,7102869,20821126,15706000,32328000,37539000,30991000,15894000,13613000,17855000,24841000,36677000,25057000,15674000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86,74,74,64,63,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,135881,152418,264181,337048,364101,369312,372908,392392,454034,457467,543837,547000,110000,111000,157000,159000,163000,167000,171000,196000,236000,253000
64,Retained Earnings,-17100000,-22300000,-25800000,-28100000,-33200000,-29400000,-30200000,-29300000,-34600000,-40600000,-41500000,-44800000,-48800000,-51649149,-54269920,-63688210,-71886618,-72714881,-77473369,-84111327,-85649859,-81293670,-83261294,-89485257,-127072000,-136446000,-144054000,-145063000,-177510000,-187609000,-201865000,-210774000,-224325000,-241935000,-253180000
65,Other Comprehensive Income/Loss,-800000,-1300000,-1900000,-2600000,-3300000,-4200000,-5100000,-6400000,-7800000,-9400000,-1300000,-1700000,-2100000,-2398553,-1118685,-579545,-717635,-944121,-1523724,-2269139,-2369590,-2714706,-2661083,-2851607,-3184000,-3627000,-4265000,-4861000,-5475000,-6538000,-5889000,-6214000,-6510000,- -,- -
66,Other Total Stockholders Equity,14400000,31500000,43000000,43800000,44700000,46300000,47800000,49300000,50900000,54100000,46200000,48800000,53800000,56813876,57275744,85458764,120162761,130265372,131354890,133979222,136474744,149846667,151773552,165003043,165764000,167628000,169585000,212546000,215572000,219022000,221863000,223713000,235710000,272224000,299444000
67,Total Stockholders Equity,-3500000,7900000,15300000,13100000,8200000,12700000,12500000,13600000,8500000,4100000,3400000,2300000,3000000,2902055,2039557,21455276,47895630,56970545,52727173,47971727,48847687,66292325,66308642,73210016,36055000,27665000,21377000,62779000,32746000,25038000,14276000,6896000,5071000,30525000,46517000
68,Total Liabilities And Stockholders Equity,9000000,18900000,23100000,21900000,15100000,19600000,18100000,21600000,18500000,12800000,7100000,6400000,5700000,5945928,4161125,26077356,62662136,65136107,61527835,60289673,61730678,73189731,73411511,94031142,51761000,59993000,58916000,93770000,48640000,38651000,32131000,31737000,41748000,55582000,62191000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9000000,18900000,23100000,21900000,15100000,19600000,18100000,21600000,18500000,12800000,7100000,6400000,5700000,5945928,4161125,26077356,62662136,65136107,61527835,60289673,61730678,73189731,73411511,94031142,51761000,59993000,58916000,93770000,48640000,38651000,32131000,31737000,41748000,55582000,62191000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749660/000089155401501470/0000891554-01-501470-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749660/000114420406013278/0001144204-06-013278-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000114420407014175/0001144204-07-014175-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000114420408015886/0001144204-08-015886-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000114420409012664/0001144204-09-012664-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000095012310027293/0000950123-10-027293-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000114420411018493/0001144204-11-018493-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312512104800/0001193125-12-104800-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312513079600/0001193125-13-079600-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312514078096/0001193125-14-078096-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312515089682/0001193125-15-089682-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312516501542/0001193125-16-501542-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312517095536/0001193125-17-095536-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312518103266/0001193125-18-103266-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312519092896/0001193125-19-092896-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312520070296/0001193125-20-070296-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312521081487/0001193125-21-081487-index.htm,https://www.sec.gov/Archives/edgar/data/749660/000119312522086983/0001193125-22-086983-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-5300000,-3500000,-2300000,-5000000,3800000,-800000,900000,-5300000,-6100000,-800000,-3400000,-4000000,-1827648,-2620771,-9418290,-8198408,-828263,-4758488,-6637958,-1538532,4356189,-1967624,-6223963,-37587000,-9374000,-7608000,-1009000,-32447000,-10099000,-14256000,-9017000,-13551000,-17610000,-11244000
74,Depreciation and Amortization,- -,600000,1800000,2000000,700000,1200000,1300000,1600000,2000000,2200000,1300000,700000,600000,623700,486139,389881,667893,1338695,1631944,1664755,1701877,1840962,1921207,1642432,3171000,2795000,2430000,3526000,3348000,2305000,1489000,708000,674000,577000,230000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,8000,-12000,1000,1000,1000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1993935,1516029,904000,996000,1202000,1318000,2135000,2307000,3656000,1505000,1169000,2844000,2783000
77,Change in Working Capital,- -,- -,4100000,-200000,-3800000,4200000,-2100000,800000,-2200000,-3200000,-2900000,-1200000,-100000,438143,-1355348,-2779820,4550522,4945529,-5208927,979690,-1743115,11361733,2012157,-5280724,-11794840,8269000,-7303000,22976000,-9079000,-6410000,2061000,-1164000,2385000,15191000,9793000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,877709,1914472,-614000,-976000,-2678000,-840000,1772000,2201000,-3474000,2003000,-3478000,-302000,969000
79,Inventory,- -,- -,- -,-2000000,3500000,-800000,-1500000,-600000,-2000000,1100000,500000,600000,300000,206310,79913,2207149,-275657,1109836,-1503661,-514528,1233752,349870,354258,277756,1449000,-79000,228000,-323000,-1987000,596000,554000,536000,-1024000,-533000,-1027000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-823535,125250,-1375000,815000,60000,150000,-557000,-16000,-215000,-209000,836000,878000,-90000
81,Other Working Capital,- -,9100000,13200000,13000000,9200000,13400000,11300000,12100000,9900000,6700000,3800000,2600000,2500000,2938143,1582795,-1197025,3353497,8299026,3090099,4069789,2326674,13688407,15700564,10419840,-1375000,6894000,-409000,22567000,13488000,7078000,9139000,7975000,10360000,25551000,35344000
82,Other Non-Cash Items,- -,4700000,-2400000,-4300000,7600000,-8300000,6000000,-2600000,4300000,6100000,6700000,1800000,2500000,191479,2113190,9552520,-1686565,-7405999,7038887,-417489,2154339,-7780953,-516815,8553554,35164840,-6890000,9846000,-23607000,34143000,6412000,-295000,4113000,2215000,-7988000,-10971000
83,Cash Provided by Operating Activities,- -,- -,- -,-4800000,-500000,900000,4400000,700000,-1200000,-1000000,4300000,-2100000,-1000000,-574326,-1376790,-2255709,-4666558,-1950038,-1296584,-4411002,574569,9777931,3442860,207328,-10142000,-4204000,-1433000,3204000,-1900000,-5478000,-7337000,-3867000,-7107000,-6985000,-9408000
84,CAPEX,- -,- -,- -,-500000,-500000,-1800000,-1400000,-1300000,-1200000,-600000,-500000,-300000,-200000,-111773,-85582,-150062,-364225,-347680,-1056405,-1175860,-714341,-620941,-311468,-350195,-276000,-735000,-707000,-1264000,-972000,-349000,-395000,-316000,-306000,-474000,-563000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1103969,-123512,- -,- -,- -,-2000000,- -,-24244,- -,- -,- -,-3482000,-1700000,-6000,- -,- -,- -,- -,- -
