,https://roic.ai/company/ERII,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0403,-0.1119,- -,0.1805,0.2750,0.2628,0.1310,-0.1141,-0.8965,-0.1998,-0.0646,-0.6052,-0.2678,0.0118,0.0626,0.1535,0.1410,0.2701,0.1348
22,Income Tax expense (Gain),-11000,53000,- -,1239000,3947000,5032000,2472000,-1626000,1299000,-262000,327000,291000,-334000,-390000,-8394000,-10653000,1343000,5746000,-265000
23,Net Income,174000,-506000,894000,2382000,5793000,8663000,3686000,-3608000,-26443000,-8254000,-3106000,-18705000,-11638000,1034000,12350000,22093000,10913000,26387000,14269000
24,Net Income ratio,0.0430,-0.1250,0.0836,0.1188,0.1636,0.1662,0.0784,-0.0787,-0.9428,-0.1936,-0.0722,-0.6148,-0.2603,0.0189,0.1955,0.2965,0.1255,0.2218,0.1373
25,EPS,0.01,-0.02,0.02,0.06,0.15,0.19,0.07,-0.07,-0.50,-0.16,-0.06,-0.36,-0.22,0.02,0.23,0.41,0.20,0.47,0.25
26,EPS Diluted,0.01,-0.02,0.02,0.06,0.14,0.18,0.07,-0.07,-0.50,-0.16,-0.06,-0.36,-0.22,0.02,0.22,0.40,0.19,0.47,0.24
27,Weighted Average Shares Outstanding,30279000,32161000,36790000,38018000,39060000,44848000,50166000,52072000,52612000,51452000,51066000,51675000,52151000,52341000,53701000,53764000,54740000,55709000,57026000
28,Weighted Average Shares Outstanding Diluted,32936000,32161000,38454000,40244000,41433000,47392000,52644000,52072000,52612000,51452000,51066000,51675000,52151000,55451000,55612000,55338000,56067000,56637000,58709000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421517/000089161809000110/0000891618-09-000110-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000095012310024776/0000950123-10-024776-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000095012311025334/f58556e10vk.htm,https://www.sec.gov/Archives/edgar/data/1421517/000143774912002253/0001437749-12-002253-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000143774913002691/0001437749-13-002691-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000143774914003865/erii20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1421517/000143774915004231/erii20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1421517/000143774916026759/0001437749-16-026759-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000143774917004189/0001437749-17-004189-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151718000049/0001421517-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151719000026/0001421517-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151720000011/0001421517-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151721000019/0001421517-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1421517/000142151722000037/0001421517-22-000037-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,42000,240000,79287000,59115000,55338000,18507000,16642000,14371000,15501000,99931000,61364000,27780000,21955000,26387000,94255000,74358000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,11706000,9497000,5856000,13072000,257000,39073000,70020000,73338000,58736000,20446000,31332000
33,Cash and Short-Term Investments,- -,- -,- -,42000,240000,79287000,59115000,55338000,30213000,26139000,20227000,28573000,100188000,100437000,97800000,95293000,85123000,114701000,105690000
34,Net Receivables,- -,- -,- -,6764000,14602000,25563000,18227000,11927000,7557000,18400000,20827000,12396000,13473000,14046000,19315000,15253000,13480000,11792000,21108000
35,Inventory,- -,- -,- -,2888000,4791000,8493000,10359000,9772000,7824000,5135000,4955000,8204000,6503000,4550000,5514000,7138000,10317000,11748000,20383000
36,Other Current Assets,- -,- -,- -,1440000,1787000,2985000,8478000,11161000,11076000,11185000,5864000,4068000,3367000,3336000,3567000,1964000,4047000,4950000,4582000
37,Total Current Assets,- -,- -,- -,11134000,21420000,116328000,96179000,88198000,56670000,60859000,51873000,53241000,123531000,122369000,126196000,119648000,112967000,143191000,151763000
38,PP&E,- -,- -,- -,1056000,1671000,1845000,16958000,22314000,16170000,15967000,13904000,13211000,10622000,8643000,13393000,26808000,30038000,36266000,35014000
39,Goodwill,- -,- -,- -,- -,- -,- -,12790000,12790000,12790000,12790000,12790000,12790000,12790000,12790000,12790000,12790000,12790000,12790000,12790000
40,Intangible Assets,- -,- -,- -,312000,345000,321000,10987000,8352000,6991000,4929000,4008000,3166000,2531000,1900000,1269000,640000,65000,49000,37000
41,Intangible Assets,- -,- -,- -,312000,345000,321000,23777000,21142000,19781000,17719000,16798000,15956000,15321000,14690000,14059000,13430000,12855000,12839000,12827000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,11198000,4773000,13694000,267000,- -,- -,- -,1269000,15419000,- -,2298000
43,Tax Assets,- -,- -,- -,183000,148000,119000,447000,- -,- -,- -,- -,- -,- -,1270000,7902000,18318000,16897000,11030000,11421000
44,Other Non-Current Assets,- -,- -,- -,854000,3720000,1999000,5608000,2263000,6894000,5236000,5666000,3266000,2325000,2091000,194000,368000,598000,988000,367000
45,Total Non-Current Assets,- -,- -,- -,2405000,5884000,4284000,46790000,45719000,54043000,43695000,50062000,32700000,28268000,26694000,35548000,60193000,75807000,61123000,61927000
46,Other Assets,2445000,3054000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2445000,3054000,- -,13539000,27304000,120612000,142969000,133917000,110713000,104554000,101935000,85941000,151799000,149063000,161744000,179841000,188774000,204314000,213690000
48,Accounts Payable,- -,- -,- -,1114000,1697000,2270000,1952000,1429000,1506000,2154000,1209000,1817000,1865000,1505000,4091000,1439000,1192000,1118000,909000
49,Short-Term Debt,- -,- -,- -,531000,210000,209000,468000,288000,167000,18000,- -,- -,10000,11000,11000,926000,1023000,1243000,1564000
50,Tax Payable,- -,- -,- -,- -,- -,- -,350000,13000,21000,39000,22000,4000,2000,16000,432000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,145000,488000,4000000,4628000,2341000,859000,918000,779000,519000,5878000,7270000,6416000,16270000,15746000,1552000,3318000
52,Other Current Liabilities,- -,- -,- -,3388000,4228000,6714000,10447000,6289000,7347000,9766000,8694000,9186000,8271000,8372000,9315000,8497000,9869000,11816000,13994000
53,Total Current Liabilities,- -,- -,- -,5178000,6623000,13193000,17495000,10347000,9879000,12856000,10682000,11522000,16024000,17158000,19833000,27132000,27830000,15729000,19785000
54,Long-Term Debt,- -,- -,- -,133000,557000,385000,246000,85000,- -,- -,- -,- -,38000,27000,16000,- -,11533000,16443000,14879000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,261000,411000,130000,59000,69000000,63958000,59006000,26539000,13120000,88000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,317000,1516000,1706000,2131000,1989000,2360000,2233000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,101000,63000,35000,4259000,2368000,2103000,2200000,2077000,2453000,718000,554000,358000,12792000,278000,430000,247000
58,Total Non-Current Liabilities,- -,- -,- -,234000,620000,420000,4505000,2770000,3880000,4317000,4338000,4501000,72116000,66772000,59380000,39331000,24931000,16961000,15126000
59,Other Liabilities,1210000,2061000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,101000,63000,27000,572000,304000,100000,18000,- -,- -,- -,- -,- -,13482000,12556000,17686000,16443000
61,Total Liabilities,1210000,2061000,- -,5412000,7243000,13613000,22000000,13117000,13759000,17173000,15020000,16023000,88140000,83930000,79213000,66463000,52761000,32690000,34911000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,38000,40000,50000,51000,53000,53000,53000,53000,54000,55000,57000,58000,59000,61000,62000,64000
64,Retained Earnings,- -,- -,- -,-5694000,99000,8762000,12448000,8840000,-17603000,-25857000,-28963000,-47668000,-59306000,-58272000,-45922000,-14466000,-3553000,22834000,37103000
65,Other Comprehensive Income/Loss,- -,- -,- -,-736000,-840000,-340000,-66000,-80000,-92000,-79000,-107000,-73000,-64000,-118000,-125000,-133000,-37000,53000,-149000
66,Other Total Stockholders Equity,1235000,993000,- -,14519000,20762000,98527000,108536000,111987000,114596000,113264000,115932000,117605000,122974000,123466000,128520000,127918000,139542000,148675000,141761000
67,Total Stockholders Equity,1235000,993000,- -,8127000,20061000,106999000,120969000,120800000,96954000,87381000,86915000,69918000,63659000,65133000,82531000,113378000,136013000,171624000,178779000
68,Total Liabilities And Stockholders Equity,2445000,3054000,- -,13539000,27304000,120612000,142969000,133917000,110713000,104554000,101935000,85941000,151799000,149063000,161744000,179841000,188774000,204314000,213690000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2445000,3054000,- -,13539000,27304000,120612000,142969000,133917000,110713000,104554000,101935000,85941000,151799000,149063000,161744000,179841000,188774000,204314000,213690000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1421517/000089161809000110/0000891618-09-000110-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000095012310024776/0000950123-10-024776-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000095012311025334/f58556e10vk.htm,https://www.sec.gov/Archives/edgar/data/1421517/000143774912002253/0001437749-12-002253-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000143774913002691/0001437749-13-002691-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000143774914003865/erii20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1421517/000143774915004231/erii20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1421517/000143774916026759/0001437749-16-026759-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000143774917004189/0001437749-17-004189-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151718000049/0001421517-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151719000026/0001421517-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151720000011/0001421517-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151721000019/0001421517-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1421517/000142151722000037/0001421517-22-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,2382000,5793000,8663000,3686000,-3608000,-26443000,-8254000,-3106000,-18705000,-11638000,1034000,12350000,22093000,10913000,26387000,14269000
74,Depreciation and Amortization,- -,- -,- -,231000,323000,522000,1183000,5204000,4791000,3802000,3797000,4028000,3838000,3680000,3666000,3869000,4395000,5299000,5939000
75,Deferred Income Tax,- -,- -,- -,-859000,-341000,-674000,- -,- -,2836000,150000,227000,273000,-326000,-459000,-8865000,-10385000,1421000,5867000,-391000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,2409000,2774000,2544000,2615000,2177000,2104000,4059000,3263000,4087000,5240000,5676000,4787000,6053000
77,Change in Working Capital,- -,- -,- -,-2140000,8841000,88338000,-24451000,-833000,-31060000,1212000,-6812000,528000,65788000,-2296000,1152000,-13847000,-17696000,-28587000,-13869000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,8961000,3106000,2942000,-6779000,-2042000,4002000,-743000,-244000,-761000,1917000,-2679000,1098000,-8823000
79,Inventory,- -,- -,- -,-960000,-1950000,-3728000,1883000,-506000,950000,1832000,-117000,-3569000,1951000,2287000,-1250000,-1872000,-3256000,-1622000,-8766000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-1716000,-140000,108000,583000,-866000,628000,48000,-360000,2118000,-2274000,-373000,-205000,-155000
81,Other Working Capital,- -,- -,- -,5956000,14797000,103135000,78684000,77851000,46791000,48003000,41191000,41719000,107507000,105211000,106363000,92516000,-13943000,-27237000,1766000
82,Other Non-Cash Items,- -,- -,- -,1208000,-17445000,-95485000,29990000,-1839000,39076000,-3957000,5805000,8057000,7334000,-257000,-9495000,595000,559000,3117000,1525000
83,Cash Provided by Operating Activities,- -,- -,- -,822000,-2829000,1364000,12817000,1698000,-8256000,-4432000,2088000,-3715000,69055000,4965000,2895000,7565000,5268000,16870000,13526000
84,CAPEX,- -,- -,- -,-328000,-918000,-667000,-7687000,-9527000,-1966000,-2810000,-1132000,-2562000,-572000,-1112000,-7376000,-5235000,-7382000,-6785000,-6679000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-13640000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-23037000,-4961000,-15278000,-273000,- -,-46552000,-80641000,-86192000,-85207000,-12855000,-48903000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,3946000,- -,13116000,9573000,6027000,12925000,7535000,49106000,81268000,85708000,66240000,35019000
88,Other Investing Activites,- -,- -,- -,-183000,-1127000,1317000,-18254000,-9491000,-5235000,-1492000,853000,744000,1093000,-1689000,-5838000,-5235000,-7382000,-6785000,-6679000
89,Cash Used for Investing Activites,- -,- -,- -,-511000,-2045000,650000,-31894000,-5545000,-28272000,6663000,-4852000,6498000,14018000,-40706000,-37373000,-10159000,-6881000,46600000,-20563000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1933000,-566000,-332000,-167000,-18000,- -,-7000,-10000,-11000,-27000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,5000,5118000,76707000,384000,557000,49000,30000,504000,2405000,1326000,6600000,5508000,4291000,6073000,4397000,10554000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,-2835000,- -,-9375000,-4276000,-10000000,- -,- -,-23346000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-535000,-41000,365000,484000,130000,16000,24000,- -,-1375000,55000,- -,-270000,-150000,-110000,-23000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-530000,5077000,77072000,-1065000,121000,-267000,-4113000,486000,-1805000,1374000,-2785000,951000,-5886000,5963000,4374000,-12792000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-5000,-39000,-30000,-51000,-36000,17000,7000,152000,-17000,-41000,-57000,-8000,- -,26000,-68000
97,Net Change In Cash,- -,- -,- -,-219000,198000,79047000,-20172000,-3777000,-36831000,-1865000,-2271000,1130000,84430000,-38567000,-33584000,-8488000,4350000,67870000,-19897000
98,Cash at the End of Period,- -,- -,- -,42000,240000,79287000,59115000,55338000,18507000,16642000,14371000,15501000,99931000,61364000,27780000,22138000,26488000,94358000,74461000
99,Cash at the Beginning of Period,- -,- -,- -,261000,42000,240000,79287000,59115000,55338000,18507000,16642000,14371000,15501000,99931000,61364000,30626000,22138000,26488000,94358000
100,Free Cash Flow,- -,- -,- -,494000,-3747000,697000,5130000,-7829000,-10222000,-7242000,956000,-6277000,68483000,3853000,-4481000,2330000,-2114000,10085000,6847000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1421517/000089161809000110/0000891618-09-000110-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000095012310024776/0000950123-10-024776-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000095012311025334/f58556e10vk.htm,https://www.sec.gov/Archives/edgar/data/1421517/000143774912002253/0001437749-12-002253-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000143774913002691/0001437749-13-002691-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000143774914003865/erii20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1421517/000143774915004231/erii20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1421517/000143774916026759/0001437749-16-026759-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000143774917004189/0001437749-17-004189-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151718000049/0001421517-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151719000026/0001421517-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151720000011/0001421517-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1421517/000142151721000019/0001421517-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1421517/000142151722000037/0001421517-22-000037-index.htm
102,false,,,,,,,,,,,,,,,,,,,
