,https://roic.ai/company/SYK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1486,0.1528,0.1485,0.1456,0.1651,0.1611,0.1787,0.1851,0.2015,0.2113,0.2094,0.2207,0.2332,0.0885,0.0916,0.2199,0.2202,0.2300,0.2433,0.2271,0.2655,0.2656,0.2945,0.3007,0.2989,0.2923,0.2650,0.2289,0.1684,0.1590,0.2144,0.2178,0.2174,0.2264,0.2244,0.1927,0.1912
17,Operating Income,14600000,18300000,22000000,26400000,31700000,35700000,51500000,73700000,91900000,120500000,157300000,134200000,183900000,188800000,-118400000,358000000,472000000,547500000,680300000,720400000,998800000,1074300000,1307300000,1519000000,1594400000,1751400000,1686000000,1741000000,1256000000,1246000000,1861000000,2166000000,2290000000,2537000000,2713000000,2223000000,2584000000
18,Operating Income ratio,0.1437,0.1511,0.1485,0.1478,0.1403,0.1272,0.1412,0.1545,0.1649,0.1767,0.1804,0.1475,0.1876,0.1711,-0.0563,0.1564,0.1814,0.1818,0.1877,0.1690,0.2050,0.1987,0.2179,0.2261,0.2372,0.2393,0.2030,0.2011,0.1392,0.1288,0.1871,0.1913,0.1840,0.1865,0.1823,0.1549,0.1510
19,Total Other Income Expenses (Gains),500000,200000,- -,-400000,-700000,2400000,1900000,3200000,4200000,2700000,-3400000,32000000,11400000,-128800000,148200000,-23100000,-66300000,-40800000,-27800000,-3400000,4500000,29500000,62800000,61200000,29500000,-21800000,- -,-36000000,-44000000,-86000000,-126000000,-245000000,-227000000,-181000000,-151000000,-269000000,-303000000
20,Income Before Tax,15100000,18500000,22000000,26000000,31000000,38100000,53400000,76900000,96100000,123200000,153900000,166200000,195300000,60000000,29800000,334900000,405700000,506700000,652500000,717000000,1003300000,1103800000,1370100000,1580200000,1623900000,1729600000,1686000000,1705000000,1212000000,1160000000,1735000000,1921000000,2063000000,2356000000,2562000000,1954000000,2281000000
21,Income Before Tax Ratio,0.1486,0.1528,0.1485,0.1456,0.1372,0.1358,0.1464,0.1612,0.1724,0.1807,0.1765,0.1826,0.1993,0.0544,0.0142,0.1463,0.1559,0.1682,0.1800,0.1682,0.2060,0.2042,0.2283,0.2352,0.2415,0.2363,0.2030,0.1970,0.1344,0.1199,0.1744,0.1696,0.1658,0.1732,0.1721,0.1362,0.1333
22,Income Tax expense (Gain),6700000,8400000,9300000,10100000,11800000,14500000,20300000,29200000,35900000,50800000,66900000,61700000,70000000,20400000,10400000,113900000,133900000,161100000,199000000,251300000,328100000,326100000,383400000,432400000,516500000,456200000,341000000,407000000,206000000,645000000,296000000,274000000,1043000000,-1197000000,479000000,355000000,287000000
23,Net Income,8400000,10100000,12700000,15900000,19200000,23600000,33100000,47700000,60200000,72400000,87000000,104500000,125300000,39600000,19400000,221000000,267000000,345600000,453500000,465700000,675200000,777700000,1017400000,1147800000,1107400000,1273400000,1345000000,1298000000,1006000000,515000000,1439000000,1647000000,1020000000,3553000000,2083000000,1599000000,1994000000
24,Net Income ratio,0.0827,0.0834,0.0858,0.0890,0.0850,0.0841,0.0907,0.1000,0.1080,0.1062,0.0998,0.1148,0.1278,0.0359,0.0092,0.0965,0.1026,0.1148,0.1251,0.1093,0.1386,0.1439,0.1696,0.1708,0.1647,0.1740,0.1619,0.1499,0.1115,0.0532,0.1447,0.1454,0.0820,0.2612,0.1399,0.1114,0.1166
25,EPS,0.03,0.03,0.04,0.04,0.05,0.07,0.09,0.13,0.15,0.19,0.23,0.27,0.33,0.10,0.05,0.56,0.68,0.88,1.14,1.16,1.67,1.91,2.48,2.81,2.79,3.21,3.48,3.41,2.66,1.36,3.82,4.40,2.73,9.50,5.57,4.26,5.31
26,EPS Diluted,0.03,0.03,0.04,0.04,0.05,0.07,0.09,0.13,0.15,0.19,0.23,0.27,0.32,0.10,0.05,0.55,0.66,0.85,1.11,1.14,1.64,1.89,2.44,2.78,2.77,3.19,3.45,3.39,2.63,1.34,3.78,4.35,2.68,9.34,5.48,4.20,5.24
27,Weighted Average Shares Outstanding,336000000,336666667,362857143,353333333,384000000,363076923,367777778,381600000,388387097,386936000,387744000,387352000,385538462,386341463,388000000,391150442,392647059,394971429,397807018,401465517,404311377,407172775,410241935,408100000,397400000,396400000,386500000,380600000,378600000,378500000,376600000,374100000,374000000,374100000,374000000,375500000,375500000
28,Weighted Average Shares Outstanding Diluted,336000000,336666667,362857143,353333333,384000000,363076923,389411765,381600000,388387097,386936000,387744000,387894737,391562500,396000000,388000000,401818182,404545455,406588235,406726457,408508772,411707317,411481481,416967213,413600000,399400000,399500000,389500000,383000000,382100000,382800000,380900000,378500000,380100000,380300000,379900000,380300000,380300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310764/000031076495000004/0000310764-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076496000004/0000310764-96-000004-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310764/000031076402000013/0000310764-02-000013-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076403000008/syk10k02.htm,https://www.sec.gov/Archives/edgar/data/310764/000123933804000002/syk10k03.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076405000008/syk10k04.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076406000040/syk10k05.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076407000062/syk10k06.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076408000047/syk10k07.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076409000035/0000310764-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/310764/000119312510042997/0001193125-10-042997-index.html,https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/d10k.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/0000310764-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076413000054/0000310764-13-000054-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/syk10k12312013.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/syk10k12312014.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076416000226/0000310764-16-000226-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076417000034/0000310764-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076418000031/0000310764-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076419000014/0000310764-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076420000014/0000310764-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076421000027/0000310764-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076422000028/0000310764-22-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,116800000,69000000,175700000,154000000,125000000,80000000,54000000,50100000,37800000,65900000,349400000,491200000,416600000,290500000,701100000,658700000,1757600000,905000000,1395000000,1339000000,1795000000,3379000000,3316000000,2542000000,3616000000,4337000000,2943000000,2944000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,- -,- -,- -,- -,- -,565300000,998200000,2120300000,1494500000,2296100000,2622500000,2513000000,2890000000,2641000000,3205000000,700000000,68000000,251000000,83000000,88000000,81000000,75000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,116800000,69000000,175700000,154000000,125000000,83500000,54000000,50100000,37800000,65900000,349400000,1056500000,1414800000,2410800000,2195600000,2954800000,4380100000,3418000000,4285000000,3980000000,5000000000,4079000000,3384000000,2793000000,3699000000,4425000000,3024000000,3019000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,154600000,163600000,166100000,176200000,425600000,377700000,343700000,332100000,406700000,498600000,751100000,770300000,907000000,1030700000,1129500000,1147100000,1251900000,1417000000,1430000000,1518000000,1572000000,1662000000,1967000000,2198000000,2332000000,2893000000,2701000000,3022000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,115800000,133600000,127400000,136200000,554000000,386100000,392100000,399800000,426500000,467900000,552500000,563500000,677600000,796200000,952700000,943000000,1056800000,1283000000,1265000000,1422000000,1588000000,1639000000,2030000000,2465000000,2955000000,3282000000,3494000000,3314000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,153300000,257100000,284300000,290200000,207200000,263100000,207200000,211100000,280300000,365200000,489600000,479800000,534900000,667200000,701500000,806300000,942600000,1093000000,1168000000,1415000000,1513000000,564000000,480000000,537000000,747000000,760000000,488000000,662000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,540500000,623300000,753500000,756600000,1311800000,1110400000,997000000,993100000,1151300000,1397600000,2142600000,2870100000,3534300000,4904900000,4979300000,5851200000,7631400000,7211000000,8148000000,8335000000,9673000000,7944000000,7861000000,7993000000,9733000000,11360000000,9707000000,10017000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,180700000,182600000,172300000,163900000,429500000,391500000,378100000,444000000,519200000,604700000,700500000,831000000,951700000,991600000,963800000,947600000,798300000,888000000,948000000,1081000000,1098000000,1199000000,1569000000,1975000000,2291000000,2567000000,2752000000,2833000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460000000,- -,- -,- -,531300000,527400000,567500000,956800000,1072300000,2072000000,2142000000,3844000000,4186000000,4136000000,6356000000,7168000000,8563000000,9069000000,12778000000,12918000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17300000,18200000,45400000,46100000,897900000,898900000,839300000,802300000,475100000,965500000,963200000,922900000,405700000,398100000,368000000,634700000,703000000,1442000000,1424000000,1989000000,2018000000,1794000000,3508000000,3477000000,4163000000,4227000000,5554000000,4840000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17300000,18200000,45400000,46100000,897900000,898900000,839300000,802300000,935100000,965500000,963200000,922900000,937000000,925500000,935500000,1591500000,1775300000,3514000000,3566000000,5833000000,6204000000,5930000000,9864000000,10645000000,12726000000,13296000000,18332000000,17758000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275200000,285400000,290500000,318000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,60400000,61800000,26100000,38600000,42700000,118600000,171800000,212200000,258900000,248300000,317000000,- -,- -,- -,- -,- -,- -,1678000000,1575000000,1530000000,1760000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,29500000,30800000,22300000,18500000,246700000,179700000,132400000,123800000,148100000,165200000,238900000,277400000,332200000,360200000,237300000,136700000,151300000,157000000,544000000,494000000,738000000,1174000000,1141000000,1584000000,801000000,1369000000,2009000000,2263000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,227500000,231600000,240000000,228500000,1574100000,1470100000,1433800000,1430500000,1664200000,1761500000,1941200000,2074000000,2339500000,2449100000,2624000000,3220100000,3263700000,5194000000,5058000000,7408000000,8040000000,8303000000,12574000000,14204000000,17496000000,18807000000,24623000000,24614000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,768000000,854900000,993500000,985100000,2885900000,2580500000,2430800000,2423600000,2815500000,3159100000,4083800000,4944100000,5873800000,7354000000,7603300000,9071300000,10895100000,12405000000,13206000000,15743000000,17713000000,16247000000,20435000000,22197000000,27229000000,30167000000,34330000000,34631000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,50400000,49000000,62400000,55000000,162400000,110400000,94100000,108500000,106000000,137800000,214500000,206500000,252200000,265500000,274300000,200200000,291700000,345000000,288000000,314000000,329000000,410000000,437000000,487000000,646000000,675000000,810000000,1129000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,3100000,4400000,73600000,15000000,106300000,136000000,1700000,10700000,7300000,9300000,47400000,14800000,16800000,20500000,18000000,25300000,17000000,16000000,25000000,727000000,769000000,228000000,632000000,1373000000,859000000,761000000,7000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,134700000,47400000,116000000,70000000,131000000,333000000,141000000,40000000,143000000,158000000,171000000,207000000,192000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,123200000,122300000,184900000,174400000,522100000,452900000,387300000,423200000,590800000,705400000,889700000,994900000,1084500000,1050700000,1167300000,1222800000,1288000000,1466000000,1572000000,2318000000,3408000000,2324000000,2483000000,2366000000,2788000000,2866000000,3470000000,3413000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,179200000,174400000,251700000,303000000,699500000,669600000,617400000,533400000,707500000,850500000,1113500000,1248800000,1351500000,1333000000,1462100000,1441000000,1605000000,1828000000,1876000000,2657000000,4464000000,3503000000,3148000000,3485000000,4807000000,4400000000,5041000000,4549000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,95300000,97000000,89500000,4400000,1488000000,1181100000,876500000,720900000,491000000,18800000,700000,184200000,- -,- -,- -,- -,996500000,1751000000,1746000000,2739000000,3246000000,3253000000,6686000000,6590000000,8486000000,10231000000,13230000000,12472000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,35200000,24200000,36000000,29200000,29600000,58300000,82000000,113100000,118800000,135000000,217600000,259300000,331300000,642500000,734500000,1035200000,1120000000,1143000000,987000000,1300000000,1408000000,980000000,1051000000,2142000000,2206000000,2729000000,2975000000,2733000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,130500000,121200000,125500000,33600000,1517600000,1239400000,958500000,834000000,609800000,153800000,218300000,443500000,331300000,642500000,734500000,1035200000,2116500000,2894000000,2733000000,4039000000,4654000000,4233000000,7737000000,8732000000,10692000000,12960000000,16205000000,15205000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,309700000,295600000,377200000,336600000,2217100000,1909000000,1575900000,1367400000,1317300000,1004300000,1331800000,1692300000,1682800000,1975500000,2196600000,2476200000,3721500000,4722000000,4609000000,6696000000,9118000000,7736000000,10885000000,12217000000,15499000000,17360000000,21246000000,19754000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,19600000,19700000,19800000,20000000,40300000,40500000,40800000,41100000,39600000,39800000,39100000,38000000,38000000,38000000,38000000,37000000,37000000,37000000,37000000,37000000,38000000,38000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,336900000,419500000,514300000,612900000,640900000,668100000,873400000,1120700000,1442600000,1868100000,2297600000,2928200000,3490500000,4364700000,4389500000,5397400000,6016900000,6479000000,7332000000,7617000000,7559000000,7792000000,8842000000,8986000000,10765000000,11748000000,12462000000,13480000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90500000,-102900000,-117900000,-136600000,-167700000,-221600000,-277800000,-312900000,-84900000,96600000,196000000,3600000,90600000,260800000,164800000,258000000,153500000,144000000,129000000,232000000,-254000000,-639000000,-761000000,-553000000,-631000000,-606000000,-1157000000,-531000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,111900000,137700000,134000000,136500000,178900000,215300000,239700000,228700000,120700000,170100000,218100000,279500000,569100000,711900000,812800000,899900000,964100000,1022000000,1098000000,1160000000,1252000000,1321000000,1432000000,1496000000,1559000000,1628000000,1741000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,358300000,454300000,530400000,612800000,652100000,671500000,854900000,1056200000,1498200000,2154800000,2752000000,3251800000,4191000000,5378500000,5406700000,6595100000,7173600000,7683000000,8597000000,9047000000,8595000000,8511000000,9550000000,9966000000,11730000000,12807000000,13084000000,14877000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,668000000,749900000,907600000,949400000,2869200000,2580500000,2430800000,2423600000,2815500000,3159100000,4083800000,4944100000,5873800000,7354000000,7603300000,9071300000,10895100000,12405000000,13206000000,15743000000,17713000000,16247000000,20435000000,22183000000,27229000000,30167000000,34330000000,34631000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,105000000,85900000,35700000,16700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,768000000,854900000,993500000,985100000,2885900000,2580500000,2430800000,2423600000,2815500000,3159100000,4083800000,4944100000,5873800000,7354000000,7603300000,9071300000,10895100000,12405000000,13206000000,15743000000,17713000000,16247000000,20435000000,22197000000,27229000000,30167000000,34330000000,34631000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/310764/000031076495000004/0000310764-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076496000004/0000310764-96-000004-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310764/000031076402000013/0000310764-02-000013-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076403000008/syk10k02.htm,https://www.sec.gov/Archives/edgar/data/310764/000123933804000002/syk10k03.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076405000008/syk10k04.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076406000040/syk10k05.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076407000062/syk10k06.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076408000047/syk10k07.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076409000035/0000310764-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/310764/000119312510042997/0001193125-10-042997-index.html,https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/d10k.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/0000310764-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076413000054/0000310764-13-000054-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/syk10k12312013.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/syk10k12312014.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076416000226/0000310764-16-000226-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076417000034/0000310764-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076418000031/0000310764-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076419000014/0000310764-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076420000014/0000310764-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/310764/000031076421000027/0000310764-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/310764/000031076422000028/0000310764-22-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,19200000,23600000,33100000,47700000,60200000,72400000,87000000,104500000,125300000,39600000,19400000,221000000,267000000,345600000,453500000,465700000,675200000,777700000,1017400000,1147800000,1107400000,1273400000,1345000000,1298000000,1006000000,515000000,1439000000,1647000000,1020000000,3553000000,2083000000,1599000000,1994000000
74,Depreciation and Amortization,- -,- -,- -,- -,6300000,7100000,11800000,11400000,16200000,20900000,28700000,34700000,33300000,37600000,162800000,168600000,172000000,186100000,229700000,250900000,289900000,331800000,366600000,387600000,385300000,410200000,481000000,277000000,307000000,378000000,397000000,546000000,642000000,723000000,778000000,812000000,990000000
75,Deferred Income Tax,- -,- -,- -,- -,200000,-1800000,-5900000,-4200000,-2900000,-3800000,2500000,-30700000,2000000,-44400000,-48600000,28700000,29100000,-1800000,-32900000,-65500000,20400000,-27100000,-147100000,-17600000,-72700000,-103800000,-164000000,-39000000,23000000,60000000,87000000,-46000000,36000000,-1582000000,126000000,48000000,-237000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65500000,62300000,68800000,75000000,75000000,76000000,77000000,86000000,97000000,113000000,119000000,127000000,142000000,171000000
