,https://roic.ai/company/PENN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921738/000104746903010559/0001047469-03-010559-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746904007768/0001047469-04-007768-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746905008328/0001047469-05-008328-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746906003479/0001047469-06-003479-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000110465907015382/0001104659-07-015382-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746908002032/0001047469-08-002032-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746909002104/0001047469-09-002104-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746910001487/0001047469-10-001487-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746911001383/0001047469-11-001383-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746912001425/0001047469-12-001425-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746913001483/0001047469-13-001483-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746914001467/0001047469-14-001467-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746915001405/0001047469-15-001405-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746916011168/0001047469-16-011168-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000155837017001016/0001558370-17-001016-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000155837018001376/0001558370-18-001376-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000092173819000011/0000921738-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000092173820000009/0000921738-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000092173821000009/0000921738-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000092173822000011/0000921738-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,5500000,7500000,5600000,21900000,6800000,9400000,23287000,38378000,55121000,106969000,87620000,132620000,168515000,174372000,746278000,713118000,246385000,238440000,260467000,292995000,208673000,237009000,229510000,277953000,479598000,437400000,1853800000,1863000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000000,5500000,7500000,5600000,21900000,6800000,9400000,23287000,38378000,55121000,106969000,87620000,132620000,168515000,174372000,746278000,713118000,246385000,238440000,260467000,292995000,208673000,237009000,229510000,277953000,479598000,437400000,1853800000,1863000000
34,Net Receivables,900000,1300000,1600000,4300000,2300000,3800000,4800000,10341000,19367000,19418000,28304000,40812000,98792000,153829000,56427000,43574000,80166000,44463000,56527000,53720000,52538000,41618000,45186000,61855000,62805000,106837000,88700000,96400000,195000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,600000,400000,700000,1700000,4800000,3500000,3800000,7217000,12361000,19900000,54470000,45771000,74930000,79619000,71904000,116451000,145164000,175105000,120822000,172953000,163328000,135715000,90281000,107900000,60274000,91223000,116700000,134800000,165000000
37,Total Current Assets,2500000,7200000,9800000,11600000,29000000,14100000,18000000,40845000,70106000,94439000,189743000,174203000,306342000,401963000,302703000,906303000,938448000,465953000,415789000,487140000,508861000,386006000,372476000,399265000,401032000,677658000,642800000,2085000000,2223000000
38,PP&E,10100000,12600000,15700000,58700000,103200000,120800000,126900000,288316000,389919000,450886000,740507000,597394000,1059892000,1365871000,1688393000,1812131000,1837504000,1965774000,2277200000,2730797000,497457000,769145000,2980068000,2820383000,2756669000,6868768000,9957500000,9347000000,9435000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,160210000,160506000,603470000,588085000,1848661000,1869444000,2013139000,1598571000,1379961000,1185756000,1180359000,1380689000,492398000,277582000,911942000,989685000,1008097000,1228422000,1270700000,1157100000,2822000000
40,Intangible Assets,2000000,2000000,1900000,21900000,23100000,22400000,21600000,87746000,- -,- -,- -,- -,- -,726126000,777441000,693764000,376954000,415152000,421593000,706477000,359648000,370562000,391442000,435494000,422606000,1856868000,2026500000,1513500000,1872000000
41,Intangible Assets,2000000,2000000,1900000,21900000,23100000,22400000,21600000,87746000,160210000,160506000,603470000,588085000,1848661000,2595570000,2790580000,2292335000,1756915000,1600908000,1601952000,2087166000,852046000,648144000,1303384000,1425179000,1430703000,3085290000,3297200000,2670600000,4694000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,16000000,16000000,14419000,26305000,64120000,174116000,204506000,193331000,179551000,168149000,156176000,148912000,128488000,128300000,266800000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79067000,- -,- -,390943000,80612000,- -,- -,189000000
44,Other Non-Current Assets,3800000,100000,100000,4500000,3600000,3500000,24100000,22993000,59142000,59649000,75879000,283725000,958509000,134678000,169356000,164488000,153444000,366124000,137289000,134448000,132296000,174517000,314675000,173481000,106553000,120196000,168700000,297900000,331000000
45,Total Non-Current Assets,15900000,14700000,17700000,85100000,129900000,146700000,172600000,399055000,609271000,671041000,1419856000,1469204000,3884062000,4112119000,4664329000,4283373000,3774168000,3996926000,4190557000,5156917000,1675130000,1850424000,4766276000,4575219000,4833780000,10283354000,13551700000,12582300000,14649000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18400000,21900000,27500000,96700000,158900000,160800000,190600000,439900000,679377000,765480000,1609599000,1643407000,4190404000,4514082000,4967032000,5189676000,4712616000,4462879000,4606346000,5644057000,2183991000,2236430000,5138752000,4974484000,5234812000,10961012000,14194500000,14667300000,16872000000
48,Accounts Payable,1600000,1400000,1400000,5100000,7400000,6200000,10200000,18436000,18975000,19450000,28155000,13629000,32321000,37928000,28581000,35540000,19850000,17312000,39582000,38268000,22580000,43136000,72816000,35091000,26048000,30551000,40300000,33200000,53000000
49,Short-Term Debt,- -,- -,- -,1600000,200000,200000,5200000,11390000,15141000,18000,124979000,4494000,18567000,40058000,109967000,105281000,86071000,357927000,44559000,81497000,27598000,30853000,92108000,85595000,35612000,62140000,62900000,251700000,383000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,5400000,3800000,4300000,5400000,6200000,5800000,10000000,19464000,57979000,73514000,133904000,159988000,290421000,337685000,355326000,329665000,324335000,316290000,342199000,379854000,311291000,361530000,392850000,415630000,468349000,645745000,802400000,575100000,697000000
53,Total Current Liabilities,7000000,5200000,5700000,12100000,13800000,12200000,25400000,49290000,92095000,92982000,287038000,178111000,341309000,415671000,493874000,470486000,430256000,691529000,426340000,499619000,361469000,435519000,557774000,536316000,530009000,738436000,905600000,860000000,1133000000
54,Long-Term Debt,7800000,300000,100000,46000000,80100000,78100000,86100000,297909000,443768000,375000000,984489000,854415000,2767662000,2789390000,2881470000,2324899000,2248706000,1813196000,1998606000,2649073000,1023194000,1229979000,1618851000,1329939000,1214625000,2350088000,2322200000,10905800000,7265000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000000
56,Deferred Tax Liabilities,100000,800000,900000,10800000,11100000,11500000,12900000,13480000,40249000,50498000,27791000,31806000,259708000,387615000,385089000,334242000,173809000,171418000,201448000,216357000,13912000,- -,107921000,126924000,- -,- -,244600000,126300000,189000000
57,Other Non-Current Liabilities,100000,- -,- -,-100000,- -,- -,-100000,- -,- -,- -,403000,180983000,275182000,243000,85637000,2776000,7769000,8970000,8321000,28079000,27016000,16446000,3532249000,3524625000,3563324000,7141267000,8870200000,119400000,3999000000
58,Total Non-Current Liabilities,8000000,1100000,1000000,56700000,91200000,89600000,98900000,311389000,484017000,425498000,1012683000,1067204000,3302552000,3177248000,3352196000,2661917000,2430284000,1993584000,2208375000,2893509000,1064122000,1246425000,5259021000,4981488000,4777949000,9491355000,11437000000,11151500000,11642000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3564628000,3514080000,3538821000,7148415000,8943300000,8844900000,- -
61,Total Liabilities,15000000,6300000,6700000,68800000,105000000,101800000,124300000,360679000,576112000,518480000,1299721000,1245315000,3643861000,3592919000,3846070000,3132403000,2860540000,2685113000,2634715000,3393128000,1425591000,1681944000,5816795000,5517804000,5307958000,10229791000,12342600000,12011500000,12775000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23100000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,200000,155000,160000,403000,409000,831000,850000,868000,887000,782000,786000,779000,756000,769000,775000,786000,830000,932000,933000,1188000,1200000,1600000,1000000
64,Retained Earnings,3400000,2900000,7900000,13400000,15700000,23200000,30000000,41963000,65721000,96584000,148055000,219539000,340469000,667557000,815678000,662355000,397407000,337940000,583202000,795173000,-130314000,-363388000,-1634591000,-1525281000,-1051818000,-967949000,161600000,-507300000,-86000000
65,Other Comprehensive Income/Loss,-5300000,-5900000,-6700000,-8000000,-11000000,-15700000,-20800000,-31582000,-58063000,-91205000,-152335000,-191416000,1000000,3000000,-16000000,-49000000,-26000000,-8000000,2000000,3000000,-913642000,-1000000,-5000000,-5000000,-1000000,-2378440000,-2685100000,- -,-54000000
66,Other Total Stockholders Equity,5300000,18600000,19600000,22500000,49200000,51500000,56900000,68685000,95447000,241218000,313749000,369138000,204224000,249738000,320397000,1443136000,1480448000,1447047000,1385673000,1451987000,1801581000,918088000,960718000,986029000,978739000,4076427000,4375000000,3138800000,4236000000
67,Total Stockholders Equity,3400000,15600000,20800000,27900000,53900000,59000000,66300000,79221000,103265000,247000000,309878000,398092000,546543000,921163000,1120962000,2057273000,1852641000,1777766000,1971631000,2250929000,758400000,554486000,-678043000,-543320000,-73146000,731226000,1852700000,2656200000,4097000000
68,Total Liabilities And Stockholders Equity,18400000,21900000,27500000,96700000,158900000,160800000,190600000,439900000,679377000,765480000,1609599000,1643407000,4190404000,4514082000,4967032000,5189676000,4713181000,4462879000,4606346000,5644057000,2183991000,2236430000,5138752000,4974484000,5234812000,10961017000,14195300000,14667700000,16872000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-565000,- -,- -,- -,- -,- -,- -,- -,- -,-5000,-800000,-400000,- -
70,Total Liabilities & Equity,18400000,21900000,27500000,96700000,158900000,160800000,190600000,439900000,679377000,765480000,1609599000,1643407000,4190404000,4514082000,4967032000,5189676000,4712616000,4462879000,4606346000,5644057000,2183991000,2236430000,5138752000,4974484000,5234812000,10961012000,14194500000,14667300000,16872000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921738/000104746903010559/0001047469-03-010559-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746904007768/0001047469-04-007768-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746905008328/0001047469-05-008328-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746906003479/0001047469-06-003479-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000110465907015382/0001104659-07-015382-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746908002032/0001047469-08-002032-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746909002104/0001047469-09-002104-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746910001487/0001047469-10-001487-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746911001383/0001047469-11-001383-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746912001425/0001047469-12-001425-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746913001483/0001047469-13-001483-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746914001467/0001047469-14-001467-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746915001405/0001047469-15-001405-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000104746916011168/0001047469-16-011168-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000155837017001016/0001558370-17-001016-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000155837018001376/0001558370-18-001376-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000092173819000011/0000921738-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000092173820000009/0000921738-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000092173821000009/0000921738-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/921738/000092173822000011/0000921738-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,2800000,5000000,5500000,2300000,7500000,6700000,11992000,23758000,30863000,51471000,71484000,120930000,327088000,160053000,-153323000,-264948000,-59467000,242351000,211971000,-794339000,-233195000,686000,109310000,473463000,93519000,43900000,-669500000,420800000
74,Depreciation and Amortization,600000,700000,900000,1400000,4000000,5700000,8700000,13594000,34537000,39749000,73251000,71310000,78224000,135312000,160926000,185258000,194436000,212387000,211476000,245348000,298326000,178981000,259461000,271214000,267062000,268990000,414200000,366700000,344000000
75,Deferred Income Tax,100000,500000,- -,200000,-100000,400000,1000000,1444000,6959000,10454000,31764000,18184000,-28673000,14394000,18265000,-91098000,-146408000,-2204000,21560000,44983000,-224983000,-72278000,57236000,8736000,-517906000,-26680000,21100000,-118300000,-4000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26857000,28360000,25954000,24330000,28609000,22809000,10666000,8223000,6871000,7780000,12034000,14900000,14500000,35000000
77,Change in Working Capital,400000,6500000,2100000,-4600000,15700000,-13300000,-9300000,-1045000,-13544000,23446000,-98752000,93387000,-31059000,21259000,-177463000,626988000,72375000,-733768000,215025000,-1928000,159871000,-196905000,-135785000,48247000,8074000,68199000,-202022000,1487800000,-135000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12853000,-16091000,-1338000,-6064000,1887000,5034000,10046000,710000,-5911000,-9186000,-1731000,27000000,-16500000,-82000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350000,-5292000,477000,397000,1334000,-2175000,2028000,2113000,-7500000,-342000,-6080000,4400000,-6600000,-30000000
81,Other Working Capital,-4500000,2000000,4100000,-500000,15200000,1900000,-7400000,-8445000,-21989000,1457000,-97295000,-3908000,-34967000,-13708000,-191171000,435817000,508192000,-225576000,-10551000,-12479000,147392000,-49513000,-185298000,-137051000,-128977000,-60778000,-262800000,1225000000,1090000000
82,Other Non-Cash Items,200000,-6400000,-2100000,5400000,-11200000,11600000,15400000,16074000,34123000,-3658000,97208000,-58911000,11053000,-216244000,269438000,-174219000,454431000,1050276000,-147377000,-21794000,979118000,532732000,209161000,-39555000,220606000,-63268000,411822000,-742400000,235200000
83,Cash Provided by Operating Activities,2600000,4100000,5900000,7900000,10700000,11900000,22500000,42059000,85833000,100854000,154942000,195454000,150475000,281809000,431219000,420463000,338246000,493178000,567365000,507189000,440802000,220001000,398982000,404823000,459079000,352794000,703900000,338800000,896000000
84,CAPEX,-400000,-2900000,-4000000,-54300000,-47400000,-22300000,-13200000,-27295000,-41511000,-88902000,-57482000,-68957000,-121135000,-408883000,-361155000,-344894000,-289551000,-362955000,-293081000,-472985000,-199913000,-228145000,-249845000,-100310000,-100761000,-174161000,-202300000,-141800000,-244000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1828000000,- -,-265000000,- -,-9000000,-56000000,9000000,-709000000,- -,-119000000,-450000000,-87000000,-129000000,-1365000000,-1371000000,-143400000,-877000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47286000,- -,-63632000,-100398000,- -,- -,- -,- -,- -,- -,- -,-5100000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50602000,- -,- -,- -,6870000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000,3700000,- -,-1500000,-200000,- -,-16600000,-202986000,-174824000,-13531000,-263471000,3553000,-29537000,106542000,14538000,682000,-14710000,-254171000,45677000,-6502000,-221914000,-28391000,-81160000,108022000,8153000,116057000,970900000,-90300000,- -
89,Cash Used for Investing Activites,-600000,800000,-4000000,-55800000,-47600000,-22300000,-29800000,-230281000,-216335000,-102433000,-320953000,-65404000,-1978672000,-302341000,-611617000,-391498000,-262659000,-736758000,-338802000,-1188487000,-414957000,-375536000,-781005000,-79288000,-221608000,-1423104000,-607500000,-233700000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1024643000,-879193000,-396897000,-1941216000,-512144000,-4171128000,-82769000,-180662000,-485590000,-1680410000,-676806000,-523200000,-888500000,- -
91,Common Stock Issued,- -,13000000,200000,1600000,23700000,100000,500000,957000,2932000,106723000,2332000,7816000,10876000,12201000,24911000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1288800000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-152361000,- -,-47058000,-105206000,- -,-649518000,- -,- -,- -,-24796000,-50046000,-24900000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1900000,-13400000,-100000,44400000,29500000,-2300000,9400000,201118000,142661000,-88411000,215127000,-131993000,1862345000,44226000,161344000,1719945000,770446000,220802000,1809914000,1215469000,4827329000,153982000,591021000,152556000,1516178000,1998982000,425700000,909800000,- -
95,Cash Used/Provided by Financing Activities,-1900000,-400000,100000,46000000,53200000,-4600000,9900000,202075000,145593000,18312000,217459000,-124177000,1873221000,56427000,186255000,542941000,-108747000,-223153000,-236508000,703325000,6683000,71213000,410359000,-333034000,-189028000,1272130000,-122400000,1310100000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,400000,180000,104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
