,https://roic.ai/company/SITC,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,10900000,17400000,23600000,25061772,32313000,43180000,52444000,54201000,64493000,78368000,95219000,132647000,170701000,193527000,224375000,246374000,244861000,240573000,245069000,251085000,324129000,419079000,402045000,389519000,346204000,242102000,165087000,170669000,185768000
15,EBITDA,19500000,38600000,49100000,74604007,99835000,121102000,139841000,155034000,156865000,180338000,335480000,403878000,453686000,444310000,485780000,415376000,125520000,305671000,459977000,447847000,545536000,775336000,577890000,668901000,305584000,498703000,351166000,285125000,388636000
16,EBITDA ratio,0.3772,0.4719,0.4521,0.5699,0.5906,0.5308,0.5298,0.5425,0.4868,0.5048,0.7046,0.6743,0.6239,0.5431,0.5141,0.4459,0.1532,0.3806,0.5966,0.5595,0.6138,0.7866,0.5621,0.6650,0.3347,0.7121,0.6925,0.6194,0.7293
17,Operating Income,74800000,115200000,152200000,10944223,18594000,11098000,141819000,150720000,-4753000,1516000,-1354000,270616000,324119000,356112000,402195000,334602000,243288000,248473000,227345000,237773000,235803000,672661000,701407000,692423000,637030000,453752000,308973000,278357000,339556000
18,Operating Income ratio,1.4468,1.4083,1.4015,0.0836,0.1100,0.0486,0.5373,0.5274,-0.0147,0.0042,-0.0028,0.4518,0.4457,0.4353,0.4257,0.3592,0.2969,0.3094,0.2949,0.2971,0.2653,0.6824,0.6823,0.6884,0.6977,0.6479,0.6093,0.6047,0.6372
19,Total Other Income Expenses (Gains),- -,- -,300000,- -,3526000,248000,- -,- -,- -,- -,- -,-86308000,-139860000,-182521000,-212300000,-424541000,-561086000,-394653000,-268883000,-251389000,-231203000,-649699000,-933002000,-702829000,-1028908000,-336785000,-206489000,-240636000,-212590000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184308000,184259000,173591000,189895000,-89939000,-317798000,-146180000,-41538000,-13616000,4600000,22962000,-231595000,-10406000,-391878000,116967000,102484000,37721000,126966000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3077,0.2534,0.2122,0.2010,-0.0966,-0.3879,-0.1820,-0.0539,-0.0170,0.0052,0.0233,-0.2253,-0.0103,-0.4292,0.1670,0.2021,0.0819,0.2383
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1469000,342000,-2481000,-14642000,-17434000,-691000,47992000,1044000,1160000,2713000,1855000,6286000,1781000,12418000,862000,659000,1131000,1550000
23,Net Income,8600000,21200000,25500000,49542235,67522000,77922000,87397000,100833000,92372000,101970000,240261000,269762000,282643000,253264000,276047000,-57776000,-356593000,-209358000,-15854000,-25822000,-10175000,117282000,-72168000,60012000,-241685000,114434000,100699000,35721000,124935000
24,Net Income ratio,0.1663,0.2592,0.2348,0.3785,0.3994,0.3415,0.3311,0.3528,0.2867,0.2854,0.5046,0.4504,0.3887,0.3096,0.2922,-0.0620,-0.4352,-0.2607,-0.0206,-0.0323,-0.0114,0.1190,-0.0702,0.0597,-0.2647,0.1634,0.1986,0.0776,0.2345
25,EPS,0.69,1.21,1.15,1.51,1.86,1.84,1.78,2.36,2.13,2.11,4.16,4.09,3.79,3.28,3.35,-1.50,-5.02,-2.06,-0.40,-0.42,-0.28,0.50,-0.54,0.20,-1.48,0.43,0.33,0.08,0.59
26,EPS Diluted,0.69,1.19,1.15,1.50,1.85,1.77,1.71,2.36,2.11,2.09,4.09,4.04,3.75,3.26,3.34,-1.50,-5.02,-2.06,-0.56,-0.42,-0.28,0.50,-0.54,0.20,-1.48,0.43,0.33,0.08,0.59
27,Weighted Average Shares Outstanding,12554129,17552250,22102019,23479231,28717124,31525891,33694875,31153518,30608174,35517081,45399411,53530467,60087509,60377324,67136603,66478988,79408000,122356000,135139000,321130813,163200000,179050000,180450000,182650000,183681000,184528000,183026000,193336000,211048000
28,Weighted Average Shares Outstanding Diluted,12554129,17818193,22102019,23620673,28857207,32812662,35113607,31153518,30869782,35823262,46199401,54247392,60665274,60710900,67499504,66558868,79408000,122356000,135736000,321130813,163200000,179050000,180450000,182800000,183681000,184535000,183254000,193777000,212191000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894315/000095015202001612/l92528ae10-k.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015203002826/l99103ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015204001932/l05623ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015205002220/l11783ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015206001617/l17858ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015207001346/l24241ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015208001552/l29656ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015209001977/0000950152-09-001977-index.html,https://www.sec.gov/Archives/edgar/data/894315/000095012310018046/0000950123-10-018046-index.html,https://www.sec.gov/Archives/edgar/data/894315/000095012311019812/l40684e10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000119312512084819/0001193125-12-084819-index.html,https://www.sec.gov/Archives/edgar/data/894315/000119312513087320/0001193125-13-087320-index.html,https://www.sec.gov/Archives/edgar/data/894315/000119312514073593/d636168d10k.htm,https://www.sec.gov/Archives/edgar/data/894315/000156459015000995/ddr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/894315/000156459016013184/0001564590-16-013184-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459017001905/0001564590-17-001905-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459018003200/0001564590-18-003200-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459019004779/0001564590-19-004779-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459020007127/0001564590-20-007127-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459021008817/0001564590-21-008817-index.htm,https://www.sec.gov/Archives/edgar/data/894315/000156459022006507/0001564590-22-006507-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,12600,18000,2260000,5992000,4243000,19069000,16371000,11693000,49871000,30655000,28378000,49547000,29494000,26172000,19416000,41206000,31174000,86664000,20937000,22416000,30430000,92611000,11087000,16080000,69742000,41807000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291685000,638111000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,12600,18000,2260000,5992000,4243000,19069000,16371000,11693000,49871000,30655000,320063000,687658000,29494000,26172000,19416000,41206000,31174000,86664000,20937000,22416000,30430000,92611000,11087000,16080000,69742000,41807000
34,Net Receivables,2800000,4100000,7000000,11438806,20363000,73030000,44852000,49414000,56915000,71736000,88250000,102666000,137460000,170322000,217911000,240137000,221806000,243589000,211368000,194928000,207851000,188906000,171623000,170870000,186953000,87010000,60594000,73517000,61382000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94045000,170321000,267195000,128835000,49273000,30983000,36127000,47558000,25831000,39027000,35637000,12919000,7935000,9157000,15855000,12963000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584430000,1075890000,536826000,376813000,312278000,283557000,262229000,342073000,235674000,233066000,236937000,292483000,106032000,85831000,159114000,116152000
38,PP&E,374000000,586800000,728300000,849607676,1154005000,1693666000,1818362000,1864563000,2141956000,2395264000,3426698000,5035193000,6336514000,6580869000,7960623000,7897732000,7490403000,6959127000,6719063000,- -,- -,- -,- -,- -,- -,- -,21792000,20604000,19047000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14454000,53303000,- -,- -,- -,- -,129280000,409613000,389216000,311048000,241598000,182407000,77419000,58021000,90418000,94059000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14454000,53303000,- -,- -,- -,- -,129280000,409613000,389216000,311048000,241598000,182407000,77419000,58021000,90418000,94059000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,258610000,260143000,288020000,275136000,297009000,638111000,583767000,420541000,417223000,353907000,613017000,448008000,414848000,467732000,454131000,383813000,553608000,484600000,267332000,64626000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-297009000,-638111000,- -,138849000,79462000,112898000,7051293000,8493379000,8502157000,8085242000,7264852000,6311370000,3469272000,3443378000,3570816000,3673167000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6595323000,8013926000,8481499000,8049793000,7455812000,7185868000,7793590000,9351000000,9306221000,8864022000,7960581000,6877590000,4100299000,4007791000,3949170000,3850899000
46,Other Assets,395900000,611100000,830100000,975125940,1391918000,2126524000,2320860000,2332021000,2497207000,2776852000,3941151000,5583547000,6862977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,395900000,611100000,830100000,975125940,1391918000,2126524000,2320860000,2332021000,2497207000,2776852000,3941151000,5583547000,6862977000,7179753000,9089816000,9018325000,8426606000,7768090000,7469425000,8055819000,9693073000,9541895000,9097088000,8197518000,7170073000,4206331000,4093622000,4108284000,3967051000
48,Accounts Payable,- -,- -,- -,- -,- -,50380000,49860000,53818000,55560000,68438000,98046000,41167000,45387000,63512000,55778000,169014000,130404000,127715000,257821000,326024000,415413000,448192000,425478000,382293000,344774000,203662000,220811000,215109000,218779000
49,Short-Term Debt,- -,- -,- -,- -,- -,81100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147905000,29133000,29009000,210000000,- -,- -,100000000,5000000,135000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,27400000,54400000,59620000,161840000,59782000,92240000,89062000,145954000,269333000,356313000,371288000,444222000,119132000,10985000,203688000,29128000,44210000,55107000,61468000,68604000,75245000,78549000,45262000,44036000,-120156000,28243000
53,Total Current Liabilities,- -,- -,- -,27400000,54400000,191100000,211700000,113600000,147800000,157500000,244000000,310500000,401700000,434800000,500000000,288146000,141389000,331403000,286949000,518139000,499653000,538669000,704082000,457538000,423323000,348924000,269847000,229953000,247022000
54,Long-Term Debt,184500000,394400000,405700000,478432289,668521000,1000481000,1152051000,1227575000,1308301000,1498798000,2083131000,2718690000,3891001000,4248812000,5591014000,5917364000,5178663000,4302000000,4104584000,4171238000,5265541000,5205698000,4929537000,4493968000,3849312000,1784405000,1842297000,1933508000,1677377000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-32289,-21000,32119000,104749000,207125000,207099000,175002000,-31000,10000,-1000,-12000,-14000,- -,154218000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,184500000,394400000,405700000,478400000,668500000,1032600000,1256800000,1434700000,1515400000,1673800000,2083100000,2718700000,3891000000,4248800000,5591000000,5917364000,5332881000,4302000000,4104584000,4171238000,5265541000,5205698000,4929537000,4493968000,3849312000,1784405000,1842297000,1933508000,1677377000
59,Other Liabilities,383300000,802000000,831600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,198800000,407600000,425900000,505174721,705761000,1114605000,1251930000,1312469000,1412792000,1616246000,2279643000,2973293000,4161247000,4561637000,5962110000,6205510000,5474270000,4633403000,4391533000,4689377000,5765194000,5744367000,5633619000,4951506000,4272635000,2133329000,2112144000,2163461000,1924399000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000000,535000000,705000000,705000000,705000000,555000000,555000000,555000000,555000000,375000000,405000000,405000000,350000000,350000000,350000000,525000000,525000000,325000000,325000000,175000000
63,Common Stock,- -,- -,- -,2168292,2769000,6129000,6136000,6148000,6609000,7325000,9379000,10852000,10895000,10974000,12679000,12864000,20174000,25627000,27711000,31524000,35938000,36071000,36529000,36630000,36851000,18471000,19382000,19400000,21129000
64,Retained Earnings,- -,-18700000,-35000000,-51384259,-63517000,-80697000,-105757000,-112357000,-130436000,-154621000,-116737000,-92290000,-99756000,-159615000,-260018000,-608675000,-1098661000,-1378341000,-1493353000,-1694822000,-1915638000,-2047212000,-2391793000,-2632327000,-3183134000,-3980151000,-4066099000,-4099534000,-4092783000
65,Other Comprehensive Income/Loss,- -,- -,- -,-142039284,-171737000,-203097000,-249912000,-297247000,-351709000,-408792000,-458213000,-568231000,10000000,8000000,9000000,-50000000,10000000,26000000,-1000000,-28000000,-36000000,-7000000,-6000000,-4000000,-1000000,-1000000,- -,-2682000,- -
66,Other Total Stockholders Equity,197100000,222200000,439200000,661206470,901996000,1180757000,1202552000,1187206000,1309550000,1197649000,1644641000,2498988000,1944142000,1931824000,2682164000,2775496000,3376049000,3868316000,4137326000,4628436000,5415361000,5438389000,5466449000,5487212000,5513215000,5507754000,5700131000,5699324000,5933512000
67,Total Stockholders Equity,197100000,203500000,404200000,469951219,669511000,903092000,853019000,783750000,834014000,945561000,1614070000,2554319000,2570281000,2496183000,2998825000,2684685000,2862562000,3096602000,3045684000,3342138000,3904661000,3770248000,3455185000,3237515000,2890932000,2070074000,1978414000,1941508000,2036858000
68,Total Liabilities And Stockholders Equity,395900000,611100000,830100000,975125940,1375272000,2017697000,2104949000,2096219000,2246806000,2561807000,3893713000,5527612000,6731528000,7057820000,8960935000,8890195000,8336832000,7730005000,7437217000,8031515000,9669855000,9514615000,9088804000,8189021000,7163567000,4203403000,4090558000,4104969000,3961257000
69,Minority Interest,- -,- -,- -,- -,16646000,108827000,215911000,235802000,250401000,215045000,47438000,55935000,131449000,121933000,128881000,128130000,89774000,38085000,32208000,24304000,23218000,27280000,8284000,8497000,6506000,2928000,3064000,3315000,5794000
70,Total Liabilities & Equity,395900000,611100000,830100000,975125940,1391918000,2126524000,2320860000,2332021000,2497207000,2776852000,3941151000,5583547000,6862977000,7179753000,9089816000,9018325000,8426606000,7768090000,7469425000,8055819000,9693073000,9541895000,9097088000,8197518000,7170073000,4206331000,4093622000,4108284000,3967051000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894315/000095015202001612/l92528ae10-k.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015203002826/l99103ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015204001932/l05623ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015205002220/l11783ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015206001617/l17858ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015207001346/l24241ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015208001552/l29656ae10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000095015209001977/0000950152-09-001977-index.html,https://www.sec.gov/Archives/edgar/data/894315/000095012310018046/0000950123-10-018046-index.html,https://www.sec.gov/Archives/edgar/data/894315/000095012311019812/l40684e10vk.htm,https://www.sec.gov/Archives/edgar/data/894315/000119312512084819/0001193125-12-084819-index.html,https://www.sec.gov/Archives/edgar/data/894315/000119312513087320/0001193125-13-087320-index.html,https://www.sec.gov/Archives/edgar/data/894315/000119312514073593/d636168d10k.htm,https://www.sec.gov/Archives/edgar/data/894315/000156459015000995/ddr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/894315/000156459016013184/0001564590-16-013184-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459017001905/0001564590-17-001905-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459018003200/0001564590-18-003200-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459019004779/0001564590-19-004779-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459020007127/0001564590-20-007127-index.html,https://www.sec.gov/Archives/edgar/data/894315/000156459021008817/0001564590-21-008817-index.htm,https://www.sec.gov/Archives/edgar/data/894315/000156459022006507/0001564590-22-006507-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8600000,21200000,25500000,49542235,67522000,77922000,87397000,100833000,92372000,101970000,240261000,269762000,282643000,253264000,276047000,-57776000,-356593000,-209358000,-15854000,-25822000,-10175000,117282000,-72168000,60012000,-241685000,114434000,100699000,35721000,124935000
74,Depreciation and Amortization,10900000,17400000,23600000,25061772,32313000,43180000,52444000,54201000,64493000,78368000,95219000,132647000,170701000,193527000,224375000,246374000,244861000,240573000,245069000,251085000,324129000,419079000,402045000,389519000,346204000,242102000,165087000,170669000,185768000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27970000,20398000,6459000,7439000,7553000,8371000,9962000,7895000,7765000,11493000,7468000,9890000,8800000,13533000
77,Change in Working Capital,-3400000,- -,- -,-27400000,-27000000,-136700000,-20600000,98100000,-34200000,-9700000,-86500000,-66500000,-91200000,551330000,426260000,-327210000,-13256000,-254549000,15733000,-252518000,98330000,-145415000,-168021000,250415000,89761000,-112052000,58876000,113177000,13660000
78,Accounts Receivable,-800000,-1400000,-2800000,-4500000,-4900000,-7700000,-15500000,-2187000,-7869000,-8698000,-5825000,-6611000,-32207000,-38013000,-47999000,-1215000,13902000,21045000,7358000,326000,-3463000,-2357000,-3107000,1410000,2470000,-2298000,4361000,-11654000,15873000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-900000,1800000,2700000,1100000,1400000,12400000,-200000,707000,-742000,12107000,-6906000,-15048000,11146000,7546000,-11955000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-27400000,-54400000,-191100000,-211700000,-113600000,-147800000,-157500000,-244000000,-310500000,-401700000,149630000,575890000,248680000,235424000,-19125000,-3392000,-255910000,-157580000,-302995000,-471016000,-220601000,-130840000,-242892000,-184016000,-70839000,773000
82,Other Non-Cash Items,3100000,500000,-100000,28616183,21548000,153091000,33411000,-106862000,51661000,40101000,14149000,-43683000,-6721000,-657429000,-512066000,535210000,333538000,494999000,20808000,323898000,-46681000,19374000,264836000,-244796000,204634000,12855000,-64398000,-138197000,-55381000
83,Cash Provided by Operating Activities,19200000,39100000,49000000,75820190,94383000,137493000,152652000,146272000,174326000,210739000,263129000,292226000,355423000,340692000,414616000,424568000,228948000,278124000,273195000,304196000,373974000,420282000,434587000,462915000,410407000,264807000,270154000,190170000,282515000
84,CAPEX,- -,- -,- -,-185667846,-391798000,-569600000,-182500000,-88488000,-106623000,-316388000,-284003000,-1907934000,-863795000,-454357000,-2789132000,-394332000,-208768000,-164391000,-217861000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-17559000,-17184000,-15941000,- -,- -,- -,- -,-83476000,- -,- -,-114674000,-8550000,16122000,23658000,-43021000,-13593000,-11626000,1303000,-6849000,-69240000,-93101000,-30641000,139373000,-4599000
86,Purchases of Investments,- -,- -,- -,-854912,-35966000,-44928000,- -,- -,- -,- -,-99340000,- -,- -,-206645000,-247882000,- -,-1885000,-62958000,- -,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,9800000,- -,- -,- -,- -,- -,- -,- -,- -,50862000,20462000,- -,- -,- -,- -,- -,- -,3216000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-137200000,-191800000,-217200000,-13148105,1744000,93798000,-10024000,83850000,68641000,36391000,367097000,773333000,607828000,407093000,1868236000,44665000,370087000,242989000,394899000,-545409000,-882466000,161606000,-55791000,478939000,547848000,910040000,20246000,-36895000,79050000
89,Cash Used for Investing Activites,-137200000,-191800000,-217200000,-199670863,-416220000,-538289000,-209708000,-20579000,-37982000,-279997000,-16246000,-1134601000,-339443000,-203047000,-1148316000,-464341000,150884000,31762000,200696000,-588430000,-897859000,153196000,-54488000,472090000,478608000,816939000,-10395000,102478000,74451000
90,Debt Repayment,-266800000,-59200000,-126100000,-32203817,-17764000,-24729000,-85670000,-122293000,-287993000,-79456000,-438678000,-469755000,-810396000,-157779000,-1348697000,-476641000,-270692000,-1635508000,-845723000,-1225759000,-637137000,-495128000,-1389549000,-645495000,-1500995000,-2112684000,-97372000,-258449000,-215285000
91,Common Stock Issued,297800000,15600000,76900000,77423382,198924000,93815000,- -,- -,57644000,51971000,20188000,743919000,12139000,- -,758643000,42723000,- -,438667000,189662000,492129000,788045000,11635000,- -,- -,- -,- -,194598000,- -,224974000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-25845000,-62866000,-508000,-149761000,-575460000,- -,- -,-48313000,-1287585000,- -,- -,- -,-186655000,-170000000,-150000000,-55000000,- -,- -,- -,-36341000,-214100000,-7500000,-150019000
93,Dividends Paid,-11900000,-36600000,-41800000,-65972911,-79655000,-75029000,-111703000,-108502000,-108212000,-122841000,-167980000,-226747000,-286400000,-307652000,-356464000,-371470000,-52289000,-64253000,-75720000,-154761000,-194497000,-240551000,-265277000,-293905000,-305819000,-281332000,-180698000,-98348000,-99541000
94,Other Financing Activites,101300000,230600000,258300000,144604519,220337000,408981000,284006000,166219000,217551000,366647000,910369000,833136000,1049461000,373822000,2989594000,828086000,-58380000,944029000,466582000,1333154000,772908000,140409000,1276054000,12408000,973298000,1267541000,43294000,126934000,-148256000
95,Cash Used/Provided by Financing Activities,120400000,150400000,167300000,123851173,321842000,403038000,60788000,-127442000,-121518000,66560000,-251561000,880553000,-35196000,-139922000,755491000,22698000,-381361000,-317065000,-451854000,274763000,579319000,-638635000,-378772000,-926992000,-833516000,-1162816000,-254278000,-237363000,-388127000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-622000,-2978000,-1793000,423000,-247000,-561000,56000,-570000,152000,1000,- -,-4000,2000,-4000,-1000
97,Net Change In Cash,120400000,150400000,167300000,500,5000,2242000,3732000,-1749000,14826000,-2698000,-4678000,38178000,-19216000,-2277000,21169000,-20053000,-3322000,-6756000,21790000,-10032000,55490000,-65727000,1479000,8014000,55499000,-81074000,5483000,55281000,-31162000
