,https://roic.ai/company/ATSG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.22,0.52,0.25,0.25,-8.52,0.63,0.52,1.55,0.34,-0.90,0.55,0.63,0.37,0.64,-0.31,0.46,0.64,0.34,0.37,1.16,1.02,0.42,3.91
26,EPS Diluted,0.20,0.46,0.22,0.23,-8.52,0.63,0.52,1.54,0.33,-0.90,0.54,0.62,0.36,0.63,-0.31,0.46,0.63,0.33,0.36,0.89,0.78,0.42,3.86
27,Weighted Average Shares Outstanding,52107000,52107000,52107000,52107000,52474000,58270000,58270000,58270000,58296000,62484000,62674000,62807000,63284000,63461000,63992000,64253000,64242000,61330000,58907000,58765000,58899000,59128000,59128000
28,Weighted Average Shares Outstanding Diluted,58521000,58521000,58521000,58521000,52474000,58270000,58475000,58403000,58649000,62484000,63279000,64009000,64085000,64420000,63992000,65211000,65127000,62994000,59686000,68356000,69348000,59931000,59931000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894081/000119312504049003/0001193125-04-049003-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312505052926/0001193125-05-052926-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312506056878/0001193125-06-056878-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312507057224/0001193125-07-057224-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312508059080/0001193125-08-059080-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312509061133/0001193125-09-061133-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312510073553/0001193125-10-073553-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408111000006/0000894081-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408112000010/0000894081-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408113000015/0000894081-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408114000037/0000894081-14-000037-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408115000056/0000894081-15-000056-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408116000225/0000894081-16-000225-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408117000036/0000894081-17-000036-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408118000040/0000894081-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408119000040/0000894081-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408120000039/0000894081-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408121000045/0000894081-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408122000034/0000894081-22-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,33000,63101000,38749000,69473000,63219000,59271000,116114000,83229000,46543000,30503000,15442000,31699000,30560000,17697000,16358000,32699000,59322000,46201000,39719000,69496000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,15637000,15374000,49636000,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,33000,63101000,38749000,85110000,78593000,108907000,116140000,83229000,46543000,30503000,15442000,31699000,30560000,17697000,16358000,32699000,59322000,46201000,39719000,69496000
34,Net Receivables,- -,- -,- -,2318000,5482000,54677000,15776000,10365000,55339000,87857000,87708000,40876000,42278000,47858000,52247000,43513000,57986000,77247000,109114000,147755000,162870000,153511000,205399000
