,https://roic.ai/company/SCHN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,3600000,14200000,30000000,29700000,25800000,19400000,4900000,10707000,14100000,9152000,68785000,166880000,232610000,175064000,213563000,402283000,-57610000,125897000,185964000,53668000,-327789000,20316000,-195529000,-7842000,56013000,148988000,83865000,6854000,213729000
18,Operating Income ratio,0.0176,0.0543,0.0907,0.0875,0.0713,0.0549,0.0185,0.0321,0.0483,0.0261,0.1384,0.2425,0.2727,0.0944,0.0830,0.1105,-0.0303,0.0547,0.0538,0.0161,-0.1250,0.0080,-0.1021,-0.0058,0.0332,0.0630,0.0393,0.0040,0.0775
19,Total Other Income Expenses (Gains),100000,2300000,4000000,1100000,6300000,-4200000,1100000,321000,-2780000,-1505000,-2318000,-2554000,-1724000,56625000,-4598000,-6005000,4063000,-564000,-5159000,-10712000,-9660000,-9581000,-4935000,-7663000,-7323000,-7135000,-7625000,-8793000,-5740000
20,Income Before Tax,3700000,16500000,34000000,30800000,32100000,15200000,6000000,11028000,11320000,7647000,66467000,164326000,230886000,231689000,208965000,396278000,-53547000,125333000,180805000,42956000,-337449000,10735000,-200464000,-15505000,48690000,141853000,76240000,-1939000,207989000
21,Income Before Tax Ratio,0.0181,0.0630,0.1028,0.0907,0.0887,0.0430,0.0226,0.0330,0.0388,0.0218,0.1338,0.2388,0.2707,0.1249,0.0812,0.1088,-0.0282,0.0545,0.0523,0.0129,-0.1287,0.0042,-0.1047,-0.0115,0.0289,0.0600,0.0357,-0.0011,0.0754
22,Income Tax expense (Gain),1600000,5800000,11800000,10000000,10900000,5800000,2600000,662000,3401000,1094000,17946000,50669000,81522000,86871000,75333000,144203000,-21817000,40825000,57168000,14039000,-57426000,2001000,-12615000,735000,1322000,-17590000,17670000,166000,37935000
23,Net Income,2100000,10700000,22200000,20800000,21200000,9400000,3400000,10366000,7919000,6553000,43201000,111181000,146867000,143068000,131334000,248683000,-32229000,66750000,118355000,27404000,-281442000,5924000,-197009000,-19409000,44511000,156451000,56345000,-4145000,165112000
24,Net Income ratio,0.0102,0.0409,0.0671,0.0613,0.0586,0.0266,0.0128,0.0311,0.0271,0.0187,0.0869,0.1615,0.1722,0.0771,0.0511,0.0683,-0.0170,0.0290,0.0342,0.0082,-0.1073,0.0023,-0.1029,-0.0144,0.0264,0.0662,0.0264,-0.0024,0.0599
25,EPS,0.05,0.16,0.31,0.75,0.68,0.31,0.11,0.36,0.28,0.24,1.55,3.71,4.83,4.68,4.38,8.79,-1.14,2.40,4.28,1.00,-10.56,0.22,-7.29,-0.71,1.62,5.66,2.05,-0.15,5.90
26,EPS Diluted,0.05,0.16,0.31,0.75,0.68,0.31,0.11,0.35,0.28,0.24,1.47,3.58,4.72,4.65,4.32,8.61,-1.14,2.37,4.23,0.99,-10.56,0.22,-7.29,-0.71,1.58,5.47,2.00,-0.15,5.66
27,Weighted Average Shares Outstanding,43614556,23655172,23655172,27857143,93672172,90674663,89955022,15325470,14717178,14946909,16357800,29967925,30407246,30570085,29984932,28278000,28159000,27832000,27649000,27317000,26656000,26834000,27010000,27229000,27537000,27645000,27527000,27672000,27982000
28,Weighted Average Shares Outstanding Diluted,43614556,23655172,23655172,27857143,93672172,91405910,89955022,15325470,14717178,14946909,16357800,31056145,31115890,30767312,30401389,28894000,28159000,28147000,27959000,27553000,26656000,27000000,27010000,27229000,28141000,28589000,28222000,27672000,29193000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912603/000091205700051509/0000912057-00-051509-index.html,https://www.sec.gov/Archives/edgar/data/912603/000110465901503565/0001104659-01-503565-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000104746902004124/0001047469-02-004124-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/912603/000107261305002621/0001072613-05-002621-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000089102006000331/0000891020-06-000331-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000089102007000308/0000891020-07-000308-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000119312508218012/0001193125-08-218012-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000119312509214755/0001193125-09-214755-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000119312510232878/0001193125-10-232878-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000144530511003036/0001445305-11-003036-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260312000014/0000912603-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260313000065/0000912603-13-000065-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260314000103/0000912603-14-000103-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260315000110/0000912603-15-000110-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260316000262/0000912603-16-000262-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260317000105/0000912603-17-000105-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260318000078/0000912603-18-000078-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000095012319009689/0000950123-19-009689-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000156459020047279/0001564590-20-047279-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000156459021051404/0001564590-21-051404-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,4400000,1600000,1900000,3100000,3800000,6200000,2407000,1877000,32974000,1687000,11307000,20645000,25356000,13410000,15039000,41026000,30342000,49462000,89863000,13481000,25672000,22755000,26819000,7287000,4723000,12377000,17887000,27818000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000000,4400000,1600000,1900000,3100000,3800000,6200000,2407000,1877000,32974000,1687000,11307000,20645000,25356000,13410000,15039000,41026000,30342000,49462000,89863000,13481000,25672000,22755000,26819000,7287000,4723000,12377000,17887000,27818000
34,Net Receivables,13700000,19900000,18000000,24600000,32200000,29600000,23600000,28540000,22861000,34329000,38983000,43444000,51327000,121338000,170212000,314993000,164638000,140766000,233516000,144984000,191791000,191115000,118755000,115206000,141364000,174086000,151484000,157400000,214935000
35,Inventory,47900000,47300000,71900000,90700000,95200000,103100000,89800000,76338000,89353000,57917000,61143000,80167000,106189000,263583000,258568000,429061000,184455000,268103000,335120000,246992000,236049000,216172000,156532000,132972000,166942000,205877000,187320000,157269000,256427000
36,Other Current Assets,5900000,4400000,7100000,7300000,13900000,13800000,8700000,7439000,7947000,6487000,11924000,12242000,18752000,30115000,19286000,20433000,20895000,21583000,35901000,34980000,25909000,30973000,24323000,24809000,22357000,63673000,115107000,30075000,43934000
37,Total Current Assets,68500000,76000000,98600000,124500000,144400000,150300000,128300000,114724000,122038000,131707000,113737000,147160000,196913000,440392000,461476000,779526000,411014000,460794000,653999000,516819000,467230000,463932000,322365000,299806000,337950000,448359000,466288000,362631000,543114000
38,PP&E,63900000,75200000,119700000,150500000,151100000,142600000,135800000,127262000,119510000,111759000,141224000,138438000,166901000,312907000,383910000,431898000,447228000,460810000,555284000,564185000,564426000,523433000,427554000,392820000,390629000,415711000,456400000,627588000,693895000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,35754000,- -,- -,- -,266675000,277083000,306186000,366559000,380332000,627805000,635491000,327264000,325903000,175676000,166847000,167835000,168065000,169237000,169627000,170304000
40,Intangible Assets,4600000,5600000,49200000,48400000,50700000,51000000,49800000,47767000,46971000,2279000,112302000,136193000,160259000,11092000,12090000,15389000,20422000,20444000,20906000,15778000,13264000,9835000,6353000,4931000,4424000,4358000,4482000,4585000,3980000
41,Intangible Assets,4600000,5600000,49200000,48400000,50700000,51000000,49800000,47767000,46971000,38033000,112302000,136193000,160259000,277767000,289173000,321575000,386981000,400776000,648711000,651269000,340528000,335738000,182029000,171778000,172259000,172423000,173719000,174212000,174284000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10812000,13706000,17208000,17126000,14808000,14624000,15320000,13616000,11204000,11532000,10276000,10057000,12844000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30333000,28850000,27152000,27561000
44,Other Non-Current Assets,11800000,7300000,12800000,14100000,81800000,127400000,131700000,136536000,137351000,123507000,120631000,184182000,185385000,13632000,16855000,21854000,12198000,7332000,14967000,14174000,18520000,17483000,15031000,13409000,21713000,26459000,25213000,28287000,42665000
45,Total Non-Current Assets,80300000,88100000,181700000,213000000,283600000,321000000,317300000,311565000,303832000,273299000,374157000,458813000,512545000,604306000,689938000,775327000,857219000,882624000,1236170000,1246754000,938282000,891278000,639934000,591623000,595805000,656458000,694458000,867296000,951249000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,148800000,164100000,280300000,337500000,428000000,471300000,445600000,426289000,425870000,405006000,487894000,605973000,709458000,1044698000,1151414000,1554853000,1268233000,1343418000,1890169000,1763573000,1405512000,1355210000,962299000,891429000,933755000,1104817000,1160746000,1229927000,1494363000
48,Accounts Payable,13900000,13800000,20600000,17900000,19500000,19100000,16400000,17145000,15902000,18205000,21537000,31881000,33192000,70608000,89526000,161288000,72289000,91879000,141011000,115007000,96348000,103453000,57105000,58439000,94674000,128495000,110297000,106676000,179917000
49,Short-Term Debt,4400000,1900000,200000,300000,400000,200000,400000,192000,200000,60220000,220000,225000,71000,100000,20275000,25490000,1317000,1189000,643000,683000,9174000,523000,584000,8374000,721000,1139000,1321000,21944000,25071000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3521000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10600000,12100000,21000000,13000000,19600000,19900000,18800000,17508000,14526000,13931000,19539000,41960000,37772000,80404000,82388000,158144000,66523000,67045000,91659000,63152000,60612000,73294000,62757000,66841000,80865000,125043000,156612000,95044000,147862000
53,Total Current Liabilities,28900000,27800000,41800000,31200000,39500000,39200000,35600000,34845000,30628000,92356000,41296000,74066000,71035000,151112000,192189000,344922000,140129000,160113000,233313000,178842000,166134000,177270000,120446000,133654000,176260000,254677000,268230000,223664000,352850000
54,Long-Term Debt,44500000,2800000,64700000,44500000,92900000,140200000,119800000,93134000,93766000,8305000,87045000,67801000,7724000,102829000,124079000,158933000,110414000,99240000,403287000,334629000,372663000,318842000,227572000,184144000,144403000,106237000,103775000,227236000,184464000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,16500000,16600000,14200000,16000000,28400000,24600000,27900000,28616000,30039000,30860000,33093000,24884000,26987000,9916000,19920000,16807000,44523000,58630000,85378000,85447000,22929000,22746000,19138000,16682000,19147000,11742000,25466000,38292000,40593000
57,Other Non-Current Liabilities,800000,1600000,23600000,22000000,28100000,25900000,22700000,21264000,23368000,20537000,19843000,14421000,19540000,41609000,44789000,51640000,50417000,45803000,47902000,56711000,62587000,60375000,56592000,55517000,56452000,62051000,61979000,60299000,76677000
58,Total Non-Current Liabilities,61800000,21000000,102500000,82500000,149400000,190700000,170400000,143014000,147173000,59702000,139981000,107106000,54251000,154354000,188788000,227380000,205354000,203673000,536567000,476787000,458179000,401963000,303302000,256343000,220002000,180030000,191220000,325827000,301734000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144761000,134582000
61,Total Liabilities,90700000,48800000,144300000,113700000,188900000,229900000,206000000,177859000,177801000,152058000,181277000,181172000,125286000,305466000,380977000,572302000,345483000,363786000,769880000,655629000,624313000,579233000,423748000,389997000,396262000,434707000,459450000,549491000,654584000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,9700000,9701000,9200000,9205000,19506000,30328000,30476000,30779000,28559000,27937000,27670000,27421000,27301000,26332000,26564000,26690000,26780000,26788000,27059000,26702000,26664000,27099000,27532000
64,Retained Earnings,50600000,60100000,80800000,99700000,118900000,126300000,127700000,136889000,142946000,147669000,179242000,278374000,423178000,564165000,693470000,939181000,894243000,948642000,1065109000,1056024000,751879000,737571000,520066000,480100000,503770000,639684000,675363000,649863000,793712000
65,Other Comprehensive Income/Loss,-76700000,-83600000,-92300000,-100000000,-114400000,-126900000,-142000000,-156740000,-172052000,-185714000,-212940000,-216320000,-220060000,2000000,2000000,-319254000,-3000000,-3000000,2000000,-3000000,-9000000,-13000000,-39000000,-40000000,-35000000,-37000000,-39000000,-36871000,-34554000
66,Other Total Stockholders Equity,84200000,138800000,147500000,224100000,234600000,242000000,244200000,258580000,267975000,281788000,317189000,326498000,345934000,137155000,41035000,330288000,454000,2263000,302000,1227000,7115000,19523000,26689000,30833000,37757000,36692000,33937000,36616000,49074000
67,Total Stockholders Equity,58100000,115300000,136000000,223800000,239100000,241400000,239600000,248430000,248069000,252948000,302997000,418880000,579528000,734099000,765064000,978152000,919367000,975326000,1094712000,1080583000,776558000,770784000,534535000,497721000,533586000,666078000,696964000,676707000,835764000
68,Total Liabilities And Stockholders Equity,148800000,164100000,280300000,337500000,428000000,471300000,445600000,426289000,425870000,405006000,484274000,600052000,704814000,1039565000,1146041000,1550454000,1264850000,1339112000,1864592000,1736212000,1400871000,1350017000,958283000,887718000,929848000,1100785000,1156414000,1226198000,1490348000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3620000,5921000,4644000,5133000,5373000,4399000,3383000,4306000,25577000,27361000,4641000,5193000,4016000,3711000,3907000,4032000,4332000,3729000,4015000
70,Total Liabilities & Equity,148800000,164100000,280300000,337500000,428000000,471300000,445600000,426289000,425870000,405006000,487894000,605973000,709458000,1044698000,1151414000,1554853000,1268233000,1343418000,1890169000,1763573000,1405512000,1355210000,962299000,891429000,933755000,1104817000,1160746000,1229927000,1494363000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912603/000091205700051509/0000912057-00-051509-index.html,https://www.sec.gov/Archives/edgar/data/912603/000110465901503565/0001104659-01-503565-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000104746902004124/0001047469-02-004124-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/912603/000107261305002621/0001072613-05-002621-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000089102006000331/0000891020-06-000331-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000089102007000308/0000891020-07-000308-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000119312508218012/0001193125-08-218012-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000119312509214755/0001193125-09-214755-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000119312510232878/0001193125-10-232878-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000144530511003036/0001445305-11-003036-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260312000014/0000912603-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260313000065/0000912603-13-000065-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260314000103/0000912603-14-000103-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260315000110/0000912603-15-000110-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260316000262/0000912603-16-000262-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260317000105/0000912603-17-000105-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000091260318000078/0000912603-18-000078-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000095012319009689/0000950123-19-009689-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000156459020047279/0001564590-20-047279-index.htm,https://www.sec.gov/Archives/edgar/data/912603/000156459021051404/0001564590-21-051404-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2100000,10700000,22200000,20800000,21200000,9400000,3400000,10366000,7919000,6553000,43201000,111181000,146867000,143068000,131334000,248683000,-32229000,66750000,118355000,27404000,-281442000,5924000,-197009000,-19409000,44511000,156451000,56345000,-4145000,165112000
74,Depreciation and Amortization,9900000,9400000,11600000,14000000,18300000,18700000,17700000,18361000,18742000,18631000,19441000,20403000,20881000,31411000,40563000,51362000,60681000,63418000,74866000,82256000,83070000,79209000,67936000,54630000,49840000,49672000,53336000,58173000,58599000
75,Deferred Income Tax,-1700000,500000,-1300000,3500000,-2200000,1200000,3700000,1328000,1787000,692000,1791000,-9068000,4239000,-6611000,8134000,2582000,24727000,10891000,21004000,8321000,-59102000,-3815000,-1988000,507000,2278000,-37995000,14613000,15096000,6884000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8898000,11035000,13655000,8793000,11475000,14506000,10481000,10437000,10847000,18965000,17300000,10033000,18213000
77,Change in Working Capital,2900000,8600000,8600000,36500000,11600000,6200000,-18400000,-12821000,11531000,-52059000,33090000,653000,52784000,163402000,-19993000,165317000,-163719000,29796000,120005000,-82709000,-36881000,-14434000,-84743000,-35767000,-4462000,31992000,4376000,-59091000,-61695000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189511000,-11569000,-91715000,81701000,-79118000,-16360000,55600000,-10693000,-36195000,-44941000,9478000,-2252000,-84086000
79,Inventory,-200000,600000,-13000000,-18900000,-2300000,-8000000,13400000,14629000,-13008000,31174000,-1240000,-19024000,-26022000,-60969000,15369000,-215812000,198840000,-109138000,-45268000,94095000,46826000,36264000,69256000,27504000,-22207000,-24280000,33466000,39226000,-88622000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79086000,8479000,45447000,-26074000,-10901000,9409000,-35638000,-763000,33062000,26049000,-17068000,-7971000,64956000
81,Other Working Capital,39600000,48200000,56800000,93300000,104900000,111100000,92700000,79879000,91410000,39351000,72441000,73094000,125878000,289280000,269287000,434604000,270885000,300681000,420686000,337977000,301096000,286662000,201919000,166152000,161690000,193682000,198058000,138967000,12082000
82,Other Non-Cash Items,-1700000,-8400000,-7400000,-80600000,-25800000,-22200000,30400000,18144000,-31331000,62568000,-56586000,-49948000,-151272000,-226055000,19277000,-326180000,389221000,-92400000,-207422000,200725000,322169000,59862000,349951000,88842000,-2644000,-59409000,-1230000,104531000,2951000
83,Cash Provided by Operating Activities,11500000,20800000,33700000,-5800000,23100000,13300000,36800000,35378000,8648000,36385000,40937000,73221000,73499000,105215000,179315000,141764000,287579000,89490000,140463000,244790000,39289000,141252000,144628000,99240000,100370000,159676000,144740000,124597000,190064000
84,CAPEX,-5600000,-21100000,-31200000,-44600000,-15500000,-14200000,-12000000,-10732000,-9297000,-9569000,-21796000,-22192000,-48250000,-86583000,-80853000,-84262000,-59044000,-64324000,-104964000,-78560000,-90381000,-39147000,-32297000,-34571000,-44940000,-77626000,-94613000,-82005000,-118866000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77237000,-44634000,-46888000,-93053000,375000,-294937000,-5614000,-52294000,-5925000,-151000,-11000,405000,-2289000,-912000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6017000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1890000,- -,- -
88,Other Investing Activites,400000,1300000,-63300000,3900000,-24000000,-38500000,2800000,832000,8043000,31396000,-67324000,-24268000,48599000,-33967000,8079000,3187000,-57423000,-64664000,-104964000,-78652000,-84890000,-35306000,-28027000,-30465000,-39782000,-71109000,-90543000,-78855000,-117649000
89,Cash Used for Investing Activites,-5200000,-19800000,-94500000,-40700000,-39500000,-52700000,-9200000,-9900000,-1254000,21827000,-89120000,-46460000,349000,-197787000,-117408000,-127963000,-150476000,-64289000,-399901000,-84266000,-137184000,-41231000,-28178000,-30476000,-45394000,-73398000,-89565000,-78855000,-117649000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-848029000,-991842000,-1164175000,-1003245000,-767923000,-846496000,-497603000,-323451000,-481757000,-556456000,-435353000,-698492000,-578030000
91,Common Stock Issued,- -,48500000,- -,69900000,- -,- -,- -,30000,273000,1412000,8722000,6730000,1659000,3565000,1112000,523000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-800000,- -,-1000000,-3900000,-5100000,-3200000,-394000,- -,-1256000,- -,- -,- -,- -,-110150000,-44859000,-29896000,-17147000,-10303000,-33194000,- -,- -,-1347000,-3479000,- -,-17361000,-13083000,-914000,- -
93,Dividends Paid,- -,-1200000,-1600000,-1800000,-2100000,-2000000,-2000000,-1945000,-1862000,-1830000,-1874000,-2029000,-2063000,-2081000,-2029000,-1434000,-3672000,-1416000,-1885000,-11455000,-20010000,-20126000,-20336000,-20444000,-20396000,-20736000,-20615000,-20884000,-21259000
94,Other Financing Activites,-7400000,-44200000,59600000,-20300000,23500000,47200000,-20000000,-26936000,-6335000,-25441000,10048000,-21842000,-64106000,95362000,36913000,33722000,770705000,974707000,1456314000,927842000,808520000,778448000,400535000,282461000,427479000,506412000,421785000,679786000,536468000
95,Cash Used/Provided by Financing Activities,-7400000,2300000,58000000,46800000,17500000,40100000,-25200000,-29245000,-7924000,-27115000,16896000,-17141000,-64510000,96846000,-74154000,-12048000,-110892000,-35698000,279951000,-120052000,20587000,-88174000,-118751000,-64913000,-74674000,-88141000,-47266000,-40504000,-62821000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437000,301000,-124000,-224000,-187000,-1393000,-71000,926000,344000,-616000,213000,166000,-701000,-255000,272000,337000
