,https://roic.ai/company/AVAV,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0118,0.0455,0.1396,0.0819,0.1193,0.0991,0.0979,0.0830,0.0886,0.0937,0.0434,0.0545,0.0112,0.0339,0.0471,0.0740,0.1509,0.1118,0.0591
25,EPS,0.05,1.32,8.15,0.86,1.39,1.08,1.15,0.97,1.20,1.40,0.47,0.61,0.13,0.39,0.54,0.86,2.00,1.73,0.97
26,EPS Diluted,0.04,1.26,7.46,0.75,1.22,1.00,1.11,0.94,1.17,1.36,0.47,0.60,0.13,0.39,0.54,0.84,1.97,1.71,0.96
27,Weighted Average Shares Outstanding,11583000,1639543,1800930,13011639,14946502,19766881,21023590,21391795,21591333,21783496,22069842,22354444,22868733,22936413,23059045,23471241,23663410,23806208,24049851
28,Weighted Average Shares Outstanding Diluted,12040000,1718460,1967550,14873651,16992012,21372405,21775727,21977364,22081266,22315474,22390420,22719218,23145997,23153493,23307738,23813772,24071713,24088167,24362656
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368622/000114036107013143/0001140361-07-013143-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746908007752/0001047469-08-007752-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746909006487/0001047469-09-006487-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746910006115/0001047469-10-006115-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746911005974/0001047469-11-005974-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746912006915/a2210001z10-k.htm,https://www.sec.gov/Archives/edgar/data/1368622/000104746913007199/0001047469-13-007199-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746914006076/0001047469-14-006076-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746915005880/0001047469-15-005880-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837016006514/0001558370-16-006514-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837017004963/0001558370-17-004963-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837018005457/0001558370-18-005457-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837019005898/0001558370-19-005898-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837020007720/0001558370-20-007720-index.htm,https://www.sec.gov/Archives/edgar/data/1368622/000155837021008684/0001558370-21-008684-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,10060000,15388000,20920000,105064000,116501000,28665000,62041000,64220000,75332000,126969000,143410000,124287000,79904000,143517000,172708000,255142000,148741000
32,Short-Term Investments,- -,- -,- -,- -,88325000,13375000,21523000,135770000,126839000,77152000,73241000,70639000,85381000,103404000,119971000,113649000,150487000,47507000,31971000
33,Cash and Short-Term Investments,- -,- -,10060000,15388000,109245000,118439000,138024000,164435000,188880000,141372000,148573000,197608000,228791000,227691000,199875000,257166000,323195000,302649000,180712000
34,Net Receivables,- -,- -,20166000,26424000,34185000,50378000,66036000,57355000,66342000,83451000,42851000,49252000,50963000,74944000,88481000,69889000,84919000,149497000,134279000
35,Inventory,- -,- -,11505000,11453000,14015000,15923000,11602000,20928000,38137000,43539000,62561000,50699000,39414000,37486000,60076000,38640000,54056000,45535000,71646000
36,Other Current Assets,- -,- -,3721000,3243000,3623000,4824000,5712000,2877000,4672000,13407000,9469000,9298000,9864000,9582000,5653000,33452000,7418000,6246000,15001000
37,Total Current Assets,- -,- -,45452000,56508000,161068000,189564000,221374000,245595000,298031000,281769000,263454000,306857000,329032000,349703000,354085000,399147000,469588000,503927000,401638000
38,PP&E,- -,- -,4175000,6098000,6229000,10308000,18218000,20025000,17498000,23515000,24429000,19997000,13499000,16762000,19220000,19219000,16905000,30487000,81798000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6340000,314205000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,667000,380000,300000,1823000,628000,459000,13637000,106268000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,667000,380000,300000,1823000,628000,459000,19977000,420473000
42,Investments,- -,- -,- -,- -,- -,- -,7156000,6515000,6275000,58457000,68916000,50505000,46769000,33859000,42096000,40656000,9386000,15030000,12156000
43,Tax Assets,- -,- -,647000,2053000,761000,2785000,6313000,9747000,9762000,5209000,5606000,6721000,7426000,9319000,15089000,11168000,6685000,4928000,2061000
44,Other Non-Current Assets,- -,- -,90000,119000,119000,122000,120000,89000,181000,201000,1060000,207000,361000,450000,187000,2093000,5821000,10605000,10440000
45,Total Non-Current Assets,- -,- -,4912000,8270000,7109000,13215000,31807000,36376000,33716000,87382000,100011000,78097000,68435000,60690000,78415000,73764000,39256000,81027000,526928000
46,Other Assets,14385000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14385000,- -,50364000,64778000,168177000,202779000,253181000,281971000,331747000,369151000,363465000,384954000,397467000,410393000,432500000,472911000,508844000,584954000,928566000
48,Accounts Payable,- -,- -,9273000,8521000,16024000,14080000,23990000,20205000,31134000,20213000,16144000,13906000,19243000,17712000,20283000,21340000,15972000,19859000,24841000
49,Short-Term Debt,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3380000,16154000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,6507000,7404000,8788000,- -,- -,692000,943000,1418000,4085000,- -,1065000,861000
51,Deferred Revenue,- -,- -,9732000,9031000,- -,- -,- -,- -,- -,5124000,7519000,2984000,4235000,2544000,3317000,2145000,2962000,7899000,7183000
52,Other Current Liabilities,- -,- -,6135000,10478000,15189000,18018000,14647000,23908000,30970000,38368000,18524000,20845000,23257000,26089000,24463000,37012000,25932000,35815000,48007000
53,Total Current Liabilities,- -,- -,26140000,28030000,31213000,32098000,38637000,44113000,62104000,63705000,42187000,37735000,46735000,46345000,48063000,60497000,44866000,66953000,96185000
54,Long-Term Debt,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206615000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,1463000,1268000,1275000,1019000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000,67000,29000,- -,- -
57,Other Non-Current Liabilities,- -,- -,77000,2617000,541000,941000,5654000,3170000,4900000,5229000,6092000,4752000,1820000,2788000,2128000,2207000,1374000,8100000,13659000
58,Total Non-Current Liabilities,- -,- -,1577000,2617000,541000,941000,7117000,4438000,6175000,6248000,6092000,4752000,1820000,2788000,2244000,2274000,1403000,8100000,220274000
59,Other Liabilities,9022000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449000,161000,- -,- -,10213000,25257000
61,Total Liabilities,9022000,- -,27717000,30647000,31754000,33039000,45754000,48551000,68279000,69953000,48279000,42487000,48555000,49133000,50307000,62771000,46269000,75053000,316459000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
64,Retained Earnings,- -,- -,20996000,32405000,52810000,73615000,97860000,118576000,144485000,174936000,185362000,199080000,201975000,207185000,219929000,239997000,286351000,328090000,351421000
65,Other Comprehensive Income/Loss,- -,- -,-7232000,-8913000,-11317000,-13794000,-537000,-760000,-784000,-694000,-705000,-263000,-1358000,-201000,-127000,-21000,2000,328000,343000
66,Other Total Stockholders Equity,5363000,- -,8883000,10639000,94928000,109917000,110102000,115602000,119765000,124954000,130527000,143648000,148293000,154274000,162150000,170139000,176216000,181481000,260327000
67,Total Stockholders Equity,5363000,- -,22647000,34131000,136423000,169740000,207427000,233420000,263468000,299198000,315186000,342467000,348912000,361260000,381954000,410117000,462571000,509901000,612093000
68,Total Liabilities And Stockholders Equity,14385000,- -,50364000,64778000,168177000,202779000,253181000,281971000,331747000,369151000,363465000,384954000,397467000,410393000,432261000,472888000,508840000,584954000,928552000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000,23000,4000,- -,14000
70,Total Liabilities & Equity,14385000,- -,50364000,64778000,168177000,202779000,253181000,281971000,331747000,369151000,363465000,384954000,397467000,410393000,432500000,472911000,508844000,584954000,928566000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1368622/000114036107013143/0001140361-07-013143-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746908007752/0001047469-08-007752-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746909006487/0001047469-09-006487-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746910006115/0001047469-10-006115-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746911005974/0001047469-11-005974-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746912006915/a2210001z10-k.htm,https://www.sec.gov/Archives/edgar/data/1368622/000104746913007199/0001047469-13-007199-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746914006076/0001047469-14-006076-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746915005880/0001047469-15-005880-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837016006514/0001558370-16-006514-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837017004963/0001558370-17-004963-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837018005457/0001558370-18-005457-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837019005898/0001558370-19-005898-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837020007720/0001558370-20-007720-index.htm,https://www.sec.gov/Archives/edgar/data/1368622/000155837021008684/0001558370-21-008684-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,14682000,11409000,20718000,21386000,24245000,20716000,25909000,30451000,10426000,13718000,2895000,8966000,12479000,20068000,47438000,41074000,23331000
74,Depreciation and Amortization,- -,- -,1053000,1999000,2897000,3849000,5355000,8982000,10599000,8973000,10937000,9155000,8366000,6074000,7054000,5982000,7669000,9888000,19262000
75,Deferred Income Tax,- -,- -,-678000,-1362000,823000,-3104000,-4355000,-253000,-309000,-1340000,5457000,-805000,-3330000,-2751000,-52000,3835000,4792000,3419000,-1694000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,926000,1654000,2306000,3196000,3470000,3622000,3768000,4562000,3709000,4956000,6985000,6227000,6932000
77,Change in Working Capital,- -,- -,-6274000,9166000,101377000,27611000,25271000,18745000,34445000,-17863000,3203000,47855000,13175000,21061000,2664000,32628000,86072000,12252000,23052000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-12834000,3452000,-5626000,-12332000,36185000,-11963000,-1762000,-22260000,-18627000,11211000,25821000,-42869000,17177000
79,Inventory,- -,- -,-6824000,52000,-2562000,-1908000,4321000,-9326000,-17209000,-5402000,-19022000,11862000,11285000,1928000,-22590000,2268000,-16631000,8855000,-5179000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,9910000,-3785000,10929000,-10921000,-4069000,-2238000,5337000,-2705000,2843000,5736000,-7054000,3127000,2565000
81,Other Working Capital,- -,- -,19312000,28478000,129855000,157466000,182737000,201482000,235927000,218064000,221267000,269122000,282297000,303358000,306022000,338650000,424722000,436974000,- -
82,Other Non-Cash Items,- -,- -,49000,-7624000,-110793000,-34218000,-11672000,-13860000,-39464000,-4663000,-9486000,-44682000,14539000,-37361000,-36353000,1740000,-133696000,-47763000,15649000
83,Cash Provided by Operating Activities,- -,- -,8832000,13588000,15022000,15524000,39770000,35984000,33486000,18754000,24007000,28863000,39413000,551000,-10499000,69209000,19260000,25097000,86532000
84,CAPEX,- -,- -,-3541000,-4190000,-3038000,-7928000,-13302000,-10792000,-10173000,-14992000,-12684000,-7893000,-5429000,-6829000,-9862000,-9563000,-8896000,-11220000,-11263000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-395000,-295000,-430000,-3267000,24396000,-33139000,-388289000
86,Purchases of Investments,- -,- -,- -,- -,-249450000,-1057810000,-21523000,-114247000,- -,-2575000,-3037000,- -,-97464000,-94954000,-148991000,-221680000,-267122000,-283364000,-125644000
87,Sales/Maturities of Investments,- -,- -,- -,- -,161125000,1132760000,5325000,275000,9131000,225000,2614000,23473000,79468000,85420000,121922000,228113000,263168000,386809000,146425000
88,Other Investing Activites,- -,- -,8000,-1532000,15000,- -,20000,- -,109000,13000,-850000,-750000,-150000,80000,7000,-1219000,-431000,81000,- -
89,Cash Used for Investing Activites,- -,- -,-3533000,-5722000,-91348000,67022000,-29480000,-124764000,-933000,-17329000,-13107000,15580000,-23820000,-16578000,-37354000,-7616000,11115000,59167000,-378771000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-472000,-390000,-288000,-161000,- -,- -
91,Common Stock Issued,- -,- -,884000,274000,80715000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-433000,-312000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3756000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1000000,-2500000,1143000,1598000,1147000,944000,823000,754000,212000,7194000,848000,1132000,3860000,2308000,-1023000,-1830000,194160000
95,Cash Used/Provided by Financing Activities,- -,- -,1451000,-2538000,81858000,1598000,1147000,944000,823000,754000,212000,7194000,848000,-3096000,3470000,2020000,-1184000,-1830000,194160000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,6750000,5328000,5532000,84144000,11437000,-87836000,33376000,2179000,11112000,51637000,16441000,-19123000,-44383000,63613000,29191000,82434000,-98079000
98,Cash at the End of Period,- -,- -,10060000,15388000,20920000,105064000,116501000,28665000,62041000,64220000,75332000,126969000,143410000,124287000,79904000,143517000,172708000,255142000,157063000
99,Cash at the Beginning of Period,- -,- -,3310000,10060000,15388000,20920000,105064000,116501000,28665000,62041000,64220000,75332000,126969000,143410000,124287000,79904000,143517000,172708000,255142000
100,Free Cash Flow,- -,- -,5291000,9398000,11984000,7596000,26468000,25192000,23313000,3762000,11323000,20970000,33984000,-6278000,-20361000,59646000,10364000,13877000,75269000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1368622/000114036107013143/0001140361-07-013143-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746908007752/0001047469-08-007752-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746909006487/0001047469-09-006487-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746910006115/0001047469-10-006115-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746911005974/0001047469-11-005974-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746912006915/a2210001z10-k.htm,https://www.sec.gov/Archives/edgar/data/1368622/000104746913007199/0001047469-13-007199-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746914006076/0001047469-14-006076-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000104746915005880/0001047469-15-005880-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837016006514/0001558370-16-006514-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837017004963/0001558370-17-004963-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837018005457/0001558370-18-005457-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837019005898/0001558370-19-005898-index.html,https://www.sec.gov/Archives/edgar/data/1368622/000155837020007720/0001558370-20-007720-index.htm,https://www.sec.gov/Archives/edgar/data/1368622/000155837021008684/0001558370-21-008684-index.htm
102,false,,,,,,,,,,,,,,,,,,,
