,https://roic.ai/company/KOSS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1007,0.1127,0.1455,0.1094,0.0441,0.0576,0.0615,0.1277,0.1039,0.0659,0.0742,0.1288,0.1970,0.1717,0.1896,0.2105,0.1998,0.1978,0.1944,0.1620,0.1912,0.1699,0.1491,0.0685,-0.1221,0.1506,0.1026,0.2137,-0.4196,0.0212,0.0873,-0.0321,-0.0152,0.0185,-0.0264,-0.0200
19,Total Other Income Expenses (Gains),- -,300000,- -,-200000,-500000,-700000,-400000,400000,900000,1300000,1300000,900000,900000,1300000,1361458,1079984,894288,753503,1092989,870280,510965,494223,411131,273836,-428875,65633,153745,56090,49589,-12813,-6075,-964,13547,3178,20185,888211
20,Income Before Tax,1400000,2700000,4000000,2700000,700000,700000,1200000,4500000,4600000,3500000,4000000,6000000,8900000,7000000,7972461,9206073,8201343,7441175,8965177,7395828,10243354,8344715,7410569,2887730,-5384642,6316951,4040506,7698481,-9955143,499988,2263038,-773090,-343364,407611,-463857,497719
21,Income Before Tax Ratio,0.1007,0.1268,0.1455,0.1019,0.0257,0.0288,0.0462,0.1402,0.1292,0.1048,0.1099,0.1515,0.2192,0.2108,0.2286,0.2384,0.2243,0.2201,0.2214,0.1836,0.2013,0.1806,0.1579,0.0756,-0.1326,0.1521,0.1067,0.2153,-0.4176,0.0206,0.0870,-0.0321,-0.0146,0.0187,-0.0253,0.0255
22,Income Tax expense (Gain),400000,1300000,1700000,1100000,300000,300000,500000,1700000,1800000,1400000,1600000,2400000,3400000,2700000,3019000,3518552,3160000,2920000,3517030,2902001,4021163,3188195,2916280,911062,-1812417,1943620,1100091,2270766,-4401589,17375,874038,190546,3042696,-26503,1740,4125
23,Net Income,1300000,1400000,2300000,1600000,400000,400000,700000,2800000,2800000,2100000,2400000,3600000,5500000,4300000,4953461,5687521,5041343,4521175,5372272,4493827,6222191,5156520,4494289,1976668,-3572225,4373331,2940415,5427715,-5553554,482613,1389000,-963636,-3386060,434114,-465597,493594
24,Net Income ratio,0.0935,0.0657,0.0836,0.0604,0.0147,0.0165,0.0269,0.0872,0.0787,0.0629,0.0659,0.0909,0.1355,0.1295,0.1420,0.1473,0.1378,0.1338,0.1327,0.1115,0.1223,0.1116,0.0957,0.0518,-0.0880,0.1053,0.0777,0.1518,-0.2329,0.0199,0.0534,-0.0401,-0.1440,0.0199,-0.0254,0.0253
25,EPS,0.04,0.07,0.14,0.10,0.03,0.03,0.06,0.20,0.22,0.14,0.17,0.27,0.42,0.35,0.49,0.68,0.68,0.61,0.71,0.60,0.84,0.70,0.61,0.27,-0.48,0.59,0.40,0.74,-0.75,0.07,0.19,-0.13,-0.46,0.06,-0.06,0.06
26,EPS Diluted,0.04,0.07,0.14,0.10,0.03,0.03,0.06,0.20,0.19,0.14,0.17,0.27,0.41,0.35,0.47,0.64,0.64,0.59,0.69,0.57,0.81,0.69,0.61,0.27,-0.48,0.59,0.40,0.74,-0.75,0.07,0.19,-0.13,-0.46,0.06,-0.06,0.05
27,Weighted Average Shares Outstanding,19348000,19310345,17037037,16000000,12307692,12307692,12173913,13658537,12727273,14525456,14011916,13451372,13095238,12198582,10160946,8425957,7413740,7351504,7513667,7427813,7407370,7366457,7368512,7385962,7442135,7382706,7351038,7334750,7404739,6894471,7310526,7412585,7361000,7401030,7404831,7864688
28,Weighted Average Shares Outstanding Diluted,19348000,19310345,17037037,16000000,12307692,12307692,12173913,13658537,14933333,14525456,14400000,13647059,13333333,12374101,10428339,8886752,7877098,7663008,7842733,7883907,7634590,7473217,7368512,7385962,7442135,7382706,7351038,7334750,7404739,6894471,7310526,7412585,7361000,7407827,7404831,9639273
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56701/000095012495003043/0000950124-95-003043-index.html,- -,https://www.sec.gov/Archives/edgar/data/56701/000095012497004821/0000950124-97-004821-index.html,https://www.sec.gov/Archives/edgar/data/56701/000095012498005202/0000950124-98-005202-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56701/000095013402011206/0000950134-02-011206-index.html,- -,https://www.sec.gov/Archives/edgar/data/56701/000095013404014343/d18773e10vk.htm,https://www.sec.gov/Archives/edgar/data/56701/000095013405018501/d29032e10vk.htm,https://www.sec.gov/Archives/edgar/data/56701/000110465906059662/a06-19032_110k.htm,https://www.sec.gov/Archives/edgar/data/56701/000095013407018572/0000950134-07-018572-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465908054880/0001104659-08-054880-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465909051789/0001104659-09-051789-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465910049173/0001104659-10-049173-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465911050170/0001104659-11-050170-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670112000011/0000056701-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670113000033/0000056701-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670114000028/0000056701-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670115000031/0000056701-15-000031-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670116000084/fy201610-k.htm,https://www.sec.gov/Archives/edgar/data/56701/000005670117000038/0000056701-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670118000033/0000056701-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/56701/000143774919017702/0001437749-19-017702-index.html,https://www.sec.gov/Archives/edgar/data/56701/000143774920018841/0001437749-20-018841-index.htm,https://www.sec.gov/Archives/edgar/data/56701/000005670121000024/0000056701-21-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,30000,30000,20000,1200000,3164401,181678,1052364,1557104,2110917,5218698,6146580,4187682,3322873,1664407,125496,160542,50027,859636,1899411,1000266,735393,432283,1081533,2228282,3999409,6950215
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,30000,30000,20000,1200000,3164401,181678,1052364,1557104,2110917,5218698,6146580,4187682,3322873,1664407,125496,160542,50027,859636,1899411,1000266,735393,432283,1081533,2228282,3999409,6950215
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,9000000,7000000,8400000,7700000,8228185,8727367,8371187,8695553,9340091,8763968,6819852,8230164,10148646,8679606,5141877,6273504,5326537,12185162,4270163,3029511,4114361,3964355,4742120,3700803,2331686,2240785
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,9400000,8800000,14500000,19500000,13000000,9414036,8496010,6380212,7333772,7315359,7595803,10522605,9923544,9374344,9763158,8457325,7867002,9396350,10501172,7054932,7182440,8595485,8345343,6138679,6851448,5538794,5901512
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050000,870000,1470000,1080000,800000,1445756,934934,1315901,1240383,1520371,1987779,1784365,1528782,1288801,899670,1398744,1321574,1350369,1637042,2724223,2393360,281099,206395,206776,133889,267647,456004
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,18100000,18700000,23000000,29000000,22700000,22252378,18339989,17119664,18826812,20286738,23566248,25273402,23870172,24134664,21006841,15123442,15622622,16123283,25183012,15948729,13605577,13726338,12948376,12169108,12914422,12137536,15548516
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,2300000,2500000,2100000,1900000,1564302,1690628,1778055,1923817,2697313,2993700,3037548,2567139,2746367,4076198,2392772,3083990,2735026,2337982,1840491,1592520,1514472,1408091,1132105,3737956,3566043,3586635
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,600000,600000,600000,- -,- -,- -,- -,- -,- -,- -,527323,- -,- -,- -,2366828,3229370,4231609,2673291,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,600000,600000,600000,- -,- -,- -,- -,- -,- -,- -,527323,- -,- -,- -,2366828,3229370,4231609,2673291,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4301591,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,557135,512135,609135,250260,315531,672823,423928,1066853,1237727,2527764,1633191,1357400,419530,1623329,1869253,3212556,3042257,- -,13276,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,200000,300000,1100000,1227627,908576,916280,1862871,2445245,2365982,1930517,2312304,2029123,2149586,3339485,3836314,- -,4612842,4977409,5359663,5667105,6024929,6374372,6569628,6876827,7188994
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,3300000,3300000,3000000,3000000,2791929,3156339,3206470,4395823,5392818,5675213,6168211,5303371,5842343,7463511,10626849,11782865,12625626,10043645,8441229,8821436,10394133,10475277,7506477,10320860,10442870,10775629
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,22000000,26300000,32000000,25700000,25044307,21496328,20326134,23222635,25679556,29241461,31441613,29173543,29977007,28470352,25750291,27405487,28748909,35226657,24389958,22427013,24120471,23423653,19675585,23235282,22580406,26324145
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1300000,700000,2700000,800000,570567,2062476,1854316,2793550,1049406,3012736,1870256,1371152,2950721,1810466,4794598,3642490,4604580,2685748,2464755,2172254,1966656,2243110,1429491,1436373,827705,398433
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265443,783647,288949
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175568,- -,599938,1146051,2732524,175000,- -,- -,- -,- -,- -,- -,4543
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1988052,261977,47753,21175,53365,711407,440002,695640
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1200000,1500000,1200000,900000,1007443,1551679,2534119,2056361,2430098,3021318,7279221,2758614,2636369,1808533,4957686,4037556,3963437,7880940,2040421,1313050,1553899,1128220,1125206,584576,563736,669102
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2500000,2200000,3900000,1700000,1578010,3614155,4388435,4849911,3479504,6034054,9149477,4129766,5587090,3618999,9752284,7680046,8568017,10566688,6493228,3747281,3568308,3392505,2608062,2997799,2615090,2052124
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,500000,1200000,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2305455,2016506
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163018,170281,188932
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,2500000,2600000,2800000,2800000,2972664,2942744,2664953,2559209,1110265,1086165,1117830,1114153,1172482,1220961,2555759,4279390,3085653,3270295,2656863,2326713,2365969,2458836,2549711,5002364,2333482,2491482
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,3000000,3800000,5500000,2800000,2972664,2942744,2664953,2559209,1110265,1086165,1117830,1114153,1172482,1220961,3805759,4279390,3085653,3270295,2656863,2326713,2365969,2458836,2549711,5165382,4809218,4696920
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2847845,2582402,2305455
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,5500000,6000000,9400000,4500000,4550674,6556899,7053388,7409120,4589769,7120219,10267307,5243919,6759572,4839960,13558043,11959436,11653670,13836983,9150091,6073994,5934277,5851341,5157773,8163181,7424308,6749044
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23494,19434,19559,18802,18849,18728,541782,1104200,1649408,2049384,36914,36914,36914,36914,36914,36914,36914,36914,36914,37024,37024,43044
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,13500000,15900000,19500000,24100000,22700000,21960139,16409995,14743187,17284713,21070938,22102514,20632524,22825424,21568027,21581008,10663238,13264721,14433286,18089152,11206711,11689324,13078324,12114688,8728628,8848684,8236345,8729939
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9900000,-10300000,-11000000,-11600000,-12200000,-12888178,-13415811,-13992703,-1490000,-14435868,-14935897,-14011121,-13302678,-11114852,-11729308,-6354235,-4977914,-5383024,-6223248,-7066840,-7621689,-7371324,-7709399,-7363134,-7716695,-7946531,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,10900000,11800000,10100000,10700000,11398178,11925811,12502703,- -,14435868,14935897,14011121,13302678,11114852,11729308,7846331,7122330,8008063,9486856,11063082,12248470,12442280,13130109,13115404,13903088,14829260,10802118
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,16800000,16500000,20300000,22600000,21200000,20493633,14939429,13272746,15813515,21089787,22121242,21174306,23929624,23217435,23630392,12192248,15446051,17095239,21389674,15239867,16353019,18186194,17572312,14517812,15072101,15156098,19575101
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,22000000,26300000,32000000,25700000,25044307,21496328,20326134,23222635,25679556,29241461,31441613,29173543,29977007,28470352,25750291,27405487,28748909,35226657,24389958,22427013,24120471,23423653,19675585,23235282,22580406,26324145
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,22000000,26300000,32000000,25700000,25044307,21496328,20326134,23222635,25679556,29241461,31441613,29173543,29977007,28470352,25750291,27405487,28748909,35226657,24389958,22427013,24120471,23423653,19675585,23235282,22580406,26324145
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/56701/000095012495003043/0000950124-95-003043-index.html,- -,https://www.sec.gov/Archives/edgar/data/56701/000095012497004821/0000950124-97-004821-index.html,https://www.sec.gov/Archives/edgar/data/56701/000095012498005202/0000950124-98-005202-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56701/000095013402011206/0000950134-02-011206-index.html,- -,https://www.sec.gov/Archives/edgar/data/56701/000095013404014343/d18773e10vk.htm,https://www.sec.gov/Archives/edgar/data/56701/000095013405018501/d29032e10vk.htm,https://www.sec.gov/Archives/edgar/data/56701/000110465906059662/a06-19032_110k.htm,https://www.sec.gov/Archives/edgar/data/56701/000095013407018572/0000950134-07-018572-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465908054880/0001104659-08-054880-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465909051789/0001104659-09-051789-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465910049173/0001104659-10-049173-index.html,https://www.sec.gov/Archives/edgar/data/56701/000110465911050170/0001104659-11-050170-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670112000011/0000056701-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670113000033/0000056701-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670114000028/0000056701-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670115000031/0000056701-15-000031-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670116000084/fy201610-k.htm,https://www.sec.gov/Archives/edgar/data/56701/000005670117000038/0000056701-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/56701/000005670118000033/0000056701-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/56701/000143774919017702/0001437749-19-017702-index.html,https://www.sec.gov/Archives/edgar/data/56701/000143774920018841/0001437749-20-018841-index.htm,https://www.sec.gov/Archives/edgar/data/56701/000005670121000024/0000056701-21-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,1600000,400000,400000,700000,2800000,2800000,2100000,2400000,3600000,5500000,4300000,4953461,5687521,5041343,4521175,5372272,4493827,6222191,5156520,4494289,1976668,-3572225,4373331,2940415,5427715,-5553554,482613,1389000,-963636,-3386060,434114,-465597,493594
74,Depreciation and Amortization,- -,- -,- -,500000,600000,700000,700000,800000,700000,800000,800000,700000,700000,600000,663422,600819,576892,584761,660805,1043951,955166,973802,961605,817957,635172,564614,844223,2398542,1099203,559631,487134,503585,526261,429750,330629,302616
75,Deferred Income Tax,- -,- -,- -,-100000,- -,-100000,- -,- -,-100000,-200000,-600000,-100000,100000,100000,-294027,229000,-329000,24000,91504,-61875,-864999,489643,-302121,-107000,211219,1445044,569619,729720,-2608369,284783,702013,170299,3042257,-13276,13276,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399996,435121,442998,480623,583069,684554,630539,444175,349754,331560,387556,549594,619137
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,800000,4600000,4300000,-4100000,-325632,-5948534,-1994605,1245672,2830333,724960,-1408269,3616481,-1192832,-1159732,-12016684,2571418,-387310,7061058,-5160823,402795,299734,-602159,5175,355577,-394177,3973946
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1392033,72439,-1923495,679355,-6872186,9206295,311182,-735388,-398815,-773330,1031180,1281693,85505
79,Inventory,- -,- -,- -,- -,- -,- -,1400000,- -,- -,-1500000,600000,-5700000,-4900000,6500000,- -,- -,- -,- -,18413,-280444,-2926802,599061,489200,-388814,251510,590323,-1529348,-1104822,-5672,-127508,-1413045,250142,2206664,-712769,1312654,-362718
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1140255,1671877,-1152108,836090,-1918832,-467581,-292501,-205598,276454,-813619,6882,-608668,-429272
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,16200000,20800000,25100000,21000000,20674368,14725834,12731229,13976901,16807234,17532194,16123925,19740406,18547574,17387842,5371158,7942576,7555266,14616324,9455501,9858296,10158030,9555871,9561046,9916623,9522446,13496392
82,Other Non-Cash Items,- -,- -,- -,-100000,1600000,-1600000,600000,-2800000,-2900000,-16300000,-1500000,-8900000,-8800000,9200000,3057378,8355047,4507935,-3002330,-4453226,1762174,922248,-5329260,1376188,450737,15290028,-5056554,461174,-12703887,15130421,-2700951,-3007431,776409,511894,-182656,1767977,-5040553
83,Cash Provided by Operating Activities,- -,- -,- -,1900000,2600000,-600000,2000000,800000,500000,1800000,1900000,-100000,1800000,10100000,8054602,8923853,7802565,3373278,4501688,7963037,5826337,4907186,5337129,2378626,982631,4340851,4908744,3496217,3591432,-340590,314625,234252,1031087,1411065,1801702,348740
84,CAPEX,- -,- -,- -,-800000,-1300000,-1000000,-400000,-700000,-400000,-800000,-700000,-800000,-200000,-400000,-349620,-814851,-664319,-627567,-1344169,-1170494,-921807,-426070,-1179344,-2147866,-1436830,-2279772,-1498213,-655480,-535868,-326613,-449796,-403434,-250618,-187756,-424159,-600155
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8648,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
