,https://roic.ai/company/UL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,27009885439,23590798557,23816148614,26351257298,27465441255,31963337159,32321363721,28254406822,33836554109,34541959008,34673914519,42377765746,44136520879,34274823172,38535567329,2254525723,- -,19131825720,15990176140,16734270800,13203000675,14141000000,14384000000,12014000000,14223000000,14849000000,12033000000,13639000000,13168000000,12163000000,15070000000,14683000000,14311000000,9678000000,14170000000,12673000000,- -
11,COGS and Expenses,- -,- -,27009885439,23590798557,23816148614,26351257298,27465441255,31963337159,32321363721,28254406822,33836554109,34541959008,34673914519,42377765746,44136520879,34274823172,38535567329,66072026585,46340000000,41057759480,35911594810,36730562560,32742001380,34234000000,34942000000,33356000000,34803000000,37903000000,39963000000,44342000000,42413000000,40550000000,45878000000,44912000000,44858000000,38447000000,43272000000,41357000000,- -
12,Interest Income ,- -,- -,192939334,221107596,257588556,165090727,224406322,190031731,239055069,261068661,279717635,172110595,165102401,189880570,402757588,513761441,459790248,609809988,- -,- -,- -,145000000,128999663,128000000,147000000,106000000,75000000,77000000,92000000,136000000,103000000,117000000,144000000,115000000,157000000,135000000,224000000,232000000,147000000
13,Interest Expense (Gain),- -,- -,316161094,291585642,299320780,361039534,563719496,665814880,624898338,446829054,495802822,451312227,472409790,535243056,512463946,365152760,474259172,1609291089,1646000000,1026877555,763000000,775000000,723000349,590000000,550000000,506000000,504000000,479000000,531000000,520000000,493000000,482000000,548000000,662000000,661000000,629000000,793000000,712000000,501000000
14,Depreciation and Amortization,- -,- -,560983274,548623222,487835310,521501550,535330745,644700243,732543019,699111750,894831297,933221894,959281105,1168178289,1106080540,883160163,1191274735,3084474587,2845000000,2584454640,2034304860,2857034640,876999393,982000000,943000000,1003000000,1032000000,993000000,1029000000,1199000000,1151000000,1432000000,1370000000,1464000000,1538000000,1747000000,1982000000,2018000000,1763000000
15,EBITDA,- -,- -,2357426822,2368615121,2678057557,3062664426,3324187628,3464208075,3784339602,3627348217,3877602287,4343561465,4148047191,5247858650,8564610048,5477291393,6049617850,8653735100,7876000000,7281219665,7078714620,6287682640,6547000112,7463000000,6509000000,8380000000,6163000000,7250000000,7434000000,7934000000,8337000000,9216000000,8788000000,9232000000,9919000000,14340000000,10663000000,10234000000,10248000000
16,EBITDA ratio,- -,- -,0.0871,0.1000,0.1124,0.1160,0.1206,0.1083,0.1169,0.1170,0.1050,0.1148,0.1092,0.1138,0.1915,0.1428,0.1394,0.1152,0.1509,0.1507,0.1661,0.1566,0.1705,0.1883,0.1620,0.2068,0.1548,0.1638,0.1600,0.1546,0.1674,0.1903,0.1650,0.1751,0.1847,0.2813,0.2051,0.2018,0.1954
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,2653361291,2567834403,3220380470,3044150844,3434361612,3330264233,4182272886,4557711030,5215014047,- -,5129837510,5473248790,3408819280,5073999382,5408000000,5245000000,7167000000,5020000000,6339000000,6433000000,6989000000,7517000000,7980000000,7515000000,7801000000,8857000000,12535000000,8708000000,8303000000,8702000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0856,0.0695,0.0851,0.0801,0.0745,0.0744,0.1091,0.1050,0.0694,- -,0.1062,0.1284,0.0849,0.1321,0.1364,0.1305,0.1769,0.1261,0.1432,0.1384,0.1362,0.1510,0.1648,0.1411,0.1480,0.1649,0.2459,0.1675,0.1637,0.1659
19,Total Other Income Expenses (Gains),- -,- -,1490010488,1484184737,- -,2186294958,2199452327,2470412503,2445072022,-106686712,-13256760,-182309742,-249461292,221527332,3761575531,183991701,40191455,-915980148,-2242000000,-1459950040,-1191839030,-571702000,-557999187,-577000000,-61000000,-38000000,-104000000,-207000000,-188000000,-306000000,-403000000,-334000000,-295000000,-332000000,-704000000,-152000000,-419000000,-307000000,-146000000
20,Income Before Tax,- -,- -,1545136012,1579537388,1909609016,2243382406,2302192571,2508418850,2505185285,2546674579,2554577643,3038070728,2794689551,3655888944,7091839764,4366264586,4597902485,4299033899,3624000000,3669887470,4281409760,2837117280,4516000196,4831000000,5184000000,7129000000,4916000000,6132000000,6245000000,6683000000,7114000000,7646000000,7220000000,7469000000,8153000000,12383000000,8289000000,7996000000,8556000000
21,Income Before Tax Ratio,- -,- -,0.0571,0.0667,0.0802,0.0849,0.0835,0.0784,0.0774,0.0821,0.0692,0.0803,0.0736,0.0793,0.1585,0.1139,0.1059,0.0572,0.0694,0.0760,0.1005,0.0707,0.1176,0.1219,0.1290,0.1759,0.1234,0.1385,0.1344,0.1302,0.1429,0.1579,0.1355,0.1417,0.1518,0.2429,0.1595,0.1576,0.1631
22,Income Tax expense (Gain),- -,- -,643671560,610809734,768448541,893341412,882754990,862884823,815024007,861024525,768892077,971468693,941204200,1329163989,1940149425,1436550585,1450107707,2214040413,1547000000,1539046550,1524537600,781203120,1181000555,1146000000,1128000000,1844000000,1257000000,1534000000,1622000000,1735000000,1851000000,2131000000,1961000000,1922000000,1667000000,2575000000,2263000000,1923000000,1935000000
23,Net Income,- -,- -,836610894,917596523,1122452926,1286781930,1342382397,1290808129,1611874237,1620382889,1718076090,1987558651,1775152095,2215273316,5005916138,2792427886,2933976236,1745929011,1838000000,2130840920,2756872160,1874444880,3765999815,4745000000,3888000000,5027000000,3370000000,4244000000,4252000000,4480000000,4842000000,5171000000,4909000000,5184000000,6053000000,9389000000,5625000000,5581000000,6049000000
24,Net Income ratio,- -,- -,0.0309,0.0387,0.0471,0.0487,0.0487,0.0403,0.0498,0.0523,0.0465,0.0526,0.0467,0.0480,0.1119,0.0728,0.0676,0.0232,0.0352,0.0441,0.0647,0.0467,0.0981,0.1197,0.0967,0.1241,0.0846,0.0959,0.0915,0.0873,0.0972,0.1068,0.0921,0.0983,0.1127,0.1842,0.1082,0.1100,0.1153
25,EPS,- -,- -,0.28,0.31,0.38,0.43,0.45,0.43,0.54,0.54,0.57,0.66,0.59,0.74,1.67,0.93,0.93,0.55,0.60,0.69,94.07,94.36,2.87,1.65,1.35,1.79,1.21,1.51,1.51,1.58,1.71,1.82,1.73,1.83,2.16,3.50,2.15,2.13,2.31
26,EPS Diluted,- -,- -,0.28,0.31,0.38,0.43,0.45,0.43,0.54,0.54,0.57,0.66,0.59,0.74,1.63,0.91,0.91,0.54,0.60,0.67,91.31,90.62,2.78,1.60,1.31,1.73,1.17,1.46,1.46,1.54,1.66,1.79,1.72,1.82,2.15,3.48,2.14,2.12,2.30
27,Weighted Average Shares Outstanding,- -,- -,2989285236,2989285236,2981230237,2985775236,2990615950,2989285236,2994116306,3013946839,3017736481,3021196659,3024391658,3024658444,2987496888,2989726396,3135547800,2967651900,2948535000,2930229000,2906719650,2890221750,1310836500,2883258000,2874620000,2809600000,2796300000,2812300000,2815900000,2828800000,2838100000,2840500000,2840100000,2840200000,2801600000,2683400000,2616800000,2620300000,2620300000
28,Weighted Average Shares Outstanding Diluted,- -,- -,2989285236,2989285236,2981230237,2985775236,2990615950,2989285236,2994116306,3013946839,3017736481,3021196659,3024391658,3024658444,3060003528,3064711652,3215134350,3042824850,3030030000,3080398162,3027351248,3030014250,1353109050,2972468000,2976125000,2905900000,2890000000,2905100000,2908100000,2915900000,2924000000,2882600000,2855400000,2853900000,2814000000,2694800000,2626700000,2629800000,2629800000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/217410/000102123103000386/0001021231-03-000386-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000102123104000199/0001021231-04-000199-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000102123105000243/0001021231-05-000243-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/217410/000115697308000355/0001156973-08-000355-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000095012309004220/0000950123-09-004220-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000095012310021289/0000950123-10-021289-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000095012311021977/0000950123-11-021977-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312512094131/0001193125-12-094131-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312513097045/0001193125-13-097045-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312514087835/0001193125-14-087835-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312515079958/0001193125-15-079958-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312516472832/0001193125-16-472832-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312517060492/0001193125-17-060492-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312518062395/0001193125-18-062395-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312519070426/0001193125-19-070426-index.htm,https://www.sec.gov/Archives/edgar/data/217410/000119312520067343/0001193125-20-067343-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,971182026,1710820023,689301220,641848061,485312468,837547259,879331219,1375631019,794079921,1230272032,1336485861,1806617307,5022447233,5444739016,3993422997,4126971330,132000000,2253774050,1850883930,1586012000,1528999985,1039000000,1098000000,2561000000,2642000000,1428000000,1241000000,970000000,925000000,1611000000,1647000000,1869000000,1984000000,3230000000,4185000000,5548000000,3415000000
32,Short-Term Investments,- -,- -,1415428897,2766608793,778521837,1539818185,236572930,339241831,494885932,453104743,759612345,666769195,457948266,515979810,3773598145,4928146933,1475830238,1042496743,- -,1227425360,1488012220,1015047680,334999577,237000000,216000000,632000000,972000000,127000000,1453000000,401000000,760000000,671000000,337000000,300000000,377000000,680000000,887000000,749000000,1080000000
33,Cash and Short-Term Investments,- -,- -,2386610923,4477428816,1467823057,2181666246,721885398,1176789090,1374217151,1828735762,1553692267,1897041227,1794434128,2322597116,8796045378,10372885949,5469253235,5169468073,132000000,3481199410,3338896150,2601059680,1863999562,1276000000,1314000000,3193000000,3614000000,1555000000,2694000000,1371000000,1685000000,2282000000,1984000000,2169000000,2361000000,3910000000,5072000000,6297000000,4495000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,3949581663,3512846929,3565946602,4060923310,4382682510,4204628004,4045762397,4174588294,4572256508,4773200507,5172405155,5374445696,4675294237,4742739912,5120391404,8557582487,- -,4503736220,4167863470,3755528880,4106999885,3796000000,3894000000,3889000000,3578000000,4309000000,4601000000,4436000000,3937000000,4168000000,4335000000,4278000000,3962000000,4301000000,4164000000,4462000000,4683000000
36,Other Current Assets,- -,- -,3348064916,3134200171,3476725985,3945205510,4643588655,4614251958,4922297650,4897547662,5657985149,5821162797,5693020026,6297705569,6917511853,6729850278,7679783276,18132358399,- -,8238425650,5871057820,5698578000,5171000305,4429000000,4720000000,4093000000,3619000000,6620000000,6996000000,6340000000,6500000000,5897000000,6367000000,7437000000,10660000000,7270000000,7194000000,5398000000,8223000000
37,Total Current Assets,- -,- -,9684257502,11124475917,8510495644,10187795066,9748156563,9995669052,10342277198,10900871718,11783933924,12491404531,12659859308,13994748382,20388851468,21845476139,18269427915,31859408959,132000000,16223361280,13377817440,12055166560,11141999751,9501000000,9928000000,11175000000,10811000000,12484000000,14291000000,12147000000,12122000000,12347000000,12686000000,13884000000,16983000000,15481000000,16430000000,16157000000,17401000000
38,PP&E,- -,- -,4928870385,4842256350,5561898151,6463224827,7351334820,7785670402,8313804068,8883865287,10124187578,10400579523,10497861441,10916756824,9030486362,8180554071,8816397632,15533707537,- -,7442695700,6643649010,6266591600,6491999725,6276000000,6284000000,5957000000,6644000000,7854000000,8774000000,9445000000,9344000000,10472000000,11058000000,11673000000,10411000000,10347000000,12062000000,10558000000,10347000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000,- -,13433399540,- -,18055000000,12425000000,12244000000,11665000000,12464000000,13178000000,14896000000,14619000000,13917000000,14642000000,16213000000,17624000000,16881000000,17341000000,18067000000,18942000000,20330000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283064155,643063285,41788431336,- -,20292543180,4248854530,15326777360,-685,4781000000,4511000000,4426000000,4583000000,5100000000,7017000000,7099000000,6987000000,7532000000,8846000000,9809000000,11520000000,12152000000,12962000000,15999000000,18261000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283064155,643063285,41788431336,131000000,20292543180,17682254070,15326777360,18054999315,17206000000,16755000000,16091000000,17047000000,18278000000,21913000000,21718000000,20904000000,22174000000,25059000000,27433000000,28401000000,29493000000,31029000000,34941000000,38591000000
42,Investments,- -,- -,309675738,2895127583,125196672,134232647,120314233,129503106,156574080,170698740,160406795,124939543,43384573,27518923,19536749,31137057,33760822,1290469269,- -,- -,- -,- -,-250999966,- -,- -,-492000000,- -,471000000,-884000000,216000000,-164000000,110000000,341000000,270000000,188000000,16000000,-55000000,68000000,-91000000
43,Tax Assets,- -,- -,971182026,1710820023,689301220,641848061,485312468,837547259,879331219,1375631019,794079921,1230272032,1336485861,1806617307,5022447233,5444739016,3993422997,4126971330,- -,- -,- -,1491000000,1702999700,1266000000,1003000000,1068000000,738000000,607000000,421000000,1113000000,1084000000,1286000000,1185000000,1354000000,1085000000,1117000000,1336000000,1474000000,1465000000
44,Other Non-Current Assets,- -,- -,-775000014,-1511823187,-497908605,-455156678,-285239361,-641884958,-707379327,-1199911729,-669466378,-1112981849,-1205127017,-1651135391,-4894706953,-5327267391,-3885709897,-3590540967,- -,679467610,197713470,-1289613360,2359001592,2823000000,3332000000,2343000000,1776000000,1473000000,2997000000,1527000000,2223000000,1638000000,1969000000,1815000000,3217000000,3002000000,4004000000,4461000000,7382000000
45,Total Non-Current Assets,- -,- -,5434728134,7936380769,5878487437,6784148858,7671722160,8110835809,8642330040,9230283318,10409207917,10642809249,10672604858,11099757663,9177763390,8612226907,9600934839,59149038505,131000000,28414706490,24523616550,21794755600,28358000365,27571000000,27374000000,24967000000,26205000000,28683000000,33221000000,34019000000,33391000000,35680000000,39612000000,42545000000,43302000000,43975000000,48376000000,51502000000,57694000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,15118985637,19060856687,14388983081,16971943924,17419878723,18106504861,18984607238,20131155036,22193141841,23134213780,23332464167,25094506045,29566614858,30457703046,27870362754,91008447464,263000000,44638067770,37901433990,33849922160,39500000116,37072000000,37302000000,36142000000,37016000000,41167000000,47512000000,46166000000,45513000000,48027000000,52298000000,56429000000,60285000000,59456000000,64806000000,67659000000,75095000000
48,Accounts Payable,- -,- -,1921286647,1813082286,1981561126,2534991261,2732079381,2903966379,3099328000,3233234951,3619095468,3808106280,3802175737,3880168168,3579733485,3484519744,4051298693,8504445517,- -,4417968920,3700179800,3726021680,3988000558,7934000000,8017000000,3873000000,8413000000,6017000000,6767000000,7084000000,6995000000,7636000000,8296000000,8591000000,8217000000,9121000000,9190000000,8375000000,14861000000
49,Short-Term Debt,- -,- -,1588912163,3058194435,505103817,1598448537,1788491351,1392158385,1126774185,1252627516,1760497722,1512023451,1428075515,1696541614,1414160038,2322541389,2933976236,26328103424,11279000000,9519217330,7421004380,5151219440,6006000621,4362000000,4166000000,4842000000,2279000000,2276000000,5739000000,2656000000,3542000000,5029000000,4382000000,5275000000,7705000000,2960000000,4450000000,4286000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,553999344,579000000,395000000,377000000,487000000,1041000000,1122000000,1548000000,1885000000,1636000000,1686000000,1312000000,1627000000,1943000000,1405000000,1852000000,1365000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,2506590005,5212611573,3009037266,3011748594,3410705728,3329074399,3645939299,3854528157,4133457754,3820855213,3825073150,4210395246,4768469500,12150528841,5141290960,9951795365,-10482000000,6683178610,5922669770,5682349040,5400000407,1588000000,1376000000,5085000000,907000000,5313000000,5423000000,6075000000,6845000000,6977000000,7341000000,6690000000,7255000000,7691000000,7338000000,7931000000,9917000000
53,Total Current Liabilities,- -,- -,6016788815,10083888294,5495702209,7145188392,7931276460,7625199163,7872041484,8340390624,9513050944,9140984944,9055324402,9787105028,9762363023,17957589974,12126565889,44784344306,797000000,20620364860,17043853950,14559590160,15394001586,13884000000,13559000000,13800000000,11599000000,13606000000,17929000000,15815000000,17382000000,19642000000,20019000000,20556000000,23177000000,19772000000,20978000000,20592000000,24778000000
54,Long-Term Debt,- -,- -,1049006296,1145613731,1272113316,1411757154,2015601364,2476043073,2361193050,2113652041,1952720741,2632654660,2644048674,2955532349,2598387572,2277251125,1852022260,20629795984,- -,10942954510,8450861290,6887718160,6610000185,4239000000,5483000000,6363000000,7692000000,7258000000,7787000000,7463000000,7323000000,6857000000,9580000000,11067000000,16127000000,21373000000,23354000000,22481000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,671234322,769730818,944011691,936542724,396090677,329388334,398425115,494524290,1201062452,1058161437,1078588680,1206704781,2013787939,1358707943,1270049987,1659897727,- -,504121130,745594170,510474560,933000106,1003000000,1213000000,790000000,764000000,880000000,1125000000,1393000000,1524000000,1534000000,1744000000,2061000000,1913000000,1923000000,2573000000,3166000000,4530000000
57,Other Non-Current Liabilities,- -,- -,1619717603,1576773543,1731167781,1970288399,2759116287,3034877127,2895222503,2835356271,2962885850,3296874068,3347842852,3544437305,3578230659,3712386389,4286016792,10060599636,- -,6068512960,5312060700,6000289120,7797998642,6274000000,4228000000,4817000000,4425000000,4345000000,5750000000,5779000000,4469000000,5731000000,4873000000,5764000000,4681000000,4096000000,4015000000,3765000000,26041000000
58,Total Non-Current Liabilities,- -,- -,3339958221,3492118092,3947292788,4318588277,5170808328,5840308534,5654840668,5443532601,6116669043,6987690165,7070480206,7706674436,8190406169,7348345456,7408089038,32350293347,- -,17515588600,14508516160,13398481840,15340998933,11516000000,10924000000,11970000000,12881000000,12483000000,14662000000,14635000000,13316000000,14122000000,16197000000,18892000000,22721000000,27392000000,29942000000,29412000000,30571000000
59,Other Liabilities,- -,- -,- -,- -,- -,8637176553,- -,- -,11309681337,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30681997866,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000000,187000000,204000000,199000000,195000000,143000000,131000000,128000000,1919000000,1771000000,- -
61,Total Liabilities,- -,- -,9356747036,13576006387,9442994997,11463776669,13102084788,13465507696,13526882153,13783923225,15629719987,16128675109,16125804608,17493779464,17952769193,25305935430,19534654928,77134637654,- -,38135953460,31552370110,27958072000,30735000519,25400000000,24483000000,25770000000,24480000000,26089000000,32591000000,30450000000,30698000000,33764000000,36216000000,39448000000,45898000000,47164000000,50920000000,50004000000,55349000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130556890,129426890,129831680,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,150784522,128518790,133830926,143490071,125721614,130910748,130012406,116727815,124613544,119839970,113281940,129338939,141265721,133040153,151119872,561733682,- -,512697860,511355320,511949920,512000268,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,464000000,420000000,92000000,92000000
64,Retained Earnings,- -,- -,5006694654,4759341001,3895487269,4466707060,3218743694,3538813124,4342134763,5213842385,5688475697,6253351625,6419711617,6815061325,10883471831,4615361042,6538345946,11282749944,- -,5782621960,6179141460,6092499120,10015000717,12724000000,15162000000,15812000000,17350000000,19273000000,19676000000,20731000000,20468000000,20560000000,22619000000,23180000000,26648000000,26265000000,18212000000,22548000000,46745000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7083736603,-7607606312,-6995658847,-6947809677,-7335744419,-14731592325,- -,- -,- -,- -,-7366999926,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,212395401,236308743,231685796,226806887,256850610,274490278,287984469,301233070,299602775,140238263,7195813416,7668147943,6995658847,6823261449,8273009156,15333811317,- -,-552722600,-909958380,-1204631440,5200998395,-1978000000,-3259000000,-6348000000,-5769000000,-5272000000,-5867000000,-6056000000,-6608000000,-7393000000,-7664000000,-7309000000,-13503000000,-15157000000,-5440000000,-7374000000,-29730000000
67,Total Stockholders Equity,- -,- -,5369874577,5124168534,4261003991,4837004018,3601315918,3944214151,4760131638,5631803270,6112692015,6513429858,6645070369,7004941895,11024737552,4623852967,7626730555,12446702618,- -,5873154110,5909965290,5529649280,8360999454,11230000000,12387000000,9948000000,12065000000,14485000000,14293000000,15159000000,14344000000,13651000000,15439000000,16355000000,13629000000,11572000000,13192000000,15266000000,17107000000
68,Total Liabilities And Stockholders Equity,- -,- -,14726621613,18700174921,13703998988,16300780687,16703400706,17409721847,18287013791,19415726495,21742412002,22642104967,22770874977,24498721358,28977506745,29929788397,27161385483,89581340272,263000000,44009107570,37462335400,33487721280,39095999973,36630000000,36870000000,35718000000,36545000000,40574000000,46884000000,45609000000,45042000000,47415000000,51655000000,55803000000,59527000000,58736000000,64112000000,65270000000,72456000000
69,Minority Interest,- -,- -,392364024,360681766,684984093,671163237,716478017,696783014,697593447,715428541,450729838,492108813,561589190,595784687,589108113,527914649,708977271,1427107192,- -,628960200,439098590,362200880,404000143,442000000,432000000,424000000,471000000,593000000,628000000,557000000,471000000,612000000,643000000,626000000,758000000,720000000,694000000,2389000000,2639000000
70,Total Liabilities & Equity,- -,- -,15118985637,19060856687,14388983081,16971943924,17419878723,18106504861,18984607238,20131155036,22193141841,23134213780,23332464167,25094506045,29566614858,30457703046,27870362754,91008447464,263000000,44638067770,37901433990,33849922160,39500000116,37072000000,37302000000,36142000000,37016000000,41167000000,47512000000,46166000000,45513000000,48027000000,52298000000,56429000000,60285000000,59456000000,64806000000,67659000000,75095000000
