,https://roic.ai/company/ISR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,287610,287610,324728,324728,329225,329225,329225,329225,329225,804044,2358558,2430000,12051964,17827522,23028075,22942088,22960421,25131563,28621831,34423420,42675158,54882350,55014922,55016000,55159000,67042000,67601000,103841000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728387/000114420406040210/0001144204-06-040210-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420407051852/0001144204-07-051852-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420408055023/0001144204-08-055023-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420409049648/0001144204-09-049648-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420410051286/0001144204-10-051286-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420411055313/0001144204-11-055313-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420412053737/0001144204-12-053737-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420413053136/0001144204-13-053136-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420414058408/0001144204-14-058408-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420415054865/0001144204-15-054865-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420416123313/0001144204-16-123313-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420417050344/0001144204-17-050344-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774918017492/0001437749-18-017492-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774919019176/0001437749-19-019176-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774920020189/0001437749-20-020189-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774921022693/0001437749-21-022693-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32587000,2207452,9355730,4820033,2990744,1678869,2112254,2672711,2899927,7680073,5226740,10139026,5932000,2600000,5326000,2392000,63828000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9942840,3726000,1679820,- -,- -,- -,- -,10002912,9362574,2247111,3039000,825000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32587000,2207452,19298570,8546033,4670564,1678869,2112254,2672711,2899927,17682985,14589314,12386137,8971000,3425000,5326000,2392000,63828000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,596447,1092925,1016495,746568,896266,1218736,874981,935282,966131,1068656,604975,793000,1233000,1240000,2075000,2045000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161381,880834,899964,789246,681677,749849,444345,405571,359737,403955,334395,323000,494000,530000,645000,980000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161546,458123,267001,151077,259975,141154,144116,202880,206047,263597,303734,204000,294000,219000,395000,449000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32587000,3126826,21730452,10729493,6357455,3516787,4221993,4136153,4443660,19214900,16325522,13629241,10291000,5446000,7315000,5507000,67302000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1642293,3665551,6040641,4891484,3959983,3208911,2416853,1684282,1017915,574840,576692,1054000,1311000,1609000,2736000,2726000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273475,262074,478367,- -,218324,203194,203256,215176,223756,198490,150533,230000,198000,162000,138000,130000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273475,262074,478367,11867,218324,203194,203256,215176,223756,198490,150533,230000,198000,162000,138000,130000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5401398,5106775,2973348,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,926,926,926,- -,613345,418085,563392,480760,247701,254797,749220,712238,691286,797657,772036,694000,500000,336000,318000,258000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,926,926,926,- -,2529113,4345710,7082400,5384111,4426008,3666902,3369329,2611696,7334355,6677762,4472609,1978000,2009000,2107000,3192000,3114000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,926,926,926,32587000,5655939,26076162,17811893,11741566,7942795,7888895,7505482,7055356,26549255,23003284,18101850,12269000,7455000,9422000,8699000,70416000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,395,21355000,584296,1946042,751402,- -,- -,- -,- -,432566,574855,498253,610585,630000,1391000,683000,654000,730000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,689905,244067,90046,161437,49445,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000,252000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127419,236282,212795,72220,138000,155000,89000,352000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23876,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,683941,565128,392244,- -,626631,592146,344612,887585,961528,774198,648992,360302,579072,593941,482732,476000,444000,438000,685000,819000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1083941,565128,392639,21355000,1900832,2806131,1186060,1049022,1010973,774198,648992,792868,1153927,1092194,1093317,1106000,1835000,1121000,1575000,1801000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,581557,528246,344898,176023,130550,- -,- -,- -,- -,- -,- -,- -,- -,- -,769000,524000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287840,25560,506005,553471,605391,662181,1038298,896242,1439560,1128849,607480,561000,590000,621000,632000,685000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,869397,553806,850903,729494,735941,662181,1038298,896242,1439560,1128849,607480,561000,590000,621000,1401000,1209000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220415,25560,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1005000,776000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1083941,565128,392639,21355000,2770229,3359937,2036963,1778516,1746914,1436379,1687290,1689110,2593487,2221043,1700797,1667000,2425000,1742000,2976000,3010000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145,59,59,59,59,59,59,59,59,59,59,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,9887,62994,72456,2498000,15158,22789,22942,22942,23049,26443,30950,34618,54702,54968,55010,55000,56000,67000,69000,142000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-7284468,-7344495,-7268738,-6994366000,-13546261,-23151416,-31708923,-37869764,-41903620,-44745833,-48234738,-52091334,-58050456,-61731507,-66442315,-72604000,-79348000,-84492000,-87938000,-91325000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6122007,-767913,-1956853,-3163788,-4117031,-4336880,-5183995,-5923142,-6548815,-7114836,-7541126,-7591000,-7671000,-7370000,-7517000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,6191566,6717299,6804569,7003100000,22538675,46612706,49417705,50973601,52193424,55508727,59205916,63346045,88500278,89573557,90329425,90742000,91993000,99475000,101109000,158589000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,-1083015,-564202,-391713,11232000,2885710,22716225,15774930,9963050,6195881,6452516,5818192,5366246,23955768,20782241,16401053,10602000,5030000,7680000,5723000,67406000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,926,926,926,32587000,5655939,26076162,17811893,11741566,7942795,7888895,7505482,7055356,26549255,23003284,18101850,12269000,7455000,9422000,8699000,70416000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,926,926,926,32587000,5655939,26076162,17811893,11741566,7942795,7888895,7505482,7055356,26549255,23003284,18101850,12269000,7455000,9422000,8699000,70416000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728387/000114420406040210/0001144204-06-040210-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420407051852/0001144204-07-051852-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420408055023/0001144204-08-055023-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420409049648/0001144204-09-049648-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420410051286/0001144204-10-051286-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420411055313/0001144204-11-055313-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420412053737/0001144204-12-053737-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420413053136/0001144204-13-053136-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420414058408/0001144204-14-058408-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420415054865/0001144204-15-054865-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420416123313/0001144204-16-123313-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420417050344/0001144204-17-050344-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774918017492/0001437749-18-017492-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774919019176/0001437749-19-019176-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774920020189/0001437749-20-020189-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774921022693/0001437749-21-022693-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-437594,-939169,-2151984,-426078,-139549,1824546,-65649,235110,-59084,-60027,75757,-30000,-8218130,-9605155,-8557507,-6160841,-4033856,-2842213,-3488905,-3856596,-5959122,-3681051,-4710808,-6162000,-6700000,-5144000,-3446000,-3387000
74,Depreciation and Amortization,308830,407419,316738,317971,942,- -,- -,- -,- -,- -,- -,- -,655326,715247,1060874,1206935,996880,888568,847115,739147,685396,576380,470851,68000,80000,136000,147000,149000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353696,273033,242689,173323,108351,185987,205264,290312,372000,607000,420000,495000,386000
77,Change in Working Capital,421190,-279288,384527,-312401,258780,-224593,- -,- -,-1083941,518813,172489,11624639,-10006006,17698327,-9380888,-4235000,-2802619,941981,39366,163631,14410181,-2827645,-2697404,-3350924,-5574000,2583000,-2262000,61569000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269927,-149698,103431,-65958,-53718,24723,-127385,444174,-184000,-466000,38000,-890000,31000
79,Inventory,-11311,4705,-7867,6950,- -,- -,- -,- -,- -,- -,- -,- -,-79455,-719453,-19130,110718,107569,-68172,-164254,38774,45834,-144314,-23402,89000,23000,128000,-97000,-274000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,- -,- -,- -,- -,-12593,- -,- -,43461,142289,-76602,112332,18000,761000,-708000,-29000,76000
81,Other Working Capital,172975,-106313,278214,-34187,224593,- -,- -,- -,-1083941,-565128,-392639,11232000,1225994,18924321,9543433,5308433,2505814,3447795,3487161,3650792,18060973,15233328,12535924,9185000,3611000,6194000,3932000,65501000
82,Other Non-Cash Items,-810613,309208,367585,408794,155801,-1234613,58234,-249843,1134160,-477808,-258103,-11654639,10565733,-16010129,9152223,4886274,2880159,-1649935,-18674,-210800,-12550663,2205194,2763049,3360924,5875000,-3044000,1425000,-61554000
83,Cash Provided by Operating Activities,-518187,-501830,-1083134,-11714,275974,365340,-7415,-14733,-8865,-19022,-9857,-60000,-7003077,-7201710,-7725298,-3948936,-2686403,-2418910,-2447775,-3056267,-3228221,-3521858,-3884000,-5712000,-5712000,-5049000,-3641000,-2837000
84,CAPEX,-19861,-44678,-41245,-25023,-159580,-48809,- -,- -,- -,- -,- -,- -,-837409,-2475724,-3384237,-95551,-33463,-157214,-95297,-12694,-36787,-151247,-491754,-549000,-337000,-444000,-273000,-381000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10931920,-13273653,-1682583,-1539,- -,- -,- -,-15404310,-14938415,-6242649,-115000,-4054000,-4725000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989080,19367114,4000000,1679820,- -,- -,- -,- -,15873376,15491539,2296000,6268000,5550000,- -,- -
88,Other Investing Activites,698903,65166,33790,- -,1625,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175852,-37773,-11721,-20373,-40458,-6240,-17817,-17996,-12697,-118000,-18000,20000,-14000,-29000
89,Cash Used for Investing Activites,698903,65166,-7455,-25023,-157955,-48809,- -,- -,- -,- -,- -,- -,-837409,-12418564,2533372,2221866,1644818,-157869,-95515,-12816,-15441156,783660,8756978,1514000,1859000,401000,-287000,-410000
90,Debt Repayment,-113935,-126665,-281466,-200126,-207527,-85315,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97484,-157465,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,312424,- -,- -,- -,- -,- -,- -,- -,- -,- -,7916464,27451015,1022813,- -,30333,2469938,3114379,3291977,15615331,- -,- -,- -,479000,7370000,874000,56375000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,- -,- -,-3655,-4735,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38458,- -,- -,-36679,-10632,-10632,-10632,-10632,-10632,-10632,-11000,-11000,-11000,-11000,-9000
94,Other Financing Activites,- -,168247,1056753,238483,75665,-248164,7419,14700,8865,19022,9857,- -,478330,-644005,-362929,- -,-106479,550858,- -,14954,7844824,295497,49940,2000,53000,15000,131000,8318000
95,Cash Used/Provided by Financing Activities,-113935,41582,1087711,38357,-131862,-333479,7419,14700,8865,19022,9857,90000,8394794,26768552,656229,-102219,-270290,3010164,3103747,3296299,23449523,284865,39308,-9000,521000,7374000,994000,64684000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,66781,-395082,-2878,1620,-13843,-16948,4,14700,8865,19022,9857,30000,554308,7148278,-4535697,-1829289,-1311875,433385,560457,227216,4780146,-2453333,4912286,-4207000,-3332000,2726000,-2934000,61437000
98,Cash at the End of Period,427160,32078,29200,30820,16977,29,33,- -,- -,- -,- -,30000,2207452,9355730,4820033,2990744,1678869,2112254,2672711,2899927,7680073,5226740,10139026,5932000,2600000,5507000,2573000,64010000
99,Cash at the Beginning of Period,360379,427160,32078,29200,30820,16977,29,33,- -,- -,- -,- -,1653144,2207452,9355730,4820033,2990744,1678869,2112254,2672711,2899927,7680073,5226740,10139000,5932000,2781000,5507000,2573000
100,Free Cash Flow,-538048,-546508,-1124379,-36737,116394,316531,-7415,-14733,-8865,-19022,-9857,-60000,-7840486,-9677434,-11109535,-4044487,-2719866,-2576124,-2543072,-3068961,-3265008,-3673105,-4375754,-6261000,-6049000,-5493000,-3914000,-3218000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728387/000114420406040210/0001144204-06-040210-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420407051852/0001144204-07-051852-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420408055023/0001144204-08-055023-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420409049648/0001144204-09-049648-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420410051286/0001144204-10-051286-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420411055313/0001144204-11-055313-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420412053737/0001144204-12-053737-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420413053136/0001144204-13-053136-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420414058408/0001144204-14-058408-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420415054865/0001144204-15-054865-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420416123313/0001144204-16-123313-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000114420417050344/0001144204-17-050344-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774918017492/0001437749-18-017492-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774919019176/0001437749-19-019176-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774920020189/0001437749-20-020189-index.htm,https://www.sec.gov/Archives/edgar/data/728387/000143774921022693/0001437749-21-022693-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
