,https://roic.ai/company/MKSI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,8100000,29200000,73949000,-46056000,-41518000,-13734000,67228000,47007000,130941000,120016000,41052000,-238858000,196424000,186052000,75136000,59301000,136393000,159468000,127977000,447625000,480950000,177836000,423000000,665500000
21,Income Before Tax Ratio,0.0579,0.1561,0.2262,-0.1606,-0.1319,-0.0407,0.1211,0.0923,0.1673,0.1538,0.0635,-0.5806,0.2302,0.2262,0.1168,0.0886,0.1747,0.1960,0.0988,0.2336,0.2318,0.0936,0.1815,0.2256
22,Income Tax expense (Gain),3100000,5200000,27715000,-15013000,-1981000,2651000,-2611000,12442000,36706000,33656000,10935000,-26199000,63505000,56321000,27107000,23525000,20615000,37171000,23168000,108493000,88054000,37450000,72900000,114100000
23,Net Income,5000000,24000000,46234000,-31043000,-39537000,-16385000,69839000,34565000,94235000,86360000,30117000,-212659000,142587000,129731000,48029000,35776000,115778000,122297000,104809000,339132000,392896000,140386000,350100000,551400000
24,Net Income ratio,0.0358,0.1283,0.1414,-0.1082,-0.1256,-0.0486,0.1258,0.0679,0.1204,0.1106,0.0465,-0.5169,0.1671,0.1577,0.0746,0.0534,0.1483,0.1503,0.0809,0.1770,0.1893,0.0739,0.1503,0.1869
25,EPS,0.24,1.05,1.84,-0.83,-0.79,-0.32,1.30,0.64,1.70,1.53,0.61,-4.31,2.85,2.49,0.91,0.67,2.17,2.30,1.96,6.26,7.22,2.57,6.36,9.93
26,EPS Diluted,0.24,1.00,1.76,-0.83,-0.79,-0.32,1.28,0.63,1.68,1.51,0.59,-4.31,2.80,2.45,0.90,0.67,2.16,2.28,1.94,6.16,7.14,2.55,6.33,9.89
27,Weighted Average Shares Outstanding,20833333,22784000,25175000,37493000,50000000,51581000,53519000,54067000,55395000,56349000,49717000,49318000,50077000,52169000,52686000,53061000,53232000,53282000,53472000,54137000,54406000,54700000,55100000,55500000
28,Weighted Average Shares Outstanding Diluted,20833333,23954000,26296000,37493000,50000000,51581000,54656000,54633000,55961000,57173000,50754000,49318000,50927000,52847000,53234000,53481000,53515000,53560000,54051000,55074000,54992000,55100000,55300000,55700000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1049502/000095013500001829/0000950135-00-001829-index.html,- -,https://www.sec.gov/Archives/edgar/data/1049502/000095013502001823/0000950135-02-001823-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095013503002112/0000950135-03-002112-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095013504001223/0000950135-04-001223-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095013505001467/0000950135-05-001467-index.html,- -,https://www.sec.gov/Archives/edgar/data/1049502/000095013507001260/b63639mke10vk.htm,https://www.sec.gov/Archives/edgar/data/1049502/000095013508001318/b68108mke10vk.htm,https://www.sec.gov/Archives/edgar/data/1049502/000095013509001318/0000950135-09-001318-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095012310018001/0000950123-10-018001-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095012311018474/b83545e10vk.htm,https://www.sec.gov/Archives/edgar/data/1049502/000119312512078260/0001193125-12-078260-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312513077234/0001193125-13-077234-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312514069989/d652990d10k.htm,https://www.sec.gov/Archives/edgar/data/1049502/000119312515062618/d838776d10k.htm,https://www.sec.gov/Archives/edgar/data/1049502/000119312516481436/0001193125-16-481436-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312517065479/0001193125-17-065479-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312518062607/0001193125-18-062607-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312519051798/0001193125-19-051798-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312520056028/0001193125-20-056028-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000156459021007630/0001564590-21-007630-index.htm,https://www.sec.gov/Archives/edgar/data/1049502/000156459022007637/0001564590-22-007637-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11200000,35700000,44675000,120869000,88820000,74660000,138389000,220573000,215208000,223968000,119261000,111009000,162476000,312916000,287588000,288902000,305437000,227574000,228623000,333768000,644345000,414572000,608300000,966300000
32,Short-Term Investments,- -,28100000,5731000,16625000,39894000,54518000,97511000,72046000,74749000,99797000,159608000,160786000,269457000,252603000,327653000,300715000,129594000,430663000,189463000,209434000,73826000,109417000,227700000,76400000
33,Cash and Short-Term Investments,11200000,63800000,50406000,137494000,128714000,129178000,235900000,292619000,289957000,323765000,278869000,271795000,431933000,565519000,615241000,589617000,435031000,658237000,418086000,543202000,718171000,523989000,836000000,1042700000
34,Net Receivables,20700000,36900000,62113000,35778000,45505000,65454000,82315000,82610000,123658000,107504000,85350000,108691000,138181000,120894000,94828000,116783000,106362000,113829000,253361000,300308000,295454000,341064000,392700000,442600000
35,Inventory,24500000,27700000,49218000,56954000,73235000,82013000,99633000,98242000,149820000,150731000,131519000,118004000,156429000,153632000,134639000,142727000,155169000,152631000,275869000,339081000,384689000,462146000,501400000,576700000
36,Other Current Assets,2100000,7500000,11123000,32779000,6098000,5631000,22037000,25676000,28003000,27980000,32990000,34391000,26352000,44856000,23474000,30104000,41529000,14814000,51453000,53662000,65790000,106348000,74300000,85300000
37,Total Current Assets,58500000,135900000,172860000,263005000,253552000,282276000,439885000,499147000,591438000,609980000,528728000,532881000,752895000,884901000,868182000,879231000,738091000,939511000,998769000,1236253000,1464104000,1433547000,1804400000,2147300000
38,PP&E,32700000,32800000,37290000,69634000,82595000,76121000,80917000,78726000,79463000,81365000,82017000,67196000,68976000,72487000,80516000,77536000,72776000,68856000,174559000,171782000,194367000,306368000,468700000,509600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,323973000,337473000,337765000,144511000,140020000,140084000,150733000,150909000,192381000,199703000,588585000,591047000,586996000,1058454000,1066400000,1228200000
40,Intangible Assets,- -,- -,36709000,52285000,327501000,316116000,297344000,282665000,43104000,36141000,21069000,4963000,1743000,1043000,11561000,13090000,46389000,44027000,408004000,366398000,319807000,564630000,512200000,576000000
41,Intangible Assets,- -,- -,36709000,52285000,327501000,316116000,297344000,282665000,367077000,373614000,358834000,149474000,141763000,141127000,162294000,163999000,238770000,243730000,996589000,957445000,906803000,1623084000,1578600000,1804200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4853000,- -,7873000,12158000,60405000,157201000,- -,9858000,10655000,10290000,5854000,6500000,6200000
43,Tax Assets,- -,- -,- -,- -,- -,- -,2184000,- -,- -,8760000,12743000,17373000,- -,- -,9497000,9208000,- -,19252000,5092000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5000000,5900000,19524000,26265000,21975000,18349000,8347000,3202000,5742000,2541000,2617000,2292000,18779000,12266000,2195000,22639000,17206000,1998000,27375000,37883000,38682000,47467000,45600000,73000000
45,Total Non-Current Assets,37700000,38700000,93523000,148184000,432071000,410586000,388792000,364593000,452282000,466280000,456211000,241188000,229518000,233753000,266660000,333787000,485953000,333836000,1213473000,1177765000,1150142000,1982773000,2099400000,2393000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,96200000,174600000,266383000,411189000,685623000,692862000,828677000,863740000,1043720000,1076260000,984939000,774069000,982413000,1118654000,1134842000,1213018000,1224044000,1273347000,2212242000,2414018000,2614246000,3416320000,3903800000,4540300000
48,Accounts Payable,3700000,7700000,16851000,9668000,15301000,25302000,23338000,27955000,38541000,28683000,19320000,26292000,36427000,24853000,16803000,40074000,34166000,23177000,69337000,82518000,83825000,88397000,110600000,168100000
49,Short-Term Debt,- -,20800000,17705000,14815000,18472000,20196000,24509000,18886000,23021000,20203000,17808000,12885000,- -,1932000,- -,- -,- -,- -,10993000,2972000,3986000,12099000,30300000,27000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18300000,25100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,5084000,4631000,4101000,- -,- -,9280000,5556000,- -,7189000,14463000,12842000,14246000,21494000,31200000,37500000
52,Other Current Liabilities,59300000,20300000,26536000,21667000,27771000,26310000,44338000,42246000,68335000,41775000,34176000,28022000,73259000,69646000,53228000,82792000,69461000,60618000,142507000,191490000,161228000,195691000,201800000,228200000
53,Total Current Liabilities,63000000,48800000,61092000,46150000,61544000,71808000,92185000,89087000,129897000,95745000,75935000,71300000,109686000,96431000,79311000,128422000,103627000,90984000,237300000,289822000,263285000,317681000,373900000,460800000
54,Long-Term Debt,13700000,5700000,4176000,10916000,11469000,8810000,6667000,5238000,5000000,5000000,396000,18000,- -,- -,- -,- -,- -,- -,601229000,389993000,343842000,871667000,1002400000,1000500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,500000,1663000,- -,- -,- -,- -,2153000,1535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,66446000,61571000,48223000,72428000,59200000,99100000
57,Other Non-Current Liabilities,500000,400000,517000,1252000,1920000,3934000,3191000,4419000,6069000,21506000,21910000,17818000,25688000,32211000,43375000,63073000,38595000,21482000,65475000,83725000,85709000,131200000,107400000,93300000
58,Total Non-Current Liabilities,14300000,6600000,6356000,12168000,13389000,12744000,9858000,11810000,12604000,26506000,22306000,17836000,25688000,32211000,43375000,63073000,38595000,21482000,733150000,535289000,477774000,1075295000,1169000000,1192900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,257000,114000,- -,914000,1113000,871000,1266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65391000,203200000,210600000
61,Total Liabilities,77300000,55400000,67448000,58318000,74933000,84552000,102043000,100897000,142501000,122251000,98241000,89136000,135374000,128642000,122686000,191495000,142222000,112466000,970450000,825111000,741059000,1392976000,1542900000,1653700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,113000,113000,113000,113000,113000,113000,- -,- -,- -,- -,- -,- -,113000,113000,113000,113000,113000,113000,113000,113000,100000,100000
64,Retained Earnings,52500000,33200000,81333000,68160000,28623000,12238000,82077000,116642000,210877000,255244000,241428000,28769000,171356000,268870000,278583000,278966000,349061000,427214000,494744000,795698000,1084797000,1181216000,1487300000,1991000000
65,Other Comprehensive Income/Loss,-41900000,-47500000,-46873000,-66968000,-94004000,-107573000,-114611000,7000000,10000000,13000000,7000000,11000000,12000000,14000000,15000000,12000000,-2000000,-11000000,-31000000,3000000,-6000000,-22000000,300000,-11200000
66,Other Total Stockholders Equity,8300000,133400000,164362000,351566000,675958000,703532000,759055000,639088000,680342000,685765000,638270000,645164000,663683000,707142000,718460000,730444000,734648000,744554000,777935000,790096000,794277000,864015000,873200000,- -
67,Total Stockholders Equity,18900000,119200000,198935000,352871000,610690000,608310000,726634000,762843000,901219000,954009000,886698000,684933000,847039000,990012000,1012156000,1021523000,1081822000,1160881000,1241792000,1588907000,1873187000,2023344000,2360900000,2886600000
68,Total Liabilities And Stockholders Equity,96200000,174600000,266383000,411189000,685623000,692862000,828677000,863740000,1043720000,1076260000,984939000,774069000,982413000,1118654000,1134842000,1213018000,1224044000,1273347000,2212242000,2414018000,2614246000,3416320000,3903800000,4540300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,96200000,174600000,266383000,411189000,685623000,692862000,828677000,863740000,1043720000,1076260000,984939000,774069000,982413000,1118654000,1134842000,1213018000,1224044000,1273347000,2212242000,2414018000,2614246000,3416320000,3903800000,4540300000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1049502/000095013500001829/0000950135-00-001829-index.html,- -,https://www.sec.gov/Archives/edgar/data/1049502/000095013502001823/0000950135-02-001823-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095013503002112/0000950135-03-002112-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095013504001223/0000950135-04-001223-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095013505001467/0000950135-05-001467-index.html,- -,https://www.sec.gov/Archives/edgar/data/1049502/000095013507001260/b63639mke10vk.htm,https://www.sec.gov/Archives/edgar/data/1049502/000095013508001318/b68108mke10vk.htm,https://www.sec.gov/Archives/edgar/data/1049502/000095013509001318/0000950135-09-001318-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095012310018001/0000950123-10-018001-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095012311018474/b83545e10vk.htm,https://www.sec.gov/Archives/edgar/data/1049502/000119312512078260/0001193125-12-078260-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312513077234/0001193125-13-077234-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312514069989/d652990d10k.htm,https://www.sec.gov/Archives/edgar/data/1049502/000119312515062618/d838776d10k.htm,https://www.sec.gov/Archives/edgar/data/1049502/000119312516481436/0001193125-16-481436-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312517065479/0001193125-17-065479-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312518062607/0001193125-18-062607-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312519051798/0001193125-19-051798-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312520056028/0001193125-20-056028-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000156459021007630/0001564590-21-007630-index.htm,https://www.sec.gov/Archives/edgar/data/1049502/000156459022007637/0001564590-22-007637-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5000000,24000000,46234000,-31043000,-39537000,-16385000,69839000,34565000,94235000,86360000,30117000,-212659000,142587000,129731000,48029000,35776000,115778000,122297000,104809000,339132000,392896000,140386000,350100000,551400000
74,Depreciation and Amortization,6200000,6200000,10524000,26705000,28727000,28198000,27838000,26215000,31348000,30644000,23524000,18759000,13823000,12980000,14442000,17102000,20514000,22103000,65926000,82556000,79853000,110034000,99200000,104100000
75,Deferred Income Tax,- -,-300000,-3137000,-11452000,250000,716000,-10229000,303000,-11518000,-10283000,-4975000,-7202000,10097000,7549000,3819000,-3089000,5264000,410000,-38822000,-4831000,-19388000,-4215000,-7100000,1200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15274000,8845000,10604000,11225000,13031000,13992000,11315000,13013000,25228000,24378000,27262000,49194000,29500000,36700000
77,Change in Working Capital,10600000,91600000,24668000,105087000,-24847000,18460000,137232000,62360000,51481000,52694000,-61442000,8788000,181628000,145261000,401000,-38062000,-116345000,214063000,-87058000,184962000,254388000,-84953000,314634000,-71500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23565000,-9935000,-42540000,17923000,38288000,-36153000,6103000,2334000,-58111000,-44077000,-546000,-93000,-44800000,- -
79,Inventory,6500000,-2900000,-18402000,16218000,6600000,-6656000,-15919000,-1829000,-46013000,1206000,18489000,-4677000,-52467000,-11697000,5341000,-29797000,-20910000,-14501000,-13798000,-72471000,-73779000,-29289000,-52200000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9175000,6103000,11220000,-11646000,-8281000,23172000,-5478000,-10629000,16180000,11405000,2023000,-24152000,21000000,- -
81,Other Working Capital,-4500000,87100000,111768000,216855000,192008000,210468000,347700000,410060000,461541000,514235000,452793000,461581000,643209000,788470000,788871000,750809000,634464000,848527000,761469000,946431000,1200819000,1115866000,1430500000,- -
82,Other Non-Cash Items,1200000,-104400000,-44255000,-69189000,49256000,-31174000,-158281000,-59283000,-87335000,-40296000,87279000,190837000,-195269000,-150710000,57445000,50368000,65388000,-233591000,110015000,-270975000,-321230000,34063000,-273134000,17600000
83,Cash Provided by Operating Activities,23000000,17100000,34034000,20108000,13849000,-185000,66399000,64160000,78211000,119119000,89777000,7368000,163470000,156036000,137167000,76087000,101914000,138295000,180098000,355222000,413781000,244509000,513200000,639500000
84,CAPEX,-3100000,-5500000,-10996000,-14638000,-7948000,-6348000,-18270000,-10281000,-10690000,-15090000,-13457000,-4179000,-15819000,-15567000,-17705000,-12410000,-13183000,-12414000,-19123000,-31287000,-62941000,-63904000,-84900000,-86700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-99000000,-24000000,- -,- -,16000000,- -,-23000000,-2000000,-87000000,-10000000,-940000000,73000000,- -,-989000000,- -,-268400000
86,Purchases of Investments,- -,-46000000,-29795000,-22545000,-102283000,-93999000,-218478000,-215551000,-108944000,-183927000,-324375000,-254057000,-410551000,-475777000,-435961000,-550076000,-360813000,-385999000,-268458000,-229557000,-253598000,-246315000,-522400000,-497000000
87,Sales/Maturities of Investments,- -,18700000,39044000,21066000,73568000,80046000,184422000,244736000,104302000,160269000,263715000,248147000,306498000,485707000,359857000,528494000,434545000,240944000,499913000,210906000,389291000,309486000,404900000,647500000
88,Other Investing Activites,1000000,-600000,-17885000,-2012000,-15264000,-1050000,8083000,1142000,80000,1800000,63000,461000,-1751000,-441000,-1058000,-542000,1643000,98000,682000,-425000,- -,42480000,- -,- -
89,Cash Used for Investing Activites,-2100000,-33400000,-19632000,-18129000,-51927000,-21351000,-44243000,20046000,-114252000,-60948000,-74054000,-9628000,-105623000,-6078000,-117867000,-36534000,-24808000,-167371000,-726986000,22637000,72752000,-947253000,-202400000,-204600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-167101000,-167808000,-132872000,-39915000,-9348000,-776000,- -,- -,-165137000,-257852000,-117166000,-111491000,-83800000,-15200000
91,Common Stock Issued,- -,83300000,3340000,6391000,8920000,8603000,38579000,6058000,23255000,45266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101158000,-115723000,- -,- -,-2007000,-11501000,-2875000,-20809000,-13294000,-1545000,- -,-75000000,- -,- -,- -
93,Dividends Paid,-6200000,-40000000,-1417000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31373000,-32686000,-33975000,-34851000,-35969000,-36361000,-38178000,-42405000,-43528000,-44000000,-47600000
94,Other Financing Activites,-5600000,-2100000,-6966000,-10652000,-3461000,-3313000,1139000,-5137000,7214000,-2831000,168033000,159787000,127845000,75686000,6565000,477000,2939000,2166000,757303000,21170000,56565000,631197000,6300000,-2100000
95,Cash Used/Provided by Financing Activities,-11800000,41200000,-5043000,-4261000,5459000,5290000,39718000,921000,30469000,-58723000,-114791000,-8021000,-5027000,2391000,-46970000,-37149000,-52721000,-47097000,554260000,-274860000,-178006000,476178000,-121500000,-64900000
96,Effect of Forex Changes on Cash,-400000,-400000,-398000,69000,570000,2086000,1855000,-2943000,207000,9312000,-5639000,2029000,-1353000,-1909000,2342000,-1090000,-7850000,-1690000,-6323000,2146000,1931000,-3207000,4400000,-12000000
97,Net Change In Cash,- -,24500000,8961000,-2213000,-32049000,-14160000,63729000,82184000,-5365000,8760000,-104707000,-8252000,51467000,150440000,-25328000,1314000,16535000,-77863000,1049000,105145000,310458000,-229773000,193700000,358000000
98,Cash at the End of Period,- -,35700000,44675000,120869000,88820000,74660000,138389000,220573000,215208000,223968000,119261000,111009000,162476000,312916000,287588000,288902000,305437000,227574000,228623000,333768000,644345000,414572000,608300000,966300000
99,Cash at the Beginning of Period,2500000,11200000,35714000,123082000,120869000,88820000,74660000,138389000,220573000,215208000,223968000,119261000,111009000,162476000,312916000,287588000,288902000,305437000,227574000,228623000,333887000,644345000,414600000,608300000
100,Free Cash Flow,19900000,11600000,23038000,5470000,5901000,-6533000,48129000,53879000,67521000,104029000,76320000,3189000,147651000,140469000,119462000,63677000,88731000,125881000,160975000,323935000,350840000,180605000,428300000,552800000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1049502/000095013500001829/0000950135-00-001829-index.html,- -,https://www.sec.gov/Archives/edgar/data/1049502/000095013502001823/0000950135-02-001823-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095013503002112/0000950135-03-002112-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095013504001223/0000950135-04-001223-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095013505001467/0000950135-05-001467-index.html,- -,https://www.sec.gov/Archives/edgar/data/1049502/000095013507001260/b63639mke10vk.htm,https://www.sec.gov/Archives/edgar/data/1049502/000095013508001318/b68108mke10vk.htm,https://www.sec.gov/Archives/edgar/data/1049502/000095013509001318/0000950135-09-001318-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095012310018001/0000950123-10-018001-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000095012311018474/b83545e10vk.htm,https://www.sec.gov/Archives/edgar/data/1049502/000119312512078260/0001193125-12-078260-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312513077234/0001193125-13-077234-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312514069989/d652990d10k.htm,https://www.sec.gov/Archives/edgar/data/1049502/000119312515062618/d838776d10k.htm,https://www.sec.gov/Archives/edgar/data/1049502/000119312516481436/0001193125-16-481436-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312517065479/0001193125-17-065479-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312518062607/0001193125-18-062607-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312519051798/0001193125-19-051798-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000119312520056028/0001193125-20-056028-index.html,https://www.sec.gov/Archives/edgar/data/1049502/000156459021007630/0001564590-21-007630-index.htm,https://www.sec.gov/Archives/edgar/data/1049502/000156459022007637/0001564590-22-007637-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
