,https://roic.ai/company/RCL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,206900000,238800000,254900000,985800000,1000100000,1140300000,1635500000,553828000,569726000,643847000,755254000,770155000,877029000,982403000,1037377000,1121509000,1266106000,1296875000,1330213000,1491795000,1663028000,1742036000,1799530000,1821397000,1913512000,1995205000,2137210000,2336841000,2805195000,2478874000,2662954000
11,COGS and Expenses,695400000,874500000,951300000,1714600000,1742600000,1994800000,2854800000,2147556000,2065978000,2296306000,2689645000,2883372000,3258064000,3801786000,4031609000,4371138000,5247804000,5700541000,5401315000,5949871000,6605635000,6899470000,7104800000,7127678000,7012905000,7010744000,7033789000,7599048000,8867960000,5243982000,5320466000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14116000,7016000,9243000,25318000,21331000,13898000,10344000,12025000,20856000,30101000,32800000,26945000,21036000,16773000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327312000,300012000,339393000,382416000,355785000,332422000,258299000,277725000,307370000,299982000,333672000,408513000,844238000,1291753000
14,Depreciation and Amortization,-57600000,-78000000,-86500000,-77900000,-80100000,-91200000,-143800000,194614000,197909000,231048000,301174000,339100000,362695000,394136000,402069000,421645000,483066000,520353000,568214000,643716000,702426000,730493000,754711000,772445000,827008000,894915000,951194000,1033697000,1245942000,1279254000,1292878000
15,EBITDA,-53300000,-17400000,20200000,58700000,68900000,59700000,31300000,525314000,581762000,676411000,555631000,690384000,643359000,868827000,1118025000,1055567000,1086471000,1421387000,1030647000,1530576000,1692263000,1104565000,1560825000,1794890000,1770516000,2485673000,2876309000,3178411000,3533342000,-3673970000,-2675868000
16,EBITDA ratio,-0.0702,-0.0172,0.0182,0.0501,0.0582,0.0440,0.0161,0.1993,0.2285,0.2360,0.1767,0.2010,0.1700,0.1907,0.2280,0.2018,0.1767,0.2176,0.1750,0.2267,0.2245,0.1437,0.1961,0.2223,0.2133,0.2926,0.3277,0.3348,0.3227,-1.6633,-1.7465
17,Operating Income,64200000,138300000,161500000,-543200000,-558600000,-637500000,-915800000,488735000,480174000,569540000,455605000,550975000,526185000,753589000,871565000,858446000,901335000,831984000,488511000,802633000,931628000,403110000,798148000,941859000,874902000,1477205000,1744056000,1894801000,2082701000,-4601557000,-3870334000
18,Operating Income ratio,0.0845,0.1366,0.1451,-0.4637,-0.4718,-0.4697,-0.4723,0.1854,0.1886,0.1987,0.1449,0.1604,0.1390,0.1654,0.1778,0.1642,0.1466,0.1274,0.0829,0.1189,0.1236,0.0524,0.1003,0.1167,0.1054,0.1739,0.1987,0.1996,0.1902,-2.0833,-2.5261
19,Total Other Income Expenses (Gains),-800000,4500000,-400000,-900000,18900000,8100000,3000000,-6008000,26122000,22229000,27515000,54738000,18358000,21871000,52521000,28099000,15829000,54934000,-33094000,74984000,32891000,-384823000,-324456000,-177713000,-209119000,-193817000,-118923000,-79009000,-175101000,-1173573000,-1390165000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18287000,473692000,764146000,665783000,1283388000,1625133000,1815792000,1907600000,-5775130000,-5260499000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0024,0.0595,0.0946,0.0802,0.1511,0.1851,0.1913,0.1742,-2.6146,-3.4334
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,4300000,60600000,106700000,136600000,149000000,150900000,175100000,330700000,383853000,445363000,254457000,351284000,280664000,474691000,715956000,633922000,603405000,573722000,162421000,547467000,607421000,18287000,473692000,764146000,665783000,1283388000,1625133000,1811042000,1878887000,-5797462000,-5260499000
24,Net Income ratio,0.0057,0.0598,0.0959,0.1166,0.1258,0.1112,0.0903,0.1254,0.1508,0.1554,0.0809,0.1023,0.0742,0.1042,0.1460,0.1212,0.0981,0.0878,0.0276,0.0811,0.0806,0.0024,0.0595,0.0946,0.0802,0.1511,0.1851,0.1908,0.1716,-2.6247,-3.4334
25,EPS,0.04,0.59,0.90,1.08,1.18,1.19,1.16,1.90,2.15,2.34,1.32,1.82,1.45,2.39,3.47,3.01,2.84,2.69,0.76,2.55,2.80,0.08,2.16,3.45,3.03,5.96,7.57,8.60,8.97,-27.05,-5.33
26,EPS Diluted,0.04,0.59,0.90,1.08,1.17,1.18,1.14,1.83,2.06,2.31,1.32,1.79,1.42,2.26,3.26,2.94,2.82,2.68,0.75,2.51,2.77,0.08,2.14,3.43,3.02,5.93,7.53,8.56,8.95,-27.05,-5.33
27,Weighted Average Shares Outstanding,107500000,102711864,118555556,126481481,126271186,126806723,150948276,174052632,178536279,190326068,192770455,193013187,193561379,198615481,206327378,210605316,212466549,213477000,213809000,215026000,216983000,217930000,219638000,221658000,219537000,215393000,214617000,210570000,209405000,214335000,254713000
28,Weighted Average Shares Outstanding Diluted,107500000,102711864,118555556,126481481,127350427,127881356,153596491,180710383,186336408,192797835,192770455,196248045,197650704,210040265,219618405,215619728,213973404,214195000,215295000,217711000,219229000,219457000,220941000,223044000,220689000,216316000,215694000,211554000,209930000,214335000,254713000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884887/000088488706000003/0000884887-06-000003-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488707000043/0000884887-07-000043-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488708000067/0000884887-08-000067-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312509035629/0001193125-09-035629-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312510037643/0001193125-10-037643-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312511045435/0001193125-11-045435-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312512087322/0001193125-12-087322-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000104746913001567/0001047469-13-001567-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488714000023/0000884887-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488715000025/0000884887-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488716000126/0000884887-16-000126-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488717000020/0000884887-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488718000017/0000884887-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488719000017/0000884887-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488720000009/0000884887-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488721000006/0000884887-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488722000008/0000884887-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242584000,330086000,628578000,125385000,104520000,230784000,402878000,284619000,419929000,262186000,194855000,204687000,189241000,121565000,132603000,120112000,287852000,243738000,3684474000,2701770000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213892000,81935000,114094000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242584000,330086000,628578000,125385000,104520000,444676000,484813000,398713000,419929000,262186000,194855000,204687000,189241000,121565000,132603000,120112000,287852000,243738000,3684474000,2701770000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79535000,89489000,84899000,95254000,185886000,313640000,271287000,338804000,266710000,292447000,281421000,259746000,261392000,238972000,291899000,318641000,324507000,305821000,284149000,408067000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37299000,53277000,60260000,57803000,76969000,96813000,96077000,107877000,126797000,144553000,146295000,151244000,123490000,121332000,114087000,111393000,153573000,162107000,118703000,150224000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88325000,101698000,86869000,98568000,134529000,137662000,125160000,180997000,201635000,270102000,265489000,340697000,226960000,355153000,209716000,292882000,476112000,450962000,224421000,340210000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447743000,574550000,860606000,377010000,501904000,992791000,977337000,1026391000,1015071000,969288000,888060000,956374000,801083000,837022000,748305000,843028000,1242044000,1162628000,4311747000,3600271000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9276484000,9943495000,10193443000,10276948000,11429106000,12253784000,13878998000,15268053000,16769181000,16934817000,17451034000,17517752000,18235568000,18777778000,20161427000,19735180000,23466163000,26154363000,25846580000,26450077000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278561000,278561000,278561000,283133000,721514000,797791000,779246000,792373000,759328000,746537000,432975000,439231000,420542000,286764000,288386000,288512000,1378353000,1385644000,809480000,809383000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,488575000,444854000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278561000,278561000,278561000,283133000,721514000,797791000,779246000,792373000,759328000,746537000,432975000,439231000,420542000,286764000,288386000,288512000,1378353000,1874219000,1254334000,809383000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,535743000,526136000,631474000,318680000,740564000,937915000,827729000,1146677000,1151324000,1153763000,1055861000,1159590000,1255997000,1020291000,1112206000,1429597000,1611710000,1129074000,1052526000,1398624000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10090788000,10748192000,11103478000,10878761000,12891184000,13989490000,15485973000,17207103000,18679833000,18835117000,18939870000,19116573000,19912107000,20084833000,21562019000,21453289000,26456226000,29157656000,28153440000,28658084000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10538531000,11322742000,11964084000,11255771000,13393088000,14982281000,16463310000,18233494000,19694904000,19804405000,19827930000,20072947000,20713190000,20921855000,22310324000,22296317000,27698270000,30320284000,32465187000,32258355000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171153000,187756000,162973000,159910000,193794000,222895000,245225000,264554000,249047000,304623000,351587000,372226000,331505000,302072000,305313000,360113000,488212000,563706000,353422000,545978000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1485877000,373422000,351725000,471893000,756215000,1198929000,638891000,1519483000,1563378000,799630000,899677000,1285735000,1188514000,2422329000,2620766000,1473764000,2312053000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1283073000,- -,1546993000,1664679000,1766914000,1742286000,1965473000,2243682000,3148837000,3428138000,1784832000,3160867000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,998780000,1316771000,2110529000,342995000,1305152000,1764675000,1957107000,1728261000,713449000,2124128000,648088000,666727000,951198000,1348792000,885080000,997955000,1052787000,1340286000,925103000,1266785000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1169933000,1504527000,2273502000,1988782000,1872368000,2339295000,2674225000,2749030000,3444498000,3067642000,4066151000,4267010000,3849247000,4292827000,4441601000,4790264000,7112165000,7952896000,4537121000,7285683000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5322294000,5520572000,4826570000,3553892000,5040322000,5346547000,6539510000,7663555000,7951187000,7856962000,6970464000,6511426000,7644318000,7767378000,8101701000,6350937000,8355370000,8414110000,18521832000,19352390000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11610000,34746000,59492000,158632000,388823000,539096000,446563000,321192000,356717000,471978000,482566000,486246000,935266000,798611000,645610000,452813000,1125274000,1789432000,645565000,534726000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5333904000,5555318000,4886062000,3712524000,5429145000,5885643000,6986073000,7984747000,8307904000,8328940000,7453030000,6997672000,8579584000,8565989000,8747311000,6803750000,9480644000,10203542000,19167397000,19887116000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,698617000,666553000,574103000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6503837000,7059845000,7159564000,5701306000,7301513000,8224938000,9660298000,10733777000,11752402000,11396582000,11519181000,11264682000,12428831000,12858816000,13188912000,11594014000,16592809000,18156438000,23704518000,27172799000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1930000,1961000,2012000,2165000,2225000,2235000,2239000,- -,2262000,2276000,2291000,2308000,2331000,2339000,2346000,2352000,2358000,2365000,2652000,2827000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1982580000,2162195000,2533265000,3132286000,3639211000,4114877000,4592529000,4754950000,5301748000,5823430000,5744791000,6054952000,6575248000,6944862000,7860341000,9022405000,10263282000,11523326000,5562775000,302276000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1551754000,-1860196000,-2213226000,-28000000,-31000000,121000000,-320000000,183000000,25000000,-76000000,-135000000,6000000,-897000000,-1328000000,-916000000,-334000000,-628000000,-798000000,-739341000,-710885000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3601938000,3958937000,4482469000,2448014000,2481139000,2519231000,2528244000,2561767000,2613492000,2658117000,2696667000,2745005000,2603780000,2443838000,2174725000,2011546000,1467821000,1436155000,3934583000,5491338000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4034694000,4262897000,4804520000,5554465000,6091575000,6757343000,6803012000,7499717000,7942502000,8407823000,8308749000,8808265000,8284359000,8063039000,9121412000,10702303000,11105461000,12163846000,8760669000,5085556000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10538531000,11322742000,11964084000,11255771000,13393088000,14982281000,16463310000,18233494000,19694904000,19804405000,19827930000,20072947000,20713190000,20921855000,22310324000,22296317000,27698270000,30320284000,32465187000,32258355000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10538531000,11322742000,11964084000,11255771000,13393088000,14982281000,16463310000,18233494000,19694904000,19804405000,19827930000,20072947000,20713190000,20921855000,22310324000,22296317000,27698270000,30320284000,32465187000,32258355000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884887/000088488706000003/0000884887-06-000003-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488707000043/0000884887-07-000043-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488708000067/0000884887-08-000067-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312509035629/0001193125-09-035629-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312510037643/0001193125-10-037643-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312511045435/0001193125-11-045435-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000119312512087322/0001193125-12-087322-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000104746913001567/0001047469-13-001567-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488714000023/0000884887-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488715000025/0000884887-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488716000126/0000884887-16-000126-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488717000020/0000884887-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488718000017/0000884887-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488719000017/0000884887-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488720000009/0000884887-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488721000006/0000884887-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/884887/000088488722000008/0000884887-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4300000,60600000,106700000,136600000,149000000,150900000,175100000,330700000,383853000,445363000,254457000,351284000,280664000,474691000,715956000,633922000,603405000,573722000,162421000,547467000,607421000,18287000,473692000,764146000,665783000,1283388000,1625133000,1811042000,1878887000,-5797462000,-5260499000
74,Depreciation and Amortization,-57600000,-78000000,-86500000,-77900000,-80100000,-91200000,-143800000,194614000,197909000,231048000,301174000,339100000,362695000,394136000,402069000,421645000,483066000,520353000,568214000,643716000,702426000,730493000,754711000,772445000,827008000,894915000,951194000,1033697000,1245942000,1279254000,1292878000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28488000,- -,-44437000,-10001000,2608000,1730000,-2679000,7745000,-8791000,-42979000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32659000,69459000,46061000,75930000,39779000,63638000
77,Change in Working Capital,17200000,- -,- -,- -,- -,- -,- -,-20147000,51886000,-25400000,-156714000,-571815000,-207787000,-482919000,-198876000,241308000,23960000,-350384000,-25751000,-706788000,331073000,-1079737000,-132545000,262472000,-407641000,-237491000,-253940000,-1922885000,-920147000,6564894000,1481612000
78,Accounts Receivable,-1900000,-1300000,3500000,-2000000,-2800000,-3400000,100000,-13900000,-16900000,-150000,-18587000,-7339000,10011000,-3256000,-19349000,-38855000,-122682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-2300000,-1100000,2500000,-3200000,-3300000,-5800000,-1900000,5440000,5436000,-3717000,-3378000,-3806000,-15978000,-6813000,2457000,-7441000,-19424000,-140000,-11295000,-20274000,-18423000,-1645000,-4321000,26254000,1197000,-1679000,2424000,-23849000,-8533000,27077000,-34527000
80,Accounts Payable,-1900000,-1300000,3500000,-2000000,-2800000,-3400000,100000,-13900000,-16900000,-150000,-18587000,27083000,19756000,-25987000,-3741000,-29671000,23398000,22322000,16424000,-15507000,56755000,36602000,18957000,-40651000,-25278000,29564000,36780000,91737000,75281000,-133815000,188518000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-20147000,31739000,6339000,-150375000,-722190000,-929977000,-1412896000,-1611772000,-1370464000,-1346504000,-1696888000,-1722639000,-2429427000,-2098354000,-3178091000,-3310636000,-3048164000,-3455805000,-3693296000,-3947236000,-5870121000,-6790268000,-225374000,1426647000
82,Other Non-Cash Items,114800000,189900000,197100000,158800000,155700000,239800000,402800000,21691000,-50290000,52305000,234772000,751901000,422231000,691083000,192211000,-348369000,158263000,327564000,139997000,1178624000,-185181000,1684203000,316210000,-10867000,871217000,540611000,480990000,2513903000,1428009000,-5809327000,587535000
83,Cash Provided by Operating Activities,78700000,172500000,217300000,217500000,224600000,299500000,434100000,526858000,583358000,703316000,633689000,870470000,857803000,1076991000,1111360000,948506000,1268694000,1071255000,844881000,1663019000,1455739000,1381734000,1412068000,1743759000,1946366000,2516690000,2874566000,3479139000,3716366000,-3731653000,-1877815000
84,CAPEX,-397600000,-268200000,-80500000,-145500000,-427500000,-722400000,-1258600000,-651453000,-972481000,-1285649000,-1737471000,-689991000,-1029530000,-630670000,-429898000,-1180579000,-1317381000,-2223534000,-2477549000,-2187189000,-1173626000,-1291499000,-763777000,-1811398000,-1613340000,-2494363000,-564138000,-3660028000,-3024663000,-1965131000,-2229704000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-553000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-916000000,- -,-100609000,-70228000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-732165000,-56500000,- -,- -,- -,- -,-91325000,-110660000,-10886000,-17338000,-68098000,-178597000,-213202000,- -,-98074000,-68836000,-161335000,-74249000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,732165000,56500000,- -,- -,269815000,110830000,- -,16307000,- -,- -,- -,- -,- -,63224000,76529000,7621000,15874000,44492000
88,Other Investing Activites,15600000,21700000,400000,-300000,53700000,34000000,88100000,189247000,-14963000,-278781000,-46501000,-6275000,-73114000,-1840000,340872000,-115499000,146823000,-23530000,92262000,-9404000,343414000,39062000,-43423000,109118000,48962000,-17327000,287322000,108415000,-5528000,32635000,184950000
89,Cash Used for Investing Activites,-382000000,-246500000,-80100000,-145800000,-373800000,-688400000,-1170500000,-462206000,-987444000,-1564430000,-1783972000,-696266000,-1102644000,-632510000,-89026000,-1849078000,-1170558000,-1977249000,-2274457000,-2287918000,-924565000,-1263323000,-824538000,-1770378000,-1742975000,-2724892000,-213592000,-4489158000,-3091406000,-2178566000,-2144739000
90,Debt Repayment,-177400000,-254600000,-331600000,-694500000,-369600000,-22000000,-367400000,-395144000,-127919000,-128086000,-45553000,-603270000,-231100000,-361386000,-1564715000,-1795777000,-1815944000,-1011419000,-1009624000,-1600265000,-2179046000,-2216701000,-2856481000,-3724218000,-4118553000,-6365570000,-7835087000,-10928961000,-29673355000,-11682768000,-2806932000
91,Common Stock Issued,- -,- -,193400000,- -,- -,- -,531600000,165532000,487399000,- -,- -,- -,- -,98316000,21996000,23026000,19632000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1431375000,1621860000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-249122000,-164582000,- -,- -,- -,- -,- -,- -,- -,-236074000,-200000000,-299960000,-224998000,-575039000,-99582000,- -,- -
