,https://roic.ai/company/NSSC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,18300000,21600000,28200000,32700000,32600000,35500000,37400000,43400000,44700000,45800000,46200000,49600000,47700000,48600000,50555000,52912000,53019000,55115000,52028000,56319000,60025000,59701000,65230000,74632000,72045000,68479000,67117000,67590000,70066000,72481000,76190000,80996000,83332000,89466000,88694000,96700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1637000,2366000,1660000,- -,574000,295000,215000,179000,83000,81000,21000,9000,5000
14,Depreciation and Amortization,200000,300000,600000,900000,1000000,1200000,1300000,1400000,1500000,1400000,1400000,1400000,1300000,1400000,1554000,2032000,1529000,1294000,1189000,1156000,1192000,1201000,1191000,2727000,2658000,2311000,2275000,1974000,1740000,1570000,1420000,1374000,1409000,1409000,1495000,1696000
15,EBITDA,5300000,6400000,7000000,4300000,4000000,1300000,1900000,3700000,2800000,2400000,2900000,3600000,2800000,2000000,3301000,2308000,2888000,2919000,6725000,10011000,10575000,7340000,3501000,-12317000,-2560000,4778000,4828000,5756000,6042000,6846000,7743000,7752000,9823000,14875000,12308000,19031000
16,EBITDA ratio,0.2246,0.2319,0.1989,0.1172,0.1108,0.0359,0.0490,0.0794,0.0597,0.0499,0.0591,0.0675,0.0557,0.0395,0.0615,0.0421,0.0517,0.0509,0.1158,0.1535,0.1521,0.1109,0.0512,-0.1771,-0.0378,0.0669,0.0681,0.0806,0.0812,0.0880,0.0938,0.0887,0.1071,0.1445,0.1214,0.1669
17,Operating Income,5300000,6000000,7000000,4000000,3500000,700000,1400000,3200000,2200000,2300000,2900000,3700000,2600000,2000000,3122000,1859000,2817000,2225000,6065000,8910000,9523000,6501000,3137000,-14917000,-5211000,2513000,3811000,3796000,4316000,5281000,6323000,6378000,8414000,13466000,10813000,17335000
18,Operating Income ratio,0.2246,0.2174,0.1989,0.1090,0.0970,0.0193,0.0361,0.0687,0.0469,0.0478,0.0591,0.0694,0.0517,0.0395,0.0582,0.0339,0.0505,0.0388,0.1044,0.1366,0.1369,0.0982,0.0459,-0.2144,-0.0769,0.0352,0.0537,0.0532,0.0580,0.0679,0.0766,0.0730,0.0917,0.1308,0.1067,0.1520
19,Total Other Income Expenses (Gains),-200000,100000,-600000,-600000,-500000,-600000,-800000,- -,-100000,-1300000,-1400000,-1500000,-1100000,-1400000,-1375000,-1633000,-1458000,-600000,-529000,-282000,-272000,-362000,-827000,-1764000,-2373000,-1706000,-1258000,-588000,-309000,-220000,-179000,-83000,-81000,-21000,-9000,-5000
20,Income Before Tax,5100000,6100000,6400000,3400000,3000000,100000,600000,- -,- -,1000000,1500000,2200000,1500000,600000,1747000,226000,1359000,1625000,5536000,8628000,9251000,6139000,2310000,-16681000,-7584000,807000,2553000,3208000,4007000,5061000,6144000,6295000,8333000,13445000,10804000,17330000
21,Income Before Tax Ratio,0.2161,0.2210,0.1818,0.0926,0.0831,0.0028,0.0155,- -,- -,0.0208,0.0305,0.0413,0.0298,0.0119,0.0325,0.0041,0.0243,0.0283,0.0953,0.1323,0.1330,0.0927,0.0338,-0.2398,-0.1119,0.0113,0.0360,0.0449,0.0539,0.0651,0.0745,0.0720,0.0908,0.1306,0.1066,0.1520
22,Income Tax expense (Gain),2200000,2700000,2200000,1100000,900000,-400000,-800000,- -,- -,500000,500000,600000,-500000,-1900000,-263000,25000,18000,615000,2201000,3226000,3264000,1922000,-1408000,-3299000,-1084000,-314000,267000,187000,531000,216000,371000,696000,684000,1222000,2284000,2429000
23,Net Income,2900000,3400000,4200000,2300000,2100000,500000,1400000,2300000,1300000,500000,1000000,1600000,2000000,2500000,2010000,251000,1341000,1010000,3335000,5629000,6119000,4217000,3718000,-13382000,-6500000,1121000,2286000,3021000,3476000,4845000,5773000,5599000,7649000,12223000,8520000,14901000
24,Net Income ratio,0.1229,0.1232,0.1193,0.0627,0.0582,0.0138,0.0361,0.0494,0.0277,0.0104,0.0204,0.0300,0.0398,0.0494,0.0374,0.0046,0.0240,0.0176,0.0574,0.0863,0.0880,0.0637,0.0544,-0.1924,-0.0959,0.0157,0.0322,0.0423,0.0467,0.0623,0.0700,0.0641,0.0834,0.1187,0.0841,0.1307
25,EPS,0.06,0.07,0.09,0.05,0.04,0.01,0.03,0.05,0.03,0.01,0.02,0.03,0.04,0.07,0.05,0.01,0.04,0.03,0.09,0.15,0.15,0.10,0.10,-0.35,-0.17,0.03,0.06,0.08,0.09,0.13,0.15,0.15,0.20,0.33,0.23,0.41
26,EPS Diluted,0.06,0.07,0.09,0.05,0.04,0.01,0.03,0.05,0.03,0.01,0.02,0.03,0.04,0.07,0.05,0.01,0.04,0.03,0.09,0.14,0.15,0.10,0.10,-0.35,-0.17,0.03,0.06,0.08,0.09,0.13,0.15,0.15,0.20,0.33,0.23,0.41
27,Weighted Average Shares Outstanding,46718057,47659765,47718868,47740623,47221785,44972117,47221520,46839838,48384696,47412000,47228400,47336400,46040400,37724400,37746000,37184400,36093600,35985600,35812800,38529949,39570000,39922000,38526000,38192000,38192000,38192000,38192000,38420000,38784000,38328000,37748000,37618000,37576000,37148000,36888000,36696000
28,Weighted Average Shares Outstanding Diluted,46718057,47659765,47718868,47740623,47221785,44972117,47221520,46839838,48384696,53966541,47228400,47336400,46278000,37929600,37940400,38091600,37713600,38707200,38237400,40567329,41210000,41198000,39604000,38192000,38192000,38352000,38606000,38724000,38856000,38338000,37788000,37708000,37650000,37248000,36986000,36808000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69633/000095012398008594/0000950123-98-008594-index.html,https://www.sec.gov/Archives/edgar/data/69633/000095012399008898/0000950123-99-008898-index.html,https://www.sec.gov/Archives/edgar/data/69633/000095012300008935/0000950123-00-008935-index.html,https://www.sec.gov/Archives/edgar/data/69633/000095012301506817/0000950123-01-506817-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69633/000115752307009519/0001157523-07-009519-index.html,https://www.sec.gov/Archives/edgar/data/69633/000115752308007740/0001157523-08-007740-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/69633/000115752311005500/0001157523-11-005500-index.html,https://www.sec.gov/Archives/edgar/data/69633/000115752312004922/0001157523-12-004922-index.html,https://www.sec.gov/Archives/edgar/data/69633/000115752313004445/0001157523-13-004445-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420414055943/0001144204-14-055943-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420415054446/0001144204-15-054446-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420416123247/v448033_10k.htm,https://www.sec.gov/Archives/edgar/data/69633/000114420417047855/0001144204-17-047855-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420418049353/0001144204-18-049353-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420419044601/tv528953_10k.htm,https://www.sec.gov/Archives/edgar/data/69633/000110465920105150/0001104659-20-105150-index.htm,https://www.sec.gov/Archives/edgar/data/69633/000155837021012426/0001558370-21-012426-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1800000,2900000,900000,2500000,2400000,1100000,400000,900000,1300000,400000,400000,1000000,2000000,2200000,2384000,1037000,1500000,1794000,796000,1178000,2738000,1748000,2765000,4109000,5522000,3077000,2979000,3229000,2483000,2346000,3805000,3454000,5308000,8028000,18248000,34806000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5413000
33,Cash and Short-Term Investments,1800000,2900000,900000,2500000,2400000,1100000,400000,900000,1300000,400000,400000,1000000,2000000,2200000,2384000,1037000,1500000,1794000,796000,1178000,2738000,1748000,2765000,4109000,5522000,3077000,2979000,3229000,2483000,2346000,3805000,3454000,5308000,8028000,18248000,40219000
34,Net Receivables,3600000,4500000,5700000,5600000,8600000,9500000,9600000,12100000,14700000,13600000,13800000,13900000,14800000,16400000,18027000,16940000,18313000,17425000,19927000,21899000,25153000,25579000,25823000,20191000,18525000,17640000,16408000,18275000,17025000,17994000,19012000,20275000,22738000,25970000,22932000,28081000
35,Inventory,4700000,5600000,11500000,10600000,13400000,15400000,20100000,24400000,23600000,24200000,25900000,25700000,25400000,21500000,19478000,23234000,17931000,16922000,14594000,16242000,22666000,21342000,19548000,18885000,17370000,19986000,19448000,18471000,21443000,22757000,21428000,26212000,24533000,29576000,35231000,25278000
36,Other Current Assets,300000,700000,600000,1000000,900000,900000,500000,400000,500000,1700000,1400000,1400000,2000000,1600000,1086000,895000,1213000,1778000,2523000,2155000,2286000,2221000,1890000,1328000,1395000,1478000,1614000,1861000,1728000,1926000,1639000,1330000,1124000,1881000,2049000,2408000
37,Total Current Assets,10400000,13700000,18700000,19700000,25300000,26900000,30600000,37800000,40100000,39900000,41500000,42000000,44200000,41700000,40975000,42106000,38957000,37919000,37840000,41474000,52843000,50890000,50026000,44513000,42812000,42181000,40449000,41836000,42679000,45023000,45884000,51271000,53703000,65455000,78460000,95986000
38,PP&E,2400000,5300000,9100000,9300000,9900000,10300000,10000000,10000000,10400000,12500000,12500000,12100000,11500000,11300000,11105000,10663000,9964000,9466000,8987000,8533000,9038000,9135000,8989000,9070000,8106000,7741000,7247000,6586000,6394000,6234000,6049000,6543000,6791000,7694000,15483000,15209000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9686000,- -,- -,- -,9686000,9686000,9686000,923000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,3700000,3600000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2379000,9686000,- -,9686000,9686000,9686000,- -,- -,- -,15209000,13870000,12316000,11251000,10334000,9552000,8886000,8357000,7916000,7545000,7232000,5116000,4691000
41,Intangible Assets,- -,- -,3700000,3600000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2379000,9686000,9686000,9686000,9686000,9686000,9686000,9686000,9686000,16132000,13870000,12316000,11251000,10334000,9552000,8886000,8357000,7916000,7545000,7232000,5116000,4691000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,785000,1032000,- -,- -,- -,- -,- -,- -,1585000,1842000,2083000,1762000,1526000,1005000,634000,436000,644000,564000,- -,- -,- -
44,Other Non-Current Assets,3200000,1300000,200000,100000,200000,200000,300000,300000,300000,400000,500000,400000,300000,300000,1070000,437000,229000,278000,159000,214000,155000,7074000,8022000,10286000,7038000,4474000,4041000,3621000,3734000,4260000,4043000,4488000,4666000,5527000,6779000,7407000
45,Total Non-Current Assets,5600000,6600000,13000000,13000000,13500000,13800000,13500000,13400000,13700000,15800000,15800000,15200000,14400000,14100000,14554000,21571000,20911000,19430000,18832000,18433000,18879000,25895000,26697000,37073000,30856000,26614000,24301000,22067000,20685000,20014000,18885000,19591000,19566000,20453000,27378000,27307000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16000000,20300000,31700000,32700000,38800000,40700000,44100000,51200000,53800000,55700000,57300000,57200000,58600000,55800000,55529000,63677000,59868000,57349000,56672000,59907000,71722000,76785000,76723000,81586000,73668000,68795000,64750000,63903000,63364000,65037000,64769000,70862000,73269000,85908000,105838000,123293000
48,Accounts Payable,- -,- -,- -,- -,- -,3700000,3500000,5300000,5900000,4000000,1500000,5500000,3900000,3700000,2551000,3361000,2994000,3374000,3789000,5249000,6060000,5045000,4857000,4049000,5320000,4649000,3163000,3318000,4082000,3954000,4328000,5653000,4807000,5135000,6547000,6095000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,- -,900000,1700000,1400000,1023000,3533000,2664000,1900000,1900000,- -,- -,- -,- -,- -,29849000,3572000,1600000,1600000,1600000,1600000,300000,- -,- -,- -,1794000,2386000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1635000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1300000,2400000,9800000,8600000,12700000,10700000,8000000,12600000,6200000,4600000,11400000,5500000,4600000,1700000,2121000,1980000,2789000,3802000,3159000,5208000,5835000,4365000,3876000,18060000,4141000,4775000,3481000,3697000,3561000,3879000,4368000,4820000,4595000,9237000,9073000,11695000
53,Total Current Liabilities,1300000,2400000,9800000,8600000,12700000,14400000,11500000,17900000,12100000,11300000,12900000,11900000,10200000,6800000,5695000,8874000,8447000,9076000,8848000,10457000,11895000,9410000,8733000,22109000,39310000,12996000,8244000,8615000,9243000,9433000,8996000,10473000,9402000,14372000,17414000,20176000
54,Long-Term Debt,3900000,3600000,3300000,3000000,2700000,2500000,7900000,6500000,13700000,15300000,14200000,13300000,18600000,17200000,16183000,21567000,16588000,14100000,6400000,1950000,4700000,10900000,12400000,18749000,26277000,20205000,18657000,14800000,10200000,9100000,4500000,3500000,- -,- -,2110000,8608000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,300000,400000,700000,900000,700000,100000,- -,- -,600000,700000,800000,900000,400000,292000,292000,539000,816000,1277000,1579000,1887000,1235000,1607000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000,112000,347000
57,Other Non-Current Liabilities,- -,- -,- -,-100000,-100000,- -,100000,- -,- -,-100000,-100000,- -,100000,100000,- -,- -,- -,- -,2243000,2243000,2243000,1836000,294000,213000,-26161000,165000,126000,153000,169000,- -,- -,- -,414000,292000,8301000,925000
58,Total Non-Current Liabilities,4100000,3900000,3700000,3600000,3500000,3200000,8100000,6500000,13700000,15800000,14800000,14100000,19600000,17700000,16475000,21859000,17127000,14916000,9920000,5772000,8830000,13971000,14301000,18962000,116000,20370000,18783000,14953000,10369000,9100000,4500000,3500000,414000,364000,10523000,9880000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7113000,7090000
61,Total Liabilities,5400000,6300000,13500000,12200000,16200000,17600000,19600000,24400000,25800000,27100000,27700000,26000000,29800000,24500000,22170000,30733000,25574000,23992000,18768000,16229000,20725000,23381000,23034000,41071000,39426000,33366000,27027000,23568000,19612000,18533000,13496000,13973000,9816000,14736000,27937000,30056000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,59000,59000,60000,61000,71000,87000,200000,201000,201000,201000,201000,201000,201000,208000,210000,210000,211000,212000,212000,212000,212000,212000
64,Retained Earnings,9900000,13300000,17400000,19700000,21800000,22300000,23700000,26000000,27300000,27800000,28800000,30400000,32500000,35000000,36977000,37228000,38569000,39813000,37688000,31963000,38082000,42299000,45532000,32150000,25650000,26771000,29057000,32078000,35554000,40399000,46172000,51771000,59420000,70924000,79444000,94345000
65,Other Comprehensive Income/Loss,-600000,-900000,-1300000,-1900000,-2500000,-3300000,-4500000,-5500000,-6800000,-8000000,-9100000,-10300000,-11100000,-12300000,-13712000,-15288000,-16696000,-17946000,-19105000,-20217000,-21391000,-22588000,-23779000,-27851000,-29115000,-30011000,-31112000,-32154000,-33016000,-33784000,-34662000,-35568000,-36600000,-37685000,-38907000,- -
66,Other Total Stockholders Equity,1300000,1600000,2100000,2700000,3300000,4100000,5300000,6300000,7500000,8800000,9900000,11100000,7400000,8500000,10035000,10945000,12361000,11429000,19250000,31845000,33959000,33345000,31588000,36015000,37506000,38468000,39577000,40203000,41004000,39679000,39552000,40474000,40421000,37721000,37152000,-1320000
67,Total Stockholders Equity,10600000,14000000,18200000,20500000,22600000,23100000,24500000,26800000,28000000,28600000,29600000,31200000,28800000,31300000,33359000,32944000,34294000,33357000,37904000,43678000,50850000,53257000,53542000,40515000,34242000,35429000,37723000,40335000,43752000,46504000,51273000,56889000,63453000,71172000,77901000,93237000
68,Total Liabilities And Stockholders Equity,16000000,20300000,31700000,32700000,38800000,40700000,44100000,51200000,53800000,55700000,57300000,57200000,58600000,55800000,55529000,63677000,59868000,57349000,56672000,59907000,71575000,76638000,76576000,81586000,73668000,68795000,64750000,63903000,63364000,65037000,64769000,70862000,73269000,85908000,105838000,123293000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000,147000,147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16000000,20300000,31700000,32700000,38800000,40700000,44100000,51200000,53800000,55700000,57300000,57200000,58600000,55800000,55529000,63677000,59868000,57349000,56672000,59907000,71722000,76785000,76723000,81586000,73668000,68795000,64750000,63903000,63364000,65037000,64769000,70862000,73269000,85908000,105838000,123293000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69633/000095012398008594/0000950123-98-008594-index.html,https://www.sec.gov/Archives/edgar/data/69633/000095012399008898/0000950123-99-008898-index.html,https://www.sec.gov/Archives/edgar/data/69633/000095012300008935/0000950123-00-008935-index.html,https://www.sec.gov/Archives/edgar/data/69633/000095012301506817/0000950123-01-506817-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69633/000115752307009519/0001157523-07-009519-index.html,https://www.sec.gov/Archives/edgar/data/69633/000115752308007740/0001157523-08-007740-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/69633/000115752311005500/0001157523-11-005500-index.html,https://www.sec.gov/Archives/edgar/data/69633/000115752312004922/0001157523-12-004922-index.html,https://www.sec.gov/Archives/edgar/data/69633/000115752313004445/0001157523-13-004445-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420414055943/0001144204-14-055943-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420415054446/0001144204-15-054446-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420416123247/v448033_10k.htm,https://www.sec.gov/Archives/edgar/data/69633/000114420417047855/0001144204-17-047855-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420418049353/0001144204-18-049353-index.html,https://www.sec.gov/Archives/edgar/data/69633/000114420419044601/tv528953_10k.htm,https://www.sec.gov/Archives/edgar/data/69633/000110465920105150/0001104659-20-105150-index.htm,https://www.sec.gov/Archives/edgar/data/69633/000155837021012426/0001558370-21-012426-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,500000,1400000,2300000,1300000,500000,1000000,1600000,2000000,2500000,2010000,251000,1341000,1010000,3335000,5629000,6119000,4217000,3718000,-13382000,-6500000,1121000,2286000,3021000,3476000,4845000,5773000,5599000,7649000,12223000,8520000,14901000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1200000,1300000,1400000,1500000,1400000,1400000,1400000,1300000,1400000,1554000,2032000,1529000,1294000,1189000,1156000,1192000,1201000,1191000,2727000,2658000,2311000,2275000,1974000,1740000,1570000,1420000,1374000,1409000,1409000,1495000,1696000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-300000,-100000,- -,-300000,400000,- -,-300000,100000,-150000,-69000,- -,173000,-49000,709000,131000,-170000,653000,-2955000,-173000,-321000,199000,244000,424000,230000,375000,361000,80000,755000,40000,235000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349000,227000,66000,8000,- -,76000,101000,103000,102000,146000,160000,583000,435000
77,Change in Working Capital,- -,- -,- -,- -,- -,-3100000,6600000,800000,8100000,600000,- -,1500000,3900000,900000,380000,-2048000,-2722000,-1667000,149000,2025000,9931000,532000,-187000,-18889000,-18902000,25683000,3020000,1016000,215000,2154000,1298000,3910000,3503000,6782000,9963000,14764000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7626000,2154000,73000,1222000,-1823000,1347000,-1156000,-988000,-1273000,-2503000,-1440000,2800000,-5049000
79,Inventory,- -,- -,- -,- -,- -,-2100000,-4700000,-4300000,800000,-600000,-1800000,200000,300000,3900000,2017000,-3159000,5303000,2041000,2328000,-1648000,-6424000,-5770000,951000,5164000,4358000,-799000,401000,1021000,-2276000,-1388000,1988000,-4785000,857000,-5991000,-6793000,8794000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2648000,1927000,13000,-2820000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,12500000,19100000,19900000,28000000,28600000,28600000,30100000,34000000,34900000,35280000,33232000,30510000,28843000,28992000,31017000,40948000,41480000,41293000,22404000,3502000,29185000,32205000,33221000,33436000,35590000,36888000,40798000,44301000,51083000,61046000,75810000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-10600000,-4800000,-9500000,-1500000,700000,-1700000,-7000000,-2000000,-972000,1160000,6943000,5672000,1651000,-2314000,-17541000,-9454000,-1591000,38942000,27975000,-24496000,-3692000,-1356000,-1188000,-5013000,191000,-8898000,-4922000,-12676000,-10296000,-9044000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-1400000,-1600000,-400000,1400000,700000,3500000,2800000,-100000,2900000,2822000,1326000,7091000,6482000,6275000,7205000,-168000,-3674000,3784000,6792000,5285000,4364000,4096000,4899000,4743000,3887000,9160000,2448000,7865000,8653000,10305000,22987000
84,CAPEX,- -,- -,- -,- -,- -,-1400000,-900000,-1200000,-1600000,-3300000,-1200000,-700000,-600000,-1100000,-1221000,-1035000,-709000,-752000,-681000,-658000,-1679000,-1294000,-1045000,-648000,-300000,-737000,-606000,-383000,-753000,-730000,-693000,-1414000,-1280000,-1988000,-1615000,-1007000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
