,https://roic.ai/company/EW,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,1600000,900000,3400000,4800000,4600000,6400000,7900000,10800000,20300000,32000000,32200000,23400000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,2700000,2400000,3100000,4400000,9800000,17200000,17200000,19200000,23200000,29900000,20700000,15800000,1000000
14,Depreciation and Amortization,84000000,74000000,57000000,40400000,45600000,55700000,56200000,56800000,54800000,55600000,58700000,56500000,58000000,57300000,68700000,68600000,65800000,71200000,81900000,77400000,89300000,107200000,134000000
15,EBITDA,197000000,-185000000,46000000,96400000,138400000,85800000,172900000,229100000,204600000,227200000,365800000,327100000,344700000,452800000,593800000,1229800000,705400000,828300000,1140000000,868700000,1276500000,1039700000,361000000
16,EBITDA ratio,0.2177,-0.2301,0.0665,0.1369,0.1608,0.0921,0.1733,0.2209,0.1875,0.1836,0.2768,0.2261,0.2053,0.2384,0.2903,0.5294,0.2829,0.2795,0.3318,0.2333,0.2936,0.2370,0.0690
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,748200000,1146800000,897600000,1690300000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2010,0.2638,0.2046,0.3231
19,Total Other Income Expenses (Gains),-4000000,-354000000,-33000000,3900000,-45600000,-124300000,-58900000,-900000,-22800000,-33900000,66400000,-16100000,-16500000,-17300000,60800000,661400000,-20300000,-45900000,12200000,13200000,19700000,19100000,11700000
20,Income Before Tax,113000000,-259000000,-9000000,56000000,92800000,30100000,116700000,172300000,149800000,164400000,304400000,268200000,283600000,391100000,515300000,1144000000,622400000,737900000,1034900000,761400000,1166500000,916700000,1702000000
21,Income Before Tax Ratio,0.1249,-0.3221,-0.0130,0.0795,0.1078,0.0323,0.1169,0.1662,0.1373,0.1328,0.2304,0.1853,0.1690,0.2059,0.2519,0.4925,0.2496,0.2490,0.3013,0.2045,0.2683,0.2090,0.3253
22,Income Tax expense (Gain),31000000,13000000,1000000,300000,13800000,28400000,37400000,41800000,36800000,35500000,75300000,50200000,46900000,97900000,123600000,332900000,127500000,168400000,451300000,39200000,119600000,93300000,198000000
23,Net Income,82000000,-272000000,-12000000,55700000,79000000,1700000,79300000,130500000,113000000,128900000,229100000,218000000,236700000,293200000,391700000,811100000,494900000,569500000,583600000,722200000,1046900000,823400000,28000000
24,Net Income ratio,0.0906,-0.3383,-0.0173,0.0791,0.0918,0.0018,0.0795,0.1258,0.1036,0.1041,0.1734,0.1507,0.1410,0.1543,0.1915,0.3492,0.1985,0.1922,0.1699,0.1940,0.2408,0.1877,0.0054
25,EPS,0.12,-0.40,-0.02,0.08,0.11,0.00,0.11,0.19,0.16,0.19,0.34,0.32,0.34,0.42,0.58,1.27,0.77,0.89,0.98,1.15,1.68,1.32,0.04
26,EPS Diluted,0.12,-0.40,-0.02,0.08,0.11,0.00,0.11,0.17,0.16,0.18,0.33,0.30,0.33,0.41,0.57,1.25,0.75,0.87,0.96,1.13,1.64,1.30,0.04
27,Weighted Average Shares Outstanding,697068000,700800000,708000000,708000000,709200000,715200000,715200000,702000000,687600000,669600000,675600000,682200000,687600000,689400000,670200000,639000000,646500000,639000000,632700000,627600000,624900000,622600000,623600000
28,Weighted Average Shares Outstanding Diluted,697068000,700800000,708000000,735600000,733200000,744000000,747600000,766800000,752400000,715200000,704400000,715200000,716400000,709800000,682800000,651000000,660900000,653400000,647700000,640800000,636600000,631900000,631700000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1099800/000091205701008463/0000912057-01-008463-index.html,https://www.sec.gov/Archives/edgar/data/1099800/000091205702011188/0000912057-02-011188-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746903008802/0001047469-03-008802-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746904007726/0001047469-04-007726-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746905005556/0001047469-05-005556-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746906003132/0001047469-06-003132-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746907001507/0001047469-07-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746908001956/0001047469-08-001956-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746909002037/0001047469-09-002037-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746910001539/0001047469-10-001539-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746911001550/0001047469-11-001550-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746912001617/0001047469-12-001617-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746913001954/0001047469-13-001954-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746914001583/0001047469-14-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/0001047469-15-000998-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980016000044/0001099800-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980017000008/0001099800-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980018000007/0001099800-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980019000004/0001099800-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980020000005/0001099800-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980021000007/0001099800-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980022000005/0001099800-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,28000000,48000000,34200000,61100000,48900000,178600000,182800000,141800000,218700000,334100000,396100000,171200000,310900000,420400000,653800000,718400000,930100000,818300000,714100000,1179100000,1183200000,862000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,49400000,8100000,- -,- -,279300000,210500000,516500000,785000000,506300000,341000000,519200000,242400000,337800000,219400000,604000000
33,Cash and Short-Term Investments,- -,28000000,48000000,34200000,61100000,48900000,178600000,182800000,191200000,226800000,334100000,396100000,450500000,521400000,936900000,1438800000,1224700000,1271100000,1337500000,956500000,1516900000,1402600000,1466000000
34,Net Receivables,155000000,129000000,101000000,108400000,118500000,119400000,118500000,127100000,145300000,204700000,272100000,302500000,320700000,347500000,328000000,325000000,344100000,414600000,462200000,537300000,599100000,602800000,664000000
35,Inventory,169000000,73000000,87000000,111800000,120500000,127700000,131500000,142100000,152600000,151800000,165900000,203600000,261300000,281000000,308900000,296800000,339900000,396600000,554900000,607000000,640900000,802300000,726000000
36,Other Current Assets,32000000,52000000,57000000,72000000,60100000,71500000,85600000,79600000,92600000,108600000,117100000,130400000,136000000,142000000,152000000,234000000,139200000,157700000,177500000,186100000,227100000,283300000,324000000
37,Total Current Assets,356000000,282000000,293000000,326400000,360200000,367500000,514200000,531600000,581700000,691900000,889200000,1032600000,1168500000,1291900000,1725800000,2294600000,2047900000,2240000000,2532100000,2286900000,2984000000,3091000000,3180000000
38,PP&E,226000000,183000000,178000000,209400000,209900000,201700000,201900000,213000000,228200000,230100000,252000000,269800000,304300000,373300000,421600000,442900000,482500000,580000000,679700000,867500000,1140400000,1489400000,1638000000
39,Goodwill,- -,- -,402000000,- -,- -,- -,- -,337700000,350300000,315700000,315200000,315200000,349800000,384700000,385400000,376000000,628300000,626100000,1126500000,1112200000,1167700000,1173200000,1167000000
40,Intangible Assets,- -,511000000,- -,395700000,419200000,490300000,475400000,116100000,122500000,96900000,86700000,67100000,66900000,67000000,57200000,23400000,205400000,204800000,468000000,343200000,336500000,331400000,323000000
41,Intangible Assets,839000000,511000000,402000000,395700000,419200000,490300000,475400000,453800000,472800000,412600000,401900000,382300000,416700000,451700000,442600000,399400000,833700000,830900000,1594500000,1455400000,1504200000,1504600000,1490000000
42,Investments,- -,- -,- -,- -,- -,- -,11000000,20000000,34000000,14700000,22300000,25000000,21800000,21100000,21900000,240900000,379900000,532100000,567000000,506300000,585500000,801600000,1834000000
43,Tax Assets,- -,- -,- -,38800000,59300000,22300000,11500000,14500000,13800000,37700000,37100000,44500000,20000000,47300000,70100000,91500000,180500000,203800000,213600000,174000000,172200000,230900000,246000000
44,Other Non-Current Assets,16000000,112000000,100000000,37900000,52800000,30900000,15100000,13900000,14600000,13200000,13000000,13000000,49200000,36200000,42700000,55000000,134800000,123200000,108900000,33600000,101800000,119600000,114000000
45,Total Non-Current Assets,1081000000,806000000,680000000,681800000,741200000,745200000,714900000,715200000,763400000,708300000,726300000,734600000,812000000,929600000,998900000,1229700000,2011400000,2270000000,3163700000,3036800000,3504100000,4146100000,5322000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1437000000,1088000000,973000000,1008200000,1101400000,1112700000,1229100000,1246800000,1345100000,1400200000,1615500000,1767200000,1980500000,2221500000,2724700000,3524300000,4059300000,4510000000,5695800000,5323700000,6488100000,7237100000,8502000000
48,Accounts Payable,- -,158000000,183000000,197900000,167200000,195400000,194200000,57200000,63900000,65600000,51100000,47600000,85000000,74700000,48400000,58200000,63900000,97100000,116600000,134000000,180400000,196500000,204000000
49,Short-Term Debt,- -,61000000,1000000,- -,- -,- -,- -,- -,150000000,- -,- -,41800000,- -,- -,- -,- -,- -,- -,598000000,- -,25500000,27200000,50000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,35900000,22300000,37500000,40500000,38700000,41800000,49000000,41200000,139700000,70800000,104300000,68300000,190000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,156000000,- -,- -,- -,- -,- -,- -,169000000,161500000,192900000,239400000,248400000,250200000,272700000,297200000,376200000,412300000,435400000,688300000,742600000,696500000,670200000,778000000
53,Total Current Liabilities,156000000,219000000,184000000,197900000,167200000,195400000,194200000,226200000,375400000,258500000,290500000,337800000,335200000,347400000,345600000,434400000,476200000,532500000,1402900000,876600000,902400000,893900000,1032000000
54,Long-Term Debt,- -,367000000,310000000,245500000,255800000,267100000,316100000,235900000,61700000,175500000,90300000,- -,150400000,189300000,593100000,598100000,599900000,822300000,438400000,593800000,594400000,667700000,664000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,57000000,62000000,20000000,25400000,43300000,22100000,28800000,35300000,73000000,87400000,76800000,121200000,157000000,205500000,226800000,300400000,480100000,536200000,898300000,712900000,843000000,1101200000,970000000
58,Total Non-Current Liabilities,57000000,429000000,330000000,270900000,299100000,289200000,344900000,271200000,134700000,262900000,167100000,121200000,307400000,394800000,819900000,898500000,1080000000,1358500000,1336700000,1306700000,1437400000,1768900000,1634000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84400000,99900000,- -
61,Total Liabilities,213000000,648000000,514000000,468800000,466300000,484600000,539100000,497400000,510100000,521400000,457600000,459000000,642600000,742200000,1165500000,1332900000,1556200000,1891000000,2739600000,2183300000,2339800000,2662800000,2666000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,59000000,59000000,60200000,62600000,64200000,65600000,67000000,68600000,73700000,76100000,117000000,120000000,124200000,126000000,128900000,239100000,242600000,212000000,215200000,218100000,636400000,642000000
64,Retained Earnings,418000000,103000000,88000000,143400000,222400000,224100000,303400000,433900000,548600000,676900000,906000000,1124000000,1360700000,1653900000,2045600000,2841900000,3336800000,3906300000,1962100000,2694700000,3741600000,4565000000,6068000000
65,Other Comprehensive Income/Loss,- -,-144000000,-144000000,-44700000,-32200000,-20800000,-22200000,-15800000,7500000,-35400000,-7900000,-42100000,-37500000,-37900000,-27600000,-100900000,-182600000,-198400000,-132700000,-138500000,-156000000,-161100000,-157000000
66,Other Total Stockholders Equity,806000000,422000000,456000000,380500000,382300000,360600000,343200000,264300000,210300000,163600000,183700000,109300000,-105300000,-260900000,-584800000,-678500000,-890200000,-1331500000,914800000,369000000,344600000,-466000000,- -
67,Total Stockholders Equity,1224000000,440000000,459000000,539400000,635100000,628100000,690000000,749400000,835000000,878800000,1157900000,1308200000,1337900000,1479300000,1559200000,2191400000,2503100000,2619000000,2956200000,3140400000,4148300000,4574300000,5835000000
68,Total Liabilities And Stockholders Equity,1437000000,1088000000,973000000,1008200000,1101400000,1112700000,1229100000,1246800000,1345100000,1400200000,1615500000,1767200000,1980500000,2221500000,2724700000,3524300000,4059300000,4510000000,5695800000,5323700000,6488100000,7237100000,8501000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
70,Total Liabilities & Equity,1437000000,1088000000,973000000,1008200000,1101400000,1112700000,1229100000,1246800000,1345100000,1400200000,1615500000,1767200000,1980500000,2221500000,2724700000,3524300000,4059300000,4510000000,5695800000,5323700000,6488100000,7237100000,8502000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1099800/000091205701008463/0000912057-01-008463-index.html,https://www.sec.gov/Archives/edgar/data/1099800/000091205702011188/0000912057-02-011188-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746903008802/0001047469-03-008802-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746904007726/0001047469-04-007726-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746905005556/0001047469-05-005556-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746906003132/0001047469-06-003132-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746907001507/0001047469-07-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746908001956/0001047469-08-001956-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746909002037/0001047469-09-002037-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746910001539/0001047469-10-001539-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746911001550/0001047469-11-001550-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746912001617/0001047469-12-001617-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746913001954/0001047469-13-001954-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746914001583/0001047469-14-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/0001047469-15-000998-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980016000044/0001099800-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980017000008/0001099800-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980018000007/0001099800-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980019000004/0001099800-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980020000005/0001099800-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980021000007/0001099800-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980022000005/0001099800-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,82000000,-272000000,-12000000,55700000,79000000,1700000,79300000,130500000,113000000,128900000,229100000,218000000,236700000,293200000,391700000,811100000,494900000,569500000,583600000,722200000,1046900000,823400000,28000000
74,Depreciation and Amortization,84000000,74000000,57000000,40400000,45600000,55700000,56200000,56800000,54800000,55600000,58700000,56500000,58000000,57300000,68700000,68600000,65800000,71200000,81900000,77400000,89300000,107200000,134000000
75,Deferred Income Tax,- -,- -,-30000000,-13800000,5300000,800000,-13800000,7100000,-5600000,-23500000,-4000000,-11200000,-600000,8100000,100000,-71100000,-95000000,-37400000,17800000,-27300000,12100000,-49400000,-41000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,28700000,28300000,29300000,35000000,42100000,47400000,48300000,49900000,56900000,61600000,71000000,81300000,92600000,109000000
77,Change in Working Capital,-1000000,-137000000,46000000,19500000,64500000,-20900000,147900000,-14600000,-99100000,227100000,165300000,96100000,138500000,111200000,435700000,480000000,-288500000,135800000,-578300000,281100000,671300000,115500000,-49100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68500000,-51600000,-34200000,-53700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91000000
79,Inventory,-14000000,15000000,-7000000,13300000,4200000,-7100000,-12900000,-12800000,-9000000,-17800000,-13100000,-36800000,-57000000,-21700000,-44400000,-30500000,-67700000,-65600000,-124000000,-65700000,-105400000,-120600000,19000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41900000,50300000,112900000,29400000,74000000,85200000,192500000,-63500000,-84500000,195000000
81,Other Working Capital,200000000,63000000,109000000,128500000,193000000,172100000,320000000,305400000,206300000,433400000,598700000,694800000,833300000,944500000,1380200000,1860200000,1571700000,1707500000,1129200000,1410300000,2081600000,2197100000,2148000000
82,Other Non-Cash Items,11000000,472000000,40000000,18800000,-72100000,143300000,-132800000,51000000,147100000,-263600000,-312100000,-137300000,-153100000,-138100000,-470900000,-314600000,322600000,-91600000,834100000,-197600000,-721500000,-35000000,1551100000
83,Cash Provided by Operating Activities,176000000,137000000,101000000,120600000,122300000,180600000,136800000,230800000,210200000,153200000,165300000,251400000,314500000,373800000,472700000,1022300000,549700000,704400000,1000700000,926800000,1179400000,1054300000,1732000000
84,CAPEX,-42000000,-46000000,-38000000,-40700000,-37900000,-42500000,-48500000,-59400000,-62500000,-78000000,-64000000,-63000000,-90600000,-127700000,-110100000,-93700000,-106500000,-217400000,-175500000,-241700000,-278400000,-407300000,-325000000
85,Acquisitions Net,-7000000,- -,- -,-19000000,- -,-137700000,- -,- -,-37000000,- -,- -,- -,-42600000,-35800000,-2700000,-24100000,-333700000,-5700000,-184600000,-6200000,-100200000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-1800000,-57300000,-1300000,-7400000,-7300000,-645600000,-593200000,-824600000,-2131200000,-1318000000,-1074900000,-1347400000,-471900000,-568100000,-861700000,-250000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,5600000,41000000,13700000,2200000,362100000,662300000,526400000,1612900000,1439700000,1085100000,1103400000,801300000,409900000,777000000,-112000000
88,Other Investing Activites,-42000000,-29000000,34000000,-8600000,-25400000,3100000,21300000,25500000,6700000,19100000,33800000,-56400000,-86700000,-123800000,-111800000,-90600000,-104100000,-216200000,-218600000,-246500000,-337400000,-446400000,-1360000000
89,Cash Used for Investing Activites,-49000000,-75000000,-4000000,-68300000,-63300000,-177100000,-27200000,-35700000,-144500000,58800000,40100000,-61500000,-412800000,-90500000,-412700000,-633000000,-316100000,-211700000,-647200000,76700000,-595800000,-531100000,-1722000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112100000,-213900000,-302800000,-421700000,-367500000,-895400000,-239000000,-29500000,-31400000,-818400000,-1125300000,-28900000,-17000000,-7000000
91,Common Stock Issued,- -,4000000,- -,13700000,36600000,30500000,26200000,33500000,38700000,63800000,66700000,92100000,59500000,100100000,45500000,113300000,87200000,103300000,113800000,147000000,160500000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-30800000,-49400000,-59100000,-53500000,-145900000,-130900000,-306500000,-95500000,-200000000,-303400000,-344100000,-496900000,-300900000,-280100000,-662300000,-763300000,-795500000,-263300000,-625400000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-127000000,-41000000,-78000000,-52400000,-2200000,8100000,56300000,-81200000,-15900000,220700000,150900000,306800000,530400000,455900000,1381700000,273600000,63800000,321900000,994700000,672600000,16100000,155500000,-349000000
95,Cash Used/Provided by Financing Activities,-127000000,-37000000,-78000000,-69500000,-15000000,-20500000,29000000,-193600000,-108100000,-134100000,-91800000,-103900000,-135200000,-155600000,34900000,-153000000,-158600000,-268500000,-473200000,-1101200000,-115600000,-486900000,-356000000
96,Effect of Forex Changes on Cash,- -,3000000,1000000,3700000,-17100000,4800000,-8900000,2700000,1400000,-1000000,1800000,-24000000,8600000,12000000,14600000,-2900000,-10400000,-12500000,7900000,-6500000,-3000000,-20500000,13000000
97,Net Change In Cash,- -,- -,20000000,-13500000,26900000,-12200000,129700000,4200000,-41000000,76900000,115400000,62000000,-224900000,139700000,109500000,233400000,64600000,211700000,-111800000,-104200000,465000000,15800000,-333000000
98,Cash at the End of Period,- -,28000000,48000000,34200000,61100000,48900000,178600000,182800000,141800000,218700000,334100000,396100000,171200000,310900000,420400000,653800000,718400000,930100000,818300000,714100000,1179100000,1200200000,867000000
99,Cash at the Beginning of Period,- -,- -,28000000,47700000,34200000,61100000,48900000,178600000,182800000,141800000,218700000,334100000,396100000,171200000,310900000,420400000,653800000,718400000,930100000,818300000,714100000,1184400000,1200000000
100,Free Cash Flow,134000000,91000000,63000000,79900000,84400000,138100000,88300000,171400000,147700000,75200000,101300000,188400000,223900000,246100000,362600000,928600000,443200000,487000000,825200000,685100000,901000000,647000000,1407000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1099800/000091205701008463/0000912057-01-008463-index.html,https://www.sec.gov/Archives/edgar/data/1099800/000091205702011188/0000912057-02-011188-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746903008802/0001047469-03-008802-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746904007726/0001047469-04-007726-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746905005556/0001047469-05-005556-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746906003132/0001047469-06-003132-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746907001507/0001047469-07-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746908001956/0001047469-08-001956-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746909002037/0001047469-09-002037-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746910001539/0001047469-10-001539-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746911001550/0001047469-11-001550-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746912001617/0001047469-12-001617-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746913001954/0001047469-13-001954-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746914001583/0001047469-14-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/0001047469-15-000998-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980016000044/0001099800-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980017000008/0001099800-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980018000007/0001099800-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980019000004/0001099800-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980020000005/0001099800-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980021000007/0001099800-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1099800/000109980022000005/0001099800-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
