,https://roic.ai/company/LAKE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,1600000,2400000,5600000,6900000,6900000,5000000,6500000,6300000,6700000,8900000,11200000,9900000,15900000,16100000,22467395,22710083,26529150,25470044,26265807,30906023,45243490,40955739,48116173,57074028,38575890,45917775,45668355,39270675,39844309,40308275,40841000,35535000,42919000,42365000,44238000,43833000
36,Other Current Assets,200000,200000,300000,400000,700000,1800000,600000,400000,500000,600000,900000,600000,800000,1100000,962698,1745890,1654303,1550697,2003376,1919225,2722236,4471086,3797923,5180524,5348384,6450217,9752198,4081338,7286298,5581996,4333000,3482000,3674000,3797000,3261000,5478000
37,Total Current Assets,3900000,7300000,11300000,14400000,13500000,11400000,11100000,10800000,11300000,14000000,17500000,16900000,23900000,25300000,32460111,36098839,39544826,38859064,43284774,55128004,63719460,62113648,70269434,78363423,64826664,72919939,73707953,63871883,65481005,66818027,63672000,60086000,76500000,75470000,79807000,123609000
38,PP&E,400000,800000,1100000,1300000,1400000,1200000,1200000,1100000,1000000,700000,1000000,1000000,1400000,1300000,1851964,1978070,2218459,3356835,3921308,5014240,7754765,11084030,13324648,13736326,13742454,13901389,13914826,14089987,12069107,11688038,9268000,8527000,8789000,10781000,12357000,12166000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,871297,871297,5109136,5829143,6297751,6132954,871297,871297,871297,871000,871000,871000,871000,871000,871000
40,Intangible Assets,- -,500000,800000,800000,700000,500000,500000,600000,400000,400000,400000,300000,300000,300000,288810,268822,- -,- -,- -,- -,871297,- -,- -,4405833,5622120,8256904,4527335,477200,1533349,443376,95000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,500000,800000,800000,700000,500000,500000,600000,400000,400000,400000,300000,300000,300000,288810,268822,- -,- -,- -,- -,871297,871297,871297,9514969,11451263,14554655,10660289,1348497,2404646,1314673,966000,871000,871000,871000,871000,871000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13100598,12783000,13515000,7557000,7267000,5939000,2839000
44,Other Non-Current Assets,- -,100000,100000,100000,100000,400000,900000,700000,400000,500000,400000,400000,200000,300000,169365,282235,654200,606835,97745,171010,118330,129385,157474,- -,- -,- -,4121786,4007636,3794767,286367,1571000,1555000,814000,334000,431000,441000
45,Total Non-Current Assets,400000,1400000,2000000,2200000,2200000,2100000,2600000,2400000,1800000,1600000,1800000,1700000,1900000,1900000,2310139,2529127,2872659,3963670,4019053,5185250,8744392,12084712,14353419,23251295,25193717,28456044,28696901,19446120,18268520,26389676,24588000,24468000,18031000,19253000,19598000,16317000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4300000,8700000,13300000,16600000,15700000,13500000,13700000,13200000,13100000,15600000,19300000,18600000,25800000,27200000,34770250,38627966,42417485,42822734,47303827,60313254,72463852,74198360,84622853,101614718,90020381,101375983,102404854,83318003,83749525,93207703,88260000,84554000,94531000,94723000,99405000,139926000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2000000,2100000,2200000,2800000,3500000,2500000,4300000,1400000,4242874,6490447,4759373,3014038,3461353,2710251,2536756,3055339,3312696,3853890,3882730,6503935,4600437,6704001,8181026,8414757,4254000,4928000,7057000,6214000,7204000,7397000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,10800000,11719681,12935416,17028032,16657882,16784781,- -,- -,- -,94000,94000,9611168,100050,1898259,16788142,15023969,8990788,12734000,5068000,369000,158000,1990000,768000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1534000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3500000,1800000,3600000,4800000,2400000,5100000,300000,3700000,300000,4000000,300000,300000,600000,700000,638668,626115,991021,1262175,1263044,1441912,1302544,1270623,1590161,3504218,2427099,4113517,2954492,4410253,3743555,6418766,2970000,2329000,2953000,3962000,3745000,7229000
53,Total Current Liabilities,3500000,1800000,3600000,4800000,2400000,5100000,2300000,5800000,2500000,6800000,3900000,2900000,5000000,12900000,16601223,20051978,22778426,20934095,21509178,4152163,3839300,4325962,4996857,7452108,15920997,10717502,9453188,27902396,26948550,23824311,19958000,12325000,10379000,10334000,12939000,15394000
54,Long-Term Debt,100000,- -,- -,3000000,4700000,300000,3700000,400000,3700000,400000,6500000,5700000,9200000,500000,2708643,1981476,179104,- -,- -,- -,7272000,3786000,8871000,25776872,1583419,13078159,16272489,1298085,2636026,799637,691000,716000,1312000,1161000,- -,1613000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,100000,300000,300000,300000,200000,200000,100000,100000,100000,100000,100000,55000,58000,303000,14643,250532,86229,86982,27227,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,400000,2900000,400000,100000,-100000,-100000,- -,-100000,100000,- -,100000,- -,- -,- -,- -,430001,514572,517147,495330,469534,- -,1882085,74611,92176,3413081,3412320,8126422,7159189,5327841,95000,6000,- -,- -,1414000,- -
58,Total Non-Current Liabilities,200000,400000,2900000,3500000,5100000,500000,3900000,600000,3800000,600000,6600000,5900000,9300000,600000,2763643,2039476,912105,529215,767679,581559,7828516,3813227,10753085,25851483,1675595,16491240,19684809,9424507,9795215,6127478,786000,722000,1312000,1161000,1414000,1613000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2249000,2381000
61,Total Liabilities,3700000,2200000,6500000,8300000,7500000,5600000,6200000,6400000,6300000,7400000,10500000,8800000,14300000,13500000,19364866,22091454,23690531,21463310,22276857,4733722,11667816,8139189,15749942,33303591,17596592,27208742,29137997,37326903,36743765,29951789,20744000,13047000,11691000,11495000,14353000,17007000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26440,26460,26846,29691,32739,45609,50170,55218,55233,55233,55647,55687,55819,56886,57132,74140,76000,76000,85000,85000,85000,85000
64,Retained Earnings,400000,800000,1100000,2300000,2200000,1900000,1500000,800000,700000,2200000,2800000,3800000,5400000,7500000,9246453,10369831,12339367,12567060,13131770,18148016,18314645,17031928,19641790,24191258,25221050,26193049,25816224,-472445,-591945,4654031,8508000,12401000,12841000,14300000,17581000,52687000
65,Other Comprehensive Income/Loss,-100000,-100000,-100000,-400000,-500000,-700000,-800000,-1000000,-1100000,-1200000,-1500000,-1800000,-2200000,-2600000,-3063833,-3688773,-3112667,-3708051,-4511285,-5303730,-6200502,-6707308,-36073,-4191801,-1122293,651812,-25489,-1214115,-2472422,-2713635,-2184000,-2382000,-1651000,-2252000,-2762000,-1612000
66,Other Total Stockholders Equity,300000,5800000,5800000,6400000,6500000,6700000,6800000,7000000,7200000,7200000,7500000,7800000,8300000,8800000,9196324,9828994,9473408,12470724,16373746,41576776,48631723,55679333,49211961,48256437,48269385,47266693,47420303,47620774,50012995,61241378,61116000,61412000,71565000,71095000,70148000,71758000
67,Total Stockholders Equity,600000,6500000,6800000,8300000,8200000,7900000,7500000,6800000,6800000,8200000,8800000,9800000,11500000,13700000,15405384,16536512,18726954,21359424,25026970,54466671,60796036,66059171,68872911,68311127,72423789,74167241,73266857,45991100,47005760,63255914,67516000,71507000,82840000,83228000,85052000,122918000
68,Total Liabilities And Stockholders Equity,4300000,8700000,13300000,16600000,15700000,13500000,13700000,13200000,13100000,15600000,19300000,18600000,25800000,27200000,34770250,38627966,42417485,42822734,47303827,59200393,72463852,74198360,84622853,101614718,90020381,101375983,102404854,83318003,83749525,93207703,88260000,84554000,94531000,94723000,99405000,139925000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1112861,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000
70,Total Liabilities & Equity,4300000,8700000,13300000,16600000,15700000,13500000,13700000,13200000,13100000,15600000,19300000,18600000,25800000,27200000,34770250,38627966,42417485,42822734,47303827,60313254,72463852,74198360,84622853,101614718,90020381,101375983,102404854,83318003,83749525,93207703,88260000,84554000,94531000,94723000,99405000,139926000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798081/000088981296000382/0000889812-96-000382-index.html,https://www.sec.gov/Archives/edgar/data/798081/000088981297001039/0000889812-97-001039-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/798081/000091431700000318/0000914317-00-000318-index.html,https://www.sec.gov/Archives/edgar/data/798081/000091431701500037/0000914317-01-500037-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798081/000091431707001003/0000914317-07-001003-index.html,https://www.sec.gov/Archives/edgar/data/798081/000091431708001046/0000914317-08-001046-index.html,https://www.sec.gov/Archives/edgar/data/798081/000091431709000925/0000914317-09-000925-index.html,https://www.sec.gov/Archives/edgar/data/798081/000114420410020709/0001144204-10-020709-index.html,https://www.sec.gov/Archives/edgar/data/798081/000114420411020736/0001144204-11-020736-index.html,https://www.sec.gov/Archives/edgar/data/798081/000114420412022494/v308759_10k.htm,https://www.sec.gov/Archives/edgar/data/798081/000114420413030790/v340733_10k.htm,https://www.sec.gov/Archives/edgar/data/798081/000114420414025258/0001144204-14-025258-index.html,https://www.sec.gov/Archives/edgar/data/798081/000114420415032060/v410283_10k.htm,https://www.sec.gov/Archives/edgar/data/798081/000114420416095568/0001144204-16-095568-index.html,https://www.sec.gov/Archives/edgar/data/798081/000114420417022256/0001144204-17-022256-index.html,https://www.sec.gov/Archives/edgar/data/798081/000114420418020717/0001144204-18-020717-index.html,https://www.sec.gov/Archives/edgar/data/798081/000165495419004479/0001654954-19-004479-index.html,https://www.sec.gov/Archives/edgar/data/798081/000165495420004107/0001654954-20-004107-index.html,https://www.sec.gov/Archives/edgar/data/798081/000165495421004289/0001654954-21-004289-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-400000,-700000,-100000,1400000,600000,1100000,1600000,2100000,1748206,1123378,1969536,2604058,3638434,5016246,6329364,5104199,3290862,4549468,1029792,971999,-376825,-26288669,-119501,8398704,3854000,3893000,440000,1459000,3281000,35106000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,200000,200000,300000,300000,300000,300000,400000,500000,598095,699304,689969,595384,803234,884140,993686,1048380,1186840,1633846,1744113,1976596,1939469,1550865,1606993,1334621,986000,1194000,775000,965000,1645000,1965000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-100000,- -,100000,-200000,- -,-100000,-100000,-100000,-95000,40000,-19000,-401490,446750,-334795,43803,-497435,-641576,-608519,1316981,-1035691,-1101360,3805844,-4706823,-9645858,-57000,734000,5957000,290000,1328000,3103000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198588,676304,543542,332761,197744,1202986,586000,276000,424000,744000,-403000,1727000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-500000,-3800000,3800000,-1600000,6400000,400000,4900000,-6500000,3458888,187973,719539,1158569,3850627,29200245,8904319,-2092474,7484891,5638738,-22005648,13296770,2052328,-28285278,2562968,4461261,720284,4047000,18360000,-985000,1732000,41347000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2551654,1321677,1319147,-1536668,-528873,-884683,1443000,896000,-3068000,-2549000,-1414000,-3980000
79,Inventory,- -,- -,- -,- -,- -,- -,-1500000,200000,-400000,-2200000,-2400000,1400000,-6000000,-300000,-6356485,-242688,-3819067,1059106,-795763,-4619385,-13693881,4346377,-7723060,-5698718,18286537,-7968499,-967017,4598594,-4595924,-500637,-4239000,5494000,-7109000,152000,-2156000,547000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28840,2621205,-1874031,1826916,2601139,340417,-3306000,585000,1955000,-372000,1090000,191000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,8800000,5000000,8800000,7200000,13600000,14000000,18900000,12400000,15858888,16046861,16766400,17924969,21775596,50975841,59880160,57787686,65272577,70911315,48905667,62202437,64254765,35969487,38532455,42993716,43714000,47761000,66121000,65136000,66868000,108215000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,500000,4500000,-4300000,- -,-8900000,-600000,-9800000,3500000,-8568595,-1638264,-4330081,-2156519,-6556213,-34306630,-24695524,4663203,-13440219,-9576583,36393883,-16722791,-3061613,51071850,-3422755,-2422802,-6607284,1349000,-25308000,-688000,-3993000,-42582000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,-300000,200000,-200000,-100000,-1600000,1100000,-3000000,-500000,-2858406,412391,-970037,1800002,2182832,459206,-8424352,8225873,-2119202,1636950,18677709,-836813,-4459,2187373,-3881374,3328912,-518000,11493000,648000,1785000,3590000,40666000
84,CAPEX,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,-100000,-600000,-300000,-800000,-400000,-1049124,-751046,-831919,-1733759,-1367707,-836194,-4592897,-912651,-3427458,-2371914,-1192251,-1698500,-4871932,-1384539,-828894,-904703,-840000,-413000,-905000,-3103000,-1033000,-1662000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13780205,- -,- -,- -,- -,724402,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
